Project Number,District Number,Project Type,Applicant,Project Title / Description,Priority Class,Consolidation Project,Population,Service Connections ,Degree of Disadvantaged,Estimated/Required Project Costs
3610039-053C,13,Construction,"San Bernardino, City of - Municipal WaterDepartment",Water Distribution Mainline Replacement,F,FALSE,"173,359","42,301",DAC,"$3,406,000.00"
3710020-077C,14,Construction,"San Diego, City of",Morena Pipeline,F,FALSE,"1,266,731","271,962",non-DAC,"$57,673,459.00"
3710020-079C,14,Construction,"San Diego, City of",Alvarado 2nd Pipeline Extension,F,FALSE,"1,266,731","271,962",non-DAC,"$145,691,810.00"
3710020-080C,14,Construction,"San Diego, City of",Otay 2nd Pipeline Steel Replacement Phase 3,F,FALSE,"1,266,731","271,962",non-DAC,"$19,420,000.00"
3710020-081C,14,Construction,"San Diego, City of",Lakeside Valve Station Replacement,F,FALSE,"1,266,731","271,962",non-DAC,"$47,309,366.00"
3710020-082C,14,Construction,"San Diego, City of",El Monte Pipeline Number 2,F,FALSE,"1,266,731","271,962",non-DAC,"$28,000,000.00"
3710020-083C,14,Construction,"San Diego, City of",La Jolla View Reservoir,F,FALSE,"1,266,731","271,962",non-DAC,"$37,000,000.00"
3810001-003C,4,Construction,"San Francisco, Public Utilities Commission of theCity and County of","Sunol Valley Water Treatment Plant Ozonation Facility andOther Site Improvements Project",F,FALSE,"2,700,000","175,000",non-DAC,"$214,000,000.00"
3510002-002C,5,Construction,"San Juan Bautista, City of",Water Main from West Hills Water Treatment Plant,F,FALSE,"1,720",694,non-DAC,"$13,150,000.00"
3410021-002C,9,Construction,San Juan Water District,Kokila Reservoir Replacement,F,FALSE,"33,792","10,240",non-DAC,"$7,850,000.00"
3410021-004C,9,Construction,San Juan Water District,Eureka Road Transmission Line Replacement,F,FALSE,"33,792","10,240",non-DAC,"$3,995,000.00"
4210010-006C,6,Construction,"Santa Barbara, City of",Cater Reservoir Resiliency Project,F,FALSE,"94,370","25,580",non-DAC,"$27,000,000.00"
4410010-003C,5,Construction,"Santa Cruz, City of","Graham Hill Water Treatment Plant Facility ImprovementsProject (PFAS)",F,FALSE,"90,000","24,228",non-DAC,"$177,600,000.00"
4410010-004C,5,Construction,"Santa Cruz, City of","Newell Creek Pipeline (Felton/Graham Hill)Replacement Project",F,FALSE,"90,000","24,228",non-DAC,"$41,352,000.00"
3010041-001C,8,Construction,"Seal Beach, City of",LCWA Watermain Lining Project,F,FALSE,"24,157","5,358",non-DAC,"$2,741,000.00"
3010041-002C,8,Construction,"Seal Beach, City of","Beverly Manor Booster Pump Station BuildingReplacement and Electrical Upgrades",F,FALSE,"24,157","5,358",non-DAC,"$7,388,300.00"
5510016-001C,11,Construction,"Sierra Park Water Company, Inc.","Sierra Park Water Company Water SystemImprovements",E,FALSE,300,363,non-DAC,"$2,025,230.00"
0910002-030C,9,Construction,South Tahoe Public Utility District,Waterline Upgrades and Improvement Project,F,FALSE,"60,000","13,635",non-DAC,"$16,222,000.00"
0910002-031C,9,Construction,South Tahoe Public Utility District,Tahoe/Glenwood Waterline Upgrades,F,FALSE,"60,000","13,635",non-DAC,"$7,567,939.00"
3610004-002C,13,Construction,West Valley Water District,"Oliver P. Roemer Water Filtration Facility ExpansionProject (RWFF Project)",F,FALSE,"63,693","18,198",non-DAC,"$46,665,000.00"
0110010-003C,4,Construction,Zone 7 Water Agency,Chain of Lakes PFAS Treatment Facility,E,FALSE,"195,000",39,non-DAC,"$25,000,000.00"
5403144-001C,24,Construction,Ali Mutual Water company,Ali Mutual Water Distribution Replacement Project,F,FALSE,25,14,"Small SeverelyDisadvantaged","$1,643,000.00"
4600012-008C,2,Construction,Alleghany County Water District ,Ram Sprint Improvement Project,B,FALSE,80,55,"Small SeverelyDisadvantaged","$1,500,000.00"
3610002-001C,13,Construction,Alpine Water Users Association,System Meter Replacements,D,FALSE,"3,000",931,Small Disadvantaged,"$498,288.00"
4510001-001C,2,Construction,"Anderson, City of","Anderson Heights Reservoir Replacement and PressureRegulating Valve (PRV) Station Project",F,FALSE,"10,050","3,077","Small SeverelyDisadvantaged","$2,250,000.00"
4510001-002C,2,Construction,"Anderson, City of",Anderson Park Village Consolidation,F,TRUE,"10,050","3,077","Small SeverelyDisadvantaged","$1,238,400.00"
0510003-003C,10,Construction,"Angels, City of",City of Angels Water Treatment Plant Upgrade,F,FALSE,"3,441","1,773","Small SeverelyDisadvantaged","$7,000,000.00"
3301180-001C,20,Construction,"Anza Mutual Water Co., Inc.",Anza Mutual Water System Improvements Project,F,FALSE,200,82,"Small SeverelyDisadvantaged","$5,000,000.00"
3600009-001C,13,Construction,Apple Valley Heights County Water District,"Storage Tanks and Transmission PipelineImprovements Project",F,FALSE,977,286,"Small SeverelyDisadvantaged","$4,400,000.00"
3600012-002C,13,Construction,Apple Valley View Mutual Water Company,Apple Valley View MWC,A,FALSE,200,81,"Small SeverelyDisadvantaged","$600,000.00"
1210001-001C,1,Construction,"Arcata, City of",Steel Water Line Replacement,F,FALSE,"16,651","5,278","Large SeverelyDisadvantaged","$4,945,963.00"
1510001-005C,12,Construction,Arvin Community Services District,123 TCP Treatment for Well No.8 and Well No. 13,C,FALSE,"11,847","3,446","Small SeverelyDisadvantaged","$3,115,350.00"
1610002-003C,12,Construction,"Avenal, City of",Water Meter Replacement Project,D,FALSE,"16,737","1,936","Small SeverelyDisadvantaged","$1,652,850.00"
1910108-001C,15,Construction,"Bell Gardens, City of",Bell Gardens Water Reservoir Construction Project,F,FALSE,"5,247","1,590","Small SeverelyDisadvantaged","$4,205,000.00"
1000004-001C,23,Construction,Belmont Water Corporation,"Belmont Water Corporation 1,2,3-TCP Mitigation -Construction",C,FALSE,86,46,Not Disadvantaged,"$1,442,700.00"
0410001-002C,21,Construction,"Biggs, City of",Storage Tank and Pump Station,F,FALSE,"1,805",650,Small Disadvantaged,"$5,000,000.00"
3610009-002C,13,Construction,Bighorn-Desert View Water Agency,"Potable Water System Improvements Consolidation ofWater Systems",E,TRUE,"5,000","1,903","Small SeverelyDisadvantaged","$11,000,000.00"
3500507-001C,5,Construction,Bitterwater-Tully Union School District,Water System Upgrade,F,FALSE,55,2,Not Disadvantaged,"$498,000.00"
4400751-002C,5,Construction,Bonny Doon Union Elementary School District,"Bonny Doon School Water System Storage TankReplacement",F,FALSE,165,9,Pending,"$1,500,000.00"
5100138-001C,21,Construction,Browns Elementary School District,Browns School Well Rehabilitation Project,A,FALSE,160,1,"Small SeverelyDisadvantaged","$1,345,000.00"
4510003-003C,2,Construction,Burney Water District,"Burney Water District Water System ImprovementProject",E,FALSE,"3,000","1,377","Small SeverelyDisadvantaged","$13,963,000.00"
0410006-001C,21,Construction,"Butte, County of",Palermo Drinking Water Consolidation Project,A,TRUE,"22,348","6,772","Small SeverelyDisadvantaged","$11,715,000.00"
0510002-005C,10,Construction,Calaveras Public Utilities District,Rich Gulch Transmission Main Replacement,F,FALSE,"4,758","1,903","Small SeverelyDisadvantaged","$1,116,000.00"
4700503-004C,1,Construction,Callahan Water District,Water System Improvement Project,B,FALSE,70,29,"Small SeverelyDisadvantaged","$2,100,000.00"
4100529-002C,17,Construction,Camp Loma Mar,"Camp Loma Mar Drinking Water State Revolving FundConstruction Financing Application",C,FALSE,350,31,Pending,"$888,000.00"
1010039-004C,23,Construction,Caruthers Community Services District,"Water Line Loop - Tahoe, Mt. View & West Ave",D,FALSE,"2,103",672,Small Disadvantaged,"$716,600.00"
5610024-002C,6,Construction,Casitas Municipal Water District,Casitas and Ojai Water System Consolidation,C,TRUE,"65,000","3,184",Pending,"$10,000,000.00"
4510016-003C,2,Construction,Clear Creek Community Services District,"Clear Creek Community Services District BackwashPonds Repair Project",F,FALSE,"8,000","2,645",Small Disadvantaged,"$3,060,633.00"
1800512-001C,2,Construction,Clear Creek Community Services District,Drinking Water System Improvements,C,FALSE,400,156,"Small SeverelyDisadvantaged","$4,996,800.00"
1710001-004C,3,Construction,Clearlake Oaks County Water District,"Water Distribution System, Storage,and Booster PumpStation Infrastructure Project",C,FALSE,"2,551","2,112","Small SeverelyDisadvantaged","$4,582,206.00"
3310001-014C,20,Construction,Coachella Valley Water District,"Saint Anthony Mobile Home Park Water ConsolidationProject",C,TRUE,"244,472","97,789","Small SeverelyDisadvantaged","$215,595.00"
3310001-015C,20,Construction,Coachella Valley Water District,Valley View Mobile Home Park Consolidation Project,C,TRUE,"244,472","97,789","Small SeverelyDisadvantaged","$10,696,360.00"
3310007-003C,20,Construction,"Coachella, City of","Shady Lane Mobile Home Park Water ConsolidationProject",C,TRUE,"38,406","7,460","Small SeverelyDisadvantaged","$1,643,006.00"
2000611-001C,11,Construction,Coarsegold Elementary School,"COARSEGOLD ELEMENTARY GROUNDWATERTREATMENT AND WATER SYSTEMS IMPROVEMENTSPROJECT",C,FALSE,600,6,"Small SeverelyDisadvantaged","$1,600,000.00"
1710012-001C,3,Construction,Cobb Area County Water District,Pine View Heights Distribution System Improvements,F,TRUE,"2,500",708,Not Disadvantaged,"$2,130,000.00"
1710012-003C,3,Construction,Cobb Area County Water District,Mount Hanna Distribution System Improvements,F,TRUE,"2,500",708,Not Disadvantaged,"$2,425,000.00"
1710012-004C,3,Construction,Cobb Area County Water District,Alpine Meadows and Starview Improvement Project,F,FALSE,"2,500",708,Not Disadvantaged,"$3,878,000.00"
1710012-005C,3,Construction,Cobb Area County Water District,Adam Springs Improvement Project,F,FALSE,"2,500",708,Pending,"$1,870,000.00"
1710012-006C,3,Construction,Cobb Area County Water District,Pine Grove Improvement Project,F,FALSE,"2,500",708,Pending,"$4,209,999.00"
0600008-003C,21,Construction,Colusa County Waterworks District No. 1,Arsenic Compliance Project,A,FALSE,500,104,"Small SeverelyDisadvantaged","$15,434,713.00"
0610002-001C,21,Construction,"Colusa, City of",City of Colusa Well Consolidation Project,D,FALSE,"5,625","2,126","Small SeverelyDisadvantaged","$3,495,624.00"
0610002-002C,21,Construction,"Colusa, City of","Water Consolidation - Walnut Ranch CommunityFacilities Improvement",D,FALSE,"6,111","1,925","Small SeverelyDisadvantaged","$3,346,048.00"
0810001-004C,1,Construction,"Crescent City, City of",West Park Properties Mobile Home Park Consolidation,C,TRUE,"14,000","3,416","Small SeverelyDisadvantaged","$523,746.00"
0810001-005C,1,Construction,"Crescent City, City of",Butte Court Mobile Home Park Consolidation,C,TRUE,"14,000","3,416","Small SeverelyDisadvantaged","$349,662.00"
0810001-007C,1,Construction,"Crescent City, City of",Northcrest MHP Consolidation Project,F,FALSE,"14,000","3,416","Small SeverelyDisadvantaged",$                                  -
0810001-008C,1,Construction,"Crescent City, City of",Pine Grove MHP Consolidation Project,C,FALSE,"14,000","3,416","Small SeverelyDisadvantaged",$                                  -
4400571-005C,5,Construction,Davenport County Sanitation District,"Davenport Drinking Water Improvement Project - PhaseIII",D,FALSE,350,130,"Small SeverelyDisadvantaged","$434,711.00"
1010035-006C,23,Construction,Del Rey Community Services District,"TCP Wellhead Treatment Project at Wells 4, 5, and 7",C,FALSE,"1,100",362,"Small SeverelyDisadvantaged","$9,042,297.00"
5401003-001C,24,Construction,East Orosi Community Services District,New Well and Consolidation,A,TRUE,700,106,"Small SeverelyDisadvantaged",$                                  -
4710004-001C,1,Construction,"Etna, City of",City of Etna - Water System Improvements Project,B,FALSE,769,383,Pending,"$5,630,000.00"
1010005-003C,23,Construction,"Firebaugh, City of",HUD Water Storage Tank,E,FALSE,"6,500","1,347","Small SeverelyDisadvantaged","$4,851,300.00"
2900502-002C,21,Construction,"Floriston Property Owners Association, Inc.",Floriston Spring Filtration Project,A,FALSE,100,40,Not Disadvantaged,"$5,326,993.00"
2310001-003C,3,Construction,"Fort Bragg, City of","Water Treatment Plant Overhaul and Water TankRehabilitation",F,FALSE,"7,291","2,846","Small SeverelyDisadvantaged","$11,099,340.00"
4710003-001C,1,Construction,"Fort Jones, Town of",Water Meter Replacement,F,FALSE,675,342,"Small SeverelyDisadvantaged","$1,086,460.00"
1510007-003C,19,Construction,Frazier Park Public Utility District,"Frazier Park Public Utility District Pipeline ReplacementProject",E,TRUE,"2,348","1,362","Small SeverelyDisadvantaged","$9,851,450.00"
1000299-001C,23,Construction,"Fresno, City of",Three Palms MHP Water Connection Project,C,TRUE,202,101,"Small SeverelyDisadvantaged","$392,461.00"
1000057-001C,11,Construction,"Fresno, City of",City of Fresno Regional Consolidation Project Group 1,A,FALSE,"457,511","130,176","Small SeverelyDisadvantaged","$5,000,000.00"
1000277-001C,11,Construction,"Fresno, City of",City of Fresno Regional Consolidation Project Group 2,C,FALSE,"457,511","130,176",Small Disadvantaged,"$4,500,000.00"
1000546-006C,23,Construction,"Fresno, County of (Service Area 49)",CSA 49 Water System Improvements,C,FALSE,450,31,"Small SeverelyDisadvantaged","$4,067,714.00"
5602108-001C,6,Construction,Garden Acres Mutual Water Co,SWAN Tank B Inlet/Outlet Modernization Upgrade,F,FALSE,795,110,"Small SeverelyDisadvantaged","$209,036.00"
5602108-002C,,Construction,Garden Acres Mutual Water Co,"Sustainable Water Assurance for the Next Generation(SWAN)",C,FALSE,795,110,"Small SeverelyDisadvantaged","$5,235,119.00"
5100107-009C,21,Construction,Golden State Water Company - Robbins System,"Robbins System - New Well and Arsenic RemovalTreatment (Sutter Co. WWD#1)",C,FALSE,336,94,Small Disadvantaged,"$7,520,000.00"
2910001-004C,21,Construction,"Grass Valley, City of","Water Distribution System Pipeline Repair andReplacement",F,FALSE,"5,600","2,328","Small SeverelyDisadvantaged","$5,000,000.00"
2910001-005C,21,Construction,"Grass Valley, City of",Water Treatment Plant Improvement Project,F,FALSE,"5,600","2,328","Small SeverelyDisadvantaged","$5,000,000.00"
2910001-006C,21,Construction,"Grass Valley, City of","Water Service, Earthquake Preparation, and ControlProject",F,FALSE,"5,600","2,328","Small SeverelyDisadvantaged","$5,000,000.00"
5510009-002C,11,Construction,Groveland Community Services District,GCSD Water System Improvements,F,FALSE,"3,400","3,293",Not Disadvantaged,"$5,352,675.00"
4700513-005C,1,Construction,Hornbrook Community Services District,Hornbrook CSD Improvement Project,F,FALSE,280,141,"Small SeverelyDisadvantaged","$8,880,000.00"
5010008-012C,10,Construction,"Hughson, City of","Cobles Corner/County Villa Consolidation with City ofHughson",C,TRUE,"6,082","1,779",Not Disadvantaged,"$4,116,274.00"
3010053-001C,8,Construction,"Huntington Beach, City of",Old Pirate Lane Consolidation Project,A,TRUE,"201,000","52,358",Not Disadvantaged,"$260,000.00"
1010044-002C,23,Construction,"Huron, City of",City of Huron Water Storage Tank Rehabilitation,F,FALSE,"7,306",862,"Small SeverelyDisadvantaged","$5,954,000.00"
1510017-002C,19,Construction,Indian Wells Valley Water District,Dune 3 Water Company Consolidation Project,F,TRUE,"30,000","11,643",Small Disadvantaged,"$2,500,000.00"
1510017-003C,19,Construction,Indian Wells Valley Water District,Hometown Water Association Consolidation,C,FALSE,"30,000","11,643",Small Disadvantaged,"$270,066.00"
D2217022,,Construction,Indio Water Authority,Elms Mobile Park Consolidation Project,C,TRUE,,,"Small SeverelyDisadvantaged","$461,328.00"
5410019-002C,24,Construction,Ivanhoe Public Utility Disrict,Well No.9 and Conveyance Pipeline Project,A,FALSE,"4,474","1,113",Pending,"$2,839,952.00"
3600155-001C,13,Construction,JHC River Ranch Inc,"River Ranch Mobile Home Park Water SystemConsolidation Project",C,TRUE,300,136,"Small SeverelyDisadvantaged","$1,859,950.00"
3600222-001C,13,Construction,Juniper Riviera County Water District,Improvement Project,C,FALSE,332,168,Small Disadvantaged,"$3,000,000.00"
1400037-001C,13,Construction,Kevin McCormick and Holly Flow LLC,Foothill Mobile Home Park Water System Improvements,C,FALSE,100,48,"Small SeverelyDisadvantaged","$6,000,000.00"
1000316-001C,23,Construction,Kings Canyon Unified School District,"Alta Elementary School, Riverview School, and KingsCanyon High School Water Supply Upgrade Project",C,FALSE,79,1,"Small SeverelyDisadvantaged","$9,463,000.00"
3700923-003C,14,Construction,"Lake Morena's Oak Shores Mutual Water Company,Inc.",Lake Morena Views Consolidation,C,TRUE,710,191,Small Disadvantaged,"$13,810,100.00"
1510023-003C,19,Construction,Lake of The Woods Mutual Water Company,"LAKE OF THE WOODS WATER SYSTEMIMPROVEMENT PROJECT (PROJECT 3)",C,TRUE,990,396,"Small SeverelyDisadvantaged","$5,500,000.00"
3700919-001C,14,Construction,Lake Wohlford Resort,Lake Wohlford Resort,C,FALSE,235,137,Pending,"$2,000,000.00"
1710022-009C,3,Construction,"Lake, County of (CSA 20)",Soda Bay Water Treatment Plant Improvements,F,FALSE,"1,438",662,Small Disadvantaged,"$5,000,000.00"
4500008-002C,2,Construction,Lakeshore Villa Mutual Water Company,Lakeshore Villa MWC System Improvemetns,F,FALSE,134,48,Pending,"$957,600.00"
1900038-001C,16,Construction,Lancaster Park Mobile Home Park,Lancaster Park Mobile Home Project,C,FALSE,53,21,"Small SeverelyDisadvantaged",$                                  -
1510051-001C,19,Construction,Lebec County Water District,"Frazier Mountain High School/Lebec County WaterDistrict Water System Improvement Project",C,TRUE,830,290,"Small SeverelyDisadvantaged","$8,978,720.00"
5400616-001C,24,Construction,Lemon Cove Sanitary District,New Well and Storage Tank Installation Project,A,FALSE,200,50,Pending,"$6,142,021.00"
3610003-001C,13,Construction,"Liberty Utilities (Apple Valley Ranchos Water)Co.",Rehabilitation of the Yermo Water System,C,TRUE,"52,879","18,744","Small SeverelyDisadvantaged","$5,910,431.00"
5810002-001C,21,Construction,Linda County Water District,Well 17 Project,F,FALSE,"10,000","3,975","Large SeverelyDisadvantaged","$18,076,483.00"
2410004-004C,11,Construction,"Livingston, City of","Livingston 1,2,3-TCP Removal Treatment SystemProject",C,FALSE,"13,795","2,948",Small Disadvantaged,"$12,000,000.00"
1502164-001C,19,Construction,Llanas Camp Four Water System,Llanas Camp Four Water System Consolidation,C,TRUE,65,53,Pending,"$4,000,000.00"
1210023-003C,1,Construction,Loleta Community Services District,Loleta Water Storage Tank Replacement,C,FALSE,750,236,"Small SeverelyDisadvantaged","$6,758,500.00"
4300721-001C,17,Construction,Loma Prieta Joint Union School District,"Loma Prieta Joint Union School District Drinking WaterSupply",D,FALSE,462,6,"Small SeverelyDisadvantaged","$296,466.00"
1910070-002C,16,Construction,"Los Angeles County Waterworks District No. 40,Antelope Valley",Desert Palms Mobile Home Park Intertie Project,C,TRUE,"144,215","46,878","Small SeverelyDisadvantaged","$657,452.00"
3700958-001C,14,Construction,Los Tules Mutual Water Company,"Los Tules Mutual Water Company Infrastructure andFire Safety Project",E,FALSE,140,100,"Small SeverelyDisadvantaged","$821,966.00"
0910007-001C,9,Construction,Lukins Brothers Water Company,Phase 2 Waterline Project - James Avenue,C,FALSE,"3,168",968,Small Disadvantaged,"$3,309,419.00"
0910007-004C,9,Construction,Lukins Brothers Water Company,Lukins Brothers Water Company Inc. Meter Project,D,FALSE,"3,168",968,Small Disadvantaged,"$3,974,600.00"
2000729-001C,11,Construction,Madera County of (CSA #16 - Sumner Hill),Sumner Hill Water System Improvement Project,C,FALSE,135,41,Not Disadvantaged,"$5,195,000.00"
2000544-003C,11,Construction,"Madera, County of",MD-1 Hidden Lakes Surface Water Treatment Plant,C,FALSE,150,53,Not Disadvantaged,"$5,000,000.00"
2010008-007C,11,Construction,"Madera, County of (MD10A - Madera Ranchos)",Meter and Pipeline Replacement Project,C,TRUE,"2,255",922,Not Disadvantaged,"$51,693,188.00"
2010004-002C,11,Construction,"Madera, County of (MD19 - Parkwood)",New Well and Pipeline Project,C,TRUE,"1,240",634,"Small SeverelyDisadvantaged","$5,912,523.00"
2000561-002C,11,Construction,"Madera, County of (MD8 - North Fork)",MD-8A North Fork Water System Improvements Project,C,TRUE,264,80,"Small SeverelyDisadvantaged","$15,248,000.00"
2210907-001C,11,Construction,Mariposa County Unified School District,Sierra Foothill Charter School Safe Drinking Water Project,C,FALSE,120,12,"Small SeverelyDisadvantaged","$716,000.00"
0202504-002C,9,Construction,Markleeville Water Company,"Markleeville Water Company Water SystemImprovements",F,FALSE,25,167,Small Disadvantaged,"$5,884,095.00"
1910086-001C,16,Construction,Maywood Mutual Water Company #3,Water Quality Improvement Project,F,FALSE,"9,500","2,036","Small SeverelyDisadvantaged","$2,650,000.00"
1510013-003C,12,Construction,"McFarland, City of",Water System Improvement & Treatment Project,C,FALSE,"12,138","2,220","Expanded SmallSeverelyDisadvantaged","$15,000,000.00"
4900551-001C,18,Construction,Melita Heights Mutual Water Company,Water Tank Replacement,F,FALSE,60,19,Pending,"$180,000.00"
2702317-001C,5,Construction,Mission Union Elementary School District,Long Term Solution for Nitrate Contamination,A,FALSE,100,1,"Small SeverelyDisadvantaged","$1,950,000.00"
1900785-001C,16,Construction,Mitchell'S Avenue E Mobile Home Park,Arsenic Treatment Facility Improvements,C,FALSE,35,24,"Small SeverelyDisadvantaged","$1,110,000.00"
5010010-005C,10,Construction,"Modesto, City of",Riverdale Park Tract CSD Consolidation,C,FALSE,"212,000","68,497",Not Disadvantaged,"$2,774,400.00"
1910091-001C,16,Construction,Montebello Land and Water Company,"Centralized Treatment System Project for PFASRemediation",E,FALSE,"26,554","3,937",Pending,"$9,013,254.00"
4510002-007C,2,Construction,Mountain Gate Community Services District,Water System Improvements Project,F,FALSE,"2,500",664,"Small SeverelyDisadvantaged","$14,258,600.00"
4710008-003C,1,Construction,"Mt. Shasta, City of",Water Distribution System Improvements,F,FALSE,"3,642","1,675","Small SeverelyDisadvantaged","$8,237,500.00"
3610032-005C,13,Construction,"Needles, City of",New 1.5 MG Storage Tank,F,FALSE,"3,631","1,832","Small SeverelyDisadvantaged","$2,780,608.00"
2100582-001C,18,Construction,Nicasio School District,Nicasio School District Water System Upgrade Project,B,FALSE,70,5,"Small SeverelyDisadvantaged","$225,000.00"
2310007-018C,3,Construction,"North Gualala Water Company, Incorporated",Parr Tank and Pipeline Improvement Project,F,FALSE,"2,630","1,068",Small Disadvantaged,"$1,798,457.00"
3110001-001C,2,Construction,North Tahoe PUD - Main,"Kings Beach Grid and Brockway Water SystemImprovements",F,FALSE,"5,000","3,294",Pending,"$14,000,000.00"
5810006-002C,21,Construction,North Yuba Water District,North Yuba Meter Replacement Project,D,FALSE,"5,303",695,Small Disadvantaged,"$3,361,000.00"
