Project Number,District Number,Project Type,Applicant,Project Title / Description,Priority Class,Population ,Residential Service Connections,Water System Size,Degree of Disadvantaged,Estimated Project Costs,Estimated PF/Grant Amount,Estimated DWSRF Loan
1710012-004C,3,Construction,Cobb Area County Water District,"Alpine Meadows and Starview ImprovementProject",D,"2,500",708,Small,SDAC,"$3,878,000.00","$3,878,000.00",$                 -
0610002-002C,21,Construction,"Colusa, City of","Water Consolidation - Walnut RanchCommunity Facilities Improvement",D,"6,111","1,925",Small,SDAC,"$3,346,048.00","$3,346,048.00",$                 -
4400571-005C,5,Construction,Davenport County Sanitation District,"Davenport Drinking Water ImprovementProject - Phase III",D,350,130,Small,SDAC,"$434,711.00","$434,711.00",$-
1010035-006C,23,Construction,Del Rey Community Services District,"TCP Wellhead Treatment Project at Wells 4,5, and 7",C,"1,100",362,Small,SDAC,"$9,042,297.00","$9,042,297.00",$-
2900502-002C,21,Construction,"Floriston Property OwnersAssociation, Inc.",Floriston Spring Filtration Project,A,100,40,Small,non-DAC,"$5,326,993.00","$5,326,993.00",$                 -
2310001-003C,3,Construction,"Fort Bragg, City of","Water Treatment Plant Overhaul and WaterTank Rehabilitation",F,"7,291","2,846",Small,SDAC,"$11,099,340.00","$11,099,340.00",$-
1000299-001C,23,Construction,"Fresno, City of",Three Palms MHP Water Connection Project,C,202,101,Small,SDAC,"$392,461.00","$392,461.00",$                 -
1000546-006C,23,Construction,"Fresno, County of (Service Area 49)",CSA 49 Water System Improvements,C,450,31,Small,SDAC,"$4,067,714.00","$4,067,714.00",$                 -
5410019-002C,24,Construction,Ivanhoe Public Utility Disrict,Well No.9 and Conveyance Pipeline Project,A,"4,474","1,113",Small,SDAC,"$2,839,952.00","$2,839,952.00",$                 -
3600155-001C,13,Construction,"JHC River Ranch Inc, LLC","River Ranch Mobile Park VWDConsolidation",C,300,136,Small,SDAC,"$1,859,950.00","$1,859,950.00",$                 -
1510023-003C,19,Construction,"Lake of The Woods Mutual WaterCompany","LAKE OF THE WOODS WATER SYSTEMIMPROVEMENT PROJECT (PROJECT 3)",C,990,396,Small,SDAC,"$5,500,000.00","$5,500,000.00",$-
1710022-009C,3,Construction,"Lake, County of (CSA 20)","Soda Bay Water Treatment PlantImprovements",F,"1,438",662,Small,SDAC,"$5,000,000.00","$5,000,000.00",$-
1510051-001C,19,Construction,Lebec County Water District,"Frazier Mountain High School/Lebec CountyWater District Water System ImprovementProject",C,830,290,Small,SDAC,"$8,978,720.00","$8,978,720.00",$-
3610003-001C,13,Construction,"Liberty Utilities (Apple Valley RanchosWater) Co.",Rehabilitation of the Yermo Water System,C,"52,879","18,744",Small,SDAC,"$5,910,431.00","$5,910,431.00",$                 -
5810002-001C,21,Construction,Linda County Water District,Well 17 Project,F,"10,000","3,975",Large,SDAC,"$18,076,483.00","$18,076,483.00",$                 -
2410004-004C,11,Construction,"Livingston, City of","Livingston 1,2,3-TCP Removal TreatmentSystem Project",C,"14,228","3,550","ExpandedSmall",DAC,"$12,000,000.00","$12,000,000.00",$                 -
1210023-003C,1,Construction,Loleta Community Services District,Loleta Water Storage Tank Replacement,C,750,236,Small,SDAC,"$6,758,500.00","$6,758,500.00",$                 -
4300721-001C,17,Construction,"Loma Prieta Joint Union SchoolDistrict","Loma Prieta Joint Union School DistrictDrinking Water Supply",D,560,6,Small,SDAC,"$296,466.00","$296,466.00",$                 -
1910070-002C,16,Construction,"Los Angeles County WaterworksDistrict No. 40, Antelope Valley","Desert Palms Mobile Home Park IntertieProject",C,"144,215","46,878",Small,SDAC,"$657,452.00","$657,452.00",$                 -
3700958-001C,14,Construction,Los Tules Mutual Water Company,"Los Tules Mutual Water CompanyInfrastructure and Fire Safety Project",E,140,100,Small,SDAC,"$821,966.00","$821,966.00",$                 -
0202504-002C,9,Construction,Markleeville Water Company,"Markleeville Water Company SystemImprovement Project",C,25,167,Small,DAC,"$5,884,095.00","$5,884,095.00",$-
1910086-001C,16,Construction,Maywood Mutual Water Company #3,Water Quality Improvement Project,F,"9,500","2,036",Small,SDAC,"$2,650,000.00","$2,650,000.00",$                 -
4710008-003C,1,Construction,"Mt. Shasta, City of",Water Distribution System Improvements,F,"3,642","1,675",Small,SDAC,"$8,237,500.00","$8,237,500.00",$                 -
2310007-018C,3,Construction,"North Gualala Water Company,Incorporated",Parr Tank and Pipeline Improvement Project,F,"2,630","1,068",Small,DAC,"$1,798,457.00","$1,798,457.00",$                 -
1200701-001C,1,Construction,Orick Community Services District,Water System Improvement Project,F,400,139,Small,SDAC,"$1,246,220.00","$1,246,220.00",$-
5400519-001C,24,Construction,"Palo Verde Union Elementary SchoolDistrict",Palo Verde Union Elementary School Well,D,500,26,Small,SDAC,"$645,000.00","$645,000.00",$-
5410039-003C,12,Construction,Plainview Mutual Water Company,Plainview Nitrate Relief Project,C,800,187,Small,SDAC,"$5,070,567.00","$5,070,567.00",$-
1210012-008C,1,Construction,"Rio Dell, City of","Water Distribution System ImprovementProject",F,"3,373","1,350",Small,SDAC,"$12,862,989.00","$12,862,989.00",$-
0310006-002C,10,Construction,River Pines Public Utility District,"River Pines PUD Storage and DistributionRehab Project",F,510,210,Small,SDAC,"$7,574,250.00","$7,574,250.00",$-
3600220-001C,13,Construction,"San Bernardino, County of","CSA 42 Oro Grande ReservoirRehabilitation/Replacement Project",F,700,140,Small,SDAC,"$200,000.00","$200,000.00",$                 -
1010034-004C,23,Construction,"San Joaquin, City of","Well #3 and Well #5 Manganese RemovalSystem",E,"3,870",944,Small,SDAC,"$8,906,000.00","$8,906,000.00",$-
1010034-005C,23,Construction,"San Joaquin, City of","San Joaquin Phase 2 Water SystemImprovement Project",C,"3,870",944,Small,SDAC,"$10,413,810.00","$10,413,810.00",$-
2410018-003C,11,Construction,Santa Nella County Water District,"Residential Water Meter ImprovementProject",D,"1,500",454,Small,DAC,"$319,153.00","$319,153.00",$                 -
EDWG-1000187-001C,23,Construction,Selma Unified School District,"Indianola Elementary School Water SystemConsolidation",C,500,1,Small,SDAC,"$3,118,625.00","$3,118,625.00",$                 -
1800575-001C,2,Construction,"Shaffer Union Elementary SchoolDistrict","Shaffer Elementary School Source CapacityProject",D,250,76,Small,DAC,"$554,966.00","$554,966.00",$                 -
4600019-001C,2,Construction,"Sierra County (Calpine) WaterworksDistrict No. 1",New Well and Treatment Facilities,C,225,142,Small,non-DAC,"$3,245,520.00","$3,245,520.00",$-
2000506-001C,11,Construction,"Sierra Linda Mutual Water Company,Inc.","Consolidation, Metering, and WaterTreatment",C,180,89,Small,SDAC,"$7,724,400.00","$7,724,400.00",$                 -
3310017-001C,20,Construction,South Mesa Water Company,County Line Pipeline Replacement Project,F,"9,018","2,934",Small,SDAC,"$100,000.00","$100,000.00",$                 -
4200842-001C,6,Construction,"St. Marie Mobile Home Park, LLC","City of Santa Maria Water ServiceConnection",A,250,78,Small,SDAC,"$934,450.00","$934,450.00",$                 -
3910012-001C,10,Construction,"Stockton, City of","Century Mobile Home Park and Silvia AvalosWater System Consolidation Project",C,"158,113","46,119",,DAC,"$1,421,588.00","$1,421,588.00",$                 -
1700536-004C,3,Construction,"Sunrise Shore Mutual WaterCompany",Compliance and Sustainability Project,C,45,37,Small,DAC,"$2,109,000.00","$2,109,000.00",$                 -
5410014-002C,12,Construction,Tipton Community Services District,North Burnett Road Water System Project,C,"1,992",592,Small,SDAC,"$4,150,000.00","$4,150,000.00",$                 -
1910160-010C,7,Construction,Tract 349 Mutual Water Company,"Tract 349 Water Quality ImprovementProject",E,"8,500",905,Small,SDAC,"$7,387,000.00","$7,387,000.00",$                 -
EDWG-5400903-001C,24,Construction,Tract 92 Community Services District,"Tract 92 CSD – CWS Visalia Water SystemConsolidation Project",C,500,93,Small,SDAC,"$7,440,000.00","$7,440,000.00",$-
5510012-001C,11,Construction,Tuolumne Utilities District,"Sierra Pines Regional Water TreatmentFacility Project",F,"3,446","1,460",,non-DAC,"$52,112,434.00","$52,112,434.00",$                 -
5510013-010C,11,Construction,Tuolumne Utilities District,Cuesta Heights Water Storage,D,"3,646","1,545",Small,DAC,"$2,633,879.00","$2,633,879.00",$                 -
1510021-004C,12,Construction,"Wasco, City of","Water System Improvement & TreatmentProject",C,"19,448","3,936",Small,SDAC,"$49,204,372.00","$49,204,372.00",$                 -
5010026-001C,10,Construction,"Waterford, City of",Hickman Water System Improvements Construction Project,D,565,181,Small,DAC,"$5,033,821.00","$5,033,821.00",$                 -
4710009-002C,1,Construction,"Weed, City of","City of Weed Bypass Water Supply PipelineProject",D,"2,963","1,042",Small,SDAC,"$10,985,000.00","$10,985,000.00",$-
1210015-002C,6,Construction,"Willow Creek Community ServicesDistrict","Willow Creek CSD Brannan Mountain WaterStorage Tank",F,"1,030",344,Small,DAC,"$2,112,750.00","$2,112,750.00",$                 -
5410025-001C,12,Construction,Woodville Public Utility District,Replacement Well Project,A,"1,678",478,Small,SDAC,"$3,488,578.00","$3,488,578.00",$                 -
5700788-003C,9,Construction,"Yolo, County of","North Davis Meadows Water ConsolidationProject",A,110,95,Small,non-DAC,"$7,600,000.00","$7,600,000.00",$                 -
0600121-001P,N/A,Planning,"Big Sandy Rancheria of WesternMono Indians of California","Big Sandy Rancheria Water System CapitalImprovement",C,235,55,Small,DAC,"$255,370.00","$255,370.00",$                 -
5500040-001P,11,Planning,"Blue Bell Valley Mutual WaterCompany","The Blue Bell Valley Nitrate Removal &Water System Improvements",A,230,90,,Pending,"$49,000.00","$49,000.00",$-
1000206-002P,23,Planning,Central Unified School District,Houghton-Kearney K-8 School Well Project,C,310,4,Small,SDAC,"$722,000.00","$722,000.00",$-
3210009-001P,2,Planning,Chester Public Utility District,Water System Improvement Project,D,"2,088","1,209",Small,DAC,"$1,812,000.00","$1,812,000.00",$                 -
4510016-004P,2,Planning,"Clear Creek Community ServicesDistrict",Distribution Pipe Replacement,F,"8,000","2,645",Small,SDAC,"$231,608.00","$231,608.00",$-
4210009-001P,6,Planning,Cuyama Community Services District,"Cuyama CSD Water System CapitalImprovements",D,550,254,Small,SDAC,"$570,000.00","$570,000.00",$-
0710007-002P,4,Planning,Diablo Water District,Willow Mobile Home Park Consolidation,F,"33,250","9,907",,,"$450,000.00","$450,000.00",$-
4710002-004P,1,Planning,"Dunsmuir, City of",Water System Improvement Project,F,"1,923","1,285",Small,SDAC,"$1,419,000.00","$1,419,000.00",$                 -
4510008-002P,2,Planning,"Fall River Valley Community ServicesDistrict",Water System Improvements,F,"1,600",490,Small,Pending,"$1,845,000.00","$1,845,000.00",$                 -
0310001-001P,10,Planning,"Jackson, City of",Martell Reservoir Replacement,F,"5,223","2,089",Small,DAC,"$495,574.00","$495,574.00",$                 -
3710011-001P,14,Planning,Jacumba Community Services District,"Jacumba CSD Distribution SystemReplacement",F,500,221,Small,SDAC,"$228,820.00","$228,820.00",$                 -
5304209-001P,1,Planning,"Junction City Elementary SchoolDistrict","Junction City School Water SystemEvaluatin and Source Improvement Project",F,100,1,Small,DAC,"$232,000.00","$232,000.00",$-
5510008-014P,11,Planning,"Lake Don Pedro Community ServicesDistrict","Surface Water Reliability and WaterTreatment Plant Modernization",F,"3,240","1,516",Small,SDAC,"$500,000.00","$500,000.00",$                 -
1810004-001P,2,Planning,"Leavitt Lake Community ServicesDistrict",Leavitt Lake CSD DWSRF New Well,D,950,258,Small,DAC,"$748,000.00","$748,000.00",$                 -
2000589-001P,11,Planning,"Legacy Development, LLC",MPMH Well Replacement,A,60,32,Small,SDAC,"$500,000.00","$500,000.00",$-
2010008-005P,11,Planning,"Madera, County of (MD10A - MaderaRanchos)","MD10A New Wells Improvement PlanningProject",C,"2,255",922,Small,non-DAC,"$3,080,433.00","$3,080,433.00",$                 -
0610003-001P,21,Planning,Maxwell Public Utility District,"Water System Treatment ImprovementProject",E,"1,317",393,Small,DAC,"$363,300.00","$363,300.00",$                 -
1200707-001P,1,Planning,Miranda Community Services District,MCSD Tank Replacement,F,600,143,Small,SDAC,"$225,000.00","$225,000.00",$                 -
4010005-001P,6,Planning,Oceano Community Services District,CIP Upgrade Projects,F,"7,601","2,217",Small,DAC,"$488,893.00","$488,893.00",$                 -
5500243-001P,11,Planning,"OLA Rambling Hills, LLC",Water Source Planning,F,45,17,Small,SDAC,"$500,000.00","$500,000.00",$                 -
5510026-001P,11,Planning,"Phoenix Lake Estates Country ClubMutual Water Company","Phoenix Lake Estates Country Club MutualWater Company Water Supply",C,870,351,Small,SDAC,"$500,000.00","$500,000.00",$-
0900308-001P,9,Planning,Quintette Service Corporation,"Quintette Service Corporation InfrastructureEnhancement Project",F,68,59,Small,SDAC,"$811,096.00","$811,096.00",$                 -
5304502-001P,1,Planning,"Salyer Heights Water Supply, Inc.","Salyer Heights New Treatment Plant &Water Tanks Project",A,82,42,Small,SDAC,"$424,750.00","$424,750.00",$                 -
4010028-001P,6,Planning,"San Luis Obispo, County of","Shandon (CSA 16) - Water SystemImprovement Project",F,"1,141",351,Small,SDAC,"$708,871.00","$708,871.00",$                 -
1210010-001P,1,Planning,Scotia Community Services District,"Scotia Water Treatment FacilityReplacement",F,681,272,Small,SDAC,"$1,133,000.00","$1,133,000.00",$-
3702354-001P,14,Planning,"Warner Springs Estates HomeownersAssociation","Warner Springs Tank, Wells, and MetersImprovement Project",D,340,287,Small,SDAC,"$567,500.00","$567,500.00",$                 -
5200014-001P,LPA82,Planning,Wilson Acres Mutual Water Co.,"Wilson Acres MWC InfrastructureRehabilitation Project",E,75,28,Small,DAC,"$275,000.00","$275,000.00",$                 -
3610002-001C,13,Construction,Alpine Water Users Association,System Meter Replacements,D,3000,932,Small,DAC,"$498,288.00","$498,288.00",$                 -
0410001-002C,21,Construction,"Biggs, City of",Storage Tank and Pump Station,F,1805,650,Small,DAC,"$5,000,000.00","$5,000,000.00",$                 -
5100138-001C,21,Construction,Browns Elementary School District,Browns School Well Rehabilitation Project,A,160,1,Small,SDAC,"$1,345,000.00","$1,345,000.00",$                 -
1100616-001C,21,Construction,Elk Creek Community Services District,Water Treatment Plant Improvement Project,B,300,90,Small,SDAC,"$3,571,429.00","$3,571,429.00",$                 -
5100107-009C,21,Construction,"Golden State Water Company -Robbins System","Robbins System - New Well and ArsenicRemoval Treatment (Sutter Co. WWD#1)",C,336,94,Small,DAC,"$7,520,000.00","$7,520,000.00",$                 -
0910007-001C,9,Construction,Lukins Brothers Water Company,Phase 2 Waterline Project - James Avenue,C,3168,968,Small,DAC,"$3,309,419.00","$3,309,419.00",$                 -
2010008-007C,11,Construction,"Madera, County of (MD10A - MaderaRanchos)",Meter and Pipeline Replacement Project,C,2255,922,Small,Non-DAC,"$51,693,188.00","$51,693,188.00",$                 -
1510013-003C,12,Construction,"McFarland, City of","Water System Improvement & TreatmentProject",C,12138,2220,Small,SDAC,"$15,000,000.00","$15,000,000.00",$                 -
1900785-001C,16,Construction,"Mitchell'S Avenue E Mobile HomePark",Arsenic Treatment Facility Improvements,C,35,24,Small,SDAC,"$1,110,000.00","$1,110,000.00",$                 -
4510002-007C,2,Construction,"Mountain Gate Community ServicesDistrict",Water System Improvement Project,F,2500,664,Small,SDAC,"$14,285,600.00","$14,285,600.00",$                 -
2100582-001C,18,Construction,Nicasio School District,"Nicasio School District Water SystemUpgrade Project",B,70,5,Small,SDAC,"$225,000.00","$225,000.00",$                 -
2700771-001C,5,Construction,"Pajaro/Sunny Mesa CommunityServices District",Springfield MWC - Nitrate,A,200,42,Small,SDAC,"$8,589,000.00","$8,589,000.00",$                 -
5410009-001C,12,Construction,Pixley Public Utilities District,Pixley TCP Treatment Design,C,2793,800,Small,SDAC,"$8,342,200.00","$8,342,200.00",$                 -
3110006-001C,11,Construction,Placer County Water Agency,Colfax WTP Replacement Project,C,3114,836,Small,non-DAC,"$26,280,000.00","$2,510,000.00","$10,000,000.00"
3110005-010C,2,Construction,Placer County Water Agency,"Shady Glen Consolidation ConstructionProject",C,336,120,Small,DAC,"$3,496,061.00","$3,496,061.00",$                 -
1010029-002C,23,Construction,"Sanger, City of",City of Sanger New Water Well Project,E,25404,5971,Medium,DAC,"$5,250,000.00","$5,250,000.00",$                 -
1910240-001C,22,Construction,Santa Clarita Valley Water Agency,"T7, U4 and U6 Wells PFAS Treatment(Incentive)",C,101000,29924,,Non-DAC,"$16,649,966.00","$16,649,966.00",$                 -
4900568-001C,18,Construction,Valley Ford Water Association,VFWA New Well,A,40,16,Small,DAC,"$2,150,000.00","$2,150,000.00",$                 -
5610022-002C,6,Construction,Ventura River Water District,2023 Water Projects,F,6400,2125,Small,Non-DAC,"$17,000,000.00","$17,000,000.00",$                 -
5610022-001C,6,Construction,Ventura River Water District,Tico Mutual Water Company Consolidation,C,70,38,Small,Non-DAC,"$3,256,648.00","$3,256,648.00",$       -
36000009-001P2,13,Planning,"Apple Valley Heights County WaterDistrict","Storage Tanks and Transmission PipelineImprovements",F,917,307,Small,SDAC,"$75,872.00","$75,872.00",$                 -
0600122-001P,27,Planning,Bishop Paiute-Shoshone Tribe,"Bishop Paiute Tribe Water SystemImprovements",C,2150,748,Small,SDAC,"$233,932.00","$233,932.00",$                 -
2510002-001P,2,Planning,Cedarville County Water District,Cedarville Capital Improvements,D,514,247,Small,SDAC,"$490,000.00","$490,000.00",$                 -
4710011-004P,1,Planning,City of Yreka,"South Yreka Water Supply & DistributionImprovements",D,7746,2452,Small,SDAC,"$1,497,000.00","$1,497,000.00",$                 -
3310001-010P,20,Planning,Coachella Valley Water District,"East Coachella Valley Water Supply PlanUpdate and Consolidation Planning Project",C,244472,97789,Small,SDAC,"$2,835,234.00","$2,835,234.00",$                 -
4700551-001P,1,Planning,Copco Lake Mutual Water Company,"Copco Lake MWC InfrastructureImprovement",B,181,63,Small,DAC,"$686,000.00","$686,000.00",$                 -
5000005-003P,LPA 80,Planning,"Crows Landing Community ServicesDistrict",Water System Improvement,D,322,111,Small,SDAC,"$550,000.00","$550,000.00",$                 -
2410006-001P,11,Planning,Delhi County Water District,Drinking Water Planning Project,C,5548,2253,Small,DAC,"$895,650.00","$895,650.00",$                 -
4710003-002P,1,Planning,"Fort Jones, Town of",Drinking Water Improvements Project,D,647,302,Small,SDAC,"$1,139,000.00","$1,139,000.00",$                 -
4500023-001P,2,Planning,"Hat Creek Highlands Mutual WaterCompany","Water Treatment and Storage ImprovementsProjects",D,145,64,Small,DAC,"$500,000.00","$500,000.00",$                 -
3610017-001P,13,Planning,Havasu Water Company,Havasu Water Company Improvements Plan,C,350,211,Small,SDAC,"$442,200.00","$442,200.00",$                 -
5000008-002P,LPA 80,Planning,"Knights Ferry Community ServicesDistrict",KFCSD Functioning Upgrades,C,168,60,Small,SDAC,"$623,175.00","$623,175.00",$                 -
5800805-001P,21,Planning,Lake Francis Mutual Water Company,"Lake Francis MWC DWSRF PlanningApplication",C,60,26,Small,DAC,"$780,949.00","$780,949.00",$                 -
4700549-001P,1,Planning,Lake Siskiyou Mutual Water Company,Lake Siskiyou Water System Upgrades,B,240,84,Small,DAC,"$421,750.00","$421,750.00",$                 -
1800516-001P,2,Planning,"Little Valley Community ServicesDistrict","Little Valley CSD - Drinking WaterImprovement Project",F,99,49,Small,DAC,"$432,500.00","$432,500.00",$                 -
1900147-001P,16,Planning,"Mescal Creek Water, Inc.",Water System Improvements,B,37,23,Small,DAC,"$1,200,000.00","$1,200,000.00",$                 -
0310005-004P,10,Planning,"Pine Grove Community ServicesDistrict",Lead Abatement and Water Conservation,D,900,361,Small,DAC,"$850,000.00","$850,000.00",$                 -
3110005-009P,2,Planning,Placer County Water Agency,Heather Glen Consolidation Planning Project,C,250,86,Small,SDAC,"$597,000.00","$597,000.00",$                 -
3110005-010P,2,Planning,Placer County Water Agency,Weimar Water Company Pipeline Project,C,900,442,Small,Non-DAC,"$2,000,000.00","$2,000,000.00",$                 -
4700630-001P,2,Planning,"Shasta View Heights Owners'Association, Inc.","Shasta View Heights Water SystemPlanning Activities",D,51,23,Small,SDAC,"$659,200.00","$659,200.00",$                 -
5410020-001P,24,Planning,"Woodlake, City of","Woodlake Water Systems ImprovementProject",F,7300,1903,Small,SDAC,"$832,000.00","$832,000.00",$                 -
