"Project
Number",Applicant,Scope of Work,Project Cost,EC Cost,"Population
Served","Cost per
population","Disadvantaged
Status","Project
Score","DWSRF Loan
Allocation","DWSRF PF
Allocation","BIL EC
Allocation","BIL Loan
Allocation","BIL PF
Allocation",Total Award,"Percent
PF",Comment
7825-01a,Crystal Falls Township,"WMR, LSLR, Meter Vault, WH Upgrades",6500000,$     -,3612,1800,NA,55,,,,,,$     -,0,
7824-01a,Osceola Township,"WMR, New Well Pumps/Piping",2888000,$     -,1268,2278,Overburdened,55,,,,,,$     -,0,
7889-01,"Charter Township of
Independence",WM Ext. & Looping,7805000,$     -,2526,3090,NA,55,,,,,,$     -,0,
7706-01a,Village of Schoolcraft,"WMR & LSLR, New Well",6410000,$     -,1525,4203,NA,55,,,,,,$     -,0,
7897-01a,Village of Shelby,WMR,3132000,$     -,210,14914,"Significantly
Overburdened",55,,,,,,$     -,0,
7663-01,Cass Lakeside Village,WMR & LSLR,5800000,$     -,246,23577,NA,55,,,,,,$     -,0,
7795-01a,City of Manistique,"WMR, Transmission Main, Meter Repl.",3710000,$     -,63,58889,Overburdened,55,,,,,,$     -,0,
7642-01,"Southeastern Oakland County
Water Authority",PS & Storage Upgrades,4450000,$     -,200728,22,NA,50,,,,,,$     -,0,
7850-01a,City of Grosse Pointe,"Looping, WMR, LSLR",2580000,$     -,4247,607,NA,50,,,,,,$     -,0,
7814-01a,Rockland Township,"Meter Repl., WH & Well Upgrades, WM
joint replacement",2215000,$     -,220,10068,Overburdened,50,,,,,,$     -,0,
7675-01,City of Niles,"WMR & LSLR, New Well",3000000,$     -,13833,217,NA,45,,,,,,$     -,0,
7498-01,City of Marysville,"WMR, LSLR, WTP, AMP Work",4000000,$     -,9942,402,NA,45,,,,,,$     -,0,
7660-01,White Lake Township,"Iron Removal, and Looping",10830000,$     -,5799,1868,NA,45,,,,,,$     -,0,
7665-01,Yankee Springs Township,"Arsenic Treatment, Looping",2400000,$     -,818,2934,NA,45,,,,,,$     -,0,
7539-01,Ann Arbor Township,"New Tank & Booster, WMR, Looping,
Vaults",12920000,$     -,3900,3313,NA,45,,,,,,$     -,0,
7550-01,Village of Beverly Hills,WMR,7410000,$     -,890,8326,NA,45,,,,,,$     -,0,
7500-01,Charter Township of Bloomfield,WMR,8550000,$     -,966,8851,NA,45,,,,,,$     -,0,
7615-01,Sumpter Township,WMR,2480000,$     -,250,9920,NA,45,,,,,,$     -,0,
7862-01,Garfield Township,"Booster, Looping, and Storage",23600000,$     -,19499,1210,NA,40,,,,,,$     -,0,
7886-01,Village of Britton,New Tank & Well Upgrades,3200000,$     -,537,5959,NA,40,,,,,,$     -,0,
7890-01,"Charter Township of
Independence",WM Ext. (PFAS),9710000,9710000,902,10765,NA,35,,,,,,$     -,0,
7690-01,Village of Constantine,Meter Repl. & Tank Upgrades,755000,$     -,1947,388,NA,25,,,,,,$     -,0,
