Loan Applicant,L17#,Project Description,Facility No.,"Estimated
Construction Start Date",Estimated Loan Amount
Hanover Park,6356,"Phase 4 - Replacement of 9,360' of watermain.",IL0314480,2027-03-31 0:00:00,4691000
Hanover Park,6357,"Phase 5 - Replacement of 9,290' of watermain.",IL0314480,2028-03-31 0:00:00,4623000
Industry,6178,"Phase 2 - Replacement of approximately 3,300 LF of watermains and the addition of approximately 300 LF of watermain to
provide looping. Replacement of 230 water meters.",IL1090300,2025-03-12 0:00:00,1485000
Irvington,6240,"Replacement of 18,400' of watermain.",IL1890250,2024-09-15 0:00:00,1004000
Kincaid,6061,Replacement of watermains.,IL0210250,2024-10-01 0:00:00,2000000
Kincaid,6062,"Construct a new 100,000-gallon elevated water tower, and new watermain for looping, and repairs to existing water tower.",IL0210250,2025-05-31 0:00:00,2080100
Kirkland,5850,"Replacement of watermians, valves, and fire hydrants.",IL0370300,2024-06-03 0:00:00,1457155
Kirkland,5852,Drill new potable water production well to add redundancy and capacity to the existing water system.,IL0370300,2026-07-01 0:00:00,1281000
Macomb,4231,Construction of new water treatment plant and abandonment of existing water treatment plant.,IL1090350,2025-02-15 0:00:00,23400000
Marshall,3486,"Installation of 2,250 water meters.",IL0230100,2024-05-01 0:00:00,1500000
Marshall,3487,Watermain looping.,IL0230100,2025-05-01 0:00:00,1250000
Marshall,5917,"Rehabilitate the north water tower: sandblasting, spot repairs, and repainting.",IL0230100,2026-05-01 0:00:00,750000
Marshall,5918,"The City plans to install a new 500,000 gallon water tower to help the city reach its goal of 2,000,000 gallons of elevated storage. The city supplies water to two other communities in Clark county, this new tower will allow them to better meet their
supply needs.",IL0230100,2027-05-01 0:00:00,2783000
Mount Vernon,5593,"Replacement of 30,750 LF of watermain.",IL0810300,2024-10-02 0:00:00,4650000
Mount Vernon,5594,"Replacement of 30,750 LF of watermain.",IL0810300,2025-10-02 0:00:00,4735000
North Chicago,4589,"Construction of a new 2 MG water tower and connecting 24"" transmission main.",IL0971250,2024-07-01 0:00:00,6647920
Oak Lawn,5083,"Construction of 60"" transmission main.",IL0312220,2024-06-17 0:00:00,43160000
Oquawka,6231,"Abandon Well #1 and install Well #4. Install new water meters. Replace water services, fire hydrants and valves.",IL0710300,2024-06-01 0:00:00,1118900
Otter Lake Water Commission,3524,"Replacement of existing 10"" water transmission main between Auburn and Pawnee.",IL1175200,2024-05-01 0:00:00,5261900
Palos Heights,6289,"Replacement of 6,000' of existing 6"" watermain with 8"" watermain.",IL0312370,2027-09-01 0:00:00,3356400
Palos Heights,6287,"Replacement of 4,000' of 6"" and 8"" watermain with 8"" watermain.",IL0312370,2025-09-01 0:00:00,2137500
Palos Heights,6286,"Replacement of 3,200' of 6"" watermain with 8"" watermain.",IL0312370,2024-09-02 0:00:00,1698800
Palos Heights,6288,"Cured in place lining of 900' of existing 8"" watermain. Add a 1,000' extension of an existing 6 and 8"" line.",IL0312370,2026-09-01 0:00:00,1360700
Rock Falls,5721,"Phase 4 - Construct approximately 4,250' of 6"" watermain and appurtenances.",IL1950450,2025-03-01 0:00:00,1474000
Rock Falls,5722,"Phase 5 - Construct approximately 4,800' of 6"" watermain and appurtenances.",IL1950450,2026-03-01 0:00:00,1526000
Round Lake Beach,6311,"Phase 2 - Replacement of 4,440 LF of watermain with 8"" watermain and replacing water meters.",IL0971550,2024-08-01 0:00:00,2500000
Round Lake Beach,6312,"Phase 3 - Replacment of 5,210 LF of watermain with 8"" watermain and replacing water meters.",IL0971550,2025-08-01 0:00:00,2750000
Round Lake Beach,6313,"Phase 4 - Replacement of 2,740 LF of watermain with 8"" watermain and replacing water meters.",IL0971550,2026-08-01 0:00:00,1950000
Round Lake Beach,6314,"Phase 5 - Replacement of 4,675 LF of watermain with 8"" watermain, and replace water meters.",IL0971550,2027-08-01 0:00:00,2500000
Schram City,5974,"Phase 3 - Replacement of watermain, valves, hydrants and appurtenances.",IL1350600,6/1/2024,700000
Seaton,6541,"Abandonment of the well water source and treatment facility and construct a 7-mile water transmission main to connect with
Aledo's finished water supply.",IL1310350,10/9/2024,1260000
Sesser,5797,Phase 4 - Replacement of watermains.,IL0550450,1/1/2025,1000000
Sibley,6537,"Phase 2 - Replacement of 1,337 LF of 6"" watermains.",IL0530400,5/1/2024,300000
Table Grove,6122,"Installation of a new mixer, ventilation blower and larger diameter vent in the existing elevated water storage tank.",IL0570900,4/1/2024,160000
Yates City,6115,"Construction of a new 75,000-gal. ground storage tank and associated piping. Demolition and abandoning existing ground
storage tank.",IL0950700,4/1/2024,1200000
