Loan Applicant,L17#,Project Description,Facility No.,"Estimated
Construction Start Date",Project Loan Amount
Kingston,TBD,Watermain replacement.,IL0370250,2024-10-07 0:00:00,$        -
Lake Zurich,TBD,The Village of Lake Zurich will join the CLCJAWA water system as it currently has radium containing wells.,IL0970850,2026-03-01 0:00:00,40000000
Lanark,6560,Meter replacement and meter reading system.,IL0150100,2023-10-01 0:00:00,1517000
"Long Creek
Township",2661,"Install an elevated storage, and well.",IL1155150,2024-07-01 0:00:00,7525000
Loves Park,6054,Construction a well and water treatment facility.,IL2010150,2025-02-01 0:00:00,12521817
Loves Park,6056,"Construction a 1,000,000-gallon storage tower.",IL2010150,2027-04-01 0:00:00,5537400
Loves Park,6150,Booster pump station and pressure reducing valve (PRV),IL2010150,2025-04-01 0:00:00,1241460
Manhattan,6544,New reatment plant with radium reduction at Well #7.,IL1970550,2024-04-01 0:00:00,8537271
Mansfield,TBD,Construct a new water treatment plant including water meters.,IL1470300,2024-07-01 0:00:00,2880000
Markham,6341,Replace watermains.,IL0311770,2023-10-01 0:00:00,2364094
Mattoon,TBD,Conversion of existing pebble lime slaker system to a high density hydrated lime system.,IL0290250,2024-01-01 0:00:00,2000000
Middletown,6539,Demolition and construction of a water treatment plant.,IL1070500,2024-02-29 0:00:00,940000
Morris,6276,New water treatment plant and 2 new wells.,IL0630600,2023-08-01 0:00:00,17500000
Mound City,TBD,Watermain replacements.,IL1530100,2024-02-01 0:00:00,1854767
Neoga,6590,"Replacement of watermaind, hydrants, meters and service lines.",IL0350150,2024-02-28 0:00:00,532727
Pike County Water District,6293,An emergency interconnect to the City of Barry and extending main to serve Possum Hollow and PAZA Park.,IL1495000,2024-04-01 0:00:00,1471000
"Pike County Water
District",6553,"200,000 gallon elevated water tower and a booster pump station.",IL1495000,2024-05-01 0:00:00,2305000
"Powers Water
Company",6583,"New well, raw watermain, standby generator, distribution valves",IL00895550,2024-11-01 0:00:00,1300000
Robinson Palestine Water Commission,TBD,New treatment plant.,IL0335030,2024-05-01 0:00:00,27000000
Rockdale,TBD,Construct a 0.5 MG elevated storage tank.,IL1970850,2025-07-01 0:00:00,4907000
Rockdale,TBD,"Construct 3,050 LF of 8"" watermain .",IL1970850,2028-04-03 0:00:00,1925800
Rockdale,TBD,"Construct 5,000 LF of 8"" watermain.",IL1970850,2025-04-01 0:00:00,2899000
Rockdale,TBD,"Construct 3,650 LF of 6"" watermain.",IL1970850,2027-04-01 0:00:00,2576000
Rockdale,TBD,Construct a watermain interconnect with the City of Joliet.,IL1970850,2027-04-01 0:00:00,475000
Rockdale,TBD,"Construct 3,000 LF of 10"" watermain .",IL1970850,2026-04-01 0:00:00,1366000
Rockdale,TBD,"Construct 3,285 LF of 8"" watermain.",IL1970850,2024-07-01 0:00:00,1718000
Rockdale,TBD,"Construct 5,700 LF of 8"" watermain .",IL1970850,2026-04-01 0:00:00,2644000
Rockford,5837,New treatment process.,IL2010300,2024-03-01 0:00:00,8517500
"Rural Wabash
County Water District",6578,Installation of a booster pump and master meter station to serve as an interconnection between Rural Wabash County Water District and the City of Mount Carmel.,IL1850010,2024-07-17 0:00:00,624500
Rushville,TBD,"Addition of a new sedimentation basin, chemical feed room modifications, SCADA upgrades and additions, piping and valves.",IL1370450,2024-10-01 0:00:00,2320000
Savanna,TBD,Well house and distribution system improvements.,IL0150250,2024-08-26 0:00:00,5000000
St. Jacob,1503,Add water storage to the water distribution system.,IL1190950,2024-06-15 0:00:00,2000000
Steeleville,TBD,Watermain replacement and looping.,IL1570650,2024-03-01 0:00:00,2339727
Sycamore,TBD,Replacement of watermain and services.,IL0370550,2024-06-15 0:00:00,5750000
Sycamore,TBD,Replacement of watermain and services.,IL0370550,2024-05-15 0:00:00,2500000
Tovey,6377,"Rehab water tower, replace meters and meter software.",IL0210650,2024-03-07 0:00:00,351000
Warrensburg,TBD,Replacement of wateramins.,IL1150500,2024-02-28 0:00:00,1510000
Waverly,TBD,"Addition of a new sedimentation basin, chemical feed room modifications, SCADA upgrades and additions, piping, valves ad
appurtenances.",IL1370450,2024-10-01 0:00:00,2320000
Winnebago,4890,"Replacement of water mains, hydrants and valves.",IL2010500,2024-06-03 0:00:00,4492393
Winnebago,6554,Construction and implementation of a new production well.,IL2010500,2027-04-05 0:00:00,1113804
Wonder Lake,TBD,"Expansion of CWS to Wonder Lake business district. 1870 ft of 8"" and 1680 ft of 12"" PVC water main along with 67 services.",IL1115750,2024-11-30 0:00:00,3500000
Woodland,TBD,"New elevated standpipe water tank, new well, replacement of 6 hydrants, and new aerator equipment at the WTP.",IL0751000,2024-07-01 0:00:00,1260000
Worth,TBD,"Painting 500,000 gallon elevated water tower.",IL0313360,2025-03-01 0:00:00,1500000
Worth,TBD,Replace all water meters.,IL0313360,2025-03-01 0:00:00,1500000
