Loan Applicant,L17#,Project Description,Facility No.,Estimated Construction Start Date,Requested Loan Amount,Disadvantaged Community Principal Forgiveness,Service Population,Loan Priority Score
Bond Madison Water Company,4892,Watermain looping and extension; water tower painting and SCADA upgrades.,IL0050020,12/1/23,2000000,,13598,120
Mason City,6008,"Construction of a new steel, 500,000 gal. pedestal water tank.",IL1250350,3/1/24,4000000,,2088,120
Warren,4419,Inserting 15 insert-A-Valves into the water distribution system and watermain replacement. Purchase a portable generator to service the wells and upgrade the electrical system at all three well houses.,,7/31/23,2246500,,1323,120
Ivesdale,5884,"Phase 2 - Replacement of 4,000' of watermain, valves, and fire hydrants.",IL0194560,9/15/23,980000,,252,115
Ivesdale,5885,"Phase 3 - Replacement of 4,000 LF of watermain, valves, and fire hydrants.",IL0194560,9/15/23,980000,,252,115
Pleasant Valley Public Water District,6112,"Construction of a new 150,000 gal. elevated water storage tank to replace the existing one.",IL1435470,12/11/23,1700000,,3915,115
Polo,6568,"Phase 2 - Construction of 3,060' of 8"" and 12"" watermains and 60 new water service lines.",IL1410450,2/16/24,2094000,,2291,115
Rochelle,5443,Construction of iron and manganese removal water treatment plant at Well No. 8.,IL1410500,10/2/23,8025000,,8975,115
SLM Water Commission,2963,"Installation of approximately 35,000 LF of 16"" watermain.",IL1635090,9/6/23,5350000,,40140,115
Sesser,5796,Phase 3 - Replacement of watermains.,IL0550450,1/1/24,1000000,,1931,105
Fulton,4297,"Repaint water tower and construction of 6,940' of 6"" and 12"" watermain.",IL1950250,10/2/23,2448000,,3285,100
Payson,4066,"Replacement of 40,000 gal. water tower with a 125,000 gal. water tower.",IL0010550,2/1/24,2100000,,980,100
Lost Lake Utility District,6092,"Replacement and installation of approximately 6,700 LF of new watermain.",IL1415100,3/1/24,2000000,,704,95
Country Club Hills,5716,"Interior and exterior painting both 2,000,000 gal. steel water reservoirs.",IL0310540,7/11/23,1950000,,16637,90
Hamel,4470,Watermain extension to provide loop in system and serve residents without water service.,IL1190450,2/1/24,400000,,811,90
Forrest,6392,Constructing a new chlorine building and dosing system as well as an access road and parking area.,IL1050450,11/1/23,555000,,1124,90
Downers Grove,6103,"Phase 1 - Replacement of Well House No 14 and the installation of approximately 1,575 LF of watermain.",IL0430300,9/8/23,4000000,,50247,85
North Park Water District,6307,"Phase 1 - Construction of new water supply well #7, well house, and water main connection as an additional water source for the NPWPD system to address PFAS issues.",IL2015500,2/1/24,7593000,,33500,85
Davis,6179,"Construction of 2,650' of 6"" and 8"" watermain and 26 new water service lines.",IL1770150,1/1/24,829000,,616,80
Morrison,5646,"Phase 4 - Construct a spray aeration system in the elevated water storage tank to remove hydrogen sulfide from Well 4 water supply, and install a generator and automatic transfer switch at Well 4.",IL1950350,2/1/24,980000,,4188,80
Schiller Park,6275,"Replacement of 13,000' of watermain and installation of new water service pipes and valves and rehabilitation of the existing meter vault.",IL0312850,2/1/24,7800000,,11709,80
Dixon,5649,"Phase 4 - Replacement of 2,000' of watermain and lining 800' of 8"" watermain and 2,530' of 12"" watermain.",IL1030200,3/1/24,2200000,,15733,75
Round Lake Beach,6310,"Phase 1 - Replacement of 5,715 LF of watermain, and meters.",IL0971550,8/1/23,3300000,,27252,65
Westmont,5128,Construction of a 1 MG elevated water storage.,IL0430950,10/1/23,6361700,,24089,50
Brookfield,6300,"Project A - Installation of 7,500' of 8"" and 700' of 12"" watermain. Installation of vales, valve vaults, fire hydrants, and 167 water service connections.",IL0310330,10/2/23,4189720,,18091,40
Palos Heights,6285,"Cured in place concrete lining of 1,800' of the existing 8"" watermain.",IL0312370,9/1/23,1158000,,12068,25
