Rank,Project Sponsor,Project Number,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points
12,Orange City,"0717001-
015",Orange Twp |PFAS in Well 7 Drinking Water System,32000,1200000,200000,1440000,250,0,0,5,5,0,80,0.3,340.3
13,Newark City,"0714001-
022",PROCESS AND OPERATIONAL UPGRADES AT THE PEQUANNOCK WATER TREATMENT PLANT,280000,18729224,191412,22551069,250,0,0,0,0,0,80,2.94,332.94
15,North Shore Water Association,"1904004-
001",Existing Well Requires Replacement,105,360000,115000,475000,300,0,20,0,0,0,0,0,320
17,Bloom.eld Township,"0702001-
003",Lead Service Line Replacement,47982,875000,1440000,1098395,300,0,0,5,0,0,0,0.47,305.47
18,"NJ American Water Company, Incorporated","1345001-
017",Oak Street Treatment Plant Improvements,290470,4239000,2763840,7002840,250,50,0,0,0,0,0,2.9,302.9
19,Aqua New Jersey Incorporate,"1103001-
005",Addition of radium treatment at Well 9 to resolve MCL exceedance,49000,583100,418226,1001326,250,50,0,0,0,0,0,0.49,300.49
21,North Shore Water Association,"1904004-
004",Water System Refurb,105,100000,145400,245400,300,0,0,0,0,0,0,0,300
22,Trenton City,"1111001-
005",5-year Lead Service Line Replacement & Veri.cation Project,225000,195000000,863200,239000000,250,0,15,0,5,0,15,2.17,287.17
24,Bloom.eld Township,"0702001-
004",Interconnection Project,47315,1920000,491000,2592000,250,0,0,5,0,0,15,0.47,270.47
24,Bloom.eld Township,"0702001-
005",Lead Service Replacement Phases,49973,6000000,879930,7700000,250,0,0,5,0,0,15,0.47,270.47
25,North Jersey District Water Supply Commission,"1613001-
013",Construction of a new 50 MGD Bellville Pump Station,872153,25000000,11690000,36690000,160,50,20,0,0,0,30,8.72,268.72
26,Merchantville Pennsauken Water Commission,"0424001-
002",Woodbine PFNA plant,49000,4455000,1300000,5646000,250,0,0,0,0,0,15,0.47,265.47
27,Winslow Township,"0436007-
006",Add radium removal treatment at existing wells 1 and 8 to correct Maximum Contaminant Level violations,39328,4953080,2439355,7392435,250,0,15,0,0,0,0,0.39,265.39
28,Belleville Township,"0701001-
003","Replacement of 7,000 lead service lines",35928,14000000,5940000,19940000,250,0,0,0,0,0,15,0.36,265.36
28,Belleville Township,"0701001-
004",Installation of lead corrosion control measures at four interconnections,35928,400000,280000,680000,250,0,0,0,0,0,15,0.36,265.36
29,Belleville Township,"0701001-
008",Belleville Lead Service Line Replacement,36069,2703600,450000,3568752,250,0,0,0,0,0,15,0.35,265.35
30,Orange City,"0717001-
014",Orange Twp | Relocation of the existing transmission main under the Glen Avenue Bridge for the stabilization of the pipe,30731,1225000,-,1843000,175,0,0,5,5,0,80,0.3,265.3
31,Upper Deer.eld Township,"0613004-
001",Radium Treatment Removal for Love Lane WTP (wells # 3 & 4),4500,2200000,1228000,3428000,250,0,0,0,0,0,15,0.04,265.04
32,National Park Borough,"0812001-
005",Addition of PFOS Treatment at Exisiting Water Plant,2983,1100000,770000,1526500,250,0,0,0,0,0,15,0.03,265.03
34,ADTI Housing Corporation,"2103002-
001",Chlorination system,83,243700,109665,353365,250,0,0,0,0,0,15,0,265
35,Buttonwood Mobile Home Park,"0301001-
001",Buttonwood system,77,240000,78000,318000,250,0,0,0,0,0,15,0,265
36,Newark City,"0714001-
001",Construction of an ozonation facility,285000,10000000,4660000,14660000,100,50,20,0,0,0,80,2.85,252.85
36,Newark City,"0714001-
013",Removal and disposal of sludge from lagoon,285000,3000000,1580000,4580000,100,50,20,0,0,0,80,2.85,252.85
37,Camden City,"0408001-
015",Morris-Delair WTP improvements - Phase II,77344,919790,524245,1444035,100,50,20,0,0,0,80,0.77,250.77
37,Camden City,"0408001-
016",Parkside WTP various improvements,77344,245277,139797,385074,100,50,20,0,0,0,80,0.77,250.77
38,Old Bridge Municipal Utilities Authority,"1209002-
014",Perrine Road Carbon Absorber Facility,65375,1200000,240000,1440000,250,0,0,0,0,0,0,0.67,250.67
39,Ridgewood Village,"0251001-
001",Water Treatment Centralization for PFAS Removal,61220,62433333,-,77551983,250,0,0,0,0,0,0,0.62,250.62
40,Moorestown Township,"0322001-
001",North Church Street Water Treatment Plant Upgrade,20726,15260000,4601000,19861000,250,0,0,0,0,0,0,0.21,250.21
41,Ramsey Borough,"0248001-
009",Arsenic treatment system at the Spring Street Treatment Facility,16350,422903,373372,796275,250,0,0,0,0,0,0,0.16,250.16
43,Sparta Township,"1918004-
003",Installation of uranium treatment equipment at two of the existing Autumn Hill well house (Well 1 and Well 2),15726,350000,-14000,336000,250,0,0,0,0,0,0,0.16,250.16
45,Waldwick Borough,"0264001-
003",Water Treatment Systems,9625,2700000,855640,3510000,250,0,0,0,0,0,0,0.1,250.1
46,Ho-Ho-Kus Borough,"0228001-
002",Ho-Ho-Kus Water Treatment System,4078,1500000,1700000,2110000,250,0,0,0,0,0,0,0.04,250.04
47,Brick Township Municipal Utilities Authority,"1506001-
011",Granular Activated Carbon (GAC) Treatment Addition,86898,16000000,4890000,20890000,200,0,20,0,0,0,15,0.87,235.87
48,East Orange City,"0705001-
014",Water System Improvement and Resiliency Project 2017,65078,19520000,5805200,25325200,100,50,0,5,0,0,80,0.75,235.75
50,Newark City,"0714001-
017",Water Distribution System Upgrades,285000,971100,866400,1837500,75,50,20,0,0,0,80,2.94,227.94
51,Newark City,"0714001-
002",Rehab of 42-inch Steel water main including cleaning & lining,285000,3000000,2070000,5070000,75,50,20,0,0,0,80,2.85,227.85
51,Newark City,"0714001-
008","Cleaning and lining of water mains, upgrading 4 inch mains to 6 & 8 inch mains, replace old .re hydrants",285000,24800000,9396000,34196000,75,50,20,0,0,0,80,2.85,227.85
51,Newark City,"0714001-
009","Replacement of 12,000 Lead service lines",285000,30000000,11060000,41060000,75,50,20,0,0,0,80,2.85,227.85
52,Camden City,"0408001-
004",Replacement of water mains on South Merrimac Road and New Hampshire Road,77344,4100000,2064000,6164000,75,50,20,0,0,0,80,0.77,225.77
52,Camden City,"0408001-
013",Cleaning & Lining of distribution and transmission mains,77344,7971514,4543450,12514964,75,50,20,0,0,0,80,0.77,225.77
52,Camden City,"0408001-
014",Replacement of Lead Service Lines,77344,567000,396900,963900,75,50,20,0,0,0,80,0.77,225.77
52,Camden City,"0408001-
020",Cleaning and lining of a transmission mains,77344,7358322,4193950,11552272,75,50,20,0,0,0,80,0.77,225.77
53,Berkeley Township Municipal Utilities Authority,"1505004-
010",Berkeley Township MUA Phase VII Water Main Installation,10800,6125000,4000000,7962500,125,0,20,0,0,0,80,0.11,225.11
54,High Bridge Borough,"1014001-
004",High Bridge Water System: Bunnvale Well Upgrades,3648,1119600,112000,1477872,175,50,0,0,0,0,0,0.03,225.03
55,Bridgeton City,"0601001-
005","Replacement of 2,190 LF of 6 inch with 8 inch main",22770,1723000,724600,2447600,75,50,15,0,0,0,80,0.23,220.23
56,Merchantville Pennsauken Water Commission,"0424001-
004",National Highway PFC plant,50000,7000000,1420000,8700000,200,0,0,0,0,0,15,0.47,215.47
57,Newark City,"0714001-
007",Construction of a hydro-electric facility at the pre-treatment plant screen building,285000,6000000,3750000,9750000,45,50,20,0,0,15,80,2.85,212.85
58,Atlantic City Municipal Utilities Authority,"0102001-
006",1 MG Storage Tank Sand Blasting and painting,94225,1345500,1042626,2388126,60,50,20,0,0,0,80,0.94,210.94
59,East Orange Water Commission,"0705001-
002",Cleaning & Lining of mains,80468,2164500,1212380,3376880,75,50,0,5,0,0,80,0.8,210.8
59,East Orange Water Commission,"0705001-
006",Replacement of west well transmission main,80468,2500000,1360000,3860000,75,50,0,5,0,0,80,0.8,210.8
59,East Orange Water Commission,"0705001-
007",Replacement of .fteen water mains suspended on Garden State Parkway bridges,80468,2500000,1360000,3860000,75,50,0,5,0,0,80,0.8,210.8
59,East Orange Water Commission,"0705001-
010","Installation of 2,150 LF of 8-inch & 1,400 LF of 4-inch for a redevelopment",80468,325000,227500,552500,75,50,0,5,0,0,80,0.8,210.8
60,Camden City,"0408001-
006",Rehabilitate the North Camden pump station,77344,500000,350000,850000,60,50,20,0,0,0,80,0.77,210.77
61,Atlantic City Municipal Utilities Authority,"0102001-
005",Installation of solar system at o.ces and at WTP,47011,4000000,2020000,6020000,45,50,20,0,0,15,80,0.47,210.47
62,North Jersey District Water Supply Commission,"1613001-
012","Improvement of chemical feed equipment, pressure gauges, meters and alarms for increased security measures",872153,500000,475000,975000,100,50,20,0,0,0,30,8.72,208.72
62,North Jersey District Water Supply Commission,"1613001-
014",Construction of a 6 MG ba.ed clearwell and rehab of an existing clearwell to include ba.es,872153,5000000,3190000,8190000,100,50,20,0,0,0,30,8.72,208.72
62,North Jersey District Water Supply Commission,"1613001-
016",Install 6 Layer Aerators including air piping and appurtenances.,872153,1000000,950000,1950000,100,50,20,0,0,0,30,8.72,208.72
62,North Jersey District Water Supply Commission,"1613001-
020",Rehabilitation of existing WTP,872153,4250000,2770000,7020000,100,50,20,0,0,0,30,8.72,208.72
62,North Jersey District Water Supply Commission,"1613001-
027",Expansion of Aeriation System,872153,1554000,1161888,2715888,100,50,20,0,0,0,30,8.72,208.72
62,North Jersey District Water Supply Commission,"1613001-
028",Filter Bldg Pipe Gallery Dehumid,872153,1246000,985712,2231712,100,50,20,0,0,0,30,8.72,208.72
62,North Jersey District Water Supply Commission,"1613001-
029",Basins 1-4 Flocculator Rehabilitation,872153,1970000,1399840,3369840,100,50,20,0,0,0,30,8.72,208.72
62,North Jersey District Water Supply Commission,"1613001-
032",Rehabilitation of Treatment Facility,872153,2465520,1683276,4148796,100,50,20,0,0,0,30,8.72,208.72
63,Aqua New Jersey Incorporate,"2119001-
008","Replacement of 7,080 LF of undersized water mains in Philipsburg",33560,1062000,727280,1789280,75,50,0,0,0,0,80,0.34,205.34
64,Buena Vista Township,"0660004-
001",Water Main extension due to private well contamination,184,-,-,-,125,0,0,0,0,0,80,0,205
65,Passaic Valley Water Commission,"1605002-
018",Upgrade residual treatment process to include belt thickners,347052,5000000,2460000,7460000,100,0,20,0,0,0,80,3.47,203.47
66,East Greenwich Township,"0803001-
004",Installation of .ltration system for PFC removal at #3 Well,9550,1741000,539200,2280200,200,0,0,0,0,0,0,0.1,200.1
67,Lakeshore Company,"1413001-
001",Lakeshore Water - New Well Treatment,250,342250,1800000,410700,200,0,0,0,0,0,0,0,200
68,Newark City,"0714001-
011",Rehabilitation of the basculate gate at the Charlotteburgh Reservoir with alarm and control systems,285000,2000000,1140000,3140000,45,50,20,0,0,0,80,2.85,197.85
69,Jersey City Municipal Utilities Authority,"0906001-
017",Boonton Plant Centrifuge,264290,1450200,290040,1740240,100,50,15,0,0,0,30,2.62,197.62
70,East Orange Water Commission,"0705001-
009",Installation of solar power at water treatment plant,80468,1000000,700000,1700000,45,50,0,5,0,15,80,0.8,195.8
71,East Orange City,"0705001-
012",WORPS SCADA Instrumentation/Controls Planning and Design,65078,3000000,2070000,5070000,60,50,0,5,0,0,80,0.65,195.65
71,East Orange City,"0705001-
013",WORPS Emergency Backup Power Generator Planning and Design,65078,3420000,2184000,5604000,60,50,0,5,0,0,80,0.65,195.65
72,Bridgeton City,"0601001-
006",Well 14/15 Rehabilitation,25349,5300000,-,6810000,100,0,15,0,0,0,80,0.25,195.25
73,Salem City,"1712001-
003",Upgrades to WTP to address taste and odor problems,5857,4500000,2240000,6740000,100,0,15,0,0,0,80,0.06,195.06
74,Egg Harbor City,"0107001-
002",Replacement of a water treatment plant,4700,8500000,2768740,11268740,100,0,15,0,0,0,80,0.05,195.05
75,"NJ American Water Company, Incorporated","2004002-
012",NJ American Water Lead Service Line Replacement Program PWSID 2004002,1,6700000,2274000,8974000,125,50,0,5,5,0,0,6.15,191.15
76,Camden City,"0408001-
021",New Auto Meter Reading Equip for entire City,77344,100000,3108500,3208500,25,50,20,0,0,15,80,0.77,190.77
77,Upper Deer.eld Township,"0613004-
002",Seabrook Water Tower Replacement (Upper Deer.eld),2964,1615000,323000,1938000,60,50,0,0,0,0,80,0.03,190.03
78,Jersey City Municipal Utilities Authority,"0906001-
027",PHASE 6B WATER MAIN REHABILITATION PROJECT,247597,6529990,-,8140310,75,50,20,5,5,0,30,2.62,187.62
79,Jersey City Municipal Utilities Authority,"0906001-
029",Phase 6A Water Rehabilitation,265510,15000000,-,18800000,75,50,20,5,5,0,30,2.62,187.62
80,North Jersey District Water Supply Commission,"1613001-
006",Construct a 48 inch by-pass main and rehabilitate the single 70+ yr old 74 inch aqueduct,872153,15000000,6260000,21260000,75,50,20,0,0,0,30,8.72,183.72
80,North Jersey District Water Supply Commission,"1613001-
009",Rehab of the Kearny/Bayonne Transmission main,872153,5600000,3526000,9126000,75,50,20,0,0,0,30,8.72,183.72
81,Lakewood Township Municipal Utilities Authority,"1514002-
001",LTMUA GAC Building (New Hampshire & Shorrock St),22000,8350000,3405680,10281500,100,0,0,0,0,0,80,0.22,180.22
82,Tuckerton Borough,"1532002-
004",Rehabilitation of three green sand .lter tanks and one backwash tank,3365,109000,49050,158050,100,35,15,0,0,0,30,0.03,180.03
83,Woodbine Borough,"0516001-
001",WTP Upgrade and water main extension,2472,2537500,706730,3244230,100,0,0,0,0,0,80,0.03,180.03
84,Passaic Valley Water Commission,"1605002-
015",Replace approximately 200 large antiquated valves,347052,2000000,1140000,3140000,75,0,20,0,0,0,80,3.47,178.47
84,Passaic Valley Water Commission,"1605002-
017",Installation of 7000 LF of 12-inch main to replace Granite Ave storage tank,347052,1700000,1008000,2708000,75,0,20,0,0,0,80,3.47,178.47
84,Passaic Valley Water Commission,"1605002-
019",Installation of 2200 LF of 12-inch main to connect Eastside Pumping station to Patersons downtown area,347052,600000,420000,1020000,75,0,20,0,0,0,80,3.47,178.47
85,Newark City,"0714001-
010","Replacement of 38,234 old water meters in the distribution system.",285000,19000000,7540000,26540000,25,50,20,0,0,0,80,2.85,177.85
86,Newark City,"0714001-
018",Replacement of Water Distribution Mains,273000,3000000,2070000,5070000,75,0,20,0,0,0,80,2.73,177.73
87,Atlantic City Municipal Utilities Authority,"0102001-
007",Water Main Replacement Program,94225,-,-,-,75,0,20,0,0,0,80,0.95,175.95
89,"NJ American Water Company, Incorporated","2004002-
014",RMWTP LT2ESWWTR and Filter Rehabilitation,44464,31209707,3088865,37983523,100,50,20,0,0,0,0,3.15,173.15
90,Jersey City Municipal Utilities Authority,"0906001-
019",Route 139 Water Main Replacement Project,262000,5000000,1060000,6060000,75,50,20,5,5,0,15,2.62,172.62
91,Wildwood City,"0514001-
006",2019 Capital Improvements (Drinking Water),94333,4756511,478605,6183204,75,0,15,0,0,0,80,0.94,170.94
92,Manchester Township,"1518005-
001",Various main replacements,26877,243890,56585,300475,75,0,15,0,0,0,80,0.27,170.27
94,Lower Township Municipal Utilities Authority,"0505002-
004",Del Haven Water Main Expansion / Wildwood Water Utility Interconnect,7222,8550000,-,10260000,125,0,15,0,0,0,30,0.07,170.07
95,Seaside Park Borough,"1527001-
004",Well 10 Treatment Facility,1700,495000,99000,594000,40,50,0,0,0,0,80,0.02,170.02
96,North Jersey District Water Supply Commission,"1613001-
026",Low Lift Gas Pump,872153,9142875,3665650,12808525,100,50,20,0,0,0,0,0,170
96,North Jersey District Water Supply Commission,"1613001-
031",Purchase and Install New Dewatering System,150,2469700,1215800,3685500,100,50,20,0,0,0,0,0,170
98,Arthur Road Well Association,"1912007-
001",Connection of this system to Hopatcong Borough,60,200000,299500,499500,170,0,0,0,0,0,0,0,170
99,North Jersey District Water Supply Commission,"1613001-
019",Ramapo Pump Station Improvements,872153,12000000,6750000,18750000,60,50,20,0,0,0,30,8.72,168.72
99,North Jersey District Water Supply Commission,"1613001-
021",Implementation of alternative energy generation systems at the Wanaque TP,872153,2500000,1790000,4290000,45,50,20,0,0,15,30,8.72,168.72
99,North Jersey District Water Supply Commission,"1613001-
035",Rehabilitation of Pump Stations,872153,1000000,5181742,6181742,60,50,20,0,0,0,30,8.72,168.72
100,"NJ American Water Company, Incorporated","1345001-
021",Swimming River WTP 2nd Clearwell,335449,16973964,5143231,22117195,100,50,0,0,0,0,15,3.35,168.35
102,Camden City,"0408001-
022",Install potable wells/.r elevations at Morris Delair WTP,46585,100000,1160000,1260000,15,50,20,0,0,0,80,0.47,165.47
103,Passaic Valley Water Commission,"1605002-
020",Replacement of Prospect Park storage tank,347052,800000,560000,1360000,60,0,20,0,0,0,80,3.47,163.47
103,Passaic Valley Water Commission,"1605002-
023",Decommissing of Granite Avenue Tank,347052,1700000,1008000,2708000,60,0,20,0,0,0,80,3.47,163.47
104,Brick Township Municipal Utilities Authority,"1506001-
014","Water Main Replacement on Cartagena Drive, Alhama Drive, Cadiz Drive, Valencia Drive and Monterey Drive",86898,1600000,495000,2095000,75,50,20,0,0,0,15,0.87,160.87
105,Passaic Valley Water Commission,"0231001-
002",Lead Service Line Replacement in Lodi System,24551,6000000,7000000,7200000,125,0,0,0,5,0,30,0.24,160.24
106,Berkeley Township Municipal Utilities Authority,"1505004-
003",Install new solar panels at treatment plant,8130,750000,525000,1275000,45,0,20,0,0,15,80,0.08,160.08
107,Netcong Borough,"1428001-
002",Replacement of leaking water mains,3236,1150000,766000,1916000,75,50,15,5,0,0,15,0.03,160.03
107,Netcong Borough,"1428001-
004",Replacement of 8in water main,3236,1597665,962972,2560637,75,50,15,5,0,0,15,0.03,160.03
108,Berkeley Township Municipal Utilities Authority,"1505323-
001",Northern Blvd Water Tower Rehabilitation Project,10800,1600000,-,2080000,60,0,20,0,0,0,80,0,160
109,Jersey City Municipal Utilities Authority,"0906001-
034",Boonton Water Treatment Plant Electric Substation/ Distribution System Improvements,262000,15000000,1700000,18000000,100,0,15,5,5,0,30,2.62,157.62
110,Wildwood City,"0514001-
004",Wildwood Boardwalk water main replacement,45500,1820080,674016,2494096,75,0,0,0,0,0,80,0.45,155.45
114,Hopatcong Borough,"1912001-
001",Hudson Avenue Water Main Installation,7224,750000,150000,900000,125,0,15,0,0,15,0,0.07,155.07
115,Paulsboro Borough,"0814001-
003","Water Main Replacement (Thomson, Wood, Eliz. and Commerce St.)",6025,850000,1877722,2727722,75,0,0,0,0,0,80,0.06,155.06
116,Clementon Borough,"0411001-
001",Rehab of Gibbsboro Water Main (White Horse Pike & White Horse Rd.),5003,300000,156750,456750,75,0,0,0,0,0,80,0.05,155.05
118,Sussex Borough,"1921001-
007",Sussex Borough Main Street Water Main Replacement Project,2201,496477,644047,595772,75,0,0,0,0,0,80,0.02,155.02
119,Sussex Borough,"1921001-
005",Lake Rutherford Water Line Installation Project,2130,1018000,203600,1221600,75,0,0,0,0,0,80,0.02,155.02
119,Sussex Borough,"1921001-
006",Water Systems Enhancements,2130,186000,37200,223200,75,0,0,0,0,0,80,0.02,155.02
120,Newark City,"0714001-
014",Installation of a SCADA system,285000,2500000,1360000,3860000,1,50,20,0,0,0,80,2.85,153.85
121,North Jersey District Water Supply Commission,"1613001-
018",Security system improvements - Relocation of Wanaque WTP main entrance gate closer to Ringwood Blvd,872153,3000000,1890000,4890000,45,50,20,0,0,0,30,8.72,153.72
121,North Jersey District Water Supply Commission,"1613001-
023",Security system improvements,872153,1500000,1200000,2700000,45,50,20,0,0,0,30,8.72,153.72
122,"NJ American Water Company, Incorporated","1345001-
018",Oak Glenn Treatment Plant Expansion,290470,26920000,12419600,39339600,100,50,0,0,0,0,0,2.9,152.9
123,Middlesex Water Company,"1225001-
029",CJO Plant Upgrade - DBP Removal Treatment,282741,21043630,6201344,27244974,100,50,0,0,0,0,0,2.33,152.33
124,East Orange Water Commission,"0705001-
004","Rehab of Braidburn wells #1 & #2; Canoe Brook wells #2, #3 & #4",80468,1196000,786240,1982240,15,50,0,5,0,0,80,0.8,150.8
124,East Orange Water Commission,"0705001-
005","Replacement of electrical cable for well.eld which includes Well Nos. 3, 4 & 5",80468,950000,665000,1615000,15,50,0,5,0,0,80,0.8,150.8
125,Mahwah Township,"0233001-
006","Rehabilitation of Ford Well.eld treatment, pumps & motors, electrical, SCADA and transmission mains",24062,4600000,2250536,6850536,100,50,0,0,0,0,0,0.24,150.24
126,Hawthorne Borough,"1604001-
002",Hawthorne Water Utility PFAs Treatment,18775,3500000,-,4750000,100,50,0,0,0,0,0,0.19,150.19
127,Freehold Borough,"1315001-
002",Water Plant Development,12052,5000000,-,6440000,100,0,15,0,5,0,30,0.12,150.12
128,Salem City,"1712001-
004",Salem City Water Meter,4931,1092100,253420,1345520,35,0,15,0,5,15,80,0.05,150.05
129,Willingboro Municipal Utilities Authority,"0338001-
002","Replacement of 56,000 LF of 6 and 8-inch mains-Twin Hills",34731,8100000,2350880,10450880,75,50,20,0,0,0,0,0.35,145.35
129,Willingboro Municipal Utilities Authority,"0338001-
003",Replacement of 6 & 8 inch mains in RIttenhouse section,34731,1585600,957664,2543264,75,50,20,0,0,0,0,0.35,145.35
130,Vineland City,"0614003-
012",Upgrades to well #4 water treatment plant including a new air stripping tower,33000,756000,529200,1285200,100,0,15,0,0,0,30,0.33,145.33
130,Vineland City,"0614003-
013",Upgrades to the existing water treatment plant at well #13 with new replacement well #18.,33000,4000000,2020000,6020000,100,0,15,0,0,0,30,0.33,145.33
131,Stafford Township,"1530004-
016","Installation of 5,000 LF of main under the GSP as secondary crossing",28868,3000000,1580000,4580000,75,35,20,0,0,0,15,0.29,145.29
131,Stafford Township,"1530004-
017","Replacement of 1,600 LF of water main on Charles Blvd",28868,363066,344910,707976,75,35,20,0,0,0,15,0.29,145.29
132,Egg Harbor City,"0107001-
001",Construction of a new storage tank,4700,2000000,340000,2340000,50,0,15,0,0,0,80,0.05,145.05
133,Hamburg Borough,"1909001-
002",Water Storage Tank Rehabilitation,3200,820000,298000,1000000,60,50,20,0,0,0,15,0.03,145.03
134,Netcong Borough,"1428001-
005",Roof and Structural repairs to a 1MG reservoir,3236,608125,425687,1033812,60,50,15,5,0,0,15,0.03,145.03
135,Manchester Utilities Authority,"1603001-
007",Replace existing booster station,12111,1100000,744000,1844000,60,50,15,0,0,0,15,0.12,140.12
136,Berkeley Township Municipal Utilities Authority,"1505004-
004",Install automated meter reading system,8130,500000,350000,850000,25,0,20,0,0,15,80,0.08,140.08
137,Hightstown Borough,"1104001-
009",Water Tank Painting & Repairs,5567,660500,762700,922600,60,50,15,0,0,0,15,0.05,140.05
139,Waterford Township Municipal Utilities Authority,"0435003-
001",New water mains for Maximum Contaminant Level violations,2408,1465738,904923,2370661,125,0,15,0,0,0,0,0.02,140.02
140,Mount Arlington Borough,"1426005-
003","Altenbrand, Windemere, McGregor and Lee Water Main Extension",133,1529000,330000,2020000,125,0,15,0,0,0,0,0.02,140.02
141,Jersey City Municipal Utilities Authority,"0906001-
016",Large Valve Replacement Program- Phase 2,264290,6101000,1220200,7321200,75,0,20,5,5,0,30,2.64,137.64
142,Jersey City Municipal Utilities Authority,"0906001-
012",Water Main Replacement,262000,12000000,4643000,16643000,75,0,20,5,5,0,30,2.62,137.62
142,Jersey City Municipal Utilities Authority,"0906001-
025",Phase 1 & 2 Water Main Replacement Project,264161,16166000,3345200,19511200,75,0,20,5,5,15,15,2.62,137.62
142,Jersey City Municipal Utilities Authority,"0906001-
026",5-B Water Project,250000,6100000,725400,7320000,75,0,20,5,5,0,30,2.62,137.62
142,Jersey City Municipal Utilities Authority,"0906001-
032",Van Horne Street Water Improvements,265549,3500000,226400,4200000,75,0,20,5,5,0,30,2.62,137.62
142,Jersey City Municipal Utilities Authority,"0906001-
033",Pine Street Area Water Improvements,5000,14412000,671200,19023840,75,0,20,5,5,0,30,2.62,137.62
143,East Orange City,"0705001-
500/001",Install generators -White Oak Rd,80468,3217000,1159440,4376440,1,50,0,5,0,0,80,0.8,136.8
145,Atlantic City Municipal Utilities Authority,"0102001-
009",Water Meter and MTU Replacement,75619,2210000,350000,2652000,25,0,15,0,0,15,80,0.76,135.76
146,Perth Amboy City,"1216001-
010",The Painting of the Backwash Tank and Stand Pipe Project,51928,1316460,-,1651532,100,0,0,0,5,0,30,0.52,135.52
147,Willingboro Municipal Utilities Authority,"0338001-
011",Well 6 Water Treatment Plant Upgrade,34731,6250000,2154000,8404000,100,0,20,0,0,0,15,0.35,135.35
148,Passaic Valley Water Commission,"1605002-
010",Installation of a back up Wanaque interconnection line,347052,750000,525000,1275000,30,0,20,0,0,0,80,3.47,133.47
148,Passaic Valley Water Commission,"1605002-
016",Upgrade the interconnection with United WC,347052,2000000,1140000,3140000,30,0,20,0,0,0,80,3.47,133.47
148,Passaic Valley Water Commission,"1605002-
022",Emergency interconnection upgrade,347052,2000000,1140000,3140000,30,0,20,0,0,0,80,3.47,133.47
149,Jersey City Municipal Utilities Authority,"0906001-
009",Burma Road Area Water System Improvements,262000,2000000,770000,2770000,75,0,15,5,5,0,30,2.62,132.62
149,Jersey City Municipal Utilities Authority,"0906001-
010",Journal Square North Cleaning,262000,5000000,2067000,7067000,75,0,20,5,0,0,30,2.62,132.62
149,Jersey City Municipal Utilities Authority,"0906001-
030",Phase 7a Water Improvements,265549,24797788,-,29985841,75,0,20,5,0,0,30,2.62,132.62
150,Jersey City Municipal Utilities Authority,"0906001-
018",Tonnele Avenue Water Main Replacement and Relining,257342,5540000,1902800,7442800,75,0,15,5,5,0,30,2.57,132.57
151,Jersey City Municipal Utilities Authority,"0906001-
006",Transmission Main Install,247000,13500000,6310000,19810000,75,0,20,5,0,0,30,2.47,132.47
151,NJ City Univ. / Jersey City Municipal Utilities Authority,"0906001-
005",Redevelopment of Brown.eld site,247000,882867,601385,1484252,75,0,20,5,0,0,30,2.47,132.47
