,Tier,Priority.Score,Applicant,Project.Number,Project.Type,Project.Description,Adoption.Date,Application.Deadline,Agreement.Deadline,Authorized.Loan.Amount,Principal.Forgiveness.Amt,Amount.To.Be.Repaid
13,Tier 1,133,Mascotte*,35121,DW/Des,(WTP Improvements Phase 1A),2/23/2022,6/23/2022,9/21/2022,"$1,757,800 ","$878,900 ","$878,900 "
14,Tier 1,100,"Bonita Springs Utilities, Inc.",36071,DW/Con,Distribution (Meter Replacement),11/10/2021,3/10/2022,6/8/2022,"$1,014,409 ",$0 ,"$1,014,409 "
15,Tier 2,564,Opa-Locka*,13038,DW/Plan/Des,Distribution (Miama Gardens),2/23/2022,6/23/2022,9/21/2022,"$152,600 ","$76,300 ","$76,300 "
16,Tier 2,511,"Mobile Manor, Inc*",36087,DW/Con,Distribution (Water Line and Meter Replacement),08/11/2021 02/03/2022,12/9/2021,AWARDED,"$2,315,728 ","$2,084,155 ","$231,573 "
17,Tier 3,483,American Beach Water and Sewer District*,45051,DW/Con,"Distribution (Connecting to	Existing Water System)",8/11/2021,12/9/2021,3/9/2022,"$2,523,500 ","$2,064,825 ","$458,675 "
18,Tier 3,480,Fellsmere*,31031,DW/Con,Distribution (AMR Meter Replacement),2/23/2022,6/23/2022,9/21/2022,"$605,981 ","$545,383 ","$60,598 "
19,Tier 3,464,Opa-Locka*,13038,DW/Con,Distribution  (Miami Gardens) Distribution,2/23/2022,6/23/2022,9/21/2022,"$1,581,996 ","$1,423,796 ","$158,200 "
20,Tier 3,452,Arcadia*,14013,DW/Con,(Water Distribution System Improvements),8/11/2021,12/9/2021,3/9/2022,"$6,135,100 ","$2,250,000 ","$3,885,100 "
21,Tier 3,442,Eagle Lake*,53091,DW/Des,Treatment (Green Acres WTP Improvements),2/23/2022,6/23/2022,9/21/2022,"$286,586 ","$143,293 ","$143,293 "
22,Tier 3,439,Parker*,03072,DW/Con,Distribution (Water Distribution System Improvements),8/11/2021,12/9/2021,3/9/2022,"$2,951,441 ","$1,287,271 ","$1,664,170 "
23,Tier 3,436,Belleview*,42077,DW/Con,Treatment (WTP#3 Upgrades Ph1),2/23/2022,6/23/2022,9/21/2022,"$6,072,651 ","$2,250,000 ","$3,822,651 "
24,Tier 3,422,Lake Wales,53037,DW/Con,Distribution (NW Water Main  02/23/2022 Extension),,6/23/2022,9/21/2022,"$2,549,100 ","$501,630 ","$2,047,470 "
25,Tier 3,421,Lake Wales,05303,DW/Con,Distribution (Water Main Replacement),5/25/2022,9/22/2022,12/21/2022,"$3,670,000 ",$0 ,"$3,670,000 "
26,Tier 3,421,Orange City*,64204,DW/Con,Treatment & Distribution (Pipe Rehabilitation & Looping),8/11/2021,12/9/2021,AWARDED 01/28/2022,"$17,250,898 ","$2,250,000 ","$15,000,898 "
27,Tier 3,414,Stuart,43045,DW/Con,"Treatment (RO WTP, WRF DIW Mod, RO Concentrate	Pipe)",8/11/2021,12/9/2021,3/9/2022,"$17,319,799 ","$893,319 ","$16,426,480 "
28,Tier 3,389,Big Bend Water Authority*,15052,DW/Des,Distribution (Water Distribution Replacement & Meters),8/11/2021,12/9/2021,AWARDED 11/15/2021,"$333,526 ","$166,763 ","$166,763 "
29,Tier 3,371,Bowling Green*,25028,DW/Plan,Distribution (Water main improvements Ph1),2/23/2022,6/23/2022,9/21/2022,"$60,000 ","$30,000 ","$30,000 "
30,Tier 3,364,Bonifay*,30014,DW/Con,Distribution (Water Distribution Replacement),8/11/2021,12/9/2021,AWARDED 05/25/2022,"$2,804,503 ","$2,236,374 ","$568,129 "
31,Tier 3,360,"Holt Water Works, Inc.*",46023,DW/Des,"Source, Treatment, Storage (Well, WTP and EST)",2/23/2022,6/23/2022,9/21/2022,"$525,000 ","$262,500 ","$262,500 "
32,Tier 3,353,Mulberry*,53122,DW/Plan,(Water main  improvements),2/23/2022,6/23/2022,9/21/2022,"$67,000 ","$33,500 ","$33,500 "
33,Tier 3,338,Springfield*,03051,DW/Con,Treatment (Water System  Rehabilitation),8/11/2021,12/9/2021,3/9/2022,"$2,038,000 ","$1,236,633 ","$801,367 "
34,Tier 3,337,Gulf County,23022,DW/Con,Treatment (Booster Station),2/23/2022,6/23/2022,9/21/2022,"$932,200 ","$393,625 ","$538,575 "
35,Tier 3,320,Dania Beach,06123,DW/Con,Source (Capacity  Purchase in C51  Reservoir),8/11/2021,12/9/2021,3/9/2022,"$4,600,000 ",$0 ,"$4,600,000 "
36,Tier 3,320,Newberry,01081,DW/Plan,Storage (Water tank  replacement),2/23/2022,6/23/2022,9/21/2022,"$150,000 ",$0 ,"$150,000 "
37,Tier 3,318,Davenport*,53073,DW/Plan,Source  (AWS Well),2/23/2022,6/23/2022,9/21/2022,"$80,000 ","$40,000 ","$40,000 "
38,Tier 3,300,Village of Tequesta,50270,DW/Con,Distribution (Water main  replacement 1 &  4),2/23/2022,6/23/2022,9/21/2022,"$2,631,932 ",$0 ,"$2,631,932 "
39,Tier 3,156,Jackson County*,32038,DW/Con,Distribution (Water main to  Indian Springs),2/23/2022,6/23/2022,9/21/2022,"$6,696,354 ","$2,250,000 ","$4,446,354 "
40,Tier 3,152,Palatka,54025,DW/Con,Treatment (Install Granular  Activated  Carbon Filter),8/11/2021,12/9/2021,AWARDED 03/24/2022,"$1,470,000 ",$0 ,"$1,470,000 "
41,Tier 3,122,Okeechobee Utility Authority,47013,DW/Con,Distribution (AMI Meter  Installation),2/23/2022,6/23/2022,9/21/2022,"$2,318,844 ","$457,796 ","$1,861,048 "
42,Tier 3,111,Pompano Beach,06248,DW/Con,Source (Capacity   Purchase in C51  Reservoir),2/23/2022,6/23/2022,9/21/2022,"$9,200,000 ",$0 ,"$9,200,000 "
43,Tier 3,100,Venice,58048,DW/Con,Treatment (WTP  Switchgear Replacement ),8/11/2021,12/9/2021,AWARDED 01/14/2022,"$17,461,565 ",$0 ,"$17,461,565 "
