Loan Applicant,L17#,Project Description,Facility No.,Estimated Construction Start Date,Requested Loan Amount,Estimated Loan Amount,Principal Forgiveness Reserved,Population,Loan Priority Score
Sesser,5796,Phase 3: Watermain replacement,IL0550450,2/1/25,1000000,1000000,710000,1931,300
Edinburg,3922,"Install interconnect. Replace 11,000' of 6"" raw and 1,700' of 4"" potable watermain, valves, and hydrants",210150,9/1/24,1009000,1009000,716390,1208,295
Dallas Rural Water District,3237,Replace SCADA and install flow control building,IL0710010,9/15/24,5000000,5000000,3550000,6125,290
Gibson City,6381,"Construct two new wells and well houses, and treatment plant improvements",,10/15/24,5534330,5534330,3929374,3475,290
Joliet,6076,"Replace 30 miles of watermain, hydrants, valves, and water services",1970450,2/28/25,91072085,35000000,0,150372,290
Carmi,6797,"Phase 1: Replace 2,300 meters",IL1930100,2/1/25,1600000,1600000,1136000,4762,285
North Park Water District,6308,"Construct a new treatment plant, 3,500' of 20"" transmission main for the removal of PFAS",IL2015500,2/28/25,28800000,21505000,0,33500,285
Romeoville,3265,Replace watermains. Transition from treated well water to Lake Michigan water,IL1970900,10/15/24,5000486,5000486,0,50458,285
Joliet,6801,"JOL-08-03: Upgrade two booster stations, construct a new booster station, and add a pressure reducing station",1970450,2/28/25,16608000,0,0,148693,280
Oquawka,6231,"Install meters, replace galvanized service lines, hydrants, and valves. Abandon Well #1 and install new Well #4",IL0710300,3/1/24,1172360,1172360,832376,1244,280
St. Charles,6102,"Construct a new deep well at the Kautz and Ohio Ave detention basin, improve Ohio Ave treatment plant",IL0894830,3/15/25,16600000,16600000,0,33081,280
Assumption,6542,Construct a new treatment plant,210050,7/15/24,3800000,3800000,2698000,1368,275
Carmi,6543,Rehab and paint elevated storage tank,IL1930100,2/1/25,925000,925000,656750,4762,270
Joliet,6787,JOL-08-02: Construct two elevated storage tanks as part of the City's Alternative Water Source (AWS) Program,1970450,1/1/25,16927000,0,0,148693,270
Joliet,6802,JOL-08-04: Install transmission mains in four locations,1970450,2/28/25,33884000,0,0,148693,270
Norris City,6388,Replace undersized and exposed watermains and meters with radio meters and a radio read system,IL1930350,7/1/24,1845000,1845000,1309950,2302,270
Otter Lake Water Commission,3524,"Replace 10"" cast iron water transmission main between Auburn and Pawnee",IL1175200,9/11/24,5690800,5690800,4040468,18451,270
Table Grove,6122,"Install a new mixer, ventilation blower, and larger diameter vent in existing elevated storage tank",IL0570900,4/1/24,160000,160000,113600,343,270
Bloomingdale,6770,Replace watermains,IL0430100,9/2/24,1900000,1900000,0,22508,265
North Park Water District,7110,Rehab Well #4 and install raw water transmission main for the removal of PFAS,IL2015500,2/28/25,5600000,5600000,0,33500,265
North Park Water District,7111,"Purchase filter vessels for the removal of PFAS from Wells #3, #4 and #7",IL2015500,2/28/25,5500000,5500000,0,33500,265
North Park Water District,7109,Rehab Well #3 and wellhouse #7 for the removal of PFAS,IL2015500,2/28/25,4850000,2395000,0,33500,265
Round Lake Beach,6310,"Phase 1 of 5-year watermain replacement project: Replace 5,715' of main and meters",IL0971550,8/1/23,3300000,3300000,0,27252,265
Blue Mound,5762,LSLR Reallotted Funds,IL1150100,9/15/24,2000000,2000000,1420000,1129,255
Bond Madison Water Company,4892,IEPA FY24 Carry Over BIL LSLR,50020,11/15/24,2000000,2000000,1420000,19698,255
Downers Grove,6103,IEPA FY25 BIL LSLR Funding,251605030,9/8/24,4000000,4000000,0,50247,255
Schram City,5974,"Phase 3: Replace watermains, valves and hydrants",IL1350600,2/1/25,2000000,2000000,1420000,586,255
Vandalia,4177,"Construct a new treatment plant with a new intake structure off the Kaskaskia River and install 10,000' of watermain",IL0510350,8/30/24,3999999,3999999,2839290,7458,255
