EPIC Project ID,Entity,Project,Estimated Loan Amount,SDWIS Population,PWS ID,County,Loan Type,Estimated Award Date,Rate,District Office
63,Bowerston,New Water Treatment Plant and Raw Water Improvements Project,"$6,000,000.00",437,OH3400112,Harrison,Construction,23-Oct,DIS,SEDO
64,Bowling Green,Low Service Pump Station #1 Improvements HAB,"$3,100,000.00","31,529",OH8700311,Wood,Construction,24-Jan,STD/HAB,NWDO
65,Bowling Green,RO Calcium Contactor,"$2,250,000.00","31,578",OH8700311,Wood,Construction,24-Mar,STD,NWDO
66,Bowling Green,South College Drive Waterline Improvements,"$1,700,000.00","31,578",OH8700311,Wood,Construction,24-Feb,STD,NWDO
67,Bowling Green,South Main Street Waterline Improvements,"$2,200,000.00","31,578",OH8700311,Wood,Construction,23-Dec,STD,NWDO
68,Bowling Green,The Village Subdivision Waterline Improvements,"$2,400,000.00","31,578",OH8700311,Wood,Construction,23-Oct,STD,NWDO
69,Bradner,East & Evans Waterline Replacement,"$55,100.00","1,152",OH8700412,Wood,Design,23-Oct,PLN/DES,NWDO
70,Bradner,East & Evans Waterline Replacement,"$495,831.00",985,OH8700412,Wood,Construction,24-Feb,SML,NWDO
71,Bremen,Water Meter Replacement,"$561,700.00","1,425",OH2300212,Fairfield,Construction,24-May,SML,CDO
72,Bridgeport,Well Field Abandonment - EC,"$47,250.00","1,579",OH0700612,Belmont,Construction,24-Feb,EC,SEDO
73,Brilliant,Water and Sewer District 2022-2023 Waterline Replacement,"$2,593,050.00","2,100",OH4100412,Jefferson,Construction,24-Apr,DIS,SEDO
74,Brookville,Wolf Creek Street Waterline Replacement,"$1,492,271.00","5,919",OH5700203,Montgomery,Construction,23-Dec,SML,SWDO
75,Brown County Rural Water Association,Wahlsburg Tank,"$7,500,000.00","22,000",OH0802012,Brown,Construction,23-Sep,STD,SWDO
76,Buckeye Lake,First Street Water Line Improvements,"$352,000.00",100,OH4564712,Licking,Construction,24-Jan,REG,CDO
77,Buckeye Water District,SR 45 Water Transmission Main,"$6,239,238.00","10,300",OH1502911,Columbiana,Construction,23-Oct,REG,NEDO
78,Burr Oak Regional Water District,Morgan County- Bishopville Expansion,"$1,615,780.00",761,OH0501311,Athens,Construction,24-Jun,DIS/REG,SEDO
79,Butler,Water / Wastewater Improvements 2022,"$290,500.00",939,OH7000412,Richland,Construction,23-Oct,SML,NWDO
80,Cadiz,Lead Service Line Replacement Project,"$975,000.00","3,165",OH3400214,Harrison,Construction,23-Aug,LSL,SEDO
81,Cadiz,Phase II Water System Improvements,"$2,565,000.00","3,268",OH3400214,Harrison,Construction,23-Aug,SML,SEDO
82,Caldwell,WTP & Raw Water Supply and Distribution (E Tank),"$18,484,000.00","2,334",OH6100011,Noble,Construction,23-Dec,DIS/EC,SEDO
83,Cambridge,Raw Water System Improvements,"$17,821,000.00","29,000",OH3000111,Guernsey,Construction,24-Mar,STD,SEDO
84,Camden,Water/Wastewater Improvements 2022,"$1,526,400.00","1,989",OH6800112,Preble,Construction,23-Oct,SML,SWDO
85,Canton,Canton Water Dept. Service Center Shop Renovations,"$10,900,000.00","107,500",OH7608112,Stark,Construction,23-Aug,STD,NEDO
86,Catawba,Water System Improvements,"$13,400.00",242,OH1200312,Clark,Planning,23-Aug,PLN/DES,SWDO
87,Catawba,Water System Improvements,"$950,000.00",242,OH1200312,Clark,Construction,24-Jun,SML,SWDO
88,Chagrin Falls,Maple Street Waterline Replacement,"$1,250,000.00","4,032",OH1800212,Cuyahoga,Construction,23-Dec,SML,NEDO
89,Chagrin Falls,Walnut Street Water Line Replacement,"$1,100,000.00","5,000",OH1800212,Cuyahoga,Construction,23-Oct,SML,NEDO
90,Chesterhill,Water System Improvements PFAS,"$146,200.00",823,OH5800112,Morgan,Design,23-Aug,EC,SEDO
91,Chillicothe,Booster Station and Tank Construction,"$1,750,000.00","21,725",OH7199112,Ross,Construction,24-Jan,STD,SEDO
92,Cincinnati,Apple - Hanfield Area Water Main Replacement,"$2,307,000.00","750,200",OH3102612,Hamilton,Construction,23-Dec,STD/LSL,SWDO
93,Cincinnati,"Branch Only- Beech, Eighth, St. Lawrence LSL","$1,650,000.00","750,200",OH3102612,Hamilton,Construction,24-May,LSL,SWDO
94,Cincinnati,"Branch Only- Jonathan, Ruth, Woodburn LSL","$1,210,000.00","750,200",OH3102612,Hamilton,Construction,24-May,LSL,SWDO
95,Cincinnati,Burch - Shaw Area Water Main Replacement,"$2,422,000.00","450,200",OH3102612,Hamilton,Construction,24-May,STD/LSL,SWDO
96,Cincinnati,Cappel - Hermosa Area Waterline Replacement,"$3,796,710.00","301,394",OH3102612,Hamilton,Construction,23-Aug,STD/LSL,SWDO
97,Cincinnati,Carson - Fairbanks Area Waterline Replacement,"$2,485,000.00","301,394",OH3102612,Hamilton,Construction,23-Dec,STD/LSL,SWDO
98,Cincinnati,CUF McMicken - Enslin Water Main Replacement,"$2,985,486.00","750,200",OH3102612,Hamilton,Construction,23-Oct,STD/LSL,SWDO
99,Cincinnati,Fairview - Probasco Area Water Main Replacement,"$3,965,365.00","302,687",OH3102612,Hamilton,Construction,23-Aug,STD/LSL,SWDO
100,Cincinnati,Fire Flow Collection Waterline Replacement,"$2,913,000.00","750,200",OH3102612,Hamilton,Construction,24-Apr,STD/LSL,SWDO
101,Cincinnati,Hyde Park Area Water Main Replacement,"$2,569,543.00","750,200",OH3102612,Hamilton,Construction,23-Dec,STD/LSL,SWDO
102,Cincinnati,McMillan - Calhoun Area Water Main Replacement,"$1,782,000.00","301,394",OH3102612,Hamilton,Construction,24-Mar,STD/LSL,SWDO
103,Circleville,2.0 MGD Reverse Osmosis Membrane Treatment Plant,"$2,662,000.00","13,986",OH6500412,Pickaway,Design,23-Sep,EC,CDO
104,Cleveland,CWD 2022 LSLR Special Cases,"$5,460,000.00","1,308,955",OH1801212,Cuyahoga,Construction,23-Sep,LSL,NEDO
105,Cleveland,CWD LSLR 2023-1,"$3,535,630.00","1,308,955",OH1801212,Cuyahoga,Construction,23-Dec,LSL,NEDO
106,Cleveland,CWD LSLR 2023-10 Supplies,"$2,768,165.00","1,308,955",OH1801212,Cuyahoga,Construction,23-Oct,LSL,NEDO
107,Cleveland,CWD LSLR 2023-2,"$3,535,630.00","1,308,955",OH1801212,Cuyahoga,Construction,23-Dec,LSL,NEDO
108,Cleveland,CWD LSLR 2023-3,"$3,535,630.00","1,308,955",OH1801212,Cuyahoga,Construction,23-Dec,LSL,NEDO
109,Cleveland,CWD LSLR 2023-4,"$3,535,630.00","1,308,955",OH1801212,Cuyahoga,Construction,23-Dec,LSL,NEDO
110,Cleveland,CWD LSLR 2023-5,"$3,535,630.00","1,308,955",OH1801212,Cuyahoga,Construction,23-Dec,LSL,NEDO
111,Cleveland,CWD LSLR 2023-6,"$3,535,630.00","1,308,955",OH1801212,Cuyahoga,Construction,23-Dec,LSL,NEDO
112,Cleveland,CWD LSLR 2023-7,"$3,535,630.00","1,308,955",OH1801212,Cuyahoga,Construction,23-Dec,LSL,NEDO
113,Cleveland,CWD LSLR 2023-8 Special Cases - 1,"$3,172,050.00","1,308,955",OH1801212,Cuyahoga,Construction,23-Dec,LSL,NEDO
114,Cleveland,CWD LSLR 2023-9 Special Cases - 2,"$3,172,050.00","1,308,955",OH1801212,Cuyahoga,Construction,23-Dec,LSL,NEDO
115,Cleveland,Highland and Trebisky Transmission Main Renewal Phase 2,"$11,000,000.00","1,308,955",OH1801212,Cuyahoga,Construction,23-Dec,STD,NEDO
116,Cleveland,Kirtland Crib Rehabilitation Phase 1,"$25,000,000.00","1,308,955",OH1801212,Cuyahoga,Construction,23-Oct,STD,NEDO
117,Cleveland,Ridge Road Watermain Rehabilitation,"$9,000,000.00","1,308,955",OH1801212,Cuyahoga,Construction,23-Oct,STD,NEDO
118,Clinton County,New Water Tank,"$521,000.00","40,000",OH8300512,Clinton,Design,23-Oct,PLN/DES,SWDO
119,Clinton County,New Water Tank,"$5,489,000.00","40,000",OH8300512,Clinton,Construction,24-Mar,STD,SWDO
120,Coal Grove,Coal Grove Interconnection with Ironton,"$1,088,694.00","2,167",OH4400012,Lawrence,Construction,23-Sep,REG,SEDO
121,Coal Grove,Waterline Replacement Phase II,"$806,300.00","2,167",OH4400012,Lawrence,Design,23-Oct,PLN/DES,SEDO
122,Coal Grove,Waterline Replacement Phase II,"$8,040,300.00","2,167",OH4400012,Lawrence,Construction,24-May,DIS,SEDO
123,Columbiana,Backup Power for Wells,"$485,000.00","6,750",OH1500312,Columbiana,Construction,23-Sep,SML,NEDO
124,Columbus,5th Av by Northwest-Edgehill Meadow WL Imp CIP 690236-100159,"$1,000,000.00","1,252,018",OH2504412,Franklin,Construction,24-Jan,STD,CDO
125,Columbus,"Aragon Ave Area Water Line Improvements, CIP 690236-100102","$4,000,000.00","837,038",OH2504412,Franklin,Construction,23-Dec,STD,CDO
126,Columbus,Athens Ave and Rumsey Rd Area WL Imprs CIP# 690236-100136,"$4,000,000.00","1,252,018",OH2504412,Franklin,Construction,24-Jun,STD,CDO
127,Columbus,"Atlanta Dr. Area WL Imprs, CIP 690236-10013","$4,000,000.00","1,233,879",OH2504412,Franklin,Construction,24-Mar,STD,CDO
128,Columbus,"Atwood Terrace Area WL Improvements, CIP 690236-100099","$3,500,000.00","837,038",OH2504412,Franklin,Construction,23-Sep,STD,CDO
129,Columbus,"Bluefield Drive Area WL Imprs, CIP 690236-100","$4,000,000.00","1,233,879",OH2504412,Franklin,Construction,23-Dec,STD,CDO
130,Columbus,"Clearview Ave Area WL Imprs, CIP 690236-10013","$4,000,000.00","1,233,879",OH2504412,Franklin,Construction,23-Dec,STD,CDO
131,Columbus,DRWP Automation/SCADA Upgrades CIP# 690567-100000,"$2,600,000.00","1,252,018",OH2504412,Franklin,Construction,23-Dec,STD,CDO
132,Columbus,DRWP Caustic Feed Imprs CIP 690578-100000,"$800,000.00","1,233,879",OH2504412,Franklin,Construction,24-Jan,STD,CDO
133,Columbus,DRWP Laboratory Upgrades CIP 690523-100000,"$1,500,000.00","1,233,879",OH2504412,Franklin,Construction,23-Jul,STD,CDO
134,Columbus,Elizabeth Ave Area WL Imprs CIP 690236-100132,"$4,000,000.00","1,233,879",OH2504412,Franklin,Construction,23-Dec,STD,CDO
135,Columbus,Eureka-Fremont Area WL Imprs CIP #690236-100143,"$2,000,000.00","852,144",OH2504412,Franklin,Construction,23-Oct,STD,CDO
136,Columbus,Fourth Water Plant - Design Mod 1- CIP# 690600--100000,"$11,838,000.00","1,252,018",OH2504412,Franklin,Planning,23-Jul,PLN/DES,CDO
137,Columbus,Fourth Water Plant- Design Mod 2- (CIP# 690600-100000),"$18,000,000.00","1,252,018",OH2504412,Franklin,Design,24-Jan,STD,CDO
138,Columbus,HCWP Lime & Soda Ash Dust Coll Sys Imprs CIP #690545-100000,"$2,400,000.00","852,144",OH5200412,Franklin,Construction,23-Jul,STD,CDO
139,Columbus,Heyl Ave Area Water Line Imps CIP# 690236-100135,"$4,000,000.00","1,252,018",OH2504412,Franklin,Construction,24-Jun,STD,CDO
140,Columbus,Jermain Drive Area Water Line Imprs CIP# 690236-100134,"$4,000,000.00","1,252,018",OH2504412,Franklin,Construction,24-Jun,STD,CDO
141,Columbus,Kent-Fairwood Area WL Imprs CIP #690236-10014,"$1,000,000.00","852,144",OH2504412,Franklin,Construction,24-Jan,STD,CDO
142,Columbus,Kenwick Rd Area Water Line Improvements CIP# 690236-100137,"$4,000,000.00","1,252,018",OH2504412,Franklin,Construction,24-Jun,STD,CDO
143,Columbus,Lead Service Line Repl CIP 690236-100175,"$5,000,000.00","878,553",OH2504412,Franklin,Construction,24-Mar,LSL,CDO
144,Columbus,"Lee Ellen Pl. Area WL Imprs, CIP 690236-100128","$4,000,000.00","1,233,879",OH2504412,Franklin,Construction,24-Apr,STD,CDO
145,Columbus,Lexington Ave Area Water Line Imps CIP# 690236-100133,"$4,000,000.00","1,252,018",OH2504412,Franklin,Construction,24-Jun,STD,CDO
146,Columbus,"Manchester Ave WL Improvements, CIP 690236-100113","$1,000,000.00","878,553",OH2504412,Franklin,Construction,24-Jan,STD,CDO
147,Columbus,Miller Ave Area WL Imprs CIP 690236-100122,"$4,000,000.00","1,233,879",OH2504412,Franklin,Construction,23-Dec,STD,CDO
148,Columbus,N. Sixth St & E. 3rd Ave Area WL Imps CIP# 690236-100157,"$500,000.00","1,252,018",OH2504412,Franklin,Construction,24-Jun,STD,CDO
149,Columbus,"Newton-Bedford WL Imprs, CIP 690236-100120","$500,000.00","837,038",OH2504412,Franklin,Construction,24-Feb,STD,CDO
150,Columbus,Palmetto Westgate Area WL Imprs CIP #690236-10045,"$3,000,000.00","852,144",OH2504412,Franklin,Construction,24-Mar,STD,CDO
151,Columbus,Parsons Avenue Water Plant Lab Reno CIP# 690291-100005,"$2,500,000.00","1,252,018",OH2504412,Franklin,Construction,24-Jun,STD,CDO
152,Columbus,PAWP - Plant Drain & Water System Imps CIP# 690552-100001,"$750,000.00","1,252,018",OH2504412,Franklin,Construction,24-Mar,STD,CDO
153,Columbus,PAWP Control Room Renovation CIP #690291-100003,"$1,500,000.00","852,144",OH2504412,Franklin,Construction,24-Feb,STD,CDO
154,Columbus,PAWP Wellfield Development CIP# 690580-100000,"$8,000,000.00","1,252,018",OH2504412,Franklin,Construction,24-Jun,STD,CDO
155,Columbus,Plant Drain & Water System Improvements,"$7,500,000.00","852,144",OH2504412,Franklin,Construction,24-Jan,STD,CDO
156,Columbus,"Riverview Dr. Area WL Imprs, CIP 690236-100125","$4,000,000.00","1,233,879",OH2504412,Franklin,Construction,24-Jan,STD,CDO
157,Columbus,Roosevelt Ave Area WL Imprs CIP 690236-100123,"$4,000,000.00","1,233,879",OH2504412,Franklin,Construction,24-Mar,STD,CDO
158,Columbus,"Sawmill Place Blvd Area WL Imprs, CIP 690236-100126","$4,000,000.00","1,233,879",OH2504412,Franklin,Construction,24-Jan,STD,CDO
159,Columbus,Velma Ave Area Water Line Improvements CIP# 690236-100138,"$4,000,000.00","1,252,018",OH2504412,Franklin,Construction,24-Jun,STD,CDO
160,Columbus,"Wellington Blvd Area WL Imprs, CIP 690236-100127","$4,000,000.00","1,233,879",OH2504412,Franklin,Construction,24-Jan,STD,CDO
161,Columbus Grove,Main Street Downtown Water Project LSL,"$2,525,017.00","2,150",OH6900112,Putnam,Construction,24-Mar,SML/LSL,NWDO
162,Conneaut,Clark Street Water Tower Replacement,"$600,000.00","12,613",OH0400411,Ashtabula,Design,23-Sep,PLN/DES,NEDO
163,Conneaut,Clark Street Water Tower Replacement,"$6,000,000.00","12,567",OH0400411,Ashtabula,Construction,24-May,STD,NEDO
164,Conneaut,Park & Day Streets Waterline Replacement,"$3,000,000.00","12,613",OH0400411,Ashtabula,Design,23-Sep,PLN/DES,NEDO
165,Conneaut,Park & Day Streets Waterline Replacement,"$3,100,000.00","12,567",OH0400411,Ashtabula,Construction,24-May,STD,NEDO
166,Corning,TWP Road 291 WL Replacement,"$755,700.00",490,OH6400003,Perry,Construction,24-May,SML,SEDO
167,Coshocton,Warsaw Waterline Replacement,"$10,940,000.00","13,537",OH1600012,Coshocton,Construction,23-Oct,DIS/REG,SEDO
168,Creston,Factory Street Drainage and Waterline Improvements,"$821,314.00","2,171",OH8500312,Wayne,Construction,23-Dec,SML,NEDO
169,Creston,Water Treatment Plant General Plan,"$30,000.00","2,171",OH8500312,Wayne,Planning,23-Oct,PLN/DES,NEDO
170,Cuyahoga Falls,WTP Sand Filter Improvements,"$1,081,055.00","49,652",OH7701012,Summit,Construction,23-Sep,STD,NEDO
171,Danville,Market Street Water Line Improvements Project,"$813,000.00","1,124",OH4200112,Knox,Construction,23-Oct,SML,CDO
172,Dayton,"36"" Raw Water Main within Miami Wellfield Phase A - EC","$7,500,000.00","140,407",OH5703522,Montgomery,Construction,24-May,EC,SWDO
173,Dayton,"48"" Interconnect between Miami Wellfield and Ottowa Plant","$4,000,000.00","140,407",OH5703572,Montgomery,Design,24-May,EC,SWDO
174,Dayton,Expansion of Miami Well Field Recharge Lagoon,"$8,165,760.00","140,407",OH8301512,Montgomery,Construction,24-May,EC,SWDO
175,Dayton,Installation of 4 Production Wells at Miami Wellfield - EC,"$6,000,000.00","140,407",OH5703512,Montgomery,Construction,23-Aug,EC,SWDO
176,Dayton,LSL Compliance Phase 2,"$651,277.00","140,407",OH5703512,Montgomery,Planning,23-Jul,LSL,SWDO
177,Dayton,Miami Wellfield Rate and Transport Study - EC,"$1,000,000.00","140,407",OH5703572,Montgomery,Planning,23-Aug,EC,SWDO
178,Dayton,Raw WL at Intersection of Needmore and Wagner Ford Road,"$2,400,000.00","140,407",OH5703512,Montgomery,Construction,23-Aug,EC,SWDO
179,Dayton,Water Quality Lab Expansion,"$500,000.00","140,569",OH5703512,Montgomery,Design,23-Oct,EC,SWDO
180,Defiance,Jefferson Avenue Waterline Replacement,"$1,650,000.00","16,494",OH2000111,Defiance,Construction,24-Jan,STD,NWDO
181,Defiance,N66 Booster Station Replacement,"$1,200,000.00","16,494",OH2000111,Defiance,Construction,24-Jan,STD,NWDO
182,Defiance,Webster Avenue Waterline Replacement,"$910,000.00","16,494",OH2000111,Defiance,Construction,24-Jan,STD,NWDO
183,DeGraff,Water Treatment Plant Rehabilitation,"$1,024,100.00","1,501",OH4600512,Logan,Construction,23-Jul,SML,SWDO
184,Delphos,Cass & Central Lead Service Line Replacement,"$421,980.00",45,OH0200412,Allen,Construction,23-Jul,LSL,NWDO
185,Dunkirk,Lead Service Line and Water Line Replacement,"$2,800,000.00",875,OH3300212,Hardin,Construction,24-Feb,SML/LSL,NWDO
186,East Canton,Water Tower Rehab,"$826,766.00","1,521",OH7601503,Stark,Construction,24-Jan,SML,NEDO
187,Edgerton,WTP Improvements,"$681,490.00","2,162",OH8600312,Williams,Construction,24-Mar,SML,NWDO
188,Elmore,Dischinger Road Waterline Extension,"$569,039.00","1,370",OH6200712,Ottawa,Construction,24-Mar,REG,NWDO
189,Elmore,Regional Water Supply Connection,"$763,355.00","1,419",OH6200712,Ottawa,Construction,23-Aug,REG,NWDO
190,Elmore,Water System Optimal Corrosion Control Study,"$27,500.00","1,756",OH6200712,Ottawa,Planning,23-Aug,PLN/DES,NWDO
191,Elmore,Water System Optimal Corrosion Control Study,"$68,660.00","1,370",OH6200712,Ottawa,Construction,24-Jan,REG,NWDO
192,Elmore,Well and Water Treatment Plant Abandonment,"$25,000.00","1,370",OH6200712,Ottawa,Design,23-Sep,PLN/DES,NWDO
193,Elyria,Water Plant Rehab Phase 1,"$5,000,000.00","120,000",OH4700411,Lorain,Construction,23-Oct,STD,NEDO
194,Fairport Harbor,Fairport Harbor Water System Regionalization Phase 2,"$1,000,000.00","3,180",OH4300411,Lake,Construction,23-Dec,REG,NEDO
195,Fairview,Potable Water Extension,"$439,906.00",81,TBD,Belmont,Design,23-Aug,PLN/DES,SEDO
196,Fairview,Water Connection to Barnesville,"$25,000.00",81,TBD,Guernsey,Planning,23-Aug,PLN/DES,SEDO
197,Fayette,Lead Service Line Replacement - Phase 1,"$236,000.00","1,250",OH2600412,Fulton,Construction,23-Aug,LSL,NWDO
198,Fayette,Water Distribution System Replacement - Phase 2,"$6,580,000.00","1,250",OH2600412,Fulton,Construction,24-Mar,DIS,NWDO
