EPIC Project ID,Entity,Project,PWS ID,Population,County,Estimated Loan Amount,Estimated Principal Forgiveness,Loan Type,Estimated Award Date,Project Score,Readiness to Proceed,Rate,District Office
261,Jackson County Water Co,Garrett Ridge Improvement,OH4002012,"15,903",JACKSON,"$9,585,000.00",-,Construction,24-Mar,6,3,DIS/REG,SEDO
493,West Farmington,New Water Wells,OH7803911,775,TRUMBULL,"$1,114,400.00",-,Construction,24-Feb,5,-,DIS,NEDO
453,Sunday Creek Valley WD,Water Line Replacement and Tank Repainting,OH0501503,"5,451",ATHENS,"$1,456,436.00",-,Construction,23-Sep,5,-,DIS,SEDO
308,London,"East Water Plant Well, Pump and Pumphouse",OH4900712,"9,394",MADISON,"$1,847,500.00",-,Construction,24-May,5,-,DIS,CDO
73,Brilliant W&SD,2022-2023 Water Line Replacement,OH4100412,"2,100",JEFFERSON,"$2,593,050.00",-,Construction,24-Apr,5,-,DIS,SEDO
369,Nelsonville,Water System Improvements Ph 3,OH0501214,"6,656",ATHENS,"$4,536,000.00",-,Construction,24-Jan,5,-,DIS,SEDO
273,Kenton,Downtown Revitalization Ph2 WL and LSL Repl,OH3300612,"8,360",HARDIN,"$7,100,000.00",-,Construction,24-Jan,5,-,DIS/LSL,NWDO
122,Coal Grove,Water Line Replacement Phase ll,OH4400012,"2,167",LAWRENCE,"$8,040,300.00",-,Construction,24-May,5,-,DIS,SEDO
209,Gallipolis,Water Line Replacement,OH2700112,"7,134",GALLIA,"$8,042,600.00",-,Construction,24-Jun,5,-,DIS,SEDO
411,Port Clinton,Water and Sanitary Sewer Infrastructure Imps,OH6203211,"6,056",OTTAWA,"$11,458,755.00",-,Construction,23-Oct,5,-,DIS/LSL,NWDO
210,Garrettsville,Windham Street Water Main Replacement,OH6701412,"2,325",PORTAGE,"$650,000.00",-,Construction,24-Apr,4,-,DIS,NEDO
46,Beaver,2023 Water Line Replacement,OH6600012,434,PIKE,"$799,750.00",-,Construction,24-Apr,4,-,DIS,SEDO
306,Logan,Valves and Water Line Repl,OH3700612,"6,704",HOCKING,"$1,757,301.00",-,Construction,23-Dec,4,-,DIS,SEDO
333,Malvern,Water Line Replacement - Ph2,OH1000112,"1,200",CARROLL,"$6,050,000.00",-,Construction,24-Jun,4,-,DIS/LSL,NEDO
