Entity,Project,PWS ID,SDWIS Population,County,Estimated Loan Amount,Loan Type,Estimated Award Date,Rate,District Office
Cleveland,CWD LSLR 2023-6,OH1801212,"1,308,955",Cuyahoga,"$3,535,630 ",Construction,23-Dec,LSL,NEDO
Cleveland,CWD LSLR 2023-7,OH1801212,"1,308,955",Cuyahoga,"$3,535,630 ",Construction,23-Dec,LSL,NEDO
Cleveland,CWD LSLR 2023-8 Special Cases - 1,OH1801212,"1,308,955",Cuyahoga,"$3,172,050 ",Construction,23-Dec,LSL,NEDO
Cleveland,CWD LSLR 2023-9 Special Cases - 2,OH1801212,"1,308,955",Cuyahoga,"$3,172,050 ",Construction,23-Dec,LSL,NEDO
Cleveland,Highland and Trebisky Transmission Main Renewal Phase 2,OH1801212,"1,308,955",Cuyahoga,"$11,000,000 ",Construction,23-Dec,STD,NEDO
Cleveland,Kirtland Crib Rehabilitation Phase 1,OH1801212,"1,308,955",Cuyahoga,"$25,000,000 ",Construction,23-Oct,STD,NEDO
Cleveland,Ridge Road Watermain Rehabilitation,OH1801212,"1,308,955",Cuyahoga,"$9,000,000 ",Construction,23-Oct,STD,NEDO
Clinton County,New Water Tank,OH8300512,"40,000",Clinton,"$521,000 ",Design,23-Oct,PLN/DES,SWDO
Clinton County,New Water Tank,OH8300512,"40,000",Clinton,"$5,489,000 ",Construction,24-Mar,STD,SWDO
Coal Grove,Coal Grove Interconnection with Ironton,OH4400012,"2,167",Lawrence,"$1,088,694 ",Construction,23-Sep,REG,SEDO
Coal Grove,Waterline Replacement Phase II,OH4400012,"2,167",Lawrence,"$806,300 ",Design,23-Oct,PLN/DES,SEDO
Coal Grove,Waterline Replacement Phase II,OH4400012,"2,167",Lawrence,"$8,040,300 ",Construction,24-May,DIS,SEDO
Columbiana,Backup Power for Wells,OH1500312,"6,750",Columbiana,"$485,000 ",Construction,23-Sep,SML,NEDO
Columbus,5th Av by Northwest-Edgehill Meadow WL Imp CIP 690236-100159,OH2504412,"1,252,018",Franklin,"$1,000,000 ",Construction,24-Jan,STD,CDO
Columbus,"Aragon Ave Area Water Line Improvements, CIP 690236-100102",OH2504412,"837,038",Franklin,"$4,000,000 ",Construction,23-Dec,STD,CDO
Columbus,Athens Ave and Rumsey Rd Area WL Imprs CIP# 690236-100136,OH2504412,"1,252,018",Franklin,"$4,000,000 ",Construction,24-Jun,STD,CDO
Columbus,"Atlanta Dr. Area WL Imprs, CIP 690236-10013",OH2504412,"1,233,879",Franklin,"$4,000,000 ",Construction,24-Mar,STD,CDO
Columbus,"Atwood Terrace Area WL Improvements, CIP 690236-100099",OH2504412,"837,038",Franklin,"$3,500,000 ",Construction,23-Sep,STD,CDO
Columbus,"Bluefield Drive Area WL Imprs, CIP 690236-100",OH2504412,"1,233,879",Franklin,"$4,000,000 ",Construction,23-Dec,STD,CDO
Columbus,"Clearview Ave Area WL Imprs, CIP 690236-10013",OH2504412,"1,233,879",Franklin,"$4,000,000 ",Construction,23-Dec,STD,CDO
Columbus,DRWP Automation/SCADA Upgrades CIP# 690567-100000,OH2504412,"1,252,018",Franklin,"$2,600,000 ",Construction,23-Dec,STD,CDO
Columbus,DRWP Caustic Feed Imprs CIP 690578-100000,OH2504412,"1,233,879",Franklin,"$800,000 ",Construction,24-Jan,STD,CDO
Columbus,DRWP Laboratory Upgrades CIP 690523-100000,OH2504412,"1,233,879",Franklin,"$1,500,000 ",Construction,23-Jul,STD,CDO
Columbus,Elizabeth Ave Area WL Imprs CIP 690236-100132,OH2504412,"1,233,879",Franklin,"$4,000,000 ",Construction,23-Dec,STD,CDO
Columbus,Eureka-Fremont Area WL Imprs CIP #690236-100143,OH2504412,"852,144",Franklin,"$2,000,000 ",Construction,23-Oct,STD,CDO
Columbus,Fourth Water Plant - Design Mod 1- CIP# 690600--100000,OH2504412,"1,252,018",Franklin,"$11,838,000 ",Planning,23-Jul,PLN/DES,CDO
Columbus,Fourth Water Plant- Design Mod 2- (CIP# 690600-100000),OH2504412,"1,252,018",Franklin,"$18,000,000 ",Design,24-Jan,STD,CDO
Columbus,HCWP Lime & Soda Ash Dust Coll Sys Imprs CIP #690545-100000,OH5200412,"852,144",Franklin,"$2,400,000 ",Construction,23-Jul,STD,CDO
Columbus,Heyl Ave Area Water Line Imps CIP# 690236-100135,OH2504412,"1,252,018",Franklin,"$4,000,000 ",Construction,24-Jun,STD,CDO
Columbus,Jermain Drive Area Water Line Imprs CIP# 690236-100134,OH2504412,"1,252,018",Franklin,"$4,000,000 ",Construction,24-Jun,STD,CDO
Columbus,Kent-Fairwood Area WL Imprs CIP #690236-10014,OH2504412,"852,144",Franklin,"$1,000,000 ",Construction,24-Jan,STD,CDO
Columbus,Kenwick Rd Area Water Line Improvements CIP# 690236-100137,OH2504412,"1,252,018",Franklin,"$4,000,000 ",Construction,24-Jun,STD,CDO
Columbus,Lead Service Line Repl CIP 690236-100175,OH2504412,"878,553",Franklin,"$5,000,000 ",Construction,24-Mar,LSL,CDO
Columbus,"Lee Ellen Pl. Area WL Imprs, CIP 690236-100128",OH2504412,"1,233,879",Franklin,"$4,000,000 ",Construction,24-Apr,STD,CDO
Columbus,Lexington Ave Area Water Line Imps CIP# 690236-100133,OH2504412,"1,252,018",Franklin,"$4,000,000 ",Construction,24-Jun,STD,CDO
Columbus,"Manchester Ave WL Improvements, CIP 690236-100113",OH2504412,"878,553",Franklin,"$1,000,000 ",Construction,24-Jan,STD,CDO
Columbus,Miller Ave Area WL Imprs CIP 690236-100122,OH2504412,"1,233,879",Franklin,"$4,000,000 ",Construction,23-Dec,STD,CDO
Columbus,N. Sixth St & E. 3rd Ave Area WL Imps CIP# 690236-100157,OH2504412,"1,252,018",Franklin,"$500,000 ",Construction,24-Jun,STD,CDO
Columbus,"Newton-Bedford WL Imprs, CIP 690236-100120",OH2504412,"837,038",Franklin,"$500,000 ",Construction,24-Feb,STD,CDO
Columbus,Palmetto Westgate Area WL Imprs CIP #690236-10045,OH2504412,"852,144",Franklin,"$3,000,000 ",Construction,24-Mar,STD,CDO
Columbus,Parsons Avenue Water Plant Lab Reno CIP# 690291-100005,OH2504412,"1,252,018",Franklin,"$2,500,000 ",Construction,24-Jun,STD,CDO
Columbus,PAWP - Plant Drain & Water System Imps CIP# 690552-100001,OH2504412,"1,252,018",Franklin,"$750,000 ",Construction,24-Mar,STD,CDO
Columbus,PAWP Control Room Renovation CIP #690291-100003,OH2504412,"852,144",Franklin,"$1,500,000 ",Construction,24-Feb,STD,CDO
Columbus,PAWP Wellfield Development CIP# 690580-100000,OH2504412,"1,252,018",Franklin,"$8,000,000 ",Construction,24-Jun,STD,CDO
Columbus,Plant Drain & Water System Improvements,OH2504412,"852,144",Franklin,"$7,500,000 ",Construction,24-Jan,STD,CDO
Columbus,"Riverview Dr. Area WL Imprs, CIP 690236-100125",OH2504412,"1,233,879",Franklin,"$4,000,000 ",Construction,24-Jan,STD,CDO
Columbus,Roosevelt Ave Area WL Imprs CIP 690236-100123,OH2504412,"1,233,879",Franklin,"$4,000,000 ",Construction,24-Mar,STD,CDO
Columbus,"Sawmill Place Blvd Area WL Imprs, CIP 690236-100126",OH2504412,"1,233,879",Franklin,"$4,000,000 ",Construction,24-Jan,STD,CDO
Columbus,Velma Ave Area Water Line Improvements CIP# 690236-100138,OH2504412,"1,252,018",Franklin,"$4,000,000 ",Construction,24-Jun,STD,CDO
Columbus,"Wellington Blvd Area WL Imprs, CIP 690236-100127",OH2504412,"1,233,879",Franklin,"$4,000,000 ",Construction,24-Jan,STD,CDO
Columbus Grove,Main Street Downtown Water Project LSL,OH6900112,"2,150",Putnam,"$2,525,017 ",Construction,24-Mar,SML/LSL,NWDO
Conneaut,Clark Street Water Tower Replacement,OH0400411,"12,613",Ashtabula,"$600,000 ",Design,23-Sep,PLN/DES,NEDO
Conneaut,Clark Street Water Tower Replacement,OH0400411,"12,567",Ashtabula,"$6,000,000 ",Construction,24-May,STD,NEDO
Conneaut,Park & Day Streets Waterline Replacement,OH0400411,"12,613",Ashtabula,"$3,000,000 ",Design,23-Sep,PLN/DES,NEDO
Conneaut,Park & Day Streets Waterline Replacement,OH0400411,"12,567",Ashtabula,"$3,100,000 ",Construction,24-May,STD,NEDO
Corning,TWP Road 291 WL Replacement,OH6400003,490,Perry,"$755,700 ",Construction,24-May,SML,SEDO
Coshocton,Warsaw Waterline Replacement,OH1600012,"13,537",Coshocton,"$10,940,000 ",Construction,23-Oct,DIS/REG,SEDO
Creston,Factory Street Drainage and Waterline Improvements,OH8500312,"2,171",Wayne,"$821,314 ",Construction,23-Dec,SML,NEDO
Creston,Water Treatment Plant General Plan,OH8500312,"2,171",Wayne,"$30,000 ",Planning,23-Oct,PLN/DES,NEDO
Cuyahoga Falls,WTP Sand Filter Improvements,OH7701012,"49,652",Summit,"$1,081,055 ",Construction,23-Sep,STD,NEDO
Danville,Market Street Water Line Improvements Project,OH4200112,"1,124",Knox,"$813,000 ",Construction,23-Oct,SML,CDO
Dayton,"36"" Raw Water Main within Miami Wellfield Phase A - EC",OH5703522,"140,407",Montgomery,"$7,500,000 ",Construction,24-May,EC,SWDO
Dayton,"48"" Interconnect between Miami Wellfield and Ottowa Plant",OH5703572,"140,407",Montgomery,"$4,000,000 ",Design,24-May,EC,SWDO
Dayton,Expansion of Miami Well Field Recharge Lagoon,OH8301512,"140,407",Montgomery,"$8,165,760 ",Construction,24-May,EC,SWDO
Dayton,Installation of 4 Production Wells at Miami Wellfield - EC,OH5703512,"140,407",Montgomery,"$6,000,000 ",Construction,23-Aug,EC,SWDO
Dayton,LSL Compliance Phase 2,OH5703512,"140,407",Montgomery,"$651,277 ",Planning,23-Jul,LSL,SWDO
Dayton,Miami Wellfield Rate and Transport Study - EC,OH5703572,"140,407",Montgomery,"$1,000,000 ",Planning,23-Aug,EC,SWDO
Dayton,Raw WL at Intersection of Needmore and Wagner Ford Road,OH5703512,"140,407",Montgomery,"$2,400,000 ",Construction,23-Aug,EC,SWDO
Dayton,Water Quality Lab Expansion,OH5703512,"140,569",Montgomery,"$500,000 ",Design,23-Oct,EC,SWDO
Defiance,Jefferson Avenue Waterline Replacement,OH2000111,"16,494",Defiance,"$1,650,000 ",Construction,24-Jan,STD,NWDO
Defiance,N66 Booster Station Replacement,OH2000111,"16,494",Defiance,"$1,200,000 ",Construction,24-Jan,STD,NWDO
Defiance,Webster Avenue Waterline Replacement,OH2000111,"16,494",Defiance,"$910,000 ",Construction,24-Jan,STD,NWDO
DeGraff,Water Treatment Plant Rehabilitation,OH4600512,"1,501",Logan,"$1,024,100 ",Construction,23-Jul,SML,SWDO
Delphos,Cass & Central Lead Service Line Replacement,OH0200412,45,Allen,"$421,980 ",Construction,23-Jul,LSL,NWDO
Dunkirk,Lead Service Line and Water Line Replacement,OH3300212,875,Hardin,"$2,800,000 ",Construction,24-Feb,SML/LSL,NWDO
East Canton,Water Tower Rehab,OH7601503,"1,521",Stark,"$826,766 ",Construction,24-Jan,SML,NEDO
Edgerton,WTP Improvements,OH8600312,"2,162",Williams,"$681,490 ",Construction,24-Mar,SML,NWDO
Elmore,Dischinger Road Waterline Extension,OH6200712,"1,370",Ottawa,"$569,039 ",Construction,24-Mar,REG,NWDO
Elmore,Regional Water Supply Connection,OH6200712,"1,419",Ottawa,"$763,355 ",Construction,23-Aug,REG,NWDO
Elmore,Water System Optimal Corrosion Control Study,OH6200712,"1,756",Ottawa,"$27,500 ",Planning,23-Aug,PLN/DES,NWDO
Elmore,Water System Optimal Corrosion Control Study,OH6200712,"1,370",Ottawa,"$68,660 ",Construction,24-Jan,REG,NWDO
Elmore,Well and Water Treatment Plant Abandonment,OH6200712,"1,370",Ottawa,"$25,000 ",Design,23-Sep,PLN/DES,NWDO
Elyria,Water Plant Rehab Phase 1,OH4700411,"120,000",Lorain,"$5,000,000 ",Construction,23-Oct,STD,NEDO
Fairport Harbor,Fairport Harbor Water System Regionalization Phase 2,OH4300411,"3,180",Lake,"$1,000,000 ",Construction,23-Dec,REG,NEDO
Fairview,Potable Water Extension,TBD,81,Belmont,"$439,906 ",Design,23-Aug,PLN/DES,SEDO
Fairview,Water Connection to Barnesville,TBD,81,Guernsey,"$25,000 ",Planning,23-Aug,PLN/DES,SEDO
Fayette,Lead Service Line Replacement - Phase 1,OH2600412,"1,250",Fulton,"$236,000 ",Construction,23-Aug,LSL,NWDO
Fayette,Water Distribution System Replacement - Phase 2,OH2600412,"1,250",Fulton,"$6,580,000 ",Construction,24-Mar,DIS,NWDO
Fayette County,Rattlesnake Water Treatment Plant Replacement,OH2437412,"6,635",Fayette,"$7,232,500 ",Construction,23-Dec,STD,CDO
Felicity,"New 200,000 Gallon Elevated Storage Structure",OH1300612,"3,700",Clermont,"$180,200 ",Design,23-Aug,PLN/DES,SWDO
Felicity,"New 200,000 Gallon Elevated Storage Structure",OH1300612,"3,700",Clermont,"$2,238,000 ",Construction,24-Jun,SML,SWDO
Fletcher,New Water Tower,OH5500412,358,Miami,"$241,500 ",Construction,23-Sep,SML,SWDO
