EPIC Project ID,Entity,Project,Estimated Loan Amount,PWS ID,County,Estimated LSL Portion of the Project,Loan Type,Estimated Award Date,Rate,District Office
296,Lima,Lead Service Line Replacement - Phase 1,"2,523,615",OH0200811,ALLEN,"$2,525,000.00",Construction,24-Jan,LSL PF,NWDO
297,Lima,Lead Service Line Replacement - Phase 2,"2,810,000",OH0200811,ALLEN,"$2,525,000.00",Construction,24-Jun,STD/LSL PF,NWDO
311,Lorain,2023 Lead Service Line Replacement,"5,000,000",OH4700711,LORAIN,"$5,000,000.00",Construction,23-Jul,LSL PF,NEDO
317,Lowell,Water Tank and Water Main Replacement,"1,066,995",OH8400312,WASHINGTON,"$162,500.00",Construction,23-Dec,DIS/LSL PF,SEDO
333,Malvern,Water Line Replacement - Ph2,"6,050,000",OH1000112,CARROLL,"$67,000.00",Construction,24-Jun,DIS/LSL PF,NEDO
338,Marietta,Lead Service Line Replacement,"1,300,000",OH8400412,WASHINGTON,"$1,300,000.00",Construction,23-Aug,LSL PF,SEDO
358,Montgomery County - 1,Flesher Rainbow Lead Service Line Replacement,"1,989,000",OH5701315,MONTGOMERY,"$1,989,000.00",Construction,23-Oct,LSL PF,SWDO
360,Montgomery County - 1,Shroyer Road area Lead Service Line Replacement,"1,500,000",OH5701315,MONTGOMERY,"$1,500,000.00",Construction,23-Oct,LSL PF,SWDO
359,Montgomery County - 2,Nottingham Lead Service Line Replacement,"1,557,000",OH5701503,MONTGOMERY,"$1,557,000.00",Construction,23-Oct,LSL PF,SWDO
370,New London,Coleman Court Lead Water Line Replacement,"278,588",OH3902611,HURON,"$100,000.00",Construction,23-Sep,SML/LSL PF,NWDO
373,Newark*,Lead Service Line Replacement Project #4,"3,000,000",OH4502314,LICKING,"$3,000,000.00",Construction,23-Dec,LSL,CDO
374,Newark*,Lead Service Line Replacement Project #5,"3,000,000",OH4502314,LICKING,"$3,000,000.00",Construction,24-Jun,LSL,CDO
384,Northwestern W&SD*,Rossford Water Line Replacements,"1,200,000",OH8752812,WOOD,"$150,000.00",Construction,24-Jan,STD/LSL,NWDO
409,Pomeroy,Lead Service Lines Phase ll,"483,200",OH5300212,MEIGS,"$483,200.00",Construction,23-Aug,LSL PF,SEDO
408,Pomeroy,Lead Service Lines Phase lll,"1,461,600",OH5300212,MEIGS,"$1,461,600.00",Construction,24-Feb,LSL PF,SEDO
411,Port Clinton,Water and Sanitary Sewer Infrastructure Imps,"11,458,755",OH6203211,OTTAWA,"$750,000.00",Construction,23-Oct,DIS/LSL PF,NWDO
410,Port Clinton,Lead Service Line Replacement,"200,000",OH6203211,OTTAWA,"$200,000.00",Planning,23-Aug,LSL PF,NWDO
420,Put-In-Bay*,Lead Service Line Replacement,"382,500",OH6203311,OTTAWA,"$382,500.00",Construction,24-Apr,LSL,NWDO
419,Put-In-Bay*,Lead Service Line Replacement,"175,000",OH6203311,OTTAWA,"$175,000.00",Planning,23-Sep,LSL,NWDO
430,Scio,2023 Water Line and Lead (Elm and Eastport),"1,016,500",OH3401312,HARRISON,"$21,150.00",Construction,24-Mar,SML/LSL PF,SEDO
435,Silver Lake*,Lead Service Line Replacement,"50,000",OH7704303,SUMMIT,"$50,000.00",Design,23-Aug,LSL,NEDO
436,Silver Lake*,Lead Service Line Replacement,"500,000",OH7704303,SUMMIT,"$500,000.00",Construction,23-Dec,LSL,NEDO
447,Springfield,Northern Ave Utilities Upgrade,"1,461,635",OH1204412,CLARK,"$1,234,352.00",Construction,23-Sep,STD/LSL PF,SWDO
448,Steubenville,2024 Water Line and Lead Service Line Replacement,"1,194,120",OH4102411,JEFFERSON,"$100,000.00",Construction,24-Jun,STD/LSL PF,SEDO
457,Toronto,E. 5th St/Myers St Water Line and Lead Line Repl,"1,645,819",OH4102811,JEFFERSON,"$60,000.00",Construction,24-Apr,SML/LSL PF,SEDO
478,Warren,2022 Water Line Replacement Program (Area A),"1,186,850",OH7803811,TRUMBULL,"$169,978.00",Construction,23-Jul,STD/LSL PF,NEDO
479,Warren,2022 Water Line Replacement Program (Area B & C),"3,813,770",OH7803811,TRUMBULL,"$844,151.00",Construction,24-May,STD/LSL PF,NEDO
484,Wellington*,Lead Service Line Replacement,"1,085,500",OH4701511,LORAIN,"$1,085,500.00",Construction,24-Jun,LSL,NEDO
483,Wellington*,Lead Service Line Replacement,"200,000",OH4701511,LORAIN,"$200,000.00",Planning,23-Aug,LSL,NEDO
494,West Milton,Miami Street WM and LSL Replacement,"785,054",OH5501711,MIAMI,"$310,500.00",Construction,23-Jul,SML/LSL PF,SWDO
499,Woodsfield,Lead Service Lines,"750,000",OH3400214,HARRISON,"$750,000.00",Construction,23-Aug,LSL PF,SEDO
501,Woodville*,Water Line Imps Phase 3,"1,836,328",OH7200912,SANDUSKY,"$250,000.00",Construction,23-Dec,SML/LSL,NWDO
502,Youngstown,Lead Service Line Replacement,"4,000,000",OH5002303,MAHONING,"$4,000,000.00",Construction,23-Dec,LSL PF,NEDO
