Rank,Loan Applicant,Project Description,L17#,"PriorityScore","MHIBelowStateAvg","Total FundingRequested","PrincipalForgiveness","Loanat 0.00%",MHI $,"MHI %of State"
37,Maywood,Phase 5: Replacement of approximately 294 lead service lines.,7278,310,YES,"$9,000,000","$4,500,000","$4,500,000","$52,317",63%
38,Chicago Heights,Phase 5: Replacement of approximately 400-500 lead service lines.,7306,305,YES,"$6,000,000","$4,200,000","$1,800,000","$46,979",56%
39,Lansing,Phase 5: Replacement of approximately 600 lead service lines.,6205,305,YES,"$10,000,000","$4,000,000","$6,000,000","$70,271",84%
40,Maywood,Phase 2: Replacement of approximately 294 lead service lines.,7275,305,YES,"$9,000,000","$4,500,000","$4,500,000","$49,985",60%
41,Maywood,Phase 4: Replacement of approximately 294 lead service lines.,7277,305,YES,"$9,000,000","$4,500,000","$4,500,000","$63,067",76%
42,Waukegan,Phase 7: Replacement of approximately 200 lead service lines.,8042,305,YES,"$3,000,000","$2,100,000","$900,000","$50,334",60%
43,Chicago Heights,Phase 2: Replacement of approximately 400-500 lead service lines.,7303,300,YES,"$6,000,000","$3,600,000","$2,400,000","$51,363",62%
44,Harvey,Phase 1: Replacement of approximately 120 lead service lines.,6979,300,YES,"$5,000,000","$4,500,000","$500,000","$30,892",37%
45,Phoenix,Replace 500 Lead Service Lines.,7264,300,YES,"$7,000,000","$3,850,000","$3,150,000","$56,964",68%
46,Roxana,Replacement of approximately 385 lead service lines.,7795,300,YES,"$3,000,000","$1,500,000","$1,500,000","$61,477",74%
47,Aurora,Phase 4: Replacement of approximately 400 lead service lines.,6018,295,YES,"$4,000,000","$2,200,000","$1,800,000","$54,633",66%
48,Broadview,Replacement of approximately 448 lead service lines.,7446,295,YES,"$5,000,000","$2,500,000","$2,500,000","$63,446",76%
49,Dolton,Replace lead service lines.,6557,295,YES,"$7,000,000","$3,850,000","$3,150,000","$57,558",69%
50,Maywood,Phase 3: Replacement of approximately 294 lead service lines.,7276,295,YES,"$9,000,000","$4,050,000","$4,950,000","$66,875",80%
51,Pana,Phase 2: Replacement of approximately 381 lead service lines.,7048,295,YES,"$3,689,000","$2,582,300","$1,106,700","$46,623",56%
52,Bellwood,Replacement of approximately 341 lead service lines.,7571,290,YES,"$5,200,000","$2,080,000","$3,120,000","$71,378",86%
53,Berwyn,Replacement of approximately 400 lead service lines.,6320,290,YES,"$7,000,000","$2,800,000","$4,200,000","$69,775",84%
54,Chicago,Replacement of approximately 100 lead service lines.,8055,290,YES,"$2,000,000","$1,000,000","$1,000,000","$60,639",73%
55,Rock Falls,Replacement of 335 galvanized requiring replacement service lines.,7844,290,YES,"$3,218,000","$2,574,400","$643,600","$45,777",55%
56,Rockford,Phase 11F: Replacement of approximately 178 lead service lines.,7975,290,YES,"$2,000,000","$2,000,000",-,"$40,655",49%
57,Rockford,Phase 11G: Replacement of approximately 178 lead service lines.,7976,290,YES,"$2,000,000","$2,000,000",-,"$40,655",49%
58,Rockford,Phase 11H: Replacement of approximately 178 lead service lines.,7977,290,YES,"$2,000,000","$2,000,000",-,"$40,655",49%
59,Blue Island,Phase 2: Replacement of approximately 330-400 lead service lines.,6986,285,YES,"$8,000,000","$4,000,000","$4,000,000","$61,504",74%
60,Chicago,Replacement of approximately 100 lead service lines.,8051,285,YES,"$2,000,000","$1,000,000","$1,000,000","$61,616",74%
61,Chicago,Replacement of approximately 100 lead service lines.,8057,285,YES,"$2,000,000","$900,000","$1,100,000","$67,832",81%
62,Lansing,Phase 4: Replacement of approximately 600 lead service lines.,6204,285,YES,"$10,000,000","$4,500,000","$5,500,000","$67,590",81%
64,Waukegan,Phase 3: Replacement of approximately 300 lead service lines.,6214,285,YES,"$5,000,000","$2,750,000","$2,250,000","$57,734",69%
65,Aurora,Phase 5: Replacement of approximately 400 lead service lines.,6019,280,YES,"$4,000,000","$2,200,000","$1,800,000","$54,889",66%
66,Ipava,Removal of approximately 26 lead service lines.,7419,280,YES,"$415,000","$186,750","$228,250","$65,268",78%
67,Skokie,Phase 1: Replacement of 350 lead service lines.,7393,280,YES,"$6,000,000","$4,200,000","$1,800,000","$49,007",59%
68,Summit,Replace Lead Service Lines.,6952,280,YES,"$5,000,000","$2,500,000","$2,500,000","$63,537",76%
69,Summit,Replace Lead Service Lines.,6953,280,YES,"$5,000,000","$2,500,000","$2,500,000","$63,537",76%
70,Summit,Replace Lead Service Lines.,6954,280,YES,"$5,000,000","$2,500,000","$2,500,000","$63,537",76%
71,Summit,Replace Lead Service Lines.,6955,280,YES,"$5,000,000","$2,500,000","$2,500,000","$63,537",76%
72,Summit,Replace 700 Lead Service Lines.,8034,280,YES,"$10,000,000","$4,500,000","$5,500,000","$63,537",76%
73,Blue Island,Phase 4: Replacement of approximately 330-400 lead service lines.,6988,275,YES,"$8,000,000","$4,500,000","$3,500,000","$50,063",60%
74,Kewanee,Removal of approximately 400 lead service lines.,7695,275,YES,"$4,000,000","$2,400,000","$1,600,000","$51,888",62%
75,East Moline,Phase 2: Replacement of approximately 471 lead service lines.,6996,275,YES,"$5,000,000","$2,750,000","$2,250,000","$57,664",69%
76,East Moline,Phase 3: Replacement of approximately 490 lead service lines.,6997,275,YES,"$5,000,000","$2,750,000","$2,250,000","$57,664",69%
"",,PF expended 0.00% loan funding available,,,,,,,,
77,Zion,Replacement of approximately 42 lead service lines.,7567,275,YES,"$1,266,000",,"$1,266,000","$61,313",
78,Midlothian,Phase 4: Replacement of approximately 450 lead service lines.,7988,275,YES,"$7,000,000",,"$7,000,000","$62,021",
79,Monmouth,Phase 2: Replacement of approximately 280 lead service lines.,6326,275,YES,"$3,027,000",,"$3,027,000","$63,345",
80,Monmouth,Phase 3: Replacement of approximately 195 lead service lines.,6327,275,YES,"$3,027,000",,"$3,027,000","$63,345",
81,Mount Morris,Replacement of lead service lines.,7404,275,YES,"$2,750,000",,"$2,750,000","$63,701",
82,Chicago,Replacement of approximately 200 lead service lines.,7901,275,YES,"$4,000,000",,"$4,000,000","$72,238",
83,Burnham,Replacement of approximately 219 lead service lines.,7543,270,YES,"$4,000,000",,"$4,000,000","$57,790",
84,Elgin,Removal of approximately 266 lead service lines.,7580,270,YES,"$4,000,000",,"$4,000,000","$57,981",
85,Oregon,Replace 300 Lead Service Lines.,7126,270,YES,"$4,250,000",,"$4,250,000","$67,351",
86,South Chicago Heights,Replace 150 Lead Service Lines.,6924,270,YES,"$2,000,000",,"$2,000,000","$59,686",
87,Bloomington,Replace 600 Lead Service Lines.,7228,265,YES,"$9,000,000",,"$9,000,000","$54,241",
88,DePue,Replacement of lead service lines.,7226,265,YES,"$2,000,000",,"$2,000,000","$69,643",
89,Illinois-American Water,"Replacement of approximately 3,940 lead service lines.",7829,265,YES,"$8,454,391",,"$8,454,391","$49,741",
90,Jacksonville,Phase 1: Removal of approximately 245 lead service lines.,7166,260,YES,"$3,971,408",,"$3,971,408","$49,853",
91,Jacksonville,Phase 2: Removal of approximately 404 lead service lines.,7167,260,YES,"$6,109,000",,"$6,109,000","$49,853",
92,North Chicago,Phase 2: Replacement of lead service lines.,7340,260,YES,"$3,200,000",,"$3,200,000","$61,212",
93,North Chicago,Phase 3: Replacement of lead service lines.,7341,260,YES,"$3,200,000",,"$3,200,000","$61,212",
94,North Chicago,Phase 4: Replacement of lead service lines.,7342,260,YES,"$3,200,000",,"$3,200,000","$61,212",
95,Cicero,Replacement of approximately 352 lead service lines.,7612,260,YES,"$10,000,000",,"$10,000,000","$61,250",
