Loan Applicant,Project Description,L17#,"EstimatedConstructionStart Date","Projected LoanAmount",Facility No.
South Jacksonville,Phase 1: Replacement of approximately 168 lead service lines.,7864,11/9/2026,"$                 2,251,000",IL1370400
South Jacksonville,Phase 2: Replacement of approximately 171 lead service lines.,7865,11/9/2027,"$                 2,302,000",IL1370400
South Jacksonville,Phase 3: Replacement of approximately 166 lead service lines.,7866,11/9/2028,"$                 2,221,000",IL1370400
South Jacksonville,Phase 4: Replacement of approximately 168 lead service lines.,7867,11/9/2029,"$                 2,251,000",IL1370400
South Jacksonville,Phase 5: Replacement of approximately 158 lead service lines.,7868,11/9/2030,"$                 2,132,000",IL1370400
Stickney,Replace 400 Lead Service Lines.,7269,9/30/2026,"$                 5,000,000",IL0313000
Taylorville,Replace 122 Lead Service Lines.,7958,11/2/2026,"$                 1,920,000",IL0210600
Thornton,Replacement of approximately 250 lead service lines.,7911,12/1/2026,"$                 4,000,000",IL031090
Villa Park,Replacement of approximately 240 lead service lines.,,4/1/2028,"$                 4,000,000",IL0430800
Westchester,Phase 1: Replacement of lead service lines.,7511,3/1/2027,"$                 2,444,000",IL0313150
Westchester,Phase 2: Replacement of lead service lines.,7677,4/1/2027,"$                 1,170,000",IL0313150
