Rank,Loan Applicant,Project Description,L17#,"PriorityScore","MHIBelowStateAvg","Total FundingRequested","Loanat 0.00%",MHI $
31,Elmwood Park,Phase 3: Replacement of lead service lines.,7582,220,NO,"$3,500,000","$3,500,000","$109,844"
32,Hillsboro,Replacement of approximately 238 lead service lines.,7603,220,YES,"$3,027,000","$3,027,000","$51,061"
33,Wilmington,Replacement of lead service lines.,7488,220,YES,"$21,093,800","$21,093,800","$74,003"
34,Mount Olive,Phase 1: Replacement of approximately 167 lead service lines.,6241,215,YES,"$2,000,000","$2,000,000","$63,370"
35,Shelbyville,Replacement of approximately 177 lead service lines.,7858,215,YES,"$2,881,000","$2,881,000","$58,941"
36,Bloomington,Replace 600 Lead Service Lines,7500,210,YES,"$10,000,000","$10,000,000","$51,544"
37,Elgin,"Replacement of approximately 1,000 lead service lines.",7383,210,YES,"$17,050,000","$17,050,000","$75,538"
38,Niles,Phase 2: Replacement of approximately 500-700 lead service lines.,7721,205,NO,"$8,000,000","$8,000,000","$105,562"
39,Niles,Phase 3: Replacement of approximately 250-300 lead service lines.,8049,205,NO,"$4,000,000","$4,000,000","$105,562"
40,Peoria Heights,Replace 388 Lead Service Lines.,6334,205,YES,"$6,000,000","$6,000,000","$53,454"
41,Winslow,Replacement of lead service lines.,7662,200,YES,"$781,170","$781,170","$79,053"
42,Aqua Illinois Inc.,Phase 1: Replacement of approximately 457 lead service lines.,6970,195,YES,"$8,371,000","$8,371,000","$73,715"
43,DeKalb,Replacement of approximately 140 lead service lines.,6267,195,YES,"$2,100,000","$2,100,000","$66,443"
44,Posen,Replace 850 Lead Service Lines.,6991,195,YES,"$10,000,000","$10,000,000","$73,125"
45,Riverside,Replacement of lead service lines.,7587,195,NO,"$4,000,000","$4,000,000","$127,192"
46,Riverside,Replacement of lead service lines.,7588,195,NO,"$4,000,000","$4,000,000","$127,192"
47,Elmwood Park,Phase 2: Replacement of lead service lines.,7581,190,NO,"$3,100,000","$3,100,000","$85,400"
48,Melrose Park,Replacement of approximately 670 lead service lines.,7468,190,YES,"$12,000,000","$12,000,000","$76,165"
49,Rochelle,Replacement of approximately 272 lead service lines.,7709,190,YES,"$4,045,000","$4,045,000","$71,811"
50,Elgin,Removal of approximately 600 lead service lines.,5874,185,YES,"$8,000,000","$8,000,000","$73,124"
51,Lincolnwood,Replacement of approximately 90 lead service lines.,7592,185,NO,"$1,379,580","$1,379,580","$109,545"
52,Lincolnwood,Replacement of approximately 90 lead service lines.,7891,185,NO,"$1,420,000","$1,420,000","$109,545"
53,Oak Lawn,Replace 400 Lead Service Lines.,3938,185,NO,"$4,373,460","$4,373,460","$86,583"
54,Franklin Park,Removal of approximately 38 lead service lines.,7748,180,NO,"$611,074","$611,074","$84,193"
55,Harvard,Phase 2 Replace Lead Service Lines,7984,180,YES,"$3,640,000","$3,640,000","$72,353"
56,Lanark,Replacement of approximately 400 lead service lines.,6561,180,YES,"$4,000,000","$4,000,000","$74,861"
57,West Chicago,City is seeking loan funding to replace approximately 375 lead service li,7215,180,YES,"$7,745,000","$7,745,000","$82,188"
58,Ashton,placement of 1 lead service line and 77 galvanized requiring replaceme,7737,175,NO,"$1,419,000","$1,419,000","$86,111"
59,West Chicago,City is seeking loan funding to replace approximately 321 lead service li,7216,175,NO,"$6,700,000","$6,700,000","$86,232"
60,Dwight,Replacement of lead service lines.,7517,170,YES,"$4,704,000","$4,704,000","$71,020"
61,Forest Park,Phase 4: Replacement of lead service lines.,7607,170,NO,"$4,000,000","$4,000,000","$83,760"
62,North Aurora,Phase 1: Replacement of approximately 250 lead service lines.,7427,170,YES,"$4,800,000","$4,800,000","$77,351"
63,Richmond,Replace 96 Lead Service Lines.,6816,170,YES,"$2,200,000","$2,200,000","$74,868"
64,Tampico,Replace Lead Service Lines.,7430,165,YES,"$2,706,000","$2,706,000","$80,000"
65,Wyanet,Replacement of approximately 190 lead service lines.,6572,165,NO,"$2,430,000","$2,430,000","$84,875"
66,Downers Grove,Replacement of approximately 250 lead service lines.,7422,160,NO,"$4,920,000","$4,920,000","$90,465"
67,East Dundee,Replacement of approximately 110 lead service lines.,7333,155,YES,"$2,060,000","$2,060,000","$78,427"
68,Harwood Heights,Replacement of approximately 80 lead service lines.,6281,155,NO,"$1,000,000","$1,000,000","$83,798"
69,Illinois-American Water,"Removal of approximately 11,442 lead and galvanized service lines.",7832,155,NO,"$12,000,000","$12,000,000","$93,906"
70,Morris,Phase 3 of the replacement of lead service lines.,7996,155,NO,"$3,780,000","$3,780,000","$92,928"
71,LaGrange Park,Removal of approximately 180 lead service lines.,7631,150,NO,"$3,478,400","$3,478,400","$130,351"
72,Morris,Phase 2 of the replacement of lead service lines.,7086,150,YES,"$3,780,000","$3,780,000","$82,214"
74,LaGrange,Phase 1: Replacement of approximately 256 lead service lines.,6547,145,NO,"$4,400,000","$4,400,000","$156,854"
75,LaGrange,Phase 2: Replacement of approximately 246 lead service lines.,6548,145,NO,"$3,990,000","$3,990,000","$156,854"
76,Port Byron,Replace 160 Lead Service Lines.,7122,145,NO,"$1,100,000","$1,100,000","$113,083"
78,Highwood,Replacement of approximately 140 lead service lines.,7635,140,NO,"$2,548,000","$2,548,000","$105,637"
79,Palatine,Replace 300 Lead Service Lines.,6228,140,NO,"$5,000,000","$5,000,000","$87,707"
80,Coal City,Replacement of lead service lines.,7954,135,YES,"$6,850,000","$6,850,000","$82,027"
81,Lemont,Phase 2: Replacement of approximately 27 lead service lines.,7507,135,NO,"$442,363","$442,363","$119,562"
82,Plainfield,Replace 25 Lead Service Lines.,6809,135,NO,"$390,000","$390,000","$116,484"
83,Harmon,Replacement of approximately 10 lead service lines.,7818,130,NO,"$250,000","$250,000","$84,000"
84,West Dundee,Replace 255 Lead Service Lines.,6563,130,NO,"$4,000,000","$4,000,000","$100,815"
85,Crystal Lake,Phase 1: Replacement of approximately 267 lead service lines.,6129,125,NO,"$4,000,000","$4,000,000","$86,708"
86,Hennepin Public Water District,Replacement of approximately 333 lead service lines.,6591,125,YES,"$1,458,000","$1,458,000","$82,625"
87,Le Roy,Replacement of approximately 57 lead service lines.,7602,125,NO,"$1,032,000","$1,032,000","$91,224"
88,Western Springs,Phase 2: Replacement of approximately 47 lead service lines.,7896,120,NO,"$1,342,000","$1,342,000","$219,519"
89,Byron,Replacement of approximately 120 lead service lines.,7683,115,NO,"$2,000,000","$2,000,000","$89,512"
90,Westmont,lacement of approximately 245 known lead service lines and 81 expec,7685,115,NO,"$3,361,100","$3,361,100","$107,799"
91,Wilmette,Phase 1: Replacement of approximately 74 lead service lines.,7308,115,NO,"$1,700,000","$1,700,000","$189,135"
92,Wilmette,Phase 2: Replacement of approximately 220 lead service lines.,7309,115,NO,"$5,060,000","$5,060,000","$189,135"
93,North Aurora,Phase 2: Replacement of approximately 40 lead service lines.,8035,110,NO,"$800,000","$800,000","$122,211"
94,Waucon da,nt of approximately 120 services from main to meter & 162 services fro,7174,110,NO,"$3,797,767","$3,797,767","$120,759"
95,Highland Park,"Replacement of approximately 1,150 lead service lines.",3785,105,NO,"$16,000,000","$16,000,000","$187,021"
96,Geneva,Replacement of approximately 87 lead service lines.,6748,80,NO,"$970,000","$970,000","$144,740"
97,Barrington,Replacement of approximately 430 lead service lines.,3696,75,NO,"$8,000,000","$8,000,000","$165,953"
98,St. Charles,Replacement of approximately 265 lead service lines.,5905,60,NO,"$4,000,000","$4,000,000","$106,250"
