epic_merge_id,APPLICANT NAME,REGION,DEP PROJECT RATING,STREET ADDRESS,CITY,COUNTY,PWSID,PROJRANK,FUND SOURCE,PROJECT COST,MTGDATE,PROJECT TYPE,PROJ. DESCRIPTION,PROB. DESCRIPTION,POPULATION,PV RATING,GREEN PROJECT,GREEN CATEGORY,BUSINESS CASE,GREEN AMOUNT
11,WAMPUM BOROUGH - LEAD JOINT DISTRIBUTION LINE REPLACEMENT,VI,48,"P.O. BOX 65, MAIN STREET EXT.",WAMPUM,LAWRENCE,6370032,11,STATE BYPASS,"$3,400,000",4/24/2024,DS,"The main line replacement project will involve the replacement of 9,200 lineal feet of 6"" ductile iron waterline and 100 lineal feet of 12"" steel casing with 6"" ductile iron waterline. Plus appurtenances and restoration.","Borough has identified certain lead joint waterlines generally along Clyde Street, Kay Street, Main Street, and Beaver Street, which need to be replaced. Lead poisoning to the human organism is a well identified condition and such lead poisoning must be prevented through the removal of lead components through the water system.",750,(blank),Yes,Water Efficiency,N/A,"$2,805,000"
12,ERIE CITY WATER AUTHORITY - LEAD SERVICE LINE REPLACEMENT - PHASE 4,VI,47,340 WEST BAYFRONT PARKWAY,ERIE,ERIE,6250028,12,DWSRF,"$18,000,000",10/18/2023,LSL,"Proposed ‘Phase Four’ project, EWW is planning to replace or abandon (for those services which are inactive). Approximately 2,500 total services within the City of Erie over a period of two to three years. Where the customer side of the service line is galvanized / wrought iron, or any lead line. The customer side will also be replaced up to the location of where the service line enters the structure.","This proposed project will empower EWW to remove nearly all of the remaining lead goosenecks from the City of Erie. Secondarily it will also result in the replacement of aged, deteriorated, and often leaky infrastructure. Building on the success and momentum of the WIFTA, Phase Two, and Phase Three projects (pending), EWW is now applying for this additional PENNVEST funding in order to continue this important service line replacement program, permanently removing nearly all lead goosenecks from the City of Erie and many galvanized / wrought iron service lines.","180,000",84,No,N/A,N/A,$0
13,ERIE CITY WATER AUTHORITY - LEAD SERVICE LINE REPLACEMENT - PHASE 5,VI,47,340 WEST BAYFRONT PARKWAY,ERIE,ERIE,6250028,13,DWSRF,"$710,000",4/24/2024,LSL,"The project will include infrastructure renewal specific to the replacement or abandonment of approximately 100 existing service lines, from existing water mains in the Borough of Wesleyville and Lawrence Park Township. Service lines to be replaced consist of wrought iron pipe which is or was attached to water mains by lead ‘goosenecks’, the short-curved section of pipe between the water main and shut off valve at the property line or curb. The work will include the associated excavation, backfill, and restoration necessary to replace the service lines.","The Authority current has approximately forty-two (42) known wrought iron or galvanized requiring replacement service connections within the Borough of Wesleyville and approximately fifty-eight (58) within Lawrence Park Township. The wrought iron services are or were connected to water mains via lead ‘goose necks’, the short curved section of lead pipe between the water main and the straight section of pipe to the curb box which together comprise the utility owned or public side of the service connection/line. Many of these service connections, when excavated, are found to be deteriorated, corroded, and often leaking. In some cases, leaks are so significant that replacement becomes necessary for that reason alone. EWW’s experience in the many years of replacing service lines indicates that the customer owned, or private side of the service line associated with wrought iron on the utility side is most often also wrought iron with threaded joints.","180,000",(blank),No,N/A,N/A,$0
14,BELLWOOD BOROUGH AUTHORITY -  PHASE 3 CIP WATERLINE REPLACEMENT,III,45,610 CAMBRIA ST.,BELLWOOD,BLAIR,4070009,14,DWSRF,"$5,847,745",1/24/2024,DS,"The project includes the replacement of existing cast iron water distribution main with leaded joints. Installed will be approximately 19,610 L.F. of 3"" to 8” ductile iron water distribution main and associated valves, 21 fire hydrants, service connections and appurtenances within certain areas of Bellwood Borough and a small portion of Antis Township. All work will be done in existing roadways or previously disturbed ground.","The Authority's system includes several sections of 100+ year old cast iron water distribution mains with leaded joints. The authority has concerns over the potential for lead to contaminate the water supply and cause health issues with the residents if these mains continue to remain in service. The Authority currently purchases all their water from the Altoona Water Authority, which is in the process of replacing the treatment system, potentially changing the water chemistry being distributed to the Authority's customers. As a result, the Authority has established a priority list of projects aimed at replacing these water mains.","3,162",68,No,N/A,N/A,$0
15,ERIE CITY WATER AUTHORITY - ASBURY TANK PUMP STATION AND PRO-FI IMPROV,VI,44,340 WEST BAYFRONT PARKWAY,ERIE,ERIE,6250028,15,DWSRF,"$20,000,000",10/18/2023,"WS, DS,","Proposed four phase project includes (1) ASBURY TANK - The existing Asbury Tank Pump Station is undersized, equipment is outdated, and many components can no longer be maintained. It contains four pumps, one rated at 800 gpm (1.15 MGD), two rated at 1,200 gpm (1.73 MGD), and a fourth that is not utilized. The station was originally constructed in the 1970’s and is past its useful life, having received minimal improvements since that time. It is also not equipped with a permanent emergency generator. The station does not currently meet state or local codes. Therefore, the facility needs a major upgrade including electrical components, chemical feed system, pumping, controls, and emergency power. The new facility will contain three 1,750 gpm vertical turbine pumps at 428’ TDH driven by variable frequency drive motors. The design capacity of the pump station is 5.0 MGD based upon one pump out of service. The facility will include a sodium hypochlorite chemical feed system with bulk and day tanks and associated transfer and chemical feed pumps, and the installation of a generator to provide emergency back-up power for continuous operation. The scope includes a new building to be constructed adjacent to the existing building, along with new piping, pumps and electrical service to ensure water supply demands are met now and in the foreseeable future. (2) SOUTH BOOSTER STORAGE TANK - The Southwest Master Plan completed in 2011 identified a future need for additional storage in the South Booster Pressure District. EWW’s Water System Master Plan completed by KLH Engineers supports this. EWW staff has been pursuing a property purchase adjacent to the existing 1.0 MG tank. The Cherry Street Pump Station’s South Booster pumps service the South Booster Pressure District. These pumps, which were replaced in 2021/2022 as part of the PENNVEST funded Cherry Street Pump Station Improvements project, provide water directly to EWW customers and to an existing 1 MG hydropillar that supports the district. Based on existing and projected growth in the service area, additional storage is necessary to meet average day demand, emergencies such as power outages, and for fire protection. Additionally, the service area is planned to expand to serve the Peach Street Pressure District (near the Millcreek Mall) to eliminate the need for additional storage in the West Booster Pressure District (which does not feasibly have room for storage tank construction). (3). COOK AND KNOLL WATER MAIN REPLACEMENT - The existing water mains within this project area are 6” ductile iron mains from 1965. Numerous water main breaks have occurred in the area which interrupt water service to many customers, cause major traffic disruptions, and lead to expensive pavement and lawn restoration. The existing mains will be replaced with approximately 3,800 feet of new 8” ductile iron pipe. Fire hydrants and EWW owned service connections will also be replaced. (4). BURTON AVENUE AND ZIMMERMAN ROAD WATER MAIN REPLACEMENTS - Existing water mains within this project area are 6” cast iron mains from 1940 and 1955. Numerous water main breaks have occurred in these areas which interrupt water service to many customers, cause major traffic disruptions, and lead to expensive pavement and lawn restoration. The existing mains will be replaced with approximately 5,300 feet of new 8” ductile iron pipe. Fire hydrants and EWW owned service connections will also be replaced. WOODLAWN, CAMPHAUSEN, FAIRMOUNT, AND HARRISON WATER MAIN REPLACEMENTS The existing water mains within this project area are 6” cast iron mains from 1920s, 1940s, and 1950s. Numerous water main breaks have occurred in these areas which interrupt water service to many customers, cause major traffic disruptions, and lead to expensive pavement and lawn restoration. The existing mains will be replaced with up to approximately 11,300 feet of new ductile iron pipe. Fire hydrants and EWW owned service connections will also be replaced.",This application is being made in conjunction with the PENNVEST Programmatic Financing guidelines and addresses five projects in the Erie Water Works Capital Improvement Plan. A proposed project area maps showing the location of the site and existing conditions is included in the supporting miscellaneous documents of this application. The current shovel ready project is the Asbury Tank Pump Station Replacement. Project will improve reliability of Erie Water Works system and maintain reliable quality and quantity of potable water for the customers.,"180,000",69,Yes,Water Efficiency,N/A,"$9,000,000"
16,EBENSBURG MUNICIPAL AUTHORITY- WATER LINE REPLACEMENT PROJECT,V,43,P.O.BOX 387,EBENSBURG,CAMBRIA,4110009,16,DWSRF,"$7,906,091",10/18/2023,"DS,","The project includes the replacement of approximately 23,200 L.F. of C-900 water distribution main (ductile iron), 26 fire hydrants, curb boxes, service lines and appurtenances is various locations in Ebensburg Borough and Cambria Township. The proposed project will allow for the decommissioning of the existing cast iron water distribution mains with leaded joints in addition to removing all discovered leaded gooseneck service connections.",The Authority’s distribution system is comprised of old cast iron piping with leaded joints and leaded gooseneck services in several sections of their distribution system. The Authority has concerns over the potential for lead to contaminate the water supply and cause health issues with residents and reoccurring water loss.,"8,500",62,Yes,Water Efficiency,N/A,"$6,658,091"
17,INDIANA COUNTY MUNICIPAL SERVICES AUTHORITY - WATER RENOVATION 21,V,43,827 WATER STREET,INDIANA,INDIANA,5320109,17,DWSRF,"$6,820,650",7/19/2023,"TREAT, DS","Authority is proposing to install a new 35 feet Diameter contact clarifier in Crooked Creek Clarifier upgrades. The clarifier shall be designed for turbidity removal to help prolong the life of the existing plant and improve design efficiency. The Indiana/Midd Waterline project includes the installation of approximately 3,200 linear feet of 6-inch waterline to replace an existing 2-inch waterline. The Fyock Road project includes the installation of approximately 1,200 linear feet of new 8-inch waterline to interconnect with existing waterlines and valve vault improvements. The Tanoma/Skyline waterline extension includes the installation of approximately 28,000 linear feet of new 8-inch waterline extension. This extension will provide water to a number of residential homes that are currently hauling water and will remove six homes from a community cistern.","Crooked Creek Clarifier is currently suffers lot of wear and tear on the membranes at the Crooked Creek Water Treatment Plant due to high turbidity water from the creek when it rains. In addition, within the proposed project areas, waterlines are beyond useful service life, prone to breakage, leaks, and in some cases nonexistent. Where waterlines are aged and deteriorated, they are susceptible to leaks and breaks which are costly to repair. Areas in the Indiana/Midd project area have experienced numerous breaks which resulted in periodic service shutdowns and costly emergency repairs. By replacing the waterlines, the Authority will be able to provide clean drinking water and eliminate breaks and leaks. The Fyock Road portion of the project proposes to improve water supply by providing better continuity of service and longevity of service. The Tanoma/Skyline portion of the project is situated in an area where some of the residents are hauling water or are currently using a community cistern. The proposed public water extension would provide clean, safe drinking water to the residents living in the project area","9,400",62,Yes,Water Efficiency,N/A,"$494,570"
18,EBENSBURG MUNICIPAL AUTHORITY- LEAD SERVICE LINE REPLACEMENT PROJECT,V,43,P.O.BOX 387,EBENSBURG,CAMBRIA,4110009,18,DWSRF,"$629,370",10/18/2023,LSL,"The Authority intends to replace any lead, galvanized steel and brass water service lines encountered during the overall water main replacement project throughout various parts of Ebensburg Borough. It is estimated that 50 lead service lines will be encountered and replaced from the main to the meter inside of the structure.",The Authority’s distribution system is comprised of old cast iron piping with leaded joints and leaded gooseneck services in several sections of their distribution system. The Authority has concerns over the potential for lead to contaminate the water supply and cause health issues with residents and reoccurring water loss.,"8,500",78,No,N/A,N/A,$0
19,INDIANA COUNTY MUNICIPAL SERVICES AUTHORITY - WATER RENOVATION 22,V,43,827 WATER STREET,INDIANA,INDIANA,5320109,19,STATE BYPASS,"$14,025,160",4/24/2024,"DS, PS","The Authority owns and operates several public water systems and is proposing several modifications to the Heilwood System, the Cherry Tree System, and the Crooked Creek System. The proposed Heilwood system modifications are as follows: Project 1 - The SR 403-Camerons Road project proposes the installation of approximately 25,933 linear feet (LF) of new waterline and appurtenances in Pine and Buffington Townships, Indiana County. The project also proposes an above ground metering station; Project 2 - The Iverson Road Project proposes installation of approximately 3,530 LF of new waterline and appurtenances along Iverson Road and SR 0422 in Blacklick Township, Cambria County. The project will also include approximately 23 LF of new waterline paralleling SR 0422 in Pine Township, Indiana County where it will connect with the existing system; Project 3 - The School Road Project proposes installation of 11,200 LF of new waterline and appurtenances along School Road in Cherryhill and Pine Townships. The proposed Cherry Tree system modifications are as follows: Project 4 - The Penns Manor to Uniontown Project proposes installation of approximately 38,365 LF of waterline and appurtenances in Green Township and Cherryhill Township paralleling SR 580 from Penns Manor to Uniontown. The proposed Crooked Creek system modifications are as follows: Project 5 - The East Pike Pump Station Project proposes replacement of the existing underground pump station that is no longer in service in White Township. The existing pump station is no longer able to operate with the current system dynamics. The proposed pump station will be an above ground prefabricated pump station; Project 6 - The Ernest Valve Replacement Project proposes replacement of the existing pressure reducing valves (PRVs) that are not anti-cavitation with new anti-cavitation valves. The Earnest Valve (Ernest PRV) Replacement Project is located in the Borough of Ernest, Indiana County.","Project 1 - Rt. 403 Cameron Road Waterline (Heilwood System): The source for the Heilwood System is a mine pool and the Authority has concerns that if there is ever a collapse or contamination, there is no backup to this source. Therefore, the tie-in with the Highridge System is to create redundancy in an emergency situation; Project 2 - Rt. 422 Iverson Road Waterline (Heilwood System): The residents in this area experience poor water quality and quantity; Project 3 - School Road Area Waterline (Heilwood System): The residents in this area experience poor water quality and quantity. In addition, there is no emergency backup; Project 4 - Penns Manor to Uniontown Waterline: Residents in this area experience poor water quality and many issues with manganese; Project 5 - East Pike Pump Station (White Township, Crooked Creek System): The Authority wants to establish another supply source for emergency situations and a backup source for the Indiana County Jail and SCI Pine Grove Prison; Project 6 - Ernest Valve Replacement: The existing 2-inch and 6-inch PRVs are not anti-cavitation. New PRVs will provide optimum downstream pressure control, reduce noise, and eliminate the damage associated with cavitation.","10,399",(blank),Yes,Water Efficiency,N/A,"$20,000"
20,FORD CITY BOROUGH - LEAD SERVICE LINE REPLACEMENT,VI,40,"P.O. BOX 112, NEALE AVE",FORD CITY,ARMSTRONG,5030005,20,DWSRF,"$5,600,000",1/24/2024,LSL,"The project proposes to remove approximately 1,245 existing leaded gooseneck or galvanized steel service connections with plastic piping. Any lead service line encountered will be replaced from the water main to the inside of the structure. Out of the 1,245 services to be replaced, 1,225 are for residential users while the remaining 20 services are commercial/industrial users.",The intention of the project is to remove existing leaded gooseneck or galvanized steel service connections within the project area that could potential be a health concern to the Borough’s customers,"2,991",75,No,N/A,N/A,$0
21,BELLWOOD BOROUGH AUTHORITY - LEAD SERVICE LINE REPLACEMENT,III,40,610 CAMBRIA ST.,BELLWOOD,BLAIR,4070009,21,DWSRF,"$491,120",1/24/2024,LSL,The project proposes to replace 40 existing service connections which are classified as lead or lead or galvanized requiring replacement (GRR) with plastic piping. The lead or GRR components of each service line will be replaced so that the entire service line from the water main to the inside of the structure consists of acceptable material.,"The project area includes 40 service lines which are classified as lead or galvanized requiring replacement (GRR). The Authority has concerns over the potential for lead to contaminate the water supply and cause health issues with the residents if these lines continue to remain in service. The Authority currently purchases all their water from the Altoona Water Authority, which is in the process of replacing their treatment system, potentially changing the chemistry of the water being distributed to the Authority's customers. As a result, the Authority plans to replace these water services.","3,162",75,Yes,Water Efficiency,N/A,"$491,120"
22,FORD CITY BOROUGH - CAST IRON WATERLINE REPLACEMENT,VI,40,"P.O. BOX 112, NEALE AVE",FORD CITY,ARMSTRONG,5030005,22,DWSRF,"$14,325,000",1/24/2024,DS,"The project includes the replacement of 4-inch, 6-inch, 8-inch and 12-inch Cast Iron Pipe (CIP) with approximately 45,050 linear feet . 12-inch, 8-inch and 6-inch C900 plastic water main as well as water service lines, 70 fire hydrants, blow-off assemblies, and other associated appurtenances.","The various health hazards associated with CIP are well known, lead being the biggest risk from the joints, as well as when cast iron comes to the end of its lifespan, it is susceptible to rust. By replacing this waterline, the Borough can eliminate those health risks from potential exposure, as well as eliminate the frequent leaks and breaks that occur on the old line, all of which will preserve the structural and process integrity of the facilities and protect the health and safety of the customers in the service area. This project is a continuation of other projects the Borough is undertaking to eliminate all CIP from its water supply and distribution system and to achieve 100% compliance with current NSF 61 regulations and President Biden’s Lead-Free drinking water efforts.","2,991",75,No,Water Efficiency,N/A,"$13,870,000"
23,EASTON SUBURBAN WATER AUTHORITY - SOUTH SIDE SERVICE LINE REPLACEMENTS,II,37,CITY HALL 650 FERRY STREET,EASTON,NORTHAMPTON,3480050,23,DWSRF,"$3,293,000",1/24/2024,LSL,"ESWA proposes the investigation of approximately 300 public and private lead and/or galvanized service lines and, based on prior experience, it is estimated of which 195 will need replacement. The proposed LSLRs for the ESWA’s South Side Project is as follows: North South Side consists of replacement of an estimated 94 lead and/or galvanized needing replacement service lines (Charles, Folk, James, Lachenour, Madison, and St. Joseph Streets and adjacent areas). The West South Side consists of replacement of an estimated 101 lead and/or galvanized needing replacement service lines (Grant, Iron, Milton, Valley, and Williams Streets and adjacent areas). The project will include all necessary appurtenances related to the service line replacements (i.e. valves, water mains, test pits, etc.), engineering design, bid, and construction phase services; construction costs related to excavation of the service lines for material confirmation, replacements, restoration, and Risk Mitigation Management procedures. The improvements will enhance ESWA’s ability to operate and maintain the system and increase the reliability of service.","The Easton Suburban Water Authority (ESWAA) proposes a lead service line replacement project in the South Side of the City of Easton, Northampton County. ESWA proposes the investigation of approximately 300 public and private lead and/or galvanized service lines and, based on prior experience, it is estimated of which 195 will need replacement. The existing system facilities identified as part of this project are older and comprised primarily of lead and/or galvanized. Removal and replacement of the service lines is desired and considered necessary to ensure continued compliance with the Department’s Lead and Copper Rule, Title 25 Chapter 109, Subchapter K.","93,400",52,No,N/A,N/A,$0
24,BOROUGH OF FREELAND MUNICIPAL AUTHORITY- OAK STREET WATER STORAGE TANK,II,35,711 BIRKBECK STREET,FREELAND,LUZERNE,2400054,24,STATE BYPASS,"$3,639,000",4/24/2024,WS,"The proposed project includes constructing a new 100,000 gallon finished water storage tank with mixer for distribution storage, installing approximately 800 linear feet of 8-inch water main to extend to the new tank, installing an altitude valve vault, and constructing a fiberglass building to house controls. The valve vault will house an altitude valve to actuate based on tank level and a pressure transmitter to monitor and record the tank level. A submersible tank mixer will be installed in the new tank to prevent stagnation and thermal stratification and reduce the potential for ice buildup. The new 100 square-foot fiberglass building will house control panels and will contain a water sampling station. The project will also include the demolition of the existing Upper Lehigh Tank once the new tank is in operation. The modifications will enhance Freeland's ability to operate and maintain its system.","The Borough of Freeland Municipal Authority is proposing the Oak Street Water Storage Tank Project to correct deficiencies in its distribution system. Currently, water age due to low turnover is causing poor water quality in areas of its distribution system served by the Upper Lehigh Standpipe. This standpipe is in poor condition and will be demolished as part of the project. In addition, the existing Harding Street elevated storage tank cannot be taken out of service for rehabilitation work while still maintaining adequate pressure and emergency storage for consumers.","4,610",(blank),No,N/A,N/A,$0
