Rank,Project Sponsor,Project Number,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,"Actual/ Anticipated
Funding Status",BIL Eligibility
8,Newark City,0714001-020,Phase-2 Lead Service Line Replacement (LSLR) Project,280139,12989172,418386,15693186,250,50,20,0,5,0,80,2.9,407.90139,Funded,BIL (GEN)
9,Trenton City,1111001-011,Lead Service line replacement,391000,13000000,2900000,15900000,250,50,15,0,5,0,80,3.91,403.91,Funded,BIL (GEN)
10,Newark City,0714001-019,Phase-1 Lead Service Line Replacement (LSLR) Project,280139,6000000,1528353,7528353,250,50,15,0,5,0,80,2.8,402.80139,Funded,BIL (GEN)
12,Hopatcong Borough,1912001-009,Installation of 48-inch pipe at wells to increase chlorine contact time at nin,7900,750000,525000,1275000,350,0,15,0,0,0,0,0.08,365.079,Beyond 2026,BIL(GEN)
14,Passaic Valley Water Commission,1605002-002,Lead Service Line Replacement in Main System,306707,21918500,66200,26302200,250,0,15,0,5,0,80,3.1,353.10121,Funded,BIL (GEN)
15,Orange City,0717001-015,Orange Twp |PFAS in Well 7 Drinking Water System,32000,1200000,200000,1440000,250,80,0,5,5,0,0,0.3,350.30133,Beyond 2026,BIL (GEN)/ BIL (EC)
16,Lakewood Township Municipal Utilities Authority,1514002-001,LTMUA GAC Building (New Hampshire & Shorrock St),22000,10281500,3405680,12599300,250,80,20,0,0,0,0,0.28,350.27615,Funded,BIL (GEN)/ BIL (EC)
17,Orange City,0717001-011,Orange Twp PFOA in Well 8 Drinking Water System,30731,1200000,,1550000,250,0,0,5,5,0,80,0.3,340.30134,Funded,BIL (GEN)
17,Orange City,0717001-013,Orange Twp | Well 5 Rehabilitation Project,30731,500000,173000,700000,250,0,0,5,5,0,80,0.3,340.30134,Funded,BIL (GEN)
18,Newark City,0714001-022,PROCESS AND OPERATIONAL UPGRADES AT THE PEQUANNOCK WATER TR,280000,18729224,191411,22551068,250,0,0,0,0,0,80,2.94,332.94274,Funded,BIL (GEN)
19,Elizabeth City,2004001-001,City of Elizabeth Lead Service Line Replacement Program 2025,137298,17600000,2370000,21120000,175,80,15,5,0,0,0,1.34,331.34,2026,IL (GEN)/ BIL (LSLR)
20,Atlantic City Municipal Utilities Authority,0102001-011,Lead Service Lines Replacement,108998,3754080,,4504896,175,80,15,0,0,0,0,1.09,321.08998,Funded,BIL (GEN)
21,New Brunswick City,1214001-001,LSLR Program,55000,10000000,1332522,12000000,175,80,15,0,0,0,0,0.55,320.55,2026,IL (GEN)/ BIL (LSLR)
23,North Shore Water Association,1904004-001,Existing Well Requires Replacement,105,360000,115000,475000,300,0,20,0,0,0,0,0,320.00105,Beyond 2026,BIL(GEN)
24,New Brunswick City,1214001-005,Water Treatment Plant Improvements,50000,10435000,3443100,13878100,160,80,15,5,0,0,0,0.55,315.54999,Funded,BIL (GEN)
25,Camden City,0408001-001,PFAS Treatment Improvements at Morris-Delair Water Treatment Plant,54000,40706900,4520000,51404280,160,80,15,0,5,0,0,0.47,315.46585,Funded,BIL (GEN)/ BIL (EC)
26,East Windsor Municipal Utilities Authority,1101002-006,Millstone Road Water Treatment Plant Administration Building,25763,28410000,1813378,36092000,150,0,0,0,0,15,0,0.25,315.25,2026,BIL (GEN)
28,Atlantic City Municipal Utilities Authority,0102001-012,Water Treatment Plant Facility Infrastructure Replacement & Improveme,108667,104760000,4634161,125712000,160,80,15,0,0,0,0,1.09,306.08667,Beyond 2026,BIL (GEN)
29,Bloomfield Township,0702001-003,Lead Service Line Replacement,47982,875000,440000,1098395,300,0,0,5,0,0,0,0.47,305.47315,Funded,BIL (GEN)
30,"NJ American Water Company, Inc.",1345001-017,Oak Street Treatment Plant Improvements,290470,4239000,2763840,7002840,250,50,0,0,0,0,0,2.9,302.9047,Funded,BIL (GEN)
31,Aqua New Jersey Incorporate,1103001-005,Addition of radium treatment at Well 9 to resolve MCL exceedance,49000,583100,418226,1001326,250,50,0,0,0,0,0,0.49,300.49,Beyond 2026,BIL(GEN)
33,North Shore Water Association,1904004-004,Water System Refurb,105,100000,145400,245400,300,0,0,0,0,0,0,0,300.00105,Beyond 2026,BIL(GEN)
34,Wildwood City,0514001-004,Wildwood Boardwalk water main replacement,45500,1820080,712425,2532505,175,80,15,0,0,0,0,0.45,295.45499,Beyond 2026,BIL (GEN)
35,Wildwood City,0514001-007,Wildwood Lead Service Replacement Program,70719,104111500,741500,135344950,175,80,15,0,0,0,0,0.16,295.16499,Funded,BIL (GEN)
36,Red Bank Borough,1340001-004,Red Bank Lead Service Line Replacement,13600,3200000,2837700,3840000,175,80,15,0,0,0,0,0.13,295.12521,Funded,BIL (GEN)
37,East Orange Water Commission,0705001-015,PFAS Treatment,50000,29083000,2000000,34899600,200,80,0,5,0,0,0,0.75,290.75,Beyond 2026,BIL(GEN)
38,Trenton City,1111001-005,5-year Lead Service Line Replacement & Verification Project,225000,195000000,863200,239000000,250,0,15,0,5,0,15,2.17,287.17,Funded,BIL (GEN)
39,Freehold Borough,1315001-004,Lead Service Line Replacement,8331,2500000,918940,3133035,175,80,15,0,0,0,0,0.11,285.11029,2026,IL (GEN)/ BIL (LSLR)
40,Flemington Borough,1009001-010,Lead and Galvanized Water Service Test Pit and Replacement Project,0,225000,850000,280000,175,80,15,0,0,0,0,0.05,285.04581,Funded,BIL (GEN)
41,Manchester Utilities Authority,1603001-001,Heights Tank Rehabilitation,12028,389166,1800000,500000,250,0,15,0,0,0,0,0.12,280.12,2026,BIL (GEN)
43,Hopatcong Borough,1912001-002,Hopatcong Borough PFAS Removal Improvement Project,7000,840000,1100300,1020000,250,0,15,0,0,0,0,0.07,280.07224,Beyond 2026,BIL(GEN)
44,Passaic Valley Water Commission,1605002-026,PVWC Lead Service Line Replacement,147000,1400000,578000,1978000,175,80,20,0,0,0,0,3.1,278.10483,Beyond 2026,BIL (GEN)
45,Bloomfield Township,0702001-004,Interconnection Project,47315,1920000,491000,2592000,250,0,0,5,0,0,15,0.47,270.47315,Funded,BIL (GEN)
45,Bloomfield Township,0702001-005,Lead Service Replacement Phases,49973,6000000,879930,7700000,250,0,0,5,0,0,15,0.47,270.47315,Funded,BIL (GEN)
48,Flemington Borough,1009001-011,PFOS TREATMENT,5006,4500000,,5800000,160,80,15,0,0,0,0,0.05,270.04581,Beyond 2026,BIL(GEN)
49,North Jersey District Water Supply Commission,1613001-013,Construction of a new 50 MGD Bellville Pump Station,872153,25000000,11690000,36690000,160,50,20,0,0,0,30,8.72,268.72153,Beyond 2026,BIL(GEN)
50,Jersey City Municipal Utilities Authority,0906001-035,Lead Service Line Replacement,292449,311040,2875600,373248,175,0,20,5,5,0,0,2.62,267.62,Funded,BIL (GEN)
51,East Orange City,0705001-003,Lead Service Line Replacement Phase 2,0,22000000,745890,26520000,175,80,0,5,0,0,0,0.75,265.75,2026,BIL (GEN)
52,Merchantville Pennsauken Water Commission,0424001-006,Frosthoffer GAC plant,50000,8200000,3787685,9840000,200,0,15,0,0,0,0,0.47,265.47144,Funded,BIL (GEN)/ BIL (EC)
53,Winslow Township,0436007-006,Add radium removal treatment at existing wells 1 and 8 to correct Maxim,39328,4953080,2439355,7392435,250,0,15,0,0,0,0,0.39,265.39328,Beyond 2026,BIL(GEN)
54,Belleville Township,0701001-003,"Replacement of 7,000 lead service lines",35928,14000000,5940000,19940000,250,0,0,0,0,0,15,0.36,265.35928,Beyond 2026,BIL(GEN)
54,Belleville Township,0701001-004,Installation of lead corrosion control measures at four interconnections,35928,400000,280000,680000,250,0,0,0,0,0,15,0.36,265.35928,Beyond 2026,BIL(GEN)
55,Orange City,0717001-018,Lead Pipe Replacement Program,33787,4300000,3520000,5160000,175,80,0,5,0,0,0,0.3,265.30134,Beyond 2026,BIL(GEN)
56,Harrison Town,0904001-006,Harrison Lead Service Replacement Project,19217,16000000,570000,19200000,175,80,0,0,5,0,0,0.14,265.14425,2026,IL (GEN)/ BIL (LSLR)
57,Upper Deerfield Township,0613004-001,Radium Treatment Removal for Love Lane WTP (wells # 3 & 4),4500,2200000,1228000,3428000,250,0,0,0,0,0,15,0.05,265.045,Beyond 2026,BIL(GEN)
58,National Park Borough,0812001-005,Addition of PFOS Treatment at Exisiting Water Plant,2983,1100000,770000,1526500,250,0,0,0,0,0,15,0.03,265.03144,Funded,BIL (GEN)
60,ADTI Housing Corporation,2103002-001,Chlorination system,83,243700,109665,353365,250,0,0,0,0,0,15,0,265.00083,Beyond 2026,BIL(GEN)
61,Sayreville Borough,1219001-009,Lead Service Line Investigation and Replacement,44243,1650000,797000,2044000,250,0,0,0,5,0,0,0.44,260.43761,Beyond 2026,BIL (GEN)
62,Orange City,0717001-017,PFAS Treatment at Chestnut Street Pumping Station,34447,13300000,,17010000,160,80,0,5,5,0,0,0.3,260.30133,2026,BIL (GEN)/ BIL (EC)
63,Lakewood Township Municipal Utilities Authority,1514002-005,"GAC WELLS 1, 2 & 3",74485,2715740,281250,3358888,160,80,20,0,0,0,0,0.28,260.27614,2026,BIL (GEN)
64,Park Ridge Borough,0247001-001,Permanent PFAS Treatment,16500,5020000,360750,6024000,250,0,0,5,0,0,0,0.16,260.16466,2026,BIL (GEN)/ BIL (EC)
65,Aqua New Jersey Incorporate,0415002-001,Aqua New Jersey Blackwood Lead Service Line Replacement,4545,10000000,45200,12780000,175,80,0,0,0,0,0,0.44,255.44396,Funded,IL (GEN)/ BIL (LSLR)
66,Vineland City,0614003-001,Lead Service Line Replacement Project,60491,108330000,408000,129996000,175,80,0,0,0,0,0,0.36,255.3625,2026,BIL (GEN)
67,East Newark Borough,0902001-001,East Newark LSLR,2594,900000,400000,1192000,175,80,0,0,0,0,0,0.02,255.02406,2026,BIL (GEN)
68,Newark City,0714001-001,Construction of an ozonation facility,285000,10000000,4660000,14660000,100,50,20,0,0,0,80,2.85,252.85,Beyond 2026,BIL(GEN)
68,Newark City,0714001-013,Removal and disposal of sludge from lagoon,285000,3000000,1580000,4580000,100,50,20,0,0,0,80,2.85,252.85,Beyond 2026,BIL(GEN)
69,Middlesex Water Company,1225001-030,PFAS Treatment at CJO Plant,121639,170000000,752011,206000000,250,0,0,0,0,0,0,2.33,252.33376,Beyond 2026,BIL (GEN)/ BIL (EC)
70,Camden City,0408001-015,Morris-Delair WTP improvements - Phase II,77344,919790,524245,1444035,100,50,20,0,0,0,80,0.77,250.77344,Beyond 2026,BIL(GEN)
70,Camden City,0408001-016,Parkside WTP various improvements,77344,245277,139797,385074,100,50,20,0,0,0,80,0.77,250.77344,Beyond 2026,BIL(GEN)
71,Ridgewood Village,0251001-001,Water Treatment Centralization for PFAS Removal,61220,62433333,253083,77551982,250,0,0,0,0,0,0,0.62,250.617,Funded,BIL (GEN)/ BIL (EC)
71,Ridgewood Village,0251001-002,Water Treatment Centralization for PFAS Removal Phase 2,61200,14188500,5196000,17026200,250,0,0,0,0,0,0,0.62,250.617,Funded,BIL (GEN)/ BIL (EC)
71,Ridgewood Village,0251001-003,Water Treatment Centralization for PFAS Removal Phase 3,61200,7666583,763800,9199899,250,0,0,0,0,0,0,0.62,250.617,Funded,BIL (GEN)/ BIL (EC)
71,Ridgewood Village,0251001-004,Water Treatment Centralization for PFAS Removal Phase 4,61220,4499334,839600,5799134,250,0,0,0,0,0,0,0.62,250.617,2026,BIL (GEN)/ BIL (EC)
71,Ridgewood Village,0251001-005,Water Treatment Centralization for PFAS Removal Phase 5,61220,2582500,6510000,3307250,250,0,0,0,0,0,0,0.62,250.617,2026,BIL (GEN)/ BIL (EC)
71,Ridgewood Village,0251001-006,Water Treatment Centralization for PFAS Removal Phase 6,61220,2673333,300000,3425332,250,0,0,0,0,0,0,0.62,250.617,2026,BIL (GEN)/ BIL (EC)
72,Perth Amboy City,1216001-011,Upgrades to the Runyon Water Treatment Plant,55436,64159667,366642,83407567,160,80,0,0,5,0,0,0.52,250.52328,Beyond 2026,BIL (GEN)/ BIL (EC)
74,Belleville Township,0701001-008,Belleville Lead Service Line Replacement,36069,2703600,450000,3568752,250,0,0,0,0,0,0,0.35,250.35129,Funded,BIL (GEN)
75,Edison Township,1205001-002,Township Wide Lead Service Replacement,107588,6750000,3400000,8710000,250,0,0,0,0,0,0,0.35,250.35,Beyond 2026,BIL (GEN)
76,Livingston Township,0710001-001,"Livingston PFAS Treatment - Phase A (Wells 1,2,4,8, 11)",29366,5300000,484770,6960275,250,0,0,0,0,0,0,0.27,250.27391,Funded,BIL (GEN)/ BIL (EC)
76,Livingston Township,0710001-002,"Livingston PFAS Treatment - Phase B (Wells 10, 12)",29366,3200000,2310759,4239775,250,0,0,0,0,0,0,0.27,250.27391,Funded,BIL (GEN)/ BIL (EC)
76,Livingston Township,0710001-003,"Dorsa Wells - PFAS and 1,4-Dioxane Treatment",29366,14000000,61618,17643300,250,0,0,0,0,0,0,0.27,250.27391,Funded,BIL (GEN)/ BIL (EC)
76,Livingston Township,0710001-004,"Livingston PFAS Treatment - Phase C (Wells 6, 7, 9)",31330,7635000,1191000,9798600,250,0,0,0,0,0,0,0.27,250.27391,Beyond 2026,BIL (GEN)/ BIL (EC)
77,Burlington Township,0306001-001,Beverly Road Water Treatment Plant Upgrades for PFA's Treatment,23983,1401800,1948069,1912160,250,0,0,0,0,0,0,0.23,250.22594,Beyond 2026,BIL(GEN)
78,Moorestown Township,0322001-001,North Church Street Water Treatment Plant Upgrade,20726,15260000,4601000,19861000,250,0,0,0,0,0,0,0.21,250.20726,Funded,BIL (GEN)
79,Ramsey Borough,0248001-009,Arsenic treatment system at the Spring Street Treatment Facility,16350,422903,373372,796275,250,0,0,0,0,0,0,0.16,250.1635,Beyond 2026,BIL(GEN)
81,Sparta Township,1918004-003,Installation of uranium treatment equipment at two of the existing Autum,15726,350000,-14000,336000,250,0,0,0,0,0,0,0.16,250.15726,Beyond 2026,BIL(GEN)
82,Ramsey Borough,0248001-016,Arrow Road PFAS Treatment,10138,2200000,369798,2804000,250,0,0,0,0,0,0,0.15,250.15207,2026,BIL (GEN)/ BIL (EC)
82,Ramsey Borough,0248001-017,"PFAS Treatment - Darlington, Brookfield, N. Central and Spring",15207,8000000,,10872000,250,0,0,0,0,0,0,0.15,250.15207,Beyond 2026,BIL(GEN)
83,Pequannock Township,1431001-001,PFOS & PFOA Treatment for Well #1 Dunn Place NJ1431001,14000,2770000,333000,3324000,250,0,0,0,0,0,0,0.14,250.1401,2026,BIL (GEN)/ BIL (EC)
85,Oakland Borough,0242001-001,Soons Wellfield PFAS Treatment,12653,1200000,265000,1640000,250,0,0,0,0,0,0,0.13,250.12754,Beyond 2026,BIL (GEN)/ BIL (EC)
86,Clinton Town,1005001-023,"Town of Clinton - Wells 3A, 16 - PFAS Treatment Improvements",12000,7000000,572000,8625000,250,0,0,0,0,0,0,0.13,250.125,Beyond 2026,BIL(GEN)
87,Waldwick Borough,0264001-003,Water Treatment Systems,9625,$     -,855640,270000,250,0,0,0,0,0,0,0.1,250.09653,Funded,BIL (GEN)/ BIL (EC)
88,Jefferson Township,1414003-001,Moosepac Well Filtration,3000,2545000,,3211100,250,0,0,0,0,0,0,0.05,250.045,Beyond 2026,BIL (GEN)/ BIL (EC)
89,Ho-Ho-Kus Borough,0228001-002,Ho-Ho-Kus Water Treatment System,4078,1500000,1700000,2110000,250,0,0,0,0,0,0,0.04,250.0406,Funded,BIL (GEN)/ BIL (EC)
90,Essex Fells Borough,0706001-002,Interim PFAS-Runnymede Site-Wells 5 &1,21937,900000,20000,1080000,250,0,0,0,0,0,0,0.02,250.022,Beyond 2026,BIL(GEN)
90,Essex Fells Borough,0706001-003,Permanent PFAS Treatment (Main Facility),21937,4500000,19247900,5400000,250,0,0,0,0,0,0,0.02,250.022,Funded,BIL (GEN)/ BIL (EC)
90,Essex Fells Borough,0706001-004,Permanent PFAS Treatment (Additional Facilities),21937,2000000,2034520,2400000,250,0,0,0,0,0,0,0.02,250.022,Funded,BIL (GEN)/ BIL (EC)
90,Essex Fells Borough,0706001-005,Permanent PFAS Treatment (Country Club Facility),21937,1592000,,2000000,250,0,0,0,0,0,0,0.02,250.022,Funded,BIL (GEN)/ BIL (EC)
91,Bethlehem Township BOE,1002311-001,Thomas B. Conley Elementary School Treatment System PFAS,3745,775000,12000000,1000000,250,0,0,0,0,0,0,0,250.00339,Beyond 2026,BIL (GEN)/ BIL (EC)
92,"Lake Stockholm Systems, Inc.",1911002-001,"Lake Stockholm Systems, Inc., PFOA/PFOS removal for NJDEP compliance",400,750000,,1020000,250,0,0,0,0,0,0,0,250.003,Funded,BIL (GEN)/ BIL (EC)
93,Aqua New Jersey Incorporate,1911004-001,Summit Lake PFAS,117,1500000,,2000000,250,0,0,0,0,0,0,0,250.00177,Funded,BIL (GEN)/ BIL (EC)
94,Eagleswood Village MHP,1508001-001,Eagleswood Village Water Improvement,80,862500,1350000,1035000,250,0,0,0,0,0,0,0,250.00079,2026,BIL (GEN)/ BIL (EC)
95,Buttonwood Mobile Home Park,0301001-001,Buttonwood system,77,225000,116250,341250,250,0,0,0,0,0,0,0,250.00055,Beyond 2026,BIL (GEN)
97,Jersey City Municipal Utilities Authority,0906001-034,Boonton Water Treatment Plant Electric Substation/ Distribution System I,262000,16200000,1700000,19440000,160,0,15,5,5,0,0,2.62,247.62,Beyond 2026,BIL (GEN)
98,Newark City,0714001-024,Additional Filters at the Pequannock Water Treatment Plant,207700,8610816,2425000,10357979,160,80,0,0,0,0,0,3.94,243.94274,Funded,BIL (GEN)
99,Jersey City Municipal Utilities Authority,0906001-037,Princeton Avenue Water Main Upgrade,287899,1221675,305100,1666010,175,0,15,0,0,0,0,2.62,242.62,2026,BIL (GEN)
99,Jersey City Municipal Utilities Authority,0906001-038,County Village Water Main Improvements,287899,4344700,1600000,5263640,175,0,15,0,0,0,0,2.62,242.62,2026,BIL (GEN)
100,Newark City,0714001-017,Water Distribution System Upgrades,285000,971100,436995,1408095,75,80,20,5,0,0,0,2.94,237.94273,2026,BIL (GEN)
101,Brick Township Municipal Utilities Authority,1506001-011,Granular Activated Carbon (GAC) Treatment Addition,86898,16000000,4890000,20890000,200,0,20,0,0,0,15,0.87,235.86898,Funded,BIL (GEN)
102,East Orange City,0705001-014,Water System Improvement and Resiliency Project 2017,65078,19520000,5805200,25325200,100,50,0,5,0,0,80,0.75,235.75,Funded,BIL (GEN)
103,Newark City,0714001-008,"Cleaning and lining of water mains, upgrading 4 inch mains to 6 & 8 inch m",285000,24800000,7178000,31978000,75,80,15,5,0,0,0,2.94,232.94273,Beyond 2026,BIL(GEN)
105,Newark City,0714001-002,Rehab of 42-inch Steel water main including cleaning & lining,285000,3000000,2070000,5070000,75,50,20,0,0,0,80,2.85,227.85,Beyond 2026,BIL(GEN)
105,Newark City,0714001-009,"Replacement of 12,000 Lead service lines",285000,30000000,11060000,41060000,75,50,20,0,0,0,80,2.85,227.85,Beyond 2026,BIL(GEN)
106,Jersey City Municipal Utilities Authority,0906001-040,"Renovations to the JCMUA Water Treatment Plant, Boonton New Jersey.",292449,4300000,2755907,5676000,160,0,15,0,0,0,0,2.62,227.62,2026,BIL (GEN)
107,Atlantic City Municipal Utilities Authority,0102001-007,Water Main Replacement Program,94225,1500000,300000,1800000,75,80,20,0,0,0,0,0.94,225.94225,Beyond 2026,BIL (GEN)
108,Camden City,0408001-004,Replacement of water mains on South Merrimac Road and New Hampshir,77344,4100000,2064000,6164000,75,50,20,0,0,0,80,0.77,225.77344,Beyond 2026,BIL(GEN)
108,Camden City,0408001-013,Cleaning & Lining of distribution and transmission mains,77344,7971514,4543450,12514964,75,50,20,0,0,0,80,0.77,225.77344,Beyond 2026,BIL(GEN)
108,Camden City,0408001-014,Replacement of Lead Service Lines,77344,567000,396900,963900,75,50,20,0,0,0,80,0.77,225.77344,Beyond 2026,BIL(GEN)
108,Camden City,0408001-020,Cleaning and lining of a transmission mains,77344,7358322,4193949,11552271,75,50,20,0,0,0,80,0.77,225.77344,Beyond 2026,BIL(GEN)
109,High Bridge Borough,1014001-004,High Bridge Water System: Bunnvale Well Upgrades,3648,1119600,112000,1477872,175,50,0,0,0,0,0,0.03,225.033,Funded,BIL (GEN)
110,Branchville Borough,1903001-001,PFOS Treatment,75,1000000,1439073,1200000,200,0,15,0,0,0,0,0.02,225.015,Beyond 2026,BIL (GEN)/ BIL (EC)
111,Passaic Valley Water Commission,1605002-032,Bunker Hill Water Main Replacement Project,104301,30000000,,39000000,75,80,15,0,0,0,0,3.1,223.10483,Beyond 2026,BIL (GEN)
111,Passaic Valley Water Commission,1605002-034,Water Main Replacement Program for the Main System,6219,3000000,,3600000,75,80,15,0,0,0,0,3.1,223.10483,Beyond 2026,BIL(GEN)
112,Stafford Township,1530004-020,Principle Forgiveness Application - Replacing Galvanized Pipes - Private,29375,800000,600000,960000,175,0,20,0,0,0,0,0.29,220.28863,2026,BIL (GEN)
113,Bridgeton City,0601001-005,"Replacement of 2,190 LF of 6 inch with 8 inch main",22770,1723000,724600,2447600,75,50,15,0,0,0,80,0.23,220.2277,Beyond 2026,BIL(GEN)
114,Dover Town,1409001-001,Lead Service Lines,16000,16200000,,19440000,175,0,15,0,0,0,0,0.28,215.27806,2026,IL (GEN)/ BIL (LSLR)
115,Netcong Borough,1428001-010,Borough of Netcong - Lead (Galvanized) Service Line Replacements,4500,2250000,437500,2820000,175,0,15,5,0,0,0,0.03,215.03342,Beyond 2026,BIL (GEN)
116,Newark City,0714001-007,Construction of a hydro-electric facility at the pre-treatment plant screen,285000,6000000,3750000,9750000,45,50,20,0,0,15,80,2.85,212.85,Beyond 2026,BIL(GEN)
117,Atlantic City Municipal Utilities Authority,0102001-006,1 MG Storage Tank Sand Blasting and painting,94225,1345500,1042626,2388126,60,50,20,0,0,0,80,0.94,210.94225,Beyond 2026,BIL(GEN)
118,East Orange Water Commission,0705001-002,Cleaning & Lining of mains,80468,2164500,1212380,3376880,75,50,0,5,0,0,80,0.8,210.80468,Beyond 2026,BIL(GEN)
118,East Orange Water Commission,0705001-006,Replacement of west well transmission main,80468,2500000,1360000,3860000,75,50,0,5,0,0,80,0.8,210.80468,Beyond 2026,BIL(GEN)
118,East Orange Water Commission,0705001-007,Replacement of fifteen water mains suspended on Garden State Parkway,80468,2500000,1360000,3860000,75,50,0,5,0,0,80,0.8,210.80468,Beyond 2026,BIL(GEN)
118,East Orange Water Commission,0705001-010,"Installation of 2,150 LF of 8-inch & 1,400 LF of 4-inch for a redevelopment",80468,325000,227500,552500,75,50,0,5,0,0,80,0.8,210.80468,Beyond 2026,BIL(GEN)
119,Camden City,0408001-006,Rehabilitate the North Camden pump station,77344,500000,350000,850000,60,50,20,0,0,0,80,0.77,210.77344,Beyond 2026,BIL(GEN)
120,Atlantic City Municipal Utilities Authority,0102001-005,Installation of solar system at offices and at WTP,47011,4000000,2020000,6020000,45,50,20,0,0,15,80,0.47,210.47011,Beyond 2026,BIL(GEN)
121,"Ocean Township, Ocean County",1520001-008,Township of Ocean-Ocean County Waretown Lead Service Line Replaceme,8835,11348800,1553000,13818560,175,0,20,0,0,0,0,0.15,210.15419,2026,BIL (GEN)
122,West Cape May Borough,0512001-001,Lead Line Remediation,1900,625000,700000,906250,175,0,20,0,0,0,0,0.05,210.04601,Beyond 2026,BIL (GEN)
123,North Jersey District Water Supply Commission,1613001-012,"Improvement of chemical feed equipment, pressure gauges, meters and a",872153,500000,475000,975000,100,50,20,0,0,0,30,8.72,208.72153,Beyond 2026,BIL(GEN)
123,North Jersey District Water Supply Commission,1613001-014,Construction of a 6 MG baffled clearwell and rehab of an existing clearwel,872153,5000000,3190000,8190000,100,50,20,0,0,0,30,8.72,208.72153,Beyond 2026,BIL(GEN)
123,North Jersey District Water Supply Commission,1613001-016,Install 6 Layer Aerators including air piping and appurtenances.,872153,1000000,950000,1950000,100,50,20,0,0,0,30,8.72,208.72153,Beyond 2026,BIL(GEN)
123,North Jersey District Water Supply Commission,1613001-020,Rehabilitation of existing WTP,872153,4250000,2770000,7020000,100,50,20,0,0,0,30,8.72,208.72153,Beyond 2026,BIL(GEN)
123,North Jersey District Water Supply Commission,1613001-027,Expansion of Aeriation System,872153,1554000,1161888,2715888,100,50,20,0,0,0,30,8.72,208.72153,Beyond 2026,BIL(GEN)
123,North Jersey District Water Supply Commission,1613001-028,Filter Bldg Pipe Gallery Dehumid,872153,1246000,985712,2231712,100,50,20,0,0,0,30,8.72,208.72153,Beyond 2026,BIL(GEN)
123,North Jersey District Water Supply Commission,1613001-029,Basins 1-4 Flocculator Rehabilitation,872153,1970000,1399840,3369840,100,50,20,0,0,0,30,8.72,208.72153,Beyond 2026,BIL(GEN)
124,Passaic Valley Water Commission,1605002-030,Garret Heights Water Main Replacement,204471,8500000,769600,10400000,75,80,0,0,0,0,0,3.1,208.10483,Beyond 2026,BIL (GEN)
125,Aqua New Jersey Incorporate,2119001-008,"Replacement of 7,080 LF of undersized water mains in Philipsburg",33560,1062000,727280,1789280,75,50,0,0,0,0,80,0.34,205.3356,Beyond 2026,BIL(GEN)
126,Cape May City,0502001-002,Replacement of Existing Water Plant,18901,39204000,417912,50608800,170,0,20,0,0,0,0,0.19,205.18901,2026,BIL (GEN)
