PWSID,Water System1,Population,Project MHI2,Project Unemp,Project Pop Trend,Adjustment,MHI Percent,OBC Percent,AC Score,2019 Score,Difference
NJ0233001,MAHWAH WATER DEPARTMENT,26777,120645,0.0295,-0.0192,-1,124.21,5.23,123.21,125.65,-2.44
NJ0233005,BOGERTS RANCH ESTATES,225,120618,0.033,-0.0326,-1,124.19,10.46,123.19,125.62,-2.43
NJ0236001,VEOLIA WATER NEW JERSEY MONTVALE PD95,654,175179,0.028,0.046,-1,180.36,7.36,179.36,172.1,7.26
NJ0238001,VEOLIA WATER NEW JERSEY HACKENSACK,792713,111794,0.0344,0.0392,-1,115.1,0.36,114.1,108.87,5.23
NJ0239001,PVWC-NORTH ARLINGTON,15392,96881,0.044,0.0594,-1,99.75,10.14,98.75,99.15,-0.4
NJ0242001,OAKLAND WATER DEPT,12754,162848,0.034,-0.0176,-1,167.67,6.45,166.67,148.18,18.49
NJ0247001,BORO OF PARK RIDGE,16466,164250,0.0312,0.0389,-1,169.11,1.42,168.11,161.78,6.33
NJ0248001,RAMSEY WATER DEPT,15207,160903,0.0295,-0.002,-1,165.66,2.57,164.66,173.48,-8.82
NJ0251001,RIDGEWOOD WATER,61700,198402,0.0283,0.0093,-1,204.27,1.56,203.27,203.79,-0.52
NJ0257001,SADDLE BROOK WATER DEPT,13155,123238,0.043,0.0374,-2,126.88,14.47,124.88,125.26,-0.38
NJ0258001,SADDLE RIVER WATER UTILITY,600,228750,0.035,0.0423,-1,235.52,5.27,234.52,250.99,-16.47
NJ0264001,WALDWICK WATER DEPT,10208,150970,0.0325,0.0269,-1,155.44,1.63,154.44,146.53,7.91
NJ0265001,WALLINGTON WATER DEPT,11583,79270,0.044,0.0277,-2,81.62,24.86,79.62,80.76,-1.14
NJ0301001,BUTTONWOOD MOBILE HOME PARK,55,92500,0.063,-0.0534,-2,95.24,24.08,93.24,90.57,2.67
NJ0303001,BORDENTOWN WATER DEPARTMENT,15821,104409,0.0333,0.0274,-1,107.5,5.11,106.5,104.3,2.2
NJ0305001,BURLINGTON CITY WATER DEPT,9835,69351,0.047,0.0105,-2,71.4,28.38,69.4,66.68,2.72
NJ0306001,BURLINGTON TWP W DEPT,22594,98097,0.034,0.0675,0,101,18.16,101,105.04,-4.04
NJ0311001,FENIMORE TRAILER PARK,88,102632,0.029,0.0405,-1,105.67,12.08,104.67,113.12,-8.45
NJ0311002,FENIMORE WOODS MHP,40,102632,0.029,0.0405,-1,105.67,12.08,104.67,113.12,-8.45
NJ0313001,EVESHAM MUA,45538,111893,0.028,0.0555,0,115.2,10.01,115.2,117.15,-1.95
NJ0314001,FIELDSBORO WATER DEPARTMENT,650,82333,0.04,-0.0019,-2,84.77,18.76,82.77,89.02,-6.25
NJ0315001,FLORENCE TWP W DEPT,11214,102435,0.033,0.0204,-1,105.47,20.5,104.47,99.59,4.88
NJ0318002,NJ AMERICAN WATER - HOMESTEAD,2420,106853,0.033,0.0387,-1,110.01,5.63,109.01,108.38,0.63
NJ0319001,MAPLE SHADE WATER DEPARTMENT,19400,71748,0.037,0.0468,-1,73.87,28.16,72.87,70.95,1.92
NJ0320001,MEDFORD TWP DEPT OF MUNI,17272,154446,0.028,0.0612,0,159.02,6.65,159.02,146.02,13
NJ0320002,ESTAUGH CORP T/A MEDFORD LEAS,450,154446,0.028,0.0612,0,159.02,6.65,159.02,146.02,13
NJ0322001,MOORESTOWN WATER DEPT,20700,164796,0.025,0.0386,-1,169.67,10.02,168.67,172.69,-4.02
NJ0323001,NJ AMERICAN WATER - MOUNT HOLLY,47427,105966,0.0353,0.0338,-1,109.1,2.22,108.1,107.55,0.55
NJ0324001,MT LAUREL TWP MUA,41743,111272,0.032,0.0972,0,114.56,11.71,114.56,110.25,4.31
NJ0326001,AQUA NJ - CALIFORNIA VILLAGE,300,81427,0.041,0.0367,-2,83.84,25.82,81.84,78.16,3.68
NJ0326003,HANOVER EAST APARTMENTS,96,81427,0.041,0.0367,-2,83.84,25.82,81.84,78.16,3.68
NJ0326004,AQUA NJ - HANOVER MOBILE VILLAGE,285,81427,0.041,0.0367,-2,83.84,25.82,81.84,78.16,3.68
NJ0326005,CEDAR GROVE APARTMENTS,96,81427,0.041,0.0367,-2,83.84,25.82,81.84,78.16,3.68
NJ0326007,SOUTHS MOBILE HOME PARK,110,81427,0.041,0.0367,-2,83.84,25.82,81.84,78.16,3.68
NJ0326008,AQUA NJ INC - SPARTAN VILLAGE,594,81427,0.041,0.0367,-2,83.84,25.82,81.84,78.16,3.68
NJ0326009,WAGON WHEEL ESTATES,86,81427,0.041,0.0367,-2,83.84,25.82,81.84,78.16,3.68
NJ0326013,MILLSTREAM APTS,88,81427,0.041,0.0367,-2,83.84,25.82,81.84,78.16,3.68
NJ0326014,BLUEBERRY ESTATES,75,81427,0.041,0.0367,-2,83.84,25.82,81.84,78.16,3.68
NJ0327001,NJ AMERICAN WATER - WESTERN DIVISION,264586,98465,0.0381,0.0354,-1,101.38,0.57,100.38,98.68,1.7
NJ0328001,PEMBERTON BOROUGH WATER,1610,83419,0.0435,-0.0226,-2,85.89,11.76,83.89,76.28,7.61
NJ0329001,PEMBERTON TOWNSHIP - NEW LISBON SYSTEM,500,76516,0.051,-0.0345,-2,78.78,24.38,76.78,74.6,2.18
NJ0329002,HILLTOP MOBILE VILLAGE,200,76516,0.051,-0.0345,-2,78.78,24.38,76.78,74.6,2.18
NJ0329003,PEMBERTON TOWNSHIP WATER - LAKE VALLEY,3500,76516,0.051,-0.0345,-2,78.78,24.38,76.78,74.6,2.18
NJ0329004,PEMBERTON TWP DEPT MAIN,12378,76516,0.051,-0.0345,-2,78.78,24.38,76.78,74.6,2.18
NJ0329005,PINEVIEW TERRACE INCORPORATED,300,76516,0.051,-0.0345,-2,78.78,24.38,76.78,74.6,2.18
NJ0329006,NJ AMERICAN WATER - SUNBURY,888,76516,0.051,-0.0345,-2,78.78,24.38,76.78,74.6,2.18
NJ0329008,PINEFIELD APARTMENTS,120,76516,0.051,-0.0345,-2,78.78,24.38,76.78,74.6,2.18
NJ0329009,PEMBERTON TWP WATER DEPT - PEMBERTON HEIGHTS,650,76516,0.051,-0.0345,-2,78.78,24.38,76.78,74.6,2.18
NJ0332001,FAWN LAKE VILLAGE,300,118930,0.031,-0.0081,-1,122.45,8.17,121.45,138.07,-16.62
NJ0332002,OAKVIEW LEISURE VILLAGE,250,118930,0.031,-0.0081,-1,122.45,8.17,121.45,138.07,-16.62
NJ0333001,PINELANDS WATER CO,4926,82786,0.043,-0.005,-2,85.24,12.85,83.24,72.62,10.62
NJ0333002,MOBILE ESTATES OF SOUTHA,700,82786,0.043,-0.005,-2,85.24,12.85,83.24,72.62,10.62
NJ0333003,RICHARDS MOBILE HOME COURT,100,82786,0.043,-0.005,-2,85.24,12.85,83.24,72.62,10.62
NJ0333004,NJ AMERICAN WATER -VINCENTOWN,598,82786,0.043,-0.005,-2,85.24,12.85,83.24,72.62,10.62
NJ0335001,ALLENWOOD ESTATES LLC,135,104946,0.036,-0.02,-1,108.05,12.02,107.05,119.95,-12.9
NJ0338001,WILLINGBORO MUA,35000,90934,0.0373,0.0517,0,93.62,6.74,93.62,91.91,1.71
NJ0340001,WRIGHTSTOWN MUA,748,53125,0.038,-0.106,-1,54.7,52.68,53.7,53.94,-0.24
NJ0340002,MAPLEWOOD APARTMENTS,55,53125,0.038,-0.106,-1,54.7,52.68,53.7,53.94,-0.24
NJ0404001,BELLMAWR WATER DEPT,9522,71935,0.044,0.0107,-2,74.06,22,72.06,67.97,4.09
NJ0405001,BERLIN WATER DEPARTMENT,13001,93883,0.041,0.0263,-2,96.66,2.34,94.66,97.73,-3.07
NJ0407001,BROOKLAWN WATER DEPARTMENT,2300,58288,0.051,-0.0628,-2,60.01,38.24,58.01,76.36,-18.35
NJ0408001,CITY OF CAMDEN,46585,36258,0.076,-0.0745,-2,37.33,60.19,35.33,29.69,5.64
NJ0410001,TOWN & COUNTRY MHP,200,85104,0.055,-0.0554,-2,87.62,24.28,85.62,63.17,22.45
NJ0410002,BNAI BRITH CHESILHURST HOUSE,49,85104,0.055,-0.0554,-2,87.62,24.28,85.62,63.17,22.45
NJ0411001,CLEMENTON WATER DEPARTMENT,5000,62921,0.0485,0.1131,-1,64.78,5.12,63.78,60.51,3.27
NJ0412001,COLLINGSWOOD WATER DEPAR,24500,80178,0.0353,0.0184,-1,82.55,7.88,81.55,82.76,-1.21
NJ0414001,GLOUCESTER CITY WATER DEPARTMENT,12460,71756,0.05,0.0068,-2,73.88,40.95,71.88,67.67,4.21
NJ0415002,AQUA NJ - BLACKWOOD,44396,95084,0.04,0.0259,-2,97.9,18.49,95.9,91.91,3.99
NJ0416001,HADDON TWP WATER DEPARTMENT,11938,117530,0.0263,0.0538,0,121.01,4.54,121.01,111.98,9.03
NJ0424001,MERCHANTVILLE PENNSAUKEN,47144,84687,0.0475,0.0165,-2,87.19,6.78,85.19,84.61,0.58
NJ0428002,PINE HILL BOROUGH MUA,10233,69176,0.053,0.0372,-2,71.22,28.89,69.22,64.76,4.46
NJ0435003,WATERFORD TOWNSHIP WATER DEPT.,1184,99799,0.044,-0.0263,-2,102.75,20.13,100.75,122.31,-21.56
NJ0435324,ONYX BEHAVIORAL HEALTH CARE,215,99799,0.044,-0.0263,-2,102.75,20.13,100.75,122.31,-21.56
NJ0436002,ELMTOWNE VILLAGE ASSOC SYS I,100,87179,0.049,0.0104,-2,89.76,25.39,87.76,90.02,-2.26
NJ0436007,WINSLOW TWP DMU,39174,87179,0.049,0.0104,-2,89.76,25.39,87.76,90.02,-2.26
NJ0436008,WINSLOW TWP DMU,367,87179,0.049,0.0104,-2,89.76,25.39,87.76,90.02,-2.26
NJ0436009,ELMTOWNE VILLAGE ASSOC. SYS II,100,87179,0.049,0.0104,-2,89.76,25.39,87.76,90.02,-2.26
NJ0436010,WINSLOW COURT HOMES INC,90,87179,0.049,0.0104,-2,89.76,25.39,87.76,90.02,-2.26
NJ0501001,AVALON WATER AND SEWERAGE UTILITIES,39839,153295,0.052,-0.0745,-2,157.83,8.03,155.83,110.1,45.73
NJ0502001,CAPE MAY WATER & SEWER UTILITY,35000,69946,0.0698,-0.0485,-2,72.02,8.91,70.02,63.42,6.6
NJ0503001,CAPE MAY POINT BORO WATER DEPARTMENT,4000,82679,0.061,0.0488,-1,85.13,23.23,84.13,71.32,12.81
NJ0504306,AUTUMN LAKE HEALTHCARE AT OCEAN VIEW,120,110300,0.048,-0.0219,-2,113.56,11.32,111.56,88.18,23.38
NJ0505002,LOWER TWP MUA,10315,74944,0.071,-0.0178,-2,77.16,25.15,75.16,73.36,1.8
NJ0505003,CAPE MAY MOBILE ESTATES,420,74944,0.071,-0.0178,-2,77.16,25.15,75.16,73.36,1.8
NJ0506001,DELSEA WOODS COMMUNITY LLC,95,79990,0.08,0.0874,-1,82.36,24.69,81.36,74.22,7.14
NJ0506004,EDGEWOOD VILLAGE M H PARK,300,79990,0.08,0.0874,-1,82.36,24.69,81.36,74.22,7.14
NJ0506007,GRANDE WOODS SOUTH MOBILE H P,650,79990,0.08,0.0874,-1,82.36,24.69,81.36,74.22,7.14
NJ0506008,MIDDLE TWP WATER DISTRICT 1,685,79990,0.08,0.0874,-1,82.36,24.69,81.36,74.22,7.14
NJ0506009,MIDDLE TWP WATER DISTRICT #2,731,79990,0.08,0.0874,-1,82.36,24.69,81.36,74.22,7.14
NJ0506010,NJ AMERICAN WATER - CAPE MAY COURT HOUSE,5625,79990,0.08,0.0874,-1,82.36,24.69,81.36,74.22,7.14
NJ0506012,PRESIDENTIAL COURTS MOBILE H P,49,79990,0.08,0.0874,-1,82.36,24.69,81.36,74.22,7.14
NJ0506013,A AND J MOBILE HOME PARK,86,79990,0.08,0.0874,-1,82.36,24.69,81.36,74.22,7.14
NJ0506015,GRANDE WOODS NORTH MHP,200,79990,0.08,0.0874,-1,82.36,24.69,81.36,74.22,7.14
NJ0506321,CEDAR SPRINGS MHP WELL #,90,79990,0.08,0.0874,-1,82.36,24.69,81.36,74.22,7.14
NJ0508001,NJ AMERICAN WATER - OCEAN CITY,127000,98576,0.042,-0.0215,-2,101.49,17.89,99.49,93.11,6.38
NJ0509001,SEA ISLE CITY WATER DEPARTMENT,15800,90703,0.042,0.0085,-2,93.39,15.93,91.39,84.11,7.28
NJ0510001,STONE HARBOR WATER DEPT,30850,130000,0.033,-0.069,-1,133.85,11.16,132.85,114.58,18.27
NJ0511001,NJ AMERICAN WATER - STRATHMERE,699,106822,0.044,0.0341,-2,109.98,9.7,107.98,104.95,3.03
NJ0511003,SHORE ACRES MOBILE HOME,392,106822,0.044,0.0341,-2,109.98,9.7,107.98,104.95,3.03
NJ0512001,WEST CAPE MAY WATER DEPT,4600,87212,0.066,-0.002,-2,89.79,12.73,87.79,100.28,-12.49
NJ0514001,WILDWOOD CITY WATER DEPARTMENT,218472,50354,0.0465,-0.0269,-2,51.84,6.69,49.84,48.01,1.83
NJ0516001,BOROUGH OF WOODBINE,2650,41167,0.054,-0.1286,-2,42.39,52.05,40.39,44.47,-4.08
NJ0516003,"CAROL LYNN RESORTS, INC.",550,41167,0.054,-0.1286,-2,42.39,52.05,40.39,44.47,-4.08
NJ0601001,BRIDGETON CITY WATER DEPT,22770,44440,0.061,0.0459,-2,45.75,60.31,43.75,42.35,1.4
NJ0604001,FORTESCUE WATER COMPANY,771,60982,0.047,-0.1206,-2,62.79,22.4,60.79,59.38,1.41
NJ0605001,FAIRTON OAKS M H COMMUNITY,207,60278,0.064,-0.1935,-2,62.06,40.6,60.06,62.68,-2.62
NJ0605002,EVERGREEN ESTATES,450,60278,0.064,-0.1935,-2,62.06,40.6,60.06,62.68,-2.62
NJ0607001,HOPEWELL PLACE SENIOR APTS,100,90076,0.037,-0.0449,-1,92.74,19.08,91.74,92.15,-0.41
NJ0610001,MILLVILLE WATER DEPARTMENT,27500,65278,0.052,-0.0258,-2,67.21,15.67,65.21,66.2,-0.99
NJ0610002,COUNTRY MEADOWS ESTATES LLC,250,65279,0.053,-0.0446,-2,67.21,31.34,65.21,66.2,-0.99
NJ0612001,BAYSHORE MOBILE HOME PARK,81,99821,0.039,-0.0877,-2,102.77,16.72,100.77,73.85,26.92
NJ0613004,UPPER DEERFIELD TWP WATER DEPT,2463,74823,0.052,0.0242,-2,77.04,28.25,75.04,64.32,10.72
NJ0614003,VINELAND WATER & SEWER UTILITY,36250,63468,0.051,-0.0071,-2,65.35,34.78,63.35,61.91,1.44
NJ0614005,UNITED MOBILE HOMES OF VINELAND,1600,63468,0.051,-0.0071,-2,65.35,34.78,63.35,61.91,1.44
NJ0701001,BELLEVILLE WATER DEPT,35129,85812,0.044,0.0455,-2,88.35,21.71,86.35,81.48,4.87
NJ0702001,BLOOMFIELD WATER DEPARTMENT,47315,92233,0.04,0.1173,-1,94.96,19.5,93.96,90.54,3.42
NJ0703001,CALDWELL WATER DEPT,7822,117879,0.034,0.118,0,121.37,10.1,121.37,112.56,8.81
NJ0704001,CEDAR GROVE TWP WATER DEPT,12900,152083,0.033,0.0699,0,156.58,9.87,156.58,144.19,12.39
NJ0705001,EAST ORANGE WATER COMMISSION,75000,58659,0.061,0.0666,-1,60.39,36.78,59.39,55.39,4
NJ0706001,ESSEX FELLS WATER DEPT,2200,247000,0.026,-0.0032,-1,254.31,4.19,253.31,247.97,5.34
NJ0706002,ESSEX FELLS WATER HILLTOP SYSTEM,354,153236,0.029,0.067,0,157.77,8.53,157.77,149.23,8.54
NJ0707001,FAIRFIELD WATER DEPARTMENT,7400,110703,0.037,0.0385,-1,113.98,12.56,112.98,142.54,-29.56
NJ0708001,GLEN RIDGE WATER DEPT,7681,246429,0.024,0.0591,0,253.72,3.26,253.72,236.22,17.5
NJ0710001,LIVINGSTON TWP DIV OF WATER,27391,202619,0.027,0.0525,0,208.61,7.1,208.61,194.47,14.14
NJ0712001,NJ AMERICAN WATER - PASSAIC BASIN,217230,153022,0.0333,0.0291,-1,157.55,0.4,156.55,152.02,4.53
NJ0713001,MONTCLAIR WATER BUREAU,37669,158765,0.029,0.055,0,163.46,12.86,163.46,147.8,15.66
NJ0714001,NEWARK WATER DEPARTMENT,294274,47016,0.0538,0.0771,-1,48.41,8.15,47.41,40.87,6.54
NJ0715001,NORTH CALDWELL WATER DEP,6000,215000,0.027,0.0516,0,221.36,1.6,221.36,219.23,2.13
NJ0715002,NORTH CALDWELL - HILLTOP,208,215000,0.027,0.0516,0,221.36,1.6,221.36,219.23,2.13
NJ0716001,NUTLEY WATER DEPT,29500,111979,0.036,0.0407,-1,115.29,12.72,114.29,115.46,-1.17
NJ0717001,ORANGE WATER DEPT,30134,50607,0.058,0.1106,-1,52.1,42.59,51.1,49.4,1.7
NJ0718001,ROSELAND WATER DEPT,5300,135451,0.028,0.054,0,139.46,11.33,139.46,150.34,-10.88
NJ0719001,SOUTH ORANGE WATER DEPARTMENT,16964,174795,0.029,0.1259,0,179.97,10.52,179.97,162.1,17.87
NJ0720001,VERONA WATER DEPARTMENT,13641,152996,0.033,0.0563,0,157.52,2.87,157.52,148.97,8.55
NJ0721001,TWP OF WEST CALDWELL,10759,148804,0.0305,0.0305,-1,153.21,3.54,152.21,149.57,2.64
NJ0801001,BOROUGH OF CLAYTON,8179,91711,0.044,0.087,-1,94.42,19.49,93.42,80.98,12.44
NJ0802001,DEPTFORD TWP MUA,30561,90995,0.043,0.0566,-1,93.69,21.42,92.69,83.77,8.92
NJ0803001,EAST GREENWICH TWP WATER DEPT,9900,135266,0.032,0.2051,0,139.27,6.45,139.27,150.74,-11.47
NJ0804001,LAUX LAKEVIEW MOBILE H P INC,291,145431,0.038,0.0784,0,149.73,8.85,149.73,99.58,50.15
NJ0805001,IONA TRAILER PARK,72,94926,0.048,-0.01,-2,97.73,21.36,95.73,96.13,-0.4
NJ0805002,MALAGA MOBILE HOME PARK,100,94926,0.048,-0.01,-2,97.73,21.36,95.73,96.13,-0.4
NJ0805003,MALAGA VILLA APARTMENTS,100,94926,0.048,-0.01,-2,97.73,21.36,95.73,96.13,-0.4
NJ0805433,HOLLY GREEN CAMPGROUND,140,94926,0.048,-0.01,-2,97.73,21.36,95.73,96.13,-0.4
NJ0806001,GLASSBORO WATER DEPARTMENT,24244,78535,0.039,0.1654,-1,80.86,13.38,79.86,86.07,-6.21
NJ0807001,GREENWICH TWP W DEPT,4921,90400,0.0473,0.0864,-1,93.07,4.82,92.07,83.88,8.19
NJ0808001,NJ AMERICAN WATER - HARRISON,9193,173375,0.029,0.0972,0,178.51,8.51,178.51,169.53,8.98
NJ0809001,NJ AMERICAN WATER - BRIDGEPORT,855,109566,0.031,0.0053,-1,112.81,14.31,111.81,128.59,-16.78
NJ0809002,NJ AMERICAN WATER - LOGAN,6650,109728,0.028,0.1049,0,112.98,7.16,112.98,128.73,-15.75
NJ0810004,MANTUA TOWNSHIP MUA,12600,108958,0.035,0.013,-1,112.18,10.44,111.18,105.13,6.05
NJ0810005,MANOR WATER ASSOCIATIONS,75,108958,0.035,0.013,-1,112.18,10.44,111.18,105.13,6.05
NJ0811002,MONROE MUNICIPAL UTILITIES AUTHORITY,26179,98945,0.042,0.0325,-2,101.87,17.01,99.87,99.18,0.69
NJ0812001,NATIONAL PARK WATER DEPARTMENT,3144,83146,0.0425,0.0278,-2,85.61,14.54,83.61,75.16,8.45
NJ0813001,NEWFIELD WATER DEPARTMENT,1616,102190,0.048,0.04,-2,105.21,5.85,103.21,83.29,19.92
NJ0814001,PAULSBORO WATER DEPARTMENT,6097,58271,0.065,0.0356,-2,60,35.9,58,51.32,6.68
NJ0815001,PITMAN WATER DEPARTMENT,9545,91388,0.0367,0.0856,0,94.09,4.49,94.09,87.05,7.04
NJ0816001,HARRISONVILLE MOBILE HOME PARK,100,126667,0.031,0.0729,0,130.42,11.65,130.42,154.88,-24.46
NJ0817001,SWEDESBORO WATER DEPARTMENT,2824,97358,0.031,0.1272,0,100.24,15.69,100.24,100.17,0.07
NJ0818004,WASHINGTON TOWNSHIP MUA,48000,106640,0.034,0.0119,-1,109.8,13.48,108.8,112.08,-3.28
NJ0819001,WENONAH WATER DEPARTMENT,2357,127125,0.03,0.015,-1,130.89,1.54,129.89,144.43,-14.54
NJ0820001,WEST DEPTFORD TWP WATER DEPT,22000,84669,0.038,0.0423,-1,87.17,19.77,86.17,88.27,-2.1
NJ0821001,WESTVILLE WATER DEPARTMENT,6000,63000,0.051,0.012,-2,64.86,35.03,62.86,58.98,3.88
NJ0822001,WOODBURY CITY W DEPT,11489,76845,0.0368,0.0276,-1,79.12,4.2,78.12,64.85,13.27
NJ0823001,WOODBURY HEIGHTS W UTILITY,3008,112222,0.031,0.0247,-1,115.54,10.73,114.54,111.64,2.9
NJ0824001,AQUA NJ - WOOLWICH,6271,152695,0.025,0.2045,0,157.21,15.13,157.21,165.43,-8.22
NJ0901001,CITY OF BAYONNE,63000,80044,0.046,0.0821,-1,82.41,28.16,81.41,75.02,6.39
NJ0902001,EAST NEWARK W DEPT,2406,63594,0.039,-0.0117,-2,65.48,48.95,63.48,74.78,-11.3
NJ0904001,HARRISON WATER DEPARTMENT,14425,72760,0.0403,0.129,-1,74.91,11.23,73.91,81.64,-7.73
NJ0905001,HOBOKEN WATER UTILITY,52000,168137,0.021,0.1209,0,173.11,14.43,173.11,173.17,-0.06
NJ0906001,JERSEY CITY MUA,262000,91152,0.0332,0.0724,0,93.85,6.08,93.85,83,10.85
NJ0907001,KEARNY WATER DEPARTMENT,41664,81302,0.041,0.1994,-1,83.71,12.94,82.71,82.94,-0.23
NJ1004001,AQUA NJ INC - CALIFON,936,106875,0.033,-0.0539,-1,110.04,11.18,109.04,112.81,-3.77
NJ1005001,CLINTON W DEPT,12500,146055,0.0314,0.0249,-1,150.38,1.96,149.38,148.61,0.77
NJ1006300,TEEN CHALLENGE,40,156601,0.03,0.0041,-1,161.23,8.24,160.23,165.77,-5.54
NJ1006302,ROLLING HILLS CARE CENTER,97,156601,0.03,0.0041,-1,161.23,8.24,160.23,165.77,-5.54
NJ1007001,DELAWARE TOWNSHIP MUA,500,166863,0.026,0.0124,-1,171.8,4.15,170.8,137.36,33.44
NJ1007002,ROSEMONT WATER COMPANY,256,166863,0.026,0.0124,-1,171.8,4.15,170.8,137.36,33.44
NJ1009001,FLEMINGTON WATER DEPARTMENT,4581,88266,0.031,0.0664,0,90.88,10.19,90.88,76.19,14.69
NJ1011001,NJ AMERICAN WATER - FRENCHTOWN,1488,99018,0.029,0.0015,-1,101.95,17.58,100.95,85.35,15.6
NJ1012001,GLEN GARDNER W DEPT,1705,79000,0.027,-0.1377,-1,81.34,9.85,80.34,82.41,-2.07
NJ1013001,HAMPTON BOROUGH WATER DEPARTMENT,1401,74833,0.046,0.0663,-1,77.05,25.75,76.05,85.88,-9.83
NJ1014001,HIGH BRIDGE W DEPT,3300,106126,0.035,0.0018,-1,109.27,9.05,108.27,111.77,-3.5
