Rank,Project Sponsor2,Project Number,Project Name,Populatio,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Poin,Actual/ Anticipated Funding Status,BIL Eligibility
256,"Ocean Township, Ocean County",1520001-009,Pebble Beach Water Treatment Plant Replacement,8835,"$ 7,845,000",,"$ 9,664,000",160,0,0,0,0,0,0,0.15,160.15419,Beyond 2026,BIL (GEN)
255,Point Pleasant Borough,1524001-002,Water Treatment Plant Filter Replacement,18651,"$ 2,112,000","$ 1,589,180","$ 2,917,840",160,0,0,0,0,0,0,0.20,160.196,Beyond 2026,BIL (EC)
254,Hamilton Township Municipal Utilities Authority,0112001-004,HTMUA WELL #8 REHABILITATION,23176,"$ 1,352,650","$ 3,992,144","$ 1,655,830",160,0,0,0,0,0,0,0.22,160.21719,Beyond 2026,BIL (EC)
253,Manchester Township,1518005-005,"Wells 1, 2 ,3, 4 Treatment – ESA",9498,"$ 18,715,400","$ 340,000","$ 22,458,480",160,0,0,0,0,0,0,0.23,160.231,Beyond 2026,BIL (GEN)
250,Fair Lawn Borough,0217001-001,Fair Lawn Water Treatment Facility,34927,"$ 35,000,000","$ 74,250","$ 45,500,000",160,0,0,0,0,0,0,0.31,160.31,Beyond 2026,BIL (EC)
249,Aqua New Jersey Incorporate,1103001-004,AQUA Hamilton PFAS Treatment,39128,"$ 15,000,000","$ 2,236,400","$ 19,500,000",160,0,0,0,0,0,0,0.39,160.39128,Beyond 2026,BIL (GEN)
247,Camden City,0408001-022,Install potable wells/flr elevations at Morris Delair WTP,46585,"$ 100,000","$ 1,160,000","$ 1,260,000",15,80,15,0,0,0,0,0.47,160.46585,Beyond 2026,BIL (GEN)
245,Parsippany Troy Hills Township,1429001-003,"Hills of Troy Water Treatment Plant (Wells 9, 10 & 18 PFAS Treatm",56289,"$ 5,000,000","$ 500,000","$ 6,500,000",160,0,0,0,0,0,0,0.50,160.504,Beyond 2026,BIL (EC)
242,Jersey City Municipal Utilities Authority,0906001-029,Phase 6A Water Rehabilitation,265510,"$ 15,000,000",,"$ 18,800,000",75,0,15,5,5,0,0,2.62,162.62,Beyond 2026,BIL (GEN)
241,Passaic Valley Water Commission,1605002-020,Replacement of Prospect Park storage tank,347052,"$ 800,000","$ 560,000","$ 1,360,000",60,0,20,0,0,0,80,3.47,163.47052,Beyond 2026,BIL (GEN)
234,North Jersey District Water Supply Commission,1613001-019,Ramapo Pump Station Improvements,872153,"$ 12,000,000","$ 6,750,000","$ 18,750,000",60,50,20,0,0,0,30,8.72,168.72153,Beyond 2026,BIL (GEN)
233,Arthur Road Well Association,1912007-001,Connection of this system to Hopatcong Borough,60,"$ 200,000","$ 299,500","$ 499,500",170,0,0,0,0,0,0,0.00,170.0006,Beyond 2026,BIL (GEN)
227,South Orange Village,0719001-008,Well 17 Air Stripper,16198,"$ 332,500","$ 149,625","$ 482,125",160,0,0,5,0,0,0,0.17,170.16965,Beyond 2026,BIL (GEN)
224,Manchester Township,1518005-001,Various main replacements,26877,"$ 243,890","$ 56,585","$ 300,475",75,0,15,0,0,0,80,0.27,170.26877,Beyond 2026,BIL (GEN)
223,Montclair Township,0713001-012,Montclair Township - PFOAS and Perchlorate Treatment - Rand W,3800,"$ 500,000",,"$ 770,000",160,0,0,5,0,0,0,0.38,170.37669,Beyond 2026,BIL (EC)
222,Sayreville Borough,1219001-011,Water Treatment Plant Chemical Feed Upgrades,44243,"$ 2,000,000","$ 1,965,000","$ 2,600,000",160,0,0,0,5,0,0,0.44,170.43761,Beyond 2026,BIL (GEN)
218,"NJ American Water Company, Inc.",2004002-014,RMWTP LT2ESWWTR and Filter Rehabilitation,44464,"$ 31,209,707","$ 3,088,865","$ 37,983,523",100,50,20,0,0,0,0,3.15,173.15315,Beyond 2026,BIL (GEN)
215,Hampton Borough,1013001-002,Hampton Borough - Galvanized Service Line Replacement,1400,"$ 770,000","$ 6,970,301","$ 974,000",175,0,0,0,0,0,0,0.01,175.01401,Beyond 2026,BIL (GEN)
214,Swedesboro Borough,0817001-001,Lead Service Water Line Abatement,2000,"$ 12,010,390","$ 950,000","$ 16,128,238",175,0,0,0,0,0,0,0.03,175.02824,Beyond 2026,BIL (LSLR)
213,"Fayson Lake Water Company, Incorporated",1415001-002,FLWC 2023 Water Main Replacement,3010,"$ 1,401,800","$ 631,800","$ 1,682,160",175,0,0,0,0,0,0,0.03,175.0301,Beyond 2026,BIL (LSLR)
208,Keyport Borough,1322001-001,Lead Service Line Project,7204,"$ 10,000,000","$ 60,000","$ 12,000,000",175,0,0,0,0,0,0,0.08,175.075,Beyond 2026,BIL (LSLR)
207,Glen Ridge Borough,0708001-009,GR-Lead Service Lines Replacement (Main to Dwelling) - Phase 1,7527,"$ 2,000,000","$ 950,000","$ 2,960,000",175,0,0,0,0,0,0,0.08,175.07681,Beyond 2026,BIL (LSLR)
203,Boonton Town,1401001-005,Boonton Town - LSLR and Water Main Replacements,6600,"$ 2,000,000","$ 234,000","$ 2,600,000",175,0,0,0,0,0,0,0.10,175.09532,Beyond 2026,BIL (LSLR)
198,Passaic Valley Water Commission,0239001-002,Lead Service Line Replacement in North Arlington System,15741,"$ 8,500,000","$ 3,800,000","$ 10,200,000",175,0,0,0,0,0,0,0.15,175.15392,Beyond 2026,BIL (LSLR)
190,Orange City,0717001-014,Orange Twp | Relocation of the existing transmission main under,30731,"$ 1,225,000",,"$ 1,843,000",75,80,0,5,5,0,0,0.30,175.30135,Beyond 2026,BIL (GEN)
187,Aqua New Jersey Incorporate,1103001-007,Aqua NJ Hamilton Lead Service Line Replacement,88464,"$ 10,000,000","$ 640,000","$ 12,780,000",175,0,0,0,0,0,0,0.39,175.39128,Beyond 2026,BIL (LSLR)
182,Bayonne City,0901001-008,Lead Service Line Replacement Phase 2,70300,"$ 58,988,650","$ 160,000","$ 71,056,980",175,0,0,0,0,0,0,0.63,175.63,Beyond 2026,BIL (LSLR)
180,"NJ American Water Company, Inc.",0712001-017,NJ American Water Lead Service Line Replacement Program PWSI,61176,"$ 50,685,200","$ 234,750","$ 60,822,240",175,0,0,0,0,0,0,2.17,177.1723,Beyond 2026,BIL (LSLR)
177,Newark City,0714001-010,"Replacement of 38,234 old water meters in the distribution syste",285000,"$ 19,000,000","$ 7,540,000","$ 26,540,000",25,50,20,0,0,0,80,2.85,177.85,Beyond 2026,BIL (GEN)
176,Passaic Valley Water Commission,1605002-015,Replace approximately 200 large antiquated valves,347052,"$ 2,000,000","$ 1,140,000","$ 3,140,000",75,0,20,0,0,0,80,3.47,178.47052,Beyond 2026,BIL (GEN)
174,Tuckerton Borough,1532002-004,Rehabilitation of three green sand filter tanks and one backwash t,3365,"$ 109,000","$ 49,050","$ 158,050",100,35,15,0,0,0,30,0.03,180.03365,Beyond 2026,BIL (GEN)
172,"NJ American Water Company, Inc.",2004002-004,NJ American Water Lead Service Line Replacement Program PWSI,13967,"$ 68,865,390","$ 6,720,000","$ 82,638,468",175,0,0,0,0,0,0,6.15,181.1543,Beyond 2026,BIL (LSLR)
170,North Jersey District Water Supply Commission,1613001-006,Construct a 48 inch by-pass main and rehabilitate the single 70+ y,872153,"$ 15,000,000","$ 6,260,000","$ 21,260,000",75,50,20,0,0,0,30,8.72,183.72153,Beyond 2026,BIL (EC)
169,South Orange Village,0719001-013,Lead Line Identification and Replacement,22865,"$ 7,560,000","$ 200,000","$ 9,072,000",175,0,0,5,0,0,0,0.17,185.16965,Beyond 2026,BIL (LSLR)
168,Passaic Valley Water Commission,0231001-002,Lead Service Line Replacement in Lodi System,24551,"$ 6,000,000","$ 7,000,000","$ 7,200,000",175,0,0,0,5,0,0,0.24,185.24136,Beyond 2026,BIL (LSLR)
167,Collingswood Borough,0412001-006,Collingswood Lead Line Removal,16000,"$ 4,320,000","$ 400,000","$ 5,184,000",175,0,0,5,0,0,0,0.25,185.245,Beyond 2026,BIL (LSLR)
166,Montclair Township,0713001-013,Montclair Township - Lead & Galvanized Service Line Replacemen,2000,"$ 4,000,000","$ 1,372,677","$ 4,960,000",175,0,0,5,0,0,0,0.38,185.37669,Beyond 2026,BIL (LSLR)
165,Bloomfield Township,0702001-001,Cleaning and Lining of water mains,47000,"$ 1,946,500","$ 639,300","$ 2,585,800",175,0,0,5,0,0,0,0.47,185.47314,Beyond 2026,BIL (LSLR)
164,Old Bridge Municipal Utilities Authority,1209002-014,Perrine Road Carbon Absorber Facility,65375,"$ 1,200,000","$ 240,000","$ 1,440,000",160,0,15,0,0,0,0,0.67,185.67215,Beyond 2026,BIL (LSLR)
161,Seaside Heights Borough,1526001-001,Seaside Heights - Water Treatment Plant Improvements,7667,"$ 1,000,000","$ 250,000","$ 1,275,000",160,0,15,0,0,0,0,0.08,190.07667,Beyond 2026,BIL (GEN)
160,Camden City,0408001-021,New Auto Meter Reading Equip for entire City,77344,"$ 100,000","$ 3,108,500","$ 3,208,500",25,50,20,0,0,15,80,0.77,190.77344,Beyond 2026,BIL (GEN)
157,North Jersey District Water Supply Commission,1613001-032,Rehabilitation of Treatment Facility,872153,"$ 2,465,520","$ 1,088,190","$ 3,553,710",160,0,20,0,0,0,0,0.00,195,Beyond 2026,BIL (GEN)
156,North Jersey District Water Supply Commission,1613001-031,Purchase and Install New Dewatering System,150,"$ 2,469,700","$ 1,215,800","$ 3,685,500",160,0,20,0,0,0,0,0.00,195.0015,Beyond 2026,BIL (GEN)
155,Egg Harbor City,0107001-002,Replacement of a water treatment plant,4700,"$ 8,500,000","$ 2,768,740","$ 11,268,740",100,0,15,0,0,0,80,0.05,195.047,Beyond 2026,BIL (GEN)
154,Salem City,1712001-003,Upgrades to WTP to address taste and odor problems,5857,"$ 4,500,000","$ 2,240,000","$ 6,740,000",100,0,15,0,0,0,80,0.06,195.05857,Beyond 2026,BIL (GEN)
151,Rahway City,2013001-003,Rahway Lead Service Line Replacement Project,29556,"$ 1,000,000","$ 4,885,050","$ 1,300,000",175,0,0,5,5,0,0,0.27,195.273,Beyond 2026,BIL (LSLR)
148,East Orange City,0705001-012,WORPS SCADA Instrumentation/Controls Planning and Design,65078,"$ 3,000,000","$ 2,070,000","$ 5,070,000",60,50,0,5,0,0,80,0.65,195.65078,Beyond 2026,BIL (GEN)
146,East Orange Water Commission,0705001-009,Installation of solar power at water treatment plant,80468,"$ 1,000,000","$ 700,000","$ 1,700,000",45,50,0,5,0,15,80,0.80,195.80468,Beyond 2026,BIL (GEN)
141,Washington Township Municipal Utilities Authority,1438004-005,WTMUA – SM-10 and SM-17 PFAS Treatment Improvements,4900,"$ 3,150,000","$ 1,350,000","$ 3,955,000",200,0,0,0,0,0,0,0.05,200.04866,Beyond 2026,BIL (GEN)
140,Boonton Town,1401001-004,Wellfield PFAS Treatment Improvements (Boonton Town),9900,"$ 4,350,000","$ 475,000","$ 5,476,700",200,0,0,0,0,0,0,0.10,200.09532,Beyond 2026,BIL (GEN)
136,Aqua New Jersey Incorporate,1103001-008,AQUA-NJ:  Hamilton System - PFAS Treatment - Well 11C,39128,"$ 3,500,000","$ 2,000,000","$ 4,350,000",200,0,0,0,0,0,0,0.39,200.39128,Beyond 2026,BIL (EC)
132,Newark City,0714001-011,Rehabilitation of the basculate gate at the Charlotteburgh Reserv,285000,"$ 2,000,000","$ 770,000","$ 2,770,000",45,80,15,5,0,0,0,2.94,202.94273,Beyond 2026,BIL (GEN)
131,Passaic Valley Water Commission,1605002-018,Upgrade residual treatment process to include belt thickners,347052,"$ 5,000,000","$ 2,460,000","$ 7,460,000",100,0,20,0,0,0,80,3.47,203.47052,Beyond 2026,BIL (GEN)
130,Buena Vista Township,0660004-001,Water Main extension due to private well contamination,184,$                        -,$                      -,$                           -,125,0,0,0,0,0,80,0.00,205.00184,Beyond 2026,BIL (EC)
125,Aqua New Jersey Incorporate,2119001-008,"Replacement of 7,080 LF of undersized water mains in Philipsburg",33560,"$ 1,062,000","$ 727,280","$ 1,789,280",75,50,0,0,0,0,80,0.34,205.3356,Beyond 2026,BIL (GEN)
124,Passaic Valley Water Commission,1605002-030,Garret Heights Water Main Replacement,204471,"$ 8,500,000","$ 769,600","$ 10,400,000",75,80,0,0,0,0,0,3.10,208.10483,Beyond 2026,BIL (GEN)
123,North Jersey District Water Supply Commission,1613001-012,"Improvement of chemical feed equipment, pressure gauges, mete",872153,"$ 500,000","$ 475,000","$ 975,000",100,50,20,0,0,0,30,8.72,208.72153,Beyond 2026,BIL (GEN)
120,Atlantic City Municipal Utilities Authority,0102001-005,Installation of solar system at offices and at WTP,47011,"$ 4,000,000","$ 2,020,000","$ 6,020,000",45,50,20,0,0,15,80,0.47,210.47011,Beyond 2026,BIL (GEN)
119,Camden City,0408001-006,Rehabilitate the North Camden pump station,77344,"$ 500,000","$ 350,000","$ 850,000",60,50,20,0,0,0,80,0.77,210.77344,Beyond 2026,BIL (GEN)
118,East Orange Water Commission,0705001-002,Cleaning & Lining of mains,80468,"$ 2,164,500","$ 1,212,380","$ 3,376,880",75,50,0,5,0,0,80,0.80,210.80468,Beyond 2026,BIL (GEN)
117,Atlantic City Municipal Utilities Authority,0102001-006,1 MG Storage Tank Sand Blasting and painting,94225,"$ 1,345,500","$ 1,042,626","$ 2,388,126",60,50,20,0,0,0,80,0.94,210.94225,Beyond 2026,BIL (GEN)
116,Newark City,0714001-007,Construction of a hydro-electric facility at the pre-treatment plant,285000,"$ 6,000,000","$ 3,750,000","$ 9,750,000",45,50,20,0,0,15,80,2.85,212.85,Beyond 2026,BIL (GEN)
115,Netcong Borough,1428001-010,Borough of Netcong - Lead (Galvanized) Service Line Replacement,4500,"$ 2,250,000","$ 437,500","$ 2,820,000",175,0,15,5,0,0,0,0.03,215.03342,Beyond 2026,BIL (LSLR)
113,Bridgeton City,0601001-005,"Replacement of 2,190 LF of 6 inch with 8 inch main",22770,"$ 1,723,000","$ 724,600","$ 2,447,600",75,50,15,0,0,0,80,0.23,220.2277,Beyond 2026,BIL (GEN)
111,Passaic Valley Water Commission,1605002-032,Bunker Hill Water Main Replacement Project,104301,"$ 30,000,000",,"$ 39,000,000",75,80,15,0,0,0,0,3.10,223.10483,Beyond 2026,BIL (GEN)
110,Branchville Borough,1903001-001,PFOS Treatment,75,"$ 1,000,000","$ 1,439,073","$ 1,200,000",200,0,15,0,0,0,0,0.02,225.015,Beyond 2026,BIL (GEN)
108,Camden City,0408001-004,Replacement of water mains on South Merrimac Road and New H,77344,"$ 4,100,000","$ 2,064,000","$ 6,164,000",75,50,20,0,0,0,80,0.77,225.77344,Beyond 2026,BIL (GEN)
107,Atlantic City Municipal Utilities Authority,0102001-007,Water Main Replacement Program,94225,"$ 1,500,000","$ 300,000","$ 1,800,000",75,80,20,0,0,0,0,0.94,225.94225,Beyond 2026,BIL (GEN)
105,Newark City,0714001-002,Rehab of 42-inch Steel water main including cleaning & lining,285000,"$ 3,000,000","$ 2,070,000","$ 5,070,000",75,50,20,0,0,0,80,2.85,227.85,Beyond 2026,BIL (GEN)
103,Newark City,0714001-008,"Cleaning and lining of water mains, upgrading 4 inch mains to 6 &",285000,"$ 24,800,000","$ 7,178,000","$ 31,978,000",75,80,15,5,0,0,0,2.94,232.94273,Beyond 2026,BIL (GEN)
97,Jersey City Municipal Utilities Authority,0906001-034,Boonton Water Treatment Plant Electric Substation/ Distribution,262000,"$ 16,200,000","$ 1,700,000","$ 19,440,000",160,0,15,5,5,0,0,2.62,247.62,Beyond 2026,BIL (GEN)
95,Buttonwood Mobile Home Park,0301001-001,Buttonwood system,77,"$ 225,000","$ 116,250","$ 341,250",250,0,0,0,0,0,0,0.00,250.00055,Beyond 2026,BIL (GEN)
91,Bethlehem Township BOE,1002311-001,Thomas B. Conley Elementary School Treatment System PFAS,3745,"$ 775,000","$ 12,000,000","$ 1,000,000",250,0,0,0,0,0,0,0.00,250.00339,Beyond 2026,BIL (EC)
86,Clinton Town,1005001-023,"Town of Clinton - Wells 3A, 16 - PFAS Treatment Improvements",12000,"$ 7,000,000","$ 572,000","$ 8,625,000",250,0,0,0,0,0,0,0.13,250.125,Beyond 2026,BIL (EC)
85,Oakland Borough,0242001-001,Soons Wellfield PFAS Treatment,12653,"$ 1,200,000","$ 265,000","$ 1,640,000",250,0,0,0,0,0,0,0.13,250.12754,Beyond 2026,BIL (GEN)
81,Sparta Township,1918004-003,Installation of uranium treatment equipment at two of the existin,15726,"$ 350,000","($ 14,000)","$ 336,000",250,0,0,0,0,0,0,0.16,250.15726,Beyond 2026,BIL (EC)
79,Ramsey Borough,0248001-009,Arsenic treatment system at the Spring Street Treatment Facility,16350,"$ 422,903","$ 373,372","$ 796,275",250,0,0,0,0,0,0,0.16,250.1635,Beyond 2026,BIL (EC)
77,Burlington Township,0306001-001,Beverly Road Water Treatment Plant Upgrades for PFA's Treatme,23983,"$ 1,401,800","$ 1,948,069","$ 1,912,160",250,0,0,0,0,0,0,0.23,250.22594,Beyond 2026,BIL (GEN)
69,Middlesex Water Company,1225001-030,PFAS Treatment at CJO Plant,121639,"$ 170,000,000","$ 752,011","$ 206,000,000",250,0,0,0,0,0,0,2.33,252.33376,Beyond 2026,BIL (GEN)
68,Newark City,0714001-001,Construction of an ozonation facility,285000,"$ 10,000,000","$ 4,660,000","$ 14,660,000",100,50,20,0,0,0,80,2.85,252.85,Beyond 2026,BIL (GEN)
61,Sayreville Borough,1219001-009,Lead Service Line Investigation and Replacement,44243,"$ 1,650,000","$ 797,000","$ 2,044,000",250,0,0,0,5,0,0,0.44,260.43761,Beyond 2026,BIL (LSLR)
60,ADTI Housing Corporation,2103002-001,Chlorination system,83,"$ 243,700","$ 109,665","$ 353,365",250,0,0,0,0,0,15,0.00,265.00083,Beyond 2026,BIL (EC)
57,Upper Deerfield Township,0613004-001,Radium Treatment Removal for Love Lane WTP (wells # 3 & 4),4500,"$ 2,200,000","$ 1,228,000","$ 3,428,000",250,0,0,0,0,0,15,0.05,265.045,Beyond 2026,BIL (GEN)
55,Orange City,0717001-018,Lead Pipe Replacement Program,33787,"$ 4,300,000","$ 3,520,000","$ 5,160,000",175,80,0,5,0,0,0,0.30,265.30134,Beyond 2026,BIL (LSLR)
54,Belleville Township,0701001-003,"Replacement of 7,000 lead service lines",35928,"$ 14,000,000","$ 5,940,000","$ 19,940,000",250,0,0,0,0,0,15,0.36,265.35928,Beyond 2026,BIL (LSLR)
53,Winslow Township,0436007-006,Add radium removal treatment at existing wells 1 and 8 to correct,39328,"$ 4,953,080","$ 2,439,355","$ 7,392,435",250,0,15,0,0,0,0,0.39,265.39328,Beyond 2026,BIL (GEN)
49,North Jersey District Water Supply Commission,1613001-013,Construction of a new 50 MGD Bellville Pump Station,872153,"$ 25,000,000","$ 11,690,000","$ 36,690,000",160,50,20,0,0,0,30,8.72,268.72153,Beyond 2026,BIL (GEN)
48,Flemington Borough,1009001-011,PFOS TREATMENT,5006,"$ 4,500,000",,"$ 5,800,000",160,80,15,0,0,0,0,0.05,270.04581,Beyond 2026,BIL (EC)
44,Passaic Valley Water Commission,1605002-026,PVWC Lead Service Line Replacement,147000,"$ 1,400,000","$ 578,000","$ 1,978,000",175,80,20,0,0,0,0,3.10,278.10483,Beyond 2026,BIL (LSLR)
37,East Orange Water Commission,0705001-015,PFAS Treatment,50000,"$ 29,083,000","$ 2,000,000","$ 34,899,600",200,80,0,5,0,0,0,0.75,290.75,Beyond 2026,BIL (EC)
34,Wildwood City,0514001-004,Wildwood Boardwalk water main replacement,45500,"$ 1,820,080","$ 712,425","$ 2,532,505",175,80,15,0,0,0,0,0.45,295.45499,Beyond 2026,BIL (GEN)
33,North Shore Water Association,1904004-004,Water System Refurb,105,"$ 100,000","$ 145,400","$ 245,400",300,0,0,0,0,0,0,0.00,300.00105,Beyond 2026,BIL (GEN)
31,Aqua New Jersey Incorporate,1103001-005,Addition of radium treatment at Well 9 to resolve MCL exceedanc,49000,"$ 583,100","$ 418,226","$ 1,001,326",250,50,0,0,0,0,0,0.49,300.49,Beyond 2026,BIL (EC)
28,Atlantic City Municipal Utilities Authority,0102001-012,Water Treatment Plant Facility Infrastructure  Replacement & Imp,108667,"$ 104,760,000","$ 4,634,161","$ 125,712,000",160,80,15,0,0,0,0,1.09,306.08667,Beyond 2026,BIL (GEN)
23,North Shore Water Association,1904004-001,Existing Well Requires Replacement,105,"$ 360,000","$ 115,000","$ 475,000",300,0,20,0,0,0,0,0.00,320.00105,Beyond 2026,BIL (GEN)
15,Orange City,0717001-015,Orange Twp |PFAS in Well 7 Drinking Water System,32000,"$ 1,200,000","$ 200,000","$ 1,440,000",250,80,0,5,5,0,0,0.30,350.30133,Beyond 2026,BIL (EC)
12,Hopatcong Borough,1912001-009,Installation of 48-inch pipe at wells to increase chlorine contact ti,7900,"$ 750,000","$ 525,000","$ 1,275,000",350,0,15,0,0,0,0,0.08,365.079,Beyond 2026,BIL (EC)
2,Passaic Valley Water Commission,1605002-024,Installation of a 2.0 MG storage tank next to existing Verona stora,347052,"$ 2,970,000","$ 1,566,800","$ 4,536,800",500,0,20,0,0,0,80,3.47,603.47052,Beyond 2026,BIL (GEN)
1,Newark City,0714001-012,Construction of a cover for the Cedar Grove Reservoir,285000,"$ 50,000,000","$ 12,730,000","$ 62,730,000",500,50,20,0,0,0,80,2.85,652.85,Beyond 2026,BIL (GEN)
90,Essex Fells Borough,0706001-002,Interim PFAS-Runnymede Site-Wells 5 &1,21937,"$ 900,000","$ 20,000","$ 1,080,000",250,0,0,0,0,0,0,0.02,250.022,Beyond 2026,BIL (EC)
205,Aqua New Jersey Incorporate,1107002-001,Lead Service Line Replacements Lawrenceville,33472,"$ 1,000,000","$ 220,000","$ 1,278,124",175,0,0,0,0,0,0,0.09,175.08655,Beyond 2026,BIL (LSLR)
260,Boonton Town                                                                         1401001-003,1401001-003,Wellfield Treatment Plant Upgrades,9900,"$ 3,069,900",,"$ 3,928,380",160,0,0,0,0,0,0,0.10,160.09532,Funded,BIL (GEN)
195,Hawthorne Borough                                                                1604001-004,1604001-004,Hawthorne Lead Service Line Replacement Phase 3,19458,"$ 2,250,000",,"$ 2,760,000",175,0,0,0,0,0,0,0.19,175.19458,Funded,BIL (LSLR)
71,Ridgewood Village,0251001-001,Water Treatment Centralization for PFAS Removal,61220,"$ 62,433,333","$ 253,083","$ 77,551,982",250,0,0,0,0,0,0,0.62,250.617,Funded,BIL (EC)
237,Jersey City Municipal Utilities Authority                               0906001-024,0906001-024,Phase 2A Water,250000,"$ 9,700,000","$ 1,800,000","$ 11,640,000",75,0,20,5,5,0,0,2.62,167.62,Funded,BIL (GEN)
379,Brick Township Municipal Utilities Authority                       1506001-008,1506001-008,Undersized Water Main Replacement Cedar Park East and West,100000,"$ 4,616,240","$ 1,607,196","$ 6,223,436",75,0,20,0,0,0,15,0.87,110.86898,Funded,BIL (GEN)
844,Hardyston Municipal Utilities Authority,1911006-003,Asset Management Plan,1963,$                        -,"$ 100,000","$ 100,000",1,0,0,0,0,0,0,0.02,1.01963,Funded,BIL (GEN)
689,Verona Township,0720001-008,CLARIDGE PUMP PROJECT,0,"$ 1,500,000","$ 724,750","$ 1,800,000",50,0,0,0,0,0,0,0.14,50.13641,Funded,BIL (GEN)
231,Seaside Park Borough                                                              1527001-004,1527001-004,Well 10 Treatment Facility,1700,"$ 495,000","$ 99,000","$ 594,000",40,50,0,0,0,0,80,0.02,170.017,Funded,BIL (GEN)
209,Bayonne City                                                                            0901001-005,0901001-005,City of Bayonne Lead Service Line Replacement Project,71686,"$ 19,000,000","$ 105,000","$ 22,800,000",175,0,0,0,0,0,0,0.06,175.063,Funded,BIL (LSLR)
202,Margate City                                                                             0116001-003,0116001-003,Margate Lead Service Line Replacement Program,10000,"$ 44,744,150",,"$ 54,692,980",175,0,0,0,0,0,0,0.10,175.1,Funded,BIL (LSLR)
178,Newark City                                                                              0714001-018,0714001-018,Replacement of Water Distribution Mains,273000,"$ 3,000,000","$ 2,070,000","$ 5,070,000",75,0,20,0,0,0,80,2.73,177.73,Funded,BIL (GEN)
143,Lakeshore Company,1413001-001,Lakeshore Water - New Well Treatment,250,"$ 342,250","$ 1,800,000","$ 410,700",200,0,0,0,0,0,0,0.00,200.0027,Funded,BIL (GEN)
137,Pompton Lakes Municipal Utilities Authority,1609001-007,Well #3 Treatment,11435,"$ 3,805,600","$ 6,385,400","$ 5,142,832",200,0,0,0,0,0,0,0.11,200.11435,Funded,BIL (GEN)
90,Essex Fells Borough,0706001-005,Permanent PFAS Treatment (Country Club Facility),21937,"$ 1,592,000",,"$ 2,000,000",250,0,0,0,0,0,0,0.02,250.022,Funded,BIL (EC)
52,Merchantville Pennsauken Water Commission,0424001-006,Frosthoffer GAC plant,50000,"$ 8,200,000","$ 3,787,685","$ 9,840,000",200,0,15,0,0,0,0,0.47,265.47144,Funded,BIL (GEN)
50,Jersey City Municipal Utilities Authority,0906001-035,Lead Service Line Replacement,292449,"$ 311,040","$ 2,875,600","$ 373,248",175,0,20,5,5,0,0,2.62,267.62,Funded,BIL (LSLR)
45,Bloomfield Township,0702001-005,Lead Service Replacement Phases,49973,"$ 6,000,000","$ 879,930","$ 7,700,000",250,0,0,5,0,0,15,0.47,270.47315,Funded,BIL (LSLR)
38,Trenton City,1111001-005,5-year Lead Service Line Replacement & Verification Project,225000,"$ 195,000,000","$ 863,200","$ 239,000,000",250,0,15,0,5,0,15,2.17,287.17,Funded,BIL (LSLR)
17,Orange City,0717001-011,Orange Twp PFOA in Well 8 Drinking Water System,30731,"$ 1,200,000",,"$ 1,550,000",250,0,0,5,5,0,80,0.30,340.30134,Funded,BIL (EC)
135,Atlantic City Municipal Utilities Authority,0102001-013,"Security Enhancements to the Water Treatment Plant, Distributio",25333,"$ 4,000,000","$ 55,000","$ 4,800,000",45,80,15,5,0,0,0,0.39,200.39415,Funded,BIL (GEN)
71,Ridgewood Village,0251001-002,Water Treatment Centralization for PFAS Removal Phase 2,61200,"$ 14,188,500","$ 5,196,000","$ 17,026,200",250,0,0,0,0,0,0,0.62,250.617,Funded,BIL (EC)
71,Ridgewood Village,0251001-003,Water Treatment Centralization for PFAS Removal Phase 3,61200,"$ 7,666,583","$ 763,800","$ 9,199,899",250,0,0,0,0,0,0,0.62,250.617,Funded,BIL (EC)
134,Merchantville Pennsauken Water Commission,0424001-004,National Highway PFC plant,50000,"$ 7,000,000","$ 1,420,000","$ 8,700,000",200,0,0,0,0,0,0,0.47,200.47144,Funded,BIL (EC)
74,Belleville Township,0701001-008,Belleville Lead Service Line Replacement,36069,"$ 2,703,600","$ 450,000","$ 3,568,752",250,0,0,0,0,0,0,0.35,250.35129,Funded,BIL (LSLR)
45,Bloomfield Township,0702001-004,Interconnection Project,47315,"$ 1,920,000","$ 491,000","$ 2,592,000",250,0,0,5,0,0,15,0.47,270.47315,Funded,BIL (GEN)
165,Bloomfield Township                                                              0702001-006,0702001-006,Lead Service Line Replacement (2023-2025),0,"$ 6,000,000",,"$ 7,350,000",175,0,0,5,0,0,0,0.47,185.47314,Funded,BIL (LSLR)
90,Essex Fells Borough,0706001-003,Permanent PFAS Treatment (Main Facility),21937,"$ 4,500,000","$ 19,247,900","$ 5,400,000",250,0,0,0,0,0,0,0.02,250.022,Funded,BIL (EC)
90,Essex Fells Borough,0706001-004,Permanent PFAS Treatment (Additional Facilities),21937,"$ 2,000,000","$ 2,034,520","$ 2,400,000",250,0,0,0,0,0,0,0.02,250.022,Funded,BIL (EC)
76,Livingston Township,0710001-001,"Livingston PFAS Treatment - Phase A (Wells 1,2,4,8, 11)",29366,"$ 5,300,000","$ 484,770","$ 6,960,275",250,0,0,0,0,0,0,0.27,250.27391,Funded,BIL (EC)
