Entity,epic_project_id,Project,PWSID,Population,County,Estimated Loan Amount,Estimated Principal Forgiveness,Loan Type,Estimated Award Date,Project Score,Readiness to Proceed,Rate,District Office
Put-in-Bay,442,Ground Storage Tank Construction,OH6203311,700,Ottawa,"$1,574,000.00",Bypass1,Construction,Jan-26,5,1,DIS/HAB,NWDO
Put-in-Bay,441,WTP Rehabilitation,OH6203311,700,Ottawa,"$448,350.00",Bypass1,Construction,Dec-25,5,0,DIS,NWDO
Catawba,95,Standpipe Storage Tank Repair,OH1200312,241,Clark,"$46,600.00","$23,300.00",Construction,Oct-25,4,5,DIS,SWDO
Ansonia,28,Water Tower Rehab,OH1900012,1174,Darke,"$587,000.00","$293,500.00",Construction,Aug-25,4,4,DIS,SWDO
Felicity,233,Water Storge Tank Rehab,OH1300612,3700,Clermont,"$750,000.00","$375,000.00",Construction,Dec-25,4,4,DIS,SWDO
Adena,8,Blairmont Road Waterline,OH4100003,820,Jefferson,"$814,200.00","$407,100.00",Construction,Sep-25,4,3,DIS,SEDO
Bremen,76,Water Distribution Replacement,OH2300212,1425,Fairfield,"$889,900.00",Bypass 3,Design,Sep-25,4,3,DES,CO
Bremen,77,Water Distribution Replacement,OH2300212,1425,Fairfield,"$12,995,600.00",Bypass 3,Construction,Dec-25,4,3,DIS,CO
Lyons,344,Water Tower Replacement,OH2600603,562,Fulton,"$2,116,800.00","$1,058,400.00",Construction,Dec-25,4,3,DIS,NWDO
Sabina,452,Water System Improvements,OH1400912,2493,Clinton,"$722,000.00",$0.00,Design,Sep-25,4,1,DES,SWDO
Sabina,453,Water System Improvements,OH1400912,2493,Clinton,"$7,036,000.00",Bypass1,Construction,Jun-26,4,1,DIS/REG,SWDO
Attica1,45,REG Waterline with Northern Ohio Rural Water,OH7400011,1148,Seneca,"$1,600,000.00","$800,000.00",Construction,Feb-26,3,1,REG,NWDO
