Entity,Project,PWS ID,SDWIS Population,County, Estimated Loan Amount,Loan Type,Estimated Award Date,Rate,District Office,
Akron,Emergency Connection to Cleveland Water,OH7700011,"280,000",Summit,"$1,000,000.00",Construction,Jan-26,STD,NEDO,
Albany,Water Tower Project,OH0500003,901,Athens,"$969,862.00",Construction,Apr-26,SML,SEDO,
Albany,Water Tower Project,OH0500003,901,Athens,"$44,638.00",Design,Jun-26,DES,SEDO,
Amesville,Water Distribution Improvements,OH0500112,255,Athens,"$145,500.00",Design,Jun-26,DES,SEDO,
Amesville,Water Distribution Improvements,OH0500112,255,Athens,"$3,000,000.00",Construction,Jun-26,SML,SEDO,
Ansonia,Water Tower Rehab,OH1900012,"1,174",Darke,"$587,000.00",Construction,Sep-25,DIS,SWDO,
Antwerp,Water Treatment Plant Improvements,OH6300012,"1,741",Paulding,"$8,004,000.00",Construction,Jun-26,SML,NWDO,
Aqua Ohio Inc.,Ashtabula Lead & GRR Service Line Replacement 2026,OH0400711,"32,408",Ashtabula,"$5,000,000.00",Construction,May-26,LSL PF,NEDO,
Aqua Ohio Inc.,Tiffin Lead Service Line Replacement 2026,OH7400614,"20,035",Seneca,"$5,000,000.00",Construction,May-26,LSL PF,NWDO,
Aqua Ohio Inc.,Struthers Lead and GRR Service Line Replacement 2026,OH5001611,"58,551",Mahoning,"$5,000,000.00",Construction,May-26,LSL PF,NEDO,
Aqua Ohio Inc.,Marion Lead Service Line Replacement 2026,OH5100414,"46,317",Marion,"$5,000,000.00",Construction,May-26,LSL PF,NWDO,
Arcanum,Water Tower Replacement,OH1900112,"2,100",Darke,"$142,500.00",Design,Sep-25,DES,SWDO,
Arcanum,Water Tower Replacement,OH1900112,"2,100",Darke,"$2,796,500.00",Construction,Jun-26,SML,SWDO,
Ashtabula County,Harpersfield Water Tower,OH0400803,"13,972",Ashtabula,"$3,500,000.00",Construction,Oct-25,STD,NEDO,
Ashtabula County,Northeast Regional Waterline Extension,OH0400803,"13,972",Ashtabula,"$10,432,000.00",Construction,Jun-26,DIS/REG,NEDO,
Ashtabula County,Austinburg to Harpersfield Interconnect,OH0400803,"13,972",Ashtabula,"$3,952,000.00",Construction,Feb-26,STD,NEDO,
Ashtabula County,Jefferson Booster Station Replacement,OH0400803,"13,972",Ashtabula,"$1,240,000.00",Construction,Oct-25,STD,NEDO,
Ashtabula County,Lake Road Waterline Replacement,OH0400803,"13,972",Ashtabula,"$990,000.00",Construction,Sep-25,STD,NEDO,
Ashtabula County,S River Road Waterline Extension Phase 2,OH0400803,"13,972",Ashtabula,"$2,000,000.00",Construction,Oct-25,DIS/REG,NEDO,
Ashtabula County,Austinburg to Harpersfield Interconnect,OH0400803,"13,972",Ashtabula,"$200,000.00",Design,Oct-25,DES,NEDO,
Ashville,Water System Improvement New Water Treatment Plant,OH6500012,"4,298",Pickaway,"$13,750,000.00",Construction,Dec-25,SML,CO,
Attica,Regionalization Waterline with Northern Ohio Rural Water,OH7400011,"1,148",Seneca,"$176,554.00",Design,Aug-25,DES,NWDO,
Attica,Regionalization Waterline with Northern Ohio Rural Water,OH7400011,"1,148",Seneca,"$1,600,000.00",Construction,Feb-26,REG,NWDO,
Aurora,South Water Tower Replacement,OH6789112,"15,852",Portage,"$6,460,000.00",Construction,May-26,STD,NEDO,
Bainbridge,Waterline Replacement Project,OH7100012,900,Ross,"$4,975,000.00",Construction,Oct-25,DIS/LSL PF,SEDO,
Baltimore,Well Replacement Project,OH2300112,"2,995",Fairfield,"$450,000.00",Construction,Mar-26,SML,CO,
Baltimore,Well Replacement Project,OH2300112,"2,995",Fairfield,"$124,700.00",Design,Dec-25,DES,CO,
Baltimore,2025 Waterline Improvements,OH2300112,"2,995",Fairfield,"$675,000.00",Design,Oct-25,DES,CO,
Baltimore,2025 Waterline Improvements,OH2300112,"2,995",Fairfield,"$5,497,000.00",Construction,Feb-26,SML,CO,
Barberton,Cleveland-Massillon Waterline Extension,OH7700411,"31,298",Summit,"$1,234,422.00",Construction,Dec-25,REG,NEDO,
Barnesville,North Waterline Extension,OH0700011,"6,500",Belmont,"$568,845.00",Design,Jul-25,DES,SEDO,
Barnesville,PFOA General Plan,OH0700011,"6,500",Belmont,"$70,000.00",Planning,Aug-25,PLN/EC,SEDO,
Barnesville,North Waterline Extension,OH0700011,"6,500",Belmont,"$3,761,147.00",Construction,Jun-26,DIS/REG,SEDO,
Belle Center,W. Buckeye Street & Elizabeth Street Water Line Replacement,OH4600012,834,Logan,"$26,500.00",Design,Aug-25,DES,SWDO,
Belle Center,W. Buckeye Street & Elizabeth Street Water Line Replacement,OH4600012,834,Logan,"$739,720.00",Construction,Feb-26,SML,SWDO,
Belmont,Water Storage Tank Rehab,OH0700315,400,Belmont,"$432,600.00",Construction,Sep-25,SML,SEDO,
Belpre,Well #2 Rehabilitation,OH8400012,"6,441",Washington,"$38,000.00",Design,Dec-25,DES,SEDO,
Belpre,Well #2 Rehabilitation,OH8400012,"6,441",Washington,"$465,750.00",Construction,Feb-26,SML,SEDO,
Bethesda,Water Line Replacement,OH0700511,"1,382",Belmont,"$250,000.00",Design,Sep-25,DES,SEDO,
Bethesda,Water Line Replacement,OH0700511,"1,382",Belmont,"$1,749,340.00",Construction,Dec-25,SML,SEDO,
Beverly,Water Storage Tank Replacement,OH8400112,"1,900",Washington,"$2,497,800.00",Construction,Oct-25,SML,SEDO,
Beverly,PFAS Treatment,OH8400112,"1,900",Washington,"$1,543,200.00",Construction,Jan-26,DIS/EC,SEDO,
Blanchester,Reservoir 3 Improvements,OH1400111,"4,243",Clinton,"$751,280.00",Construction,Oct-25,SML,SWDO,
Bloomingburg,Bloomingburg Water Treatment Plant Replacement,OH2400012,919,Fayette,"$5,329,440.00",Construction,Dec-25,SML,CO,
Bowerston,New Water Treatment Plant and Raw Water Imp Project,OH3400112,517,Harrison,"$6,000,000.00",Construction,Mar-26,DIS/REG,SEDO,
Bowerston,Distribution System and Meter Replacement,OH3400112,517,Harrison,"$1,000,000.00",Construction,Sep-25,SML/LSL PF,SEDO,
Bowling Green,South College Drive Waterline Improvements,OH8700311,"31,578",Wood,"$1,700,000.00",Construction,Mar-26,STD,NWDO,
Bowling Green,Hillcrest - Parkwood - Ash & Coleman Waterline Imp,OH8700311,"31,578",Wood,"$1,750,000.00",Construction,Apr-26,STD,NWDO,
Bowling Green,Water Treatment Plant Clarifier Improvements,OH8700311,"31,578",Wood,"$2,100,000.00",Construction,Dec-25,STD,NWDO,
Bowling Green,Nims Road Waterline Improvements,OH8700311,"31,578",Wood,"$1,400,000.00",Construction,Oct-25,STD,NWDO,
Bowling Green,Carter Park Water Tower & Western Water Tower Imp,OH8700311,"31,578",Wood,"$3,600,000.00",Construction,Oct-25,STD,NWDO,
Bowling Green,Water Treatment Plant Membrane Expansion,OH8700311,"31,578",Wood,"$14,105,000.00",Construction,Mar-26,STD/HAB,NWDO,
Bradford,Lead Service Line Replacement,OH1900212,"2,000",Miami,"$800,000.00",Construction,Feb-26,LSL PF,SWDO,
Bremen,Water Distribution Replacement,OH2300212,"1,425",Fairfield,"$889,900.00",Design,Dec-25,DES,CO,
Bremen,Water Distribution Replacement,OH2300212,"1,425",Fairfield,"$12,995,600.00",Construction,Feb-26,DIS,CO,
Bridgeport,Lombardy Heights Tank Rehabilitation,OH0700612,"2,830",Belmont,"$1,069,345.00",Construction,Feb-26,SML,SEDO,
Brown County Rural Water Assoc.,Wahlsburg Tank,OH0802012,"29,010",Brown,"$8,500,000.00",Construction,Mar-26,STD,SWDO,
Buckeye Lake,First Street Water Line Improvements,OH4564712,"2,746",Licking,"$352,000.00",Construction,Sep-25,REG,CO,
Burr Oak Regional Water District,Water Expansion - Morgan County Booster,OH0501311,"1,994",Athens,"$486,600.00",Construction,Apr-26,REG,SEDO,
Cadiz,Charleston Waterline Replacement,OH3400214,"3,353",Harrison,"$292,840.00",Construction,Sep-25,SML,SEDO,
Cambridge,Raw Water System Improvements,OH3000111,"10,520",Guernsey,"$10,000,000.00",Construction,Feb-26,STD,SEDO,
Cambridge,Lead Service Line Replacement - Phase 2,OH3000111,"10,520",Guernsey,"$499,960.00",Construction,Jan-26,LSL PF,SEDO,
Canal Winchester,2025 Waterline Improvements,OH2500312,"9,286",Franklin,"$938,000.00",Construction,May-26,SML,CO,
Canfield,C.H. Campbell Elementary Water Service Improvements,OH5000503,"7,767",Mahoning,"$33,824.00",Design,Dec-25,DES,NEDO,
Canfield,C.H. Campbell Elementary Water Service Improvements,OH5000503,"7,767",Mahoning,"$410,434.00",Construction,May-26,STD,NEDO,
Canton,Cromer Water Storage Reservoir Demolition and Replacement,OH7608112,"107,113",Stark,"$17,734,261.00",Construction,Jul-25,STD,NEDO,
Canton,Middlebranch/Mount Pleasant Waterline Extension,OH7608112,"107,113",Stark,"$868,083.00",Construction,Oct-25,STD,NEDO,
Cardington,Water Treatment Plant Improvements,OH5900112,"2,079",Morrow,"$5,145,807.00",Construction,Oct-25,SML,CO,
Carroll,Cemetery Rd Water Line Extension,OH2300312,524,Fairfield,"$93,800.00",Design,May-26,DES,CO,
Carroll,Cemetery Rd Water Line Extension,OH2300312,524,Fairfield,"$1,390,650.00",Construction,Jun-26,REG,CO,
Catawba,Water Treatment Plant Aeration and Filtration,OH1200312,241,Clark,"$845,733.00",Construction,Jun-26,DIS,SWDO,
Catawba,Water Treatment Plant Aeration and Filtration,OH1200312,241,Clark,"$64,763.00",Design,Sep-25,DES,SWDO,
Catawba,Standpipe Storage Tank Repair,OH1200312,241,Clark,"$46,600.00",Construction,Oct-25,DIS,SWDO,
Chagrin Falls,Maple Street Waterline Replacement,OH1800212,"4,991",Cuyahoga,"$1,600,000.00",Construction,Dec-25,SML,NEDO,
Chagrin Falls,Walnut Street Water Line Replacement,OH1800212,"4,991",Cuyahoga,"$1,000,000.00",Construction,Dec-25,SML,NEDO,
Chagrin Falls,Church Street Watermain Replacement,OH1800212,"4,991",Cuyahoga,"$1,250,000.00",Construction,Dec-25,SML,NEDO,
Chagrin Falls,Center Street Watermain Replacement,OH1800212,"4,991",Cuyahoga,"$1,250,000.00",Construction,Dec-25,SML,NEDO,
Chauncey,Waterline Replacement Project,OH0500512,"1,428",Athens,"$104,610.00",Design,Mar-26,DES,SEDO,
Chesterhill,Water System Improvements PFAS,OH5800112,823,Morgan,"$2,413,600.00",Construction,Jan-26,SML/EC,SEDO,
Chesterhill,Water System Improvements,OH5800112,823,Morgan,"$935,200.00",Construction,Dec-25,SML,SEDO,
Chesterhill,Water System Improvements,OH5800112,823,Morgan,"$157,900.00",Design,Oct-25,DES,SEDO,
Chillicothe,Main Street Pump Station Replacement,OH7100112,"21,725",Ross,"$1,100,000.00",Construction,May-26,STD,SEDO,
Cincinnati,"Branch Only- Jonathan, Ruth, Woodburn LSL",OH3102612,"750,200",Hamilton,"$1,100,000.00",Construction,Oct-25,LSL PF,SWDO,
Cincinnati,Southern Hawthorne Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,253,355.00",Construction,Sep-25,STD/LSL PF,SWDO,
Cincinnati,Monastery - Mt. Adams Water Main Replacement,OH3102612,"750,200",Hamilton,"$4,999,139.00",Construction,Dec-25,STD/LSL PF,SWDO,
Cincinnati,McHenry - Wooster Area Water Main Replacement,OH3102612,"750,200",Hamilton,"$5,200,676.00",Construction,Dec-25,STD/LSL PF,SWDO,
Cincinnati,Lyon - Wheeler Area Water Main Replacement,OH3102612,"750,200",Hamilton,"$3,101,870.00",Construction,Dec-25,STD/LSL PF,SWDO,
Cincinnati,Fire Flow 23 Water Main Replacement,OH3102612,"750,200",Hamilton,"$3,557,872.00",Construction,Dec-25,STD/LSL PF,SWDO,
Cincinnati,Budd St Water Main Replacement,OH3102612,"750,200",Hamilton,"$5,997,792.00",Construction,Apr-26,STD,SWDO,
Cincinnati,Baker Water Main Replacement,OH3102612,"750,200",Hamilton,"$1,524,764.00",Construction,Feb-26,STD/LSL PF,SWDO,
Cincinnati,Branch Only - Fairmount LSL,OH3102612,"750,200",Hamilton,"$600,000.00",Construction,Jan-26,LSL PF,SWDO,
Cincinnati,Plum/Court Water Main and LSL Replacement,OH3102612,"750,200",Hamilton,"$4,761,000.00",Construction,Feb-26,STD/LSL PF,SWDO,
Cincinnati,Mt Hope/Warsaw Water Main and LSL Replacement,OH3102612,"750,200",Hamilton,"$4,140,000.00",Construction,Jan-26,STD/LSL PF,SWDO,
Cincinnati,Bayard/Victoria Water Main and LSL Replacement,OH3102612,"750,200",Hamilton,"$3,366,043.00",Construction,Oct-25,STD/LSL PF,SWDO,
Cincinnati,Lower & East Price Hill Private LSL Replacement,OH3102612,"750,200",Hamilton,"$2,710,000.00",Construction,Mar-26,LSL PF,SWDO,
Cincinnati,Kling Ave LSL Replacement,OH3102612,"750,200",Hamilton,"$595,000.00",Construction,Jan-26,LSL PF,SWDO,
Cincinnati,Harrison Cora - Fairmount LSL,OH3102612,"750,200",Hamilton,"$570,000.00",Construction,Mar-26,LSL PF,SWDO,
Circleville,Utility Improvements for South Court Street,OH6500412,"13,965",Pickaway,"$1,766,000.00",Construction,Sep-25,STD,CO,
Circleville,Utility Improvements for Walnut Street,OH6500412,"13,965",Pickaway,"$1,701,000.00",Construction,Sep-25,STD/LSL PF,CO,
Clark County,Donnelsville Water System,OH1201112,"4,221",Clark,"$4,000,000.00",Construction,May-26,DIS/REG,SWDO,
Clarksville,Water Meter Replacement,OH1400203,562,Clinton,"$21,900.00",Design,Oct-25,DES,SWDO,
Clarksville,Water Meter Replacement,OH1400203,562,Clinton,"$239,531.00",Construction,May-26,SML,SWDO,
Cleveland,Kirtland Crib Rehabilitation Phase 1,OH1801212,"1,308,955",Cuyahoga,"$15,000,000.00",Construction,Jan-26,STD,NEDO,
Cleveland,CWD LSLR Year 3-1,OH1801212,"1,308,955",Cuyahoga,"$2,941,462.00",Construction,Aug-25,LSL PF,NEDO,
Cleveland,CWD LSLR Year 3-2,OH1801212,"1,308,955",Cuyahoga,"$2,941,462.00",Construction,Aug-25,LSL PF,NEDO,
Cleveland,CWD LSLR Year 3-3,OH1801212,"1,308,955",Cuyahoga,"$2,941,462.00",Construction,Aug-25,LSL PF,NEDO,
Cleveland,CWD LSLR Year 3-4,OH1801212,"1,308,955",Cuyahoga,"$2,941,462.00",Construction,Aug-25,LSL PF,NEDO,
Cleveland,CWD LSLR Year 3-5,OH1801212,"1,308,955",Cuyahoga,"$2,596,114.00",Construction,Aug-25,LSL PF,NEDO,
Cleveland,CWD LSLR Year 3-6,OH1801212,"1,308,955",Cuyahoga,"$2,596,114.00",Construction,Aug-25,LSL PF,NEDO,
Cleveland,CWD LSLR Year 3-7,OH1801212,"1,308,955",Cuyahoga,"$2,596,114.00",Construction,Aug-25,LSL PF,NEDO,
Cleveland,CWD LSLR Year 3-8,OH1801212,"1,308,955",Cuyahoga,"$2,596,114.00",Construction,Aug-25,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-1,OH1801212,"1,308,955",Cuyahoga,"$7,165,200.00",Construction,Jan-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-2,OH1801212,"1,308,955",Cuyahoga,"$7,165,200.00",Construction,Jan-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-3,OH1801212,"1,308,955",Cuyahoga,"$7,165,200.00",Construction,Jan-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-4,OH1801212,"1,308,955",Cuyahoga,"$7,165,200.00",Construction,Jan-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-5,OH1801212,"1,308,955",Cuyahoga,"$7,165,200.00",Construction,Jan-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-6,OH1801212,"1,308,955",Cuyahoga,"$7,165,200.00",Construction,Jan-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-7,OH1801212,"1,308,955",Cuyahoga,"$7,165,200.00",Construction,Jan-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-8,OH1801212,"1,308,955",Cuyahoga,"$7,165,200.00",Construction,Jan-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-9,OH1801212,"1,308,955",Cuyahoga,"$7,165,200.00",Construction,Jan-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-10,OH1801212,"1,308,955",Cuyahoga,"$7,165,200.00",Construction,Jan-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-11,OH1801212,"1,308,955",Cuyahoga,"$7,165,200.00",Construction,Jan-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-12,OH1801212,"1,308,955",Cuyahoga,"$7,165,200.00",Construction,Jan-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-13 Tree Lawn / Small Work,OH1801212,"1,308,955",Cuyahoga,"$2,092,160.00",Construction,Feb-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-14 Tree Lawn / Small Work,OH1801212,"1,308,955",Cuyahoga,"$2,092,160.00",Construction,Feb-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-15 Tree Lawn / Small Work,OH1801212,"1,308,955",Cuyahoga,"$2,092,160.00",Construction,Feb-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-16 CA Reimbursement,OH1801212,"1,308,955",Cuyahoga,"$3,805,200.00",Construction,Feb-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-17 Filters 1,OH1801212,"1,308,955",Cuyahoga,"$280,000.00",Construction,Feb-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-18 Filters 2,OH1801212,"1,308,955",Cuyahoga,"$280,000.00",Construction,Feb-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-19 Curb Boxes / Bases,OH1801212,"1,308,955",Cuyahoga,"$1,929,009.00",Construction,Jan-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-20 Copper & Brass,OH1801212,"1,308,955",Cuyahoga,"$2,780,227.00",Construction,Jan-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-21 Curb Boxes & Bases (Group B),OH1801212,"1,308,955",Cuyahoga,"$67,200.00",Construction,Feb-26,LSL PF,NEDO,
Cleveland,CWD LSLR YEAR 4-22 Copper & Brass (Group B),OH1801212,"1,308,955",Cuyahoga,"$112,000.00",Construction,Feb-26,LSL PF,NEDO,
Cleves,Addyston Waterline Extension,OH3100512,"6,000",Hamilton,"$797,309.00",Construction,Oct-25,DIS/REG/EC,SWDO,
Cleves,Addyston Waterline Extension,OH3100512,"6,000",Hamilton,"$67,584.00",Design,Sep-25,DES/EC,SWDO,
Coal Grove,Waterline Interconnect,OH4400012,"2,167",Lawrence,"$144,410.00",Construction,Jul-25,SML,SEDO,
Columbus,"Aragon Ave Area Water Line Imps, CIP 690236-100102",OH2504412,"1,288,850",Franklin,"$5,500,000.00",Construction,Aug-25,STD,CO,
Columbus,"Newton-Bedford WL Imprs, CIP 690236-100120",OH2504412,"1,288,850",Franklin,"$650,000.00",Construction,Jan-26,STD,CO,
Columbus,HCWP Drain & Water System Imps CIP #690552-100000,OH2504412,"1,288,850",Franklin,"$7,750,000.00",Construction,Jan-26,STD,CO,
Columbus,Palmetto Westgate Area WL Imprs CIP #690236-10045,OH2504412,"1,288,850",Franklin,"$3,500,000.00",Construction,Dec-25,STD,CO,
Columbus,Kent-Fairwood Area WL Imprs CIP 690236-100144,OH2504412,"1,288,850",Franklin,"$1,500,000.00",Construction,Oct-25,STD,CO,
Columbus,"Atlanta Dr. Area WL Imprs, CIP 690236-100131",OH2504412,"1,288,850",Franklin,"$6,900,000.00",Construction,Oct-25,STD,CO,
Columbus,"Bluefield Drive Area WL Imprs, CIP 690236-100129",OH2504412,"1,288,850",Franklin,"$6,500,000.00",Construction,Aug-25,STD,CO,
Columbus,Lexington Ave Area Water Line Imps CIP# 690236-100133,OH2504412,"1,288,850",Franklin,"$5,500,000.00",Construction,Dec-25,STD,CO,
Columbus,Jermain Drive Area Water Line Imprs CIP# 690236-100134,OH2504412,"1,288,850",Franklin,"$5,700,000.00",Construction,Sep-25,STD,CO,
Columbus,Heyl Ave Area Water Line Imps CIP# 690236-100135,OH2504412,"1,288,850",Franklin,"$6,500,000.00",Construction,Dec-25,STD,CO,
Columbus,Athens Ave and Rumsey Rd Area WL Imprs CIP# 690236-100136,OH2504412,"1,288,850",Franklin,"$5,500,000.00",Construction,Oct-25,STD,CO,
Columbus,Kenwick Rd Area Water Line Imp CIP# 690236-100137,OH2504412,"1,288,850",Franklin,"$5,500,000.00",Construction,Dec-25,STD,CO,
Columbus,Velma Ave Area Water Line Imps CIP# 690236-100138,OH2504412,"1,288,850",Franklin,"$6,000,000.00",Construction,Dec-25,STD,CO,
Columbus,N. Sixth St & E. 3rd Ave Area WL Imps CIP# 690236-100157,OH2504412,"1,288,850",Franklin,"$650,000.00",Construction,Jan-26,STD,CO,
Columbus,5th Av by Northwest-Edgehill Meadow WL Imp CIP 690236-100159,OH2504412,"1,288,850",Franklin,"$1,300,000.00",Construction,Jun-26,STD,CO,
Columbus,PAWP - Plant Drain & Water System Imps CIP# 690552-100001,OH2504412,"1,288,850",Franklin,"$750,000.00",Construction,Dec-25,STD,CO,
Columbus,PAWP Wellfield Development CIP# 690580-100000,OH2504412,"1,288,850",Franklin,"$29,100,000.00",Construction,Dec-25,STD,CO,
Columbus,"Lead Service Line Replacements-Pt 2, CIP 690236-110001",OH2504412,"1,288,850",Franklin,"$10,000,000.00",Construction,Oct-25,LSL PF,CO,
Columbus,"Morse Rd. 48-Inch Trans. Main Lowering, CIP 690502-100005",OH2504412,"1,288,850",Franklin,"$2,100,000.00",Construction,Oct-25,STD,CO,
Columbus,DRWP Tunnel Repair CIP 691100-100001,OH2504412,"1,288,850",Franklin,"$2,600,000.00",Construction,Dec-25,STD,CO,
Columbus,S High St & I270 Area WL Ph 1 CIP 690236-100180,OH2504412,"1,288,850",Franklin,"$1,500,000.00",Construction,Apr-26,STD,CO,
Columbus,4th Water Plant Construction CIP 690600-100000,OH2504412,"1,288,850",Franklin,"$1,600,000,000.00",Construction,Jun-26,STD,CO,
Columbus,4th WTP - Engineering Services-Constr. 690600-100000,OH2504412,"1,288,850",Franklin,"$24,000,000.00",Design,Apr-26,DES,CO,
Columbus,SWWTP Substation Replacement CIP No. 690026-1,OH2504412,"1,288,850",Franklin,"$4,000,000.00",Construction,Dec-25,STD,CO,
Columbus,PAWP Wellfield Dev (CW 112) Raw Water Line CIP 690580-100001,OH2504412,"1,288,850",Franklin,"$11,300,000.00",Construction,Mar-26,STD,CO,
Columbus,Water Distribution System SCADA Imp CIP 690522-100001,OH2504412,"1,288,850",Franklin,"$14,500,000.00",Construction,Dec-25,STD,CO,
Columbus,HCWP Screening & Sludge Removal Imps,OH2504412,"1,288,850",Franklin,"$1,500,000.00",Planning,Dec-25,PLN,CO,
Columbus,CIP 690502-100003 Hudson St-Arcadia Ave Transmission Main,OH2504412,"1,288,850",Franklin,"$600,000.00",Design,Oct-25,DES,CO,
Columbus,4th Water Plant Transmission Main River Crossing,OH2504412,"1,288,850",Franklin,"$5,000,000.00",Design,Apr-26,DES,CO,
Columbus,Chesapeake Ave Area Water Line Imp CIP 690236-100154,OH2504412,"1,288,850",Franklin,"$6,000,000.00",Construction,Mar-26,STD,CO,
Columbus,Youngs Drive Area Water Line Imp CIP 690236-100155,OH2504412,"1,288,850",Franklin,"$6,100,000.00",Construction,Mar-26,STD,CO,
Columbus,"Shamrock Dr Area Water Line Imp, CIP 690236-100156",OH2504412,"1,288,850",Franklin,"$6,500,000.00",Construction,Mar-26,STD,CO,
Columbus,Chittenden Ave Area Water Line Imp CIP 690236-100162,OH2504412,"1,288,850",Franklin,"$6,000,000.00",Construction,Mar-26,STD,CO,
Columbus,"Yale Avenue Area Water Line Imp, CIP 690236-100163",OH2504412,"1,288,850",Franklin,"$6,000,000.00",Construction,Jun-26,STD,CO,
Columbus,Ann Street Area Water Line Imp CIP 690236-100164,OH2504412,"1,288,850",Franklin,"$6,500,000.00",Construction,May-26,STD,CO,
Columbus,"Lead Service Line Replacements - Part 3, CIP 690236-110003",OH2504412,"1,288,850",Franklin,"$10,000,000.00",Construction,Mar-26,LSL PF,CO,
Conneaut,Clark Street Water Tower Replacement,OH0400411,"12,538",Ashtabula,"$6,000,000.00",Construction,Mar-26,STD,NEDO,
Conneaut,Park & Day Streets Waterline Replacement,OH0400411,"12,538",Ashtabula,"$300,000.00",Construction,Oct-25,STD,NEDO,
Conneaut,Buffalo Street Watermain Replacement,OH0400411,"12,538",Ashtabula,"$300,000.00",Construction,Oct-25,STD,NEDO,
