0,1,2,3,4,5,6,7,8,9,10,11,12,13
26,New Castle,5364,Gas Generator,School Lane WTP,"$327,000",W,320,Corpus,2.00%,20 years,,$0,
27,Artesian,209706,Sparrow Run,Water Main Renewal,"$1,540,000",,315,Corpus,2.00%,20 years,,$0,
,,,Wilmington Manor,"WTP Improvements,",,,,,,,,,
27,Artesian,209706,Gardens,PFOS removal,"$3,850,000","E,",315,Corpus,2.00%,20 years,,$0,
,,,,,,,,Suppleme,,,,,
28,Artesian,13511,Route 113,Water Main Renewal,"$900,000",,310,ntal,2.00%,20 years,,$0,
28,Frederica,870,LSL inventory,LSL inventory,"$102,000",A*,310,LSLR,,,,"$102,000",
,,,,Inventory and Mapping,,,,,,,,,
29,Millsboro,7500,LSL inventory,(1964 pipes),"$233,500",,300,LSLR,2.00%,20 years,,,
,,,Federal Street Water,Pressure and,,,,,,,,,
29,Milton,3200,Tower,Redundancy,"$3,720,000",,300,Corpus,2.00%,20 years,,$0,
,,,,Upgrades to,,,,,,,,,
,,,,"disinfection, SCADA",,,,,,,,,
,,,,and treatment,,,,,,,,,
30,Artesian,209706,Midvale WTP,equipment,"$2,750,000",E,295,Corpus,2.00%,20 years,,$0,
31,Lewes BPW,3000,Jones Farm,Elevated Storage Tank,"$4,320,000",,290,Corpus,2.00%,20 years,,$0,
,,,,,,DAC? -,Funding,,,Anticipa,,,
,Water System/,Population,Comprehensive,,,"A, E, W,",Appropri,,,ted,Anticipated,,
Rank,Borrower,Served,Project Name,Project Description,"U
Amount",Total Points,ation,Financing,Terms,subsidy,Subsidy Amount,Notes,
,,,Savannah Road,Canal Crossing Water,,,,,,,,,
31,Lewes BPW,3000,Bridge,Main,"$2,260,000",290,Corpus,2.00%,20 years,,$0,,
,,,Water System Lead,,,,,,,,,,
32,DE State Fair,452,Abatement,LSL,"$1,660,000",285,Corpus,2.00%,TBD,,$0,,
,,,Consolidation  -,Interconnection Phase,,,,,,,,,
33,Tidewater,4000,Angola Meadows,2B resiliency,"$3,410,000",280,Corpus,2.00%,20 years,,$0,,
,,,,Water System,,,,,,,,,
34,Middletown,22582,NE Quadrant,Improvements,"$1,963,287",270,Corpus,2.00%,20 years,,$0,,
,,,,"Install of new storage,",,,,,,,,,
34,Newark,40000,Elevated Storage Tank,pressure and turnover,"$5,500,000",270,Corpus,2.00%,20 years,,$0,,
,,,,Interconnection for,,,,,,,,,
,,,Consolidation - Dairy,resiliency and,,,,,,,,,
34,Tidewater,23463,Farm Road,redundancy,"$1,650,000",270,Corpus,2.00%,20 years,,$0,,
,,,,Water System,,,,,,,,,
35,Frederica,870,Water Loop,Hydraulic Loop,"$404,000
A*",260,Corpus,2.00%,20 years,,$0,,
,,,Water System,SCADA and,,,,,,,,,
35,Frederica,870,SCADA,monitoring Upgrades,"$64,000
A*",260,Corpus,2.00%,20 years,,$0,,
,,,,Inventory and,,,,,,,,,
35,Magnolia,425,LSL inventory,Replacement,"$1,500,000
A*",260,Corpus,2.00%,TBD,,$0,,
,,,,LSL Inventory and,,,,,,,,,
35,New Castle,5364,LSL Inventory,Mapping,"$284,000
W",260,Corpus,2.00%,TBD,,$0,,
36,Middletown,22582,North Broad Street,Water Main Upgrade,"$1,451,026",240,Corpus,2.00%,20 years,,$0,,
37,Seaford,6699,LSL Inventory,Inventory,"$212,000",220,Corpus,2.00%,TBD,,$0,,
,,,,Bring Westside Hunt,,,,,,,,,
,,,,Well online and,,,,,,,,,
,,,Choptank and,upgrade Choptank,,,,,,,,,
38,Artesian,7035,Westside Hunt,WTP,"$3,850,000",190,Corpus,2.00%,20 years,,$0,,
,,,,,,,Fire,,,,,,
,,,,,,,Protectio,,,,,,
39,Artesian,,Slaughter Beach,Fire Protection,"$2,000,000",180,n,,,,,,
,,,,Inventory and,,,,,,,,,
39,Newark,40000,LSL Inventory,Replacement,"$2,250,000",180,Corpus,2.00%,TBD,,$0,,
,,,DelDOT SR 24 Love,,,,,,,,,,
,,,Creek to Mulberry,Joint DelDOT and,,,,,,,,,
39,Tidewater,23463,Knoll,Tidewater SR 24 Reho,"$1,700,000",180,Corpus,2.00%,20 years,,$0,,
,Bethany Crest,,,Installation of PFAs,,,,,,,,Bypassed for,
40,MHP,115,PFAs Treatment,resin,"$300,500",170,State,2.00%,20 years,,"$300,500",State Funds,
,,,,Water Main,,,,,,,,,
40,Newark,40000,Water Mains,Replacement,"$2,200,000",170,Corpus,2.00%,20 years,,$0,,
,,,,,,DAC? -,Funding,,,Anticipa,,,
,Water System/,Population,Comprehensive,,,"A, E, W,",Appropri,,,ted,Anticipated,,
Rank,Borrower,Served,Project Name,Project Description,"U
Amount",Total Points,ation,Financing,Terms,subsidy,Subsidy Amount,Notes,
,,,SSWC - Plant 2 Iron,,,,,,,,,,
,,,and Manganese,Contaminant removal,,,,,,,,,
,,,Removal,Treatment and,,,,,,,,,
40,Sussex Shores,350,Improvement Project,Filtration,"$4,000,000",170,Corpus,2.00%,20 years,,$0,,
,,,,Bring Lester Wells,,,,,,,,,
,,,Lester Farms and,online and upgrad,,,,,,,,,
41,Artesian,7035,Hyetts,Hyetts,"$2,970,000",160,Corpus,2.00%,20 years,,$0,,
42,Newark,40000,Assessment,Water Mains,"$2,100,000",150,Corpus,2.00%,20 years,,$0,,
,Angola Crest 1,60,WT Security,New Security,,,,,,,,,
43,and 2,159,Improvements,Measures,"$50,000",130,Corpus,2.00%,20 years,,$0,,
,,,,,,,Growth?,,,,,,
43,Artesian,7035,Cedar Lane Tank,Elevated Storage Tank,"$3,685,000",130,Fire,,,,,,
,,,,Sussex Co. north of,,,,,,,,,
,,,Route 1 Elevated,"Lewes, along route 1",,,Growth?,,,,,,
44,Artesian,13511,Tank,Storage tank,"$3,025,000",80,Fire,,,,,,
,,,,,,,*=Antici,,,,,,
