RANK,SYSTEM,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
57,Silver Bay,Treatment ‐ Plant Improvements,1380003‐11,12,1868,"$7,200,000.00"
58,Bowlus,Source ‐ Backup Well & Wellhouse,1490009‐2,12,300,"$125,000.00"
59,Bowlus,Source ‐ New Well & Wellhouse,1490009‐3,12,300,"$575,000.00"
60,Wood Lake,Treatment ‐ Repl Plant & Equipment,1870008‐2,12,439,"$1,927,000.00"
61,Amboy,"Watermain ‐ Repl North St.,Loop Radke St",1070001‐1,12,651,"$1,150,875.00"
62,Bellingham,Treatment ‐ New Plant,1370001‐1,12,168,"$1,916,500.00"
63,Rushmore,Treatment ‐ New IE & RO Plant,1530009‐6,12,342,"$2,282,000.00"
64,Faribault,Watermain ‐ Northern Loop,1660002‐3,12,23718,"$920,000.00"
65,Underwood,Treatment ‐ Replace Plant,1560026‐6,12,341,"$3,000,000.00"
66,Hokah,Treatment ‐ New Plant or Blend,1280004‐5,12,572,"$2,858,000.00"
67,Comfrey,Watermain ‐ Looping,1080001‐6,12,360,"$349,000.00"
68,Browerville,Watermain ‐ Replace & Loop,1770002‐6,12,790,"$818,400.00"
69,Gilbert,Treatment ‐ New Treatment Plant,1690020‐8,12,1850,"$9,645,821.00"
70,Winsted,Source ‐ New Well #5,1430010‐6,12,2296,"$750,000.00"
71,Winsted,Watermain ‐ CSAH 9 Looping w/Baker Ave,1430010‐7,12,2296,"$980,000.00"
72,Russell,Watermain ‐ Repl & Loop,1420008‐2,12,338,"$7,836,000.00"
73,Hector,Watermain ‐ looping,1650009‐5,12,972,"$477,000.00"
74,Luverne,Watermain ‐ Lewis & Clark 2nd Connection,1670004‐2,12,4564,"$3,000,000.00"
75,LeSueur,Watermain ‐ New Booster Station & Wtrmn,1400010‐9,12,4050,"$2,200,000.00"
76,Arlington,Treatment ‐ Rehab Plant & Well 2,1720001‐2,12,2230,"$3,500,000.00"
77,LeSueur,Source ‐ New Well #8,1400010‐5,12,4050,"$2,312,072.00"
78,LeSueur,Treatment ‐ Plant Rehab,1400010‐6,12,4050,"$4,000,000.00"
79,Upsala,Watermain ‐ Repl & Loop,1490008‐4,12,497,"$520,000.00"
80,Felton,Source ‐ New Wells,1140012‐2,12,135,"$189,000.00"
81,Kandiyohi,Treatment ‐ New Fe/Mn Plant & Wells,1340003‐3,12,554,"$3,620,000.00"
82,Kandiyohi,Watermain ‐ Looping,1340003‐5,12,554,"$433,000.00"
83,Clearwater,Source ‐ New Wells & Wellhouse,1860025‐5,12,1859,"$2,895,000.00"
84,Randolph,"Source  New Well, Rehab Wellhouse",1190025‐1,12,355,"$888,000.00"
85,Mendota,Watermain ‐ Area 1 Loop,1190030‐2,12,157,"$1,400,000.00"
86,Mendota,Watermain ‐ Area 3 Loop,1190030‐4,12,157,"$1,625,000.00"
87,Monticello,Treatment ‐ New Water Treatment Plant,1860012‐1,12,13583,"$28,392,000.00"
88,Harris,Watermain ‐ Looping,1130005‐5,12,1065,"$500,000.00"
89,Harris,Source ‐ New Well,1130005‐6,12,1065,"$500,000.00"
90,Zimmerman,Source ‐ 2 New Wells,1710006‐7,12,5657,"$850,000.00"
91,Zimmerman,Treatment ‐ New Pressure Filter Plant,1710006‐8,12,5657,"$5,900,000.00"
92,Myrtle,Storage ‐ New Hydropneumatic Tank,1240015‐2,11,48,"$9,800.00"
93,Deerwood,"Storage ‐ Replace w/100,000 Gal Tower",1180012‐6,11,532,"$923,000.00"
94,Madelia,"Storage ‐ New 200,000 Gal Tower",1830004‐4,11,2319,"$1,170,000.00"
95,Waseca,Storage ‐ New 1MG West Side Tower,1810004‐4,11,9124,"$4,750,000.00"
96,Kandiyohi,"Storage ‐ Repl Tower w/75,000 Gal Tower",1340003‐4,11,554,"$1,449,000.00"
97,North Saint Paul,Storage ‐ 0.75 Composite Water Tower,1620011‐1,11,12406,"$3,600,000.00"
98,Zimmerman,Storage ‐ New 0.4 MG Tower,1710006‐9,11,5657,"$2,100,000.00"
99,Ortonville,Watermain ‐ Repl Various Areas ‐ Phase 2,1060008‐7,10,1910,"$3,000,000.00"
100,Cromwell,Watermain ‐ Repl TH 210/TH 73,1090007‐7,10,229,"$232,000.00"
101,Myrtle,Source ‐ New Pump & Generator,1240015‐1,10,48,"$58,500.00"
102,Myrtle,Watermain ‐ Replace Mains,1240015‐3,10,48,"$224,640.00"
103,Bigfork,Storage ‐ Tower Rehab,1310001‐8,10,446,"$489,600.00"
104,Bigfork,Conservation ‐ Replace Meters,1310001‐9,10,446,"$88,280.00"
105,Menahga,"Storage ‐ Repl w/100,000 Gal Tower",1800001‐2,10,1228,"$1,025,000.00"
106,Menahga,Watermain ‐ Main Street East Repl,1800001‐3,10,1228,"$458,430.00"
107,Menahga,Watermain ‐ First Street NW Repl,1800001‐4,10,1228,"$360,378.00"
108,Ogilvie,Watermain ‐ Repl E.Rutherford/Hill Ave,1330004‐3,10,359,"$765,000.00"
109,Floodwood,Watermain ‐ 5th Ave Repl,1690048‐2,10,501,"$338,375.00"
110,Floodwood,Watermain ‐ Repl 4 Inch Mains,1690048‐3,10,501,"$2,369,900.00"
111,Isle,Watermain ‐ Replacement,1480001‐5,10,745,"$2,469,800.00"
112,Isle,Source ‐ Improvements,1480001‐6,10,745,"$307,700.00"
113,Isle,Storage ‐ Tower Rehab,1480001‐7,10,745,"$294,500.00"
114,Northome,Watermain ‐ Repl Northeast Watermain,1360005‐6,10,202,"$1,483,250.00"
115,Northome,"Storage ‐ Replace w/50,000 Gallon Tower",1360005‐7,10,202,"$942,500.00"
116,Northome,"Conservation‐Repl Meters, Service Lines",1360005‐8,10,202,"$341,250.00"
117,Onamia,Storage ‐ Tower Rehab,1480003‐6,10,875,"$250,800.00"
118,Ironton,Treatment ‐ Replace Plant,1180017‐6,10,572,"$2,694,700.00"
119,Crosby,Watermain ‐ Phase 3 Improvements,1180008‐8,10,2312,"$3,670,000.00"
120,Deerwood,"Watermain ‐ Repl 4 inch Mains, Phase 3",1180012‐4,10,590,"$1,242,000.00"
121,Brainerd,Treatment ‐ Backwash Recovery,1180002‐1,10,13590,"$4,170,000.00"
122,Brainerd,Storage ‐ 2MG Ground Reservoir,1180002‐3,10,13590,"$5,992,000.00"
123,Clinton,Storage ‐ Tower Rehab,1060003‐3,10,450,"$235,600.00"
124,Cuyuna,Storage ‐ Replace with New Tower,1180011‐5,10,231,"$616,800.00"
125,Cuyuna,Watermain ‐ Replace for City,1180011‐6,10,231,"$1,273,155.00"
126,Cuyuna,Conservation ‐ Replace Meters,1180011‐7,10,231,"$55,650.00"
127,Dalton,"Storage ‐ New 50,000 Gal Tower",1560008‐5,10,256,"$830,000.00"
128,Cosmos,Watermain ‐ Repl ‐ Phase 1,1470011‐6,10,473,"$3,031,000.00"
129,Cosmos,Watermain ‐ Repl ‐ Phase 2,1470011‐7,10,473,"$2,100,000.00"
130,Walnut Grove,Watermain ‐ Replace Old Water Main,1640014‐1,10,685,"$833,500.00"
131,Cass Lake,Watermain ‐ Repl Various Areas,1110006‐5,10,750,"$588,326.00"
132,Bemidji,"Treatment ‐ New Plant ‐ Remove Fe/Mn,PFC",1040002‐1,10,15462,"$16,000,000.00"
133,Baudette,"Storage ‐ Repl w/50,000 Gal East Tower",1390001‐3,10,1084,"$650,000.00"
134,Elmore,Watermain ‐ Repl TH169,1220004‐3,10,663,"$722,645.00"
135,Wadena,Watermain ‐ Replace SW Portion of City,1800004‐4,10,4293,"$4,925,000.00"
136,Brainerd,Storage ‐ Ground Reservoir @ WTP,1180002‐4,10,13373,"$5,992,000.00"
137,Brainerd,Conservation ‐Bckwsh Collection & System,1180002‐5,10,13373,"$4,170,000.00"
138,Moose Lake,"Source ‐ Well #1 Rehab, New Well House",1090009‐3,10,1259,"$1,100,000.00"
139,Henning,Watermain ‐ Repl CIP on 2nd St.,1560016‐7,10,802,"$689,374.00"
140,Appleton,Watermain ‐ Water Distribution Imprvnts,1760001‐2,10,1412,"$8,950,000.00"
141,Marble,Storage ‐ Tower Replacement,1310023‐3,10,614,"$1,158,000.00"
142,Belview,Treatment ‐ New Plant,1640001‐2,10,360,"$2,097,000.00"
143,Belview,Storage ‐ Tower Rehab,1640001‐3,10,360,"$420,000.00"
144,Belview,Watermain ‐ Selective Replacements,1640001‐4,10,360,"$6,171,080.00"
145,Belview,Conservation ‐ Replace Meters,1640001‐5,10,360,"$100,000.00"
146,Erskine,Storage ‐ Remove Original Tower,1600005‐6,10,431,"$58,000.00"
147,Erskine,Watermain ‐ Replace 1947 Lines,1600005‐7,10,431,"$1,179,150.00"
148,Sacred Heart,Treatment ‐ RO to Address Chlorides,1650013‐3,10,548,"$2,800,000.00"
149,Sebeka,"Treatment ‐ New Plant, Remove Iron",1800002‐7,10,710,"$1,750,000.00"
150,Ely,Watermain ‐ Repl Various Areas,1690014‐3,10,3616,"$700,000.00"
151,Ely,Watermain ‐ Raw Water Intake/WM Repl,1690014‐4,10,3616,"$2,645,000.00"
152,Ely,Watermain ‐ Water Plant to Tower,1690014‐5,10,3616,"$270,000.00"
153,Middle River,Conservation ‐ Repl Meters,1450006‐4,10,309,"$119,400.00"
154,Darwin,Watermain ‐ Replace Main,1470002‐2,10,244,"$922,000.00"
155,Darwin,Conservation ‐ Install Meters,1470002‐3,10,244,"$140,000.00"
156,Mahnomen,Other ‐ Backup Generators,1440002‐10,10,1222,"$220,500.00"
157,Mahnomen,Watermain ‐ Replace Various Areas,1440002‐8,10,1222,"$5,715,130.00"
158,Mahnomen,Source ‐ Upgrade Well #4,1440002‐9,10,1222,"$208,000.00"
159,Eagle Bend,Watermain ‐Phase 5,1770004‐8,10,519,"$1,164,000.00"
160,Brooten,"Treatment ‐ New Plant, Remove Fe/Mn",1730005‐6,10,647,"$2,000,000.00"
161,Middle River,"Storage ‐ Replace 50,000 Gal Tower",1450006‐3,10,309,"$910,000.00"
162,Ada,Watermain ‐ Repl Various Areas,1540001‐3,10,1709,"$1,800,000.00"
163,Heron Lake,"Storage ‐ Replace 100,000 Gal Tower",1320002‐3,10,691,"$800,000.00"
164,McKinley,Storage ‐ Tower Improvements,1690033‐2,10,134,"$402,000.00"
165,McKinley,Watermain ‐ Gran Ave. Improvements,1690033‐3,10,110,"$380,000.00"
166,Ostrander,"Storage ‐ New 50,000 Gal Tower",1230008‐1,10,256,"$758,100.00"
167,Dawson,Watermain ‐ Replacement ‐ Phase 2,1370003‐5,10,1540,"$7,002,090.00"
168,Dawson,Conservation ‐ New Meters,1370003‐7,10,1540,"$486,040.00"
169,Bagley,Treatment ‐ Plant Rehab,1150001‐3,10,1398,"$143,525.00"
170,Bagley,Storage ‐ tower rehab,1150001‐4,10,1398,"$546,354.00"
171,Bagley,Watermain ‐ Distribution Replacement,1150001‐5,10,1398,"$7,465,513.00"
172,Riverton,Watermain ‐ Replace,1180025‐4,10,114,"$104,000.00"
173,Buhl,Storage ‐ Elevated Water & Storage Tank,1690006‐1,10,963,"$1,183,300.00"
174,Eden Valley,Watermain ‐ Repl North & East,1470012‐6,10,1042,"$2,562,100.00"
175,Henning,Watermain ‐ Inman St. Underground Imprvm,1560016‐8,10,853,"$405,000.00"
176,Albert Lea,Treatment ‐ Nitrification Solution,1240001‐3,10,18016,"$700,000.00"
177,Waubun,"Storage ‐ Repl w/100,000 Gallon Tower",1440004‐1,10,388,"$635,000.00"
178,Pipestone,Watermain ‐ Connect Well #5 to WTP,1590005‐6,10,4317,"$909,777.00"
179,Pipestone,Watermain ‐ Repl 2nd St. SE,1590005‐7,10,4317,"$1,429,364.00"
180,Pelican Rapids,Storage ‐ Recoat Water Tower,1560019‐3,10,2374,"$500,000.00"
181,Starbuck,Storage ‐ Tank Rehab,1610008‐4,10,1274,"$92,400.00"
182,Herman,Source ‐ New Well #2/Rehab #1,1260005‐2,10,425,"$200,000.00"
183,Herman,Storage ‐ Replace Elevated Tower,1260005‐3,10,425,"$750,000.00"
184,Herman,Watermain ‐ Loop and Replace,1260005‐4,10,425,"$580,000.00"
185,Rushmore,Watermain ‐ Connection to LPRWS,1530009‐4,10,342,"$1,375,900.00"
186,Rushmore,"Storage ‐ New 50,000 Gal Tower",1530009‐5,10,342,"$1,363,000.00"
187,Pipestone,Watermain ‐ Replace NE Area ‐ Phase 3,1590005‐10,10,4317,"$801,894.00"
188,Pipestone,Other ‐ Lead Service Line Replacement,1590005‐11,10,4317,"$60,000.00"
189,Pipestone,Watermain ‐ Replace NE Area ‐ Phase 1,1590005‐8,10,4317,"$935,543.00"
190,Pipestone,Watermain ‐ Replace NE Area ‐ Phase 2,1590005‐9,10,4317,"$935,543.00"
191,Sandstone,Treatment ‐ Plant Rehab,1580010‐4,10,1549,"$270,000.00"
192,Little Falls,Treatment ‐ Phase 1‐ Filter Rehab,1490002‐5,10,8797,"$1,400,000.00"
193,Little Falls,Treatment ‐ Phase 2 ‐ Reclaim Tank Rehab,1490002‐6,10,8797,"$1,300,000.00"
194,Little Falls,Treatment ‐ Phase 3 ‐ Plant Rehab,1490002‐7,10,8797,"$280,500.00"
195,Tracy,Watermain ‐ Loop and Replace,1420010‐4,10,2179,"$5,413,000.00"
196,Boyd,Storage ‐ Tower Rehab,1370002‐2,10,175,"$701,000.00"
197,Boyd,Watermain ‐ Repl,1370002‐3,10,175,"$2,831,000.00"
198,Boyd,Conservation ‐  Repl Meters,1370002‐4,10,175,"$202,000.00"
199,Frazee,Watermain ‐ Repl Maple Ave to 2nd St.,1030014‐4,10,1410,"$506,000.00"
200,Clarkfield,Other ‐ Connect to Lincoln Pipestone RWS,1870002‐7,10,841,"$2,700,000.00"
201,Houston,"Watermain ‐ Jackson, Lincoln, Spruce Sts",1280005‐4,10,980,"$556,000.00"
202,Nielsville,Storage ‐ Repl Tower,1600012‐4,10,89,"$1,424,097.00"
203,Nielsville,Conservation ‐ Repl Water Meters,1600012‐5,10,89,"$89,592.00"
204,Mabel,Watermain ‐ Repl Various Street,1230007‐2,10,747,"$1,550,000.00"
205,Saint James,Watermain ‐ Repl 11th St.,1830006‐7,10,4611,"$1,108,680.00"
206,Hendrum,"Storage ‐ Repl 50,000 Gal Tower",1540004‐3,10,307,"$1,430,000.00"
207,Rush City,Watermain ‐ Replace for TH 361,1130013‐5,10,3058,"$1,006,284.00"
208,Crosby,Watermain ‐ Phase 4 Improvements,1180008‐10,10,2749,"$2,774,300.00"
209,Crosby,Watermain ‐ Phase 5 Improvements,1180008‐11,10,2749,"$2,835,700.00"
210,Crosby,Watermain ‐  Water Distribution Imprvmts,1180008‐9,10,2749,"$3,775,700.00"
211,Bovey,Conservation ‐ Repl Meters,1310003‐2,10,802,"$240,000.00"
212,LaSalle,Conservation ‐ Repl Meters,1830009‐4,10,90,"$85,000.00"
213,Pelican Rapids,Watermain ‐ TH59 and TH108,1560019‐8,10,2487,"$3,500,000.00"
214,Lanesboro,Watermain ‐ Repl TH250,1230006‐3,10,788,"$1,261,898.00"
215,Lanesboro,Watermain ‐ Repl Kirkwood St.,1230006‐4,10,788,"$641,608.00"
216,Lanesboro,Watermain ‐ Repl Various Streets,1230006‐5,10,788,"$546,555.00"
217,Braham,Watermain ‐ Repl Various Areas,1300001‐3,10,1800,"$11,950,000.00"
218,Askov,Conservation ‐ Replace Meters,1580001‐6,10,364,"$67,500.00"
219,Detroit Lakes,Watermain ‐Repl Willow/Holmes/Frazee Sts,1030005‐4,10,9200,"$2,020,500.00"
220,Detroit Lakes,Watermain ‐Repl Campbell Ave/Linden Ln,1030005‐5,10,9200,"$970,000.00"
221,Winton,Source ‐ Pumphouse,1690057‐2,10,116,"$134,500.00"
222,Winton,Storage ‐ Vault Improvements,1690057‐3,10,116,"$156,000.00"
223,Winton,Watermain ‐ Repl ‐ 4 Zones,1690057‐4,10,116,"$3,481,400.00"
224,Duluth,Other ‐ Rehab Middle Booster Station,1690011‐10,10,85915,"$3,847,531.00"
225,New York Mills,Watermain ‐ CSAH 84 to Cornwell Ave,1560017‐7,10,1307,"$984,600.00"
226,New York Mills,Watermain ‐ Various City Street,1560017‐8,10,1307,"$1,576,000.00"
227,Mankato,Storage ‐ Repl West Reservoir,1070009‐8,10,42803,"$2,770,000.00"
228,Caledonia,Source ‐ Well House #8,1280002‐4,10,2824,"$1,286,324.00"
229,Randall,Watermain ‐ Water System Improvements,1490005‐2,10,625,"$2,500,000.00"
230,Lake Park,Treatment ‐ Plant Rehab,1030016‐3,10,797,"$505,432.00"
231,Lake Park,Watermain ‐ Repl 2nd Street,1030016‐4,10,797,"$812,518.00"
232,Lake Park,Conservation ‐ Repl Water Meters,1030016‐5,10,797,"$382,049.00"
233,Blue Earth,Treatment ‐ RO for Softening,1220001‐4,10,3138,"$7,596,000.00"
234,Blue Earth,Source ‐ Well Rehab,1220001‐5,10,3138,"$200,000.00"
235,Eveleth,Watermain ‐Rosvlt & Dgls Aves Water Repl,1690018‐9,10,3609,"$472,794.00"
236,Sebeka,Watermain ‐ Rep. CIP ‐ Phase 2,1800002‐11,10,676,"$1,080,000.00"
237,Sebeka,Watermain ‐ Repl CIP ‐ Phase 3,1800002‐12,10,676,"$718,000.00"
238,Sebeka,Watermain ‐ Repl CIP ‐ Phase 4,1800002‐13,10,676,"$877,000.00"
239,Sebeka,Conservation ‐ Automated Meter Reading,1800002‐14,10,676,"$250,000.00"
240,Sebeka,Source ‐ New Wellhouse,1800002‐9,10,676,"$750,000.00"
241,Morgan,Storage ‐ Tower Rehab,1640006‐5,10,896,"$407,000.00"
242,Annandale,"Watermain ‐ Repl Oak, Park, Pleasant",1860002‐6,10,3334,"$2,354,548.00"
243,Perham,"Watermain‐Repl 1st Ave N,4th & 5th St SW",1560023‐9,10,3421,"$1,270,000.00"
244,Sacred Heart,Treatment ‐ Plant Rehab,1650013‐4,10,608,"$4,300,000.00"
245,Sacred Heart,Storage ‐ Tower Rehab,1650013‐5,10,608,"$913,000.00"
246,Claremont,Storage ‐ Tower Rehab,1200001‐3,10,538,"$370,500.00"
247,Danube,Watermain ‐ Repl Cast Iron Mains,1650004‐3,10,493,"$5,500,000.00"
248,Danube,Conservation ‐ Replace Meters,1650004‐5,10,493,"$290,000.00"
249,Sanborn,Conservation ‐ Water Meter Improvements,1640011‐3,10,361,"$170,000.00"
250,Sanborn,Storage ‐ Water Tower Improvements,1640011‐4,10,361,"$420,000.00"
251,Kiester,Watermain ‐ Distribution Improvements,1220008‐3,10,549,"$5,231,330.00"
252,Kiester,Storage ‐ Tank Improvements,1220008‐4,10,549,"$585,000.00"
253,Kiester,Treatment ‐ Plant Improvements,1220008‐5,10,549,"$6,102,330.00"
254,Edgerton,Watermain ‐ Repl Cast Iron Mains,1590001‐2,10,1171,"$8,000,000.00"
255,Saint Paul RWS,Treatment ‐ Process Imp.(McCarrons),1620026‐22,10,385796,"$160,000,000.00"
256,Ortonville,Watermain ‐ Multiple Areas,1060008‐8,10,1984,"$5,213,000.00"
257,Detroit Lakes,Storage ‐ 2.0 MG Elevated Storage Tank,1030005‐6,10,9197,"$4,500,000.00"
258,Duluth,Other ‐ Rehab Woodland Booster Station,1690011‐11,10,85915,"$3,051,300.00"
259,Hanska,Source ‐ Replace Well #1 with #4,1080002‐1,10,419,"$255,000.00"
260,Hanska,Watermain ‐ Repl Transite Main ‐ Phase 2,1080002‐6,10,419,"$2,335,000.00"
261,Wood Lake,Watermain ‐ Repl Cast Iron & AC Mains,1870008‐4,10,439,"$3,850,000.00"
262,Wood Lake,Storage ‐ Repl Tower,1870008‐5,10,439,"$1,300,000.00"
263,Wood Lake,Other ‐ Lead Service Line Repl,1870008‐6,10,439,"$105,000.00"
264,Red Lake Falls,Other ‐ Replace Lead Service Lines,1630003‐5,10,1372,"$1,190,696.00"
265,Lake Wilson,Storage ‐ Tank Rehab,1510008‐2,10,222,"$590,000.00"
266,Warren,Watermain ‐ Repl 4th St. to Ross St.,1450012‐5,10,1562,"$520,000.00"
267,Bellingham,Storage ‐ Replace Tower,1370001‐2,10,168,"$900,000.00"
268,Bellingham,Watermain ‐ Repl CIP,1370001‐3,10,168,"$374,000.00"
269,Bellingham,Conservation ‐ Install Meters,1370001‐4,10,168,"$285,000.00"
270,Winnebago,Storage ‐ Water Tank Rehabilitation,1220011‐3,10,1417,"$585,000.00"
271,Willernie,Watermain ‐ Repl CSAH 12,1820022‐1,10,507,"$417,743.00"
272,South Haven,Watermain ‐Repl portions of distribution,1860021‐4,10,179,"$3,413,000.00"
273,South Haven,Storage ‐ Replace Tower,1860021‐5,10,179,"$1,471,000.00"
274,South Haven,Conservation ‐ Replace Water Meters,1860021‐6,10,179,"$133,000.00"
275,Sauk Rapids,Watermain ‐ Replacement,1050004‐1,10,13083,"$269,663.00"
276,Sauk Rapids,Other ‐ Lead Service Line Repl ‐ Public,1050004‐2,10,13083,"$236,925.00"
277,Sauk Rapids,Other ‐ Lead Service Line Repl ‐ Private,1050004‐3,10,13083,"$210,600.00"
278,Russell,Other ‐ Repl Lead Service Lines,1420008‐3,10,338,"$105,000.00"
279,Waubun,Storage ‐ Water Tower Rehabilitation,1440004‐4,10,433,"$418,500.00"
280,Foley,Source ‐ New Well #6 & Seal Well #4,1050001‐3,10,2708,"$193,700.00"
281,Duluth,Other‐Private LSL Repl ‐ Phase  1,1690011‐12,10,85915,"$560,000.00"
282,Duluth,Other‐Public LSL Repl ‐ Phase  1,1690011‐13,10,85915,"$560,000.00"
283,Campbell,Source ‐ New Well & Seal Well No. 1,1840003‐1,10,159,"$187,620.00"
284,Royalton,Watermain ‐ Repl Cedar St./Driftwood St.,1490006‐7,10,1236,"$1,379,000.00"
285,Royalton,Other ‐ Lead Service Lines Repl,1490006‐8,10,1236,"$250,000.00"
286,Kennedy,"Storage ‐ Booster Stat., Gen. Demo Tower",1350003‐4,10,165,"$1,925,500.00"
287,Sherburn,Watermain  ‐ Replace Existing & Add Loop,1460007‐3,10,1033,"$927,430.00"
288,Dassel,Watermain ‐ First St. Main Replacement,1470003‐9,10,1506,"$941,440.00"
289,Hokah,Source ‐ Phase 1 ‐ Upgrade Wells & Reser,1280004‐2,10,649,"$976,000.00"
290,Hokah,Source ‐ Construction Well No. 3,1280004‐3,10,649,"$538,000.00"
291,Hokah,Watermain ‐ Distribution System Imp.,1280004‐6,10,649,"$3,368,826.00"
292,New London,Watermain ‐ Distribution Improvements,1340005‐5,10,1197,"$1,253,550.00"
293,Comfrey,Watermain ‐ Replace Cast Iron Main,1080001‐5,10,360,"$1,678,000.00"
