System Name,"MDH2022PPLRank","MDH2022PPLPoints",Project Description,"ProjectNumber",Population,"Est.ConstStart","EstimatedProject Cost","EstimatedDWRF Loan","Est DWRFPrincipalForgivenessNOT FINAL(1)","Estimated WIFGrantNOT FINAL(2)","Other Funds(3)",Status
Zimmerman,98,11,Storage - New 0.4 MG Tower,1710006-9,"5,657",Apr-22,"2,100,000","2,100,000",-,-,-,Part B
Ortonville,99,10,Watermain - Repl Various Areas - Phase 2,1060008-7,"1,910",May-22,"3,000,000","3,000,000",-,-,-,Part B
Menahga,105,10,"Storage - Repl w/100,000 Gal Tower",1800001-2,"1,228",May-22,"1,025,000","1,025,000",-,-,-,Part B
Appleton,140,10,Watermain - Water Distribution Imprvnts,1760001-2,"1,412",May-22,"8,950,000","8,950,000",-,-,-,Part B
Eagle Bend,159,10,Watermain - Phase 5 St & Utility Project,1770004-8,519,May-22,"1,164,000","1,164,000",-,-,-,Part B
Bagley,169,10,Treatment - Plant Rehab,1150001-3,"1,398",May-22,"143,525","143,525",-,-,-,Part B
Bagley,170,10,Storage - tower rehab,1150001-4,"1,398",May-23,"546,354","546,354",-,-,-,Part B
Bagley,171,10,Watermain - Distribution Replacement,1150001-5,"1,398",Sep-21,"7,465,513","7,465,513",-,-,-,Part B
Buhl,173,10,Storage - Elevated Water & Storage Tank,1690006-1,963,May-22,"1,183,300","1,183,300",-,-,-,Part B
Henning,175,10,Watermain - Inman St. Underground Imprv,1560016-8,853,Jun-22,"405,000","405,000",-,-,-,Part B
Pipestone,188,10,Other - Lead Service Line Replacement,1590005-11,"4,317",May-22,"60,000","30,000","30,000",-,-,Part B
Pipestone,189,10,"Watermain - Repl, NE Area ph 1",1590005-8,"4,317",May-22,"935,543","935,543",-,-,-,Part B
Crosby,210,10,Watermain -  Water Distribution Imprvmts,1180008-9,"2,749",Jun-22,"3,775,700","3,775,700",-,-,-,Part B
Braham,217,10,Watermain - Repl Various Areas,1300001-3,"1,800",May-22,"11,950,000","11,950,000",-,-,-,Part B
Askov,218,10,Conservation - Replace Meters,1580001-6,364,May-22,"67,500","67,500",-,-,-,Part B
Detroit Lakes,220,10,Watermain -Repl Campbell Ave/Linden Ln,1030005-5,"9,200",Jun-22,"970,000","970,000",-,-,-,Part B
Lake Park,230,10,Treatment - Plant Rehab,1030016-3,797,May-22,"505,432","350,000",-,-,-,Part B
Lake Park,231,10,Watermain - Repl 2nd Street,1030016-4,797,May-22,"812,518","444,725",-,-,-,Part B
Lake Park,232,10,Conservation - Repl Water Meters,1030016-5,797,May-22,"382,049","264,560",-,-,-,Part B
Blue Earth,233,10,Treatment - RO for Softening,1220001-4,"3,138",Jul-22,"7,396,000","7,396,000",-,-,-,Part B
Blue Earth,234,10,Source - Well Rehab,1220001-5,"3,138",Jul-22,"200,000","200,000",-,-,-,Part B
Eveleth,235,10,Watermain -Rosvlt & Dgls Aves Water Repl,1690018-9,"3,609",May-22,"472,794","472,794",-,-,-,Part B
Perham,243,10,Watermain-Repl 1st Ave N;4th & 5th St SW,1560023-9,"3,421",May-22,"1,270,000","1,270,000",-,-,-,Part B
Saint Paul RWS 3,255,10,Treatment - Process Imp.(McCarrons),1620026-22,"385,796",May-22,"160,000,000","45,000,000",-,-,-,Part B
Ortonville,256,10,Watermain - Multiple Areas,1060008-8,"1,984",May-22,"5,213,000","5,213,000",-,-,-,Part B
Detroit Lakes,257,10,Storage - 2.0 MG Elevated Storage Tank,1030005-6,"9,197",Jun-22,"4,500,000","4,500,000",-,-,-,Part B
Duluth,258,10,Other - Rehab Woodland Booster Station,1690011-11,"85,915",May-22,"3,051,300","3,051,300",-,-,-,Part B
Warren,266,10,Watermain - Repl 4th St. to Ross St.,1450012-5,"1,562",May-22,"520,000","520,000",-,-,-,Part B
Winnebago,270,10,Storage - Water Tank Rehabilitation,1220011-3,"1,417",Jun-22,"585,000","585,000",-,-,-,Part B
Sauk Rapids,275,10,Watermain - Replacement,1050004-1,"13,083",May-22,"269,663","269,663",-,-,-,Part B
Sauk Rapids,276,10,Other - Lead Service Line Repl - Public,1050004-2,"13,083",May-22,"236,925","236,925",-,-,-,Part B
Sauk Rapids,277,10,Other - Lead Service Line Repl - Private,1050004-3,"13,083",May-22,"210,600","105,300","105,300",-,-,Part B
Duluth,281,10,"Other - Private LSL Repl, Phase  1",1690011-12,"85,915",May-22,"560,000","310,000","250,000",-,-,Part B
Duluth,282,10,"Other - Public LSL Repl, Phase  1",1690011-13,"85,915",May-22,"560,000","560,000",-,-,-,Part B
Royalton,285,10,Other - Lead Service Line Replacement,1490006-8,"1,236",May-22,"250,000","125,000","125,000",-,-,Part B
Sherburn,287,10,Watermain  - Replace Existing & Add Loop,1460007-3,"1,033",May-22,"927,430","927,430",-,-,-,Part B
Dassel,288,10,Watermain - First St. Main Replacement,1470003-9,"1,506",Jun-22,"941,440","941,440",-,-,-,Part B
New London,292,10,Watermain - Distribution Improvements,1340005-5,"1,197",Jun-22,"1,253,550","1,253,550",-,-,-,Part B
Clara City,299,10,Watermain -  Distribution Improvements,1120001-5,"1,402",Jun-22,"10,672,204","10,672,204",-,-,-,Part B
Hector,305,10,Watermain - Replacement,1650009-6,"1,127",May-22,"1,292,000","1,292,000",-,-,-,Part B
Saint Paul Regional Water,325,10,Other - Lead Service Replacement Round,1620026-24,"304,547",Apr-22,"500,000",-,"250,000",-,-,Part B
Montrose,339,10,Treatment - Remove Fe/Mn,1860016-5,"3,182",Oct-22,"10,625,000","10,625,000",-,-,-,Part B
Jordan,341,10,Storage -Tower Imprvmnts & Booster Reha,1700003-3,"6,230",Mar-22,"4,800,000","4,800,000",-,-,-,Part B
Harris,342,10,Storage - Tower Rehab,1130005-4,"1,065",Oct-21,"320,000","320,000",-,-,-,Part B
Mound,343,10,Treatment - New Plant,1270038-1,"9,480",Jun-22,"18,160,000","6,700,000",-,-,-,Part B
Willmar,353,7,Treatment - Biological Filtration NE TP,1340016-1,"19,610",Jan-22,"21,100,000","13,300,000",-,-,-,Part B
Litchfield,371,7,Treatment - Rehab Plant,1470008-7,"6,671",Dec-21,"2,700,000","2,700,000",-,-,-,Part B
Saint Augusta,396,7,Treatment - New Fe/Mn Plant & Wells,1730063-6,"1,425",May-22,"7,548,900","7,548,900",-,-,-,Part B
Rosemount,398,7,Treatment - New Fe/Mn/Ra Plant,1190019-2,"22,445",May-22,"20,218,000","6,700,000",-,-,-,Part B
Ramsey,399,7,Treatment - Plant Improvements,1020035-6,"14,252",Jul-22,"32,400,000","12,200,000",-,-,-,Part B
