Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,CODES,List
18328,Clinton,PLATTSBURGH (C) / Plattsburgh (C),"Phase 1 WTP, Source, Transmission, and Distribution Upgrades., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System","18,000",$0,H,"$23,825,000",,Annual
19242,Wyoming,GARDEAU WATER DISTRICT / Castile (T),"Gardeau WD main replacement and district extension, Upgrade Distribution System, Extend Water District",60,$0,H,"$23,825,000",,Annual
18768,Steuben,CAMPBELL WATER DISTRICT / Campbell (T),"WD #1 Extension., New Ground Water Source, New System Consolidation",280,$0,H,"$23,825,000",,Annual
18575,Washington,GREENWICH VILLAGE / Greenwich (V),"Mn Treatment, Replace Existing Wells , Replace Transm Main, Water Metering., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System","2,000","$11,000,000",H,"$34,825,000",,Annual
18127,Seneca,INTERLAKEN VILLAGE / Interlaken (V),"Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",650,$0,H,"$34,825,000",,Annual
18803,Delaware,HOBART VILLAGE / Hobart (V),"Upgrade Water Treatment Plant, New Ground Water Source",370,$0,H,"$34,825,000",,Annual
19525,Chautauqua,CLYMER (T) / Clymer (T),"New Well, New Storage Tank, and Replacement of WM, New Ground Water Source, Upgrade Distribution System",545,$0,H,"$34,825,000",,Annual
18898,Wyoming,PERRY VILLAGE / Perry (V),"WTP upgrade to Address DBPs. Short Term Alternative 1., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Storage","3,945",$0,H,"$34,825,000",BGS,Annual
18715,Herkimer,FRANKFORT (V) WATER WORKS / Frankfort (V),"Distribution System Improvements and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., New Transmission, Upgrade Distribution System, New System Consolidation","2,995",$0,H,"$34,825,000",,Annual
18846,Otsego,RICHFIELD SPRINGS (V) / Richfield Springs (V),"Address SWTR Compliance and DBPs, SCADA/electrical upgrades, Distribution replacement and looping, Upgrade Water Treatment Plant, New Pump Station, New Distribution System","1,500","$20,680,000",H,"$55,505,000",BGS,Annual
18915,Onondaga,CARDIFF WATER DISTRICT / LaFayette (T),"Cardiff Water District Improvements and Consolidation Project, New Storage, New Inter-Connection",70,"$5,734,000",H,"$61,239,000",,Annual
19814,Albany,RENSSELAERVILLE WATER DISTRICT / Rensselaerville (T),"Replacement of the WTP due to DBP violations and poor water quality., Upgrade Water Treatment Plant",200,"$3,080,100",H,"$64,319,100",,Annual
18270,Essex,CHILSON-EAGLE LAKE WD / Ticonderoga (T),"Chilson-Eagle Lake SWTR Compliance Project., New Surface Water Treatment Rule Compliance Facility, New Ground Water Source, Upgrade Distribution System",200,"$14,000,000",H,"$78,319,100",,Annual
18860,Herkimer,HERKIMER (V) / Herkimer (V),"High Priority System Upgrades and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., Upgrade Storage, Upgrade Distribution System, New Inter-Connection","7,606","$17,498,670",H,"$95,817,770",,Annual
18289,Oneida,ROME CITY / Rome (C),"NW Rome Re-Phase 3 Water Project., New Storage, New Pump Station, New Distribution System","32,000","$11,235,000",H,"$107,052,770",,Annual
19258,Franklin,TUPPER LAKE (V) / Tupper Lake (V),"Tupper Lake Intake and WTP Rehab. , Upgrade Water Treatment Plant, Upgrade Surface Water Source","5,500","$12,897,900",H,"$119,950,670",,Annual
19182,Oneida,TRENTON (T) / Trenton (T),"Hamlet of Barneveld distribution and storage improvements and MVWA connection, Upgrade Storage, Upgrade Distribution System",300,"$11,113,000",H,"$131,063,670",,Annual
19760,Lewis,CROGHAN (V) / Croghan (V),"Water System Improvements Project, Upgrade Transmission, Upgrade Distribution System, New Water District",900,"$10,197,000",H,"$141,260,670",,Annual
18213,Monroe,ROCHESTER CITY / Rochester (C),"Cover Highland Reservoir, Upgrade Storage","214,000","$7,200,000",H,"$148,460,670",,Annual
19781,Cattaraugus,CATTARAUGUS (V) / Cattaraugus (V),"New Well Source, Replace WM, Valves and Controls, New Ground Water Source, Upgrade Distribution System","1,185","$10,788,220",H,"$159,248,890",,Annual
19828,Washington,ARGYLE (V) / Argyle (V),"Upgrade Source, Rehab Storage, Upgrade Distribution, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",725,"$14,800,000",H,"$174,048,890",,Annual
19140,Jefferson,WATERTOWN WD #3 & #4 / Watertown (T),"System Water Looping to address disinfection byproducts and consolidate Northland Estates and Pine Meadows PWS, Upgrade Distribution System",660,"$10,135,200",H,"$184,184,090",,Annual
18711,Herkimer,EAST SCHUYLER WD / Schuyler (T),"New Distribution System and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., New Transmission, New Distribution System, New System Consolidation",816,"$7,391,280",H,"$191,575,370",,Annual
19830,Clinton,PERU (T) / Peru (T),"Upgrade Water Treatment Plant, New Ground Water Source, New Storage","6,772","$9,400,000",H,"$200,975,370",,Annual
19240,Jefferson,WEST CARTHAGE (V) / West Carthage (V),"New storage tanks, distribution & transmission improvements, WTP improvements, Upgrade Water Treatment Plant, Upgrade Transmission, New Storage, Upgrade Distribution System","5,016","$21,945,180",H,"$222,920,550",,Annual
18911,Jefferson,LERAY TOWN WD 2 / LeRay (T),"Consolidated Water District Extension along NYS Rt. 11 and former WD #3. Carey Well improvements, New Ground Water Source, Upgrade Distribution System, New Distribution System","2,500","$4,000,000",H,"$226,920,550",,Annual
18716,Herkimer,WEST HERKIMER WD EXT NO. 1 / Herkimer (T),"WD Ext 1 and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., New Transmission, New Distribution System, New System Consolidation",150,"$1,839,580",H,"$228,760,130",,Annual
19552,Allegany,FRIENDSHIP (T) / Friendship (T),"Distribution, Source and Treatment Upgrades, Upgrade Ground Water Source, Upgrade Distribution System","1,400","$12,450,000",H,"$241,210,130",,Annual
19785,Chautauqua,ELLICOTT (T) / Ellicott (T),"Extend Water Service Area in Fluvanna, Upgrade Distribution System",635,"$10,300,000",H,"$251,510,130",,Annual
18090,Dutchess,REVERE PARK (E.FISH.WD#2) / East Fishkill (T),"Interconnection of Hopewell West and Revere Park with Hopewell Hamlet via Fishkill Plains., New Distribution System, Upgrade Distribution System, New Inter-Connection",280,$0,1205,"$251,510,130",,Annual
18720,Onondaga,ELBRIDGE (V) / Elbridge (V),"Village's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades. Related to Project Nos. 18719 &18721., Upgrade Storage, Upgrade Distribution System, New System Consolidation","1,100","$3,500,000",1180,"$255,010,130",,Annual
18719,Onondaga,ELBRIDGE (T) / Elbridge (T),"Town's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades. Related to Project Nos. 18720 &18721., Upgrade Storage, Upgrade Distribution System, New System Consolidation","1,000","$5,000,000",1180,"$260,010,130",,Annual
19529,Chautauqua,MAYVILLE (V) / Mayville (V),"New Well, New Treatment System, Replace Watermain, New Ground Water Source, Upgrade Distribution System","2,000",$0,1115,"$260,010,130",BGS,Annual
18746,Livingston,LIVINGSTON COUNTY WSA / Livingston County WSA,"Disinfection byproduct removal, new meters and SCADA, storage tank replacement, system consolidation., Upgrade Storage, Upgrade Distribution System, New System Consolidation","7,975","$2,750,000",1105,"$262,760,130",,Annual
18448,Montgomery,FONDA (V) WATER WORKS / Fonda (V),"Water system improvements, Upgrade Surface Water Treatment Rule Compliance Facility, Upgrade Transmission, Upgrade Storage","1,080",$0,1095,"$262,760,130",,Annual
19506,Greene,ATHENS (V) / Athens (V),"Surface Water Treatment Plant Rehabilitation, Upgrade Surface Water Treatment Rule Compliance Facility","1,586",$0,1095,"$262,760,130",,Annual
18772,Chautauqua,CHAUTAUQUA HEIGHTS WATER DISTRICT / Chautauqua (T),"WD No. 2 Alternative Water Supply., New Ground Water Source",174,$0,1095,"$262,760,130",BGS,Annual
18577,Saratoga,MECHANICVILLE CITY / Mechanicville (C),"Filtration Upgrades., Upgrade Water Treatment Plant","5,100","$100,000",1095,"$262,860,130",,Annual
19521,Lewis,PORT LEYDEN (V) / Port Leyden (V),"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System",704,$0,1095,"$262,860,130",BGS,Annual
18376,Oswego,RT 11 NORTH/FULLER RD WD PHASE E / Hastings (T),New Distribution System,"1,500",$0,1095,"$262,860,130",,Annual
18173,Jefferson,BROWNVILLE (T) / Brownville (T),"(T) Brownville WD#2., New Distribution System",424,$0,1095,"$262,860,130",,Annual
16510,Schenectady,DELANSON (V) / Delanson (V),"Address Stage 2 DBPR Violation., Upgrade Water Treatment Plant",335,$0,1090,"$262,860,130",,Annual
18982,Essex,WILLSBORO WD / Willsboro (T),"Phase I - new WTP, intake improvements, pump station upgrades., New Water Treatment Plant, New Storage, Upgrade Distribution System","1,571","$12,157,962",1090,"$275,018,092",,Annual
18764,Greene,CATSKILL (V) / Catskill (V),"WTP improvements to control DBPs and replace water mains on Main Street. , Upgrade Water Treatment Plant, Upgrade Distribution System","4,081",$0,1090,"$275,018,092",,Annual
18939,St.Lawrence,HERMON WATER DISTRICT NO. 1 / Hermon (T),"Source and WTP improvements, and replacement of entire distribution system for WD #1., Upgrade Water Treatment Plant, New Ground Water Source, New Transmission, New Distribution System","1,060",$0,1090,"$275,018,092",BGS,Annual
19051,Allegany,SCIO WATER DISTRICT / Scio (T),"Water Storage Tank Replacement and Water System Improvements, Upgrade Storage, Upgrade Distribution System",900,$0,1090,"$275,018,092",BGS,Annual
18985,Orange,BLOOMING GROVE WD #1-WORLEY HE / South Blooming Grove (V),"Phase 1 Improvements - Two new wells, water main replacement, new pump station, new storage tank, New Ground Water Source, New Storage, New Pump Station, Upgrade Distribution System","1,500",$0,1085,"$275,018,092",,Annual
18583,Orange,PINE BUSH WATER DISTRICT / Crawford (T),"Develop new groundwater source, construction of new treatment building and installation of 8,700 ft of water main., New Water Treatment Plant, New Ground Water Source, New Transmission","7,000",$0,1085,"$275,018,092",,Annual
18242,Yates,DRESDEN (V) / Dresden (V),"THM removal aeration equipment and flushing hydrants, Upgrade Storage",700,$0,1085,"$275,018,092",,Annual
18197,Otsego,ONEONTA CITY / Oneonta (C),"WTP, Distribution, and Storage Upgrades., Upgrade Water Treatment Plant, New Storage","15,779",$0,1085,"$275,018,092",BGS,Annual
18126,Jefferson,BROWNVILLE (V) / Brownville (V),"Replace Severely Aged Distribution Mains and Tank., New Storage, Upgrade Distribution System","2,200",$0,1085,"$275,018,092",BGS,Annual
18843,Cattaraugus,PORTVILLE (V) / Portville (V),"Well, treatment, storage, and distribution upgrades., Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,050","$1,822,315",1085,"$276,840,407",BGS,Annual
17299,Albany,RAVENA VILLAGE / Ravena (V),"Source, WTP, Storage, and Distribution Improvements., Upgrade Water Treatment Plant, Upgrade Surface Water Source, Upgrade Storage, Upgrade Distribution System","4,500",$0,1080,"$276,840,407",,Annual
19337,Nassau,PORT WASHINGTON WD / Port Washington WD,"Installation of GAC treatment to remove PFAS at Hewlett Well No. 4, Upgrade Water Treatment Plant","30,000",$0,1080,"$276,840,407",BEC,Annual
18942,Rockland,SUFFERN (V) / Suffern (V),"PFAS Removal, Upgrade Water Treatment Plant","11,000",$0,1080,"$276,840,407",,Annual
19215,Wayne,NEWARK VILLAGE / Newark (V),"New 4.0 MG storage tank to replace Allerton Reservoir, New Storage","9,682","$2,315,000",1080,"$279,155,407",BGS,Annual
18548,Lewis,HAMLET OF GLENFIELD WATER DISTRIBUTION S / Martinsburg (T),"Improvements to the existing water system including replacing the original water distribution system., Upgrade Distribution System",231,"$1,500,000",1080,"$280,655,407",,Annual
19266,Sullivan,WOODRIDGE (V) / Woodridge (V),"Installation of storage tank, new membrane filter, rehab lagoon, Upgrade Water Treatment Plant, New Storage, Upgrade Distribution System",747,$0,1080,"$280,655,407",BGS,Annual
18681,Broome,ENDICOTT (V) / Endicott (V),"Well No. 32 treatment for iron, manganese, and 1,4-dioxane., Upgrade Water Treatment Plant","46,000",$0,1080,"$280,655,407",BGS,Annual
17422,Herkimer,"HERKIMER (T), WD NO. 3 / Herkimer (T)","New Storage, New Pump Station, Distribution System Improvements., New Storage, New Pump Station, Upgrade Distribution System",320,$0,1080,"$280,655,407",,Annual
18188,Orange,GOSHEN VILLAGE / Goshen (V),"Replace WTP at Prospect Reservoir, Upgrade Water Treatment Plant","5,676",$0,1075,"$280,655,407",BGS,Annual
18309,Chenango,GUILFORD WATER DISTRICT / Guilford (T),"Water System Improvements Project, New Water Treatment Plant, New Ground Water Source, New Transmission",350,$0,1075,"$280,655,407",,Annual
18903,Albany,ALBANY (C) / Albany MWFA,"2022 Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station","98,000",$0,1070,"$280,655,407",BGS,Annual
19287,Rensselaer,TROY (C) / Troy (C),"Lead service line inventory., Upgrade Distribution System","51,400",$0,1070,"$280,655,407",BLSLR,Annual
19411,Cayuga,AUBURN (C) / Auburn (C),"Lead Service Line Inventory., Upgrade Distribution System","43,000",$0,1070,"$280,655,407",BLSLR,Annual
18976,Fulton,GLOVERSVILLE (C) WATER WORKS / Gloversville (C),"WTP and Water Distribution system improvements. New booster pump station., Upgrade Water Treatment Plant, New Pump Station, Upgrade Distribution System","17,991",$0,1070,"$280,655,407",,Annual
18936,Jefferson,ALEXANDRIA VILLAGE / Alexandria Bay (V),"WTP upgrades and water main replacement., Upgrade Water Treatment Plant, Upgrade Distribution System","1,900",$0,1070,"$280,655,407",BGS,Annual
19145,St.Lawrence,MASSENA (T) / Massena (T),"Proposed Service Area No. 1, New Water District",350,$0,1070,"$280,655,407",BGS,Annual
19203,Ontario,MARBLETOWN-WHITE RD. WD / Phelps (T),"White Road WD Extension and Watermain Replacement, Upgrade Distribution System, Extend Water District",80,$0,1065,"$280,655,407",,Annual
18579,Lewis,TOWN OF DIANA WATER DISTRICT / Diana (T),"Upgrade Wells 1 and 3, Distribution Looping and New Water Meters., Upgrade Ground Water Source, Upgrade Distribution System",618,$0,1060,"$280,655,407",,Annual
18890,Chemung,MILLPORT (V) / Millport (V),"New Well and Upgrade Tank, Meters, and Telemetry., New Other Expenses, Upgrade Ground Water Source, Upgrade Storage, New Other (OT)",292,$0,1060,"$280,655,407",,Annual
19420,Dutchess,GREENFIELD WATER DISTRICT / DCWWA,"Interconnection of Greenfields Water System to Hyde Park Regional Water System to address PFAS contamination, Upgrade Water Treatment Plant, New Pump Station, New Inter-Connection","1,050",$0,1055,"$280,655,407",BEC,Annual
19425,Herkimer,ILION (V) WATER WORKS / Ilion (V),"Lead service line inventory., Upgrade Distribution System","7,646",$0,1045,"$280,655,407",BLSLR,Annual
19370,Orange,WARWICK (V) / Warwick (V),"Lead Service Line Inventory, Upgrade Distribution System","6,652",$0,1045,"$280,655,407",BLSLR,Annual
19407,Onondaga,SYRACUSE CITY / Syracuse (C),"Lead Service Line Inventory., Upgrade Distribution System","160,000",$0,1040,"$280,655,407",BLSLR,Annual
19609,Albany,ALBANY (C) / Albany MWFA,"Lead service line inventory., Upgrade Distribution System","100,000",$0,1040,"$280,655,407",BLSLR,Annual
19610,Oneida,MOHAWK VALLEY WATER AUTHORITY / MVWA,"Lead Service Line Inventory., Upgrade Distribution System","64,723",$0,1040,"$280,655,407",BLSLR,Annual
19433,Otsego,ONEONTA (C) / Oneonta (C),"Lead service line inventory., Upgrade Distribution System","16,000",$0,1040,"$280,655,407",BLSLR,Annual
19623,Yates,PENN YAN (V) / Penn Yan (V),"Lead Service Line Inventory, Upgrade Distribution System","11,436",$0,1040,"$280,655,407",BLSLR,Annual
19627,Orange,PORT JERVIS WD / Port Jervis (C),"Lead Service Line Inventory., Upgrade Distribution System","8,775",$0,1040,"$280,655,407",BLSLR,Annual
19467,Franklin,MALONE (V) / Malone (V),"Lead service line inventory., Upgrade Distribution System","8,560",$0,1040,"$280,655,407",BLSLR,Annual
19447,St.Lawrence,POTSDAM (V) / Potsdam (V),"Lead service line inventory., Upgrade Distribution System","8,312",$0,1040,"$280,655,407",BLSLR,Annual
19441,Columbia,HUDSON (C) / Hudson (C),"Lead service line inventory., Upgrade Distribution System","6,700",$0,1040,"$280,655,407",BLSLR,Annual
19384,Steuben,BATH (V) / Bath (V),"Lead Service Line Inventory, Upgrade Distribution System","5,432",$0,1040,"$280,655,407",BLSLR,Annual
19368,Herkimer,LITTLE FALLS (C) / Little Falls (C),"Lead service line inventory., Upgrade Distribution System","4,605",$0,1040,"$280,655,407",BLSLR,Annual
18717,Chenango,SOUTH OTSELIC WATER DISTRICT / Otselic (T),"Improvements to Source, treatment, storage, distribution, and meters. , Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",820,"$6,359,000",205,"$287,014,407",BGS,Annual
19821,Albany,GREEN ISLAND (V) / Green Island (V),"Upgrade Interconnection to Address GWUDI Well and Reduce Unaccounted for Water., Upgrade Water Treatment Plant, Upgrade Distribution System, Upgrade Inter-Connection","3,500","$3,090,000",190,"$290,104,407",,Annual
19986,Chautauqua,FREWSBURG WATER DISTRICT / Carroll (T),"Expand GW Source Capacity to address source capacity and replace well with PFAS, Replace Aging & Asbestos Main & Looping, Replace Storage Tank, Upgrade Ground Water Source, New Storage, Upgrade Distribution System","2,500","$14,420,000",150,"$304,524,407",,Annual
16339,Jefferson,WELLESLEY ISLAND WATER CORP. / Wellesley Island Water Corp.,"New Water Treatment Plant, New Surface Water Source",548,"$6,354,590",140,"$310,878,997",,Annual
19225,Livingston,LIVINGSTON COUNTY WSA / Livingston County WSA,"Leicester/York Water Supply; Expansion to Communities Impacted by AKZO Salt Mine, Extend Distribution System","33,200","$35,800,000",140,"$346,678,997",,Annual
19933,Washington,WHITEHALL (V) / Whitehall (V),"Replace Transmission main, SCADA, Dam Repairs, Upgrade Water Treatment Plant, Upgrade Surface Water Source, Upgrade Transmission, Upgrade Storage","2,693","$9,908,147",135,"$356,587,144",,Annual
19786,NY City,NEW YORK CITY / NYCMWFA,"Hillview Reservoir Improvements - Chemical Storage and Chemical Feed Bldgs HVR-200 Series (HVR 210 & HVR-230) - Phase 2 of DWSRF #19782, Upgrade Surface Water Treatment Rule Compliance Facility","8,271,000","$100,000,000",130,"$456,587,144",,Annual
17488,Westchester,WESTCHESTER JOINT WATER WORKS / WJWW,"Funding Phase 1a of Project #18654 and #18269. Construction of 30 MGD filter plant, New Surface Water Treatment Rule Compliance Facility","46,054","$72,500,000",125,"$529,087,144",,Annual
19997,Oneida,LEE (T) / Lee (T),"Water District Extension to consolidate mulitple PWSs with PFAS, Storage Tank Installation, Pumpstation Upgrades, Extend Distribution System","4,100","$26,250,000",125,"$555,337,144",,Annual
19489,Clinton,SCHUYLER FALLS (T) / Clinton County,"Morrisonville WD Sands Road Extension to serve PFOA contaminated private wells., New Distribution System, New System Consolidation","4,843","$5,500,000",125,"$560,837,144",BEC,Annual
19335,Seneca,SENECA FALLS (T) / Seneca Falls (T),"Phase 1 of overall #19196 Project - WTP Upgrades and WM Extension, Upgrade Water Treatment Plant","9,027","$23,500,000",125,"$584,337,144",,Annual
19824,Chautauqua,FREDONIA (V) / Fredonia (V),"Decomissioning of WTP and Connection to NCCWD, New Inter-Connection","9,585","$17,500,000",120,"$601,837,144",,Annual
19541,Onondaga,ROUTE 11A WATER DISTRICT / Tully (T),"Route 11A WD Improvements and Consolidation Project, Upgrade Water District",164,"$3,581,000",120,"$605,418,144",BGS,Annual
18406,Wyoming,WARSAW (V) / Warsaw (V),"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System","3,990","$12,100,000",115,"$617,518,144",,Annual
19973,Chautauqua,RIPLEY (T) / Ripley (T),"Water treatment plant and distribution system upgrades., Upgrade Water Treatment Plant, Upgrade Distribution System","1,600","$5,493,000",115,"$623,011,144",,Annual
19102,Schuyler,ODESSA VILLAGE / Odessa (V),"Treatment Plant for iron, manganese, and arsenic; Water Main replacement; Tank mixer, New Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",810,"$11,000,000",115,"$634,011,144",BGS,Annual
18256,Broome,CHENANGO (T) / Chenango (T),"New Groundwater Well Installation & Source Capacity Expansion to address existing sources with 1,4-dioxane and PFAS, Aged Main Replacement & Extension, Storage Tank Replacements, Wellhouse Improvements, New Ground Water Source","9,725","$40,479,000",115,"$674,490,144",,Annual
19796,Oswego,TOWN OF SCHROEPPEL SOUTH WD / Schroeppel (T),"New South Water District to extend public water to consolidate PWSs with PFAS and 1,4-dioxane, New Water District","1,326","$27,569,392",115,"$702,059,536",BGS,Annual
19802,Lewis,LYONSDALE (T) / Lyonsdale (T),"Replacement and extension of Lyonsdale (T) Water District No. 1., New Water District",783,"$5,871,000",115,"$707,930,536",BGS,Annual
19151,St.Lawrence,MORRISTOWN WATER DISTRICT / Morristown (T),"WTP & Distribution Improvements. Water Service Expansion in existing WD., New Water Treatment Plant, Upgrade Storage, Upgrade Distribution System, New Water District",777,"$10,145,500",115,"$718,076,036",BGS,Annual
18973,Suffolk,RIVERHEAD WD / Riverhead (T),"WD Extension - Forge Rd MHPs due to PFOA/PFOS and Mn contamination in private wells, Extend Distribution System, Extend Water District","28,000","$1,185,000",110,"$719,261,036",BEC,Annual
18954,Westchester,SOMERS HAMLET WD / Somers (T),"New drinking water distribution system to address PFAS contamination, New Distribution System, New Water District",100,"$2,912,700",110,"$722,173,736",BEC,Annual
19545,Montgomery,FLORIDA (T) / Florida (T),"Fort Hunter Extenstion & Tank Improvements for DBPs, Upgrade Storage, Extend Distribution System",432,"$8,111,250",105,"$730,284,986",,Annual
19061,Wyoming,ATTICA (V) / Attica (V),"Water Treatment Plant Upgrades, Upgrade Water Treatment Plant","5,515","$10,926,240",100,"$741,211,226",,Annual
18531,Franklin,SARANAC LAKE (V) / Saranac Lake (V),"New Surface Water Source, WM Replacement, New Water Treatment Plant, New Surface Water Source, Upgrade Distribution System","4,887","$22,635,000",100,"$763,846,226",BGS,Annual
19517,Lewis,TURIN (V) / Turin (V),"Water Main Replacement and Water Storage Tank Replacement, Upgrade Storage, Upgrade Distribution System",300,"$6,952,500",100,"$770,798,726",BGS,Annual
17978,Jefferson,NORTHEAST WATER DISTRICT / Watertown (T),"New Northeast Water District, New Water District",550,"$8,085,000",100,"$778,883,726",BGS,Annual
19170,Dutchess,PAWLING VILLAGE / Pawling (V),"New GW Sources, new WTP and related utility work on well fields., New Water Treatment Plant, New Ground Water Source","1,907","$4,000,000",95,"$782,883,726",BGS,Annual
19154,Jefferson,WATERTOWN (C) / Watertown (C),"WTP Upgrades to address DBPs, Upgrade Water Treatment Plant","65,000","$58,300,000",95,"$841,183,726",BGS,Annual
