Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,CODES,List
19964,Albany,ALTAMONT (V) / Altamont (V),"Interconnection to the Town of Guilderland's Water System to Address Elevated Manganese., New Inter-Connection","1,675","$4,841,000",40,"$43,837,315",,Multi-Year
19155,Albany,RAVENA (V) / Ravena (V),"Phase 2 Water System Improvements, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","3,271","$7,428,000",40,"$51,265,315",,Multi-Year
19456,Albany,ALBANY (C) / Albany MWFA,"Lead service line replacement., Upgrade Distribution System","7,725",$0,40,"$51,265,315",,Multi-Year
19607,Albany,WATERVLIET (C) / Watervliet (C),"Lead service line replacement., Upgrade Distribution System",120,"$518,000",40,"$51,783,315",,Multi-Year
19157,Albany,ALBANY (C) / Albany MWFA,"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station","101,082","$9,746,301",40,"$61,529,616",,Multi-Year
19127,Albany,ALBANY (C) / Albany MWFA,"Basic Creek Reservoir Dam Safety Improvements, Upgrade Surface Water Source","101,082","$8,605,000",40,"$70,134,616",,Multi-Year
19554,Albany,ALBANY (C) / Albany MWFA,"Water main replacement and upgrade of associated appurtenances., Upgrade Distribution System","100,000","$7,628,722",35,"$77,763,338",,Multi-Year
18333,Albany,MENANDS VILLAGE / Menands (V),"South End Water Systen Improvements., Upgrade Distribution System","3,900",$0,35,"$77,763,338",,Multi-Year
19783,Albany,GREEN ISLAND (V) / Green Island (V),"Install treatment to remove PFAS, Upgrade Water Treatment Plant","3,500","$1,009,400",30,"$78,772,738",,Multi-Year
19944,Albany,CITY OF WATERVLIET / Watervliet (C),"Capital Improvements to Dam, Upgrade Surface Water Source","10,265","$1,042,875",30,"$79,815,613",,Multi-Year
19878,Albany,COHOES (C) / Cohoes (C),"Lead service line inventory., Upgrade Distribution System","16,883","$140,288",30,"$79,955,901",,Multi-Year
19059,Albany,GUILDERLAND (T) / Guilderland (T),"Well rehab and Greensand filtration system., Upgrade Water Treatment Plant","36,862","$6,796,970",30,"$86,752,871",,Multi-Year
19443,Albany,RAVENA (V) / Ravena (V),"Lead service line inventory., Upgrade Distribution System","3,271","$345,050",25,"$87,097,921",,Multi-Year
19152,Albany,BETHLEHEM WD NO 1 - NEW SALEM SYSTEM / Bethlehem (T),"NYS Route 85 Transmission Main Replacement, Upgrade Transmission","31,000","$6,695,000",20,"$93,792,921",,Multi-Year
19341,Albany,BETHLEHEM WD NO 1 - NEW SALEM SYSTEM / Bethlehem (T),"Rehabilitation of 3.0 MG Storage Tank, Upgrade Storage","31,000","$2,500,000",15,"$96,292,921",,Multi-Year
19150,Albany,BETHLEHEM WD NO 1 - NEW SALEM SYSTEM / Bethlehem (T),"Elevated Water Storage Tank Replacement, Upgrade Storage","31,000","$3,900,000",15,"$100,192,921",,Multi-Year
19880,Albany,LATHAM WATER DISTRICT / Colonie (T),"Lead service line inventory., Upgrade Distribution System","85,590","$2,039,679",15,"$102,232,600",,Multi-Year
18358,Allegany,ANDOVER (V) / Andover (V),"Water System Improvements on Water Treatment, Watermains & Storage, New Water Treatment Plant, Upgrade Transmission, Upgrade Distribution System, New System Consolidation","2,500","$3,155,000",1135,"$105,387,600",,Multi-Year
19051,Allegany,SCIO WATER DISTRICT / Scio (T),"Water Storage Tank Replacement and Water System Improvements, Upgrade Storage, Upgrade Distribution System",900,$0,1090,"$105,387,600",,Multi-Year
19552,Allegany,FRIENDSHIP (T) / Friendship (T),"Distribution, Source and Treatment Upgrades, Upgrade Ground Water Source, Upgrade Distribution System","1,400","$12,450,000",90,"$117,837,600",,Multi-Year
19752,Allegany,BELMONT (V) / Belmont (V),"Improvements on Well Source, Water Treatment Plant and Watermains, Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Distribution System","1,324","$8,712,667",75,"$126,550,267",,Multi-Year
19788,Allegany,WISCOY-ROSSBURG WD / Hume (T),"Wiscoy-Rossburg Water Service Area Extension, New Water District",235,"$6,946,320",70,"$133,496,587",,Multi-Year
19213,Allegany,WELLSVILLE (V) / Wellsville (V),"Village-Wide Watermain Replacement, Upgrade Distribution System",900,"$6,828,000",60,"$140,324,587",,Multi-Year
18896,Allegany,CUBA (V) / Cuba (V),"Water main replacement and improvements to well site and storage tanks., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,500",$0,60,"$140,324,587",,Multi-Year
18622,Allegany,ALFRED VILLAGE WATER SUPPLY / Alfred (V),"Upgrade Transmission, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","3,500","$1,500,000",55,"$141,824,587",,Multi-Year
19650,Allegany,BOLIVAR (V) / Bolivar (V),"WM Replacement Throughout Village., Upgrade Distribution System","1,600","$4,100,000",40,"$145,924,587",,Multi-Year
19531,Allegany,ANGELICA (V) / Angelica (V),"Replacement of WM and Formation of WD, Upgrade Distribution System",713,"$4,610,280",40,"$150,534,867",,Multi-Year
19551,Allegany,ALMOND (V) / Almond (V),"Mill St. & Maple Ridge Water Main Improvements Project, Upgrade Distribution System",690,"$1,025,000",25,"$151,559,867",,Multi-Year
18941,Broome,ENDICOTT (V) / Endicott (V),"New Source Development to Address Fe/Mn/1,4-dioxane., New Ground Water Source","46,000",$0,1120,"$151,559,867",,Multi-Year
18681,Broome,ENDICOTT (V) / Endicott (V),"Well No. 32 treatment for iron, manganese, and 1,4-dioxane., Upgrade Water Treatment Plant","46,000",$0,1080,"$151,559,867",,Multi-Year
18256,Broome,CHENANGO (T) / Chenango (T),"New Groundwater Well Installation & Source Capacity Expansion to address existing sources with 1,4-dioxane and PFAS, Aged Main Replacement & Extension, Storage Tank Replacements, Wellhouse Improvements, New Ground Water Source","9,725","$40,479,000",115,"$192,038,867",,Multi-Year
19748,Broome,DEPOSIT (V) / Deposit (V),"Phase 2 - Water System Upgrades - Watermain Replacement, Water Meters, New Storage, Upgrade Storage, Upgrade Distribution System","1,387","$11,030,682",50,"$203,069,549",,Multi-Year
19897,Broome,DEPOSIT (V) / Deposit (V),"Phase 1 Water Sytem Upgrades - WTP Upgrades and raised wellhouse, Upgrade Water Treatment Plant, Upgrade Ground Water Source","1,387","$1,729,390",50,"$204,798,939",,Multi-Year
19909,Broome,JOHNSON CITY (V) / Johnson City (V),"Lead Service Line Replacement., Upgrade Distribution System","1,570","$10,590,000",40,"$215,388,939",,Multi-Year
19906,Broome,JOHNSON CITY (V) / Johnson City (V),"Lead Service Line Inventory., Upgrade Distribution System","9,205","$2,510,000",40,"$217,898,939",,Multi-Year
18544,Broome,PORT DICKINSON (V) / Port Dickinson (V),"Replace Aged Water Mains Chenango St. and Rochelle Rd.., Upgrade Distribution System","1,699","$7,200,000",35,"$225,098,939",,Multi-Year
19928,Broome,KIRKWOOD (T) / Kirkwood (T),"Installation of iron and maganese treastmment., Upgrade Water Treatment Plant","5,230","$6,604,875",30,"$231,703,814",,Multi-Year
18748,Broome,BINGHAMTON (T) CONSOLIDATED WD / Binghamton (T),"Powers Road Storage Tank Replacement., New Storage","2,600","$939,393",25,"$232,643,207",,Multi-Year
18907,Cattaraugus,LITTLE VALLEY VILLAGE / Little Valley (V),"Installation of wells, main replacement, and WTP improvements., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System","1,188","$1,700,000",1135,"$234,343,207",,Multi-Year
18842,Cattaraugus,SOUTH DAYTON (V) / South Dayton (V),"Source and distribution upgrades., Upgrade Ground Water Source, Upgrade Distribution System",660,$0,1120,"$234,343,207",,Multi-Year
18843,Cattaraugus,PORTVILLE (V) / Portville (V),"Well, treatment, storage, and distribution upgrades., Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,050","$1,822,315",1085,"$236,165,522",,Multi-Year
19781,Cattaraugus,CATTARAUGUS (V) / Cattaraugus (V),"New Well Source, Replace WM, Valves and Controls, New Ground Water Source, Upgrade Distribution System","1,185","$10,788,220",105,"$246,953,742",,Multi-Year
19244,Cattaraugus,SALAMANCA (C) / Salamanca (C),"Abandon Existing WTP, New Well Source, New Pump Building., Upgrade Water Treatment Plant","7,696","$28,040,556",90,"$274,994,298",,Multi-Year
18813,Cattaraugus,FRANKLINVILLE (V) / Franklinville (V),"South and North Wellhouse Improvements & Howard Street Water Main Replacement., Upgrade Ground Water Source, Upgrade Distribution System",728,$0,60,"$274,994,298",,Multi-Year
20001,Cattaraugus,RANDOLPH (T) / Randolph (T),"New Groundwater Source, Water Main Replacement, Reservoir & Booster Pump Station Upgrades, Upgrade Distribution System","1,738","$7,347,000",55,"$282,341,298",,Multi-Year
19026,Cattaraugus,OLEAN (C) / Olean (C),"WTP Upgrades and Structural Rehabilitation, Upgrade Water Treatment Plant","13,937","$4,801,500",45,"$287,142,798",,Multi-Year
19930,Cattaraugus,OLEAN (C) / Olean (C),"Lead Serivce Line Inventory, Upgrade Distribution System","1,140","$5,147,157",40,"$292,289,955",,Multi-Year
19617,Cattaraugus,FRANKLINVILLE (V) / Franklinville (V),"Lead Service Line Replacement, Upgrade Distribution System",293,"$2,626,000",40,"$294,915,955",,Multi-Year
19931,Cattaraugus,OLEAN (C) / Olean (C),"Lead Service Line Replacement, Upgrade Distribution System",840,"$2,776,782",35,"$297,692,737",,Multi-Year
19613,Cattaraugus,RANDOLPH (T) / Randolph (T),"Lead Service Line Inventory, Upgrade Distribution System","1,960","$563,000",35,"$298,255,737",,Multi-Year
19839,Cattaraugus,ALLEGANY (T) / Allegany (T),"Water District 1A Main and Meter Replacement, Upgrade Distribution System",480,"$2,149,000",35,"$300,404,737",,Multi-Year
19612,Cattaraugus,YORKSHIRE (T) / Yorkshire (T),"Lead Service Line Inventory, Upgrade Distribution System","1,000","$206,000",30,"$300,610,737",,Multi-Year
19060,Cattaraugus,ALLEGANY VILLAGE / Allegany (V),"2021 Water Meter Upgrades, Upgrade Other Expenses, Upgrade Other (OT)","1,900","$163,915",25,"$300,774,652",,Multi-Year
19411,Cayuga,AUBURN (C) / Auburn (C),"Lead Service Line Inventory., Upgrade Distribution System","43,000",$0,1070,"$300,774,652",,Multi-Year
19201,Cayuga,CAYUGA COUNTY W&S AUTHORITY / Cayuga County W&S Authority,"Regional Water District Project, New Water Treatment Plant, Upgrade Transmission, New Storage, New Pump Station, Upgrade Distribution System, New System Consolidation, New Water District","42,653","$54,882,970",125,"$355,657,622",,Multi-Year
18564,Cayuga,AURORA (V) NEW SYSTEM / Aurora (V),"New WTP, New Transmission, New Inter-Connection",700,"$10,370,000",105,"$366,027,622",,Multi-Year
18128,Cayuga,WATER DISTRICT #2 / Sterling (T),"Proposed Water District #2., Extend Distribution System, New Water District",500,"$12,121,187",80,"$378,148,809",,Multi-Year
19191,Cayuga,LOCKE (T) WD / Locke (T),"New storage tank and well & Telemetry Upgrades at all facilities, New Ground Water Source, New Storage",600,"$5,707,567",60,"$383,856,376",,Multi-Year
19773,Cayuga,MONTEZUMA WD 2 / Montezuma (T),"Expansion of water system, creation of Town's service area no. 2., Extend Distribution System",250,"$9,143,282",60,"$392,999,658",,Multi-Year
19770,Cayuga,FLEMING-SPRINGPORT WD / Fleming (T),"New water main to interconnect Fleming-Springport WD, Fleming Consolidated WD, and Owasco WD., Upgrade Distribution System, New Inter-Connection","5,525","$8,005,160",55,"$401,004,818",,Multi-Year
19974,Cayuga,SENNETT (T) / Sennett (T),"Water District No. 8., New Water District",333,"$6,180,000",55,"$407,184,818",,Multi-Year
19133,Cayuga,WEEDSPORT (V) / Weedsport (V),"Water Systems Improvements, Upgrade Storage, Upgrade Distribution System","1,945","$22,008,000",55,"$429,192,818",,Multi-Year
19073,Cayuga,WD NO. 10 / Brutus (T),"Water District No. 10, New Water District",90,"$1,100,000",50,"$430,292,818",,Multi-Year
18924,Cayuga,CAYUGA COUNTY W&S AUTHORITY / Cayuga County W&S Authority,"Main extension on Honoco Rd., New Distribution System",580,"$7,130,744",50,"$437,423,562",,Multi-Year
19209,Cayuga,FAIR HAVEN (V) / Fair Haven (V),"Replacement of Asbestos Cement Watermain, Replace Storage Tank, and New Well, New Ground Water Source, Upgrade Storage, Upgrade Distribution System","2,040","$24,184,000",50,"$461,607,562",,Multi-Year
19074,Cayuga,WD NO. 11 / Brutus (T),"Water District No. 11, New Water District",116,"$1,430,000",50,"$463,037,562",,Multi-Year
19199,Cayuga,THROOP (T) WD #2 / Throop (T),"Water District #2 - Centerport, Reyer, and Sine Rd., New Water District",66,"$1,250,000",45,"$464,287,562",,Multi-Year
19210,Cayuga,AUBURN (C) / Auburn (C),"Raw Water Transmission Main Replacement, Upgrade Transmission","43,000","$12,300,000",40,"$476,587,562",,Multi-Year
18826,Chautauqua,SINCLAIRVILLE VILLAGE / Sinclairville (V),"Phase 2 of Project #18105., Upgrade Ground Water Source, Upgrade Transmission, Extend Distribution System",772,$0,1145,"$476,587,562",,Multi-Year
19529,Chautauqua,MAYVILLE (V) / Mayville (V),"New Well, New Treatment System, Replace Watermain, New Ground Water Source, Upgrade Distribution System","2,000",$0,1115,"$476,587,562",,Multi-Year
19525,Chautauqua,CLYMER (T) / Clymer (T),"New Well, New Storage Tank, and Replacement of WM, New Ground Water Source, Upgrade Distribution System",545,$0,1100,"$476,587,562",,Multi-Year
18772,Chautauqua,CHAUTAUQUA HEIGHTS WATER DISTRICT / Chautauqua (T),"WD No. 2 Alternative Water Supply., New Ground Water Source",174,$0,1095,"$476,587,562",,Multi-Year
19986,Chautauqua,FREWSBURG WATER DISTRICT / Carroll (T),"Expand GW Source Capacity to address source capacity and replace well with PFAS, Replace Aging & Asbestos Main & Looping, Replace Storage Tank, Upgrade Ground Water Source, New Storage, Upgrade Distribution System","2,500","$14,420,000",150,"$491,007,562",,Multi-Year
19824,Chautauqua,FREDONIA (V) / Fredonia (V),"Decomissioning of WTP and Connection to NCCWD, New Inter-Connection","9,585","$17,500,000",120,"$508,507,562",,Multi-Year
19973,Chautauqua,RIPLEY (T) / Ripley (T),"Water treatment plant and distribution system upgrades., Upgrade Water Treatment Plant, Upgrade Distribution System","1,600","$5,493,000",115,"$514,000,562",,Multi-Year
19538,Chautauqua,CHAUTAUQUA (T) / Chautauqua (T),"WD No. 5 on Westlake Rd, Upgrade Water District",650,"$9,591,360",95,"$523,591,922",,Multi-Year
19785,Chautauqua,ELLICOTT (T) / Ellicott (T),"Extend Water Service Area in Fluvanna, Upgrade Distribution System",635,"$10,300,000",90,"$533,891,922",,Multi-Year
19840,Chautauqua,BUSTI (T) / Busti (T),"Town of Busti WD Extension and Improvement, New Distribution System",355,"$5,818,200",90,"$539,710,122",,Multi-Year
19954,Chautauqua,CHAUTAUQUA (T) / Chautauqua (T),"WD No. 1 Wooglin Sandalwood Areas Extension and WTP Improvement, Extend Water District",650,"$11,823,370",85,"$551,533,492",,Multi-Year
19780,Chautauqua,CASSADAGA (V) / Cassadaga (V),"New Well, Replace WM, Upgrade Telemetry, New Ground Water Source, Upgrade Distribution System","1,500","$8,836,370",75,"$560,369,862",,Multi-Year
19662,Chautauqua,WESTFIELD (T) / Westfiled (T),"NYS Rt 5 Water Benefit District No. 2, New Water District",180,"$2,732,000",75,"$563,101,862",,Multi-Year
18321,Chautauqua,NORTH CHAUTAUQUA COUNTY REGIONAL / Chautauqua County,"North Chautauqua County Regional Water Project., New Water District","31,000",$0,70,"$563,101,862",,Multi-Year
19940,Chautauqua,SOUTH COUNTY WD / Chautauqua County,"New WD in the Towns of North Harmony and Chautauqua, New Water District","6,117","$31,250,000",70,"$594,351,862",,Multi-Year
19308,Chautauqua,SHOREWOOD WATER DISTRICT / Dunkirk (T),"Replacement of WM on Shorewood WD, Upgrade Distribution System",250,"$2,295,000",65,"$596,646,862",,Multi-Year
19661,Chautauqua,POMFRET (T) / Pomfret (T),"North End WD Phase 3, New Water District","3,365","$11,575,000",65,"$608,221,862",,Multi-Year
19952,Chautauqua,CHAUTAUQUA (T) / Chautauqua (T),"WD No. 2 Point Chautauqua Extension, Extend Water District",260,"$4,385,740",65,"$612,607,602",,Multi-Year
19961,Chautauqua,JAMESTOWN BOARD OF PUBLIC UTLILITIES / Jamestown BPU,"Cassadaga Pump Station Improvements., Upgrade Pump Station","40,184","$16,030,000",55,"$628,637,602",,Multi-Year
19751,Chautauqua,NORTH CHAUTAUQUA COUNTY WD / Chautauqua County,"North Chautauqua County WD Phase 3, Upgrade Distribution System","9,000","$8,200,000",55,"$636,837,602",,Multi-Year
19834,Chautauqua,WESTFILED (V) / Westfield (V),"Westfiled (V) Distribution System Improvements, New Distribution System","3,046","$8,795,400",50,"$645,633,002",,Multi-Year
19330,Chautauqua,PORTLAND WD #2 / Portland (T),"Water District No 2, Rt 5 Water Main Replacement, Upgrade Distribution System","4,827","$4,691,000",50,"$650,324,002",,Multi-Year
19246,Chautauqua,POMFRET (T) / Pomfret (T),"Chestnut WD Watermain Replacement, Upgrade Distribution System","3,365","$960,000",35,"$651,284,002",,Multi-Year
19245,Chautauqua,POMFERT (T) / Pomfret (T),"Berry WD Water Main Replacement, Upgrade Distribution System","3,365","$2,260,000",35,"$653,544,002",,Multi-Year
19179,Chautauqua,FREDONIA (V) / Fredonia (V),"Fredonia Fresh Water Reservoir Spillway Improvements, Upgrade Surface Water Source","10,018","$10,300,000",30,"$663,844,002",,Multi-Year
18890,Chemung,MILLPORT (V) / Millport (V),"New Well and Upgrade Tank, Meters, and Telemetry., New Other Expenses, Upgrade Ground Water Source, Upgrade Storage, New Other (OT)",292,$0,1060,"$663,844,002",,Multi-Year
19068,Chemung,HORSEHEADS VILLAGE / Horseheads (T),"Oak Hill Water District Extension, New Distribution System","11,530","$461,000",70,"$664,305,002",,Multi-Year
18322,Chemung,ELMIRA WATER BOARD / Elmira Water Board,"Elmira Refresh Initiative., Upgrade Transmission, Upgrade Distribution System","65,000","$6,043,913",70,"$670,348,915",,Multi-Year
19149,Chemung,WELLSBURG (V) / Wellsburg (V),"Tank decommissioning & replacements, distribution upgrades, new groundwater supply, New Ground Water Source, Upgrade Storage, Upgrade Storage, Upgrade Distribution System",580,"$7,520,030",70,"$677,868,945",,Multi-Year
18737,Chemung,BIG FLATS WD #4 / Big Flats (T),"Smith Valley and Ponderosa Drive Extension., Extend Distribution System",231,"$2,277,534",55,"$680,146,479",,Multi-Year
18309,Chenango,GUILFORD WATER DISTRICT / Guilford (T),"Water System Improvements Project, New Water Treatment Plant, New Ground Water Source, New Transmission",350,$0,1075,"$680,146,479",,Multi-Year
18717,Chenango,SOUTH OTSELIC WATER DISTRICT / Otselic (T),"Improvements to Source, treatment, storage, distribution, and meters. , Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",820,"$6,359,000",205,"$686,505,479",,Multi-Year
18923,Chenango,NEW BERLIN (V) / New Berlin (V),"Treatment upgrades, main replacement, new meters and tank improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","1,000","$19,550,000",95,"$706,055,479",,Multi-Year
19399,Chenango,SMITHVILLE (T) / Smithville (T),"Smithville Flats New Water System, New Ground Water Source",350,"$8,000,000",70,"$714,055,479",,Multi-Year
19184,Chenango,BAINBRIDGE (V) / Bainbridge (V),"Water System Improvements - WM Replacement, New Well, Booster PS Improvements, New Ground Water Source, Upgrade Pump Station, Upgrade Distribution System","1,600","$7,455,600",65,"$721,511,079",,Multi-Year
18900,Chenango,VILLAGE OF GREENE / Greene (V),"Phase 1 - Water main replacement, Upgrade Distribution System","1,800","$20,566,400",65,"$742,077,479",,Multi-Year
19351,Chenango,BAINBRIDGE (V) / Bainbridge(V),"Lead Service Line Inventory, Upgrade Distribution System","1,600","$726,000",40,"$742,803,479",,Multi-Year
18554,Chenango,AFTON (V) / Afton (V),"Replace water storage tank, upgrade spring source booster pump station, upgrade well control building, water main replacement., Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","1,000","$6,995,000",40,"$749,798,479",,Multi-Year
18328,Clinton,PLATTSBURGH (C) / Plattsburgh (C),"Phase 1 WTP, Source, Transmission, and Distribution Upgrades., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System","18,000",$0,1115,"$749,798,479",,Multi-Year
19489,Clinton,SCHUYLER FALLS (T) / Clinton County Morrisonville WD,"Sands Road Extension to serve PFOA contaminated private wells., New Distribution System, New System Consolidation","4,843","$5,500,000",125,"$755,298,479",,Multi-Year
19830,Clinton,PERU (T) / Peru (T),"Upgrade Water Treatment Plant, New Ground Water Source, New Storage","6,772","$9,400,000",100,"$764,698,479",,Multi-Year
18981,Clinton,MORRISONVILLE WD / Schuyler Falls (T),"Replacement of asbestos cement water main., Upgrade Distribution System","1,300","$5,729,375",65,"$770,427,854",,Multi-Year
19831,Clinton,PLATTSBURGH (C) / Plattsburgh (C),"Phase 4 - New Production Well, rehab transmission main, WTP Upgrades, Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission","19,900","$8,810,000",65,"$779,237,854",,Multi-Year
19487,Clinton,PLATTSBURGH (C) / Plattsburgh (C),"Phase 3 - drinking water system upgrades. , Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission","19,840","$8,832,000",65,"$788,069,854",,Multi-Year
18809,Clinton,ROUSES POINT WATER DISTRICT / Rouses Point (V),"WTP Replacement with membrane microfiltration with raw water pump station. , New Water Treatment Plant, New Surface Water Source, New Pump Station","2,139","$10,000,000",60,"$798,069,854",,Multi-Year
18867,Clinton,CHAMPLAIN (V) / Champlain (V),"Replacement of failing watermain., Upgrade Distribution System","1,000","$2,400,000",45,"$800,469,854",,Multi-Year
18604,Clinton,BEEKMANTOWN WATER DISTRICT / Beekmantown (T),"New Public Water System., New Complete System (New System)",250,$0,45,"$800,469,854",,Multi-Year
18974,Clinton,BLACK BROOK WD NO2 / Black Brook (T),"Installationg and replacment of water meters., Upgrade Other Expenses, Upgrade Other (OT)",77,"$845,000",35,"$801,314,854",,Multi-Year
19445,Clinton,ROUSES POINT WATER DISTRICT / Rouses Point (V),"Lead service line inventory., Upgrade Distribution System","2,195","$273,980",30,"$801,588,834",,Multi-Year
19251,Clinton,PERU WD / Peru (T),"Supplemental water source, new wells and transmission main., New Ground Water Source, New Transmission","2,600","$14,394,250",25,"$815,983,084",,Multi-Year
19252,Clinton,CHAZY WATER DISTRICT / Chazy (T),"WST rehab, water plant upgrades., Upgrade Water Treatment Plant, Upgrade Storage",690,"$2,369,000",15,"$818,352,084",,Multi-Year
19441,Columbia,HUDSON (C) / Hudson (C),"Lead service line inventory., Upgrade Distribution System","6,700",$0,1040,"$818,352,084",,Multi-Year
19955,Columbia,CHATHAM (V) / Chatham (V),"New well field to mitigate PFAS contamination; replacement of transmission main., New Ground Water Source, Upgrade Transmission","3,250","$8,419,700",90,"$826,771,784",,Multi-Year
19537,Columbia,VALATIE (V) / Valatie (V),"New filtration and PFAS treatment facility., New Water Treatment Plant","2,000","$3,942,100",65,"$830,713,884",,Multi-Year
19512,Columbia,KINDERHOOK (T) / Kinderhook (T),"Watermain replacement and extension, New Distribution System, Upgrade Distribution System","4,400","$4,926,000",55,"$835,639,884",,Multi-Year
19300,Columbia,HUDSON (C) / Hudson (C),"Upgrade water mains on Robsinson and 3rd Street, Upgrade Distribution System",125,"$1,276,042",35,"$836,915,926",,Multi-Year
18948,Columbia,CHATHAM VILLAGE / Chatham (V),"Replace water main on Austerlitz St & Houseman Ave., Upgrade Distribution System","2,156","$1,432,215",35,"$838,348,141",,Multi-Year
19434,Columbia,KINDERHOOK (V) / Kinderhook (V),"Lead service line inventory., Upgrade Distribution System","1,100","$192,000",15,"$838,540,141",,Multi-Year
18620,Columbia,KINDERHOOK (V) / Kinderhook (V),"Williams Street & Albany Avenue Water Main Replacement, AMI Meter System., Upgrade Distribution System","1,170","$1,954,500",15,"$840,494,641",,Multi-Year
19391,Columbia,KINDERHOOK (T) / Kinderhook (T),"Develop new GW Source, Connection to existing distribution system, New Ground Water Source, Upgrade Distribution System","3,000","$2,280,000",15,"$842,774,641",,Multi-Year
18206,Cortland,CORTLAND (C) / Cortland (C),"Clinton Avenue Distribution System Upgrade., Upgrade Distribution System","20,095","$2,009,463",50,"$844,784,104",,Multi-Year
18909,Cortland,CORTLAND (C) / Cortland (C),"Homer Ave Reconstruction & Water Main Replacement Project., Upgrade Distribution System","17,465","$12,011,120",45,"$856,795,224",,Multi-Year
19520,Cortland,HOMER (V) / Homer (V),"New Water Storage Tank West of I-81, New Storage","4,514",$0,40,"$856,795,224",,Multi-Year
19589,Cortland,CORTLAND (C) / Cortland (C),"Groton Ave Improvements Project, Upgrade Distribution System","18,670","$2,320,361",35,"$859,115,585",,Multi-Year
19904,Cortland,CORTLAND (C) / Cortland (C),"Tompkins Street Reconstruction, Upgrade Distribution System","17,465","$15,615,500",35,"$874,731,085",,Multi-Year
18888,Cortland,MARATHON (V) / Marathon (V),"Water Main Crossings of the Tioughnioga River, Upgrade Distribution System","1,107","$775,000",35,"$875,506,085",,Multi-Year
19404,Cortland,HOMER (V) / Homer (V),"Lead Service Line Inventory., Upgrade Distribution System","4,000","$1,050,600",25,"$876,556,685",,Multi-Year
18348,Delaware,ROXBURY WATER DISTRICT / Roxbury (T),"Roxbury and Grand Gorge Joint project. , New Surface Water Treatment Rule Compliance Facility, Upgrade Ground Water Source, Upgrade Distribution System",755,$0,1150,"$876,556,685",,Multi-Year
