Project.Number,County,System Name,Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,Code
18575,Washington,GREENWICH VILLAGE,Greenwich (V),"Mn Treatment, Replace Existing Wells , Replace Transmission Main, Water Metering., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System",2000,5200000,H,23967345,
18127,Seneca,INTERLAKEN VILLAGE,Interlaken (V),"Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",650,0,H,23967345,
18803,Delaware,HOBART VILLAGE,Hobart (V),"Upgrade Water Treatment Plant, New Ground Water Source",370,0,H,23967345,
18846,Otsego,RICHFIELD SPRINGS (V),Richfield Springs (V),"electrical upgrades, Distribution replacement and looping, Upgrade Water Treatment Plant, New Pump Station, New Distribution System",1500,20680000,H,44647345,
18181,Oswego,ORWELL WD,Orwell (T),"New Source to Address Source Capacity Violation., Upgrade Ground Water Source",150,3027500,H,47674845,
18563,Herkimer,ILION (V) WATER WORKS,Ilion (V),"Medium Priority Distribution Imprvts and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., Upgrade Distribution System, New System Consolidation",8610,28474350,H,76149195,
18270,Essex,CHILSON-EAGLE LAKE WD,Ticonderoga (T),"Chilson-Eagle Lake SWTR Compliance Project., New Surface Water Treatment Rule Compliance Facility, New Ground Water Source, Upgrade Distribution System",200,14000000,H,90149195,
19151,St. Lawrence,MORRISTOWN VILLAGE,Morristown (T),"WTP & Distribution Improvements. River Road East Corridor Extension., New Water Treatment Plant, Upgrade Storage, Upgrade Distribution System, New Water District",490,16789000,H,106938195,
18907,Cattaraugus,LITTLE VALLEY VILLAGE,Little Valley (V),"Installation of wells, main replacement, and WTP improvements., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",1188,5950000,H,112888195,
18860,Herkimer,HERKIMER VILLAGE,Herkimer (V),"High Priority System Upgrades and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., Upgrade Storage, Upgrade Distribution System, New Inter-Connection",7606,17498670,H,130386865,
18941,Broome,VILLAGE OF ENDICOTT,Endicott (V),"New Source Development to Address Fe/Mn/1,4-dioxane., New Ground Water Source",46000,7310218,H,137697083,
18289,Oneida,ROME CITY,Rome (C),"NW Rome Re-Phase 3 Water Project., New Storage, New Pump Station, New Distribution System",32000,11235000,H,148932083,
18709,Essex,ELIZABETHTOWN WD,Elizabethtown (T),"New well to meet capacity standards, address use of springs (GWUDI), Telemetry & Treatment., Upgrade Water Treatment Plant, New Ground Water Source",800,3744565,H,152676648,
19242,Wyoming,GARDEAU WATER DISTRICT,Castile (T),"Gardeau WD main replacement and district extension, Upgrade Distribution System, Extend Water District",60,2755250,H,155431898,
19258,Franklin,TUPPER LAKE V,Tupper Lake (V),"Tupper Lake Intake and WTP Rehab., Upgrade Water Treatment Plant, Upgrade Surface Water Source",5500,8867991,H,164299889,
18213,Monroe,ROCHESTER CITY,Rochester (C),"Cover Highland Reservoir, Upgrade Storage",214000,7200000,H,171499889,
18711,Herkimer,EAST SCHUYLER WD,Schuyler (T),"New Distribution System and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., New Transmission, New Distribution System, New System Consolidation",816,7391280,H,178891169,
19240,Jefferson,WEST CARTHAGE (V),West Carthage (V),"New storage tanks, distribution & transmission improvements, WTP improvements, Upgrade Water Treatment Plant, Upgrade Transmission, New Storage, Upgrade Distribution System",5016,21945180,H,200836349,
18911,Jefferson,LERAY TOWN WD 2,LeRay (T),"Consolidated Water District Extension along NYS Rt. 11 and former WD #3. Carey Well improvements, New Ground Water Source, Upgrade Distribution System, New Distribution System",2500,4000000,H,204836349,
18898,Wyoming,PERRY VILLAGE,Perry (V),"WTP upgrade to Address DBPs. Short Term Alternative 1., Upgrade Water Treatment Plant, Upgrade Transmission, Upgrade Storage",3945,7200000,H,212036349,BGS
18716,Herkimer,WEST HERKIMER WD EXT NO. 1,Herkimer (T),"WD Ext 1 and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., New Transmission, New Distribution System, New System Consolidation",150,1839580,H,213875929,
18715,Herkimer,FRANKFORT (V) WATER WORKS,Frankfort (V),"Distribution System Improvements and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., New Transmission, Upgrade Distribution System, New System Consolidation",2995,8667450,H,222543379,
18720,Onondaga,ELBRIDGE (V),Elbridge (V),"Village's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades. Related to Project Nos. 18719 &18721., Upgrade Storage, Upgrade Distribution System, New System Consolidation",1100,3500000,1180,226043379,
18719,Onondaga,ELBRIDGE (T),Elbridge (T),"Town's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades. Related to Project Nos. 18720 &18721., Upgrade Storage, Upgrade Distribution System, New System Consolidation",1000,5000000,1180,231043379,
18537,Jefferson,ORLEANS WATER IMPROVEMENTS,,"Consolidation of PWS w/ violations and to serve contaminated private wells. Related to DWSRF# 18096., Extend Distribution System",450,0,1135,231043379,
17572,Schoharie,SHARON SPRINGS VILLAGE,Sharon Springs (V),"Water system improvements., Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",547,450000,1125,231493379,
18746,Livingston,LIVINGSTON COUNTY WSA,Livingston County WSA,"Disinfection byproduct removal, new meters and SCADA, storage tank replacement, system consolidation., Upgrade Storage, Upgrade Distribution System, New System Consolidation",7975,1500000,1105,232993379,
18574,Cattaraugus,ELLICOTTVILLE (T) & (V),Ellicottville (T),"Upgrade Wells, Pump Stations, and Storage., Upgrade Ground Water Source, Upgrade Storage, Upgrade Pump Station",900,0,1100,232993379,
18448,Montgomery,FONDA (V) WATER WORKS,Fonda (V),"Water system improvements, Upgrade Surface Water Treatment Rule Compliance Facility, Upgrade Transmission, Upgrade Storage",1080,0,1095,232993379,
18577,Saratoga,MECHANICVILLE CITY,Mechanicville (C),"Filtration Upgrades., Upgrade Water Treatment Plant",5100,100000,1095,233093379,
18376,Oswego,RT 11 NORTH/FULLER RD WD PHASE E,Hastings (T),New Distribution System,1500,0,1095,233093379,
18173,Jefferson,BROWNVILLE (T),Brownville (T),"(T) Brownville WD#2., New Distribution System",424,0,1095,233093379,
18764,Greene,CATSKILL VILLAGE,Catskill (V),"WTP improvements to control DBPs and replace water mains on Main Street., Upgrade Water Treatment Plant, Upgrade Distribution System",8000,0,1090,233093379,
18583,Orange,PINE BUSH WATER DISTRICT,Crawford (T),"Develop new groundwater source, construction of new treatment building and installation of 8,700 ft of water main., New Water Treatment Plant, New Ground Water Source, New Transmission",7000,0,1085,233093379,
18242,Yates,DRESDEN VILLAGE,Dresden (V),"THM removal aeration equipment and flushing hydrants, Upgrade Storage",700,0,1085,233093379,
17299,Albany,RAVENA VILLAGE,Ravena (V),"Source, WTP, Storage, and Distribution Improvements., Upgrade Water Treatment Plant, Upgrade Surface Water Source, Upgrade Storage, Upgrade Distribution System",4500,0,1080,233093379,
18745,Lewis,LOWVILLE VILLAGE,Lowville (V),"Groundwater Project Phase 1., Upgrade Water Treatment Plant, New Ground Water Source, New Pump Station",4000,3000000,1080,236093379,
18548,Lewis,HAMLET OF GLENFIELD WATER DISTRIBUTION S,Martinsburg (T),"Improvements to the existing water system including replacing the original water distribution system., Upgrade Distribution System",231,0,1080,236093379,
17422,Herkimer,"HERKIMER (T), WD NO. 3",Herkimer (T),"New Storage, New Pump Station, Distribution System Improvements., New Storage, New Pump Station, Upgrade Distribution System",320,0,1080,236093379,
18309,Chenango,GUILFORD WATER DISTRICT,Guilford (T),"Water System Improvements Project, New Water Treatment Plant, New Ground Water Source, New Transmission",350,0,1075,236093379,
18239,Greene,GREENVILLE WATER DISTRICT NO 1,Greenville (T),"Pressure, storage, and SCADA Improvements. Extend distribution system to serve contaminated private wells., New Storage, Extend Distribution System, Upgrade Distribution System",765,500000,1075,236593379,
18618,Tioga,CANDOR VILLAGE WATER DEPT.,Candor (V),"Source, treatment and distribution improvements. , Upgrade Ground Water Source, Upgrade Pump Station, Upgrade Distribution System",1020,0,1070,236593379,
18291,Essex,LAKE PLACID V,Lake Placid (V),"Upgrade Water Treatment Plant, New Storage, Upgrade Distribution System",5000,6209996,1070,242803375,
18584,Rensselaer,BERLIN WATER DISTRICT # 2,Berlin (T),"Replace Storage. Upgrade Well Pumps and System Controls., Upgrade Ground Water Source, Upgrade Storage",700,0,1070,242803375,
18810,Nassau,WA OF GREAT NECK NORTH,Water Auth - Great Neck North,"Phase 2 of Project #18146. Resiliency and redundancy at wells 2A, 5, 6, 8 and 11A, Backup generators at wells 6 and 10A., Upgrade Other Expenses, Upgrade Other (OT)",31400,0,1020,242803375,SMLP
18090,Dutchess,REVERE PARK (E.FISH.WD#2),East Fishkill (T),"Interconnection of Hopewell West and Revere Park with Hopewell Hamlet via Fishkill Plains., New Distribution System, Upgrade Distribution System, New Inter-Connection",280,5093266,205,247896641,
16339,Jefferson,WELLESLEY ISLAND WATER CORP.,Wellesley Island Water Corp.,"New Water Treatment Plant, New Surface Water Source",548,2336000,140,250232641,
19225,Livingston,LIVINGSTON COUNTY WSA,Livingston County WSA,"Leicester/York Water Supply; Expansion to Communities Impacted by AKZO Salt Mine, Extend Distribution System",3100,51345500,140,301578141,
17488,Westchester,WESTCHESTER JOINT WATER WORKS,WJWW,"Phase 1a of Project #18654 and #18269. Construction of 30 MGD filter plant, New Surface Water Treatment Rule Compliance Facility",55210,55000000,125,356578141,
19201,Cayuga,CAYUGA COUNTY W&S AUTHORITY,Cayuga County W&S Authority,"Regional Water District Project, New Water Treatment Plant, Upgrade Transmission, New Storage, New Pump Station, Upgrade Distribution System, New System Consolidation, New Water District",42653,54882970,125,411461111,
19489,Clinton,SCHUYLER FALLS (T),Clinton County,"Morrisonville WD Sands Road Extension to serve PFOA contaminated private wells., New Distribution System, New System Consolidation",4843,5500000,125,416961111,BEC
19102,Schuyler,ODESSA VILLAGE,Odessa (V),"Treatment Plant for iron, manganese, and arsenic; Water Main replacement; Tank mixer, New Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",810,10251410,115,427212521,
18973,Suffolk,RIVERHEAD WD,Riverhead (T),"WD Extension - Forge Rd MHPs due to PFOA/PFOS and Mn contamination in private wells, Extend Distribution System, Extend Water District",28000,1185000,110,428397521,BEC
18954,Westchester,SOMERS HAMLET WD,Somers (T),"New drinking water distribution system to address PFAS contamination, New Distribution System, New Water District",100,2912700,110,431310221,
19093,Clinton,PLATTSBURGH CITY,Plattsburgh (C),"Phase 2 Water System Upgrades / New GW Source Development, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System",18000,5240000,105,436550221,BGS
19529,Chautauqua,MAYVILLE (V),Mayville (V),"New Well, New Treatment System, Replace WM, New Ground Water Source",2000,7640540,105,444190761,
18717,Chenango,SOUTH OTSELIC WATER DISTRICT,Otselic (T),"Improvements to Source, treatment, storage, distribution, and meters., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",300,4259000,105,448449761,BGS
19545,Montgomery,FLORIDA (T),Florida (T),"Fort Hunter Extension & Tank Improvements for DBPs, Upgrade Storage, Extend Distribution System",432,8111250,105,456561011,
19061,Wyoming,ATTICA VILLAGE,Attica (V),"Water Treatment Plant Upgrades, Upgrade Water Treatment Plant",2700,11125000,100,467686011,
19517,Lewis,VILLAGE OF TURIN,Turin (V),"Water Main Replacement and Water Storage Tank Replacement, Upgrade Storage, Upgrade Distribution System",300,6952500,100,474638511,
19170,Dutchess,PAWLING VILLAGE,Pawling (V),"New GW Sources, new WTP and related utility work on well fields., New Water Treatment Plant, New Ground Water Source",1907,4000000,95,478638511,
19506,Greene,ATHENS (V),Athens (V),"Surface Water Treatment Plant Rehabilitation, Upgrade Surface Water Treatment Rule Compliance Facility",1586,1331338,95,479969849,
19525,Chautauqua,CLYMER (T),Clymer (T),"New Well, New Storage Tank, and Replacement of WM, New Ground Water Source",545,10707880,95,490677729,
18772,Chautauqua,CHAUTAUQUA HEIGHTS WATER DISTRICT,Chautauqua (T),"WD No. 2 Alternative Water Supply., New Ground Water Source",174,6942000,95,497619729,BGS
19154,Jefferson,WATERTOWN (C),Watertown (C),"WTP Upgrades to address DBPs, Upgrade Water Treatment Plant",50000,51500000,95,549119729,
17093,Otsego,HARTWICK WATER DISTRICT,Hartwick (T),"New Ground Water Source, Upgrade Storage, Upgrade Distribution System",416,3760078,95,552879807,
18923,Chenango,NEW BERLIN (V),New Berlin (V),"Treatment upgrades, main replacement, new meters and tank improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",1000,15397000,95,568276807,
19140,Jefferson,WATERTOWN TOWN WD 4,Watertown (T),"System Water Looping to address disinfection byproducts and consolidate Northland Estates and Pine Meadows PWS, Upgrade Distribution System",750,10135200,95,578412007,
18915,Onondaga,TOWN OF LAFAYETTE,LaFayette (T),"New water system to serve Town of LaFayette., New Ground Water Source, New Storage, New Pump Station, New Distribution System",1400,26460000,95,604872007,
19538,Chautauqua,CHAUTAUQUA (T),Chautauqua (T),"Extension of WD No. 4, Upgrade Water District",650,9591360,95,614463367,
16510,Schenectady,DELANSON (V),Delanson (V),"Address Stage 2 DBPR Violation., Upgrade Water Treatment Plant",335,1767425,90,616230792,
18982,Essex,WILLSBORO WD,Willsboro (T),"Phase I - new WTP, intake improvements, pump station upgrades., New Water Treatment Plant, New Storage, Upgrade Distribution System",1571,10310300,90,626541092,
19571,Seneca,OVID (V),Ovid (V),"New UF and RO systems, tank mixing and ventilation systems, replacement of water main. New Water Treatment Plant, Upgrade Distribution System, New Other (OT)",1056,4438167,90,630979259,
18823,NY City,NEW YORK CITY - CROTON SYSTEM,NYCMWFA,"Croton Filtration Plant (Phase 16 of 16479), New Surface Water Treatment Rule Compliance Facility",1000000,0,90,630979259,
19244,Cattaraugus,SALAMANCA (C),Salamanca (C),"Abandon Existing WTP, New Well Source, New Pump Building, Upgrade Water Treatment Plant",6150,28040556,90,659019815,
18670,Nassau,HEMPSTEAD (V),Hempstead (V),"1,4-dioxane treatment at Clinton Street Plant, Upgrade Water Treatment Plant",56000,18087119,90,677106934,
18097,Jefferson,CLAYTON VILLAGE,Clayton (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System",2100,0,90,677106934,FMP
18939,St. Lawrence,HERMON VILLAGE,Hermon (T),"Source and WTP improvements, replacement of entire distribution system for WD #1, New Ground Water Source, New Transmission, New Distribution System",492,7879500,90,684986434,BGS
19051,Allegany,SCIO WATER DISTRICT,Scio (T),"Water Storage Tank Replacement and Water System Improvements, Upgrade Storage, Upgrade Distribution System",900,2550000,90,687536434,BGS
17417,Delaware,ARKVILLE WATER DISTRICT,Middletown (T),"Extend distribution, 100,000 gallons of storage, 100 gpm well, system consolidation, New Ground Water Source, Extend Distribution System, Extend System Consolidation",400,1833375,90,689369809,
18985,Orange,BLOOMING GROVE WD #1-WORLEY HE,South Blooming Grove (V),"Phase 1 Improvements - Two new wells, water main replacement, new pump station, new storage tank, New Ground Water Source, New Storage, Upgrade Distribution System",1500,7837762,85,697207571,
19547,Erie,AKRON VILLAGE,Akron (V),"Improve Water Storage Tank, Install TTHM Removal System, Upgrade Storage",2900,6500000,85,703707571,
18197,Otsego,ONEONTA CITY,Oneonta (C),"WTP, Distribution, and Storage Upgrades, Upgrade Water Treatment Plant, New Storage",15779,8072625,85,711780196,BGS
18872,Herkimer,HERKIMER VILLAGE,Herkimer (V),"Phase 2 (2nd Priority) Water System Improvements, New Ground Water Source, New Storage, Upgrade Distribution System",7606,20597940,85,732378136,BGS
18843,Cattaraugus,PORTVILLE VILLAGE,Portville (V),"Well, treatment, storage, and distribution upgrades, Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",1040,5408530,85,737786666,BGS
19335,Seneca,SENECA FALLS (T),Seneca Falls (T),"Phase 1 of overall #19196 Project - WTP Upgrades and WM Extension, Upgrade Water Treatment Plant",9027,23500000,85,761286666,
18828,NY City,NEW YORK CITY-CATSKILL,DELAWARE SYSTEM,"3rd city tunnel, stage2 Bkln/Qns, shaft 17B-1 & 18B-1 (C547A), crit redund, Instr. and Tele, New Transmission",6552718,0,85,761286666,FMP
18886,NY City,NEW YORK CITY-CATSKILL,DELAWARE SYSTEM,"3rd city tunnel, stage2 Bkln/Qns, shaft 17B-1 & 18B-1 [Phase 2 of DWSRF 18828)], New Transmission",6552718,150000000,85,911286666,
18367,Delaware,FISHS EDDY COMMUNITY WATER SUP,Hancock (T),"Fish's Eddy Water District., New Ground Water Source, Upgrade Distribution System, New Water District",150,4184504,85,915471170,BGS
18006,Jefferson,WATER DISTRICT NO. 6,Hounsfield (T),"Upgrade Transmission, Upgrade Distribution System, Extend Distribution System",450,7715000,85,923186170,
18430,Hamilton,BLUE MT LAKE WD,Indian Lake (T),"DBP Compliance Project, New Ground Water Source",400,5000000,80,928186170,
18658,Lewis,TOWN OF LOWVILLE WD 1,Lowville (T),"DBP related system improvements, Upgrade Water Treatment Plant",350,1500000,80,929686170,
19007,Nassau,PLAINVIEW WD,Plainview WD,"Plant No. 3 - AOP/ GAC treatment for 1,4-dioxane and PFOA/ PFOS removal, Upgrade Water Treatment Plant",35000,4074700,80,933760870,
19008,Nassau,PLAINVIEW WD,Plainview WD,"Plant No. 4 - AOP/GAC treatment for 1,4-dioxane removal, Upgrade Water Treatment Plant",35000,9273681,80,943034551,
18942,Rockland,SUFFERN VILLAGE,Suffern (V),"PFAS Removal, Upgrade Water Treatment Plant",12000,532800,80,943567351,
19125,Ontario,RUSHVILLE (V),Rushville (V),"WTP Improvements to address harmful algal blooms and cyanotoxins, Upgrade Water Treatment Plant",2028,1500000,80,945067351,
19567,Rensselaer,TROY (C),Troy (C),"Corrosion Control Treatment Optimization, Upgrade Water Treatment Plant",51400,16070000,80,961137351,
18315,Fulton,GLOVERSVILLE (C) WATER WORKS,Gloversville (C),"New Storage, Upgrade Distribution System",17991,1000000,80,962137351,
18535,Albany,WATERVLIET CITY,Watervliet (C),"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Transmission",9889,0,80,962137351,FMP
19215,Wayne,NEWARK VILLAGE,Newark (V),"New 4.0 MG storage tank to replace Allerton Reservoir, New Storage",9682,6164550,80,968301901,BGS
18967,Nassau,TOWN OF HEMPSTEAD WD,Hempstead (T),"1,4-dioxane treatment for Well No. 13 at Levittown WD, Upgrade Water Treatment Plant",110000,8110000,80,976411901,
19332,Suffolk,RIVERHEAD WD,Riverhead (T),"Well No. 5-1 PFAS removal, Upgrade Water Treatment Plant",28000,2200000,80,978611901,
18681,Broome,ENDICOTT (V),Endicott (V),"Well No. 32 treatment for iron, manganese, and 1,4-dioxane, Upgrade Water Treatment Plant",46000,18473853,80,997085754,
18910,Oswego,VOLNEY TOWN WD,Volney (T),"County Rt. 6 / Maple Ave Water Service Area Extension, New Distribution System",103,710365,80,997796119,
18010,Oswego,TOWN / VILLAGE JOINT WATER PROJECT,Parish (T),"Water Supply Area No. 1, Serve inadequate private wells, Extend Distribution System, New Water District",1200,9476000,80,1007272119,
19119,Jefferson,PHILADELPHIA (T),Philadelphia (T),"New Proposed Water System, New Distribution System",183,6787746,80,1014059865,BGS
18425,Jefferson,WD#7,Hounsfield (T),"WD #7., New Distribution System",40,0,80,1014059865,FMP
18188,Orange,GOSHEN VILLAGE,Goshen (V),"Replace WTP at Prospect Reservoir, Upgrade Water Treatment Plant",5676,6120819,75,1020180684,BGS
15704,Greene,COXSACKIE VILLAGE,Coxsackie (V),"New storage tank and transmission main upgrades., Upgrade Transmission, New Storage",4010,0,75,1020180684,FMP
18002,Steuben,HAMLET OF WOODHULL MUNICIPAL WS,Woodhull (T),"System to serve former Village (now hamlet) with private contaminated wells., New Ground Water Source, New Storage, New Distribution System",483,4489928,75,1024670612,
18456,Ontario,RT. 14 WD JOINT PROJECT,Phelps (T),"Towns of Phelps, Geneva, and Waterloo Joint Project., New Inter-Connection, New Water District",262,2929753,75,1027600365,
19105,Westchester,MEADOWS AT CROSS RIVER,Meadow Water-Works Corp.,"Removal of sodium chloride and PFAS from water system, Upgrade Water Treatment Plant",630,952750,70,1028553115,
18131,Oneida,SAUQUOIT CONSOLIDATED WD (T/O/PARIS),Paris (T),"Saquoit WD Upgrades., New Water Treatment Plant, New Ground Water Source, Upgrade Transmission",2639,5250000,70,1033803115,
19550,Livingston,AVON (V),Avon (V),"Upgrade Water Tanks and Water Mains, Upgrade Distribution System",6200,4828640,70,1038631755,
19266,Sullivan,WOODRIDGE VILLAGE,Woodridge (V),"Installation of storage tank, new membrane filter, rehab lagoon, Upgrade Water Treatment Plant, New Storage, Upgrade Distribution System",902,16200000,70,1054831755,BGS
18903,Albany,ALBANY CITY,Albany MWFA,"2022 Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station",101082,0,70,1054831755,BGS
19287,Rensselaer,TROY (C),Troy (C),"Lead service line inventory., Upgrade Distribution System",51400,572000,70,1055403755,BLSLR
19411,Cayuga,AUBURN (C),Auburn (C),"Lead Service Line Inventory., Upgrade Distribution System",43000,917988,70,1056321743,BLSLR
19365,Orange,NEWBURGH (C),Newburgh (C),"Lead Service Line Inventory., Upgrade Distribution System",30000,968000,70,1057289743,BLSLR
18905,Cayuga,AUBURN,Auburn (C),"Comprehensive upgrades to City of Auburn Water Filtration Plant, Upgrade Water Treatment Plant",29788,9866370,70,1067156113,
18976,Fulton,GLOVERSVILLE (C) WATER WORKS,Gloversville (C),"WTP and Water Distribution system improvements. New booster pump station., Upgrade Water Treatment Plant, New Pump Station, Upgrade Distribution System",17991,5036753,70,1072192866,
18936,Jefferson,ALEXANDRIA VILLAGE,Alexandria Bay (V),"WTP upgrades and water main replacement., Upgrade Water Treatment Plant, Upgrade Distribution System",1900,13103000,70,1085295866,BGS
