Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total
19191,Cayuga,LOCKE W D,Locke (T),"New storage tank and well & Telemetry Upgrades at all facilities, New Ground Water Source, New Storage",600,3416049,40,358196805
19398,Cayuga,WEEDSPORT (V),Weedsport (V),"Lead Service Line Inventory., Upgrade Distribution System",1945,606500,35,358803305
18436,Cayuga,NILES WD NO. 1,Niles (T),"Niles Water District No. 1. , New Water District",33,201762,30,359005067
19209,Cayuga,FAIR HAVEN VILLAGE,Fair Haven (V),"Replacement of Asbestos Cement Watermain, Upgrade Distribution System",1000,5892888,25,364897955
18401,Cayuga,FLEMING WD #1,Fleming (T),"WD #1 Phase IIA Distribution Improvements., Upgrade Distribution System",1800,654000,15,365551955
18520,Chautauqua,MAYVILLE VILLAGE,Mayville (V),"New Source Development, Storage and Distribution Upgrades., Upgrade Other Expenses, New Ground Water Source, New Storage, Upgrade Distribution System, Upgrade Other (OT)",1856,500000,1170,366051955
18826,Chautauqua,SINCLAIRVILLE VILLAGE,Sinclairville (V),"Phase 2 of Project #18105., Upgrade Ground Water Source, Upgrade Transmission, Extend Distribution System",772,0,1145,366051955
18806,Chautauqua,SHERMAN VILLAGE,Sherman (V),"Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",917,0,1110,366051955
19529,Chautauqua,MAYVILLE (V),Mayville (V),"New Well, New Treatment System, Replace WM, New Ground Water Source",2000,7640540,105,373692495
19525,Chautauqua,CLYMER (T),Clymer (T),"New Well, New Storage Tank, and Replacement of WM, New Ground Water Source",545,10707880,95,384400375
18772,Chautauqua,CHAUTAUQUA HEIGHTS WATER DISTRICT,Chautauqua (T),"WD No. 2 Alternative Water Supply., New Ground Water Source",174,6942000,95,391342375
19538,Chautauqua,CHAUTAUQUA (T),Chautauqua (T),"Extension of WD No. 4, Upgrade Water District",650,9591360,95,400933735
18321,Chautauqua,NCCRWP,Chautauqua County,"North Chautauqua County Regional Water Project., New Water District",31000,0,70,400933735
19247,Chautauqua,POMFRET (T),Pomfret (T),"North End WD Phase 2, New Distribution System",1200,22263450,65,423197185
18540,Chautauqua,WD 2 EXT 1 NORTH & WTP RELOCATION,Chautauqua (T),"New Surface Water Treatment Rule Compliance Facility, Extend Transmission, Extend Distribution System",230,5125280,65,428322465
19330,Chautauqua,PORTLAND WD #2,Portland (T),"Water District No 2, Rt 5 Water Main Replacement, Upgrade Distribution System",4827,2601000,50,430923465
19308,Chautauqua,SHOREWOOD WATER DISTRICT,Dunkirk (T),"Shorewood Water District Main Replacement, Upgrade Distribution System",700,2295000,40,433218465
18413,Chautauqua,FREWSBURG WATER DISTRICT,Carroll (T),Upgrade Storage,2600,960000,40,434178465
19246,Chautauqua,CHESTNUT ROAD WATER DISTRICT,Pomfret (T),"Chestnut WD Water Main Replacement, Upgrade Distribution System",90,681345,35,434859810
18757,Chautauqua,BROCTON (V),Brocton (V),"Replacement of approximately 3,400 LF of 8"" watermain., Upgrade Distribution System",1486,0,35,434859810
19245,Chautauqua,BERRY ROAD WATER DISTRICT,Pomfret (T),"Berry WD Water Main Replacement, Upgrade Distribution System",150,1835666,35,436695476
18770,Chautauqua,POMFRET (T),Pomfret (T),"Replacement of distribution mains, and appurtenances in Lily Dale WD., Upgrade Distribution System",3730,3230000,35,439925476
18084,Chautauqua,BROCTON VILLAGE,Brocton (V),"Replace 10,600 lf +/-water main, Upgrade Distribution System",4000,0,35,439925476
19179,Chautauqua,FREDONIA VILLAGE,Fredonia (V),"Fredonia Fresh Water Reservoir Spillway Improvements, Upgrade Surface Water Source",10400,10300000,30,450225476
18399,Chautauqua,CLYMER WATER DISTRICT,Clymer (T),"Repairs to wellhouse floor., Upgrade Ground Water Source",650,275000,25,450500476
18322,Chemung,ELMIRA WATER BOARD,Elmira Water Board,"Elmira Refresh Initiative., Upgrade Transmission, Upgrade Distribution System",65000,6043913,70,456544389
19068,Chemung,HORSEHEADS VILLAGE,Horseheads (T),"Oak Hill Water District Extension, New Distribution System",11530,461000,70,457005389
19149,Chemung,WELLSBURG (V),Wellsburg (V),"Tank decommissioning & replacements, distribution upgrades, new emergency ground supply, New Ground Water Source",580,6536623,60,463542012
18890,Chemung,MILLPORT (V),Millport (V),"New Well and Upgrade Tank, Meters, and Telemetry., New Other Expenses, Upgrade Ground Water Source, Upgrade Storage",292,1604100,60,465146112
18737,Chemung,BIG FLATS WD #4,Big Flats (T),"Smith Valley and Ponderosa Drive Extension., Extend Distribution System",231,2277534,55,467423646
18767,Chemung,HORSEHEADS VILLAGE,Horseheads (V),"Upgrade water mains and appurtenances in Ridge Road, Number Street and Center Street areas., Upgrade Distribution System",11530,0,45,467423646
18309,Chenango,GUILFORD WATER DISTRICT,Guilford (T),"Water System Improvements Project, New Water Treatment Plant, New Ground Water Source, New Transmission",350,0,1075,467423646
18717,Chenango,SOUTH OTSELIC WATER DISTRICT,Otselic (T),"Improvements to Source, treatment, storage, distribution, and meters., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",300,4259000,105,471682646
18923,Chenango,NEW BERLIN (V),New Berlin (V),"Treatment upgrades, main replacement, new meters and tank improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",1000,15397000,95,487079646
19399,Chenango,SMITHVILLE (T),Smithville (T),"Smithville Flats New Water System, New Ground Water Source",350,8000000,70,495079646
19184,Chenango,BAINBRIDGE (V),Bainbridge (V),"Water System Improvements - WM Replacement, New Well, Booster PS Improvements, New Ground Water Source, Upgrade Pump Station, Upgrade Distribution System",1600,7455600,65,502535246
18198,Chenango,OXFORD VILLAGE,Oxford (V),"Upgrades to valve vault, distribution & transmission mains., Upgrade Transmission, Upgrade Distribution System",1738,0,60,502535246
18522,Chenango,NEW BERLIN VILLAGE,New Berlin (V),"Distribution, source, and storage improvements., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",1500,4877339,45,507412585
18554,Chenango,AFTON (V),Afton (V),"Replace water storage tank, upgrade spring source booster pump station, upgrade well control building, water main replacement.",1000,6995000,40,514407585
19351,Chenango,BAINBRIDGE (V),Bainbridge (V),"Lead Service Line Inventory, Upgrade Distribution System",1600,726000,40,515133585
18900,Chenango,VILLAGE OF GREENE,Greene (V),"Phase 1 - Water main replacement, Upgrade Distribution System",1800,20566400,35,535699985
19372,Chenango,NEW BERLIN (V),New Berlin (V),"Lead Service Line Inventory, Upgrade Distribution System",1000,398200,30,536098185
18328,Clinton,PLATTSBURGH CITY,Plattsburgh (C),"Phase 1 WTP, Source, Transmission, and Distribution Upgrades., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System",18000,0,1115,536098185
19489,Clinton,SCHUYLER FALLS (T),Clinton County,"Morrisonville WD Sands Road Extension to serve PFOA contaminated private wells., New Distribution System, New System Consolidation",4843,5500000,125,541598185
19093,Clinton,PLATTSBURGH CITY,Plattsburgh (C),"Phase 2 Water System Upgrades/ New GW Source Development, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System",18000,5240000,105,546838185
19487,Clinton,PLATTSBURGH (C),Plattsburgh (C),"Phase 3 - drinking water system upgrades. , Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission",19840,8832000,65,555670185
18981,Clinton,MORRISONVILLE WD,Schuyler Falls (T),"Replacement of asbestos cement water main., Upgrade Distribution System",1300,5729375,65,561399560
18809,Clinton,ROUSES POINT WATER DISTRICT,Rouses Point (V),"WTP Replacement with membrane microfiltration with raw water pump station., New Water Treatment Plant, New Surface Water Source, New Pump Station",2139,10000000,55,571399560
18386,Clinton,REDFORD WATER DISTRICT,Saranac (T),"Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",486,1984430,50,573383990
18604,Clinton,BEEKMANTOWN WATER DISTRICT,Beekmantown (T),"New Public Water System., New Complete System (New System)",250,6862378,45,580246368
18867,Clinton,CHAMPLAIN (V),Champlain (V),"Replacement of failing watermain., Upgrade Distribution System",1000,1442000,45,581688368
19280,Clinton,PLATTSBURGH (C),Plattsburgh (C),"Lead service line inventory., Upgrade Distribution System",19840,324000,35,582012368
18974,Clinton,BLACK BROOK WD NO2,Black Brook (T),"Installation and replacement of water meters., Upgrade Other Expenses, Upgrade Other (OT)",77,845000,35,582857368
18027,Clinton,PLATTSBURGH AIRPORT,Clinton County,Upgrade Distribution System,47000,10402825,30,593260193
17683,Clinton,PLEASANT RIDGE WD,Plattsburgh (T),New Storage,168,1985000,30,595245193
19445,Clinton,ROUSES POINT VILLAGE WD,Rouses Point (V),"Lead service line inventory., Upgrade Distribution System",2195,273980,30,595519173
19251,Clinton,PERU WD,Peru (T),"Supplemental water source, new wells and transmission main., New Ground Water Source, New Transmission",2600,14394250,25,609913423
19252,Clinton,CHAZY WATER DISTRICT,Chazy (T),"WST rehab, water plant upgrades., Upgrade Water Treatment Plant, Upgrade Storage",690,2369000,15,612282423
18031,Columbia,VALATIE VILLAGE,Valatie (V),"New Surface Water Treatment Rule Compliance Facility, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System",2000,1982750,145,614265173
19537,Columbia,VALATIE (V),Valatie (V),"New filtration and PFAS treatment facility., New Water Treatment Plant",2000,3942100,65,618207273
18821,Columbia,GREENPORT WD NO1,Greenport (T),"Source, Treatment and Distribution System Improvements., Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Pump Station, Upgrade Distribution System",4050,6228500,60,624435773
19512,Columbia,KINDERHOOK (T),Kinderhook (T),"Watermain replacement and extension, New Distribution System, Upgrade Distribution System",600,2266000,55,626701773
19441,Columbia,HUDSON (C),Hudson (C),"Lead service line inventory., Upgrade Distribution System",6700,257500,40,626959273
18948,Columbia,CHATHAM VILLAGE,Chatham (V),"Replace water main on Austerlitz St & Houseman Ave., Upgrade Distribution System",2156,1432215,35,628391488
19300,Columbia,HUDSON (C),Hudson (C),"Upgrade water mains on Robinson and 3rd Street, Upgrade Distribution System",125,1026260,35,629417748
19391,Columbia,VALATIE VILLAGE,Kinderhook (T),"Develop new GW Source, Connection to existing distribution system, New Ground Water Source, Upgrade Distribution System",2000,2280000,15,631697748
19434,Columbia,KINDERHOOK (V),Kinderhook (V),"Lead service line inventory., Upgrade Distribution System",1100,192000,15,631889748
18620,Columbia,KINDERHOOK (V),Kinderhook (V),"Williams Street & Albany Avenue Water Main Replacement, AMI Meter System., Upgrade Distribution System",1170,1954500,15,633844248
18007,Cortland,MARATHON VILLAGE,Marathon (V),"New Storage, New Pump Station, Upgrade Distribution System",1107,2947345,50,636791593
18206,Cortland,CORTLAND (C),Cortland (C),"Clinton Avenue Distribution System Upgrade., Upgrade Distribution System",20095,2009463,50,638801056
18909,Cortland,CORTLAND (C),Cortland (C),"Homer Ave Reconstruction & Water Main Replacement Project., Upgrade Distribution System",21859,5455000,45,644256056
18888,Cortland,VILLAGE OF MARATHON,Marathon (V),"Water Main Crossings of the Tioughnioga River, Upgrade Distribution System",1107,775000,35,645031056
18452,Cortland,CORTLAND (C),Cortland (C),"Service Line Replacement, Upgrade Distribution System",20095,3150000,35,648181056
19520,Cortland,HOMER (V),Homer (V),"New Water Storage Tank West of I-81, New Storage",4514,4048000,30,652229056
19404,Cortland,HOMER WATER WORKS,Homer (V),"Lead Service Line Inventory., Upgrade Distribution System",4000,1050600,25,653279656
18348,Delaware,ROXBURY WATER DISTRICT,Roxbury (T),"Roxbury and Grand Gorge Joint project., New Surface Water Treatment Rule Compliance Facility, Upgrade Ground Water Source, Upgrade Distribution System",755,0,1150,653279656
18338,Delaware,SIDNEY VILLAGE,Sidney (V),"New Ground Water Supply and WTP to Replace Existing Inadequate Wells., Upgrade Ground Water Source, Extend Distribution System, Upgrade Distribution System",5100,0,1140,653279656
18803,Delaware,HOBART VILLAGE,Hobart (V),"Upgrade Water Treatment Plant, New Ground Water Source",370,0,1105,653279656
17417,Delaware,ARKVILLE WATER DISTRICT,Middletown (T),"Extend distribution, 100,000 gallons of storage, 100 gpm well, system consolidation., New Ground Water Source, New Storage, Extend Distribution System, Extend System Consolidation",400,1833375,90,655113031
18367,Delaware,FISHS EDDY COMMUNITY WATER SUP,Hancock (T),"Fish's Eddy Water District., New Ground Water Source, Upgrade Distribution System, New Water District",150,4184504,85,659297535
18133,Delaware,BOVINA CENTER WATER DIST. NO 1,Bovina (T),New Ground Water Source,142,657000,60,659954535
19046,Delaware,DELHI (V),Delhi (V),"Distribution, Storage, & Pump Station Upgrades, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System",3833,6500000,55,666454535
19379,Delaware,ANDES (T),Andes (T),"Installation of two wells, new treatment process, connection to distribution system, line existing reservoir, Upgrade Water Treatment Plant, Upgrade Surface Water Source, New Ground Water Source",350,2588550,50,669043085
19505,Delaware,MARGARETVILLE (V),Margaretville (V),"Hospital Tank replacement, meters, control system upgrades, Upgrade Storage, Upgrade Distribution System",514,1508801,45,670551886
18216,Delaware,WALTON VILLAGE,Walton (V),"Replace two tanks and aged mains on Bruce, Prospect and Burton Sts., Upgrade Storage, Upgrade Distribution System",3070,0,45,670551886
18916,Delaware,HAMDEN WATER DIST 1 - HAMDEN,Hamden (T),"Hamden WD Distribution System Upgrades., Upgrade Distribution System",110,334235,25,670886121
18831,Delaware,FRANKLIN VILLAGE,Franklin (V),"Replace existing 250,000-gal water storage tank., New Storage",481,767350,25,671653471
15301,Dutchess,TIVOLI (V),DCWWA,"Upgrade Water Treatment Plant, Upgrade Ground Water Source, New Storage, Upgrade Pump Station, Upgrade Distribution System, New System Consolidation",1035,0,1115,671653471
18090,Dutchess,REVERE PARK (E.FISH.WD#2),East Fishkill (T),"Interconnection of Hopewell West and Revere Park with Hopewell Hamlet via Fishkill Plains., New Distribution System, Upgrade Distribution System, New Inter-Connection",280,5093266,205,676746737
19170,Dutchess,PAWLING VILLAGE,Pawling (V),"New GW Sources, new WTP and related utility work on well fields., New Water Treatment Plant, New Ground Water Source",1907,4000000,95,680746737
19146,Dutchess,PINEWOOD KNOLLS WATER DISTRICT,East Fishkill (T),"Provide interconnections within the Town's existing water districts and develop new GW Sources to address PFOA/PFAS contamination, New Ground Water Source, Upgrade Distribution System",265,11183599,60,691930336
19326,Dutchess,AMENIA WATER DISTRICT NO 1,Amenia (T),"Lead Service Line Inventory., Upgrade Distribution System",1005,481000,60,692411336
19420,Dutchess,GREENFIELD WATER DISTRICT,DCWWA,"Interconnection of Greenfields Water System to Hyde Park Regional Water System to address PFAS contamination, Upgrade Water Treatment Plant, New Pump Station, New Inter-Connection",1050,13617622,55,706028958
16236,Dutchess,RED HOOK VILLAGE,Red Hook (V),"New Ground Water Source, Upgrade Ground Water Source, New Storage, Upgrade Distribution System",2214,0,55,706028958
18822,Dutchess,WAPPINGERS FALLS (V),Wappingers Falls (V),"New Greensand WTP for Mn Removal, New Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage",6500,3042840,55,709071798
18569,Dutchess,BRINKERHOFF WATER DISTRICT,Fishkill (T),"Interconnection to Merritt Park Water District, New Inter-Connection",3788,2633200,55,711704998
18918,Dutchess,RHINEBECK VILLAGE WATER,Rhinebeck (V),"Upgrade Water Treatment Plant, Upgrade Storage",4300,6649680,45,718354678
18536,Dutchess,PINEBROOK ESTATES,DCWWA,"Interconnection to DCWWA Hyde Park System., New Distribution System, New Inter-Connection",200,3489161,45,721843839
18830,Dutchess,WAPPINGERS FALLS VILLAGE,Wappingers Falls (V),"Interconnection between Wappingers Falls (V) and Wappinger (T)., New Inter-Connection",6000,1440252,45,723284091
18028,Dutchess,POUGHKEEPSIE CITY,City of Poughkeepsie,"Upgrade Other Expenses, Upgrade Other (OT)",28000,4311035,40,727595126
19187,Dutchess,AMENIA WD #1,Amenia (T),"Water District No. 1 Improvements, New Ground Water Source, New Storage, New Distribution System",1010,13338500,40,740933626
18698,Dutchess,POUGHKEEPSIE WATER TREATMENT FACILITY,Poughkeepsie JWB,"Remove and replace six UV units, Upgrade Water Treatment Plant",77000,560000,35,741493626
19402,Dutchess,CITY OF POUGHKEEPSIE,Poughkeepsie (C),"Lead Service Line Inventory., Upgrade Distribution System",32000,2453300,35,743946926
18140,Dutchess,RED HOOK VILLAGE,Red Hook (V),"New Storage, Upgrade Distribution System",2214,0,35,743946926
19575,Dutchess,WAPPINGERS FALLS (V),Wappingers Falls (V),"Wenliss Water Tank Rehabilitation, Upgrade Storage",6500,2274240,35,746221166
18723,Dutchess,POUGHKEEPSIE CITY,City of Poughkeepsie,Upgrade Distribution System,28000,15770000,35,761991166
18651,Dutchess,MILLERTON VILLAGE,Millerton (V),"Rehab. existing tank, repl. hydrants, rehab. water meters., Upgrade Storage, Upgrade Distribution System",1150,0,35,761991166
19032,Dutchess,PAWLING WD NO. 2,Pawling (T),"Pawling WD No. 2 Phase 1 Treatment, Storage, and Distribution Upgrades, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",200,853500,35,762844666
19565,Dutchess,POUGHKEEPSIE (C),Poughkeepsie (C),"Water main replacement Phases 1 - 10, Upgrade Distribution System",32000,77804140,35,840648806
19576,Dutchess,WAPPINGERS FALLS (V),Wappingers Falls (V),"Water Meter Replacement, Upgrade Distribution System",6500,1725500,30,842374306
18566,Dutchess,BRINKERHOFF WATER DISTRICT,Fishkill (T),"Install GWUDI well filtration system, New Water Treatment Plant",3788,2317500,30,844691806
18949,Dutchess,MILLERTON VILLAGE,Millerton (V),"Replacement of watermain, minor updates to Well, Upgrade Distribution System",1150,6280454,25,850972260
18787,Dutchess,RED HOOK WATER DISTRICT #1,Red Hook (V),"Enhance interconnection with Red Hook (T); eliminate Well #4 due to PFAS, Upgrade Storage, Upgrade Distribution System, Upgrade Inter-Connection",1440,0,25,850972260
19173,Dutchess,POUGHKEEPSIE TOWNWIDE WD,Poughkeepsie (T),"Rehabilitation of two 5 MG tanks and improvements to Spackenkill Water Pump Station, Upgrade Storage, Upgrade Pump Station",40000,10563009,25,861535269
18864,Dutchess,UNITED WAPPINGER WATER IMPROVEMENT DIST.,Wappinger (T),"Installation of GAC for PFOA/PFOS removal., Upgrade Water Treatment Plant, Upgrade Distribution System",14000,5170000,25,866705269
18780,Dutchess,FISHKILL (V),Fishkill (V),"Water System Upgrades and rehabilitation of existing wells, Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage",11289,10525000,20,877230269
