COUNTY,epic_merge_id,PWSID,PROJECT COST,DEP PROJECT RATING,APPLICANT,STREET ADDRESS,PROJECT TYPE,CITY,PROJRANK,FUND SOURCE,MTGDATE,REGION,PROJ. DESCRIPTION,PROB. DESCRIPTION,POPULATION,PV RATING,GREEN CATEGORY,GREEN PROJECT,BUSINESS CASE,GREEN AMOUNT
CLINTON,11,4180048,"$5,000,000.00",58,"CITY OF LOCK HAVEN - MODIFICATIONS TO 
WARREN OHL DAM",20 E CHURCH ST,DAM,LOCK HAVEN,11,STATE BYPASS,4/20/22,IV,"The City of Lock Haven is planning on completing upgrades and improvements to the existing Ohl Dam. The project will consist of 
construction of the dam crest parapet wall and raising spillway walls, replacement of the spillway terminal structure, replacement of the 
intake bridge, construction of a lower reservoir access road, and construction of a structure above the intake tower to house the valve 
operators. Rehabilitation of the existing spillway chute including repairs to the spillway slab and replacement of the sections of the 
spillway walls where applicable will take place. The project will also include rehabilitation of the intake tower including the new gate 
valves and repair of any necessary concrete.
PROB. DESCRIPTION: This project intends to address issues found in the October 2016 Ohl Dam Evaluation Report. The report concluded that “The 
intake structure, gates, valves, equipment and access bridge should be renewed or replaced due to their age, deterioration and 
expected usefulness. The bridge, piers and bearing at the upper portion of the intake structure are no longer structurally sufficient 
and should be replaced. The intake structure below normal water level must be either repaired or modified to be a ""wet"" intake 
structure, through the use of new slide gates and wall openings. Under further recommendation that the spillway slab and 
portions of the walls be repaired or replaced where applicable.” The proposed project will strengthen the dam and will improve 
safety of the downstream population and improve consistent raw water source for the City of Lock Haven.","This project intends to address issues found in the October 2016 Ohl Dam Evaluation Report. The report concluded that “The 
intake structure, gates, valves, equipment and access bridge should be renewed or replaced due to their age, deterioration and 
expected usefulness. The bridge, piers and bearing at the upper portion of the intake structure are no longer structurally sufficient 
and should be replaced. The intake structure below normal water level must be either repaired or modified to be a ""wet"" intake 
structure, through the use of new slide gates and wall openings. Under further recommendation that the spillway slab and 
portions of the walls be repaired or replaced where applicable.” The proposed project will strengthen the dam and will improve 
safety of the downstream population and improve consistent raw water source for the City of Lock Haven.","9,890",73,N/A,No,N/A,$0.00
POTTER,12,6530010,"$353,908.00",58,"GALETON BORO AUTH - WATER SYSTEM 
IMPROVEMENTS",2 SHERMAN STREET,TREAT,GALETON,12,STATE BYPASS,1/19/22,IV,"For the automatic monitoring of the turbidity and chlorine at the water filtration plant which will require work at the water filtration plant 
and booster station owned by the Galeton Borough Authority. This work includes modifications to piping, relocation of turbidimeters, 
installation of new turbidimeters and chlorine analyzers, installation of 4 new flow meters, installation of 5 new motor actuated valves, 
installation of a 1 new precast concrete metering valve vault, installation of new underground piping and 3 valves, new controls in the 
water filtration building, updating the electrical power distribution, installation of new electrical signal and control wiring, and new 
underground electrical conduit and wiring. Once all equipment is installed, the Authority's process control integrator will update the 
existing control panels to work with the new equipment to monitor the chlorine residual and turbidity.
PROB. DESCRIPTION: New regulations included in Title 25 Pa. Code Section 109 went into effect in August 2019. These regulations require that Public 
Water Suppliers must provide automatic monitoring of treated water quality, alarms, and automatic shutdown of water treatment 
facilities to prevent the delivery of improperly treated water to customers in the event of malfunctions. A Consent Order and 
Agreement (COA) between the PADEP and Galeton was entered into on April 3rd, 2020, and a Corrective Action Plan (CAP) was 
finalized on July 17, 2020.","New regulations included in Title 25 Pa. Code Section 109 went into effect in August 2019. These regulations require that Public 
Water Suppliers must provide automatic monitoring of treated water quality, alarms, and automatic shutdown of water treatment 
facilities to prevent the delivery of improperly treated water to customers in the event of malfunctions. A Consent Order and 
Agreement (COA) between the PADEP and Galeton was entered into on April 3rd, 2020, and a Corrective Action Plan (CAP) was 
finalized on July 17, 2020.","1,200",73,N/A,No,N/A,$0.00
CARBON,13,2408001,"$1,450,000.00",55,"HAZLETON CITY AUTHORITY LEHIGH RIVER 
PUMP STATION REPAIR",400 E. ARTHUR GARDNER PARKWAY,SRC,HAZLETON,13,STATE BYPASS,4/20/22,II,"The Hazleton City Authority (HCA) operates and maintains an existing, below grade, 5.0 Million Gallons Per Day (MGD) raw water 
pumping station on the banks of the Lehigh River within a PA DCNR State Park and National Heritage Corridor. On August 22, 2021, 
a severe and unusual storm event within the Lehigh River Basin resulted in extremely high river water levels and flooded the station 
resulting in catastrophic fire damage.  The station has been off-line since the event.  The Lehigh River Pumping station being off-line 
impacts HCA's ability to meet customer demand, safe yield and drought contingency plans.  The proposed project consists of 
complete demolition, cleaning the station, repairing damage to interior surfaces, priming/painting, and replacing all damaged and/or 
failed equipment in-kind (including the 5 MGD pumps and electrical components) and relocating the transformer above grade to 
prevent future issues.  Relocating the entire station above grade is not an option due to its location in the state park and Heritage 
Corridor.  The pumping station is a critical component of HCA's PWS system and is vital to meeting safe yields, customer demands, 
and is a key component in their drought planning for the system.  This project will allow HCA to continue to operate and maintain 
system facilities and to continue to meet regulatory requirements
PROB. DESCRIPTION: A severe and unusual storm event within the Lehigh River Basin resulted in extremely high river water levels, which was several 
feet above the finished floor elevation of the pump station and flooded the station. Water reached the high voltage transformers 
and created a sudden short circuit, exploded and cut the power to the station. The high water level, explosion, voltage spike, 
short circuit, high temperature and corrosive/moist atmosphere resulted in significant damage throughout the station. The station 
has been inoperable since the event, impacting HCA's ability to meet customer demand, safe yield and drought contingency 
plans.  The intent of this project is to complete demolition, clean the station, repair damage to interior surface, prime/paint, and 
replace all damaged and/or failed equipment in-kind and relocate the transformer above grade to prevent future issues.  
Relocating the entire station above grade is not an option due to its location in the state park and Heritage Corridor.  The 
pumping station is a critical component of HCA's PWS system and is vital to meeting safe yields, customer demand, and is a key 
component in their drought planning strategy for the system.  This project will allow HCA to continue to operate and maintain 
system facilities as the station has been off-line since the catastrophic event.","A severe and unusual storm event within the Lehigh River Basin resulted in extremely high river water levels, which was several 
feet above the finished floor elevation of the pump station and flooded the station. Water reached the high voltage transformers 
and created a sudden short circuit, exploded and cut the power to the station. The high water level, explosion, voltage spike, 
short circuit, high temperature and corrosive/moist atmosphere resulted in significant damage throughout the station. The station 
has been inoperable since the event, impacting HCA's ability to meet customer demand, safe yield and drought contingency 
plans.  The intent of this project is to complete demolition, clean the station, repair damage to interior surface, prime/paint, and 
replace all damaged and/or failed equipment in-kind and relocate the transformer above grade to prevent future issues.  
Relocating the entire station above grade is not an option due to its location in the state park and Heritage Corridor.  The 
pumping station is a critical component of HCA's PWS system and is vital to meeting safe yields, customer demand, and is a key 
component in their drought planning strategy for the system.  This project will allow HCA to continue to operate and maintain 
system facilities as the station has been off-line since the catastrophic event.","45,000",70,N/A,No,N/A,$0.00
BLAIR,14,4070298,"$2,389,000.00",55,"CURRYVILLE WATER AUTHORITY 
INTERCONNECTION AND WATER TANK REHAB",BOX # 11,"DS,WS",CURRYVILLE,14,DWSRF,1/19/22,III,"The proposed project involves a one-way, permanent interconnection between CWA (recipient) and MMA (supplier). MMA has four 
wells and chlorinates the water. The agreement between the two authorities allows for a maximum flow to CWA of up to 200 gpm and 
a cumulative thirty-day volume not to exceed 375,000 gallons. The interconnection with MMA would be the sole source of water for 
CWA. With the interconnection as a sole source, the following would be discontinued: the Kegarise Well, the existing 12-inch diameter 
loops for 4-log disinfection, and the existing nitrate treatment. The existing chlorine monitoring and treatment would be repurposed to 
add a  booster injection, since the supplied water from MMA would already have a chlorine residual. The existing storage tank would 
remain and be repainted as part of the project.
PROB. DESCRIPTION: The Curryville Water Authority (CWA) interconnection with Martinsburg Municipal Authority (MMA) is proposed as the most cost-
effective solution to eliminate the existing well. According to CWA, the existing well (Kegarise Well) has been impacted by the 
agricultural industry and is seeing an increase in nitrates. The existing nitrate treatment would need to be upgraded or a new 
source of water that is not impacted with nitrates would need to be found. Project will help system to serve consistent potable 
water to the service area.","The Curryville Water Authority (CWA) interconnection with Martinsburg Municipal Authority (MMA) is proposed as the most cost-
effective solution to eliminate the existing well. According to CWA, the existing well (Kegarise Well) has been impacted by the 
agricultural industry and is seeing an increase in nitrates. The existing nitrate treatment would need to be upgraded or a new 
source of water that is not impacted with nitrates would need to be found. Project will help system to serve consistent potable 
water to the service area.",85,64,N/A,No,N/A,$0.00
SOMERSET,15,4560042,"$20,000,000.00",53,"WIFTA PARTIAL - SOMERSET BOROUGH MUN 
AUTH - WATER SYSTEM IMPROVEMENTS",340 WEST MAIN STREET,"DS, WS, METERS",SOMERSET,15,DWSRF,10/20/21,V,"The proposed project includes the replacement of approximately 40,000 linear feet of water distribution line, demolition of the Laurel 
Hill Filtration Plant (LHFP), improvement of the Shaffer Run WTP, installation of standby generators at all critical facilities (North 
Somerset Pump Station, Coxes Creek WTP, Shaffer Run Well 2, Coxes Creek Well 7, and Coxes Creek Well 8), installation of a new 
1 MG water storage tank, demolition and site restoration of the Laurel Hill Filtration Plant, replacement of approximately 554 water 
meters and installation of two solar panel systems. WIFTA Summary: The components of the project specifically addressing lead 
removal include the replacement of 900 linear feet of 16"" transmission main, 365 linear feet of 12"" distribution line, 1,800 linear feet of 
6"" distribution line, 462 residential metered connections, and 14 large diameter metered connections.  The total cost of these work 
items is $2,217,750. The total project cost is $20,000,000.  Therefore, approximately 10% of the total project cost will include lead 
removal measures.
PROB. DESCRIPTION: The project proposes to address problems related to unaccounted-for water, energy consumption, aging infrastructure, and 
removal of lead.   MABS currently has a 20% unaccounted-for water requirement stipulated by Water Allocation Permit (56-1011) 
and has an unaccounted-for water percentage in excess of 30%.  MABS regularly experiences breaks and leaks related to aging 
infrastructure.  MABS is aware of several transmission lines, distribution lines, water meters, and valves which contain lead.  
Energy demands of the current water system are inefficient and in excess of what is needed to supply the system with water.  
The project will work to significantly reduce energy consumption related to the production and supply of water.","The project proposes to address problems related to unaccounted-for water, energy consumption, aging infrastructure, and 
removal of lead.   MABS currently has a 20% unaccounted-for water requirement stipulated by Water Allocation Permit (56-1011) 
and has an unaccounted-for water percentage in excess of 30%.  MABS regularly experiences breaks and leaks related to aging 
infrastructure.  MABS is aware of several transmission lines, distribution lines, water meters, and valves which contain lead.  
Energy demands of the current water system are inefficient and in excess of what is needed to supply the system with water.  
The project will work to significantly reduce energy consumption related to the production and supply of water.","8,500",76,Energy Efficiency,Yes,N/A,"$100,000.00"
LUZERNE,16,2408001,"$3,300,000.00",53,"HAZLETON CITY AUTHORITY - 2022 
OPERATIONAL UPGRADES PART A",400 E. ARTHUR GARDNER PARKWAY,PS,HAZLETON,16,DWSRF,4/20/22,II,"he project's scope of work includes the replacement and relocation of twelve (12) existing pressure regulating valves (PRVs) currently 
located in below grade pits to above grade installations. Valve sizes and control sequences to supply potable water to the customers 
will not change. This project eliminates numerous confined space safety issues and allows remote monitoring and control via 
connection to the existing SCADA system. HCA proposes to purchase additional leak detection equipment to address high 
unaccounted for water loss of 36% in their distribution system. HCA intends to purchase fixed base radio read equipment (AMR 
system) as an upgrade to their existing drive by radio read system components to improve read efficiency, provide more and 
transparent data to all customers and improve monitoring for leaks in customers' facilities.  Lastly, HCA intends to install a new 
domestic water pressure booster pump to address and correct low pressure issues experienced in their existing Administration 
Building located at the filtration plant site.  Improvements will enhance HCA's ability to operate and maintain the system and increase 
the system's reliability for customers.
PROB. DESCRIPTION: The Hazleton City Authority (HCA) operates and maintains a water filtration plant and distribution system serving the Greater 
Hazleton Area. The water treatment plant was constructed in 1991 and HCA completed a detailed study which identified several 
deficiencies in the system.  Problems identified which are addressed in this application include high unaccounted for water loss 
(36%); aging and deteriorated distribution system components, specifically 12 below grade pressure regulating valves (PRVs) in 
distribution; aging drive by radio read meter equipment to be upgraded to a fixed base radio system (AMR system) to enhance 
remote read capability and operational efficiencies; and the installation of a domestic booster pump to correct low-pressures 
experienced in the existing Administration Building at the site.","The Hazleton City Authority (HCA) operates and maintains a water filtration plant and distribution system serving the Greater 
Hazleton Area. The water treatment plant was constructed in 1991 and HCA completed a detailed study which identified several 
deficiencies in the system.  Problems identified which are addressed in this application include high unaccounted for water loss 
(36%); aging and deteriorated distribution system components, specifically 12 below grade pressure regulating valves (PRVs) in 
distribution; aging drive by radio read meter equipment to be upgraded to a fixed base radio system (AMR system) to enhance 
remote read capability and operational efficiencies; and the installation of a domestic booster pump to correct low-pressures 
experienced in the existing Administration Building at the site.","45,000",68,Water Efficiency,Yes,Not Required,"$2,751,028.00"
LUZERNE,17,2408001,"$19,835,000.00",53,"HAZLETON CITY AUTHORITY SR 940 UPGRADE 
PROJECT",400 E. ARTHUR GARDNER PARKWAY,DS,HAZLETON,17,DWSRF,1/19/22,II,"Hazleton City Authority (HCA) proposes significant upgrades to their existing distribution system along State Route 940 from the 
Village of Harleigh to the Village of Drifton in Luzerne County and in Mahanoy Township, Schuylkill County to address high (36%) 
unaccounted for water losses, improve fire protection and system pressure and improve service to existing customers. The Project 
includes the installation/replacement of approximately 34,000 lineal feet of new distribution system piping and all necessary 
appurtenances (12-inch, 8-inch and 6-inch valves, shut-offs, hydrants (53), blow-offs, service laterals, etc.). Work will include 
transferring/replacing services from existing mains of various sizes to the new water main. Interconnections within the system will also 
be made between existing pipe mains at various locations to improve system pressure and fire protection capabilities. Work also 
includes a new tie in and pressure regulating station at the existing HCA Highland Finished Water Storage Tank to replace an older 
PRV station as well as a new pressure regulating station near Oakmont Road to serve the Ebervale.  The improvements will enhance 
HCA's ability to operate and maintain their existing PWS facilities.
PROB. DESCRIPTION: HCA proposes an extensive distribution system replacement project to address high (36%) unaccounted for water losses, 
improve fire protection and system pressure to improve service to existing customers.  Old cast iron, steel and ductile iron pipe 
have many years of tuberculation built up resulting in poor water flow, poor pressure, dirty water, decrease in water quality, and 
difficulty in leak location and repair. Current pipe flow capacity essentially does not provide fire flow to adequately protect this 
service area.  To address these issues, approximately 34,000 linear feet of primarily 8-inch and 12-inch pipe with all necessary 
appurtenances including but not limited to hydrants (53), shut-offs, valves (6-inch, 8-inch and 12-inch), blow-offs, pressure 
reducing valves (PRV), service laterals, etc. are proposed for installation in Hazle Township and the City of Hazleton in Luzerne 
County and in Mahanoy Township, Schuylkill County.  Locations proposed include Harleigh Village along State Road (S.R.) 940, 
Harleigh Village Main Street, Ebervale Village, Oakmont to Ebervale, West Oakdale Village, Middletown Village, Village of Japan 
Jeddo, South of S.R. 940 – Village of Japan Jeddo, Jeddo Borough to Tank Access Road, Tank Access Road to Eckley PRV Pit, 
Japan Jeddo to Drifton, Village of Drifton, Village of Park Place, S.R. 93 Newport Drive to Melrose Street, and Muir Avenue – 
Poplar Street to Carleton Avenue. The proposed modifications will improve HCA’s ability to operate and maintain their system 
and increase the reliability of service.  Also, by replacing the leaking distribution piping, a savings in water will be realized.","HCA proposes an extensive distribution system replacement project to address high (36%) unaccounted for water losses, 
improve fire protection and system pressure to improve service to existing customers.  Old cast iron, steel and ductile iron pipe 
have many years of tuberculation built up resulting in poor water flow, poor pressure, dirty water, decrease in water quality, and 
difficulty in leak location and repair. Current pipe flow capacity essentially does not provide fire flow to adequately protect this 
service area.  To address these issues, approximately 34,000 linear feet of primarily 8-inch and 12-inch pipe with all necessary 
appurtenances including but not limited to hydrants (53), shut-offs, valves (6-inch, 8-inch and 12-inch), blow-offs, pressure 
reducing valves (PRV), service laterals, etc. are proposed for installation in Hazle Township and the City of Hazleton in Luzerne 
County and in Mahanoy Township, Schuylkill County.  Locations proposed include Harleigh Village along State Road (S.R.) 940, 
Harleigh Village Main Street, Ebervale Village, Oakmont to Ebervale, West Oakdale Village, Middletown Village, Village of Japan 
Jeddo, South of S.R. 940 – Village of Japan Jeddo, Jeddo Borough to Tank Access Road, Tank Access Road to Eckley PRV Pit, 
Japan Jeddo to Drifton, Village of Drifton, Village of Park Place, S.R. 93 Newport Drive to Melrose Street, and Muir Avenue – 
Poplar Street to Carleton Avenue. The proposed modifications will improve HCA’s ability to operate and maintain their system 
and increase the reliability of service.  Also, by replacing the leaking distribution piping, a savings in water will be realized.","45,000",68,Water Efficiency,Yes,N/A,"$35,000.00"
ALLEGHENY,18,5020015,"$645,000.00",50,"WIFTA- THE M. A. OF THE BOROUGH OF 
EDGEWORTH- LEAD SERVICE LINE REPL.",313 BEAVER ROAD,"DS, LSL",SEWICKLEY,18,DWSRF,10/20/21,V,"The Municipal Authority of the Borough of Edgeworth is applying to PENNVEST as part of the WIFTA Lead Service Line Replacement 
Initiative. The project will consist of Edgeworth removing the existing lead service connections and replacing them with non-lead 
replacement lines. The Authority plans to replace approximately 75 lead service lines in Edgeworth Borough, Leetsdale Borough, and 
Leet Township. Note that PENNVEST will not support the partial replacement of lead service lines.
PROB. DESCRIPTION: The Municipal Authority of the Borough of Edgeworth (Edgeworth) currently owns and operates a Public Water Supply system in 
Allegheny County. Edgeworth’s system has lead service lines within the distribution system. These lead service lines pose a risk 
to public health and need removed from the system.","The Municipal Authority of the Borough of Edgeworth (Edgeworth) currently owns and operates a Public Water Supply system in 
Allegheny County. Edgeworth’s system has lead service lines within the distribution system. These lead service lines pose a risk 
to public health and need removed from the system.","7,781",65,N/A,No,N/A,$0.00
PHILADELPHIA,19,1510001,"$125,000,000.00",50,"PHILADELPHIA CITY - BAXTER CLEARWELL 
BASIN",1101 MARKET STREET,TREAT,PHILADELPHIA,19,DWSRF,4/20/22,I,"The Philadelphia Water Department is proposing to construct two new, 5MG, below grade, two chamber clearwell basins equipped 
with green roof tops, to be known as Clearwell Basins 3&4.  The basins will be constructed adjacent to Clearwell Basins 1&2, which 
are currently under construction.  Each basin will have a volume of 5 MG, with a total volume of 20 MG which replaces the existing, 
oversized 50 MG clearwell, which has an effective volume of 20 MG.  The new clearwells will feed the existing Torresdale and 
Lardner's Point Pump Station, providing redundancy and operational flexibility to the system.
PROB. DESCRIPTION: Philadelphia Water Department owns and operates the 120 year old Baxter Water Treatment Plant.  The plant utilizes a single  
oversized, 120 year old, 50 million gallon clearwell  to provide water to the Torresdale and Lardner's Point Pump Stations.  The 
clearwell does not provide operational flexibility for maintenance or during an emergency event. Project will help manage 
consistent potable water to the service area.","Philadelphia Water Department owns and operates the 120 year old Baxter Water Treatment Plant.  The plant utilizes a single  
oversized, 120 year old, 50 million gallon clearwell  to provide water to the Torresdale and Lardner's Point Pump Stations.  The 
clearwell does not provide operational flexibility for maintenance or during an emergency event. Project will help manage 
consistent potable water to the service area.","1,600,0",65,Green Roof,Yes,N/A,"$5,000,000.00"
MONTGOMERY,20,1460073,"$3,970,600.00",50,"AQUA PA - NORTH HILLS WELL STATION PFAS 
TREATMENT SYSTEM",762 LANCASTER AVE.,TREAT,BRYN MAWR,20,STATE BYPASS,10/21/20,I,"This project proposes to install two ion exchange vessels and cartridge filtration in addition to upgrades to the chemical treatment 
systems and installation a new well pump. Treatment upgrades include a new sodium hypochlorite feed system with a larger double 
storage tank, separate ammonium sulfate and bimetallic phosphate feed systems.  The proposed well pump will have the same 
capacity, however  will operate at a higher pressure and will be equipped with a VFD.  New electrical equipment and piping will be 
installed to accommodate the new equipments.
PROB. DESCRIPTION: Current well station is old and need rehabilitation to include PFAS treatment. Project will help reduce/eliminate PFAS from the 
water and help system supply potable water to its customer.","Current well station is old and need rehabilitation to include PFAS treatment. Project will help reduce/eliminate PFAS from the 
water and help system supply potable water to its customer.","79,710",65,N/A,No,N/A,$0.00
LUZERNE,21,2408001,"$3,500,000.00",50,"HAZLETON CITY AUTHORITY - 2022 
OPERATIONAL UPGRADE PART B",400 E. ARTHUR GARDNER PARKWAY,"SRC, TREAT",HAZLETON,21,STATE BYPASS,7/20/22,II,"Project is to address the aging and deteriorated WTP facilities. HCA proposes the following:  The existing raw water pumps at the 
WTP, in conjunction with the existing 24-inch raw water intake pipe and junction chamber from the Roan Reservoir, cannot supply the 
permitted capacity of 10 MGD to the WTP needed to meet system demand.  Upgrading/replacing the existing four raw water pumps to 
5 million gallons per day (MGD) pumps with variable frequency drives (VFDs) as well as constructing a new parallel 24-inch 
transmission/intake pipe from the Roan Reservoir to the WTP junction chamber are proposed to remedy the demand situation. To 
improve monitoring and control abilities, HCA proposes upgrading the SCADA system and filter/clarifier consoles, as the existing 
facilities are in poor condition and in need of repair and rehabilitation due to components no longer functioning effectively and some 
components being obsolete. HCA proposes to convert the existing chlorine dioxide system to include automatic controls and 
monitoring capability to enhance pre-treatment system operation. The existing lime chemical feed system for pH control is original to 
the WTP and the components are significantly worn and deteriorated compromising system reliability.  HCA proposes to repair/replace 
two old lime mixing slurry tanks, feed pumps, valves, controls, and piping to improve lime feed operation as well as cleaning the 
existing static mixer to remove build-up since the static mixer has not been serviced since its installation.  HCA flow paces chemical 
feed through two streaming current detectors (SCDs) which are old, drift and react slowly to sudden changes in plant flow and require 
significant maintenance by plant personnel.  To improve operational efficiency, HCA proposes to replace the primary SCD with a new 
on line (SCADA) Zeta Potential Meter to enhance flow pacing using a more direct correlation thru electron potential for efficient clarifier 
flocculation operation and reduce chemical usage.  Lastly, HCA has identified safety issues with existing access to the caustic bulk 
storage tank and electrical safety issues with the existing blower motor.  HCA proposes to install custom steps, railing, and a platform 
to address operator safety issues with bulk caustic storage access.  Electrical upgrades are needed to address safety issues 
encountered with the blower installation to prevent internal short circuiting encountered at the plant.
PROB. DESCRIPTION: Hazleton City Authority (HCA) operates and maintains a water treatment (WTP) plant serving the Greater Hazleton Area. The 
WTP and ancillary facilities were constructed in 1991 and system components are aging and in need or repair and rehabilitation. 
HCA recently conducted a Study and analysis which identified several deficiencies in overall operation and their ability to meet 
demand which this project attempts to address.  Most notably, the existing raw water pumps at the WTP, in conjunction with the 
existing 24-inch raw water intake pipe and junction chamber from the Roan Reservoir, cannot supply the permitted capacity of 10 
MGD to the WTP needed to meet system demand.  Upgrading/replacing the existing four raw water pumps to 5 million gallons 
per day (MGD) pumps with variable frequency drives (VFDs) as well as constructing a new parallel 24-inch transmission/intake 
pipe from the Roan Reservoir to the WTP junction chamber are proposed to remedy the demand situation. To improve 
monitoring and control abilities, HCA proposes upgrading the SCADA system and filter/clarifier consoles, as the existing facilities 
are in poor condition and in need of repair and rehabilitation due to components no longer functioning effectively and some 
components being obsolete. HCA proposes the conversion of the existing chlorine dioxide system to include automatic controls 
and monitoring to enhance the pre-treatment system operation. The existing lime chemical feed system for pH control is original 
to the WTP and the components are significantly worn and deteriorated compromising system reliability.  HCA proposes to 
repair/replace two old lime mixing slurry tanks, feed pumps, valves, controls, and piping to improve lime feed operation as well as 

cleaning the existing static mixer to remove build-up since the static mixer has not been serviced since its installation.  HCA flow 
paces chemical feed through two streaming current detectors (SCDs) which are old, drift and react slowly to sudden changes in 
plant flow and require significant maintenance by plant personnel.  To improve operational efficiency, HCA proposes to replace 
the primary SCD with a new on line (SCADA) Zeta Potential Meter to enhance flow pacing using a more direct correlation thru 
electron potential for efficient clarifier flocculation operation and reduce chemical usage.  Lastly, HCA has identified safety issues 
with existing access to the caustic bulk storage tank and electrical safety issues with the existing blower motor.  HCA proposes to 
install custom steps, railing, and a platform to address operator safety issues with bulk caustic storage access.  Electrical 
upgrades are needed to address safety issues encountered with the blower installation to prevent internal short circuiting 
encountered at the plant.","Hazleton City Authority (HCA) operates and maintains a water treatment (WTP) plant serving the Greater Hazleton Area. The 
WTP and ancillary facilities were constructed in 1991 and system components are aging and in need or repair and rehabilitation. 
HCA recently conducted a Study and analysis which identified several deficiencies in overall operation and their ability to meet 
demand which this project attempts to address.  Most notably, the existing raw water pumps at the WTP, in conjunction with the 
existing 24-inch raw water intake pipe and junction chamber from the Roan Reservoir, cannot supply the permitted capacity of 10 
MGD to the WTP needed to meet system demand.  Upgrading/replacing the existing four raw water pumps to 5 million gallons 
per day (MGD) pumps with variable frequency drives (VFDs) as well as constructing a new parallel 24-inch transmission/intake 
pipe from the Roan Reservoir to the WTP junction chamber are proposed to remedy the demand situation. To improve 
monitoring and control abilities, HCA proposes upgrading the SCADA system and filter/clarifier consoles, as the existing facilities 
are in poor condition and in need of repair and rehabilitation due to components no longer functioning effectively and some 
components being obsolete. HCA proposes the conversion of the existing chlorine dioxide system to include automatic controls 
and monitoring to enhance the pre-treatment system operation. The existing lime chemical feed system for pH control is original 
to the WTP and the components are significantly worn and deteriorated compromising system reliability.  HCA proposes to 
repair/replace two old lime mixing slurry tanks, feed pumps, valves, controls, and piping to improve lime feed operation as well as 

cleaning the existing static mixer to remove build-up since the static mixer has not been serviced since its installation.  HCA flow 
paces chemical feed through two streaming current detectors (SCDs) which are old, drift and react slowly to sudden changes in 
plant flow and require significant maintenance by plant personnel.  To improve operational efficiency, HCA proposes to replace 
the primary SCD with a new on line (SCADA) Zeta Potential Meter to enhance flow pacing using a more direct correlation thru 
electron potential for efficient clarifier flocculation operation and reduce chemical usage.  Lastly, HCA has identified safety issues 
with existing access to the caustic bulk storage tank and electrical safety issues with the existing blower motor.  HCA proposes to 
install custom steps, railing, and a platform to address operator safety issues with bulk caustic storage access.  Electrical 
upgrades are needed to address safety issues encountered with the blower installation to prevent internal short circuiting 
encountered at the plant.","45,000",75,N/A,No,N/A,$0.00
MCKEAN,22,6420014,"$8,520,000.00",49,"BRADFORD CITY WATER AUTHORITY -LEAD 
ABATEMENT PROJECT WIFTA",28 KENNEDY STREET,LSL,BRADFORD,22,DWSRF,7/23/21,VI,"Proposed project includes replacement of approximately 16,800 linear feet of lead joint water mains and 573 lead service lines within 
the City of Bradford. Project will eliminate lead lines and joints from the distribution system.
PROB. DESCRIPTION: System has lead joint water mains and lead service lines within the City of Bradford which is potential health hazard to young 
children. Project will help eliminate lead from the water supply.","System has lead joint water mains and lead service lines within the City of Bradford which is potential health hazard to young 
children. Project will help eliminate lead from the water supply.","18,000",64,N/A,No,N/A,$0.00
CAMBRIA,23,4110009,"$2,071,375.00",48,WIFTA- EBENSBURG MA- HIGH,P.O.BOX 387,"DS,LSL",EBENSBURG,23,DWSRF,10/20/21,V,"Ebensburg is applying to PENNVEST as part of the WIFTA Lead Service Line Replacement Initiative. The project will consist of 
Ebensburg removing existing distribution main with lead joints and replacing it with new ductile iron main. Ebensburg will also remove 
leaded gooseneck service connections. The project will install approximately 4,140 linear feet of ductile iron distribution main. The 
project will take place in Ebensburg Borough. Note that PENNVEST will not support the partial replacement of lead service lines.
PROB. DESCRIPTION: Ebensburg Municipal Authority currently owns and operates a Public Water Supply system in Ebensburg Borough in Cambria 
County. Piping within Ebensburg’s distribution system contains lead joints. These lead joints pose a risk to public health and 
need removed from the system.","Ebensburg Municipal Authority currently owns and operates a Public Water Supply system in Ebensburg Borough in Cambria 
County. Piping within Ebensburg’s distribution system contains lead joints. These lead joints pose a risk to public health and 
need removed from the system.","8,500",63,N/A,No,N/A,$0.00
