Entity,epic_project_id,Project,PWSID,Population,County,Estimated.Loan.Amount,Loan.Type,Estimated.Award.Date,Rate
Akron,18,Raw Water Intake Valve Replacement & Repair ph 1,OH7700011,"280,000",Summit,"$315,900.00",Construction,Oct-22,STD
Akron,19,University of Akron Water Main Rehabilitation 2023,OH7700011,"280,000",Summit,"$1,975,953.00",Construction,Sep-22,STD
Akron,20,Water Main Replacement Program 2022,OH7700011,"280,000",Summit,"$970,109.00",Construction,Aug-22,STD
Akron,21,Water Plant Water Main Upgrade,OH7700011,"280,000",Summit,"$172,800.00",Construction,Oct-22,STD
Alliance,22,"Lead Service Line Replacement Project, Phase 3",OH760011,"25,153",Stark,"$1,000,000.00",Construction,Jun-23,LSL
Amanda,23,New Wellfield,OH2300012,737,Fairfield,"$112,900.00",Design,Sep-22,PLN/DES
Amanda,24,New Wellfield,OH2300012,737,Fairfield,"$668,800.00",Construction,Jun-23,SML
Amesville,25,Water Distribution Improvements,OH0500112,120,Athens,"$203,000.00",Design,Aug-22,PLN/DES
Amesville,26,Water Distribution Improvements,OH0500112,120,Athens,"$2,420,000.00",Construction,Jun-23,SML
Arlington,27,Watermain Replacement,OH3200012,"1,451",Hancock,"$425,000.00",Construction,Aug-22,SML
Ashtabula County,28,Harpersfield Water Tower,OH0400803,"98,622",Ashtabula,"$3,300,000.00",Construction,Oct-22,STD
Ashtabula County,29,Northeast Regional Waterline Extension,OH0400803,"14,200",Ashtabula,"$10,432,000.00",Construction,Mar-23,REG
Ashtabula County,30,S River Road Waterline Extension,OH0400803,"14,200",Ashtabula,"$1,792,000.00",Construction,Jan-23,REG
Ashtabula County,31,SR 307 and College Street Waterline Replacement,OH0400803,"14,200",Ashtabula,"$1,192,369.00",Construction,Sep-22,STD
Ashtabula County,32,Water Storage Tank Improvements,OH0400803,"14,200",Ashtabula,"$1,117,000.00",Construction,Oct-22,STD
Athens,33,Court St & Congress St WL Improvements,OH0500212,"32,725",Athens,"$900,000.00",Construction,Jun-23,STD
Athens,34,Dairy Lane Water Line Extension,OH0500212,"32,725",Athens,"$1,027,250.00",Construction,Jan-23,STD
Athens,35,Longview Heights Water Line Improvements,OH0500212,"32,725",Athens,"$400,000.00",Construction,Jan-23,STD
Athens,36,North Area & Madison Water Line Improvements,OH0500212,"32,725",Athens,"$1,314,966.00",Construction,Jun-23,STD
Athens,37,Southwest Water Line Area Improvements,OH0500212,"32,725",Athens,"$75,000.00",Design,Jan-23,STD
Athens,38,Southwest Water Line Area Improvements,OH0500212,"32,725",Athens,"$2,000,000.00",Construction,Jun-23,STD
Athens,39,West Union Street Water Line Improvements,OH0500212,"32,725",Athens,"$1,750,372.00",Construction,Apr-23,STD
Avon Lake,40,Eastern Transmission Line Redundancy Project,OH4700311,"25,206",Lorain,"$35,000,000.00",Construction,Dec-22,STD
Baltimore,41,W. Washington St. Waterline Replacement,OH2300112,"2,966",Fairfield,"$695,000.00",Construction,Mar-23,SML
Beaver,42,2022 Waterline Replacement,OH6600012,434,Pike,"$799,663.00",Construction,Apr-23,DIS
Bellaire,43,Lead Service Line Replacement,OH0700114,"4,097",Belmont,"$1,000,000.00",Construction,Sep-22,LSL
Belpre,44,2.5 MG Water Storage Tank,OH8400012,"7,051",Washington,"$146,045.00",Design,Aug-22,PLN/DES
Belpre,45,2.5 MG Water Storage Tank,OH8400012,"7,051",Washington,"$4,534,807.00",Construction,Dec-22,SML
Belpre,46,Water Main Replacement - Clement Avenue to Lockhart Street,OH8400012,500,Washington,"$550,000.00",Construction,Jun-23,SML
Blanchester,47,Lazenby Street Water Main Replacement,OH1400111,"4,243",Clinton,"$389,950.00",Construction,Jun-23,SML
Blanchester,48,Orchard View Lane & Orchard Circle Water Main Repl,OH1400111,"4,243",Clinton,"$742,200.00",Construction,Jun-23,SML
Blanchester,49,Reservoir 3 Improvements2,OH1400111,"4,243",Clinton,"$431,952.00",Construction,Sep-22,SML
Blanchester,50,Vine Street Water Tower Rehabilitation,OH1400111,"4,243",Clinton,"$695,000.00",Construction,Oct-22,SML
Bloomingburg,51,Bloomingburg Water Treatment Plant Replacement,OH2400012,919,Fayette,"$254,950.00",Design,Aug-22,PLN/DES
Bloomingburg,52,Bloomingburg Water Treatment Plant Replacement,OH2400012,919,Fayette,"$2,238,300.00",Construction,Apr-23,SML
Bowerston,53,New Water Treatment Plant and Raw Water Improvements Project1,OH3400112,437,Harrison,"$386,650.00",Design,Jul-22,PLN/DES
Bowerston,54,Water System (LSLR) Improvements Project,OH34001121,437,Harrison,"$225,000.00",Construction,Mar-23,LSL
Bowerston,55,Water System Improvements Project,OH34001121,740,Harrison,"$447,764.00",Design,Aug-22,PLN/DES
Bowling Green,56,Low Service Pump Station #1 Improvements HAB,OH8700311,"31,529",Wood,"$2,600,000.00",Construction,Dec-22,HAB
Bowling Green,57,The Village Subdivision Waterline Improvements,OH8700311,"31,578",Wood,"$1,750,000.00",Construction,Sep-22,STD
Bremen,58,Water Meter Replacement,OH2300212,"1,425",Fairfield,"$459,600.00",Construction,May-23,SML
Brilliant Water and Sewer District,59,2022-2023 Water Line Replacement,OH4100412,"2,100",Jefferson,"$55,000.00",Planning,Aug-22,PLN/DES
Brilliant Water and Sewer District,60,2022-2023 Waterline Replacement,OH4100412,"2,100",Jefferson,"$437,000.00",Design,Sep-22,PLN/DES
Brilliant Water and Sewer District,61,2022-2023 Waterline Replacement,OH4100412,"2,100",Jefferson,"$2,030,300.00",Construction,Mar-23,DIS
Brown County Rural Water Association,62,Village of Ripley / Ripley Union Water System Improvements,OH0802012,"5,000",Brown,"$5,446,050.00",Construction,Oct-22,DIS/REG
Brown County Rural Water Association,63,Wahlsburg Tank,OH0802012,"22,000",Brown,"$5,800,000.00",Construction,Oct-22,STD
Bucyrus,64,Nevada Waterline Extension,OH1700011,733,Crawford,"$1,636,518.00",Construction,Aug-22,REG
Burr Oak Regional Water District,65,Morgan County- Bishopville Expansion,OH0501311,761,Athens,"$665,800.00",Construction,Mar-23,DIS/REG
Cadiz,66,Lead Service Line Replacement Project,OH3400214,"3,550",Harrison,"$578,000.00",Construction,Sep-22,LSL
Cadiz,67,Phase II & Phase III Water System Improvements,OH3400214,"3,268",Harrison,"$3,677,000.00",Construction,Jun-23,SML
Caldwell,68,Water Main To East Tank,OH6100011,"7,550",Noble,"$1,497,117.00",Construction,Mar-23,SML
Caldwell,69,Water Main to East Tank,OH6100011,"2,334",Noble,"$120,000.00",Design,Sep-22,PLN/DES
Caldwell,70,Water Main to East Tank,OH6100011,"2,334",Noble,"$30,000.00",Planning,Aug-22,PLN/DES
Caldwell,71,WTP & Raw Well Source Improvements,OH6100011,"2,334",Noble,"$40,000.00",Planning,Aug-22,PLN/DES
Caldwell,72,WTP & Raw Well Source Improvements,OH6100011,"2,334",Noble,"$600,000.00",Design,Sep-22,PLN/DES
Caldwell,73,WTP & Raw Well Source Improvements,OH6100011,"2,334",Noble,"$6,000,000.00",Construction,Mar-23,SML
Canal Winchester,74,2023 Waterline Improvements,OH2500312,"9,286",Franklin,"$2,610,000.00",Construction,Mar-23,SML
Canfield,75,Canfield Tank Rehabilitation/Asset Management Program,OH5000503,"7,423",Mahoning,"$2,713,000.00",Construction,Jan-23,SML
Canton,76,Canton Water Dept. Service  Center Shop Renovations,OH7608112,"107,500",Stark,"$8,600,000.00",Construction,May-23,STD
Canton,77,Sugar Creek WTP and Wellfield Improvements,OH7608112,"107,500",Stark,"$32,000,000.00",Construction,Jul-22,STD
Carey,78,Water Line Replacement,OH8800012,"3,565",Wyandot,"$132,583.00",Construction,Apr-23,SML
Chagrin Falls,79,Maple Street Waterline Replacement,OH1800212,"5,000",Cuyahoga,"$560,000.00",Construction,Jan-23,SML
Chagrin Falls,80,Walnut Street Waterline Replacement,OH1800212,"5,000",Cuyahoga,"$140,000.00",Design,Jan-23,PLN/DES
Chagrin Falls,81,Walnut Street Waterline Replacement,OH1800212,"5,000",Cuyahoga,"$560,000.00",Construction,Jan-23,SML
Cincinnati,82,Apple Cooper Hanfield Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,307,000.00",Construction,May-23,STD/LSL
Cincinnati,83,Bevis Bonaparte Clarion Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,665,000.00",Construction,May-23,STD/LSL
Cincinnati,84,Burch East Hill Shaw Water Main Replacement,OH3102612,"450,200",Hamilton,"$2,422,000.00",Construction,May-23,STD/LSL
Cincinnati,85,Cappel Drive Waterline Replacement,OH3102612,"301,394",Hamilton,"$2,422,000.00",Construction,May-23,STD/LSL
Cincinnati,86,Carson Avenue Waterline Replacement,OH3102612,"301,394",Hamilton,"$2,485,000.00",Construction,May-23,STD/LSL
Cincinnati,87,CUF Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,111,000.00",Construction,May-23,STD/LSL
Cincinnati,88,Dayton Horace Naeher Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,979,000.00",Construction,May-23,STD/LSL
Cincinnati,89,Dunore Road Waterline Replacement,OH3102612,"301,394",Hamilton,"$593,000.00",Construction,May-23,STD/LSL
Cincinnati,90,E. McMillan Street Waterline Replacement,OH3102612,"301,394",Hamilton,"$1,614,000.00",Construction,May-23,STD/LSL
Cincinnati,91,East Price Hill Water Main Replacement,OH3102612,"750,200",Hamilton,"$3,321,000.00",Construction,May-23,STD/LSL
Cincinnati,92,Fairview Graham Probasco Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,817,000.00",Construction,May-23,STD/LSL
Cincinnati,93,Fire Flow Collection Waterline Replacement,OH3102612,"750,200",Hamilton,"$2,913,000.00",Construction,May-23,STD/LSL
Cincinnati,94,Hyde Park Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,688,000.00",Construction,May-23,STD/LSL
Cincinnati,95,Lisbon Avenue Waterline Replacement,OH3102612,"301,394",Hamilton,"$2,006,000.00",Construction,May-23,STD/LSL
Cincinnati,96,Symmes Fowler Water Main Replacement,OH3102612,"750,200",Hamilton,"$5,561,000.00",Construction,May-23,STD/LSL
Cincinnati,97,West Price Hill Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,810,000.00",Construction,May-23,STD/LSL
Cleveland,98,Boosted 3rd High System - Pump Station,OH1801212,"389,165",Cuyahoga,"$5,500,000.00",Construction,Sep-22,STD
Cleveland,99,Boosted 3rd High System - Tower,OH1801212,"1,300,000",Cuyahoga,"$12,000,000.00",Construction,Jul-22,STD
Coal Grove,100,Coal Grove Interconnection with Ironton,OH4400012,"1,913",Lawrence,"$126,600.00",Design,Aug-22,REG
Coal Grove,101,Coal Grove Interconnection with Ironton,OH4400012,"2,167",Lawrence,"$326,600.00",Construction,Sep-22,REG
Columbus,102,Aragon Ave Area Water Line Improvements,OH2504412,"837,038",Franklin,"$3,000,000.00",Construction,Oct-22,STD
Columbus,103,Atwood Terrace Area WL Improvements,OH2504412,"837,038",Franklin,"$3,500,000.00",Construction,Sep-22,STD
Columbus,104,Brixham Road WL Imp,OH2504412,"1,233,879",Franklin,"$3,000,000.00",Construction,Apr-23,STD
Columbus,105,DRWP Laboratory Upgrades CIP 690523-100000,OH2504412,"1,233,879",Franklin,"$2,000,000.00",Construction,Feb-23,STD
Columbus,106,"Dublin Road 30-lnch Water Line Extension, CIP 690502-100000",OH2504412,"837,038",Franklin,"$10,000,000.00",Construction,Oct-22,STD
Columbus,107,"English Way WL Imprs, CIP 690236-100153",OH2504412,"1,233,879",Franklin,"$115,620.00",Construction,Sep-22,STD
Columbus,108,"Enhanced Meter Equip (AMI) Phase 2, CIP 690358-100000",OH2504412,"837,038",Franklin,"$33,000,000.00",Construction,Jul-22,STD
Columbus,109,Eureka-Fremont Area WL Imprs CIP #690236-100143,OH2504412,"852,144",Franklin,"$2,000,000.00",Construction,Dec-22,STD
Columbus,110,"Greenway Ave Area WL Improvements, CIP 690236-100100",OH2504412,"837,038",Franklin,"$3,450,000.00",Construction,Sep-22,STD
Columbus,111,"HCWP Hypochlorite Disinfection Imps,  CIP 690486-100000",OH2504412,"837,038",Franklin,"$29,000,000.00",Construction,Oct-22,STD
Columbus,112,HCWP Lime & Soda Ash Dust Coll Sys Imprs CIP #690545-100000,OH5200412,"852,144",Franklin,"$3,000,000.00",Construction,Oct-22,STD
Columbus,113,Kent-Fairwood Area WL Imprs CIP #690236-10014,OH2504412,"852,144",Franklin,"$1,000,000.00",Construction,Jan-23,STD
Columbus,114,"Manchester Ave WL Improvements, CIP 690236-100113",OH2504412,"837,038",Franklin,"$1,000,000.00",Construction,Sep-22,STD
Columbus,115,Miller Ave Area WL Imprs CIP 690236-100122,OH2504412,"1,233,879",Franklin,"$3,000,000.00",Construction,Mar-23,STD
Columbus,116,"Norris Dr. Area WL Imprs, CIP 690236-100124",OH2504412,"1,233,879",Franklin,"$3,500,000.00",Construction,Jan-23,STD
Columbus,117,PAWP Control Room Renovation CIP #690291-100003,OH2504412,"852,144",Franklin,"$2,500,000.00",Construction,Jan-23,STD
Columbus,118,PAWP Hypochlorite Disinfection Improvements; 690487-100000,OH2504412,"837,038",Franklin,"$22,000,000.00",Construction,Dec-22,STD
Columbus,119,"PAWP Lime Staker & Soda Ash Feeder Repl,  CIP 690291-100002",OH2504412,"837,038",Franklin,"$12,400,000.00",Construction,Oct-22,STD
Columbus,120,Plant Drain & Water System Improvements,OH2504412,"852,144",Franklin,"$7,500,000.00",Construction,Feb-23,STD
Columbus,121,"Residuals Turnkey Dewatering Services, CIP 690540-100002",OH2504412,"1,233,879",Franklin,"$46,000,000.00",Construction,Dec-22,STD
Columbus,122,"Riverview Dr. Area WL Imprs, CIP 690236-100125",OH2504412,"1,233,879",Franklin,"$3,000,000.00",Construction,Jun-23,STD
Columbus,123,Roosevelt Ave Area WL Imprs CIP 690236-100123,OH2504412,"1,233,879",Franklin,"$3,000,000.00",Construction,Oct-22,STD
Columbus,124,Roswell Drive Area WL Imprs CIP #690236-100107,OH5200412,"852,144",Franklin,"$3,400,000.00",Construction,Sep-22,STD
Columbus,125,South Hampton Rd. Area WL Improvements,OH2504412,"1,281,510",Franklin,"$3,400,000.00",Construction,Aug-22,STD
Columbus,126,Varsity Ave Area WL Imprs CIP #690236-100106,OH5200412,"852,144",Franklin,"$3,000,000.00",Construction,Sep-22,STD
Columbus,127,"Wellington Blvd Area WL Imprs, CIP 690236-100127",OH2504412,"1,233,879",Franklin,"$3,000,000.00",Construction,Mar-23,STD
Conneaut,128,Clark Street Water Tower Replacement,OH0400411,"12,613",Ashtabula,"$318,725.00",Design,Aug-22,STD
Conneaut,129,Clark Street Water Tower Replacement,OH0400411,"12,567",Ashtabula,"$3,985,000.00",Construction,May-23,STD
Conneaut,130,Park & Day Streets Waterline Replacement,OH0400411,"12,613",Ashtabula,"$300,000.00",Design,Aug-22,STD
Conneaut,131,Park & Day Streets Waterline Replacement,OH0400411,"12,567",Ashtabula,"$3,100,000.00",Construction,Apr-23,STD
Corning,132,TWP Road 291 WL Replacement,OH6400003,490,Perry,"$755,700.00",Construction,May-23,SML
Coshocton,133,Warsaw Waterline Replacement and Extension,OH1600012,783,Coshocton,"$960,300.00",Design,Mar-23,PLN/DES
Coshocton,134,Warsaw Waterline Replacement and Extension,OH1600012,783,Coshocton,"$13,531,700.00",Construction,Jun-23,DIS/REG
Creston,135,Factory Street Drainage and Waterline Improvements,OH8500312,"2,171",Wayne,"$821,314.00",Construction,Oct-22,SML
Danville,136,Danville WTP Upgrades,OH4200112,"1,124",Knox,"$85,000.00",Design,Sep-22,PLN/DES
Danville,137,Market Street Water Line Improvements Project,OH4200112,"1,014",Knox,"$70,000.00",Design,Oct-22,PLN/DES
Danville,138,Market Street Water Line Improvements Project,OH4200112,"1,124",Knox,"$840,000.00",Construction,Mar-23,SML
DeGraff,139,Water Treatment Plant Rehabilitation,OH4600512,"1,501",Logan,"$1,024,100.00",Construction,Sep-22,SML
"Del-Co Water Company, Inc.",140,Centerburg Lead Service Line Replacement,OH2101412,"1,773",Delaware,"$175,450.00",Construction,Oct-22,LSL
"Del-Co Water Company, Inc.",141,Hartford Fairgrounds Water Supply,OH2101412,"10,040",Delaware,"$2,200,000.00",Construction,Jun-23,REG
Delphos,142,South Main Street Water Service Replacement,OH0200412,"7,123",Allen,"$1,433,515.00",Construction,Jul-22,SML/LSL
Dunkirk,143,Lead Service Line and Water Line Replacement,OH3300212,875,Hardin,"$4,621,200.00",Construction,Jun-23,SML/LSL
Dunkirk,144,Lead Service Line and Water Line Replacement,OH3300212,875,Hardin,"$407,000.00",Design,Aug-22,PLN/DES
East Palestine,145,Waterline Replacement Project,OH1500912,"2,300",Columbiana,"$5,605,510.00",Construction,Apr-23,DIS/LSL
Edgerton,146,WTP Improvements,OH8600312,"2,162",Williams,"$700,000.00",Construction,Mar-23,SML
Elmore,147,Dischinger Road Waterline Extension,OH6200712,"1,370",Ottawa,"$569,039.00",Construction,May-23,REG
Elmore,148,Dischinger Road Waterline Extension,OH6200712,"1,419",Ottawa,"$94,413.00",Design,Jul-22,REG
Elmore,149,Lincoln Street Improvements,OH6200712,"1,370",Ottawa,"$531,314.00",Construction,Jun-23,SML
Elmore,150,Regional Water Supply Connection,OH6200712,"1,370",Ottawa,"$332,976.00",Construction,Oct-22,REG
Elyria,151,Chemical Feed Improvements 30 MGD,OH4700411,"68,000",Lorain,"$400,000.00",Construction,Sep-22,STD
Elyria,152,City of Elyria Lead Service Line Replacement Project #3,OH4700411,"68,000",Lorain,"$1,000,000.00",Construction,Jul-22,LSL
Fairport Harbor,153,Water System Regionalization,OH-4300411,"3,180",Lake,"$4,420,000.00",Construction,Feb-23,DIS/REG
Fayette,154,Water Distribution System Replacement,OH2600412,"1,250",Fulton,"$7,740,000.00",Construction,May-23,DIS
Fayette County,155,Lakewood Hills Area Water System Project,OH2438714,200,Fayette,"$1,319,886.00",Construction,Jul-22,DIS/REG
Fayette County,156,Rattlesnake Water Treatment Plant Replacement,OH2437412,"6,635",Fayette,"$4,400,000.00",Construction,Apr-23,SML
Fletcher,157,New Water Tower,OH5500412,358,Miami,"$875,000.00",Construction,Sep-22,SML
Fort Loramie,158,Park Street Water Main Replacement,OH7562499,"1,524",Shelby,"$941,520.00",Construction,Mar-23,SML
Frankfort,159,WTP / Well #3 Rehabilitation,OH7100712,"1,100",Ross,"$35,160.00",Design,Aug-22,PLN/DES
Frankfort,160,WTP / Well #3 Rehabilitation,OH7100712,"1,100",Ross,"$460,000.00",Construction,Sep-22,SML
Franklin,161,Millard Drive and Bryant Avenue Water Main Replacement,OH8300412,"11,785",Warren,"$1,500,000.00",Construction,Sep-22,STD
Franklin,162,Sixth Street Water Tower,OH8300412,"11,785",Warren,"$2,300,000.00",Construction,Jan-23,STD
Franklin,163,South Main Street Water Main Replacement,OH8300412,"11,785",Warren,"$750,000.00",Construction,Oct-22,STD
Fredericksburg,164,Water Treatment Plant & Wells,OH8500812,"2,493",Wayne,"$3,070,000.00",Construction,Jun-23,SML
Freeport,165,Water System Improvements,OH3400412,364,Harrison,"$441,750.00",Construction,Feb-23,SML
Germantown,166,Fire Hydrant and Valve Replacement,OH5701012,"5,796",Montgomery,"$489,488.00",Construction,Dec-22,SML
Germantown,167,High Service Area Water Tower Rehab,OH5701012,"5,796",Montgomery,"$580,850.00",Construction,Mar-23,SML
Germantown,168,Maple Park Watermain Phase 2,OH701012,"5,796",Montgomery,"$340,000.00",Construction,Dec-22,SML
Germantown,169,Wellfield Generator,OH5701012,"5,796",Montgomery,"$83,485.00",Construction,Jan-23,SML
Glendale,170,Water Treatment System Upgrades,OH3100712,"2,500",Hamilton,"$2,003,883.00",Construction,Jun-23,SML/LSL
Glenmont,171,Water Line and Household Lead Line Replacement,OH3800312,282,Holmes,"$1,766,850.00",Construction,Jan-23,SML/LSL
Glenmont,172,Water Line and Household Lead Line Replacement,OH3800312,282,Holmes,"$365,700.00",Design,Jul-22,PLN/DES
Gnadenhutten,173,Water Treatment Plant,OH7900512,"1,300",Tuscarawas,"$1,777,738.00",Construction,Aug-22,SML
Grafton,174,Washington Drive Waterline Replacement,OH4700511,"2,769",Lorain,"$165,755.00",Construction,Apr-23,SML
Granville,175,Weaver Drive Water Line Extension,OH4500612,300,Licking,"$255,000.00",Construction,Jan-23,SML
Granville,176,WTP Filter Rehabilitation,OH4500612,"5,771",Licking,"$130,000.00",Construction,Oct-22,SML
Granville,177,WTP Lime Sludge Holding Improvements,OH4500612,"5,500",Licking,"$750,000.00",Construction,Mar-23,SML
Granville,178,WTP Sanitary Improvements,OH4500612,"5,500",Licking,"$400,000.00",Construction,Mar-23,SML
Greene County,179,Hilltop Wellfield Development,OH2903512,"36,855",Greene,"$4,050,000.00",Construction,Jun-23,STD
Greene County,180,Watermain Improvements Bundle 4 - Oleva Drive Watermain,OH2903512,"50,000",Greene,"$256,952.00",Construction,Oct-22,STD
Greene County,181,"Watermain Improvements Bundle 6 - Wagner, Kemp, PRV",OH2903512,"50,000",Greene,"$1,000,065.00",Construction,Jun-23,STD
Greene County,182,Watermain Imps Bun. 1 - Grange Hall Booster Station Wtr Mns,OH2903512,"50,000",Greene,"$1,583,435.00",Construction,Jul-22,STD
Greene County,183,"Watermain Imps Bun. 2 - Darst, Sunbeam, and Beaver Valley WM",OH2903512,"50,000",Greene,"$1,743,697.00",Construction,Sep-22,STD
Greene County,184,Watermain Imps Bun. 3 - Membrane Concentrate Discharge Wtrmn,OH2903512,"50,000",Greene,"$2,805,660.00",Construction,Aug-22,STD
Greene County,185,"Watermain Imps Bun. 5 - Wagner, Feedwire, and Clyo Wtrmns",OH2903512,"50,000",Greene,"$2,400,398.00",Construction,Oct-22,STD
Greene County,186,"Wellfield Imps Bun 4 - Rehab of PW-8, PW-9, PW-10, and PW-11",OH2903512,"36,855",Greene,"$1,019,071.00",Construction,Jul-22,STD
Greene County,187,"Wellfield Imps Bun. 3 - Rehab of PW-1,PW-4R,PW-5R PW-6,PW-7R",OH2903512,"36,855",Greene,"$1,379,002.00",Construction,Jul-22,STD
Greenfield,188,Phase 1 Water System Improvements,OH3655021,"4,683",Highland,"$2,500,000.00",Construction,Dec-22,SML
Greenville,189,New Water Tower - East,OH1900714,"12,824",Darke,"$54,040.00",Design,Sep-22,STD
Greenville,190,New Water Tower - East HAB,OH1900714,"13,227",Darke,"$7,243,505.00",Construction,Feb-23,HAB
Hamilton,191,South Water Treatment Aerator Roof Replacement,OH0904012,"63,000",Butler,"$200,000.00",Construction,Sep-22,STD
Hamilton,192,South Water Treatment Plant Boiler Replacement,OH0904012,"63,000",Butler,"$650,000.00",Construction,Mar-23,STD
Hamilton,193,South Water Well Rehabillitation 2022,OH0904012,"63,000",Butler,"$160,000.00",Construction,Sep-22,STD
Hamilton,194,Williams Avenue Water Main Replacement,OH0904012,"63,000",Butler,"$765,000.00",Construction,Oct-22,STD
Hamler,195,Water Tower and Distribution System Improvements,OH3500312,627,Henry,"$1,768,078.00",Construction,Dec-22,DIS
Hayesville,196,Water Treatment Plant and Meters,OH0300712,434,Ashland,"$1,441,000.00",Construction,Aug-22,SML
Hebron,197,2022 Water Line Replacements,OH4501012,"2,360",Licking,"$195,000.00",Design,Aug-22,PLN/DES
Hebron,198,2022 Water Line Replacements,OH4501012,"2,360",Licking,"$1,283,000.00",Construction,Mar-23,SML
Hebron,199,Canyon Rd. Water Line Extension,OH4501012,10,Licking,"$55,000.00",Design,Oct-22,REG
Hebron,200,Canyon Rd. Water Line Extension,OH4501012,10,Licking,"$500,000.00",Construction,Apr-23,REG
Hebron,201,New Well #7 / SWAP,OH4501012,"2,360",Licking,"$100,000.00",Design,Aug-22,PLN/DES
Hebron,202,New Well #7 / SWAP,OH4501012,"2,360",Licking,"$400,000.00",Construction,Jan-23,SML
Hebron,203,U.S. 40/S.R. 37 Waterline Extension,OH4501012,"2,389",Licking,"$3,460,000.00",Construction,Aug-22,DIS/REG
Hecla Water Association,204,Macedonia Hill Water Main Extension & Booster Station,OH4401612,"30,170",Lawrence,"$5,297,000.00",Construction,Oct-22,DIS/REG
Hicksville,205,"250,000 Elevated Water Tank",OH2000212,"3,110",Defiance,"$1,254,550.00",Construction,Sep-22,SML
Highland Ridge Water & Sewer Assoc.,206,St. Rt. 821 Waterline Relocation,OH8403203,"2,745",Washington,"$663,400.00",Construction,Aug-22,DIS
Hillsboro,207,2023 Water System Improvements,OH3600614,"6,481",Highland,"$5,000.00",Planning,Oct-22,PLN/DES
Hillsboro,208,2023 Water System Improvements,OH3600614,"6,481",Highland,"$87,270.00",Design,Dec-22,PLN/DES
Hillsboro,209,2023 Water System Improvements,OH3600614,"6,481",Highland,"$1,199,105.00",Construction,May-23,SML
Hiram,210,Water Tower Replacement,OH6701612,"1,294",Portage,"$600,000.00",Construction,Sep-22,SML
Hopedale,211,Water Storage Tank Replacement and Booster Pump Station,OH3400811,943,Harrison,"$2,388,690.00",Construction,Oct-22,SML
Hubbard,212,2022 Lead Service Line Replacement,OH7801415,"8,512",Trumbull,"$180,000.00",Construction,Dec-22,LSL
Hubbard,213,2023 Lead Service Line Replacement Project,OH7801415,"8,606",Trumbull,"$250,000.00",Construction,Apr-23,LSL
Hubbard,214,South Main Street Water Line Replacement (Lincoln to Helen),OH7801415,"8,606",Trumbull,"$60,000.00",Design,Dec-22,PLN/DES
Hubbard,215,South Main Street Waterline Replacement (Lincoln to Helen),OH7801415,"8,606",Trumbull,"$680,000.00",Construction,Jun-23,SML/LSL
Huber Heights,216,2022 Water Main Replacement Program,OH5703612,"43,500",Montgomery,"$1,500,000.00",Construction,Sep-22,STD
