Entity,epic_project_id,Project,County,Estimated.Loan.Amount,Estimated.Principal.Forgiveness,Loan.Type,Estimated.Award.Date,Project.Score,Readiness.To.Proceed,Rate
Malvern,296,Waterline Replacement Phase 23,Carroll,"$3,886,000.00",BYPASS,Construction,Jun-23,7,2,DIS/LSL
Manchester,298,Water Line Improvements Phase 2,Adams,"$2,943,260.00",,Construction,Mar-23,5,,DIS
Midvale,313,WTP Filtration Improvement,Tuscarawas,"$2,537,765.00",,Construction,Dec-22,4,,DIS
Muskingum County,320,Norfield and Arch Hill Waterline Extension,Muskingum,"$1,741,200.00","$870,600.00",Construction,May-23,6,4,DIS/REG
Muskingum County,321,"Philo, Virginia Ridge and Irish Ridge Rd Main Extension",Muskingum,"$3,211,550.00","$1,605,775.00",Construction,Mar-23,6,4,DIS/REG
Nelsonville,325,Water System Improvements Phase 2,Athens,"$5,518,600.00","$2,759,300.00",Construction,Apr-23,7,3,DIS
Nevada,326,Water Tower and Water Lines,Wyandot,"$1,592,135.00",,Construction,Oct-22,5,,DIS
Old Straitsville Water Association,342,"State Route 93, Arnold & Price Road Waterline Replacement",Perry,"$973,500.00",,Construction,Jun-23,5,,DIS
Perry County,351,NPCW - Water System Improvements Phase 5,Perry,"$4,533,300.00",,Construction,Mar-23,6,4,DIS
Piketon,355,Piketon Water Treatment Plant,Pike,"$7,989,433.00","$3,994,717.00",Construction,Mar-23,11,3,DIS
Pomeroy,358,Water System Improvements,Meigs,"$2,040,400.00",,Construction,Mar-23,5,,DIS
Portage County,363,Village of Mantua Water Distribution Replacement,Portage,"$300,000.00","$150,000.00",Design,Sep-22,9,2,PLN/DES
Ripley,372,Filtering Media Replacement,Brown,"$440,000.00",,Construction,Oct-22,6,1,DIS
Rittman,373,Water Transmission Main Replacement,Wayne,"$4,346,966.00","$2,173,483.00",Construction,Aug-22,7,4,DIS
Southern Perry County Water District,389,Oakfield Area Water Line Improvements,Perry,"$459,360.00",,Construction,Sep-22,5,,DIS
Spencerville,390,Phase I Waterline Replacement,Allen,"$895,304.00",,Construction,Jun-23,5,,DIS
Sunday Creek Valley Water,395,St. Rt. 550 WL Repl & Tank Rehab,Athens,"$1,307,236.00",,Construction,Aug-22,5,,DIS
Tri-County Rural Water & Sewer District,403,Phase 6 Waterline Extension,Washington,"$3,949,700.00","$1,974,850.00",Construction,Aug-22,6,5,DIS/REG
Trumbull County,404,Braceville/Southington/Farmington Regionalization Project,Trumbull,"$1,657,315.00","$828,658.00",Construction,Oct-22,6,4,DIS/REG
Tuppers Plains/Chester Water District,410,"Young, Featherstone, and Blackwood Rd. Water Line Extensions",Meigs,"$1,932,500.00","$966,250.00",Construction,Dec-22,6,4,DIS/REG
