Entity,epic_project_id,Project,County,Estimated.Loan.Amount,Estimated.Principal.Forgiveness,Loan.Type,Estimated.Award.Date,Project.Score,Readiness.To.Proceed,Rate
Northwestern Water & Sewer District,333,Eastwood Local School District Regional Waterline,Wood,"$2,350,000.00",,Construction,May-23,9,2,REG
Northwestern Water & Sewer District,335,Henry County Regional Waterline,Wood,"$938,000.00",,Construction,Aug-22,1,,REG
Northwestern Water & Sewer District,332,Custar Waterline Loop,Wood,"$1,600,000.00",,Construction,Jun-23,1,,REG
Northwestern Water & Sewer District,339,Village of McComb Regional Water Line,Wood,"$4,800,000.00",,Construction,Oct-22,1,,REG/HAB
Ottawa County,345,Water Line Extension to Elmore,Ottawa,"$1,735,567.00",,Construction,Jan-23,1,,REG
Port Clinton,359,Water and Sanitary Sewer Infrastructure Improvements,Ottawa,"$10,704,265.00",,Construction,Jun-23,1,,REG/LSL
Port William,361,Water System Improvements,Clinton,"$4,528,876.00",,Construction,May-23,1,,REG
Saint Clairsville,375,Water Distribution System Improvements - Phases 1 and 2,Belmont,"$1,796,685.00",,Construction,Oct-22,1,,REG
Somerset,384,Water System Improvements & Extensions,Perry,"$3,146,000.00",,Construction,Mar-23,1,,REG
Tri-County Rural Water & Sewer District,403,Phase 6 Waterline Extension,Washington,"$3,949,700.00",,Construction,Aug-22,6,5,DIS/REG
Trumbull County,404,Braceville/Southington/Farmington Regionalization Project,Trumbull,"$1,657,315.00",,Construction,Oct-22,6,4,DIS/REG
Trumbull County,406,Stillwagon Road Waterline Improvements,Trumbull,"$501,793.00",,Construction,Oct-22,1,,REG
Trumbull County,405,Elm Road Waterline Improvements,Trumbull,"$1,097,337.00",,Construction,Oct-22,1,,REG
Tuppers Plains/Chester Water District,410,"Young, Featherstone, and Blackwood Rd. Water Line Extensions",Meigs,"$1,932,500.00",,Construction,Dec-22,6,4,DIS/REG
Twin City Water and Sewer District,416,Water Regionalization,Tuscarawas,"$2,030,300.00",,Construction,Mar-23,1,,REG
Walnut Creek Water Company,422,Cherry Ridge Water Line Extension,Holmes,"$4,140,000.00","$2,070,000.00",Construction,Jun-23,15,3,REG
Wellston,429,2022 Water System Improvements,Jackson,"$25,000,000.00",,Construction,Jun-23,1,,REG
