Project Name,DWSRF No.,Project Description,IUP Yr,Qtr,Priority Points,Pop,Project Status,Current Funding Request,Most Recent Loan,Total Loan Amount To Date,Remaining Amount on IUP,"Base 
BIL GS",PFAS/EC,LSL 
Cedar Rapids - 2024 Project (LSL),FS-57-24-DWSRF-024	,2024 Lead Service Line Replacement Project,2024,2,20,,C," $	5,548,000.00 ",,,,x,,x
Iowa Lakes Regional Rural Water,FS-30-24-DWSRF-013	,Orleans Expansion Project,2024,2,20,,P," $	3,802,000.00 ",,,,x,,
Cedar Rapids -  F Ave NW & 13th St NW (LSL),FS-57-24-DWSRF-023	,LSL F Ave NW and 13th St NW Water Service Line Transfers,2024,2,20,,C," $	241,000.00 ",,,,x,,x
Des Moines Water Works,PD-DW-24-06,Saylorville Plant Expansion,2024,1,P&D,600000,L," $	10,599,673.00 ",7/14/23," $	10,599,673.00 ", $	-   ,x,,
Council Bluffs,PD-DW-24-08,New High Service Pump Station at Narrows WTP,2024,1,P&D,63000,L," $	1,503,400.00 ",7/14/23," $	1,503,400.00 ", $	-   ,x,,
Clarence,PD-DW-24-14,Distribution System Improvements,2024,1,P&D,975,L," $	130,000.00 ",9/1/23," $	130,000.00 ", $	-   ,x,,
Grinnell,FS-79-24-DWSRF-006,Water System Improvements,2024,1,90,,P," $	35,000,000.00 ",,,,x,,
Rock Valley (PFAS),FS-84-24-DWSRF-001,Water System Study Phase II - System Improvements,2024,1,55,,C," $	726,000.00 ",,,,x,x,
Breda,FS-14-24-DWSRF-002,Well No. 6,2024,1,45,,P," $	1,027,000.00 ",,,,x,,
Des Moines Water Works,FS-77-24-DWSRF-005,Saylorville Water Treatment Plant (SWTP) Capacity Expansion - Raw Water Supply & Treatment,2024,1,30,,P," $	150,750,000.00 ",,,,x,,
Fort Dodge,FS-94-24-DWSRF-007,Water Main Replacement,2024,1,30,,P," $	11,217,000.00 ",,,,x,,
Des Moines Water Works (LSL),FS-77-24-DWSRF-008,Lead Service Line Replacement Phase 1 Project,2024,1,20,,C," $	12,070,000.00 ",,,,x,,x
Council Bluffs (LSL),FS-78-24-DWSRF-009,Lead Service Line Replacement ,2024,1,20,,C," $	2,525,000.00 ",,,,x,,x
Iowa American Water - Quad Cities (LSL),FS-82-24-DWSRF-004,2023 Quad Cities System Lead Service Line Replacement,2024,1,20,,C," $	2,518,000.00 ",,,,x,,x
Dubuque (Phase 2 LSL),FS-31-24-DWSRF-010,Lead Service Line Replacement Phase 2,2024,1,20,,C," $	2,000,000.00 ",,,,x,,x
Dubuque (Phase 3 LSL),FS-31-24-DWSRF-011,Lead Service Line Replacement Phase 3,2024,1,20,,C," $	1,907,000.00 ",,,,x,,x
Iowa American Water - Clinton (LSL),FS-23-24-DWSRF-003,2023 Clinton Water System Lead Service Line Replacement,2024,1,20,,C," $	920,000.00 ",,,,x,,x
Alta,PD-DW-24-09,New Water Treatment Plant,2024,1,P&D,,L," $	1,154,000.00 ",7/7/23," $	1,154,000.00 ", $	-   ,x,,
Newton,PD-DW-24-02,New Jordan Supply Well and Transmission,2024,1,P&D,,L," $	800,000.00 ",7/7/23," $	800,000.00 ", $	-   ,x,,
Breda,PD-DW-24-07,New Well and Generator,2024,1,P&D,,L," $	139,000.00 ",7/7/23," $	139,000.00 ", $	-   ,x,,
Schaller,PD-DW-23-52,Water System Improvements,2023,4,P&D,729,P," $	614,000.00 ",,,,x,,
Burlington (PFAS),FS-29-23-DWSRF-085,Water Supply and Treatment Improvements,2023,4,60,,C," $	3,499,000.00 ",,,,x,x,
Burlington (PFAS),FS-29-23-DWSRF-084,New Jordan Wells Project,2023,4,45,,C," $	16,356,000.00 ",,,,x,x,
Polk City,FS-77-23-DWSRF-077,1.5 MG Elevated Storage Tank,2023,4,45,,P," $	7,582,000.00 ",,,,x,,
Schaller,FS-81-23-DWSRF-082,Water System Improvements,2023,4,45,,P," $	4,841,000.00 ",,,,x,,
Storm Lake,FS-11-23-DWSRF-070,City of Storm Lake Well No. 22,2023,4,45,,P," $	2,361,000.00 ",,,,x,,
Lake City,FS-13-23-DWSRF-068,Well No. 6 and Well No. 7,2023,4,45,,P," $	1,750,000.00 ",,,,x,,
Lime Springs,FS-45-23-DWSRF-083,2024 Street and Utility Improvements Project,2023,4,40,,P," $	5,507,000.00 ",,,,x,,
Granger,FS-25-23-DWSRF-072,New Water Tower,2023,4,40,,P," $	4,187,000.00 ",,,,x,,
Madrid,FS-08-23-DWSRF-076,Water Transmission Main (Phase 1) ,2023,4,40,,P," $	1,932,000.00 ",,,,x,,
Ainsworth,FS-92-23-DWSRF-069,Water Main Replacement,2023,4,40,,P," $	490,000.00 ",,,,x,,
Marshalltown,FS-64-23-DWSRF-079,New 6 MGD RO Membrane Process Train ,2023,4,35,,P," $	36,254,000.00 ",,,,x,,
Cedar Rapids (PFAS),FS-57-23-DWSRF-078,Drinking Water PFAS Source and Treatability Study,2023,4,35,,P," $	2,513,000.00 ",,,,x,No,
Palmer,FS-76-23-DWSRF-074,Water System Improvement,2023,4,35,,P," $	615,000.00 ",,,,x,,
Mahaska Rural Water,FS-62-23-DWSRF-073,Transmission Main Improvements - Eddyville Connection,2023,4,30,,P," $	2,376,000.00 ",,,,x,,
Durant,FS-16-23-DWSRF-081,2nd Street Water Main,2023,4,30,,L," $	901,000.00 ",10/20/23," $	901,000.00 ", $	-   ,x,,
Burlington (LSL),FS-29-23-DWSRF-086,Lead Service Line Replacement,2023,4,30,,C," $	788,000.00 ",,,,x,,x
Emmetsburg,FS-74-23-DWSRF-071,Water Treatment Improvements,2023,4,25,,P," $	10,215,000.00 ",,,,x,,
Des Moines Water Works,FS-77-23-DWSRF-075,Saylorville Water Treatment Plant (SWTP) Capacity Expansion - Transmission Improvements,2023,4,20,,P," $	24,267,000.00 ",10/14/22," $	1,110,000.00 ",,x,,
Dubuque,FS-31-23-DWSRF-080,Supervisory Control and Data Acquisition (SCADA) Upgrade,2023,4,15,,P," $	2,170,000.00 ",,,,x,,
Hinton,FS-75-23-DWSRF-034,Water Treatment Plant Improvements and Expansion,2023,3,60,,P," $	7,286,000.00 ",,,,x,,
Storm Lake,FS-11-23-DWSRF-030,Elevated Water Tank,2023,3,45,,P," $	7,937,000.00 ",,,,x,,
Central City,FS-57-23-DWSRF-025,New Elevated Storage Tank,2023,3,45,,P," $	4,179,000.00 ",,,,x,,
Hampton,FS-35-23-DWSRF-033,Water System Improvements,2023,3,45,,L," $	2,350,000.00 ",11/2/23," $	2,350,000.00 ", $	-   ,x,,
Thompson,FS-95-23-DWSRF-020,Water Main Replacement,2023,3,40,,P," $	451,000.00 ",,,,x,,
Rudd,FS-34-23-DWSRF-031,Water System Improvements Phase II - Water Tower Rehab,2023,3,40,,P," $	419,000.00 ",,,,x,,
Iowa American Water - Quad Cities,FS-82-23-DWSRF-026,Quad Cities Elevated Storage Tank and Booster Station,2023,3,35,,P," $	8,362,000.00 ",,,,x,,
Terril,FS-30-23-DWSRF-066,Water Treatment Equipment Replacement,2023,3,35,,P," $	1,206,000.00 ",,,,x,,
Clarence,FS-16-23-DWSRF-022,7th Ave Water Main,2023,3,30,,P," $	2,392,000.00 ",,,,x,,
Ely,FS-57-23-DWSRF-019,Water main Replacement,2023,3,30,,P," $	1,728,000.00 ",,,,x,,
Hiawatha,FS-57-23-DWSRF-023,Replacement of mains on Robins Rd,2023,3,30,,P," $	1,665,000.00 ",,,,x,,
Corwith,FS-41-23-DWSRF-021,Water Main Replacement,2023,3,30,,R," $	340,000.00 ",,,,x,,
Osceola County RWS,FS-72-23-DWSRF-032,North Phase WTP Expansion,2023,3,25,,L," $	2,249,000.00 ",12/29/23," $	2,249,000.00 ", $	-   ,x,,
Johnston,FS-77-23-DWSRF-029,New Water Main Project (2 Mains- NW 78th Ave and NW Beaver Drive),2023,3,20,24195,P," $	21,536,000.00 ",,,,x,,
Grimes,FS-77-23-DWSRF-024,Distribution and Storage Improvements,2023,3,20,,L," $	11,616,000.00 ",11/3/23," $	8,543,000.00 "," $	3,073,000.00 ",x,,
Ankeny,FS-77-23-DWSRF-028, NW Irvinedale Elevated Storage Tank,2023,3,20,,L," $	11,103,000.00 ",12/22/23," $	11,103,000.00 ", $	-   ,x,,
Carter Lake,PD-DW-23-23,P&D for Water Line & Pipe Replacement,2023,2,P&D,3791,P," $	725,000.00 ",,,,x,,
Ely,PD-DW-23-18,P&D for Construction of New Drinking Water Treatment Facility,2023,2,P&D,2328,P," $	582,420.00 ",,,,x,,
Ely,PD-DW-23-19,P&D for Water Main System Rehabiliation,2023,2,P&D,2328,P," $	184,420.00 ",,,,x,,
Carter Lake,FS-78-23-DWSRF-018,Water System Improvements,2023,2,55,,P," $	9,267,000.00 ",,,,x,,
Montezuma Municipal Water Works,FS-79-23-DWSRF-017,New Jordan Well Construction,2023,2,55,,P," $	2,734,000.00 ",,,,x,,
Bondurant Municipal Water Supply,FS-77-23-DWSRF-011,Elevated Storage Tank New Construction,2023,2,45,,L," $	7,750,000.00 ",7/21/23," $	7,750,000.00 ", $	-   ,x,,
Oskaloosa,FS-62-23-DWSRF-014,Transmission Main Replacement,2023,2,30,,P," $	4,555,000.00 ",,,,x,,
Algona,FS-55-23-DWSRF-016,Water System Improvements,2023,2,30,,L," $	859,000.00 ",12/15/23," $	859,000.00 ", $	-   ,x,,
Milford Municipal Utilities,FS-30-23-DWSRF-010	,New Water Treatment Facility Construction,2023,2,25,,L," $	30,686,000.00 ",12/29/23," $	30,686,000.00 ", $	-   ,x,,
Dubuque (Phase 1 LSL),FS-31-23-DWSRF-012,Lead Service Line Replacement Phase 1 ,2023,2,20,,C," $	1,941,000.00 ",,,,x,,x
Dubuque,FS-31-23-DWSRF-013,Eagle Street and Althauser Street Water & Sewer Replacement,2023,2,20,,P," $	505,000.00 ",,,,x,,
Mallard,FS-74-23-DWSRF-003,Water System Improvements - Connection Fee Only,2023,1,70,,P," $	1,740,000.00 ",,,,x,,
Rock Rapids,FS-60-23-DWSRF-006,Lewis & Clark Service Connection Phase 3,2023,1,60,,P," $	1,507,500.00 ",,,,x,,
Remsen,FS-75-23-DWSRF-005,New R/O Treatment Plant,2023,1,55,,L," $	8,993,000.00 ",12/15/23," $	8,993,000.00 ", $	-   ,x,,
Yale,FS-39-23-DWSRF-008,New Well,2023,1,40,,P," $	400,000.00 ",,,,x,,
Spillville,FS-96-23-DWSRF-007,New Booster Station and Ground Storage Reservoir,2023,1,30,,P," $	1,781,000.00 ",,,,x,,
Mount Vernon,FS-57-23-DWSRF-004,Water Meter Replacement,2023,1,30,,P," $	905,000.00 ",,,,x,,
Auburn,FS-81-23-DWSRF-001,Water Treatment Plant Filter Replacement,2023,1,25,,R," $	150,000.00 ",,,,x,,
Ankeny,PD-DW-22-57,P&D for Construction of Water Main Transmission,2022,4,P&D,67887,P," $	174,600.00 ",,,,x,,
Hedrick,FS-54-22-DWSRF-026,Water Distribution System Improvements,2022,4,110,,P," $	682,000.00 ",,,,x,,
Birmingham,FS-89-22-DWSRF-039,New Elevated Storage Tank,2022,4,70,,P," $	900,000.00 ",,,,x,,
Dedham,FS-14-22-DWSRF-032,Water System Improvements,2022,4,60,,P," $	1,000,000.00 ",,,,x,,
Westfield,FS-75-22-DWSRF-035,Construction of New Well and Water Treatment Plant,2022,4,55,,P," $	2,185,000.00 ",,,,x,,
Orange City,FS-84-22-DWSRF-037,"Construction of New Elevated Tank, New Ground Storage, New Well and Well Pipe",2022,4,50,,P," $	5,278,000.00 ",,,,x,,
Protivin,FS-45-22-DWSRF-029,Water System Improvements,2022,4,50,,P," $	304,000.00 ",,,,x,,
Wahpeton,FS-30-22-DWSRF-031,Water System Improvements,2022,4,45,,P," $	12,695,000.00 ",,,,x,,
Casey,FS-39-22-DWSRF-034,Water Distribution System Improvements,2022,4,40,,P," $	305,420.00 ",,,,x,,
West Central IA RWA,FS-14-22-DWSRF-036,"Construction of New Water Treatment Plant, Booster Station and Ground Storage",2022,4,30,,P," $	12,600,000.00 ",,,,x,,
Pocahontas,FS-76-22-DWSRF-038,Water System Improvements,2022,4,25,,P," $	2,825,000.00 ",,,,x,,
Manson,FS-13-22-DWSRF-023,Connection from Manson to Fort Dodge Municipal Water System,2022,3,45,,P," $	7,068,000.00 ",,,,x,,
Dubuque,FS-31-22-DWSRF-025,2022 Water System Improvements,2022,3,35,,P," $	15,565,000.00 ",,,,x,,
Plover,FS-76-22-DWSRF-017,New Well for Arsenic Mitigation in Raw Water,2022,2,95,,P," $	108,000.00 ",,,,x,,
Guttenberg,FS-22-22-DWSRF-013,"Water Supply, Distribution and Storage Facilities Improvements",2022,2,40,,P," $	765,000.00 ",,,,x,,
Mitchellville,FS-77-22-DWSRF-015,Water Distribution System Improvements,2022,2,30,,L," $	2,655,000.00 ",10/6/23," $	2,655,000.00 ", $	-   ,x,,
Nashua,FS-19-22-DWSRF-016,Greeley Street Water & Sanitary Improvements,2022,2,30,,P," $	259,000.00 ",,,,x,,
Titonka,PD-DW-22-16,P&D for Existing Treatment System Improvements,2022,1,P&D,486,P," $	200,000.00 ",,,,x,,
Lanesboro,FS-14-22-DWSRF-008,Water System Improvements,2022,1,70,,L," $	621,000.00 ",9/29/23," $	621,000.00 ", $	-   ,x,,
Fontanelle,FS-01-22-DWSRF-006,Water System Improvements,2022,1,35,,P," $	1,499,000.00 ",,,,x,,
Neola,PD-DW-21-56,P&D for Water Distribution System Replacement,2021,4,P&D,842,P," $	371,094.00 ",,,,x,,
Essex,PD-DW-21-53,P&D for Drinking Water System Upgrades,2021,4,P&D,798,P," $	30,000.00 ",,,,x,,
Guthrie Center,FS-99-21-DWSRF-022,Water Main Replacement,2021,4,40,,P," $	1,454,000.00 ",,,,x,,
Glidden,PD-DW-21-38,P&D for New Well & Watermain,2021,3,P&D,1146,P," $	150,000.00 ",,,,x,,
Elkhart,FS-77-21-DWSRF-018,Water Treatment Facility Expansion,2021,3,45,,L," $	5,676,000.00 ",10/13/23," $	5,676,000.00 ", $	-   ,x,,
Tama,FS-82-21-DWSRF-014,Water System Improvements,2021,3,25,,P," $	1,373,000.00 ",,,,x,,
Dyersville,FS-31-21-DWSRF-007,6th Avenue Water Main Replacement,2021,2,40,,P," $	415,000.00 ",,,,x,,
Ames (PFAS),FS-85-21-DWSRF-009,North River Valley Well field & Pipeline,2021,2,35,,C," $	12,161,000.00 ",6/28/23," $	12,161,000.00 ", $	-   ,x,x,
Atkins,FS-06-21-DWSRF-001,Water Distribution Improvements,2021,1,40,,P," $	4,398,000.00 ",,,,x,,
Waukee,FS-25-21-DWSRF-004,ASR Well,2021,1,35,,R," $	3,567,750.00 ",,,,x,,
Dayton,FS-94-20-DWSRF-031,Municipal Water Well Reconstruction and Water Main Repair,2020,4,55,,P," $	685,000.00 ",,,,x,,
Melvin,FS-72-20-DWSRF-033,Storage Tank Rehabilitation,2020,4,55,,P," $	422,100.00 ",,,,x,,
Westgate,FS-33-20-DWSRF-024,Connection to IRUA,2020,4,45,,P," $	2,703,000.00 ",,,,x,,
Plainfield,PD-DW-20-33,Water Main Installation,2020,3,P&D,436,P," $	40,000.00 ",,,,x,,
MacBride Pointe ,FS-52-20-DWSRF-019,Water Supply Improvements,2020,3,60,,P," $	178,000.00 ",,,,x,,
Eagle Grove,FS-99-20-DWSRF-018,Water Distribution System Improvements,2020,3,40,,R," $	503,000.00 ",,,,x,,
Jamaica,FS-39-20-DWSRF-017,Water System Improvements,2020,3,35,,L," $	2,818,000.00 ",8/26/22," $	1,785,000.00 "," $	1,033,000.00 ",x,,
Park View,FS-82-20-DWSRF-006,WTP #2 Improvements,2020,2,45,,L," $	2,509,000.00 ",7/10/20," $	1,670,000.00 "," $	839,000.00 ",x,,
Somers,FS-13-19-DWSRF-028,Municipal Water Filtration Improvements,2019,4,35,,P," $	355,000.00 ",,,,x,,
Bellevue,PD-DW-19-15,Construction of 2700 sf Radium Treatment Facility,2019,2,P&D,2191,P," $	285,000.00 ",,,,x,,
Albion,PD-DW-19-13,Construction of new water main connecting to Marshalltown Water Works,2019,2,P&D,505,P," $	55,000.00 ",,,,x,,
Iowa Lakes Regional Water,FS-21-18-DWSRF-019,Addition of solar panels at six booster stations and water towers to reduce operational cost and improve resiliency,2018,4,15,,P," $	260,000.00 ",,,,x,,
Vail,PD-DW-18-30,Plan for new water source and water treatment options,2018,3,P&D,436,P," $	50,000.00 ",,,,x,,
Cleghorn,FS-18-18-DWSRF-006,"Replace aging water tower, install water mains to tower, add emergency generator at water treatment plant",2018,2,45,,L," $	757,000.00 ",3/8/19," $	557,000.00 "," $	200,000.00 ",x,,
Rathbun Regional Water (RRWA),FS-04-17-DWSRF-010,Replacement of of aging water meters with a new advanced/smart metering system.,2017,2,15,,R," $	2,902,945.00 ",1/26/24," $	2,903,000.00 ", $	-   ,x,,
Farmington,FS-89-16-DWSRF-006,Water meter replacement,2016,2,40,,L," $	590,000.00 ",7/17/20," $	473,000.00 "," $	117,000.00 ",x,,
Ruthven,FS-74-15-DWSRF-006,"New well to replace Well #1, aeralator rehab, control panel replacement, water main replacement to improve pressure and add new valves and hydrants; treament ",2015,2,55,779,L," $	1,435,000.00 ",8/5/22," $	701,000.00 "," $	734,000.00 ",x,,
