Rank,Project Sponsor,Project Number,PWSID,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,"BIL
Eligibility"
33,Upper Deerfield Township,0613004-001,NJ0613004,"Radium Treatment Removal for Love Lane WTP (wells # 3
& 4)",4500,2200000,1228000,3428000,250,0,0,0,0,0,15,0.045,265.045,BIL (GEN)
34,National Park Borough,0812001-005,NJ0812001,Addition of PFOS Treatment at Exisiting Water Plant,2983,1100000,770000,1526500,250,0,0,0,0,0,15,0.03144,265.03144,BIL (EC)
36,ADTI Housing Corporation,2103002-001,NJ2103002,Chlorination system,83,243700,109665,353365,250,0,0,0,0,0,15,0.00083,265.00083,
37,Eagleswood Village MHP,1508001-001,NJ1508001,Eagleswood Village Water Improvement,80,862500,1350000,1035000,250,0,0,0,0,0,15,8.00E-04,265.0008,
38,Buttonwood Mobile Home Park,0301001-001,NJ0301001,Buttonwood system,77,240000,78000,318000,250,0,0,0,0,0,15,0.00055,265.00055,
39,Newark City,0714001-001,NJ0714001,Construction of an ozonation facility,285000,10000000,4660000,14660000,100,50,20,0,0,0,80,2.85,252.85,BIL (GEN)
39,Newark City,0714001-013,NJ0714001,Removal and disposal of sludge from lagoon,285000,3000000,1580000,4580000,100,50,20,0,0,0,80,2.85,252.85,BIL (GEN)
40,Camden City,0408001-015,NJ0408001,Morris-Delair WTP improvements - Phase II,77344,919790,524245,1444035,100,50,20,0,0,0,80,0.77344,250.77344,BIL (GEN)
40,Camden City,0408001-016,NJ0408001,Parkside WTP various improvements,77344,245277,139797,385074,100,50,20,0,0,0,80,0.77344,250.77344,BIL (GEN)
41,Old Bridge Municipal Utilities Authority,1209002-014,NJ1209002,Perrine Road Carbon Absorber Facility,65375,1200000,240000,1440000,250,0,0,0,0,0,0,0.67215,250.67215,
42,Ridgewood Village,0251001-001,NJ0251001,Water Treatment Centralization for PFAS Removal,61220,62433333,253083,77551982,250,0,0,0,0,0,0,0.617,250.617,BIL (EC)
43,Moorestown Township,0322001-001,NJ0322001,North Church Street Water Treatment Plant Upgrade,20726,15260000,4601000,19861000,250,0,0,0,0,0,0,0.20726,250.20726,
44,Ramsey Borough,0248001-009,NJ0248001,"Arsenic treatment system at the Spring Street Treatment
Facility",16350,422903,373372,796275,250,0,0,0,0,0,0,0.1635,250.1635,
46,Sparta Township,1918004-003,NJ1918004,Installation of uranium treatment equipment at two of the existing Autumn Hill well house (Well 1 and Well 2),15726,350000,-14000,336000,250,0,0,0,0,0,0,0.15726,250.15726,
48,Waldwick Borough,0264001-003,NJ0264001,Water Treatment Systems,9625,2700000,855640,3510000,250,0,0,0,0,0,0,0.09653,250.09653,
49,Ho-Ho-Kus Borough,0228001-002,NJ0228001,Ho-Ho-Kus Water Treatment System,4078,1500000,1700000,2110000,250,0,0,0,0,0,0,0.0406,250.0406,
50,Essex Fells Borough,0706001-002,NJ0706001,Temporary PFAS - Runnymede Site - Wells 5 and 1,21937,900000,20000,1080000,250,0,0,0,0,0,0,0.022,250.022,
50,Essex Fells Borough,0706001-003,NJ0706001,Permanent PFAS Treatment (Main Facility),21937,4500000,19247900,5400000,250,0,0,0,0,0,0,0.022,250.022,BIL (EC)
50,Essex Fells Borough,0706001-004,NJ0706001,Permanent PFAS Treatment (Additional Facilities),21937,2000000,,2400000,250,0,0,0,0,0,0,0.022,250.022,BIL (EC)
51,Brick Township Municipal Utilities Authority,1506001-011,NJ1506001,Granular Activated Carbon (GAC) Treatment Addition,86898,16000000,4890000,20890000,200,0,20,0,0,0,15,0.86898,235.86898,
52,East Orange City,0705001-014,NJ0705001,Water System Improvement and Resiliency Project 2017,65078,19520000,5805200,25325200,100,50,0,5,0,0,80,0.75,235.75,BIL (GEN)
54,Newark City,0714001-017,NJ0714001,Water Distribution System Upgrades,285000,971100,866400,1837500,75,50,20,0,0,0,80,2.94274,227.94274,BIL (GEN)
55,Newark City,0714001-002,NJ0714001,"Rehab of 42-inch Steel water main including cleaning &
lining",285000,3000000,2070000,5070000,75,50,20,0,0,0,80,2.85,227.85,BIL (GEN)
55,Newark City,0714001-008,NJ0714001,"Cleaning and lining of water mains, upgrading 4 inch mains to 6 & 8 inch mains, replace old fire hydrants",285000,24800000,9396000,34196000,75,50,20,0,0,0,80,2.85,227.85,BIL (GEN)
55,Newark City,0714001-009,NJ0714001,"Replacement of 12,000 Lead service lines",285000,30000000,11060000,41060000,75,50,20,0,0,0,80,2.85,227.85,BIL (LSLR)
56,Camden City,0408001-004,NJ0408001,"Replacement of water mains on South Merrimac Road
and New Hampshire Road",77344,4100000,2064000,6164000,75,50,20,0,0,0,80,0.77344,225.77344,BIL (GEN)
56,Camden City,0408001-013,NJ0408001,Cleaning & Lining of distribution and transmission mains,77344,7971514,4543450,12514964,75,50,20,0,0,0,80,0.77344,225.77344,BIL (GEN)
56,Camden City,0408001-014,NJ0408001,Replacement of Lead Service Lines,77344,567000,396900,963900,75,50,20,0,0,0,80,0.77344,225.77344,BIL (LSLR)
56,Camden City,0408001-020,NJ0408001,Cleaning and lining of a transmission mains,77344,7358322,4193949,11552271,75,50,20,0,0,0,80,0.77344,225.77344,BIL (GEN)
57,Berkeley Township Municipal Utilities Authority,1505004-010,NJ1505004,"Berkeley Township MUA Phase VII Water Main
Installation",10800,6125000,4000000,7962500,125,0,20,0,0,0,80,0.108,225.108,BIL (GEN)
58,High Bridge Borough,1014001-004,NJ1014001,High Bridge Water System: Bunnvale Well Upgrades,3648,1119600,112000,1477872,175,50,0,0,0,0,0,0.033,225.033,
59,Bridgeton City,0601001-005,NJ0601001,"Replacement of 2,190 LF of 6 inch with 8 inch main",22770,1723000,724600,2447600,75,50,15,0,0,0,80,0.2277,220.2277,BIL (GEN)
60,Merchantville Pennsauken Water Commission,0424001-004,NJ0424001,National Highway PFC plant,50000,7000000,1420000,8700000,200,0,0,0,0,0,15,0.47144,215.47144,
61,Newark City,0714001-007,NJ0714001,"Construction of a hydro-electric facility at the pre-
treatment plant screen building",285000,6000000,3750000,9750000,45,50,20,0,0,15,80,2.85,212.85,BIL (GEN)
62,Atlantic City Municipal Utilities Authority,0102001-006,NJ0102001,1 MG Storage Tank Sand Blasting and painting,94225,1345500,1042626,2388126,60,50,20,0,0,0,80,0.94225,210.94225,BIL (GEN)
63,East Orange Water Commission,0705001-002,NJ0705001,Cleaning & Lining of mains,80468,2164500,1212380,3376880,75,50,0,5,0,0,80,0.80468,210.80468,BIL (GEN)
63,East Orange Water Commission,0705001-006,NJ0705001,Replacement of west well transmission main,80468,2500000,1360000,3860000,75,50,0,5,0,0,80,0.80468,210.80468,BIL (GEN)
63,East Orange Water Commission,0705001-007,NJ0705001,"Replacement of fifteen water mains suspended on
Garden State Parkway bridges",80468,2500000,1360000,3860000,75,50,0,5,0,0,80,0.80468,210.80468,BIL (GEN)
63,East Orange Water Commission,0705001-010,NJ0705001,"Installation of 2,150 LF of 8-inch & 1,400 LF of 4-inch for a
redevelopment",80468,325000,227500,552500,75,50,0,5,0,0,80,0.80468,210.80468,BIL (GEN)
64,Camden City,0408001-006,NJ0408001,Rehabilitate the North Camden pump station,77344,500000,350000,850000,60,50,20,0,0,0,80,0.77344,210.77344,BIL (GEN)
65,Atlantic City Municipal Utilities Authority,0102001-005,NJ0102001,Installation of solar system at offices and at WTP,47011,4000000,2020000,6020000,45,50,20,0,0,15,80,0.47011,210.47011,BIL (GEN)
66,North Jersey District Water Supply Commission,1613001-032,NJ1613001,Rehabilitation of Treatment Facility,872153,2465520,1683275,4148795,100,50,20,0,0,0,30,8.72153,208.72153,
66,North Jersey District Water Supply Commission,1613001-027,NJ1613001,Expansion of Aeriation System,872153,1554000,1161888,2715888,100,50,20,0,0,0,30,8.72153,208.72153,
66,North Jersey District Water Supply Commission,1613001-028,NJ1613001,Filter Bldg Pipe Gallery Dehumid,872153,1246000,985712,2231712,100,50,20,0,0,0,30,8.72153,208.72153,
66,North Jersey District Water Supply Commission,1613001-029,NJ1613001,Basins 1-4 Flocculator Rehabilitation,872153,1970000,1399840,3369840,100,50,20,0,0,0,30,8.72153,208.72153,
66,North Jersey District Water Supply Commission,1613001-012,NJ1613001,"Improvement of chemical feed equipment, pressure
gauges, meters and alarms for increased security measures",872153,500000,475000,975000,100,50,20,0,0,0,30,8.72153,208.72153,
66,North Jersey District Water Supply Commission,1613001-014,NJ1613001,"Construction of a 6 MG baffled clearwell and rehab of an
existing clearwell to include baffles",872153,5000000,3190000,8190000,100,50,20,0,0,0,30,8.72153,208.72153,
66,North Jersey District Water Supply Commission,1613001-016,NJ1613001,"Install 6 Layer Aerators including air piping and
appurtenances.",872153,1000000,950000,1950000,100,50,20,0,0,0,30,8.72153,208.72153,
66,North Jersey District Water Supply Commission,1613001-020,NJ1613001,Rehabilitation of existing WTP,872153,4250000,2770000,7020000,100,50,20,0,0,0,30,8.72153,208.72153,
67,Aqua New Jersey Incorporate,2119001-008,NJ2119001,"Replacement of 7,080 LF of undersized water mains in
Philipsburg",33560,1062000,727280,1789280,75,50,0,0,0,0,80,0.3356,205.3356,
68,Buena Vista Township,0660004-001,NJ0660004,Water Main extension due to private well contamination,184,$-,$-,$-,125,0,0,0,0,0,80,0.00184,205.00184,
69,Passaic Valley Water Commission,1605002-018,NJ1605002,"Upgrade residual treatment process to include belt
thickners",347052,5000000,2460000,7460000,100,0,20,0,0,0,80,3.47052,203.47052,BIL (GEN)
70,Cape May City,0502001-002,NJ0502001,Replacement of Existing Water Plant,18901,29700000,,39204000,100,0,20,0,0,0,80,0.18901,200.18901,BIL (GEN)
71,East Greenwich Township,0803001-004,NJ0803001,Installation of filtration system for PFC removal at #3 Well,9550,1741000,539200,2280200,200,0,0,0,0,0,0,0.0955,200.0955,
72,Lakeshore Company,1413001-001,NJ1413001,Lakeshore Water - New Well Treatment,250,342250,1800000,410700,200,0,0,0,0,0,0,0.0027,200.0027,
73,Newark City,0714001-011,NJ0714001,Rehabilitation of the basculate gate at the Charlotteburgh Reservoir with alarm and control systems,285000,2000000,1140000,3140000,45,50,20,0,0,0,80,2.85,197.85,BIL (GEN)
74,Jersey City Municipal Utilities Authority,0906001-017,NJ0906001,Boonton Plant Centrifuge,264290,1450200,290040,1740240,100,50,15,0,0,0,30,2.62004,197.62004,
75,East Orange Water Commission,0705001-009,NJ0705001,Installation of solar power at water treatment plant,80468,1000000,700000,1700000,45,50,0,5,0,15,80,0.80468,195.80468,BIL (GEN)
76,East Orange City,0705001-013,NJ0705001,"WORPS Emergency Backup Power Generator Planning
and Design",65078,3420000,2184000,5604000,60,50,0,5,0,0,80,0.65078,195.65078,BIL (GEN)
76,East Orange City,0705001-012,NJ0705001,"WORPS SCADA Instrumentation/Controls Planning and
Design",65078,3000000,2070000,5070000,60,50,0,5,0,0,80,0.65078,195.65078,BIL (GEN)
77,Bridgeton City,0601001-006,NJ0601001,Well 14/15 Rehabilitation,25349,5300000,,6810000,100,0,15,0,0,0,80,0.25349,195.25349,BIL (GEN)
78,Salem City,1712001-003,NJ1712001,Upgrades to WTP to address taste and odor problems,5857,4500000,2240000,6740000,100,0,15,0,0,0,80,0.05857,195.05857,BIL (GEN)
79,Egg Harbor City,0107001-002,NJ0107001,Replacement of a water treatment plant,4700,8500000,2768740,11268740,100,0,15,0,0,0,80,0.047,195.047,BIL (GEN)
80,"NJ American Water Company, Incorporated",2004002-012,NJ2004002,"NJ American Water Lead Service Line Replacement
Program PWSID 2004002",1,6700000,2274000,8974000,125,50,0,5,5,0,0,6.1543,191.1543,
81,Camden City,0408001-021,NJ0408001,New Auto Meter Reading Equip for entire City,77344,100000,3108500,3208500,25,50,20,0,0,15,80,0.77344,190.77344,BIL (GEN)
82,Upper Deerfield Township,0613004-002,NJ0613004,Seabrook Water Tower Replacement (Upper Deerfield),2964,1615000,323000,1938000,60,50,0,0,0,0,80,0.02964,190.02964,BIL (GEN)
83,Jersey City Municipal Utilities Authority,0906001-027,NJ0906001,PHASE 6B WATER MAIN REHABILITATION PROJECT,247597,6529990,,8140309,75,50,20,5,5,0,30,2.62,187.62,
84,Jersey City Municipal Utilities Authority,0906001-029,NJ0906001,Phase 6A Water Rehabilitation,265510,15000000,,18800000,75,50,20,5,5,0,30,2.61996,187.61996,
85,North Jersey District Water Supply Commission,1613001-006,NJ1613001,"Construct a 48 inch by-pass main and rehabilitate the
single 70+ yr old 74 inch aqueduct",872153,15000000,6260000,21260000,75,50,20,0,0,0,30,8.72153,183.72153,
85,North Jersey District Water Supply Commission,1613001-009,NJ1613001,Rehab of the Kearny/Bayonne Transmission main,872153,5600000,3526000,9126000,75,50,20,0,0,0,30,8.72153,183.72153,
86,Lakewood Township Municipal Utilities Authority,1514002-001,NJ1514002,LTMUA GAC Building (New Hampshire & Shorrock St),22000,8350000,3405680,10281500,100,0,0,0,0,0,80,0.2175,180.2175,BIL (GEN)
87,Tuckerton Borough,1532002-004,NJ1532002,"Rehabilitation of three green sand filter tanks and one
backwash tank",3365,109000,49050,158050,100,35,15,0,0,0,30,0.03365,180.03365,BIL (GEN)
88,Woodbine Borough,0516001-001,NJ0516001,WTP Upgrade and water main extension,2472,2537500,706730,3244230,100,0,0,0,0,0,80,0.0265,180.0265,BIL (GEN)
89,Passaic Valley Water Commission,1605002-015,NJ1605002,Replace approximately 200 large antiquated valves,347052,2000000,1140000,3140000,75,0,20,0,0,0,80,3.47052,178.47052,BIL (GEN)
89,Passaic Valley Water Commission,1605002-017,NJ1605002,"Installation of 7000 LF of 12-inch main to replace Granite
Ave storage tank",347052,1700000,1008000,2708000,75,0,20,0,0,0,80,3.47052,178.47052,BIL (GEN)
89,Passaic Valley Water Commission,1605002-019,NJ1605002,Installation of 2200 LF of 12-inch main to connect Eastside Pumping station to Patersons downtown area,347052,600000,420000,1020000,75,0,20,0,0,0,80,3.47052,178.47052,BIL (GEN)
90,Newark City,0714001-010,NJ0714001,"Replacement of 38,234 old water meters in the
distribution system.",285000,19000000,7540000,26540000,25,50,20,0,0,0,80,2.85,177.85,BIL (GEN)
91,Newark City,0714001-018,NJ0714001,Replacement of Water Distribution Mains,273000,3000000,2070000,5070000,75,0,20,0,0,0,80,2.73,177.73,BIL (GEN)
92,Atlantic City Municipal Utilities Authority,0102001-007,NJ0102001,Water Main Replacement Program,94225,$-,$-,$-,75,0,20,0,0,0,80,0.95,175.95,BIL (GEN)
94,"NJ American Water Company, Incorporated",2004002-014,NJ2004002,RMWTP LT2ESWWTR and Filter Rehabilitation,44464,31209707,3088865,37983523,100,50,20,0,0,0,0,3.15315,173.15315,
95,Jersey City Municipal Utilities Authority,0906001-019,NJ0906001,Route 139 Water Main Replacement Project,262000,5000000,1060000,6060000,75,50,20,5,5,0,15,2.62,172.62,
96,Wildwood City,0514001-006,NJ0514001,2019 Capital Improvements (Drinking Water),94333,4756510,478605,6183203,75,0,15,0,0,0,80,0.943327,170.94333,BIL (GEN)
97,Manchester Township,1518005-001,NJ1518005,Various main replacements,26877,243890,56585,300475,75,0,15,0,0,0,80,0.26877,170.26877,BIL (GEN)
99,Lower Township Municipal Utilities Authority,0505002-004,NJ0505002,"Del Haven Water Main Expansion / Wildwood Water
Utility Interconnect",7222,8550000,,10260000,125,0,15,0,0,0,30,0.07222,170.07222,BIL (GEN)
100,Seaside Park Borough,1527001-004,NJ1527001,Well 10 Treatment Facility,1700,495000,99000,594000,40,50,0,0,0,0,80,0.017,170.017,
101,North Jersey District Water Supply Commission,1613001-031,NJ1613001,Purchase and Install New Dewatering System,150,2469700,1215800,3685500,100,50,20,0,0,0,0,0.0015,170.0015,
101,North Jersey District Water Supply Commission,1613001-026,NJ1613001,Low Lift Gas Pump,872153,9142875,3665650,12808525,100,50,20,0,0,0,0,0.0015,170.0015,
103,Arthur Road Well Association,1912007-001,NJ1912007,Connection of this system to Hopatcong Borough,60,200000,299500,499500,170,0,0,0,0,0,0,6.00E-04,170.0006,
104,North Jersey District Water Supply Commission,1613001-035,NJ1613001,Rehabilitation of Pump Stations,872153,1000000,5181742,6181742,60,50,20,0,0,0,30,8.72153,168.72153,
104,North Jersey District Water Supply Commission,1613001-019,NJ1613001,Ramapo Pump Station Improvements,872153,12000000,6750000,18750000,60,50,20,0,0,0,30,8.72153,168.72153,
104,North Jersey District Water Supply Commission,1613001-021,NJ1613001,"Implementation of alternative energy generation systems
at the Wanaque TP",872153,2500000,1790000,4290000,45,50,20,0,0,15,30,8.72153,168.72153,
105,"NJ American Water Company, Incorporated",1345001-021,NJ1345001,Swimming River WTP 2nd Clearwell,335449,16973964,5143230,22117194,100,50,0,0,0,0,15,3.35449,168.35449,
107,Camden City,0408001-022,NJ0408001,Install potable wells/flr elevations at Morris Delair WTP,46585,100000,1160000,1260000,15,50,20,0,0,0,80,0.46585,165.46585,BIL (GEN)
108,Passaic Valley Water Commission,1605002-020,NJ1605002,Replacement of Prospect Park storage tank,347052,800000,560000,1360000,60,0,20,0,0,0,80,3.47052,163.47052,BIL (GEN)
108,Passaic Valley Water Commission,1605002-023,NJ1605002,Decommissing of Granite Avenue Tank,347052,1700000,1008000,2708000,60,0,20,0,0,0,80,3.47052,163.47052,BIL (GEN)
109,Brick Township Municipal Utilities Authority,1506001-014,NJ1506001,"Water Main Replacement on Cartagena Drive, Alhama Drive, Cadiz Drive, Valencia Drive and Monterey Drive",86898,1600000,495000,2095000,75,50,20,0,0,0,15,0.86898,160.86898,
110,Passaic Valley Water Commission,0231001-002,NJ0231001,Lead Service Line Replacement in Lodi System,24551,6000000,7000000,7200000,125,0,0,0,5,0,30,0.24136,160.24136,BIL (LSLR)
111,Berkeley Township Municipal Utilities Authority,1505004-003,NJ1505004,Install new solar panels at treatment plant,8130,750000,525000,1275000,45,0,20,0,0,15,80,0.0813,160.0813,BIL (GEN)
112,Netcong Borough,1428001-002,NJ1428001,Replacement of leaking water mains,3236,1150000,766000,1916000,75,50,15,5,0,0,15,0.03236,160.03236,
112,Netcong Borough,1428001-004,NJ1428001,Replacement of 8in water main,3236,1597665,962972,2560637,75,50,15,5,0,0,15,0.03236,160.03236,
113,Berkeley Township Municipal Utilities Authority,1505323-001,NJ1505323,Northern Blvd Water Tower Rehabilitation Project,10800,1600000,,2080000,60,0,20,0,0,0,80,0.0015,160.0015,
114,Jersey City Municipal Utilities Authority,0906001-034,NJ0906001,"Boonton Water Treatment Plant Electric Substation/
Distribution System Improvements",262000,15000000,1700000,18000000,100,0,15,5,5,0,30,2.62,157.62,
115,Wildwood City,0514001-004,NJ0514001,Wildwood Boardwalk water main replacement,45500,1820080,674016,2494096,75,0,0,0,0,0,80,0.454997,155.455,BIL (GEN)
116,Dover Town,1409001-001,NJ1409001,Lead Service Lines,16000,15000000,,18000000,125,0,15,0,0,0,15,0.27806,155.27806,
116,Dover Town,1409001-003,NJ1409001,Water Main Replacement,16000,4000000,,5080000,75,50,15,0,0,0,15,0.27806,155.27806,
116,Dover Town,1409001-004,NJ1409001,Valve and Fire Hydrant Replacement,16000,5000000,,6350000,75,50,15,0,0,0,15,0.27806,155.27806,
120,Hopatcong Borough,1912001-001,NJ1912001,Hudson Avenue Water Main Installation,7224,750000,150000,900000,125,0,15,0,0,15,0,0.07224,155.07224,
121,Bayonne City,0901001-005,NJ0901001,City of Bayonne Lead Service Line Replacement Project,71686,19000000,105000,22800000,125,0,0,0,0,0,30,0.063,155.063,BIL (LSLR)
123,Clementon Borough,0411001-001,NJ0411001,"Rehab of Gibbsboro Water Main (White Horse Pike &
White Horse Rd.)",5003,300000,156750,456750,75,0,0,0,0,0,80,0.05006,155.05006,BIL (GEN)
125,Sussex Borough,1921001-007,NJ1921001,"Sussex Borough Main Street Water Main Replacement
Project",2201,496477,644047,595772,75,0,0,0,0,0,80,0.02201,155.02201,BIL (GEN)
126,Sussex Borough,1921001-006,NJ1921001,Water Systems Enhancements,2130,186000,37200,223200,75,0,0,0,0,0,80,0.0213,155.0213,BIL (GEN)
126,Sussex Borough,1921001-005,NJ1921001,Lake Rutherford Water Line Installation Project,2130,1018000,203600,1221600,75,0,0,0,0,0,80,0.0213,155.0213,BIL (GEN)
127,Newark City,0714001-014,NJ0714001,Installation of a SCADA system,285000,2500000,1360000,3860000,1,50,20,0,0,0,80,2.85,153.85,BIL (GEN)
128,North Jersey District Water Supply Commission,1613001-018,NJ1613001,Security system improvements - Relocation of Wanaque WTP main entrance gate closer to Ringwood Blvd,872153,3000000,1890000,4890000,45,50,20,0,0,0,30,8.72153,153.72153,
128,North Jersey District Water Supply Commission,1613001-023,NJ1613001,Security system improvements,872153,1500000,1200000,2700000,45,50,20,0,0,0,30,8.72153,153.72153,
129,"NJ American Water Company, Incorporated",1345001-018,NJ1345001,Oak Glenn Treatment Plant Expansion,290470,26920000,12419600,39339600,100,50,0,0,0,0,0,2.9047,152.9047,
130,Middlesex Water Company,1225001-029,NJ1225001,CJO Plant Upgrade - DBP Removal Treatment,282741,21043630,6201343,27244973,100,50,0,0,0,0,0,2.33376,152.33376,
131,East Orange Water Commission,0705001-004,NJ0705001,"Rehab of Braidburn wells #1 & #2; Canoe Brook wells #2,
#3 & #4",80468,1196000,786240,1982240,15,50,0,5,0,0,80,0.80468,150.80468,BIL (GEN)
131,East Orange Water Commission,0705001-005,NJ0705001,"Replacement of electrical cable for wellfield which
includes Well Nos. 3, 4 & 5",80468,950000,665000,1615000,15,50,0,5,0,0,80,0.80468,150.80468,BIL (GEN)
132,Mahwah Township,0233001-006,NJ0233001,"Rehabilitation of Ford Wellfield treatment, pumps & motors, electrical, SCADA and transmission mains",24062,4600000,2250536,6850536,100,50,0,0,0,0,0,0.24062,150.24062,
133,Hawthorne Borough,1604001-002,NJ1604001,Hawthorne Water Utility PFAs Treatment,18775,3500000,342580,4750000,100,50,0,0,0,0,0,0.19058,150.19058,BIL (EC)
