PWSID Number,Project Number,Entity,Project Name,Project City,Project County,Project Description,Project Cost,Population,Entity Type
CO0149122,210020D,"Aspen, City of",,Aspen,Pitkin,Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Rights; Source Water Protection Plan; Green Infrastructure,"$68,600,000 ","7,000",Gov
CO0162125,200030D,"Ault, Town of",,Ault,Weld,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities,"$5,000,000 ","1,887",Gov
CO0103005,140130D,"Aurora, City of",,Aurora,Arapahoe,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters; Water Rights; Source Water Protection Plan; Green Infrastructure,"$1,354,950,000 ","381,057",Gov
CO0151050,160060D,Avondale Water and Sanitation District,,Avondale,Pueblo,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$2,840,000 ","1,500",Gov
CO0155200,960060D,Baca Grande Water and Sanitation District,,Crestone,Saguache,Improvement/Expansion of Water Treatment Facilities; Consolidation of  Water Treatment Facilities; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Storage Facilities; Water Supply Facilities;  Water Meters; Water Rights; Green Infrastructure,"$3,806,000 ","1,200",Gov
CO0147010,190120D,Bailey Water and Sanitation District,,Bailey,Park,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Source  Water Protection Plan,"$2,060,000 ",300,Gov
CO0123710,210390D,"Basalt, Town of",,Basalt,Eagle  Pitkin,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Source Water Protection  Plan,"$9,700,000 ","2,175",Gov
CO0107135,140140D,Baseline Water District,,Boulder,Boulder,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Meters,"$2,075,000 ","1,000",Gov
CO0134030,140150D,"Bayfield, Town of",,Bayfield,La Plata,Construction or Rehabilitation of Distribution and/or Transmission Lines,"$3,000,000 ","2,700",Gov
CO0214142,180020D,Bear Creek Land Owners Association,,Antonitio,Conejos,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply  Facilities,"$2,050,000 ",160,PNFP
CO0145030,230050D,Beehive Water Association,,La Junta,Otero,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$1,240,000 ",154,PNFP
CO0118002,140170D,Bell Mountain Ranch Metropolitan District,BMR Metro District,Greenwood Village,Douglas,Consolidation of Water Treatment Facilities; Construction or Rehabilitation  of Distribution and/or Transmission Lines; Water Storage Facilities; Green  Infrastructure,"$3,200,000 ","1,200",Gov
CO0101020,960070D,"Bennett, Town of",,Bennett,Adams,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$139,520,000 ","3,000",Gov
Unknown,230060D,Bent County,,Las Animas,Bent,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$2,610,000 ","5,650",Gov
CO0145060,230070D,Bent's Fort Water Company,,La Junta,Otero,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$1,610,000 ",900,PNFP
CO0116140,200040D,Berkeley Water and Sanitation District,,Arvada,Adams,Construction or Rehabilitation of Distribution and/or Transmission Lines,"$1,500,000 ","4,000",Gov
CO0135138,140200D,"Berthoud, Town of",,Berthoud,Larimer,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities,"$21,000,000 ","8,500",Gov
CO0132001,140210D,"Bethune, Town of",,Bethune,Kit Carson,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Source Water Protection Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Source Water Protection,"$470,000 ",231,Gov
CO0151100,160070D,Beulah Water Works District,,Pueblo,Pueblo,or Existing Water Treatment Facility; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters,"$18,750,000 ",400,Gov
CO0135143,200050D,Big Elk Meadows  Water Association,,Lyons,Boulder,Improvement/Expansion of Water Treatment Facilities; Water Storage  Facilities; Source Water Protection Plan Improvement/Expansion of Water Treatment Facilities; Construction or,"$1,325,000 ",221,PNFP
CO0124147,140220D,"Black Hawk, City of",,Black Hawk,Gilpin,Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities,"$21,260,000 ",117,Gov
CO0130005,090710D,Blue Mountain Water District,,Golden,Jefferson,Improvement/Expansion of Water Treatment Facilities; Water Supply  Facilities,"$1,806,178 ",380,Gov
CO0159005,170020D,Blue River Valley Ranch Lakes Association,,Silverthorne,Summit,Improvement/Expansion of Water Treatment Facilities; Connection to a New  or Existing Water Treatment Facility,"$1,400,000 ",130,PNFP
CO0115152,140250D,Bone Mesa Domestic Water District,,Paonia,Delta,Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water Improvement/Expansion of Water Treatment Facilities; Connection to a New  or Existing Water Treatment Facility; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water,"$1,682,171 ",425,Gov
CO0151150,130570D,"Boone, Town of",,Boone,Pueblo,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$2,080,000 ",305,Gov
CO0107152,140260D,"Boulder, City of",,Boulder,Boulder,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; Water  Rights; Green Infrastructure,"$829,000,000 ","115,000",Gov
CO0136300,140270D,"Branson, Town of",,Branson,Las Animas,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines,"$1,393,565 ",65,Gov
CO0159020,140280D,"Breckenridge, Town of",,Breckenridge,Summit,or Existing Water Treatment Facility; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Meters,"$125,817,000 ","36,000",Gov
CO0101025,170030D,"Brighton, City of",,Brighton,"Adams, Weld",New Water Treatment Facilities; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters Improvement/Expansion of Water Treatment Facilities; Construction or,"$250,500,000 ","55,201",Gov
CO0150200,140290D,Bristol Water and Sanitation District,,Bristol,Prowers,Rehabilitation of Distribution and/or Transmission Lines; Source Water  Protection Plan; Green Infrastructure,"$375,000 ",150,Gov
CO0130010,160080D,Brook Forest Water District,,Evergreen,Jefferson,Construction or Rehabilitation of Distribution and/or Transmission Lines,"$850,000 ",994,Gov
CO0122050,140300D,"Brookside, Town of",,Brookside,Fremont,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters; Water New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters; Water,"$650,000 ",236,Gov
CO0107155,130170D,"Broomfield, City and County of",,Broomfield,Broomfield,Improvement/Expansion of Water Treatment Facilities; Consolidation of  Water Treatment Facilities; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Storage Facilities; Water Supply Facilities,"$154,805,000 ","100,000",Gov
CO0144001,143660D,"Brush, City of",,Brush,Morgan,Construction or Rehabilitation of Distribution and/or Transmission Lines,"$877,750 ","5,400",Gov
CO0108300,140320D,"Buena Vista, Town of",,Buena Vista,Chaffee,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply  Facilities; Source Water Protection Plan,"$12,250,000 ","3,721",Gov
CO0130015,130630D,Buffalo Creek Water District,,Buffalo Creek,Jefferson,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$320,700 ",125,Gov
CO0159025,160090D,Buffalo Mountain Metropolitan District,,Silverthorne,Summit,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights,"$27,200,000 ","8,000",Gov
CO0132005,961890D,"Burlington, City of",,Burlington,Kit Carson,Improvement/Expansion of Water Treatment Facilities; Water Meters;  Source Water Protection Plan,"$20,000,000 ","4,000",Gov
CO0103010,210030D,Byers Water and Sanitation District,,Byers,Arapahoe,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; Water  Rights; Source Water Protection Plan; Green Infrastructure,"$7,920,000 ","1,322",Gov
CO0121075,140330D,"Calhan, Town of",,Calhan,El Paso,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Supply Facilities; Water Meters; Green Infrastructure,"$2,650,000 ",795,Gov
CO0121080,230080D,Camelot Property Owner's Association,,Colorado Springs,El Paso,New Water Treatment Facilities; Consolidation of Water Treatment  Facilities; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters,"$6,525,000 ",70,PNFP
CO0105100,140340D,"Campo, Town of",,Campo,Baca,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters; Water Rights; Source Water Protection Plan; Green Infrastructure,"$590,000 ",103,Gov
CO0122100,140350D,"Canon City, City of",,Canon City,Fremont,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Rights; Source Water Protection  Plan,"$64,500,000 ","34,801",Gov
CO0123167,140360D,"Carbondale, Town of",,Carbondale,Garfield,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply  Facilities;  Source Water Protection Plan; Green Infrastructure,"$3,710,000 ","6,600",Gov
CO0121100,140370D,Cascade Metropolitan District No. 1,,Colorado Springs,El Paso,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Meters; Source Water Protection Plan; Green  Infrastructure,"$5,770,000 ","1,500",Gov
CO0118010,140380D,"Castle Rock, Town of",,Castle Rock,Douglas,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters,"$620,481,130 ","75,000",Gov
CO0154466,220050D,Catamount Metropolitan District,,Steamboat Springs,Routt,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Meters,"$169,411 ",212,Gov
CO0215538,220060D,Cathedral Water Company,,Crawford,Delta,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities,"$375,000 ",300,PNFP
CO0123166,200060D,Cattle Creek Water Users Association,,Glenwood Springs,Garfield,New Water Treatment Facility; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Storage Facilities; Water Supply Facilities;  Water Meters; Source Water Protection Plan,"$545,000 ",35,PNFP
CO0115171,140390D,"Cedaredge, Town of",,Cedaredge,Delta,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Source Water Protection  Plan; Green Infrastructure,"$7,506,000 ","2,300",Gov
CO0118015,190370D,Centennial Water and Sanitation District,,Highlands Ranch,Douglas,Improvement/Expansion of Water Treatment Facilities,"$119,750,000 ","103,444",Gov
CO0155500,140400D,"Center, Town of",,Center,Saguache,New Water Treatment Facility; Construction or Rehabilitation of Distribution and/or Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; Green Infrastructure,"$20,000,000 ","1,885",Gov
CO0124171,140410D,"Central City, City of",,Central City,Gilpin,Water Meters; Green Infrastructure New Water Treatment Facilities; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Supply Facilities Water Meters; Green Infrastructure New Water Treatment Facilities; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Supply Facilities,"$18,000,000 ",724,Gov
CO0162122,210050D,Central Weld County Water District,,Greeley,Weld,Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; Water  Rights,"$166,750,000 ","70,000",Gov
CO0208200,190380D,Chateau Chaparral Owners Association,,Nathrop,Chaffee,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities,"$230,000 ",700,PNFP
CO0145090,140420D,"Cheraw, Town of",,Cheraw,Otero,Improvement/Expansion of Water Treatment Facilities; Consolidation of  Water Treatment Facilities; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Storage Facilities,"$9,000,000 ",252,Gov
CO0121125,140430D,Cherokee Metropolitan District,,Colorado Springs,El Paso,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$60,930,000 ","33,000",Gov
CO0116175,200070D,Cherry Creek Valley Water and Sanitation District,,Denver Greenwood Village,Arapahoe,Construction or Rehabilitation of Distribution and/or Transmission Lines ,"$869,000 ","20,000",Gov
CO0103176,220070D,Cherry Creek Village Water District,,,Arapahoe,Construction or Rehabilitation of Distribution and/or Transmission Lines,"$1,500,000 ","7,500",Gov
CO0109006,140440D,"Cheyenne Wells, Town of",,Cheyenne Wells,Cheyenne,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters;,"$13,750,000 ",945,Gov
CO0139180,140450D,Clifton Water District,,Clifton,Mesa,Water Storage Facilities; Water Supply Facilities; Water Meters; Source  Water Protection Plan; Green Project,"$15,250,000 ","35,000",Gov
CO0122500,140460D,"Coal Creek, Town of",,Coal Creek,Fremont,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters; Source  Water Protection Plan; Green Infrastructure,"$860,000 ",364,Gov
CO0115185,230090D,Coalby Domestic Water Company,,Cedaredge,Delta,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Source Water  Protection Plan; Green Infrastructure,"$2,915,000 ",239,PNFP
CO0139185,140470D,"Collbran, Town of",,Collbran,Mesa,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters; Source Water Protection Plan; Green Infrastructure,"$9,560,000 ",720,Gov
CO0121140,160110D,Colorado Centre Metropolitan District,,Colorado Springs,El Paso,Water Supply Facilities,"$310,000 ","3,600",Gov
CO0151200,160120D,Colorado City Metropolitan District,,Colorado City,Pueblo,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities,"$11,120,246 ","2,500",Gov
CO0223184,170430D,Colorado Outward Bound School,,Leadville,Lake,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$220,000 ",78,PNFP
CO0121150,130190D,Colorado Springs Utilities,,Colorado Springs,El Paso,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters,"$1,703,481,798 ","500,000",Gov
CO0125155,140490D,Columbine Lake Water District,,Grand Lake,Grand,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines,"$2,000,000 ","1,550",Gov
CO0103183,220080D,Columbine Lakes Homeowners Association,,Littleton,Arapahoe,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Meters Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply,"$1,500,000 ",843,PNFP
Unknown,230100D,"Commerce City, City of",,Commerce City,Adams,,"$45,495,000 ","66,372",Gov
CO0130184,140500D,Conifer Metropolitan District,,Littleton,Jefferson,Facilities Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Meters,"$950,000 ",500,Gov
CO0159030,190130D,Copper Mountain Consolidated Metropolitan  District,,Copper Mountain,Summit,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters; Source  Water Protection Plan; Green Infrastructure,"$1,910,000 ","5,000",Gov
CO0142200,130790D,"Cortez, City of",,Dolores,Montezuma,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Rights; Source Water Protection Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Rights; Source Water Protection,"$27,500,000 ","8,800",Gov
CO0112300,140510D,Costilla County,Costilla County Water and Sanitation  System,San Luis,Costilla,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities,"$2,500,000 ",500,Gov
