APPLICANT NAME,REGION,DEP PROJECT RATING,STREET ADDRESS,CITY,COUNTY,PWSID,PROJRANK,FUND SOURCE,PROJECT COST,MTGDATE,PROJECT TYPE,PROJ. DESCRIPTION,PROB. DESCRIPTION,POPULATION,PV RATING,GREEN PROJECT,GREEN CATEGORY,BUSINESS CASE,GREEN AMOUNT
PENNSYLVANIA AMERICAN - COATSVILLE LSLR PHASE 1,I,0,"114 E. LINCOLN HWY, PO BOX 791",COATESVILLE,CHESTER,1150106,25,APPLICATION PENDING,"$4,200,000",,LSL,"Replacement of 240 utility/private owned lead and galvanized service lines within Census Tracts 3054, 3055, and 3056.",Addresses large health issues by removing services partially constructed of lead pipe.,"13,000",,No,N/A,N/A,$0
GRATZ BOROUGH WATER - LSL REPLACEMENT,III,0,P.O. BOX 305,GRATZ,DAUPHIN,7220005,26,APPLICATION PENDING,"$1,916,050",,LSL,"Replacement of 225 water service connections (approx. 10,000 feet of plastic service lines) to remove 1927 lead goosenecks and galvanized lines.",System has had past copper exceedances; lead potential remains from old service lines despite Designation of optimum corrosion control in 2021.,750,,No,N/A,N/A,$0
CITY OF PHILADELPHIA 2025 PART 2,,0,1101 MARKET STREET,PHILADELPHIA,PHILADELPHIA,1510001,27,APPLICATION PENDING,"$9,975,000",,LSL,"Replacement of approximately 950 residential private lead lines with copper lines, including restoration and customer outreach.",Project increases awareness of lead risks among low-income and sensitive populations while removing lead from the supply.,"1,600,000",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - PITTSBURGH LSLR - PHASE 7,V,0,410 COOKE LANE,PITTSBURGH,ALLEGHENY,5020039,28,APPLICATION PENDING,"$9,604,000",,LSL,Replacement of 560 lead service lines including the privately-owned portion when encountered.,System has services partially constructed of lead; removal eliminates health risks from lead poisoning.,"615,543",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - NEW CASTLE LSLR - PHASE 3,VI,0,2736 ELLWOOD ROAD,NEW CASTLE,LAWRENCE,6370034,29,APPLICATION PENDING,"$754,028",,,Replacement of 44 utility/private owned lead and galvanized service lines in Census Tracts 1 and 3.,Elimination of lead poisoning risks by replacing lines partially constructed of lead pipe.,"42,000",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - NEW CASTLE LSLR - PHASE 2,VI,0,2736 ELLWOOD ROAD,NEW CASTLE,LAWRENCE,6370034,30,APPLICATION PENDING,"$1,919,232",,LSL,Replacement of 112 utility/private owned lead and galvanized water service lines in Census Tracts 1 and 3.,Addresses health risks by removing service lines constructed partially of lead pipe.,"42,000",,No,N/A,N/A,$0
ERIE CITY WATER AUTHORITY - CUSTOMER SIDE GALVANIZED LINE REPLACEMENT - PHASE 6,VI,0,340 WEST BAYFRONT PARKWAY,ERIE,ERIE,6250028,31,APPLICATION PENDING,"$10,000,000",,LSL,"Phase 6 removes approximately 1,250 customer-side galvanized lines from curb valve to structure where lead goosenecks were previously present.",Many services have downstream galvanized lines needing replacement to eliminate the chance of lead poisoning.,"190,000",,No,N/A,N/A,$0
ERIE CITY WATER AUTHORITY - CUSTOMER SIDE GALVANIZED LINE REPLACEMENT - PHASE 5,VI,0,340 WEST BAYFRONT PARKWAY,ERIE,ERIE,6250028,32,APPLICATION PENDING,"$10,000,000",,LSL,"Phase 5 will replace 1,250 customer-side galvanized services where lead goosenecks historically existed on the public side.","Addresses deteriorated, leaky infrastructure and large health issues caused by lead pipe and galvanized lines.","190,000",,No,N/A,N/A,$0
ERIE CITY WATER AUTHORITY - CUSTOMER SIDE GALVANIZED LINE REPLACEMENT - PHASE 4,VI,0,340 WEST BAYFRONT PARKWAY,ERIE,ERIE,6250028,33,APPLICATION PENDING,"$10,000,000",,LSL,"Phase 4 focuses on removing 1,250 customer-side galvanized service lines at properties with historic public-side lead goosenecks.",Project eliminates lead and the chance of lead poisoning within the service area.,"190,000",,No,N/A,N/A,$0
ERIE CITY WATER AUTHORITY - CUSTOMER SIDE GALVANIZED SERVICE LINE REPLACEMENT - PHASE 3,VI,0,340 WEST BAYFRONT PARKWAY,ERIE,ERIE,6250028,34,APPLICATION PENDING,"$6,500,000",,LSL,Removal and replacement of 860 partial lead service lines where only lead goosenecks were previously removed.,Identified partial lead service lines are a major health issue; replacement eliminates the risk of lead poisoning.,"190,000",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - NAZARETH LSLR PHASE 1,,0,"20 CENTER STREET, BOX 128",WIND GAP,NORTHAMPTON,3480055,35,APPLICATION PENDING,"$2,228,850",,LSL,Replacement of 130 utility/private owned lead and galvanized impacted service lines in the Borough of Nazareth.,Increases public awareness of lead exposure risks and removes lead to improve situations for vulnerable populations and renters.,"23,763",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - PITTSBURGH LSLR - PHASE 8,V,0,410 COOKE LANE,PITTSBURGH,ALLEGHENY,5020039,36,APPLICATION PENDING,"$1,989,748",,LSL,"Replacement of 116 lead service lines, including the privately-owned portion.",Addresses health risks associated with services constructed at least partially of lead pipe.,"615,543",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - MILTON LSLR PHASE 1,,0,800 W HERSHEY PARK DR,HERSHEY,NORTHAMPTON,4490023,37,APPLICATION PENDING,"$548,704",,LSL,Replacement of 32 utility/private owned lead and galvanized impacted service lines in the Borough of Milton.,Removes lead from supply and improves conditions for low-income populations and those requiring assistance.,"23,763",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - PITTSBURGH LSLR - PHASE 6,V,0,410 COOKE LANE,PITTSBURGH,ALLEGHENY,5020039,38,APPLICATION PENDING,"$5,556,276",,LSL,"Replacement of 324 lead service lines, including the privately-owned portion when encountered.",Elimination of health risks and potential lead poisoning caused by services containing lead pipe.,"615,543",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - PITTSBURGH LSLR - PHASE 5,V,0,410 COOKE LANE,PITTSBURGH,ALLEGHENY,5020039,39,APPLICATION PENDING,"$2,815,880",,LSL,"Replacement of a total of 164 lead service lines, including the privately-owned portion.",Removal of lead pipe components in water services to eliminate lead poisoning risks.,"615,543",,No,N/A,N/A,$0
PITTSBURGH WATER AND SEWER AUTHORITY,V,0,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY,5020038,40,APPLICATION PENDING,"$27,490,000",,LSL,"Neighborhood LSLR program replacing approx. 580 public and 1,100 private lead service lines across 11 prioritized neighborhoods.",PWSA has multiple services partially constructed of lead pipe; project aims to eliminate lead and the chance of poisoning within the service area.,"370,000",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - MECHANICSBURG LSLR PHASE 1,,0,852 WESLEY DRIVE,MECHANICSBURG,CUMBERLAND,7210029,41,APPLICATION PENDING,"$7,199,220",,LSL,Replacement of 420 utility/private owned lead and galvanized impacted service lines from house to main.,Addresses health issues caused by lead service lines and aims to eliminate lead throughout the system.,"93,368",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - NEW CASTLE LSLR - PHASE 4,VI,0,2736 ELLWOOD ROAD,NEW CASTLE,LAWRENCE,6370034,42,APPLICATION PENDING,"$1,405,316",,,Replacement of 82 utility/private owned lead and galvanized service lines in Census Tracts 1 and 3.,Eliminates lead poisoning risk by removing services partially constructed of lead pipe.,"42,000",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - NAZARETH LSLR PHASE 2,,0,"20 CENTER STREET, BOX 128",WIND GAP,NORTHAMPTON,3480055,43,APPLICATION PENDING,"$960,176",,LSL,Replacement of 56 utility/private owned lead and galvanized impacted service lines in the Borough of Nazareth.,Removes lead from supply to improve conditions for vulnerable groups and increase awareness of lead exposure risks.,"23,763",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - NEW CASTLE LSLR - PHASE 5,VI,0,2736 ELLWOOD ROAD,NEW CASTLE,LAWRENCE,6370034,44,APPLICATION PENDING,"$8,432,388",,LSL,Replacement of 492 utility/private owned lead and galvanized impacted service lines in Census Tracts 1 and 3.,Removes lead pipe components to help eliminate the chance of lead poisoning within the service area.,"42,000",,No,N/A,N/A,$0
