Loan Applicant,L17#,Project Description,Facility No.,Estimated Construction Start,Estimated Loan Amount
Equality,3461,Install radio read meters and meter read software.,ll0590050,2021-04-15 0:00:00,"$291,000"
Eureka,TSD,Watermain replacement and looping.,ll2030200,2021-09-15 0:00:00,"$2,211,300"
Evanston,3797,Replace raw water intake and infrastructure.,IL0310810,2022-01-01 0:00:00,"$39,996,327"
Evanston,5393,Watermain rehab.,ll0310810,2022-04-15 0:00:00,"$860,000"
Godley Public Water District,5401,New transmission main to collaborate with Coal City.,ll1970130,2021-10-01 0:00:00,"$3,500,000"
Grand Tower,5673,Replace watermaJns and hydrants.,IL0770400,2022-03-01 0:00:00,"$1,850,000"
Granville,TSD,Replace and loop watermains.,IL1550050,2021-06-01 0:00:00,"$420,000"
Groveland Township Water District,3077,"Demolish/replace pump station/storage tank, watermain replacement.",ll1795;200,2022-03-18 0:00:00,"$1,885,887"
Havana,4632,Install new elevated storage tank and repair existing tank.,ll1250200,2021-09-30 0:00:00,"$2,000,000"
Indian Head Park,TSD,Rehab pump station.,ll0311410,B/1/2022,"$1,000,000"
Irvington,TSD,Blast and repaint the interior and exterior of the water tower.,lll890250,2021-08-16 0:00:00,"$352,000"
Jonesboro,TSD,Rehab standpipe.,lll810250',2022-02-01 0:00:00,"$245,500"
Kirkland,5850,"Replace watermains, construct a new well and well house.",IL0370300,2022-03-01 0:00:00,"$2,984,000"
Kirkwood,3452,New well No.8 and install raw watermain for additional capacity.,ll1870050,2021-10-30 0:00:00,"$741,100"
La Salle,TSD,Paint water tower.,IL0990300,2021-07-19 0:00:00,"$996,000"
LaGrange Highlands S.D.,5895,Pump station and chemical feed system improvements.,.IL0315860,2021-10-26 0:00:00,"$359,000"
Litchfield,TSD,Watermain looping and replacement.,ll1350400,2022-07-15 0:00:00,TSD
long Creek Township,TSD,New well and two elevated storage tanks.,ll1155150,2021-11-01 0:00:00,"$7,525,000"
Macomb,TSO,"New treatment plant with 5 deep wells, and demolish old plant.",ll1090350,2025-02-14 0:00:00,"$25,000,000"
Manhattan,TSO,Pump upgrade and new radium removal treatment plant.,ll1970550,2022-06-30 0:00:00,"$4,000,000"
Marseilles,TSD,Extend watermains to unserviced properties.,ll0990500,2021-04-01 0:00:00,"$2,200,000"
Morris,TSO,New water treatment plant.,1l0630600,2022-08-01 0:00:00,"$17,500,000"
Mound City,TSO,Watermain extention.,ll1530100,2022-05-01 0:00:00,"$533,100"
Mount Carroll,6005,Replace watermaln. (Phase 2),IL0150200,2022-08-16 0:00:00,"$458,000"
Mount Carroll,6006,Replace watermain. (Phase 3),ll0150200,2023-08-16 0:00:00,"$890,000"
Mt. Vernon,5591,Replace watermians and elevated water tank. (Phase 3),ll0810300,2021-07-05 0:00:00,"$5,415,000"
Murphysboro,TSD,Repaint and repair two elevated storage tanks.,lll770500,2022-04-01 0:00:00,"$825,000"
Nilwood,5978,"New water tower, demolish existing tower, replace water meters.",ll1170750,2021-12-01 0:00:00,"$1,431,150"
Nokomis,TSO,"Replace watermains/service lines, treatment plant rehab",ll1350450,2022-09-01 0:00:00,"$3,300,000"
Hazel Crest,6028,"Replacing 2,200 water meters; meter read system and software.",ll0311170,2021-12-09 0:00:00,"$2,100,000"
Oak Lawn,5086,Construct watermain connection.,ll0312220,2023-01-09 0:00:00,"$6,400,000"
Oak Lawn,5530,Construct watermain.,!L031222.0,2022-01-12 0:00:00,"$18,200,000"
Oregon,5809,Replace watermains. (Phase 3),fl1410400,2021-08-01 0:00:00,"$934,409"
Pleasant Valley PWO,TBD,New elevated water tower and demolish existing tower.,IL1435470,2022-02-28 0:00:00,"$1,500,000"
Quincy,5752,Replace treatment plant pump stations. (Phase 3),ILOD10650,2022-01-10 0:00:00,"$7,500,000"
Rochelle,TBD,"Rehab well, well house construction and paint tower.",ll1410500,6/1/2.022,"$3,500,000"
Rockford,5837,Install granular activated carbon treatment system.,IL2010300,2021-08-01 0:00:00,"$14,054,000"
Rutland,TBD,Rehab water storage tank and watermain replacement.,1l0991000,2021-09-01 0:00:00,"$500,000"
Sauk Village,TBD,Watermain and meter replacement.,ll0312790,2022-06-30 0:00:00,"$1,350,000"
Seaton,5915,Connecting to different water supply and reptaceing watermains.,ll1310350,2022-07-01 0:00:00,"$2,114,000"
Shorewood,1354,"Convert water supply, construct pipeline, storage tanks, pump station",ll1975080,2023-04-10 0:00:00,"$68,000,000"
Sidell,2942,Replace elevated water tower and water meters.,Jll830BSO,4/1/2021',"$1,185,500"
South Highway Water District,4071,"Replace watermains, pump station and emergency generator.",IL0775400,2021-08-01 0:00:00,"$530,000"
Southland Water Agency,TBD,New water supply system from lake Michigan,NA,2023-10-01 0:00:00,"$150,000,000"
Spring Valley,TBD,Replace watermains.,IL0111000,2021-10-01 0:00:00,"$430,000"
St. Jacob,1503,New elevated tower.,IL1190950,2022-05-02 0:00:00,"$2,000,000"
Sycamore,TBD,Water main improvements.,ll0370550,2023-03-01 0:00:00,"$1,481,089"
Thornton,1359,Rehab two storage tanks and replace meters and meter read system.,IL0313090,2022-07-01 0:00:00,"$2,207,500"
Valley View Water Works Assoc,TBD,Install watermain to connect with public water supply.,IL2030010,2021-09-01 0:00:00,"$307,544"
Wabash County Rural Water Dist,5696,New meter read system.,ll1850010,2021-06-15 0:00:00,"$232,000"
Watseka,5979,"Replacing and extending watermains, hydrants and valves.",IL0750900,2022-07-01 0:00:00,"$1,060,000"
Williamsfield,5989,"New ground storage tank, upgrade treatment plant, replace watermains.",ll0950650,2021-07-15 0:00:00,"$1,000,000"
Woodland,TBD,"New water tank, well, replace hydrants, and aerator equipment.",ll0751000,2022-03-15 0:00:00,"$1,260,000"
Xenia,5776,Replace watermains and hydrants.,!L025030D,2022-08-01 0:00:00,"$303,000"
