System Name,"MDH
 2023
 PPL
 Rank","MDH
 2023
 PPL
 Points",Project Description,"Project
 Number",Population,"Est.
 Const
 Start","Estimated Project
 Cost","Estimated
 DWRF Loan","Estimated
 DWRF Lead
 Service Line
 Replacement
 Principal
 Forgiveness
 NOT FINAL
 (1)","Estimated
 DWRF
 Emerging
 Contaminant
 Principal
 Forgiveness
 NOT FINAL
 (2)","Estimated
 DWRF
 Disadvantgd
 Community
 Principal
 Forgiveness
 NOT FINAL
 (3)","Estimated WIF
 Grant
 NOT FINAL
 (4)","Other Funds
 (5)",Status
Minneota,424,10,Watermain - Replacement,1420007-1,"1,307",Jun-23,"3,250,000","3,250,000",-,-,-,-,-,Part B
Minneota,425,10,Watermain - Watermain Improvements,1420007-3,"1,307",Jun-23,"350,000","350,000",-,-,-,-,-,Part B
Moorhead,434,10,Watermain - Distribution Phase 2,1140008-11,"43,409",Jun-23,"2,330,000","2,330,000",-,-,-,-,-,Part B
Moorhead,436,10,Watermain - Distribution Phase 3,1140008-14,"43,409",Jun-23,"1,900,000","1,900,000",-,-,-,-,-,Part B
Moorhead,438,10,Watermain - Distribution Phase 4,1140008-17,"43,409",Jun-23,"2,375,000","2,375,000",-,-,-,-,-,Part B
Moorhead,442,10,Source - Transmission Pipeline Repl,1140008-23,"43,409",Jun-23,"13,000,000","13,000,000",-,-,-,-,-,Part B
South Saint Paul,452,10,Watermain - I494 Crossing and 7th Ave,1190020-5,"20,132",Apr-23,"6,680,000","6,680,000",-,-,-,-,-,Part B
Foley,453,10,Source - New Well #6 & Seal Well #4,1050001-3,"2,658",Jun-23,"223,600","223,600",-,-,-,-,-,Part B
Buffalo,466,10,Storage - Tower #1 Rehab,1860005-7,"16,413",Jun-23,"815,000","815,000",-,-,-,-,-,Part B
Buffalo,467,10,Watermain - TH 25 South Recon,1860005-8,"16,413",Apr-23,"1,170,000","1,170,000",-,-,-,-,-,Part B
Montrose,471,10,"Storage - Repl Tower w/100,000 Gal Tower",1860016-6,"3,505",Jul-23,"4,650,000","4,650,000",-,-,-,-,-,Part B
Jordan,476,10,Storage -Tower Imprvmnts & Booster Reha,1700003-3,"6,230",Feb-23,"4,800,000","4,800,000",-,-,-,-,-,Part B
Lowry,487,8,Source - New Wells,1610007-6,345,Jun-23,"369,200","369,200",-,-,-,-,-,Part B
Minnetrista,488,8,Source - Replacement Well #9,1270036-6,"7,989",Jun-23,"1,360,000","1,360,000",-,-,-,-,-,Part B
Willmar,492,7,Treatment - Biological Filtration NE TP,1340016-1,"19,610",Aug-22,"24,100,000","12,050,000",-,-,-,-,-,Part B
Ghent,514,7,Watermain - Looping Dead End Water Line,1420004-3,497,May-23,"4,203,400","4,203,400",-,-,-,-,-,Part B
Jackson,516,7,Watermain - River Crossing,1320003-5,"3,208",May-23,"522,663","522,663",-,-,-,-,-,Part B
Madison Lake,521,7,"Watermain-Repl & Loop Main, 7th & Maple",1070007-9,"1,017",Jun-23,"1,084,010","1,084,010",-,-,-,-,-,Part B
Darwin,522,7,Watermain - 1st St. & Loop,1470002-4,302,May-23,"1,025,900","1,025,900",-,-,-,-,-,Part B
Lowry,527,7,Watermain - Replace & Loop,1610007-8,345,Jun-23,"2,324,100","2,324,100",-,-,-,-,-,Part B
Adams,529,7,Watermain - Loop & Connect Well No. 5,1500001-2,820,Jul-23,"460,000","460,000",-,-,-,-,-,Part B
Adams,530,7,Source - Well No. 5 & Pumphouse,1500001-3,820,Jan-23,"1,743,000","1,743,000",-,-,-,-,-,Part B
Rosemount,535,7,Treatment - New Fe/Mn/Ra Plant,1190019-2,"22,445",Jul-23,"28,750,000","14,375,000",-,-,-,-,-,Part B
Ramsey,536,7,Treatment - Plant Improvements,1020035-6,"14,252",Jan-23,"46,000,000","17,000,000",-,-,-,-,-,Part B
Walker,244,10,Watermain - NW Distribution Improvement,1110013-8,890,May-23,"788,250","821,250",-,-,-,-,-,"*amendment, carried from mn_not_eligible"
