System Name,"MDH
 2023
 PPL
 Rank","MDH
 2023
 PPL
 Points",Project Description,"Project
 Number",Population,"Est.
 Const
 Start","Estimated Project
 Cost","Estimated
 DWRF Loan","Estimated
 DWRF Lead
 Service Line
 Replacement
 Principal
 Forgiveness
 NOT FINAL
 (1)","Estimated
 DWRF
 Emerging
 Contaminant
 Principal
 Forgiveness
 NOT FINAL
 (2)","Estimated
 DWRF
 Disadvantgd
 Community
 Principal
 Forgiveness
 NOT FINAL
 (3)","Estimated WIF
 Grant
 NOT FINAL
 (4)","Other Funds
 (5)",Status
Akeley,171,10,Other - Emergency Generator,1290001-5,386,May-24,"130,000","130,000",-,-,-,-,-,Refer to RD
Akeley,172,10,Storage - Tower Rehab,1290001-6,386,May-24,"271,000","271,000",-,-,-,-,-,Refer to RD
Akeley,173,10,Watermain - CIP Replacement,1290001-7,386,May-24,"675,000","675,000",-,-,-,-,-,Refer to RD
Akeley,174,10,Conservation - Meter Replacement,1290001-8,386,May-24,"198,000","198,000",-,-,-,-,-,Refer to RD
Palisade,176,10,Watermain - System Improvements,1010013-1,218,May-24,"1,485,000","1,485,000",-,-,-,-,-,Refer to RD
Palisade,177,10,Treatment - New Plant,1010013-2,218,May-24,"1,485,000","1,485,000",-,-,-,-,-,Refer to RD
Palisade,178,10,Storage - Tower Improvements,1010013-3,218,May-24,"1,485,000","1,485,000",-,-,-,-,-,Refer to RD
Palisade,179,10,Source - Well #2 Replacement,1010013-4,218,May-24,"1,485,000","1,485,000",-,-,-,-,-,Refer to RD
Palisade,180,10,Conservation - Meter Replacement,1010013-5,218,May-24,"1,485,000","1,485,000",-,-,-,-,-,Refer to RD
Jeffers,202,10,Storage - Tower Rehab,1170002-1,342,Jun-23,"666,000","666,000",-,-,-,-,-,Refer to RD
Menahga,215,10,Watermain - First St. SW/Second St N,1800001-6,"1,053",May-24,"1,054,000","1,054,000",-,-,-,-,-,2024 project
Deer Creek,234,10,Source - Wellhouse Rehab,1560007-4,195,Jun-23,"127,000","127,000",-,-,-,-,-,Refer to RD
Deer Creek,235,10,Storage - Water Tower Rehab,1560007-5,195,,"297,000","297,000",-,-,-,-,-,Refer to RD
McKinley,261,10,Storage - Tower Improvements,1690033-2,131,Jun-23,"361,100","361,100",-,-,-,-,-,Refer to RD
McKinley,262,10,Watermain - Grand Ave. Improvements,1690033-3,131,Jun-23,"917,027","917,027",-,-,-,-,-,Refer to RD
Halstad,319,10,Other - New West Central Regional Water,1540003-2,587,Feb-23,"16,785,530","16,785,530",-,-,-,-,-,Refer to RD
Calumet,321,10,Watermain - 4th Ave & Alley,1310004-5,341,Jun-23,"287,933","287,933",-,-,-,-,-,Refer to RD
Calumet,322,10,Watermain - 6th Ave & Shipka St,1310004-6,341,Jun-23,"540,160","540,160",-,-,-,-,-,Refer to RD
Calumet,323,10,Watermain - Buckmaster Rd to 7th/8th,1310004-7,341,Jun-23,"325,045","325,045",-,-,-,-,-,Refer to RD
Calumet,324,10,Watermain - 9th Ave & Morgan St,1310004-8,341,Jun-23,"324,701","324,701",-,-,-,-,-,Refer to RD
Lewisville,328,10,Watermain - Replace Cast Iron WMs,1830003-6,333,May-23,"3,509,000","3,509,000",-,-,-,-,-,Refer to RD
Lewisville,329,10,Storage - Replace Tower,1830003-7,333,May-23,"1,015,000","1,015,000",-,-,-,-,-,Refer to RD
Bellingham,332,10,Storage - Replace Tower,1370001-2,168,Jun-23,"1,500,000","1,500,000",-,-,-,-,-,Refer to RD
Bellingham,333,10,Watermain - Repl CIP,1370001-3,168,Jun-23,"500,000","500,000",-,-,-,-,-,Refer to RD
Bellingham,334,10,Conservation - Install Meters,1370001-4,168,Jun-23,"400,000","400,000",-,-,-,-,-,Refer to RD
Garfield,336,10,Storage - Tower Rehab,1210021-4,362,May-24,"206,000","206,000",-,-,-,-,-,Refer to RD
Garfield,337,10,Conservation - Meter Replacement,1210021-5,362,May-24,"190,000","190,000",-,-,-,-,-,Refer to RD
Hokah,348,10,Source - Phase 1 - Upgrade Wells & Reser,1280004-2,649,Jun-23,"1,025,000","1,025,000",-,-,-,-,-,Refer to RD
Hokah,349,10,Source - Construction Well No. 3,1280004-3,649,Apr-23,"565,000","565,000",-,-,-,-,-,Refer to RD
Hokah,350,10,Watermain - Distribution System Imp.,1280004-6,649,Jun-23,"3,540,000","3,540,000",-,-,-,-,-,Refer to RD
Minnesota Lake,360,10,Storage - Replacement Tank,1220013-2,562,Jul-23,"1,500,000","1,500,000",-,-,-,-,-,Refer to RD
Beardsley,391,10,Storage - Tower Interior Recoat,1060002-3,195,Jul-23,"84,800","84,800",-,-,-,-,-,Refer to RD
Beardsley,392,10,Source - Pumphouse Rehab,1060002-5,195,May-23,"526,520","526,520",-,-,-,-,-,Refer to RD
Beardsley,393,10,Conservation - Install Meters,1060002-6,195,Jul-23,"132,000","132,000",-,-,-,-,-,Refer to RD
Brewster,403,10,Source - New Connection to LPRWS,1530003-1,550,Sep-23,"5,421,002","5,421,002",-,-,-,-,-,Refer to RD
Kerkhoven,490,7,Treatment - Remove Fe/Mn/As,1760006-1,714,Jul-23,"3,537,460","3,537,460",-,-,-,-,-,Refer to RD
Alpha,537,7,Treatment - Plant & Well Rehab,1320001-1,162,Jun-23,"2,074,950","2,074,950",-,-,-,-,-,Refer to RD
Ghent,544,6,"Storage - New 50,000 Gal Tower",1420004-1,497,May-23,"1,520,400","1,520,400",-,-,-,-,-,Below fundable
Foley,545,6,"Storage - New 200,000 Gal Tower",1050001-5,"2,658",Jun-23,"1,712,600","1,712,600",-,-,-,-,-,"Below fundable, refer"
Adams,547,6,"Storage - New 125,000 Gallon Tower",1500001-4,820,Feb-24,"1,911,000","1,911,000",-,-,-,-,-,"Below fundable, refer"
Barnesville,601,5,Watermain - Replacement - Phase 1,1140001-4,"2,600",May-23,"3,500,000","3,500,000",-,-,-,-,-,"Below fundable, refer"
Moorhead,605,5,Storage - Southside Tower,1140008-6,"42,005",Jun-23,"3,380,000","1,275,000",-,-,-,-,-,Below fundable
Cottonwood,609,5,Watermain - Repl Cast Iron Mains,1420002-1,"1,180",May-23,"5,477,830","5,477,830",-,-,-,-,-,"Below fundable, refer"
Ghent,610,5,Conservation - Meter Replacements,1420004-4,497,May-23,"180,200","180,200",-,-,-,-,-,Below fundable
Foley,620,5,Storage - Tower Rehab,1050001-6,"2,658",Jun-23,"398,400","398,400",-,-,-,-,-,"Below fundable, refer"
Dexter,623,5,"Storage - Replace 50,000 Gallon Tower",1500006-1,338,Jul-23,"1,687,500","1,687,500",-,-,-,-,-,Refer to RD
Dexter,624,5,Watermain - Replacement,1500006-2,338,,"2,494,888","2,494,888",-,-,-,-,-,Refer to RD
Lowry,637,5,Treatment - Plant Improvements,1610007-7,345,Jun-23,"102,600","102,600",-,-,-,-,-,Below fundable
Lowry,638,5,Other - Meter Replacement,1610007-9,345,Jun-23,"203,800","203,800",-,-,-,-,-,Below fundable
Lewiston,641,5,Source - Construct Well #6,1850006-10,"1,828",Jun-22,"800,000","800,000",-,-,-,-,-,"Below fundable, refer"
Lewiston,642,5,Treatment - RO for Softening,1850006-11,"1,828",Jun-23,"6,715,000","6,715,000",-,-,-,-,-,"Below fundable, refer"
Lewiston,643,5,Storage - Replacement Tower,1850006-12,"1,828",Jun-22,"1,870,000","1,870,000",-,-,-,-,-,"Below fundable, refer"
Rosemount,659,5,Source - New Well #17,1190019-1,"22,445",Jul-23,"1,100,000","1,100,000",-,-,-,-,-,Below fundable
Rosemount,660,5,Watermain - Akron Ave Ext.,1190019-3,"22,445",Jul-23,"218,000","318,000",-,-,-,-,-,Below fundable
Minnetrista,671,5,Storage - New 0.5 MG Tower,1270036-4,"2,913",May-23,"2,400,000","8,525,000",-,-,-,-,-,Below fundable
Minnetrista,672,5,Watermain - South/Central Connection,1270036-5,"2,913",Apr-23,"2,800,000","573,375",-,-,-,-,-,Below fundable
