RANK,SYSTEM,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
25,Perham,"Source - Well #10, Seal #3 & 4",1560023-10,13,"3,421","$505,000.00"
26,Danube,Source - New Well,1650004-1,13,493,"$313,000.00"
27,Swanville,"Source - New Well, Seal #1",1490007-10,13,311,"$486,000.00"
28,Beardsley,Source - New Well & Sealing,1060002-4,13,195,"$230,100.00"
29,Avoca,Other - Manganese Connect to Red Rock,1510001-1,13,142,"$503,200.00"
30,Maple Plain,Source - New Well #4 & Test Well,1270021-4,13,"1,768","$585,000.00"
31,Wood Lake,"Source - New Well #4, Seal Wells 1 & 2",1870008-1,13,439,"$740,960.00"
32,Prinsburg,Source - New Well,1340007-5,13,561,"$224,000.00"
33,Floodwood,Watermain - Looping,1690048-4,12,501,"$727,300.00"
34,Onamia,Treatment - New Plant,1480003-4,12,875,"$3,972,200.00"
35,Clinton,Watermain - Looping,1060003-4,12,450,"$376,180.00"
36,Gonvick,Treatment - Plant Rehab,1150005-1,12,284,"$275,000.00"
37,Gonvick,Watermain - Repl Various Areas,1150005-2,12,284,"$3,243,000.00"
38,Bigfork,Source - New Well & Plant Rehab,1310001-6,12,443,"$129,489.00"
39,New Auburn,Watermain - Replace & Loop,1720007-3,12,485,"$675,000.00"
40,Vesta,Watermain - Repl & Loop South Street,1640012-5,12,319,"$236,000.00"
41,Sebeka,Watermain - Repl & Loop - Phase 1,1800002-10,12,777,"$1,309,600.00"
42,Dawson,Treatment - Plant Rehab,1370003-6,12,"1,540","$1,232,500.00"
43,Wells,Treatment - Lime Softening Plant,1220010-2,12,"2,307","$6,405,000.00"
44,Browns Valley,Watermain - Replace & Loop,1780001-1,12,595,"$1,888,230.00"
45,Browns Valley,Source - Two New Wells,1780001-2,12,595,"$197,150.00"
46,Elbow Lake,Watermain - Replace & Loop 2nd,1260003-7,12,"1,200","$1,200,000.00"
47,Pine City,Watermain - Second River Crossing,1580008-3,12,"3,127","$306,800.00"
48,Pine City,Watermain - Northwest Looping,1580008-4,12,"3,113","$505,000.00"
49,Two Harbors,Treatment - Repl Chlorine Contact Tank,1380005-4,12,"3,613","$5,020,142.00"
50,Nielsville,Treatment - Wellhouse Rehab,1600012-3,12,89,"$271,310.00"
51,Saint James,Watermain - Ring Road Loop,1830006-8,12,"4,611","$296,465.00"
52,Amboy,Treatment - RO for Chlorides,1070001-2,12,507,"$1,749,665.00"
53,Madison,Watermain - NW Area Loop,1370004-5,12,"1,647","$819,400.00"
54,Madelia,Watermain - Looping,1830004-5,12,"2,319","$576,000.00"
55,LaSalle,Watermain - Looping,1830009-3,12,90,"$332,000.00"
56,Mankato,Source - New Well #17,1070009-7,12,"42,803","$4,760,000.00"
57,Annandale,Watermain - Repl Elm St. & Loop Poplar.,1860002-7,12,"3,334","$1,724,315.00"
58,Buffalo Lake,Treatment - Plant Rehab & New Well,1650003-5,12,653,"$1,738,000.00"
59,International Falls,Treatment - Plant Rehab,1360002-1,12,"5,816","$10,400,000.00"
60,Ellsworth,Watermain - Replace & Loop,1530005-1,12,171,"$893,400.00"
61,Danube,Watermain - Looping,1650004-4,12,493,"$304,000.00"
62,Bowlus,Source - Backup Well & Wellhouse,1490009-2,12,300,"$125,000.00"
63,Bowlus,Source - New Well & Wellhouse,1490009-3,12,300,"$575,000.00"
64,Fertile,Watermain - Replace & Loop,1600008-6,12,931,"$1,090,000.00"
65,Pelican Rapids,Watermain - Replace & Loop - Phase 2,1560019-4,12,"2,374","$1,904,263.00"
66,Stewart,Watermain - Looping Improvements,1430009-7,12,610,"$1,316,700.00"
67,Worthington,Treatment - Plant Rehab,1530011-1,12,"13,093","$2,395,000.00"
68,Balaton,Treatment - Rehab Plant,1420001-5,12,601,"$5,437,100.00"
69,Amboy,"Watermain - Repl North St.,Loop Radke St",1070001-1,12,651,"$1,150,875.00"
70,Bellingham,Treatment - New Plant,1370001-1,12,168,"$3,000,000.00"
71,Rushmore,Treatment - New IE & RO Plant,1530009-6,12,342,"$2,282,000.00"
72,Garfield,Treatment - New Fe/Mn Plant & Well,1210021-1,12,362,"$4,536,000.00"
73,Hokah,Treatment - New Plant or Blend,1280004-5,12,572,"$3,000,000.00"
74,Comfrey,Watermain - Looping,1080001-6,12,360,"$349,000.00"
75,Gilbert,Treatment - New Treatment Plant,1690020-8,12,"1,850","$9,645,821.00"
76,Winsted,Source - New Well #5,1430010-6,12,"2,296","$750,000.00"
77,Winsted,Watermain - CSAH 9 Looping w/Baker Ave,1430010-7,12,"2,296","$980,000.00"
78,Hector,Watermain - looping,1650009-5,12,972,"$477,000.00"
79,Atwater,Source - Well & Wellhouse Improvements,1340001-8,12,"1,014","$1,600,000.00"
80,Underwood,Treatment - Replace Plant,1560026-6,12,389,"$3,000,000.00"
81,Silver Bay,Treatment - Plant Improvements,1380003-11,12,"1,610","$8,200,000.00"
82,Beardsley,Watermain - Replace & Loop,1060002-2,12,195,"$3,472,240.00"
83,Luverne,Watermain - Lewis & Clark 2nd Connection,1670004-2,12,"4,564","$3,000,000.00"
84,LeSueur,Watermain - New Booster Station & Wtrmn,1400010-9,12,"4,050","$2,200,000.00"
85,Arlington,Treatment - Rehab Plant & Well 2,1720001-2,12,"2,230","$3,500,000.00"
86,Upsala,Watermain - Repl & Loop,1490008-4,12,497,"$520,000.00"
87,Felton,Source - New Wells,1140012-2,12,135,"$189,000.00"
88,Kandiyohi,Treatment - New Fe/Mn Plant & Wells,1340003-3,12,554,"$3,620,000.00"
89,Kandiyohi,Watermain - Looping,1340003-5,12,554,"$433,000.00"
90,Browerville,Watermain - Replace & Loop,1770002-6,12,689,"$1,609,600.00"
91,LeSueur,Treatment - Plant Rehab,1400010-6,12,"4,028","$4,000,000.00"
92,Wood Lake,Treatment - Repl Plant & Equipment,1870008-2,12,439,"$2,627,040.00"
93,South Saint Paul,Treatment - New Radium/Mn/Fe Plant,1190020-3,12,"20,132","$9,612,412.00"
94,Clearwater,Source - New Wells & Wellhouse,1860025-5,12,"1,859","$2,895,000.00"
95,Randolph,"Source New Well, Rehab Wellhouse",1190025-1,12,355,"$888,000.00"
96,Mendota,Watermain - Area 1 Loop,1190030-2,12,157,"$1,400,000.00"
97,Mendota,Watermain - Area 3 Loop,1190030-4,12,157,"$1,625,000.00"
98,Northfield,Treatment - Gravity Filters and RO,1660010-2,12,"19,449","$33,450,000.00"
99,Monticello,Treatment - New Water Treatment Plant,1860012-1,12,"13,583","$28,392,000.00"
100,Harris,Watermain - Looping,1130005-5,12,"1,065","$541,600.00"
101,Harris,Source - New Well,1130005-6,12,"1,065","$600,000.00"
102,Zimmerman,Source - 2 New Wells,1710006-7,12,"5,657","$850,000.00"
103,Zimmerman,Treatment - New Pressure Filter Plant,1710006-8,12,"5,657","$5,900,000.00"
104,Excelsior,Treatment - Plant Rehab,1270012-2,12,"2,414","$3,020,000.00"
105,Myrtle,Storage - New Hydropneumatic Tank,1240015-2,11,48,"$9,800.00"
106,Deerwood,"Storage - Replace w/100,000 Gal Tower",1180012-6,11,532,"$923,000.00"
107,Madelia,"Storage - New 200,000 Gal Tower",1830004-4,11,"2,319","$1,170,000.00"
108,Waseca,Storage - New 1MG West Side Tower,1810004-4,11,"9,124","$4,750,000.00"
109,Balaton,Storage - Tower Replacement,1420001-2,11,601,"$2,599,900.00"
110,Kandiyohi,"Storage - Repl Tower w/75,000 Gal Tower",1340003-4,11,554,"$1,449,000.00"
111,North Saint Paul,Storage - 0.75 Composite Water Tower,1620011-1,11,"12,406","$3,600,000.00"
112,Zimmerman,Storage - New 0.4 MG Tower,1710006-9,11,"5,657","$2,100,000.00"
113,Cromwell,Watermain - Repl TH 210/TH 73,1090007-7,10,229,"$232,000.00"
114,Myrtle,Source - New Pump & Generator,1240015-1,10,48,"$58,500.00"
115,Myrtle,Watermain - Replace Mains,1240015-3,10,48,"$224,640.00"
116,Ogilvie,Watermain - Repl E.Rutherford/Hill Ave,1330004-3,10,359,"$765,000.00"
117,Floodwood,Watermain - 5th Ave Repl,1690048-2,10,501,"$338,375.00"
118,Floodwood,Watermain - Repl 4 Inch Mains,1690048-3,10,501,"$2,369,900.00"
119,Isle,Watermain - Replacement,1480001-5,10,745,"$2,469,800.00"
120,Isle,Source - Improvements,1480001-6,10,745,"$307,700.00"
121,Isle,Storage - Tower Rehab,1480001-7,10,745,"$294,500.00"
122,Northome,Watermain - Repl Northeast Watermain,1360005-6,10,202,"$1,483,250.00"
123,Northome,"Storage - Replace w/50,000 Gallon Tower",1360005-7,10,202,"$942,500.00"
124,Northome,"Conservation-Repl Meters, Service Lines",1360005-8,10,202,"$341,250.00"
125,Onamia,Storage - Tower Rehab,1480003-6,10,875,"$250,800.00"
126,Ironton,Treatment - Replace Plant,1180017-6,10,572,"$5,200,000.00"
127,Deerwood,"Watermain - Repl 4 inch Mains, Phase 3",1180012-4,10,590,"$1,242,000.00"
128,Brainerd,Treatment - Backwash Recovery,1180002-1,10,"13,590","$4,170,000.00"
129,Brainerd,Storage - 2MG Ground Reservoir,1180002-3,10,"13,590","$5,992,000.00"
130,Clinton,Treatment - Manganese Plant,1060003-2,10,450,"$1,690,000.00"
131,Clinton,Storage - Tower Rehab,1060003-3,10,450,"$235,600.00"
132,Cuyuna,Storage - Replace with New Tower,1180011-5,10,231,"$616,800.00"
133,Cuyuna,Watermain - Replace for City,1180011-6,10,231,"$1,273,155.00"
134,Cuyuna,Conservation - Replace Meters,1180011-7,10,231,"$55,650.00"
135,Dalton,"Storage - New 50,000 Gal Tower",1560008-5,10,256,"$830,000.00"
136,Cosmos,Watermain - Repl - Phase 2,1470011-7,10,473,"$2,100,000.00"
137,Walnut Grove,Watermain - Replace Old Water Main,1640014-1,10,685,"$833,500.00"
138,Cass Lake,Watermain - Repl Various Areas,1110006-5,10,750,"$590,000.00"
139,Bemidji,"Treatment - New Plant - Remove Fe/Mn,PFC",1040002-1,10,"15,462","$16,000,000.00"
140,Baudette,"Storage - Repl w/50,000 Gal East Tower",1390001-3,10,"1,084","$650,000.00"
141,Elmore,Watermain - Repl TH169,1220004-3,10,663,"$722,645.00"
142,Wadena,Watermain - Replace SW Portion of City,1800004-4,10,"4,293","$4,925,000.00"
143,Brainerd,Storage - Ground Reservoir @ WTP,1180002-4,10,"13,373","$5,992,000.00"
144,Brainerd,Conservation -Bckwsh Collection & System,1180002-5,10,"13,373","$4,170,000.00"
145,Moose Lake,"Source - Well #1 Rehab, New Well House",1090009-3,10,"1,259","$1,100,000.00"
146,Bigfork,Watermain - Replacement,1310001-10,10,420,"$1,111,900.00"
147,Bigfork,Storage - Tower Rehab,1310001-8,10,446,"$489,600.00"
148,Bigfork,Conservation - Replace Meters,1310001-9,10,446,"$88,280.00"
149,New Auburn,Storage - Recoating,1720007-4,10,485,"$297,000.00"
150,New Auburn,Other - Meter Repl,1720007-5,10,485,"$101,250.00"
151,Marble,Storage - Tower Replacement,1310023-3,10,614,"$1,158,000.00"
152,Marble,Watermain - Downtown Area,1310023-4,10,534,"$2,865,000.00"
153,Marble,Other - LSL Replacement,1310023-5,10,534,"$74,800.00"
154,Pine River,Treatment - Manganese New Plant,1110019-6,10,960,"$3,297,000.00"
155,Belview,Treatment - Manganese Plant,1640001-2,10,360,"$2,097,000.00"
156,Belview,Storage - Tower Rehab,1640001-3,10,360,"$420,000.00"
157,Belview,Watermain - Selective Replacements,1640001-4,10,360,"$6,171,080.00"
158,Belview,Conservation - Replace Meters,1640001-5,10,360,"$100,000.00"
159,Appleton,Watermain - Water Distribution Imprvmnts,1760001-2,10,"1,339","$8,950,000.00"
160,Appleton,Watermain - Replace 20 Blocks,1760001-3,10,"1,339","$6,000,000.00"
161,Erskine,Storage - Remove Original Tower,1600005-6,10,431,"$58,000.00"
162,Erskine,Watermain - Replace 1947 Lines,1600005-7,10,431,"$1,179,150.00"
163,Sacred Heart,Treatment - RO to Address Chlorides,1650013-3,10,548,"$5,072,000.00"
164,Ely,Watermain - Repl Various Areas,1690014-3,10,"3,616","$700,000.00"
165,Ely,Watermain - Raw Water Intake/WM Repl,1690014-4,10,"3,616","$2,645,000.00"
166,Ely,Watermain - Water Plant to Tower,1690014-5,10,"3,616","$270,000.00"
167,Middle River,Conservation - Repl Meters,1450006-4,10,309,"$119,400.00"
168,Mahnomen,Other - Backup Generators,1440002-10,10,"1,222","$220,500.00"
169,Mahnomen,Source - Upgrade Well #4,1440002-9,10,"1,222","$208,000.00"
170,Bricelyn,Watermain - CSAH 56 Street Improvements,1220002-1,10,292,"$540,000.00"
171,Akeley,Other - Emergency Generator,1290001-5,10,386,"$130,000.00"
172,Akeley,Storage - Tower Rehab,1290001-6,10,386,"$271,000.00"
173,Akeley,Watermain - CIP Replacement,1290001-7,10,386,"$675,000.00"
174,Akeley,Conservation - Meter Replacement,1290001-8,10,386,"$198,000.00"
175,Eagle Bend,Watermain -Phase 5,1770004-8,10,519,"$899,800.00"
176,Palisade,Watermain - System Improvements,1010013-1,10,218,"$1,485,000.00"
177,Palisade,Treatment - New Plant,1010013-2,10,218,"$1,485,000.00"
178,Palisade,Storage - Tower Improvements,1010013-3,10,218,"$1,485,000.00"
179,Palisade,Source - Well #2 Replacement,1010013-4,10,218,"$1,485,000.00"
180,Palisade,Conservation - Meter Replacement,1010013-5,10,218,"$1,485,000.00"
181,Brooten,"Treatment - New Plant, Remove Fe/Mn",1730005-6,10,647,"$2,000,000.00"
182,Princeton,Other - LSL Replacement,1480008-8,10,"4,636","$600,000.00"
183,Middle River,"Storage - Replace 50,000 Gal Tower",1450006-3,10,309,"$910,000.00"
184,Frazee,Watermain - Replace East Main Ave.,1030014-5,10,"1,335","$670,400.00"
185,Ada,Watermain - Repl Various Areas,1540001-3,10,"1,709","$1,800,000.00"
186,Clearbrook,Treatment - Manganese Plant & Well,1150003-3,10,671,"$3,700,820.00"
187,Heron Lake,"Storage - Replace 100,000 Gal Tower",1320002-3,10,691,"$800,000.00"
188,Sebeka,Watermain - Rep. CIP - Phase 2,1800002-11,10,676,"$1,080,000.00"
189,Sebeka,Watermain - Repl CIP - Phase 3,1800002-12,10,676,"$718,000.00"
190,Sebeka,Watermain - Repl CIP - Phase 4,1800002-13,10,676,"$877,000.00"
191,Sebeka,Conservation - Automated Meter Reading,1800002-14,10,676,"$250,000.00"
192,Sebeka,Other - LSL Replacement,1800002-15,10,777,"$50,000.00"
193,Sebeka,"Treatment - New Plant, Remove Iron",1800002-7,10,710,"$1,750,000.00"
194,Sebeka,Source - New Wellhouse,1800002-9,10,676,"$750,000.00"
195,Ostrander,"Storage - New 50,000 Gal Tower",1230008-1,10,256,"$758,100.00"
196,Bagley,Treatment - Plant Rehab,1150001-3,10,"1,398","$143,525.00"
197,Bagley,Storage - tower rehab,1150001-4,10,"1,398","$546,354.00"
198,Bagley,Watermain - Distribution Replacement,1150001-5,10,"1,398","$7,465,513.00"
199,Riverton,Watermain - Replace,1180025-4,10,114,"$104,000.00"
200,Buhl,Storage - Elevated Water & Storage Tank,1690006-1,10,963,"$1,183,300.00"
201,Browns Valley,Treatment - Manganese Treatment Plant,1780001-3,10,595,"$3,622,610.00"
202,Jeffers,Storage - Tower Rehab,1170002-1,10,342,"$666,000.00"
203,Henning,Watermain - Inman St. Underground Imprvm,1560016-8,10,853,"$602,753.00"
204,Albert Lea,Treatment - Nitrification Solution,1240001-3,10,"18,016","$700,000.00"
205,Waubun,"Storage - Repl w/100,000 Gallon Tower",1440004-1,10,388,"$635,000.00"
206,Starbuck,Storage - Tank Rehab,1610008-4,10,"1,274","$92,400.00"
207,Herman,Source - New Well #2/Rehab #1,1260005-2,10,425,"$200,000.00"
208,Herman,Storage - Replace Elevated Tower,1260005-3,10,425,"$750,000.00"
209,Herman,Watermain - Loop and Replace,1260005-4,10,425,"$580,000.00"
210,Rushmore,Watermain - Connection to LPRWS,1530009-4,10,342,"$2,910,000.00"
211,Rushmore,"Storage - New 50,000 Gal Tower",1530009-5,10,342,"$1,363,000.00"
212,Menahga,"Storage - Repl w/100,000 Gal Tower",1800001-2,10,"1,228","$1,288,000.00"
213,Menahga,Watermain - Main Street East Repl,1800001-3,10,"1,228","$458,430.00"
214,Menahga,Watermain - First Street NW Repl,1800001-4,10,"1,228","$360,378.00"
215,Menahga,Watermain - First St. SW/Second St N,1800001-6,10,"1,053","$585,200.00"
216,Pipestone,Watermain - Replace NE Area - Phase 3,1590005-10,10,"4,317","$801,894.00"
217,Pipestone,Other - LSL Replacement,1590005-11,10,"4,317","$60,000.00"
218,Pipestone,Watermain - Replace NE Area - Phase 1,1590005-8,10,"4,317","$1,929,043.00"
219,Pipestone,Watermain - Replace NE Area - Phase 2,1590005-9,10,"4,317","$2,400,000.00"
220,Sandstone,Treatment - Plant Rehab,1580010-4,10,"1,549","$270,000.00"
221,Little Falls,Treatment - Phase 1- Filter Rehab,1490002-5,10,"8,797","$1,400,000.00"
222,Little Falls,Treatment - Phase 2 - Reclaim Tank Rehab,1490002-6,10,"8,797","$1,300,000.00"
223,Little Falls,Treatment - Phase 3 - Plant Rehab,1490002-7,10,"8,797","$280,500.00"
224,Tracy,Watermain - Loop and Replace,1420010-4,10,"2,179","$5,413,000.00"
225,Henning,Other - LSL Replacement,1560016-10,10,806,"$3,325,000.00"
226,Henning,Watermain - Replace Cast Iron Main,1560016-9,10,806,"$5,000,000.00"
227,Clarkfield,Other - Connect to Lincoln Pipestone RWS,1870002-7,10,841,"$3,100,000.00"
228,Houston,"Watermain - Jackson, Lincoln, Spruce Sts",1280005-4,10,980,"$556,000.00"
229,Nielsville,Storage - Repl Tower,1600012-4,10,89,"$1,424,097.00"
230,Nielsville,Conservation - Repl Water Meters,1600012-5,10,89,"$89,592.00"
231,Mabel,Watermain - Repl Various Street,1230007-2,10,747,"$1,550,000.00"
232,Saint James,Watermain - Repl 11th St.,1830006-7,10,"4,611","$1,108,680.00"
233,Hendrum,"Storage - Repl 50,000 Gal Tower",1540004-3,10,307,"$1,430,000.00"
234,Deer Creek,Source - Wellhouse Rehab,1560007-4,10,195,"$127,000.00"
235,Deer Creek,Storage - Water Tower Rehab,1560007-5,10,195,"$297,000.00"
236,Breckenridge,Conservation - Meter Replacement,1840002-2,10,"3,198","$586,806.00"
237,Breckenridge,Other - Generator for Wells,1840002-3,10,"3,198","$99,474.00"
238,Breckenridge,Other - Old Plant Demo,1840002-4,10,"3,198","$1,354,500.00"
239,Fergus Falls,"Storage - Replace 750,000 Gallon GSR",1560014-1,10,"13,754","$2,000,000.00"
240,Crosby,Watermain - Phase 4 Improvements,1180008-10,10,"2,749","$2,774,300.00"
241,Crosby,Watermain - Phase 5 Improvements,1180008-11,10,"2,749","$2,835,700.00"
242,Crosby,Watermain - Phase 3A & 3B Improvements,1180008-9,10,"2,749","$1,851,704.00"
243,Bovey,Conservation - Repl Meters,1310003-2,10,802,"$240,000.00"
244,Walker,Watermain - NW Distribution Improvements,1110013-8,10,890,"$788,250.00"
245,Walker,Other - LSL Replacement,1110013-9,10,890,"$33,000.00"
246,LaSalle,Conservation - Repl Meters,1830009-4,10,90,"$85,000.00"
247,Lanesboro,Watermain - Repl TH250,1230006-3,10,788,"$1,261,898.00"
248,Lanesboro,Watermain - Repl Kirkwood St.,1230006-4,10,788,"$1,070,599.00"
249,Lanesboro,Watermain - Repl Various Streets,1230006-5,10,788,"$755,738.00"
250,Braham,Watermain - Repl Various Areas,1300001-3,10,"1,800","$11,950,000.00"
251,Detroit Lakes,Watermain -Repl Campbell Ave/Linden Ln,1030005-5,10,"9,200","$1,257,400.00"
252,Winton,Source - Pumphouse,1690057-2,10,116,"$134,500.00"
253,Winton,Storage - Vault Improvements,1690057-3,10,116,"$156,000.00"
254,Winton,Watermain - Repl - 4 Zones,1690057-4,10,116,"$3,481,400.00"
255,Fosston,Watermain - Replace Various Areas,1600010-4,10,"1,434","$4,488,183.00"
256,New York Mills,Watermain - CSAH 84 to Cornwell Ave,1560017-7,10,"1,307","$984,600.00"
257,New York Mills,Watermain - Various City Street,1560017-8,10,"1,307","$1,576,000.00"
258,Mankato,Storage - Repl West Reservoir,1070009-8,10,"42,803","$2,770,000.00"
259,Annandale,"Watermain - Repl Oak, Park, Pleasant",1860002-6,10,"3,334","$2,354,548.00"
260,Annandale,Storage - Tower Rehab,1860002-8,10,"3,420","$699,000.00"
261,McKinley,Storage - Tower Improvements,1690033-2,10,131,"$361,100.00"
262,McKinley,Watermain - Grand Ave. Improvements,1690033-3,10,131,"$917,027.00"
263,Glenwood,Watermain - Replace Old Mains,1610003-12,10,"2,563","$3,735,570.00"
264,Glenwood,Storage - Ground Storage Tank Rehab,1610003-13,10,"2,563","$884,400.00"
265,Hayward,Watermain - Replacement,1240012-2,10,227,"$2,304,000.00"
266,Lake Park,Treatment - Plant Rehab,1030016-3,10,797,"$1,161,600.00"
267,Lake Park,Watermain - Repl 2nd Street,1030016-4,10,797,"$812,518.00"
268,Lake Park,Conservation - Repl Water Meters,1030016-5,10,797,"$382,049.00"
269,Ortonville,Watermain - Repl Various Areas - Phase 2,1060008-7,10,"1,910","$3,158,196.00"
270,Ortonville,Watermain - Phase 3,1060008-8,10,"2,017","$7,367,544.00"
271,Blue Earth Light and Water,Treatment - RO for Softening,1220001-4,10,"3,138","$10,230,000.00"
272,Eveleth,Watermain -Rosvlt & Dgls Aves Water Repl,1690018-9,10,"3,609","$472,794.00"
273,Morgan,Treatment - Manganese Plant,1640006-3,10,896,"$4,775,000.00"
274,Morgan,Storage - Tower Rehab,1640006-5,10,896,"$407,000.00"
275,Hibbing,Source - Well Houses Rehab,1690022-10,10,"15,923","$600,000.00"
276,Hibbing,Treatment - Plant Rehab,1690022-11,10,"15,923","$4,800,000.00"
277,Hibbing,Treatment - Plant for Carey Valley Well,1690022-7,10,"15,923","$10,800,000.00"
278,Hibbing,Storage - Mesabi Tower Rehab,1690022-8,10,"15,923","$1,560,000.00"
279,Hibbing,Other - LSL Replacement,1690022-9,10,"15,923","$500,000.00"
280,Perham,"Watermain-Repl 1st Ave N,4th & 5th St SW",1560023-9,10,"3,421","$1,468,204.00"
281,International Falls,Other - LSL Replacement,1360002-2,10,"5,816","$970,000.00"
282,International Falls,Watermain - Replace 9th Street,1360002-3,10,"5,816","$1,480,000.00"
283,Sacred Heart,Treatment - Plant Rehab,1650013-4,10,608,"$4,300,000.00"
284,Sacred Heart,Storage - Tower Rehab,1650013-5,10,608,"$1,096,000.00"
285,Claremont,Storage - Tower Rehab,1200001-3,10,538,"$370,500.00"
286,Danube,Watermain - Repl Cast Iron Mains,1650004-3,10,493,"$5,500,000.00"
287,Danube,Conservation - Replace Meters,1650004-5,10,493,"$290,000.00"
288,Glenville,Treatment - Water trtmnt plant & wells,1240010-1,10,670,"$4,000,000.00"
289,Sanborn,Conservation - Water Meter Improvements,1640011-3,10,361,"$170,000.00"
290,Sanborn,Storage - Water Tower Improvements,1640011-4,10,361,"$420,000.00"
291,Kiester,Watermain - Distribution Improvements,1220008-3,10,549,"$5,231,330.00"
292,Kiester,Storage - Tank Improvements,1220008-4,10,549,"$585,000.00"
293,Kiester,Treatment - Plant Improvements,1220008-5,10,549,"$6,102,330.00"
294,Edgerton,Watermain - Repl Cast Iron Mains,1590001-2,10,"1,171","$8,000,000.00"
295,Holland,Storage - Tower Rehab,1590010-1,10,180,"$788,000.00"
296,Holland,Watermain - Replacement,1590010-2,10,180,"$5,590,000.00"
297,Holland,Conservation - Meter Replacement,1590010-3,10,180,"$221,000.00"
298,Fertile,Conservation - Meter Replacement,1600008-5,10,931,"$460,000.00"
299,Detroit Lakes,Storage - 2.0 MG Elevated Storage Tank,1030005-6,10,"9,197","$4,500,000.00"
300,Pelican Rapids,Storage - Recoat Water Tower,1560019-3,10,"2,374","$500,000.00"
301,Pelican Rapids,Watermain - TH59 and TH108,1560019-8,10,"2,515","$6,250,000.00"
302,Hanska,Source - Replace Well #1 with #4,1080002-1,10,419,"$255,000.00"
303,Hanska,Watermain - Repl Transite Main - Phase 2,1080002-6,10,419,"$2,335,000.00"
304,Stewart,Watermain - Distribution Reconstruction,1430009-8,10,610,"$3,178,300.00"
305,Winnebago,Storage - Water Tank Rehabilitation,1220011-3,10,"1,417","$585,000.00"
306,Winnebago,Watermain - Cleveland Ave W Imprvmnts,1220011-4,10,"1,261","$2,131,467.00"
307,Red Lake Falls,Other - LSL Replacement,1630003-5,10,"1,372","$1,190,696.00"
308,Lake Wilson,Storage - Tank Rehab,1510008-2,10,222,"$590,000.00"
309,Balaton,Watermain - Replacement,1420001-4,10,601,"$1,700,900.00"
310,Saint Cloud,Other - LSL Replacement Wilson Ave,1730027-10,10,"40,112","$364,000.00"
311,Saint Cloud,Other - LSL Replacement Cooper Avenue,1730027-11,10,"40,112","$378,000.00"
312,Saint Cloud,Other - LSL Replacement Germain St,1730027-12,10,"40,112","$56,000.00"
313,Saint Cloud,Other - Calvary Booster Station Imprvmt,1730027-9,10,"40,112","$3,312,000.00"
314,Randall,Watermain - Water System Improvements,1490005-2,10,581,"$4,000,000.00"
315,Randall,Storage - Storage Improvements,1490005-3,10,581,"$425,000.00"
316,Randall,Conservation - Meter Replacement,1490005-4,10,581,"$75,000.00"
317,Lamberton,Other - LSL Replacement,1640003-14,10,831,"$613,600.00"
318,Halstad,Storage - Water Tower Rehab,1540003-1,10,581,"$440,000.00"
319,Halstad,Other - New West Central Regional Water,1540003-2,10,587,"$16,785,530.00"
320,Winsted,Treatment - Manganese Plant,1430010-5,10,"2,296","$8,000,000.00"
321,Calumet,Watermain - 4th Ave & Alley,1310004-5,10,341,"$287,933.00"
