"SelfScore1",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME,"FederalEquivalency2"
179,"MAYVILLE, CITY OF",5443‐09,Replace Existing Water Treatment System/SCADA,"$2,830,000.00",SC,Zettl,No
176,"RIPON, CITY OF",5289‐04,"Replace well #5, treatment, storage, filtration & SCADA","$10,000,000.00",NE,Hannes,No
171,"MADISON, CITY OF (SDW)",4837‐09,Treat Well #15 for PFAS (EC),"$6,000,000.00",SC,Zettl,Yes
156,"MENOMONIE, CITY OF",4846‐04,Construct New Well,"$7,000,000.00",WC,Cameron,Yes
139,"TWO RIVERS, CITY OF",4920‐50,Replace Watermains System Wide,"$1,500,000.00",NE,Hannes,No
136,"DARLINGTON, CITY OF",5387‐04,Construct Well #3,"$880,000.00",SC,Zettl,No
136,"READSTOWN, VILLAGE OF",5523‐07,Construct New Well #2,"$900,000.00",WC,Cameron,No
135,"TWO RIVERS, CITY OF",4920‐49,BIL SFY24 LSL Program,"$500,000.00",NE,Hannes,Yes
134,"CAMBRIDGE, VILLAGE OF",5055‐05,"Well 3 rehab, treatment","$4,527,000.00",SC,Zettl,No
132,"RIPON, CITY OF",5289‐06,"Upgrade well #8 filtration, building, pumps, SCADA","$2,500,000.00",NE,Hannes,No
132,"MUSCODA, VILLAGE OF",5159‐05,Abandon/Replace Elevated Water Tower,"$2,100,000.00",SC,Zettl,No
130,"BELOIT, CITY OF",5471‐07,Treat Well #9 for Radium,"$5,000,000.00",SC,Zettl,Yes
128,"ADAMS, CITY OF",5310‐04,Construct Well #6; Replace Well #4 (EC),"$1,900,000.00",WC,Cameron,Yes
128,"ADAMS, CITY OF",5310‐06,Treat Well #4 for PFAS‐ Temporary (EC),"$1,200,000.00",WC,Cameron,Yes
128,"ADAMS, CITY OF",5310‐05,Treat Well #4 for PFAS (EC),"$2,800,000.00",WC,Cameron,Yes
126,"SUAMICO, VILLAGE OF",5392‐05,Construct New Well #5,"$7,140,000.00",NE,Hannes,No
125,"GREEN BAY, CITY OF",5331‐31,BIL SFY24 LSL Program,"$1,000,000.00",NE,Hannes,Yes
124,"BROWNTOWN, VILLAGE OF",5056‐03,Rehab Water Tower,"$400,000.00",SC,Zettl,No
121,"PULASKI, VILLAGE OF",5373‐08,Construct Connection to Green Bay Water Utility,"$11,800,000.00",NE,Hannes,No
120,"LAKE MILLS, CITY OF",4828‐11,BIL SFY24 LSL Program,"$700,000.00",SC,Zettl,Yes
117,"RACINE, CITY OF",4887‐16,BIL SFY24 LSL Program,"$2,000,000.00",SE,Binder,Yes
116,"BALSAM LAKE, VILLAGE OF",5329‐06,Well #2 wellhouse improvements & water transmission main,"$8,000,000.00",NO,Andruczyk,No
116,"BALSAM LAKE, VILLAGE OF",5329‐05,Well #1 wellhouse improvements & water transmission main,"$8,000,000.00",NO,Andruczyk,No
116,"BALSAM LAKE, VILLAGE OF",5329‐03,Treat Well #3 for Mn,"$6,500,000.00",NO,Andruczyk,No
116,WIOTA SD #1,5442‐03,Upgrade Well/House #1 Including Controls & Pump,"$998,000.00",SC,Zettl,No
114,"CHIPPEWA FALLS, CITY OF",4783‐04,BIL SFY24 LSL Program,"$1,215,000.00",WC,Cameron,Yes
114,"BARABOO, CITY OF",4762‐05,BIL SFY24 LSL Program,"$1,000,000.00",SC,Zettl,Yes
114,"CHETEK, CITY OF",4781‐07,Replace Water Tower,"$3,498,500.00",NO,Andruczyk,No
113,"OCONOMOWOC, CITY OF",5452‐07,"Replace WM on Grove, Oakwood, Capitol, and Bolson","$1,815,200.00",SE,Binder,Yes
112,"KAUKAUNA, CITY OF",5120‐13,"Replace WMs on Canal, Park, Klein, 4th, 5th, Hendricks...","$3,172,613.00",NE,Hannes,Yes
112,"MONDOVI, CITY OF",5620‐02,Treat Well #1 for Mn,"$1,400,000.00",WC,Cameron,No
112,"MONDOVI, CITY OF",5620‐03,Upgrade Well 3,"$1,400,000.00",WC,Cameron,No
112,"MONDOVI, CITY OF",5620‐04,Upgrade Well 4,"$1,400,000.00",WC,Cameron,No
112,"BLOOMINGTON, VILLAGE OF",5065‐04,Construct Well  2 and Appurtenances,"$880,000.00",SC,Zettl,No
112,"AVOCA, VILLAGE OF",4761‐04,"Construct Well/House 3, Piping, Chem Addition, Standby Power","$880,000.00",SC,Zettl,No
112,"CHASEBURG, VILLAGE OF",5306‐01,"Construct Well, Well House, Treatment, Connecting Mains","$700,000.00",WC,Cameron,No
112,SEXTONVILLE SD,4898‐02,"Construct Well, Transmission Main & Generator","$850,000.00",SC,Zettl,No
111,"BRISTOL, VILLAGE OF",4334‐04,Water Main Replacements,"$6,500,000.00",SE,Binder,No
110,"EAU CLAIRE, CITY OF",5449‐10,BIL SFY24 LSL Program,"$750,000.00",WC,Cameron,Yes
110,"OSHKOSH, CITY OF",4874‐15,BIL SFY24 LSL Program,"$9,200,000.00",NE,Hannes,Yes
110,"WATERTOWN, CITY OF",5439‐06,BIL SFY24 LSL Program,"$2,850,000.00",SC,Zettl,Yes
110,"ASHLAND, CITY OF",4759‐26,Replace WMs on Prentice Ave,"$760,000.00",NO,Andruczyk,No
110,"KEWAUNEE, CITY OF",5508‐03,Replace WMs along Dodge St.,"$1,758,500.00",NE,Hannes,No
109,"JEFFERSON, CITY OF",5463‐07,BIL SFY24 LSL Program,"$800,000.00",SC,Zettl,Yes
109,"SPENCER, VILLAGE OF",5436‐07,Construct New Well/Treatment/SCADA,"$4,000,000.00",WC,Andruczyk,No
109,"NELSON, VILLAGE OF",5524‐04,Construct New Well #2 and Pumphouse,"$1,112,000.00",WC,Cameron,No
108,"BLOOMER, CITY OF",4769‐04,Replace WMs on Priddy St.,"$730,000.00",WC,Cameron,No
108,"BLOOMER, CITY OF",4769‐02,Replace WMs/Valves/Hydrants/Services along 16th Avenue,"$1,109,000.00",WC,Cameron,No
107,"OMRO, CITY OF",5091‐12,Upgrade/Treat Well #2 for Mn,"$900,000.00",NE,Hannes,No
106,"MADISON, CITY OF (SDW)",4837‐13,Pressure Zone 6E‐6W: Pressure Control and Transfer Vault,"$1,000,000.00",SC,Zettl,Yes
106,"MADISON, CITY OF (SDW)",4837‐12,Pressure Zone 6W‐7: Pressure Control and Transfer Vault,"$1,000,000.00",SC,Zettl,Yes
106,"MADISON, CITY OF (SDW)",4837‐11,Well #12 and #26 Booster Pump Replacement,"$1,000,000.00",SC,Zettl,Yes
106,"MADISON, CITY OF (SDW)",4837‐10,Well 12 Booster Pumps/ Pressure Zone 7/8 Transfer Vault,"$1,000,000.00",SC,Zettl,Yes
106,"PEWAUKEE, CITY OF",5250‐07,"Abandon Well #5, Loop Watermain on Bluemound","$4,253,182.00",SE,Binder,Yes
106,"WEST BARABOO, VILLAGE OF",4933‐06,Construct new well #2 and well house,"$2,350,000.00",SC,Zettl,No
106,"DALLAS, VILLAGE OF",5504‐02,"Construct Well #3, Abandon Well #2","$1,800,000.00",NO,Andruczyk,No
105,"NEW LONDON, CITY OF",5564‐04,BIL SFY24 LSL Program,"$3,000,000.00",NE,Hannes,Yes
105,"MARKESAN, CITY OF",5122‐09,BIL SFY24 LSL Program,"$450,000.00",NE,Hannes,Yes
105,"MARKESAN, CITY OF",5122‐07,Replace WM on S Bridge St,"$450,000.00",NE,Hannes,No
104,RIB MOUNTAIN SD,5590‐04,"Construct Treatment Plant for Iron, Manganese and PFAs (EC)","$10,000,000.00",WC,Andruczyk,Yes
104,"CASSVILLE, VILLAGE OF",5469‐06,Replace WM on Amelia St/ STH 133,"$4,500,000.00",SC,Zettl,No
104,"GRANTON, VILLAGE OF",5051‐07,Replace Watermain on Main St,"$800,000.00",WC,Cameron,No
102,"WISCONSIN DELLS, CITY OF",4996‐03,Construct Elevated Water Reservoir,"$2,850,000.00",SC,Zettl,No
102,"TURTLE LAKE, VILLAGE OF",5164‐14,"Replace undersized WMs, loop dead ends","$3,447,000.00",NO,Andruczyk,No
102,"NECEDAH, VILLAGE OF",5201‐03,"Construct Well/House #5, Trtmt, Electrical, Piping, Backwash","$1,825,000.00",WC,Cameron,No
102,"FOUNTAIN CITY, CITY OF",5116‐01,"Construct Well #2, Wellhouse, Pump, SCADA, Transmission WM","$1,437,500.00",WC,Cameron,No
102,FREEDOM SD #1,5194‐02,Construct Well #3,"$3,000,000.00",NE,Hannes,No
101,"FOND DU LAC, CITY OF",5142‐15,BIL SFY24 LSL Program,"$440,700.00",NE,Hannes,Yes
101,"FOND DU LAC, CITY OF",5142‐14,Replace Water Main on Franklin/Third/Warner/W Division...,"$440,700.00",NE,Hannes,Yes
101,"RIPON, CITY OF",5289‐17,Replace Watermains on Hamburg St,"$320,000.00",NE,Hannes,No
101,"RIPON, CITY OF",5289‐09,Replace WM on Pacific St,"$1,000,000.00",NE,Hannes,No
100,"STURGEON BAY, CITY OF",5557‐03,BIL SFY24 LSL Program,"$1,600,000.00",NE,Hannes,Yes
100,"VIROQUA, CITY OF",5168‐11,Construct Treatment Facility for Well #6,"$3,600,000.00",WC,Cameron,No
100,"MINERAL POINT, CITY OF",5446‐08,"Replace WMs High, Church, Chestnut,, Jail, Vine, Commerce and Nichol","$4,500,000.00",SC,Zettl,No
100,"MUSCODA, VILLAGE OF",5159‐07,Replace WMs on Iowa & Elm St Including Looping,"$2,167,000.00",SC,Zettl,No
100,"DICKEYVILLE, VILLAGE OF",4794‐08,Replace WMs on N. Center and S. Center Sts.,"$770,000.00",SC,Zettl,No
100,"CASSVILLE, VILLAGE OF",5469‐07,Replace WM Du Chien St,"$300,000.00",SC,Zettl,No
100,"CASSVILLE, VILLAGE OF",5469‐08,Replace WM Bluff St,"$550,000.00",SC,Zettl,No
100,"BLOOMINGTON, VILLAGE OF",5065‐05,Replace WM on Wall St.,"$1,730,000.00",SC,Zettl,No
100,"READSTOWN, VILLAGE OF",5523‐06,"Replace Watermains on Maiben, S Drake, E Center and USH 14","$1,000,000.00",WC,Cameron,No
100,STITZER SD,5497‐03,"Replace WMs on CTH E, Creamery St, & Commercial St","$572,000.00",SC,Zettl,No
99,"SOUTH WAYNE, VILLAGE OF",5435‐07,Replace WMs along Center St. and Verley St.,"$1,760,000.00",SC,Zettl,No
98,RIB MOUNTAIN SD,5590‐05,"Install Permanent Treatment for PFAS, Iron and Manganese (EC)","$10,000,000.00",WC,Andruczyk,Yes
98,"NEW AUBURN, VILLAGE OF",5202‐10,Replace Watermain on Elm St,"$900,000.00",WC,Cameron,No
97,"RIPON, CITY OF",5289‐07,Replace WM on Houston Street,"$300,000.00",NE,Hannes,No
97,"PORT EDWARDS, VILLAGE OF",5588‐03,"Construct New Well, Well House, Transmission Main, SCADA","$735,625.00",WC,Cameron,No
96,"BIRCHWOOD, VILLAGE OF",5478‐07,Well #1 Chemical Feed System,"$220,000.00",NO,Andruczyk,No
95,"KENOSHA, CITY OF",4825‐08,"BIL SFY24 LSL Program ‐ Census Tracts 9, 10, 11, 12, 16 and 18","$2,400,000.00",SE,Binder,Yes
95,"SOUTH MILWAUKEE, CITY OF",4907‐05,BIL SFY24 LSL Program,"$3,000,000.00",SE,Binder,Yes
95,"RHINELANDER, CITY OF",5288‐13,Replace WMs along Lincoln & Shepard St,"$2,725,000.00",NO,Andruczyk,No
95,"ST. CROIX FALLS, CITY OF",5430‐12,Replace Booster Station,"$2,375,000.00",NO,Cameron,No
94,"PORT EDWARDS, VILLAGE OF",5588‐02,Replace WMs & Services Along Market Ave,"$1,392,875.00",WC,Cameron,No
94,"BIRCHWOOD, VILLAGE OF",5478‐03,Construct STH 48 Loop from Maple Wellhouse to Orchard Ave,"$1,000,000.00",NO,Andruczyk,No
93,"PRAIRIE DU CHIEN, CITY OF",5163‐11,BIL SFY24 LSL Program,"$648,460.00",WC,Zettl,Yes
93,"PRAIRIE DU CHIEN, CITY OF",5163‐12,Replace Watermains on S Michigan St,"$648,460.00",WC,Zettl,No
92,"KAUKAUNA, CITY OF",5120‐12,"Replace WMs on Kenneth, Kaukauna, Brothers, Division...","$3,176,855.00",NE,Hannes,Yes
92,"KAUKAUNA, CITY OF",5120‐15,BIL SFY24 LSL Program ‐ Municipal,"$3,176,855.00",NE,Hannes,Yes
92,"BRILLION, CITY OF",5239‐06,BIL SFY24 LSL Program,"$1,097,000.00",NE,Hannes,Yes
92,"LAKE HALLIE, VILLAGE OF",5267‐13,"Construct Well #6, with Facilities for Wells #1 and #3","$2,800,000.00",WC,Cameron,No
92,"LAKE HALLIE, VILLAGE OF",5267‐12,Construct Well #6,"$2,200,000.00",WC,Cameron,No
92,"BRILLION, CITY OF",5239‐05,Replace WMs on Pine and Oak Streets,"$1,097,000.00",NE,Hannes,No
92,"PARK FALLS, CITY OF",5249‐11,Replace Watermains on 1st Ave N and 2nd Ave N,"$1,700,000.00",NO,Andruczyk,No
92,"PATCH GROVE, VILLAGE OF",5534‐02,Replace WMs on College and Main Streets,"$660,000.00",SC,Zettl,No
91,"RHINELANDER, CITY OF",5288‐16,Replace WMs Along Balsam and Spruce St,"$3,128,000.00",NO,Andruczyk,No
91,"RHINELANDER, CITY OF",5288‐14,"Replace WMs:Hillside, Highview, Hillandale, Lynette, Annette","$6,561,000.00",NO,Andruczyk,No
91,"RHINELANDER, CITY OF",5288‐17,"Replace Watermains along Oneida, King, Conro, and Anderson","$3,290,000.00",NO,Andruczyk,No
91,"RHINELANDER, CITY OF",5288‐18,"Replace WM on Messner, Rose, Evergreen Streets, Lakeshore Dr","$1,866,500.00",NO,Andruczyk,No
91,"MONTREAL, CITY OF",5621‐03,Treat Well #5 for Mn & DBP,"$3,000,000.00",NO,Andruczyk,No
91,"MONTREAL, CITY OF",5621‐05,Upgrade Well 4,"$3,000,000.00",NO,Andruczyk,No
90,"MADISON, CITY OF (SDW)",4837‐07,Replace WMs at multiple locations,"$3,300,000.00",SC,Zettl,Yes
90,"EDGERTON, CITY OF",4800‐08,BIL SFY24 LSL Program,"$1,000,000.00",SC,Zettl,Yes
90,"ASHLAND, CITY OF",4759‐25,"Replace WMs on Stuntz, St Claire, Water, 7th Ave","$1,400,000.00",NO,Andruczyk,No
90,"ABBOTSFORD, CITY OF",4748‐09,New Well to address nitrate/capacity,"$1,144,093.00",WC,Cameron,No
90,"BRUCE, VILLAGE OF",5545‐04,Replace WM on River Ave,"$523,034.00",NO,Andruczyk,No
90,"VESPER, VILLAGE OF",5549‐07,Replace Raw Watermain from Wells to Treatment Plant,"$1,943,000.00",WC,Cameron,No
90,"VESPER, VILLAGE OF",5549‐08,Upgrade/Rehab Water Treatment Plant,"$1,943,000.00",WC,Cameron,No
90,"VESPER, VILLAGE OF",5549‐09,Construction Watermain Loop for Southwest,"$1,943,000.00",WC,Cameron,No
90,"ROCK SPRINGS, VILLAGE OF",5428‐01,"Construct Well #2 Incl. Well House, Treatment, Transmission","$1,500,000.00",SC,Zettl,No
90,THREE LAKES SD #1,5441‐04,"Replace WM:Stanzil,North,S MI,RR,Olkowski,Nielson,Park,East","$1,684,255.00",NO,Andruczyk,No
89,"PORT EDWARDS, VILLAGE OF",5588‐01,Replace WMs & Services Along 2nd St,"$3,893,175.00",WC,Cameron,No
89,"PORT EDWARDS, VILLAGE OF",5588‐04,Replace WMs and Services Along Wisconsin River Dr,"$749,650.00",WC,Cameron,No
89,"GILLETT, CITY OF",5195‐04,Replace WMs on Robin Hood Ln,"$660,000.00",NE,Hannes,No
88,PORT WING SD,5648‐02,Replace Pumps ‐ Well No. 1 & Well No. 2,"$125,000.00",NO,Andruczyk,No
86,"BEAVER DAM, CITY OF",4764‐08,"Watermain Replacement, South Spring St","$1,244,572.00",SC,Zettl,Yes
86,"ALTOONA, CITY OF",5209‐05,"Construct well #8, wellhouse, emergency power & connect main","$1,823,500.00",WC,Cameron,No
86,"ASHLAND, CITY OF",4759‐21,Replace Watermain on 13th Ave East,"$1,150,000.00",NO,Andruczyk,No
86,"RICHLAND CENTER, CITY OF",4893‐03,Replace WMs; Construct Loop with River & USH Crossings,"$2,600,000.00",SC,Zettl,No
86,"VIROQUA, CITY OF",5168‐12,"Replace Watermains on Center St, Court St, Jefferson St and Terhune St","$2,068,650.00",WC,Cameron,No
86,"NEKOOSA, CITY OF",4858‐14,Replace WM ‐ Glendale Ln from S Section St to Point Basse Av,"$750,000.00",WC,Cameron,No
86,"NEKOOSA, CITY OF",4858‐12,Replace WM on Elmwood Ln from S Section St to Point Basse Av,"$600,000.00",WC,Cameron,No
86,"NEKOOSA, CITY OF",4858‐15,Replace WM on Elmwood Ln from Fairview to Glendale Ln,"$2,000,000.00",WC,Cameron,No
86,"BARNEVELD, VILLAGE OF",4763‐02,"Construct Well 3, Wellhouse, SCADA","$3,400,000.00",SC,Zettl,No
86,"ARENA, VILLAGE OF",4757‐02,"Construct Well/House #2, Distr,Sewer,Bkup Power, Land,SCADA","$1,985,519.00",SC,Zettl,No
86,"ARENA, VILLAGE OF",4757‐04,Rehab/Upgrade Well #1,"$1,985,519.00",SC,Zettl,No
86,"MONTFORT, VILLAGE OF",4961‐04,"Replace WMs, Park Street","$593,155.00",SC,Zettl,No
86,"ELEVA, VILLAGE OF",5391‐03,Construct Treatment Plant for Well #1 and Well #2,"$3,639,000.00",WC,Cameron,No
86,"COLOMA, VILLAGE OF",4787‐03,"Replace WMs along Linden St, Scott St & 3rd St","$1,051,000.00",NE,Hannes,No
85,"MARSHFIELD, CITY OF",5364‐10,BIL SFY24 LSL Program,"$600,000.00",WC,Cameron,Yes
84,"WAUWATOSA, CITY OF",5654‐01,BIL SFY24 LSL Program,"$109,863,000.00",SE,Binder,Yes
84,"KAUKAUNA, CITY OF",5120‐10,BIL SFY24 LSL Program ‐ Census Tract 122,"$350,000.00",NE,Hannes,Yes
84,"SPOONER, CITY OF",4911‐09,BIL SFY24 LSL Program,"$2,177,000.00",NO,Andruczyk,Yes
84,"SPOONER, CITY OF",4911‐08,Replace Watermains on Ash St,"$2,177,000.00",NO,Andruczyk,No
83,"LA CROSSE, CITY OF",5406‐09,Replace Watermain on South Ave,"$1,489,200.00",WC,Cameron,Yes
83,"BLACK RIVER FALLS, CITY OF",5244‐05,BIL SFY24 LSL Program,"$987,700.00",WC,Cameron,Yes
83,"RHINELANDER, CITY OF",5288‐09,Replace WMs on Phillip St & Davenport St,"$2,550,000.00",NO,Andruczyk,No
83,"BLACK RIVER FALLS, CITY OF",5244‐06,"Replace WMs on Pierce, Buchanan, 6th, 7th Streets","$987,700.00",WC,Cameron,No
83,"ST. CROIX FALLS, CITY OF",5430‐13,Construct Elevated Storage Tank,"$1,640,000.00",NO,Cameron,No
82,"HUDSON, CITY OF",5563‐05,BIL SFY24 LSL Program,"$500,000.00",WC,Cameron,Yes
82,"HUDSON, CITY OF",5563‐04,"Replace WMs on 3rd, 5th, River, Vine","$500,000.00",WC,Cameron,Yes
82,"ASHLAND, CITY OF",4759‐27,Install Raw Water Intake,"$10,707,922.00",NO,Andruczyk,No
82,"ELLSWORTH, VILLAGE OF",5283‐11,"Replace WM on Grant St, Piety St, Woodworth St, Strickland Ave","$2,801,605.00",WC,Andruczyk,No
82,"LADYSMITH, CITY OF",5369‐18,Construct STH27 WM Loop w/ River Crossing,"$553,209.00",NO,Andruczyk,No
82,"OSCEOLA, VILLAGE OF",5203‐07,"Construct WTP at Well #4 for Iron/Mang, Pump & Piping Mods","$2,340,000.00",NO,Andruczyk,No
82,"OSCEOLA, VILLAGE OF",5203‐08,"Construct Joint WTP for Wells 3&4, Raw WM, Pump & Pipe Mods","$4,700,000.00",NO,Andruczyk,No
82,"OSCEOLA, VILLAGE OF",5203‐05,"Construct WTP at Well #3 for Iron/Mang, Pump & Piping Mods","$2,340,000.00",NO,Andruczyk,No
82,"NEKOOSA, CITY OF",4858‐13,Replace WM ‐ Fairview Ln from S Section St to Point Basse Av,"$650,000.00",WC,Cameron,No
82,"EAGLE RIVER, CITY OF",5383‐12,Replace WMs on Spruce St,"$178,890.00",NO,Andruczyk,No
82,"MATTOON, VILLAGE OF",4842‐04,Backup Generator for Well #4,"$1,407,807.00",NE,Hannes,No
82,"MATTOON, VILLAGE OF",4842‐03,Backup Generator for Well #3,"$1,407,807.00",NE,Hannes,No
82,"MATTOON, VILLAGE OF",4842‐06,Construct Looping Main,"$1,407,807.00",NE,Hannes,No
82,"DALLAS, VILLAGE OF",5504‐03,Treat Well #2 for Mn,"$2,000,000.00",NO,Andruczyk,No
82,"UNION CENTER, VILLAGE OF",5577‐01,Replace WMs; Loop Dead Ends on South End,"$450,000.00",WC,Cameron,No
81,"WASHBURN, CITY OF",4947‐03,BIL SFY24 LSL Program,"$2,500,000.00",NO,Andruczyk,Yes
81,"ALTOONA, CITY OF",5209‐06,"Construct well #9, wellhouse, power & connect main","$1,822,205.00",WC,Cameron,No
81,"RIPON, CITY OF",5289‐15,Replace WM on Wenceslaus Street,"$120,000.00",NE,Hannes,No
81,"NEW LONDON, CITY OF",5564‐05,Replace Watermains on W Quincy St,"$450,000.00",NE,Hannes,No
81,"WASHBURN, CITY OF",4947‐02,Replace Watermains on STH 13 and others,"$2,500,000.00",NO,Andruczyk,No
81,"HURLEY, CITY OF",5340‐06,Replace WMs along Second Ave,"$1,403,903.00",NO,Andruczyk,No
80,"BELOIT, CITY OF",5471‐05,BIL SFY24 LSL Program,"$1,800,000.00",SC,Zettl,Yes
80,"WHITEWATER, CITY OF",5650‐01,BIL SFY24 LSL Program,"$2,700,000.00",SE,Binder,Yes
80,"MOUNT HOREB, VILLAGE OF",5161‐03,BIL SFY24 LSL Program,"$650,000.00",SC,Zettl,Yes
80,"VIROQUA, CITY OF",5168‐13,BIL SFY24 LSL Program,"$320,000.00",WC,Cameron,Yes
80,"SPRING VALLEY, VILLAGE OF",5555‐06,BIL SFY24 LSL Program,"$265,000.00",WC,Andruczyk,Yes
80,"BLUE MOUNDS, VILLAGE OF",4768‐04,Replace Booster Station,"$1,500,000.00",SC,Zettl,No
80,"CASSVILLE, VILLAGE OF",5469‐09,Replace WM Jo Davies St,"$300,000.00",SC,Zettl,No
78,"ALTOONA, CITY OF",5209‐07,Construct Well #10,"$200,000.00",WC,Cameron,No
78,"FLORENCE, TOWN OF",5456‐11,Elevated Storage Tank Repairs,"$615,000.00",NO,Andruczyk,No
78,"MANAWA, CITY OF",4838‐02,Replace WM on Factory St,"$475,000.00",NE,Hannes,No
77,BROCKWAY SD #1,5645‐01,Construct Well #3; Abandon Well #1,"$4,000,000.00",WC,Cameron,No
76,"CALEDONIA, VILLAGE OF",5390‐16,Looping Main on CTH H,"$2,747,900.00",SE,Binder,Yes
76,"MELLEN, CITY OF",5444‐03,BIL SFY24 LSL Program,"$500,000.00",NO,Andruczyk,Yes
76,"VIROQUA, CITY OF",5168‐14,Replace Watermains on Linton St,"$1,513,220.00",WC,Cameron,No
76,"BALDWIN, VILLAGE OF",5384‐07,"Replace Watermain on 9th Ave, Oak St and Maple St","$1,200,000.00",WC,Cameron,No
76,"DARLINGTON, CITY OF",5387‐06,Replace Watermain on River St,"$790,000.00",SC,Zettl,No
76,"WESTBY, CITY OF",5440‐08,Replace WMs on Sunset/Greenbriar/Meadowlark/Blackhawk/Ulland,"$1,870,000.00",WC,Cameron,No
