Priority Score,Municipality,Project Number,Project Description,Region,Project Manager,CME,Population,MHI,% of Market Rate,Requested Project Costs,Estimated Loan Amount,Total PF Points,Eligible PF %,PF Estimate
48,"PRAIRIE DU CHIEN, CITY OF",5163‐09,Replace WM along Villa Louis Road,WC,Atkinson,Cameron,"5,840","$      4 6,307",33%,"$           4 67,107","$467,107.00",60,30%,
42,"RIDGEWAY, VILLAGE OF",5206‐05,"Replace WMs on Weaver, Kirby, Keane, Hughitt & E. Main Alley",SC,Hubeler,Robertson,647,"$      5 8,889",55%,"$           8 09,428","$809,428.00",55,30%,
39,"ST. CROIX FALLS, CITY OF",5430‐10,Install WM and Appurtenances,NO,Calhoon,Andruczyk,"2,113","$      4 9,083",55%,"$           4 89,140","$489,140.00",60,30%,
38,"BANGOR, VILLAGE OF",5145‐04,Replace WMs on Commercial St from 10th - 17th Ave,WC,Leja-Brennan,Cameron,"1,535","$      6 2,054",55%,"$        2 ,299,509","$2,299,509.00",40,0%,
38,"OAKFIELD, VILLAGE OF",5050‐04,"Replace WMs on Main, Church, & Filby St",NE,Calhoon,Hannes,"1,104","$      6 1,528",55%,"$           4 42,724","$442,724.00",45,0%,
38,"WHITEHALL, CITY OF",4937‐06,Replace WM along Hobson St.,WC,Cassidy,Cameron,"1,556","$      4 8,011",55%,"$        1 ,145,775","$1,145,775.00",65,30%,
37,"MILWAUKEE, CITY OF 1",4851‐39,Replace WMs 2021,SE,Atkinson,Fuja,"587,072","$      4 0,036",55%,"$      2 7,898,790","$27,898,790.00",70,30%,
37,"RIPON, CITY OF",5289‐08,Replace WM on Vermont St and Parkway Ter,NE,Leja-Brennan,Hannes,"7,839","$47,525.00",55%,"$        1 ,055,459","$1,055,459.00",60,30%,
37,"WATERLOO, CITY OF",4962‐06,"Upgrade electrical, pumping, controls, chem feed @ well 2",SC,Cargill,Robertson,"3,341","$      7 5,261",55%,"$           7 89,300","$789,300.00",15,0%,
33,KIELER SD #1,5067‐03,Replace WMs along CTH HHH,SC,Calhoon,Robertson,553,"$      8 4,907",55%,"$           4 16,525","$416,525.00",35,0%,
29,"CAMPBELLSPORT, VILLAGE OF",5467‐02,Replace WM on STH 67,NE,Leizinger,Hannes,"1,825","$      5 3,616",55%,"$        1 ,340,691","$1,340,691.00",55,30%,
29,"TWO RIVERS, CITY OF",4920‐34,Reconnect WM on Michicot Rd Between 39th-40th St,NE,Balgooyen,Hannes,"11,364","$43,833.00",55%,"$           1 94,300","$194,300.00",60,30%,
28,"MENASHA, CITY OF 1",4845‐18,2022 WM Replacements,NE,Sweeney,Hannes,"17,468","$      5 2,508",55%,"$        1 ,245,300","$1,245,300.00",30,0%,
25,"WATERLOO, CITY OF",4962‐07,Replace WMs along Jefferson St.,SC,Cargill,Robertson,"3,341","$      7 5,261",55%,"$           4 66,500","$466,500.00",15,0%,
24,"CROSS PLAINS, VILLAGE OF",5537‐03,"Construct New Well #3, Pump House, Possible Treatment",SC,Hubeler,Robertson,"4,010","$      8 1,620",55%,"$        1 ,864,213","$1,864,213.00",15,0%,
24,"CROSS PLAINS, VILLAGE OF",5537‐05,Well 2 rehab/upgrade,SC,Hubeler,Robertson,"4,010","$      8 1,620",55%,"$        1 ,593,550","$1,593,550.00",15,0%,
