PPL No,Total Points,PWS ID.,Entity,Project Cost,Est. Binding Commitment,Population,Small System (Y/N),MHI,"Dis-
advantaged (Y/N)",Project Description,Commission Approval Date,Estimated or Scheduled Loan Closing Date
32,40,465,CAW Perla (L),"$1,050,000",TBA,"156,000",NO,"51,687",YES,Perla Regionalization project,06/22/2023,TBA
39,37,332,Winslow (PF),"$1,536,951",TBA,671,YES,"36,145",YES,"Emergency Power Generators
and Related Facilities",06/22/2023,TBA
39,37,332,Winslow (L),"$512,317",TBA,671,YES,"36,145",YES,"Emergency Power Generators
and Related Facilities",06/22/2023,TBA
895,3,337,Keo (PF),"$1,185,167",TBA,145,YES,"30,258",YES,Water system improvements,06/22/2023,TBA
895,3,337,Keo (L),"$395,056",TBA,145,YES,"30,258",YES,Water system improvements,06/22/2023,TBA
43,35,244,Nashville (L),"$12,079,207",TBA,"1,971",YES,"29,650",YES,Water System Expansion,06/22/2023,TBA
623,3,525,Evening Shade (PF),"$486,335",TBA,320,YES,"32,231",YES,Water system improvements,06/22/2023,TBA
623,3,525,Evening Shade (L),"$162,112",TBA,320,YES,"32,231",YES,Water system improvements,06/22/2023,TBA
221,3,27,Lake View (PF),"$331,536",TBA,262,YES,"29,200",YES,Water system improvements,06/22/2023,TBA
221,3,27,Lake View (L),"$110,512",TBA,262,YES,"29,200",YES,Water system improvements,06/22/2023,TBA
667,3,582,Judsonia (PF),"$335,742",TBA,"1,237",YES,"33,154",YES,"Water Pump Station
Replacement",06/22/2023,TBA
667,3,582,Judsonia (L),"$1,007,225",TBA,"1,237",YES,"33,154",YES,"Water Pump Station
Replacement",06/22/2023,TBA
49,34,88,Amity (PF),"$469,354",TBA,347,YES,"30,861",YES,Water system improvements,06/22/2023,TBA
49,34,88,Amity (L),"$156,451",TBA,347,YES,"30,861",YES,Water system improvements,06/22/2023,TBA
690,3,617,Horsehead WUA (PF),"$1,253,575",TBA,"2,273",YES,"51,561",YES,Water system improvements,06/22/2023,TBA
690,3,617,Horsehead WUA (L),"$1,253,575",TBA,"2,273",YES,"51,561",YES,Water system improvements,06/22/2023,TBA
665,3,579,"Tumbling Shoals WA
(PF)","$637,500",TBA,"2,648",YES,"31,188",YES,Water system improvements,06/22/2023,TBA
665,3,579,Tumbling Shoals WA (L),"$212,500",TBA,"2,648",YES,"31,188",YES,Water system improvements,06/22/2023,TBA
56,32,141,Mountainburg (PF),"$750,000",TBA,427,YES,"44,219",YES,Water system improvements,06/22/2023,TBA
56,32,141,Mountainburg (L),"$250,000",TBA,427,YES,"44,219",YES,Water system improvements,06/22/2023,TBA
60,31,318,Star City (L),"$986,582",TBA,"1,000",YES,"44,343",YES,Tank Rehab and Main Upgrade,06/22/2023,TBA
63,30,623,CAW Perla (CAW) (PF),"$318,750",TBA,"156,000",NO,"51,687",YES,Meter Replacement,06/22/2023,TBA
63,30,623,CAW Perla (CAW) (L),"$106,250",TBA,"156,000",NO,"51,687",YES,Meter Replacement,06/22/2023,TBA
64,30,316,Gould (PF),"$337,500",TBA,350,YES,"23,828",YES,Water Storage Tank,06/22/2023,TBA
64,30,316,Gould (L),"$112,500",TBA,350,YES,"23,828",YES,Water Storage Tank,06/22/2023,TBA
69,29,428,Weiner(L),"$1,405,753",TBA,364,YES,"40,299",YES,Water system improvements,06/22/2023,TBA
76,27,501,Marshall (PF),"$652,875",TBA,"1,304",YES,"29,386",YES,"Water Storage Tank
Replacement",06/22/2023,TBA
76,27,501,Marshall (L),"$217,625",TBA,"1,304",YES,"29,386",YES,"Water Storage Tank
Replacement",06/22/2023,TBA
478,3,337,Keo (PF),"$377,772",TBA,145,YES,"30,258",YES,Tank Rehab,06/22/2023,TBA
478,3,337,Keo (L),"$125,924",TBA,145,YES,"30,258",YES,Tank Rehab,06/22/2023,TBA
339,3,165,Carthage (PF),"$944,774",TBA,108,YES,"38,631",YES,"Water Distribution System
Replacement",06/22/2023,TBA
339,3,165,Carthage (L),"$314,925",TBA,108,YES,"38,631",YES,"Water Distribution System
Replacement",06/22/2023,TBA
80,27,422,Glenwood (PF),"$2,815,931",TBA,,YES,,YES,WTP improvements,06/22/2023,TBA
80,27,422,Glenwood (L),"$938,644",TBA,,YES,,YES,WTP improvements,06/22/2023,TBA
82,26,69,Cleveland County (L),"$3,048,700",TBA,660,YES,"40,291",YES,New Water Treatment and Tank,06/22/2023,TBA
84,26,192,Guy (L),"$579,570",TBA,950,YES,"59,077",NO,Master Meters,06/22/2023,TBA
88,24,814,Fulton County (PF),"$1,924,439",TBA,"1,060",YES,"35,621",YES,Phase X Extensions,06/22/2023,TBA
88,24,814,Fulton County (L),"$641,480",TBA,"1,060",YES,"35,621",YES,Phase X Extensions,06/22/2023,TBA
89,24,459,Cross County Rural (L),"$876,950",TBA,"3,800",YES,"45,001",YES,"Hydrochloric Acid Feed System
and Piping improvements",06/22/2023,TBA
90,24,741,Clark County WFB (PF),"$802,200",TBA,"1,073",YES,"40,291",YES,Water Pump Improvements,06/22/2023,TBA
92,24,741,Clark County WFB (L),"$802,200",TBA,"1,073",YES,"40,291",YES,Water Pump Improvements,06/22/2023,TBA
34,40,185,"Southwest White
County PWA (L)","$5,549,878",TBA,"4,428",YES,"64,480",NO,Water system improvements,06/22/2023,TBA
97,24,681,Morning Star PWA (PF),"$356,325",TBA,656,YES,"29,386",YES,Tank Refurbishment,06/22/2023,TBA
97,24,681,Morning Star PWA (L),"$118,775",TBA,656,YES,"29,386",YES,Tank Refurbishment,06/22/2023,TBA
921,3,695,"Wright Pastoria-Gand
Prairie (PF)","$1,025,000",TBA,442,YES,"45,721",YES,Regionalization Project,06/22/2023,TBA
921,3,695,"Wright Pastoria-Gand
Prairie (L)","$1,025,000",TBA,442,YES,"45,721",YES,Regionalization Project,06/22/2023,TBA
101,23,464,"Maumelle Water Corp
(L)","$2,798,737",TBA,"1,089",YES,"31,971",YES,Water system improvements,06/22/2023,TBA
787,3,782,"Tri-County Regional
Water District (L)","$3,631,835",TBA,"8,101",YES,"43,793",YES,Upgrade Improvements,06/22/2023,TBA
106,21,603,Danville (L),"$681,492",TBA,"1,164",YES,"46,911",YES,Water Line Replacement,06/22/2023,TBA
107,21,569,Fayetteville (L),"$85,000,000",TBA,"100,000",NO,"44,380",YES,Water Improvements,06/22/2023,TBA
113,21,552,"Junction City Drinking
(PF)","$1,913,833",TBA,280,YES,"30,775",YES,Water Line Improvements,06/22/2023,TBA
113,21,552,"Junction City Drinking
(L)","$637,944",TBA,280,YES,"30,775",YES,Water Line Improvements,06/22/2023,TBA
115,21,351,Flippin (PF),"$5,976,777",TBA,"1,824",YES,"25,949",YES,Water System Improvements,06/22/2023,TBA
115,21,351,Flippin (L),"$1,992,259",TBA,"1,824",YES,"25,949",YES,Water System Improvements,06/22/2023,TBA
116,21,106,Rison (PF),"$1,351,787",TBA,488,YES,"26,600",YES,Water System Improvements,06/22/2023,TBA
116,21,106,Rison (L),"$450,596",TBA,488,YES,"26,600",YES,Water System Improvements,06/22/2023,TBA
122,21,8,Calico Rock (L),"$1,193,252",TBA,861,YES,"43,259",YES,Water System Improvements,06/22/2023,TBA
743,3,697,NE Yell County WA (L),"$1,504,970",TBA,"2,718",YES,"44,755",YES,Rehab Water Pump Stations,06/22/2023,TBA
136,16,868,Sevier County (PF),"$434,153",TBA,"2,046",YES,"47,414",YES,Water System Improvements,06/22/2023,TBA
136,16,868,Sevier County (L),"$434,153",TBA,"2,046",YES,"47,414",YES,Water System Improvements,06/22/2023,TBA
911,3,449,DesArc (PF),"$1,105,650",TBA,"1,070",YES,"34,756",YES,Water Plant Repair & Rehab,06/22/2023,TBA
911,3,449,DesArc(L),"$368,550",TBA,"1,070",YES,"34,756",YES,Water Plant Repair & Rehab,06/22/2023,TBA
911,3,449,DesArc (PF),"$1,175,700",TBA,"1,070",YES,"34,756",YES,Water Plant Repair & Rehab,06/22/2023,TBA
911,3,449,DesArc(L),"$391,900",TBA,"1,070",YES,"34,756",YES,Water Plant Repair & Rehab,06/22/2023,TBA
143,14,144,Alma (L),"$5,391,540",TBA,"2,437",YES,"40,634",YES,"Water Main connection
(emergency)",06/22/2023,TBA
144,14,584,Bald Knob (PF),"$152,200",TBA,"1,312",YES,"30,837",YES,Water Meter Replacement,06/22/2023,TBA
144,14,584,Bald Knob(L),"$50,733",TBA,"1,312",YES,"30,837",YES,Water Meter Replacement,06/22/2023,TBA
147,13,919,"Calhoun County Water
Assoc (PF)","$494,321",TBA,733,YES,"46,960",YES,Water System Expansion,06/22/2023,TBA
147,13,919,"Calhoun County Water
Assoc (L)","$1,739,748",TBA,733,YES,"46,960",YES,Water System Expansion,06/22/2023,TBA
148,13,435,Truman (L),"$1,151,782",TBA,"2,852",YES,"40,682",YES,Clearwell Replacement,06/22/2023,TBA
150,13,378,Manila (L),"$958,200",TBA,"1,540",YES,"49,851",YES,Water Supply Well,06/22/2023,TBA
94,1011,170,McGhee (L),"$1,989,322",TBA,"2,024",YES,"26,722",YES,Meters,06/22/2023,TBA
95,1011,170,McGhee (L),"$652,012",TBA,"2,024",YES,"26,722",YES,Meters,06/22/2023,TBA
96,1011,170,McGhee (L),"$2,170,983",TBA,"2,024",YES,"26,722",YES,"Water Improvements and WTP
Building Repairs",06/22/2023,TBA
265,3,77,Green Forest (L),"$4,043,143",TBA,300,YES,"25,941",YES,"New Water Storage Tank, Meter
Replacements",06/22/2023,TBA
167,11,189,Conway Corp (L),"$2,485,700",TBA,"65,121",NO,"47,397",YES,"WTP Expansion ad EC
treatments",06/22/2023,TBA
529,3,404,Camden (L),"$2,869,137",TBA,"4,831",YES,"32,179",YES,Water Master Plan Phase II,06/22/2023,TBA
586,3,474,Pocahontas (L),"$12,891,313",TBA,"3,281",YES,"36,607",YES,"WTP Expansion ad EC
treatments",06/22/2023,TBA
593,3,486,Bryant-Meter (L),"$3,548,810",TBA,"8,367",YES,"67,951",NO,Meter Replacement,06/22/2023,TBA
129,19,119,Conway Corp (PF),"$7,457,100",TBA,"65,121",NO,"47,397",YES,EC project,06/22/2023,TBA
333,3,158,Cherry Valley (PF),"$2,486,528",TBA,315,YES,"46,048",YES,"Water Treatment to remove
Magnesia EC",06/22/2023,TBA
333,3,158,Cherry Valley (L),"$828,843",,315,YES,"46,048",YES,"Water Treatment to remove
magnesia EC",06/22/2023,TBA
