Rank,Project Sponsor,Project Number,Project Name,Population,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,BIL Eligibility
26,North Shore Water Association,1904004-004,Water System Refurb,105,300,0,0,0,0,0,0,0.00105,300.00105,
27,Wildwood City,0514001-004,Wildwood Boardwalk water main replacement,45500,175,80,15,0,0,0,0,0.454997,295.45499,BIL (GEN)
28,Wildwood City,0514001-007,Wildwood Lead Service Replacement Program,70719,175,80,15,0,0,0,0,0.16499,295.16499,
29,Red Bank Borough,1340001-004,Red Bank Lead Service Line Replacement,13600,175,80,15,0,0,0,0,0.1252,295.12521,
30,Trenton City,1111001-005,5-year Lead Service Line Replacement & Verification Project,225000,250,0,15,0,5,0,15,2.17,287.17,BIL (LSLR)
31,Manchester Utilities Authority,1603001-001,Heights Tank Rehabilitation,12028,250,0,15,0,0,0,0,0.12,280.12,
33,Hopatcong Borough,1912001-002,Hopatcong Borough PFAS Removal Improvement Project,7000,250,0,15,0,0,0,0,0.07224,280.07224,BIL (EC)
34,Passaic Valley Water Commission,1605002-026,PVWC Lead Service Line Replacement,147000,175,80,20,0,0,0,0,3.10483,278.10483,BIL (LSLR)
35,Bloomfield Township,0702001-004,Interconnection Project,47315,250,0,0,5,0,0,15,0.47315,270.47315,
35,Bloomfield Township,0702001-005,Lead Service Replacement Phases,49973,250,0,0,5,0,0,15,0.47315,270.47315,
38,North Jersey District Water Supply Commission,1613001-013,Construction of a new 50 MGD Bellville Pump Station,872153,160,50,20,0,0,0,30,8.72153,268.72153,
39,Jersey City Municipal Utilities Authority,0906001-035,Lead Service Line Replacement,292449,175,0,20,5,5,0,0,2.62,267.62,
40,East Orange City,0705001-003,Lead Service Line Replacement Phase 2,-,175,80,0,5,0,0,0,0.75,265.75,
41,Merchantville Pennsauken Water Commission,0424001-006,Frosthoffer GAC plant,50000,200,0,15,0,0,0,0,0.47144,265.47144,
42,Winslow Township,0436007-006,"Add radium removal treatment at existing wells 1 and 8 to correct
Maximum Contaminant Level violations",39328,250,0,15,0,0,0,0,0.39328,265.39328,
43,Belleville Township,0701001-003,"Replacement of 7,000 lead service lines",35928,250,0,0,0,0,0,15,0.35928,265.35928,
43,Belleville Township,0701001-004,Installation of lead corrosion control measures at four interconnections,35928,250,0,0,0,0,0,15,0.35928,265.35928,
44,Upper Deerfield Township,0613004-001,Radium Treatment Removal for Love Lane WTP (wells # 3 & 4),4500,250,0,0,0,0,0,15,0.045,265.045,BIL (GEN)
45,National Park Borough,0812001-005,Addition of PFOS Treatment at Exisiting Water Plant,2983,250,0,0,0,0,0,15,0.03144,265.03144,BIL (EC)
47,ADTI Housing Corporation,2103002-001,Chlorination system,83,250,0,0,0,0,0,15,0.00083,265.00083,
48,Sayreville Borough,1219001-009,Lead Service Line Investigation and Replacement,44243,250,0,0,0,5,0,0,0.43761,260.43761,
49,Orange City,0717001-017,PFAS Treatment at Chestnut Street Pumping Station,34447,160,80,0,5,5,0,0,0.30134,260.30133,BIL (EC)
50,Park Ridge Borough,0247001-001,Permanent PFAS Treatment,16500,250,0,0,5,0,0,0,0.16466,260.16466,BIL (EC)
51,Aqua New Jersey Incorporate,0415002-001,Aqua New Jersey Blackwood Lead Service Line Replacement,4545,175,80,0,0,0,0,0,0.44396,255.44395,
52,Newark City,0714001-001,Construction of an ozonation facility,285000,100,50,20,0,0,0,80,2.85,252.85,BIL (GEN)
52,Newark City,0714001-013,Removal and disposal of sludge from lagoon,285000,100,50,20,0,0,0,80,2.85,252.85,BIL (GEN)
53,Camden City,0408001-015,Morris-Delair WTP improvements - Phase II,77344,100,50,20,0,0,0,80,0.77344,250.77344,BIL (GEN)
53,Camden City,0408001-016,Parkside WTP various improvements,77344,100,50,20,0,0,0,80,0.77344,250.77344,BIL (GEN)
54,Ridgewood Village,0251001-001,Water Treatment Centralization for PFAS Removal,61220,250,0,0,0,0,0,0,0.617,250.617,BIL (EC)
54,Ridgewood Village,0251001-002,Water Treatment Centralization for PFAS Removal Phase 2,61200,250,0,0,0,0,0,0,0.617,250.617,BIL (EC)
54,Ridgewood Village,0251001-003,Water Treatment Centralization for PFAS Removal Phase 3,61200,250,0,0,0,0,0,0,0.617,250.617,BIL (EC)
54,Ridgewood Village,0251001-004,Water Treatment Centralization for PFAS Removal Phase 4,61220,250,0,0,0,0,0,0,0.617,250.617,BIL (EC)
54,Ridgewood Village,0251001-005,Water Treatment Centralization for PFAS Removal Phase 5,61220,250,0,0,0,0,0,0,0.617,250.617,BIL (EC)
54,Ridgewood Village,0251001-006,Water Treatment Centralization for PFAS Removal Phase 6,61220,250,0,0,0,0,0,0,0.617,250.617,BIL (EC)
55,Perth Amboy City,1216001-011,Upgrades to the Runyon Water Treatment Plant,55436,160,80,0,0,5,0,0,0.52328,250.52328,BIL (GEN)
56,Belleville Township,0701001-008,Belleville Lead Service Line Replacement,36069,250,0,0,0,0,0,0,0.35129,250.35129,
57,Edison Township,1205001-002,Township Wide Lead Service Replacement,107588,250,0,0,0,0,0,0,0.35,250.35,
58,Livingston Township,0710001-001,"Livingston PFAS Treatment - Phase A (Wells 1,2,4,8, 11)",29366,250,0,0,0,0,0,0,0.27391,250.27391,BIL (EC)
58,Livingston Township,0710001-002,"Livingston PFAS Treatment - Phase B (Wells 10, 12)",29366,250,0,0,0,0,0,0,0.27391,250.27391,BIL (EC)
58,Livingston Township,0710001-003,"Dorsa Wells - PFAS and 1,4-Dioxane Treatment",29366,250,0,0,0,0,0,0,0.27391,250.27391,BIL (EC)
59,Burlington Township,0306001-001,Beverly Road Water Treatment Plant Upgrades for PFA's Treatment,23983,250,0,0,0,0,0,0,0.22594,250.22594,
60,Moorestown Township,0322001-001,North Church Street Water Treatment Plant Upgrade,20726,250,0,0,0,0,0,0,0.20726,250.20726,BIL (EC)
61,Ramsey Borough,0248001-009,Arsenic treatment system at the Spring Street Treatment Facility,16350,250,0,0,0,0,0,0,0.1635,250.1635,
63,Sparta Township,1918004-003,"Installation of uranium treatment equipment at two of the existing
Autumn Hill well house (Well 1 and Well 2)",15726,250,0,0,0,0,0,0,0.15726,250.15726,BIL (EC)
64,Pequannock Township,1431001-001,PFOS & PFOA Treatment for Well #1 Dunn Place NJ1431001,14000,250,0,0,0,0,0,0,0.1401,250.1401,BIL (EC)
66,Oakland Borough,0242001-001,Soons Wellfield PFAS Treatment,12653,250,0,0,0,0,0,0,0.12754,250.12754,BIL (EC)
67,Waldwick Borough,0264001-003,Water Treatment Systems,9625,250,0,0,0,0,0,0,0.09653,250.09653,BIL (EC)
68,Ho-Ho-Kus Borough,0228001-002,Ho-Ho-Kus Water Treatment System,4078,250,0,0,0,0,0,0,0.0406,250.0406,BIL (EC)
69,Essex Fells Borough,0706001-002,Interim PFAS-Runnymede Site-Wells 5 &1,21937,250,0,0,0,0,0,0,0.022,250.022,BIL (EC)
69,Essex Fells Borough,0706001-003,Permanent PFAS Treatment (Main Facility),21937,250,0,0,0,0,0,0,0.022,250.022,BIL (EC)
69,Essex Fells Borough,0706001-004,Permanent PFAS Treatment (Additional Facilities),21937,250,0,0,0,0,0,0,0.022,250.022,BIL (EC)
70,Bethlehem Township BOE,1002311-001,Thomas B. Conley Elementary School Treatment System PFAS,3745,250,0,0,0,0,0,0,0.00339,250.00339,BIL (EC)
71,"Lake Stockholm Systems, Inc.",1911002-001,"Lake Stockholm Systems, Inc., PFOA/PFOS removal for NJDEP compliance",400,250,0,0,0,0,0,0,0.003,250.003,BIL (EC)
72,Eagleswood Village MHP,1508001-001,Eagleswood Village Water Improvement,80,250,0,0,0,0,0,0,0.0008,250.00079,BIL (EC)
73,Buttonwood Mobile Home Park,0301001-001,Buttonwood system,77,250,0,0,0,0,0,0,0.00055,250.00055,
75,Jersey City Municipal Utilities Authority,0906001-034,"Boonton Water Treatment Plant Electric Substation/ Distribution System
Improvements",262000,160,0,15,5,5,0,0,2.62,247.62,
76,Newark City,0714001-023,REHABILITATION OF PEQUANNOCK AQUEDUCTS,307220,75,80,15,5,5,0,0,2.94274,242.94273,
77,Newark City,0714001-017,Water Distribution System Upgrades,285000,75,80,20,5,0,0,0,2.94274,237.94273,BIL (GEN)
78,Brick Township Municipal Utilities Authority,1506001-011,Granular Activated Carbon (GAC) Treatment Addition,86898,200,0,20,0,0,0,15,0.86898,235.86898,BIL (EC)
79,East Orange City,0705001-014,Water System Improvement and Resiliency Project 2017,65078,100,50,0,5,0,0,80,0.75,235.75,BIL (GEN)
80,Newark City,0714001-008,"Cleaning and lining of water mains, upgrading 4 inch mains to 6 & 8 inch
mains, replace old fire hydrants",285000,75,80,15,5,0,0,0,2.94274,232.94273,BIL (GEN)
82,Newark City,0714001-002,Rehab of 42-inch Steel water main including cleaning & lining,285000,75,50,20,0,0,0,80,2.85,227.85,BIL (GEN)
82,Newark City,0714001-009,"Replacement of 12,000 Lead service lines",285000,75,50,20,0,0,0,80,2.85,227.85,BIL (LSLR)
83,Atlantic City Municipal Utilities Authority,0102001-007,Water Main Replacement Program,94225,75,80,20,0,0,0,0,0.942247,225.94225,BIL (GEN)
84,Camden City,0408001-004,"Replacement of water mains on South Merrimac Road and New
Hampshire Road",77344,75,50,20,0,0,0,80,0.77344,225.77344,BIL (GEN)
84,Camden City,0408001-013,Cleaning & Lining of distribution and transmission mains,77344,75,50,20,0,0,0,80,0.77344,225.77344,BIL (GEN)
84,Camden City,0408001-014,Replacement of Lead Service Lines,77344,75,50,20,0,0,0,80,0.77344,225.77344,BIL (LSLR)
84,Camden City,0408001-020,Cleaning and lining of a transmission mains,77344,75,50,20,0,0,0,80,0.77344,225.77344,BIL (GEN)
85,High Bridge Borough,1014001-004,High Bridge Water System: Bunnvale Well Upgrades,3648,175,50,0,0,0,0,0,0.033,225.033,
86,Branchville Borough,1903001-001,PFOS Treatment,75,200,0,15,0,0,0,0,0.015,225.015,BIL (EC)
87,Bridgeton City,0601001-005,"Replacement of 2,190 LF of 6 inch with 8 inch main",22770,75,50,15,0,0,0,80,0.2277,220.2277,BIL (GEN)
88,Dover Town,1409001-001,Lead Service Lines,16000,175,0,15,0,0,0,0,0.27806,215.27806,
89,Netcong Borough,1428001-010,Borough of Netcong - Lead (Galvanized) Service Line Replacements,4500,175,0,15,5,0,0,0,0.03342,215.03342,BIL (GEN)
90,Newark City,0714001-007,"Construction of a hydro-electric facility at the pre-treatment plant screen
building",285000,45,50,20,0,0,15,80,2.85,212.85,BIL (GEN)
91,Atlantic City Municipal Utilities Authority,0102001-006,1 MG Storage Tank Sand Blasting and painting,94225,60,50,20,0,0,0,80,0.94225,210.94225,BIL (GEN)
92,East Orange Water Commission,0705001-002,Cleaning & Lining of mains,80468,75,50,0,5,0,0,80,0.80468,210.80468,BIL (GEN)
92,East Orange Water Commission,0705001-006,Replacement of west well transmission main,80468,75,50,0,5,0,0,80,0.80468,210.80468,BIL (GEN)
92,East Orange Water Commission,0705001-007,"Replacement of fifteen water mains suspended on Garden State Parkway
bridges",80468,75,50,0,5,0,0,80,0.80468,210.80468,BIL (GEN)
92,East Orange Water Commission,0705001-010,"Installation of 2,150 LF of 8-inch & 1,400 LF of 4-inch for a redevelopment",80468,75,50,0,5,0,0,80,0.80468,210.80468,BIL (GEN)
93,Camden City,0408001-006,Rehabilitate the North Camden pump station,77344,60,50,20,0,0,0,80,0.77344,210.77344,BIL (GEN)
94,Atlantic City Municipal Utilities Authority,0102001-005,Installation of solar system at offices and at WTP,47011,45,50,20,0,0,15,80,0.47011,210.47011,BIL (GEN)
95,West Cape May Borough,0512001-001,Lead Line Remediation,1900,175,0,20,0,0,0,0,0.046,210.04601,
96,North Jersey District Water Supply Commission,1613001-027,Expansion of Aeriation System,872153,100,50,20,0,0,0,30,8.72153,208.72153,
96,North Jersey District Water Supply Commission,1613001-028,Filter Bldg Pipe Gallery Dehumid,872153,100,50,20,0,0,0,30,8.72153,208.72153,
96,North Jersey District Water Supply Commission,1613001-029,Basins 1-4 Flocculator Rehabilitation,872153,100,50,20,0,0,0,30,8.72153,208.72153,
96,North Jersey District Water Supply Commission,1613001-012,"Improvement of chemical feed equipment, pressure gauges, meters and
alarms for increased security measures",872153,100,50,20,0,0,0,30,8.72153,208.72153,
96,North Jersey District Water Supply Commission,1613001-014,"Construction of a 6 MG baffled clearwell and rehab of an existing
clearwell to include baffles",872153,100,50,20,0,0,0,30,8.72153,208.72153,
96,North Jersey District Water Supply Commission,1613001-016,Install 6 Layer Aerators including air piping and appurtenances.,872153,100,50,20,0,0,0,30,8.72153,208.72153,
96,North Jersey District Water Supply Commission,1613001-020,Rehabilitation of existing WTP,872153,100,50,20,0,0,0,30,8.72153,208.72153,
97,Aqua New Jersey Incorporate,2119001-008,"Replacement of 7,080 LF of undersized water mains in Philipsburg",33560,75,50,0,0,0,0,80,0.3356,205.3356,BIL (GEN)
98,Cape May City,0502001-002,Replacement of Existing Water Plant,18901,170,0,20,0,0,0,0,0.18901,205.18901,BIL (GEN)
99,Newton Town,1915001-001,2023 Drinking Water Improvements,8300,160,0,20,0,0,0,0,0.083,205.083,
100,Hightstown Borough,1104001-012,Lead Service Line Replacement,5494,175,0,15,0,0,0,0,0.054,205.054,
101,Buena Vista Township,0660004-001,Water Main extension due to private well contamination,184,125,0,0,0,0,0,80,0.00184,205.00184,BIL (EC)
102,Passaic Valley Water Commission,1605002-018,Upgrade residual treatment process to include belt thickners,347052,100,0,20,0,0,0,80,3.47052,203.47052,BIL (GEN)
103,Newark City,0714001-011,"Rehabilitation of the basculate gate at the Charlotteburgh Reservoir with
alarm and control systems",285000,45,80,15,5,0,0,0,2.94274,202.94273,BIL (GEN)
104,Merchantville Pennsauken Water Commission,0424001-008,Park Ave GAC Plant,50000,200,0,0,0,0,0,0,0.47144,200.47144,
104,Merchantville Pennsauken Water Commission,0424001-004,National Highway PFC plant,50000,200,0,0,0,0,0,0,0.47144,200.47144,BIL (EC)
105,Pompton Lakes Municipal Utilities Authority,1609001-007,Well #3 Treatment,11435,200,0,0,0,0,0,0,0.11435,200.11435,
105,Pompton Lakes Municipal Utilities Authority,1609001-008,Well #1 and #2 Treatment,11435,200,0,0,0,0,0,0,0.11435,200.11435,
106,Berkeley Township Municipal Utilities Authority,1505004-010,Berkeley Township MUA Phase VII Water Main Installation,10800,165,0,20,0,0,0,0,0.11235,200.11235,BIL (GEN)
107,East Greenwich Township,0803001-004,Installation of filtration system for PFC removal at #3 Well,9550,200,0,0,0,0,0,0,0.0955,200.0955,BIL (EC)
108,Boonton Town,1401001-004,Wellfield PFAS Treatment Improvements (Boonton Town),9900,200,0,0,0,0,0,0,0.09532,200.09532,BIL (EC)
109,Washington Township Municipal Utilities Authority,1438004-005,WTMUA Ð SM-10 and SM-17 PFAS Treatment Improvements,4900,200,0,0,0,0,0,0,0.04866,200.04866,BIL (EC)
110,Allentown Borough,1302001-005,Allentown Lead Service Lines,1734,175,0,15,0,0,0,0,0.02,200.02,BIL (LSLR)
111,Lakeshore Company,1413001-001,Lakeshore Water - New Well Treatment,250,200,0,0,0,0,0,0,0.0027,200.0027,
113,Jersey City Municipal Utilities Authority,0906001-017,Boonton Plant Centrifuge,264290,100,50,15,0,0,0,30,2.62004,197.62004,
114,East Orange Water Commission,0705001-009,Installation of solar power at water treatment plant,80468,45,50,0,5,0,15,80,0.80468,195.80468,BIL (GEN)
115,East Orange City,0705001-013,WORPS Emergency Backup Power Generator Planning and Design,65078,60,50,0,5,0,0,80,0.65078,195.65078,BIL (GEN)
115,East Orange City,0705001-012,WORPS SCADA Instrumentation/Controls Planning and Design,65078,60,50,0,5,0,0,80,0.65078,195.65078,BIL (GEN)
116,Vineland City,0614003-017,2016 Water Distribution Rehabilitation Project,36848,75,80,15,0,0,0,0,0.3625,195.3625,BIL (GEN)
117,Willingboro Municipal Utilities Authority,0338001-011,Well 6 Water Treatment Plant Upgrade,34731,160,0,20,0,0,0,0,0.35,195.35,
118,Rahway City,2013001-003,Rahway Lead Service Line Replacement Project,29556,175,0,0,5,5,0,0,0.273,195.273,
119,"NJ American Water Company, Inc.",2121001-001,Washington Twp. Main Extension,6492,165,0,15,0,0,0,0,0.10719,195.10719,
120,Hopatcong Borough,1912001-001,Hudson Avenue Water Main Installation,7224,165,0,15,0,0,0,0,0.07224,195.07224,
121,Salem City,1712001-003,Upgrades to WTP to address taste and odor problems,5857,100,0,15,0,0,0,80,0.05857,195.05857,BIL (GEN)
122,Egg Harbor City,0107001-002,Replacement of a water treatment plant,4700,100,0,15,0,0,0,80,0.047,195.047,BIL (GEN)
123,North Jersey District Water Supply Commission,1613001-031,Purchase and Install New Dewatering System,150,160,0,20,0,0,0,0,0.0015,195.0015,
124,North Jersey District Water Supply Commission,1613001-032,Rehabilitation of Treatment Facility,872153,160,0,20,0,0,0,0,0,195,
125,"NJ American Water Company, Inc.",2004002-012,"NJ American Water Lead Service Line Replacement Program PWSID
2004002",1,125,50,0,5,5,0,0,6.1543,191.1543,
126,Camden City,0408001-021,New Auto Meter Reading Equip for entire City,77344,25,50,20,0,0,15,80,0.77344,190.77344,BIL (GEN)
127,Seaside Heights Borough,1526001-002,Seaside Heights - Water System Improvements - Resiliency,7667,160,0,15,0,0,0,0,0.0766667,190.07667,
127,Seaside Heights Borough,1526001-001,Seaside Heights - Water Treatment Plant Improvements,7667,160,0,15,0,0,0,0,0.0766667,190.07667,BIL (GEN)
128,Mount Arlington Borough,1426005-003,"Altenbrand, Windemere, McGregor and Lee Water Main Extension",133,165,0,15,0,0,0,0,0.01978,190.01978,
129,Old Bridge Municipal Utilities Authority,1209002-014,Perrine Road Carbon Absorber Facility,65375,160,0,15,0,0,0,0,0.67215,185.67215,
130,Bloomfield Township,0702001-001,Cleaning and Lining of water mains,47000,175,0,0,5,0,0,0,0.47315,185.47314,
130,Bloomfield Township,0702001-006,Lead Service Line Replacement (2023-2025),-,175,0,0,5,0,0,0,0.47315,185.47314,
131,Montclair Township,0713001-013,"Montclair Township - Lead & Galvanized Service Line Replacements -
SFY23",2000,175,0,0,5,0,0,0,0.37669,185.37669,
132,Collingswood Borough,0412001-006,Collingswood Lead Line Removal,16000,175,0,0,5,0,0,0,0.245,185.245,
133,Passaic Valley Water Commission,0231001-002,Lead Service Line Replacement in Lodi System,24551,175,0,0,0,5,0,0,0.24136,185.24136,BIL (LSLR)
134,South Orange Village,0719001-013,Lead Line Identification and Replacement,22865,175,0,0,5,0,0,0,0.16964,185.16965,
135,North Jersey District Water Supply Commission,1613001-006,"Construct a 48 inch by-pass main and rehabilitate the single 70+ yr old 74
inch aqueduct",872153,75,50,20,0,0,0,30,8.72153,183.72153,
135,North Jersey District Water Supply Commission,1613001-009,Rehab of the Kearny/Bayonne Transmission main,872153,75,50,20,0,0,0,30,8.72153,183.72153,
136,"NJ American Water Company, Inc.",2004002-015,Netherwood PFAS Treatment,48000,160,0,0,5,5,0,0,3.18148,183.18147,BIL (EC)
137,Salem City,1712001-004,Salem City Water Meter,4931,35,80,15,0,5,15,0,0.06199,180.062,BIL (GEN)
138,Tuckerton Borough,1532002-004,Rehabilitation of three green sand filter tanks and one backwash tank,3365,100,35,15,0,0,0,30,0.03365,180.03365,BIL (GEN)
140,Passaic Valley Water Commission,1605002-015,Replace approximately 200 large antiquated valves,347052,75,0,20,0,0,0,80,3.47052,178.47052,BIL (GEN)
140,Passaic Valley Water Commission,1605002-017,"Installation of 7000 LF of 12-inch main to replace Granite Ave storage
tank",347052,75,0,20,0,0,0,80,3.47052,178.47052,BIL (GEN)
140,Passaic Valley Water Commission,1605002-019,"Installation of 2200 LF of 12-inch main to connect Eastside Pumping
station to Patersons downtown area",347052,75,0,20,0,0,0,80,3.47052,178.47052,BIL (GEN)
141,Newark City,0714001-010,"Replacement of 38,234 old water meters in the distribution system.",285000,25,50,20,0,0,0,80,2.85,177.85,BIL (GEN)
142,Newark City,0714001-018,Replacement of Water Distribution Mains,273000,75,0,20,0,0,0,80,2.73,177.73,BIL (GEN)
143,Middlesex Water Company,1225001-005,MWC Galvanized & Lead Service Line Replacement,-,175,0,0,0,0,0,0,2.33376,177.33376,
144,Ridgewood Village,0251001-007,Ridgewood Water Lead Service Line Replacements,61220,175,0,0,0,0,0,0,0.617,175.617,
145,Merchantville Pennsauken Water Commission,0424001-005,Lead line removal,49990,175,0,0,0,0,0,0,0.47144,175.47144,
146,Aqua New Jersey Incorporate,1103001-007,Aqua NJ Hamilton Lead Service Line Replacement,88464,175,0,0,0,0,0,0,0.39128,175.39128,
147,Orange City,0717001-014,"Orange Twp | Relocation of the existing transmission main under the
Glen Avenue Bridge for the stabilization of the pipe",30731,75,80,0,5,5,0,0,0.30134,175.30135,BIL (GEN)
148,Aqua New Jersey Incorporate,2119001-002,Lead Service Line Replacement Phillipsburg,14950,175,0,0,0,0,0,0,0.26686,175.26686,
149,Hackettstown Municipal Utilities Authority,2108001-002,Lead Service Line Replacement,185,125,50,0,0,0,0,0,0.22,175.22,
150,Hamilton Township Municipal Utilities Authority,0112001-005,WATER MAIN REPLACEMENT PHASE 2,22000,175,0,0,0,0,0,0,0.2172,175.21719,
151,Lyndhurst Township,0232001-004,Lead Water Service Replacement Program,22453,175,0,0,0,0,0,0,0.205,175.205,
152,Hawthorne Borough,1604001-003,Hawthorne Lead Water Service Line Replacement Phase 2,19360,175,0,0,0,0,0,0,0.19458,175.19458,
152,Hawthorne Borough,1604001-004,Hawthorne Lead Service Line Replacement Phase 3,19458,175,0,0,0,0,0,0,0.19458,175.19458,
153,Maple Shade Township,0319001-001,Maple Shade Township Lead Service Line Replacement,19980,175,0,0,0,0,0,0,0.194,175.194,
154,Passaic Valley Water Commission,0239001-002,Lead Service Line Replacement in North Arlington System,15741,175,0,0,0,0,0,0,0.15392,175.15392,
155,Ventnor City,0122001-002,Water Infrastructure Project,14076,175,0,0,0,0,0,0,0.14076,175.14076,BIL (GEN)
156,Clinton Town,1005001-014,Town of Clinton - Galvanized Service Line Replacement - SFY23,1000,175,0,0,0,0,0,0,0.125,175.125,
156,Clinton Town,1005001-015,Town of Clinton - Galvanized Service Line Replacement - SFY24,1000,175,0,0,0,0,0,0,0.125,175.125,
156,Clinton Town,1005001-016,Town of Clinton - Galvanized Service Line Replacement - SFY25,1000,175,0,0,0,0,0,0,0.125,175.125,
156,Clinton Town,1005001-017,Town of Clinton - Galvanized Service Line Replacement - SFY26,1000,175,0,0,0,0,0,0,0.125,175.125,
156,Clinton Town,1005001-018,Town of Clinton - Galvanized Service Line Replacement - SFY27,1000,175,0,0,0,0,0,0,0.125,175.125,
157,Brigantine City,0103001-002,Brigantine Lead Service Line Replacement Project,11117,175,0,0,0,0,0,0,0.111167,175.11117,
158,Margate City,0116001-003,Margate Lead Service Line Replacement Program,10000,175,0,0,0,0,0,0,0.1,175.1,
159,Chatham Borough,1404001-001,Lead Line Service Replacements,9212,175,0,0,0,0,0,0,0.08962,175.08962,
160,Aqua New Jersey Incorporate,1107002-001,Lead Service Line Replacements Lawrenceville,33472,175,0,0,0,0,0,0,0.08655,175.08655,
162,Glen Ridge Borough,0708001-009,GR-Lead Service Lines Replacement (Main to Dwelling) - Phase 1,7527,175,0,0,0,0,0,0,0.07681,175.07681,
163,Bayonne City,0901001-005,City of Bayonne Lead Service Line Replacement Project,71686,175,0,0,0,0,0,0,0.063,175.063,BIL (LSLR)
164,Hightstown Borough,1104001-013,Improvements to Maxwell Avenue,5855,175,0,0,0,0,0,0,0.054,175.054,
165,Longport Borough,0115001-001,Lead Service Line Replacement - Phase I,3851,175,0,0,0,0,0,0,0.0385133,175.03851,
166,"Fayson Lake Water Company, Incorporated",1415001-002,FLWC 2023 Water Main Replacement,3010,175,0,0,0,0,0,0,0.0301,175.0301,
167,Swedesboro Borough,0817001-001,Lead Service Water Line Abatement,2000,175,0,0,0,0,0,0,0.02824,175.02824,
168,Hampton Borough,1013001-002,Hampton Borough - Galvanized Service Line Replacement,1400,175,0,0,0,0,0,0,0.01401,175.01401,
169,Weymouth Township Municipal Utilities Authority,0123001-001,WTMUA Water Line Replacement,600,175,0,0,0,0,0,0,0.0072,175.0072,BIL (GEN)
170,"NJ American Water Company, Inc.",2004002-014,RMWTP LT2ESWWTR and Filter Rehabilitation,44464,100,50,20,0,0,0,0,3.15315,173.15315,
171,Jersey City Municipal Utilities Authority,0906001-019,Route 139 Water Main Replacement Project,262000,75,50,20,5,5,0,15,2.62,172.62,
172,Wildwood City,0514001-006,2019 Capital Improvements (Drinking Water),94333,75,0,15,0,0,0,80,0.943327,170.94333,BIL (GEN)
