,Entity,Project,PWSID,Population,County,Estimated.Loan.Amount,Loan.Type,Estimated.Award.Date,Rate
125,Columbus,Varsity Ave Area WL Imprs CIP #690236-100106,OH5200412,"852,144",Franklin,"$3,000,000",Construction,Sep-22,STD
126,Columbus,"Wellington Blvd Area WL Imprs, CIP 690236-100127",OH2504412,"1,233,879",Franklin,"$3,000,000",Construction,Mar-23,STD
127,Conneaut,Clark Street Water Tower Replacement,OH0400411,"12,613",Ashtabula,"$318,725",Design,Aug-22,STD
128,Conneaut,Clark Street Water Tower Replacement,OH0400411,"12,567",Ashtabula,"$3,985,000",Construction,May-23,STD
129,Conneaut,Park & Day Streets Waterline Replacement,OH0400411,"12,613",Ashtabula,"$300,000",Design,Aug-22,STD
130,Conneaut,Park & Day Streets Waterline Replacement,OH0400411,"12,567",Ashtabula,"$3,100,000",Construction,Apr-23,STD
131,Corning,TWP Road 291 WL Replacement,OH6400003,490,Perry,"$755,700",Construction,May-23,SML
132,Coshocton,Warsaw Waterline Replacement and Extension,OH1600012,783,Coshocton,"$960,300",Design,Mar-23,PLN/DES
133,Coshocton,Warsaw Waterline Replacement and Extension,OH1600012,783,Coshocton,"$13,531,700",Construction,Jun-23,DIS/REG
134,Creston,Factory Street Drainage and Waterline Improvements,OH8500312,"2,171",Wayne,"$821,314",Construction,Oct-22,SML
135,Danville,Danville WTP Upgrades,OH4200112,"1,124",Knox,"$85,000",Design,Sep-22,PLN/DES
136,Danville,Market Street Water Line Improvements Project,OH4200112,"1,014",Knox,"$70,000",Design,Oct-22,PLN/DES
137,Danville,Market Street Water Line Improvements Project,OH4200112,"1,124",Knox,"$840,000",Construction,Mar-23,SML
138,DeGraff,Water Treatment Plant Rehabilitation,OH4600512,"1,501",Logan,"$1,024,100",Construction,Sep-22,SML
139,"Del-Co Water Company, Inc.",Centerburg Lead Service Line Replacement,OH2101412,"1,773",Delaware,"$175,450",Construction,Oct-22,LSL
140,"Del-Co Water Company, Inc.",Hartford Fairgrounds Water Supply,OH2101412,"10,040",Delaware,"$2,200,000",Construction,Jun-23,REG
141,Delphos,South Main Street Water Service Replacement,OH0200412,"7,123",Allen,"$1,433,515",Construction,Jul-22,SML/LSL
142,Dunkirk,Lead Service Line and Water Line Replacement,OH3300212,875,Hardin,"$4,621,200",Construction,Jun-23,SML/LSL
143,Dunkirk,Lead Service Line and Water Line Replacement,OH3300212,875,Hardin,"$407,000",Design,Aug-22,PLN/DES
144,East Palestine,Waterline Replacement Project,OH1500912,"2,300",Columbiana,"$5,605,510",Construction,Apr-23,DIS/LSL
145,Edgerton,WTP Improvements,OH8600312,"2,162",Williams,"$700,000",Construction,Mar-23,SML
146,Elmore,Dischinger Road Waterline Extension,OH6200712,"1,370",Ottawa,"$569,039",Construction,May-23,REG
147,Elmore,Dischinger Road Waterline Extension,OH6200712,"1,419",Ottawa,"$94,413",Design,Jul-22,REG
148,Elmore,Lincoln Street Improvements,OH6200712,"1,370",Ottawa,"$531,314",Construction,Jun-23,SML
149,Elmore,Regional Water Supply Connection,OH6200712,"1,370",Ottawa,"$332,976",Construction,Oct-22,REG
150,Elyria,Chemical Feed Improvements 30 MGD,OH4700411,"68,000",Lorain,"$400,000",Construction,Sep-22,STD
151,Elyria,City of Elyria Lead Service Line Replacement Project #3,OH4700411,"68,000",Lorain,"$1,000,000",Construction,Jul-22,LSL
152,Fairport Harbor,Water System Regionalization,OH-4300411,"3,180",Lake,"$4,420,000",Construction,Feb-23,DIS/REG
153,Fayette,Water Distribution System Replacement,OH2600412,"1,250",Fulton,"$7,740,000",Construction,May-23,DIS
154,Fayette County,Lakewood Hills Area Water System Project,OH2438714,200,Fayette,"$1,319,886",Construction,Jul-22,DIS/REG
155,Fayette County,Rattlesnake Water Treatment Plant Replacement,OH2437412,"6,635",Fayette,"$4,400,000",Construction,Apr-23,SML
156,Fletcher,New Water Tower,OH5500412,358,Miami,"$875,000",Construction,Sep-22,SML
157,Fort Loramie,Park Street Water Main Replacement,OH7562499,"1,524",Shelby,"$941,520",Construction,Mar-23,SML
158,Frankfort,WTP / Well #3 Rehabilitation,OH7100712,"1,100",Ross,"$35,160",Design,Aug-22,PLN/DES
159,Frankfort,WTP / Well #3 Rehabilitation,OH7100712,"1,100",Ross,"$460,000",Construction,Sep-22,SML
160,Franklin,Millard Drive and Bryant Avenue Water Main Replacement,OH8300412,"11,785",Warren,"$1,500,000",Construction,Sep-22,STD
161,Franklin,Sixth Street Water Tower,OH8300412,"11,785",Warren,"$2,300,000",Construction,Jan-23,STD
162,Franklin,South Main Street Water Main Replacement,OH8300412,"11,785",Warren,"$750,000",Construction,Oct-22,STD
163,Fredericksburg,Water Treatment Plant & Wells,OH8500812,"2,493",Wayne,"$3,070,000",Construction,Jun-23,SML
164,Freeport,Water System Improvements,OH3400412,364,Harrison,"$441,750",Construction,Feb-23,SML
165,Germantown,Fire Hydrant and Valve Replacement,OH5701012,"5,796",Montgomery,"$489,488",Construction,Dec-22,SML
166,Germantown,High Service Area Water Tower Rehab,OH5701012,"5,796",Montgomery,"$580,850",Construction,Mar-23,SML
167,Germantown,Maple Park Watermain Phase 2,OH701012,"5,796",Montgomery,"$340,000",Construction,Dec-22,SML
168,Germantown,Wellfield Generator,OH5701012,"5,796",Montgomery,"$83,485",Construction,Jan-23,SML
169,Glendale,Water Treatment System Upgrades,OH3100712,"2,500",Hamilton,"$2,003,883",Construction,Jun-23,SML/LSL
170,Glenmont,Water Line and Household Lead Line Replacement,OH3800312,282,Holmes,"$1,766,850",Construction,Jan-23,SML/LSL
171,Glenmont,Water Line and Household Lead Line Replacement,OH3800312,282,Holmes,"$365,700",Design,Jul-22,PLN/DES
172,Gnadenhutten,Water Treatment Plant,OH7900512,"1,300",Tuscarawas,"$1,777,738",Construction,Aug-22,SML
173,Grafton,Washington Drive Waterline Replacement,OH4700511,"2,769",Lorain,"$165,755",Construction,Apr-23,SML
174,Granville,Weaver Drive Water Line Extension,OH4500612,300,Licking,"$255,000",Construction,Jan-23,SML
175,Granville,WTP Filter Rehabilitation,OH4500612,"5,771",Licking,"$130,000",Construction,Oct-22,SML
176,Granville,WTP Lime Sludge Holding Improvements,OH4500612,"5,500",Licking,"$750,000",Construction,Mar-23,SML
177,Granville,WTP Sanitary Improvements,OH4500612,"5,500",Licking,"$400,000",Construction,Mar-23,SML
178,Greene County,Hilltop Wellfield Development,OH2903512,"36,855",Greene,"$4,050,000",Construction,Jun-23,STD
179,Greene County,Watermain Improvements Bundle 4 - Oleva Drive Watermain,OH2903512,"50,000",Greene,"$256,952",Construction,Oct-22,STD
180,Greene County,"Watermain Improvements Bundle 6 - Wagner, Kemp, PRV",OH2903512,"50,000",Greene,"$1,000,065",Construction,Jun-23,STD
181,Greene County,Watermain Imps Bun. 1 - Grange Hall Booster Station Wtr Mns,OH2903512,"50,000",Greene,"$1,583,435",Construction,Jul-22,STD
182,Greene County,"Watermain Imps Bun. 2 - Darst, Sunbeam, and Beaver Valley WM",OH2903512,"50,000",Greene,"$1,743,697",Construction,Sep-22,STD
183,Greene County,Watermain Imps Bun. 3 - Membrane Concentrate Discharge Wtrmn,OH2903512,"50,000",Greene,"$2,805,660",Construction,Aug-22,STD
184,Greene County,"Watermain Imps Bun. 5 - Wagner, Feedwire, and Clyo Wtrmns",OH2903512,"50,000",Greene,"$2,400,398",Construction,Oct-22,STD
185,Greene County,"Wellfield Imps Bun 4 - Rehab of PW-8, PW-9, PW-10, and PW-11",OH2903512,"36,855",Greene,"$1,019,071",Construction,Jul-22,STD
186,Greene County,"Wellfield Imps Bun. 3 - Rehab of PW-1,PW-4R,PW-5R PW-6,PW-7R",OH2903512,"36,855",Greene,"$1,379,002",Construction,Jul-22,STD
187,Greenfield,Phase 1 Water System Improvements,OH3655021,"4,683",Highland,"$2,500,000",Construction,Dec-22,SML
188,Greenville,New Water Tower - East,OH1900714,"12,824",Darke,"$54,040",Design,Sep-22,STD
189,Greenville,New Water Tower - East HAB,OH1900714,"13,227",Darke,"$7,243,505",Construction,Feb-23,HAB
190,Hamilton,South Water Treatment Aerator Roof Replacement,OH0904012,"63,000",Butler,"$200,000",Construction,Sep-22,STD
191,Hamilton,South Water Treatment Plant Boiler Replacement,OH0904012,"63,000",Butler,"$650,000",Construction,Mar-23,STD
192,Hamilton,South Water Well Rehabillitation 2022,OH0904012,"63,000",Butler,"$160,000",Construction,Sep-22,STD
193,Hamilton,Williams Avenue Water Main Replacement,OH0904012,"63,000",Butler,"$765,000",Construction,Oct-22,STD
194,Hamler,Water Tower and Distribution System Improvements,OH3500312,627,Henry,"$1,768,078",Construction,Dec-22,DIS
195,Hayesville,Water Treatment Plant and Meters,OH0300712,434,Ashland,"$1,441,000",Construction,Aug-22,SML
196,Hebron,2022 Water Line Replacements,OH4501012,"2,360",Licking,"$195,000",Design,Aug-22,PLN/DES
197,Hebron,2022 Water Line Replacements,OH4501012,"2,360",Licking,"$1,283,000",Construction,Mar-23,SML
198,Hebron,Canyon Rd. Water Line Extension,OH4501012,10,Licking,"$55,000",Design,Oct-22,REG
199,Hebron,Canyon Rd. Water Line Extension,OH4501012,10,Licking,"$500,000",Construction,Apr-23,REG
200,Hebron,New Well #7 / SWAP,OH4501012,"2,360",Licking,"$100,000",Design,Aug-22,PLN/DES
201,Hebron,New Well #7 / SWAP,OH4501012,"2,360",Licking,"$400,000",Construction,Jan-23,SML
202,Hebron,U.S. 40/S.R. 37 Waterline Extension,OH4501012,"2,389",Licking,"$3,460,000",Construction,Aug-22,DIS/REG
203,Hecla Water Association,Macedonia Hill Water Main Extension & Booster Station,OH4401612,"30,170",Lawrence,"$5,297,000",Construction,Oct-22,DIS/REG
204,Hicksville,"250,000 Elevated Water Tank",OH2000212,"3,110",Defiance,"$1,254,550",Construction,Sep-22,SML
205,Highland Ridge Water & Sewer Assoc.,St. Rt. 821 Waterline Relocation,OH8403203,"2,745",Washington,"$663,400",Construction,Aug-22,DIS
206,Hillsboro,2023 Water System Improvements,OH3600614,"6,481",Highland,"$5,000",Planning,Oct-22,PLN/DES
207,Hillsboro,2023 Water System Improvements,OH3600614,"6,481",Highland,"$87,270",Design,Dec-22,PLN/DES
208,Hillsboro,2023 Water System Improvements,OH3600614,"6,481",Highland,"$1,199,105",Construction,May-23,SML
209,Hiram,Water Tower Replacement,OH6701612,"1,294",Portage,"$600,000",Construction,Sep-22,SML
210,Hopedale,Water Storage Tank Replacement and Booster Pump Station,OH3400811,943,Harrison,"$2,388,690",Construction,Oct-22,SML
211,Hubbard,2022 Lead Service Line Replacement,OH7801415,"8,512",Trumbull,"$180,000",Construction,Dec-22,LSL
212,Hubbard,2023 Lead Service Line Replacement Project,OH7801415,"8,606",Trumbull,"$250,000",Construction,Apr-23,LSL
213,Hubbard,South Main Street Water Line Replacement (Lincoln to Helen),OH7801415,"8,606",Trumbull,"$60,000",Design,Dec-22,PLN/DES
214,Hubbard,South Main Street Waterline Replacement (Lincoln to Helen),OH7801415,"8,606",Trumbull,"$680,000",Construction,Jun-23,SML/LSL
215,Huber Heights,2022 Water Main Replacement Program,OH5703612,"43,500",Montgomery,"$1,500,000",Construction,Sep-22,STD
216,Ironton,10th Street Waterline Improvements,OH4400711,"10,599",Lawrence,"$290,550",Design,Sep-22,STD
217,Ironton,10th Street Waterline Improvements,OH4400711,"10,599",Lawrence,"$3,174,385",Construction,Sep-22,STD
218,Ironton,3rd Street Waterline Improvements,OH4400711,"11,129",Lawrence,"$1,694,489",Construction,Sep-22,STD
219,Ironton,Waterline Improvements & Regionalization Interconnect,OH4400711,"11,129",Lawrence,"$268,120",Design,Sep-22,REG
220,Ironton,Waterline Improvements & Regionalization Interconnect,OH4400711,"11,129",Lawrence,"$2,929,279",Construction,Sep-22,REG
221,Jackson,Florence Avenue Reconstruction - Water,OH4000111,"9,691",Jackson,"$600,000",Construction,Jun-23,SML
222,Jackson,Mill Street Waterline Replacement,OH4000111,"9,691",Jackson,"$120,000",Design,Sep-22,PLN/DES
223,Jackson,Mill Street Waterline Replacement,OH4000111,"9,691",Jackson,"$1,230,000",Construction,Jan-23,SML
