Community,Project Score,Population,Total Project Cost,Affordability Score,Potential Principal Forgiveness,Est. Notice to Proceed,Est. Construction Start,Est. Construction Completion,Est. Interst Rate,Est. Terms,Fundable,TOTAL DISBURS.,Project Description
City of Douglas,35,11556,"$2,000,000 ",29,"$700,000 ",7/15/2022,8/1/2022,12/30/2022,1.13%,20,Fundable,"$2,000,000 ","Project will include replacement of aged  galvanized, transite, and cast-iron water  mains, valve, and hydrants. Lead and/or  galvanized services in the water  replacement area will also be replaced.  GIS mapping is included to locate mains  and appurtenances. Additionally, the City  plans to rehab wells #5, #6, and #7 with  the funding."
Lincoln County,35,7929,"$4,500,000 ",28,,8/1/2023,9/1/2023,8/1/2024,1.13%,20,Applicant,,Lincoln County proposes to extend its  water system to residents in an area that  currently lacks a public water system.  The project will provide public potable  water to residents with dry or  contaminated wells.
City of Jasper,35,3923,"$4,250,000 ",27,,11/1/2022,11/1/2022,4/1/2025,1.13%,20,Applicant,,"This project will install advanced  metering infrastructure (AMI), including  replacement of existing meters,  communications stations, reading and  billing software and equipment, and  backflow preventers.  As needed, work  will include replacement of service  connection piping, meter boxes and lids,  meter setters, large meter vaults, and all  appurtenant work for a complete, well- functioning system."
City of Waco,35,503,"$300,000 ",26,,11/1/2022,12/1/2022,6/1/2023,1.13%,20,Applicant,,"The City proposes to replace their old,  existing water meters with new radio- read water meters."
City of Madison,35,4141,"$2,000,000 ",22,,7/1/2022,1/2/2023,12/31/2023,1.13%,20,Applicant,,This project will find lead service lines  and/or mains and replace them to meet  the new compliance requirements  outlined in the LCR Revisions.
City of Thomaston,30,8771,"$2,000,000 ",34,"$1,200,000 ",10/1/2022,10/15/2022,5/30/2023,1.13%,20,Applicant,,"Installation of a new ground storage tank  at the City Water Treatment Plant to  store backwash and washdown flows as  well as a 7,000 LF transfer pipe and  pumps to move stored flows to an off-site  sludge lagoon. The project will also  include filter and lab improvements at  the WTP site as well as piping/valve  improvements at the sludge lagoon site."
Hancock County,30,8500,"$2,000,000 ",29,"$700,000 ",6/1/2023,7/1/2023,7/1/2024,1.13%,20,Applicant,,Hancock County proposes to extend its  water system to residents that currently  lack a public water system.  These  residents are affected by dry or  contaminated wells.
Hart County Water and Sewer  Authority,30,,"$2,500,000 ",26,,6/1/2023,7/1/2023,4/1/2024,1.13%,20,Applicant,,HCWSA proposes to extend its water  system to residents that currently lack a  public water system.  These residents are  affected by dry or contaminated wells.
City of Statham,30,2692,"$2,500,000 ",22,,8/1/2023,9/1/2023,8/1/2024,1.13%,20,Applicant,,The proposed project will install granular  activated carbon (GAC) filters at the  Statham Water Treatment Plant to  reduce disinfection by products and  improve effluent water quality.
City of Hinesville,30,33304,"$2,956,760 ",20,,11/1/2022,11/14/2022,6/6/2023,1.13%,20,Applicant,,"Installation of a  drinking water supply  well, and pipeline in an adjacent Green  Zone County to supply water to  the City  of Hinesville.   As the city approaches its  permit limit, the new source is required  to meet customer demands"
City of Hoschton,30,2039,"$1,000,000 ",17,,6/1/2023,7/1/2023,4/1/2024,1.13%,20,Applicant,,The City of Hoschton proposes to  improve its water system by drilling  groundwater wells in order to improve  reliability and reduce operating costs.
City of Millen,25,2799,"$4,059,497.50 ",31,,2/1/2023,3/1/2023,9/30/2023,1.13%,20,Applicant,,"The City of Millen received a  $3,000,000.00 EDA grant to install a new  water well and elevated storage tank to  service the west side of Millen and a new  Industrial Authority Park located outside  the City Limits. The engineers estimate  for the total project cost is  $4,000,000.00. The funds from this loan  would cover the grant match. The project  will help the water pressure, quality and  fire protection for the West side of  Millen. It will also help loop the City's  water system improving the quality for  the whole City. There will be about 8000  feet of new water main installed in this  project servicing new customers. Also,  the City has a large 12 inch well that was  installed in 1953 and could be obsolete in  the near future. This well has had pitting  in the casing.  This new well would  replace the older well's volume of water  into the City's system. A LIHTC housing  project with 48 housing units is being  built near the well site. This project will  improve the quality of water and fire  protection for this complex. The  Development Authority has a prospective  industry locating at the site where the"
City of Millen,25,2799,"$4,059,497.50 ",31,,2/1/2023,3/1/2023,9/30/2023,1.13%,20,Applicant,,"$3,000,000.00 EDA grant to install a new  water well and elevated storage tank to  service the west side of Millen and a new  Industrial Authority Park located outside  the City Limits. The engineers estimate  for the total project cost is  $4,000,000.00. The funds from this loan  would cover the grant match. The project  will help the water pressure, quality and  fire protection for the West side of  Millen. It will also help loop the City's  water system improving the quality for  the whole City. There will be about 8000  feet of new water main installed in this  project servicing new customers. Also,  the City has a large 12 inch well that was  installed in 1953 and could be obsolete in  the near future. This well has had pitting  in the casing.  This new well would  replace the older well's volume of water  into the City's system. A LIHTC housing  project with 48 housing units is being  built near the well site. This project will  improve the quality of water and fire  protection for this complex. The  Development Authority has a prospective  industry locating at the site where the"
City of Blairsville,25,725,"$2,500,000 ",29,,12/1/2023,1/3/2024,8/1/2024,1.13%,20,Applicant,,The City of Blairsville proposes to replace  aging and/or undersized waterlines in  areas with low pressure.
Towns County Water and  Sewerage Authority,25,,"$2,900,000 ",24,,11/1/2022,11/1/2022,1/1/2026,1.13%,20,Applicant,,"The proposed project will include a new  storage tank, booster pump stations, new  water lines, replacement of leaking and  under-sized lines, and other distribution  system improvements to improve  storage capacity, flows and pressures in  the water system, reliability, redundancy,  and water efficiency."
City of Dawsonville,25,3065,"$976,000 ",17,,1/1/2023,1/1/2023,7/1/2026,1.13%,20,Applicant,,"Drill test wells, develop a successful test  well, construct a well house and  treatment building, install treatment  equipment, install an emergency  generator, install water lines to connect  the new production well to the water  system, and complete appurtenant work."
Hancock County,20,8500,"$990,000 ",29,,6/1/2023,7/1/2023,7/1/2024,1.13%,20,Applicant,,Hancock County proposes to improve its  water system by drilling groundwater  wells in order to improve reliability and  reduce operating costs.
City of Blairsville,20,725,"$450,000 ",29,,8/1/2023,9/1/2023,5/1/2024,1.13%,20,Applicant,,The City of Blairsville proposes to  improve its water system by drilling  groundwater drinking wells in order to  improve reliability and reduce operating  costs.
City of Manchester,20,3982,"$950,000 ",27,,1/2/2023,1/2/2023,9/4/2023,1.13%,20,Applicant,,"The construction and installation of water  line down nebula road approximately  5,000 LF of 8"" PVC C900. Two Railroad  bores are included to connect the  southside of Manchester to the northside  including 1,000 LF of 10 "" PVC C900."
City of Maysville,20,1796,"$950,000 ",24,,6/1/2023,7/1/2023,4/1/2024,1.13%,20,Applicant,,Maysville proposes to improve its water  system by drilling groundwater drinking  wells in order to improve reliability and  reduce operating costs.
Board of Commissioners of Fulton  County,20,1051550,"$3,500,000 ",17,,10/1/2022,11/15/2022,3/31/2023,1.13%,20,Applicant,,"Production Plant   In May 2020 Fulton County engaged  Gresham Smith and Partners to develop  an Emergency Response Plan for the  water distribution network.  Several  break scenarios and catastrophic events  were modeled during that assessment.  The resulting technical memorandum  indicated that some of the most  catastrophic events involved the  consequences of failure for the two(2)- 54"" mains leaving the Tom Lowe Plant.  The Tom Lowe production plant located  at , 9750 Spruill Road is the only viable  source of potable water to the entire  North Fulton County distribution  network. Those two mains are  responsible for the safe transmission of  all the available potable water to North  Fulton County's approximately 78,000  customers. Through the Tom Lowe Plant,  an average of 28 million gallons per  day(MGD) are produced to be used by  North Fulton County customers with the  ability to produce up to 45MGD as  needed. The Emergency Response Plan   recommended that isolation valves, with"
Harris County,20,34676,"$5,250,000 ",17,,11/1/2022,12/1/2022,8/1/2023,1.13%,20,Applicant,,"The project consists of the  replacement/upgrade of approximately  1,500 LF of 16”; 21,225 LF of 12”; 625 LF  of 8”; and 2,250 LF of 6” water main;  along with associated fire hydrants,  valves, fittings, service transfers, and  other miscellaneous appurtenances.  This  project is being performed due to  conflicts between the existing water line  and the proposed GDOT road  improvements/widening for US Hwy  27/SR 1 from the Columbus/Muscogee  Co. line to the intersection with Hwy 315  in Cataula."
City of Union Point,15,1550,"$1,000,000 ",34,,8/1/2023,9/1/2023,8/1/2024,1.13%,20,Applicant,,"The proposed project will replace  dilapidated and undersized existing water  lines as well as provide a loop in the  distribution system to alleviate water  quality issues and low water pressure  problemsand improve reliability and  redundancy.  (8,060 LF)"
City of Statham,15,2692,"$1,000,000 ",22,,8/1/2023,9/1/2023,7/1/2024,1.13%,20,Applicant,,The proposed project will replace  dilapidated and undersized existing water  lines as well as provide a loop in the  distribution system to alleviate water  quality issues and low water pressure  problems and improve reliability and  redundancy.
Town of Alto,15,1259,"$2,200,000 ",22,,4/1/2023,4/1/2023,12/1/2026,1.13%,20,Applicant,,"Replace deteriorated, leaking, and  undersized water lines"
City of Baldwin,15,3593,"$1,500,000 ",20,,12/1/2023,2/1/2024,2/1/2025,1.13%,20,Applicant,,The City of Baldwin proposes to improve  its water system by replacing water  mains and providing loops in the system  to improve reliability and redundancy.
Barrow County,15,81294,"$6,000,000 ",19,,12/1/2023,1/3/2024,2/1/2025,1.13%,20,Applicant,,Barrow County proposes to construct a  redundancy transmission main in the  northern part of the County's water  service delivery area. This main would  provide much needed redundancy.
Barrow County,15,81294,"$6,000,000 ",19,,12/1/2023,2/1/2024,2/1/2025,1.13%,20,Applicant,,Barrow County proposes to construct an  elevated water tank in order to increase  water storage in the north SR 211 portion  of its water service delivery area. The  project will also include waterline  upgrade and replacements to provide  increased pressure and flow.
City of Marietta / Board of Lights  and Water,15,60687,"$1,900,000 ",16,,10/3/2022,11/7/2022,4/3/2023,1.13%,20,Applicant,,"East Dixie Water Transmission Main  Replacement The City of Marietta needs to replace  2,200 feet of 14” water transmission  main that provides redundant water  supply to the Redwood Water Tank  which supplies water to a 1.65 square  mile area with a population of  approximately 7,555.  This water main is  in poor condition and is necessary to  supply this service area with safe drinking  water and fire protection."
Town of Braselton,15,12178,"$10,000,000 ",16,,12/1/2023,1/3/2024,4/1/2025,1.13%,20,Applicant,,The Town of Braselton proposes to  construct an indirect potable reuse water  treatment facility to provide additional  water supply.
Town of Braselton,15,12178,"$3,500,000 ",16,,6/1/2023,7/1/2023,7/1/2024,1.13%,20,Applicant,,The Town of Braselton proposes to  construct an elevated water tank in order  to increase water storage for its system
Town of Braselton,15,12178,"$1,300,000 ",16,,8/1/2023,9/1/2023,5/1/2024,1.13%,20,Applicant,,The Town of Braselton proposes to  replace an aging waterline in order to  reduce leaks.
Rabun County Water and Sewer  Authority,10,,"$8,000,000 ",29,,12/1/2022,1/1/2023,1/1/2024,1.13%,20,Applicant,,The Rabun County Water and Sewer  Authority proposes to construct a  redundancy transmission main along the  US 441 corridor from south of Clayton to  north of Mountain City. This main would  provide much needed redundancy.
Rabun County Water and Sewer  Authority,10,,"$2,500,000 ",29,,12/1/2022,1/1/2023,1/1/2024,1.13%,20,Applicant,,"The Rabun County Water and Sewer  Authority proposes to construct an  elevated water storage tank and  necessary water mains in the north  service area in order to provide improved  storage, system reliability, and improved  operations."
City of Commerce,10,7008,"$6,000,000 ",21,,6/30/2023,7/1/2023,7/1/2024,1.13%,20,Applicant,,"The City of Commerce, Georgia proposes  to address shortfalls/deficiencies in water  treatment production capacity, finished  water storage volume, system pressure,  and reserve/emergency water storage  volume through the design and  construction of improvements to the  existing water treatment plant (WTP) as  well as water distribution system  improvements. Project improvements include the  following: •	Provide sufficient water treatment  capacity and water supply throughout  the city’s water system by upgrading  filters at the existing WTP from 4 gpm/sq- ft to 5 gpm/sq-ft. Filter pairs will also be  hydraulically separated to enable  independent operation/maintenance,  providing system redundancy. •	Increase water capacity/storage  amounts and increase system pressure  through the construction of  1) a new  clearwell at the WTP, and 2) an elevated  water storage tank within the City"
Barrow County,10,81294,"$2,500,000 ",19,,12/1/2022,2/1/2023,2/1/2024,1.13%,20,Applicant,,Barrow County proposes to construct an  elevated water tank in order to increase  water storage in the eastern portion of its  water service delivery area.
City of Marietta / Board of Lights  and Water,10,60687,"$5,500,000 ",16,,10/10/2022,1/2/2023,4/22/2024,1.13%,20,Applicant,,"Sugar Hill Tank Project: The City of Marietta must replace the  aging 0.5MG Sugar Hill Water Tank with  a new 0.75MG tank.  This tank supplies  water to an area in which Wellstar  Kennestone Hospital is located, in  addition to thousands of customers and  businesses.  This tank replacement  project is necessary due to the  deteriorating condition of the existing  tank and the rapid expansion of the  hospital which is outgrowing the capacity  the current tank can provide.  Since  Wellstar Kennestone Hospital is a Level II  Trauma Center and houses the largest  and busiest Emergency Department in  Georgia, the hospital serves residents in  the region of Cobb, Cherokee and  Paulding counties, a population of over  1.2 million people.  The goal of the Sugar  Hill Water Tank project is to improve the  drinking water supply and fire protection  needs not only for the citizens of  Marietta, but of the many Georgians that  utilize the Wellstar Kennestone Hospital  for their healthcare needs."
Upper Oconee Basin Water  Authority,10,,"$60,000,000 ",16,,8/1/2023,9/1/2023,6/30/2025,1.13%,20,Applicant,,Expansion of the Bear Creek WTP from  21MGD to 42MGD
Town of Braselton,10,12178,"$950,000 ",16,,8/1/2023,9/1/2023,5/1/2024,1.13%,20,Applicant,,The Town of Braselton proposes to  improve its water system by drilling  groundwater drinking wells in order to  improve reliability and reduce operating  costs.
City of Baldwin,5,3593,"$3,300,000 ",20,,10/1/2023,11/1/2023,8/1/2024,1.13%,20,Applicant,,The City proposes to upgrade undersized  and dilapidated waterlines in the  southeast section of the water service  delivery area.
City of Blairsville,0,725,"$1,700,000 ",29,,12/1/2023,1/3/2024,1/3/2025,1.13%,20,Applicant,,"The City of Blairsville proposes to  rehabilitate its existing water treatment  facility, including replacement of aging  components, replacement of filter media,  and installing grit removal and  mechanical screen."
