Loan Applicant,L17#,Project Description,Facility No.,Estimated Construction Start,Estimated Loan Amount,Disadvantaged Community Principal Forgiveness,Service Population,Loan Priority Score
SOUTH HIGHWAY WD,4071,CONSTRUCTION OF 1600 LF OF WATERMAIN & REPLACEMENT OF BELOW GROUND PUMP STATION WITH AN ABOVE GROUND PUMP STATION,IL0775400,8/1/22,"$530,000","$265,000"," 	4,650 ",250
DOWNS,5234,"WTP UPGRADES, NEW WELL, & NEW RAW WATER MAIN",IL1130500,8/15/22,"$3,574,000",N/E, 	949 ,245
ELIZABETH,5787,PHASE 2 - WELL HOUSE & WELL #1 IMPROVEMENTS,IL0850150,3/1/23,"$537,700","$268,850", 	761 ,245
FORSYTH,5864,INSTALLATION OF NEW WELL & WELL BUILDING,IL1150200,9/5/22,"$964,000",N/E," 	3,602 ",245
GREENVILLE,5774,CONSTRUCT NEW TREATMENT PLANT,IL0050050,2/1/23,"$17,123,050","$1,250,000"," 	6,761 ",245
KIRKLAND,5850,WATERMAIN REPLACEMENT & INSTALL VALVES,IL0370300,3/31/23,"$2,984,000","$1,250,000"," 	3,477 ",235
ROCKFORD,4594,WELL NO. 34 TREATMENT IMPROVEMENTS TO REMOVE RADIUM AND IRON,IL2010300,11/1/22,"$10,555,500",N/E," 	149,597 ",235
GILMAN,1411,WATERMAIN REPLACEMENT,IL0750450,12/5/22,"$940,000","$470,000"," 	1,814 ",230
MORRISON,3475,"PHASE 3 - 4,780 FT WATERMAIN",IL1950350,2/1/23,"$1,434,000","$717,000"," 	4,188 ",230
DIXON,5648,PHASE 3 - REPLACEMENT & REHABILITATION OF WATERMAIN,IL1030200,3/1/23,"$3,030,500","$1,250,000"," 	15,733 ",225
DOWNS,3104,PHASE 1 - INSTALL BOOSTER PUMPS STATION & WATERMAIN EXTENSION,IL1130500,12/1/22,"$1,620,000",N/E, 	949 ,225
DONOVAN,5803,WATER SYSTEM IMPROVEMENTS,IL0750400,6/6/22,"$1,460,000","$730,000", 	306 ,220
SYCAMORE,5816,BRING WELL NO. 7 BACK ONLINE,IL0370550,1/3/22,"$3,403,595","$1,250,000"," 	17,897 ",205
DIXMOOR,5975,WATER METER REPLACEMENT PHASE 1,IL0310660,10/15/22,"$576,000","$288,000"," 	3,518 ",205
OAK LAWN ,5083,#5 - TRANSMISSION MAIN FROM MARION AVE THROUGH CROSSING CALUMET - SAG,IL0312220,12/19/22,"$55,300,000",N/E," 	350,000 ",205
OAK LAWN ,5530,BID PACKAGE 7B - ORLAND PARK SPUR,IL0312220,9/26/22,"$18,700,000",N/E," 	350,000 ",205
OAK LAWN ,5085,#2 - TRANSMISSION MAIN FROM ORLAND PARK & BOOSTER (Applied for $45.5M but funding limited due to 25% Program Cap),IL0312220,2/6/23,"$11,000,000",N/E," 	350,000 ",205
TAYLOR SPRINGS,5788,PHASE 2 - REPLACE ASBESTOS CEMENT MAINS,IL1350650,9/1/22,"$900,000","$450,000", 	690 ,185
RUSHVILLE,5778,"REPLACE GROUND STORAGE TANK, VALVES AND HYDRANTS & REHAB PUMP STATION",IL1690200,10/1/22,"$2,120,000","$1,060,000"," 	3,200 ",180
DOLTON,5270,"REPLACEMENT OF 2,200 WATERMETERS & METER READ SYSTEM",IL0310690,9/1/22,"$2,000,000","$1,000,000"," 	23,153 ",180
FREEPORT,5676,PHASE 4 - WATERMAIN REPLACEMENT (ADAMS & CLINTON AVE),IL1770200,11/2/22,"$4,000,000","$1,250,000"," 	23,973 ",180
ST. ANNE,5785,LOOP AND REPLACE WATERMAINS,IL0910700,9/1/22,"$2,270,000","$1,135,000"," 	1,209 ",180
WESTFIELD,5781,NEW WATER METERS,IL0230200,8/1/22,"$320,000","$160,000", 	728 ,175
BLOOMINGTON,5686,PHASE 4 - WATERMAIN REPLACEMENT & LOOPING,IL1130200,3/1/23,"$2,000,000",N/E," 	77,962 ",170
COAL CITY,3512,EXPANDING WATER TREATMENT PLANT AND DRILLING A NEW DEEP WELL,IL0630200,9/1/22,"$6,016,260","$1,250,000"," 	6,077 ",170
HARDIN COUNTY WD,5704,PHASE 2 - WATERMAIN REPLACEMENT,IL0695000,2/28/23,"$950,000","$475,000"," 	1,000 ",165
SAYBROOK,5624,NEW ELEVATED WATER STORAGE TANK & WTP UPGRADES,IL1130950,7/1/22,"$1,573,000","$786,500", 	693 ,165
TAYLOR SPRINGS,5991,"WATERMAIN, VALVE AND HYDRANT REPLACEMENT",IL1350650,12/31/22,"$1,200,000","$600,000", 	690 ,165
ELVERADO WATER DISTRICT,6096,"REPAINT & REPAIR 100,000-GALLON WATER TANK",IL0770010,11/3/22,"$355,500","$177,750", 	660 ,160
HEYWORTH,4221,WATERMAIN REPLACEMENT,IL1130650,5/1/22,"$2,400,000","$1,200,000"," 	3,000 ",155
QUINCY,5752,PHASE 3 IMPROVEMENTS - NEW FINISHED WATER PUMPING STATION,IL0010650,6/27/22,"$7,500,000",N/E," 	42,000 ",155
COULTERVILLE,3205,METER VAULT & TRANSMISSION MAIN FOR NEW WATER SOURCE - CITY OF SPARTA,IL1570150,8/1/22,"$1,500,000","$750,000", 	900 ,150
JONESBORO,6044,"REHABILITATION OF 261,000-GALLON STANDPIPE",IL1810250,10/1/22,"$322,500","$161,250"," 	1,905 ",145
THORNTON,1359,RENOVATE STORAGE TANK AND REPLACE METERS,IL0313090,10/31/22,"$2,900,000","$1,250,000"," 	2,367 ",145
BRACEVILLE,4573,SERVICE LINE AND WATERMAIN REPLACEMENT AND LOOPING,IL0630050,1/31/23,"$2,000,000","$1,000,000", 	775 ,140
SEATON,5915,TRANSMISSION MAIN REPLACEMENT & SYSTEM LOOPING,IL1310350,11/16/22,"$1,361,000","$680,500", 	222 ,140
WEST FRANKFORT,6003,PHASE 2 - WATER METER REPLACEMENT,IL0550700,12/30/22,"$800,000","$400,000"," 	8,500 ",140
XENIA,5776,"REPLACE 3,650 FT OF WATER MAIN",IL0250300,10/17/22,"$303,000","$151,500", 	391 ,140
HENDERSON,5924,"INSTALL 50,000-GALLON WATER STORAGE TANK & DEMOLISH OLD TANK",IL0950250,10/1/22,"$1,080,850","$540,425", 	241 ,135
GLENDALE HEIGHTS,3455,IMPROVE BOOSTER PUMP STATIONS & ALTITUDE VALVE STATION,IL0430400,3/15/23,"$3,500,000",N/E," 	33,351 ",130
MURPHYSBORO,1443,REPAINTING & REPAIRING BOTH ELEVATED TANKS,IL0770500,8/1/22,"$950,000","$475,000"," 	11,613 ",130
JOLIET,6074,"REPLACEMENT OF 21MI OF WATERMAIN ($37,323,000 requested)",IL1970450,3/1/23,"$34,528,754",N/E," 	148,693 ",130
