epic_merge_id,APPLICANT NAME,REGION,DEP PROJECT RATING,STREET ADDRESS,CITY,COUNTY,PWSID,PROJRANK,FUND SOURCE,PROJECT COST,MTGDATE,PROJECT TYPE,PROJ. DESCRIPTION,PROB. DESCRIPTION,POPULATION,PV RATING,GREEN PROJECT,GREEN CATEGORY,BUSINESS CASE,GREEN AMOUNT
11,PERKASIE REGIONAL AUTHORITY - PFAS LINE EXTENSION,I,45,PO BOX 159,PERKASIE,BUCKS,1090046,11,DWSRF,"$3,680,000",1/12/2023,DS,"Perkasie Borough Authority is proposing to install 6,000 linear feet of 8-inch water main for the connection of the 53 private wells impacted by the PFAS contamination. An additional 4 connections will be provided for vacant lots.","Perkasie Borough Authority is proposing to install 6,000 linear feet of 8-inch water main for the connection of the 53 private wells impacted by the contamination. An additional 4 connections will be provided for vacant lots. Project will eliminate private wells and supply potable water to the new service area.","15,000",60,No,N/A,N/A,$0
12,CLINTONVILLE BOROUGH SEWER AND WATER AUTHORITY - NEW WATER TANK,VI,43,P O BOX 292,CLINTONVILLE,VENANGO,6610016,12,DWSRF,"$2,396,300",4/19/2023,WS,Proposed project includes construction of a new elevated tank with a 70 foot padestal to allow 100% of the tank volume to be utilized without pressure falling below 20psig. New tank will be built next to the existing standpipe. The new tank will be glass lined to minimize required maintenance and will have compressed air mixture equipments installed.,"Clintonville Borough Authority owns and operate a 100,000 gallon potable water standpipe which is in service since mid 1970s and is on poor condition. Based on recent inspection interior of the tank is suffering from severe corrosion and large deposits of sediments. New tank will help system supply potable water at proper pressure to the service area.",695,70,No,N/A,N/A,$0
13,WILKINSBURG PENN JOINT WATER AUTHORITY - LSL REPLACEMENT PHASE 2,V,42,2200 ROBINSON BOULEVARD,WILKINSBURG,ALLEGHENY,5020056,13,DWSRF,"$9,691,212",1/12/2023,LSL,"Project includes replacement of 1,000 lead service lines. This also includes the installation of approximately 5,000 linear feet of new 1-inch copper water service lines, 1,000 curb boxes, and associated surface restoration.","There are approximately 5,000 known lead service line on either the authority side, customer side, or both. Lead service lines can lead to contamination of public drinking water and threaten public health.","125,000",87,No,N/A,N/A,$0
14,EAST COCALICO TOWNSHIP AUTHORITY - PRO-FI DW SYSTEM IMPROVEMENT,III,42,P.O. BOX 402,REAMSTOWN,LANCASTER,7360113,14,DWSRF,"$9,000,000",1/12/2023,"DS, WS","This is a programmatic financing application which includes 5 phases. Phases 1, 2, 4, and 5 consist of replacement of existing 6-inch water mains. These phases consist of replacement of the existing water mains with 8-inch ductile iron cement-lined water main, with new valves, laterals, and fire hydrants. The new water mains will be installed within the street or street right-of-way, and will be offset from the existing main and other utilities to maintain public water service during construction. Phase 3 consists of rehabilitation of the existing 3.0 million gallon water storage tank, and installation of a mixing system.",Water authority has experienced frequent water main breaks in several areas which consist of 6-inch cast iron water main that is reaching the end of its useful life. The 3-million-gallon storage tank is over 30 years old and requires repainting to prevent deterioration of the structure in order to continue to provide critical storage for the drinking water system.,"6,735",47,No,N/A,N/A,$0
15,NORTHAMPTON BOROUGH MA - CEMENTON TANKS,II,40,1717 MAIN STREET PO BOX 156,NORTHAMPTON,LEHIGH,3480057,15,DWSRF,"$5,707,000",1/12/2023,"DS, WS","Northampton Borough Municipal Authority (NBMA) proposes a distribution storage tanks improvement project located in Whitehall Township, Lehigh County. The proposed project consists of the rehabilitation of the exterior and interior of a prestressed concrete 2.0 million gallon (MG) finished water storage tank known as Cementon Tank No. 1 which is used for distribution storage. Improvements generally including reparation/cleaning and painting/coating of the interior and exterior of the tank, mixer installation, vent replacement and other ancillary repairs deemed necessary based on current observations and a scheduled future tank inspection. This existing distribution system storage tank was constructed in the 1970s and is aging and in need of repair and rehabilitation. The proposed project also includes the construction of a 3.0 MG prestressed concrete storage tank to be used for distribution storage to enable NBMA continue to meet current and future system demands for domestic, commercial and fire flow needs. Also, approximately 200-250 feet of 16-inch/20-inch diameter piping will also be installed as part of the project. The improvements will enhance NBMA’s ability to operate and maintain the system and increase the reliability of service.","Northampton Borough Municipal Authority (NBMA) proposes a distribution storage tanks improvement project located in Whitehall Township, Lehigh County. The project will consist of the rehabilitation of an existing, prestressed concrete storage tank and the construction of a new prestressed concrete storage tank at the same site to ensure adequate supply and fire protection needs are met by the system. The tanks are used for distribution storage and not for contact time. The existing, concrete 2.0-million-gallon Cementon Tank No. 1 was built in the 1970s and is aging and in need or rehabilitation. The construction of a new 3.0 MG concrete storage tank to be known as the Cementon Tank No. 2 at the same site location is needed to ensure adequate system supply is met and adequate supply for fire protection is provided to customers.","40,000",55,No,N/A,N/A,$0
16,SCHUYLKILL COUNTY MUNICIPAL AUTHORITY - POTTSVILLE LSL REPLACEMENT 2023,II,40,221 S CENTRE STREET,POTTSVILLE,SCHUYLKILL,3540038,16,DWSRF,"$5,240,100",4/19/2023,LSL,"The Schuylkill County Municipal Authority (SCMA) proposes a lead service line replacement project in the City of Pottsville, Schuylkill County. SCMA proposes the replacement of approximately 360 public and private lead and/or galvanized service lines along West Railroad Street and North Centre Street; Fairview Street; West Race Street; and Pierce Street in the City of Pottsville, Schuylkill County. The project will include all necessary appurtenances related to the service line replacements (i.e. valves, water mains, test pits, manways, etc.), engineering design, bid, and construction phase services; construction costs related to excavation of the service lines for material confirmation, replacements, restoration, and Risk Mitigation Management procedures. The existing system facilities identified as part of this project are older and comprised primarily of lead and/or galvanized. Removal and replacement of the service lines is desired and considered necessary to ensure continued compliance with the Department’s Lead and Copper Rule, Title 25 Chapter 109, Subchapter K. The improvements will enhance SCMA’s ability to operate and maintain the system and increase the reliability of service.","The Schuylkill County Municipal Authority (SCMA) proposes a lead service line replacement project in the City of Pottsville, Schuylkill County to replace existing service lines which are older and comprised primarily of lead and/or galvanized. Removal and replacement of the service lines is desired and considered necessary to ensure continued compliance with the Department’s Lead and Copper Rule, Title 25 Chapter 109, Subchapter K. SCMA proposes the replacement of approximately 360 public and private lead and/or galvanized service lines along West Railroad Street and North Centre Street; Fairview Street; West Race Street; and Pierce Street in the City of Pottsville, Schuylkill County. The project will include all necessary appurtenances related to the service line replacements (i.e. valves, water mains, test pits, manways, etc.), engineering design, bid, and construction phase services; construction costs related to excavation of the service lines for material confirmation, replacements, restoration, and Risk Mitigation Management procedures. The existing system facilities identified as part of this project are older and comprised primarily of lead and/or galvanized. Removal and replacement of the service lines is desired and considered necessary to ensure continued compliance with the Department’s Lead and Copper Rule, Title 25 Chapter 109, Subchapter K.","31,850",75,No,N/A,N/A,$0
17,MUNICIPAL AUTHORITY OF THE BOROUGH OF BEDFORD- PHASE 2 CAST IRON LINE,III,40,244 WEST PENN STREET,BEDFORD,BEDFORD,4050002,17,DWSRF,"$10,600,000",4/19/2023,LSL,"The project is considered Phase 2 of Bedford’s CIP Waterline Replacement Project and includes the installation of approximately 29,940 L.F. of C900 PVC water distribution main to replace the existing cast iron distribution main, 455 services lines, 28 fire hydrants, valves, and all other necessary appurtenances within the project area. The proposed water mains will allow the decommissioning of existing cast iron water distribution main with leaded joints in addition to removing all existing leaded gooseneck service connections encountered during construction.",The Authority’s distribution system is comprised of old cast iron piping with leaded joints and leaded gooseneck services in sections of their distribution system. The Authority has concerns over the potential for lead to contaminate the water supply and cause health issues with residents.,"5,127",59,No,N/A,N/A,$0
18,CRANBERRY VENANGO COUNTY GENERAL AUTH. - CRANBERRY MALL PLANT UPGRADE,VI,40,BOX 378,SENECA,VENANGO,6610031,18,DWSRF,"$2,636,675",10/19/2022,TREAT,"The proposed project is to construct a new 350 gpm package water treatment plant immediately adjacent to the existing Mall water treatment plant building, using the same treatment technology. Upgrades will also be made to the existing treatment plant building, electrical and back-up generator, well pumps, distribution pumps, and the chemical feed and storage systems.",The existing Cranberry-Venango County General Authority's 175 gpm Mall Water Treatment Plant is nearing its useful life and is undersized for the projected future water demands of the service area.,"2,700",45,No,N/A,N/A,$0
19,MUNICIPAL AUTHORITY OF BUFFALO TOWNSHIP - FREEPORT BORO LSL REPL.,VI,40,707 SOUTH PIKE ROAD,SARVER,ARMSTRONG,5030019,19,DWSRF,"$722,465",4/19/2023,LSL,"Propose project includes replacement of approximately 133 Lead service lines. Major work includes 125 each 3/4"" Service line replacements, four 1"" service line replacements, two 1"" service to existing dwelling and four 2"" service replacements; two 2"" service to existing dwellings; 360 s.y. of Borough ditchline paving; 250 s.y. of PennDOT ditchline paving, 80 s.y. of sidewalk replacement 1,500 linear feet of work along the state highway and 670 s.y. of concrete curb replacement.","The Authority has found several lead service lines in the area, which could contaminate public drinking water and threaten the health of the residents. The number of lead service line replacements is expected to be approximately 133.","5,849",67,No,N/A,N/A,$0
20,COWANSHANNOCK TOWNSHIP MUNICIPAL AUTHORITY - YATESBORO WTP IMP,VI,40,BOX 127,NUMINE,ARMSTRONG,5030047,20,DWSRF,"$2,724,000",4/19/2023,TREAT,"The work associated with the drain line includes 6,745 L.F. of 2-inch diameter drain line, 6-inch gravity sewer, six plug valves, two air release vaults, one meter vault, 30 L.F. of 6-inch diameter steel casing pipe, two dosing pumps (installed), one dosing pump (spare), three concrete tanks (6,000 gallons), draining and backfilling the pond, erosion and sedimentation controls and seeding, electrical upgrades including new service and manual emergency generator connection, telemetry. In addition to the wastewater drain line, the work at the Yatesboro Water Treatment Plant consists of the replacement of the two existing 78"" diameter pressure filters, tank internal and external piping, filter media, automatic valves, magnetic flowmeters, pressure gauges, air blower, potassium permanganate color monitor, control panel with 10-incn color operator interface terminal, and electrical upgrades.","Cowanshannock Township Municipal Authority (CTMA) was sent a Notice of Violation from the Pennsylvania Department of Environmental Protection (PADEP) for the Authority’s discharge of treated industrial wastewater in violation of the Yatesboro NPDES Permit between January 2018 and March 2019. On November 4, 2021 CTMA entered into a Consent Order and Agreement with the Pennsylvania Department of Environmental Protection to cease the operation and discharge from the Yatesboro Water Treatment Plant and connect to the Shannock Valley General Services Authority (SVGSA) sewerage system. The CTMA also agreed to dewater the Yatesboro WTP lagoons, remove and properly dispose of all sludge, eliminate the outfall from the Yatesboro WTP, and request from DEP termination of the Yatesboro NPDES Permit and Water Quality Management Permit related to the Yatesboro Water Treatment Plant. In addition, the Yatesboro Water Treatment Plant was converted from a sequestering treatment process to a pressure filter treatment process for the removal of iron and manganese from the raw groundwater sources in 1992. It has been 30 years that these facilities have been in continuous service without any major repairs or maintenance. Numerous components of the original treatment system have been neglected and are no longer functioning and the equipment has reached the end of its useful life.",740,49,No,N/A,N/A,$0
21,PITTSBURGH WATER & SEWER AUTHORITY - SECURITY UPGRADES,III,39,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY,5020038,21,DWSRF,"$9,978,156",10/19/2022,TREAT,"The project will assist in funding the addition of approximately 80-100 security cameras, electronic access control at various sites and locations, fencing repairs/replacements, critical alarm and emergency notification systems as well as other physical hardening devices. The upgrades will occur at a total of 9 tank sites, 6 pump station sites, 4 reservoir sites, the Water Treatment Plant, the PWSA warehouse, and PWSA headquarters.",PWSA has obligations to enhance security and resilience of their critical infrastructure. Many of these infrastructure sites (26 locations) are lacking minimum security measures. This project will address issues raised by the DHS in a recent risk assessment by providing necessary funding. These upgrades are critical to help protect PWSA assets to increase the resiliency and increase the reliability of their assets for customers.,"370,000",70,No,N/A,N/A,$0
22,LINESVILLE MA - 2020 WATER SYSTEM IMPROVEMENTS,VI,39,103 W. ERIE STREET,LINESVILLE,CRAWFORD,6200027,22,DWSRF,"$6,037,729",10/19/2022,"SRC, PS, WS","Linesville Borough proposes various updates to the existing sources of supply, pumping systems, storage reservoirs, and disinfection systems at the Penn Street and Bunday Street sites. The Penn Street project includes a new pump station, a new disinfection unit, distribution pumps, electrical, plumbing, an emergency backup generator and new communication system (SCADA). A new tank mixer will be installed in the Airport tank. The improvements to the Borough Garage site include the relocation of the main reservoir and pump station out of the flood-zone area. The Homestead Avenue Water Line Extension will provide a loop into the distribution system","The Penn Street pumps are in a pit below ground-level and exposed to damage by flooding. A SCADA has to be located in this pump station to monitor Penn Street water system components. The Airport tank has no mixer to prevent ice build-up that could potentially interfere with level sensors or damage tank coating system as well as avoiding water stagnation that might lead to the formation of disinfection by-product. There is no meter on each source that feeds the pump station and there is no backup generator. The Borough Garage which contains a storage tank ((built in 1908) and pump station (built in 1926) is located in the flood zone area and exposed to contamination, damaging of pipes, pumps, electrical control systems. The structural integrity of the building could be damaged due to flooding. The distribution system is not looped.","1,198",66,No,N/A,N/A,$0
23,HAZELTON CITY AUTHORITY - 2022 ONEIDA JUNCTION BOOSTER STATION PROJECT,II,38,400 E. ARTHUR GARDNER PARKWAY,HAZLETON,LUZERNE,2408001,23,DWSRF,"$2,275,000",10/19/2022,PS,"The proposed booster pump station will be a package modular steel unit fabricated by Peerless (Grundfos or equal) comprised of: an insulated building with four (4) 100 HP, horizontal split case type NSF 61 pumps, three (3) duty and one (1) standby, with Variable Frequency Drives (VFDs) and automatic control system with SCADA system integration. Pump capacity is specified at 1,500 gpm at 173 feet TDH. Additional equipment to be provided in the booster station includes, a magnetic flow meter, valves, lighting, ventilation, and wall mounted HVAC units. The pumping station will comply with requirements specified in the PWS Manual Part II. An emergency standby generator is proposed for providing electrical power in the event of the loss of utility power to the station. A bypass line for the booster station is also proposed. This bypass will include a normally closed gate valve. In case of a catastrophic or other failure of the booster station, this gate valve can be opened to bypass the booster station to maintain positive system pressure until such time that the booster station (or alternate means) is placed back online. The installation of approximately 100 feet of 16-20-inch DI pipe is proposed for the suction and discharge lines to connect the proposed station to HCA’s existing distribution system. This project will allow HCA to continue to operate and maintain system facilities and to continue to meet regulatory requirements. The improvements will enhance HCA's ability to operate and maintain their existing PWS facilities.","The Hazleton City Authority (HCA) owns and operates a public water supply (PWS) system (PWS ID No. 2408001) which serves the residents and commercial establishments in and around Hazle Township, Luzerne County. Based on a recent Feasibility Study conducted by HCA to provide adequate supply and pressure to existing and proposed customers on the western side of HCA’s distribution system, a booster pumping station with all necessary appurtenances is proposed. It is to be located near the intersection of S.R. 424 and 309 in Hazle Township, Luzerne County. The new booster station will enable HCA to adequately operate and maintain the PWS system and provide adequate system pressure and supply to its existing and proposed customers.","38,022",63,No,N/A,N/A,$0
24,BEAR VALLEY FRANKLIN COUNTY PA JOINT AUTH. - PH 1 SYSTEM IMPROVEMENT,III,38,P O BOX 294,ST THOMAS,FRANKLIN,7280043,24,DWSRF,"$8,500,000",1/12/2023,"SRC, DS","The project includes the addition of three (3) new groundwater sources, Wells No. 13, 16, and 17. Each source will be treated at the Authority’s existing Fort Loudoun membrane filtration plant. Development of these additional sources will provide a combined additional source capacity of up to 1.56 million gallon per day (MGD). This will ensure that the system has sufficient source capacity to reliably and consistently meet demands, which will result in increased protection of public health and safety.","The Authority’s existing sources include six (6) other wells, a surface water withdrawal from Broad Run, and a finished water interconnect with the Borough of Chambersburg. The surface water source is not reliable during summer/fall due to low flows. Additionally, the interconnect with Chambersburg is not available if Chambersburg needs the water for their own uses. Therefore, the system’s total reliable source production capacity is 1.0 million gallon per day (MGD). The system’s 2020 average daily use was 1.22 MGD and the peak daily use was 2.05 MGD. The system’s reliable source capacity does not meet the average and peak demands.","12,000",43,No,N/A,N/A,$0
25,SHARPSVILLE BOROUGH -  2022-2023 WATERLINE IMPROVEMENT PROJECT,VI,35,1 WALNUT STREET,SHARPSVILLE,MERCER,6430055,25,DWSRF,"$9,800,000",10/19/2022,DS,"Approximately 20,000 lf of aged distribution system waterlines subject to leaks and breaks recommended to be replaced prior to the planned PennDOT repaving project along SR 518 within the Borough of Sharpsville. No Public Water Supply permit is required for distribution line replacements.","Borough of Sharpsville water distribution system includes aged waterlines, many being 50 to 70 years old which experience leaks and breaks. PennDOT is planning to repave SR 518 within the Borough of Sharpsville and the Borough wishes to replace approximately 20,000 lf of water distribution lines before the PennDOT repaving project.","4,729",59,No,N/A,N/A,$0
26,BEDFORD TOWNSHIP MUNICIPAL AUTHORITY- AREAS V & VI WATER PROJECT,III,33,P.O. Box 371,BEDFORD,BEDFORD,4050037,26,DWSRF,"$5,186,000",1/12/2023,DS,"This project includes extending water service to approximately 130 residential homes within Bedford Township. The two new distribution areas, Area V and Area VI, will be connected via the following new sections of ductile iron piping; 16,800 linear feet of 10-inch diameter, 9,900 linear feet of 8-inch diameter, 5,500 linear feet of 6-inch diameter, and 1,600 linear feet of 4-inch diameter waterline. A section of Area VI will be connected to the booster pumping station constructed near the intersection of Mt. Airy Drive and Cumberland Road.",The Authority will extend its distribution system to several existing neighborhoods currently served by individual wells. This is the final obligation as described in the Authority’s Act 537 Plans originally approved in 2002 and updated in 2005.,"1,125",38,No,N/A,N/A,$0
