System Name,PWSID,Est. Loan Amount,Points,Rank,Population,Project Description,Est. Date to Close Loan
"City of Natchitoches (Loan 5)",1069007,17200000,17,27,17831,"The project involves construction of a new 2 mgd water treatment plant (Plant 4) and associated improvements are proposed at the water treatment plant complex. The plant will include new filter bays, clarifiers, chemical equipment, pumps, new decant clarifier, backwash lift station, sludge press, and site work and piping improvements in conjunction with the new plant.",October-21
"Village of Mt. Lebanon",1013011,300000,16,28,190,"The proposed project will drill a replacement water well. Well No. 1 is producing sand and is not in operaton. The system is currently supplied by a single well with no connections to other water systems.",April-22
"Savoy Swords Water System, Inc. (Loan 3)",1097024,468000,16,29,8306,"Proposed project involves the construction of a new second water well at the Richard Well Field, two standby generators at booster station sites, and upgrade computer and PLC controllers for SCADA systems.",December-21
"Youngsville Water System",1055035,8026000,13,30,1622,"The proposed project consist of the construction of a new 0.7 MGD water treatment plant, drilling a new water well and contruction of a new elevated tank.",November-21
"West Feliciana Parish WWD#13",1125010,4240000,13,31,10946,"The proposed project consist of installing drive-by-meters throughout the parish to reduce water loss and accurately measure usage. The WS will also upgrade chemical feed equipment at each well site thoughout the parish.",May-21
"Village of Forest Hill",1079009,930000,11,32,2700,"Proposed project involves the construction of a new 300 gpm water well located at the Town Hall elevated tank site. The project shall include all electrical and controls, piping and chlorination equipment.",April-22
"Desoto WWD#1-Loan 4",1031030,6140000,10,33,6822,"To add an additonal 1.3 MGD MIEX system, increase treatment requirements to accommodate 2.3 MGD capacity (Filtration & Sedimentation). Distribution system improvements (GST, pumps, booster station) to have the capacity to tie into water systems with an emergency connection.",June-22
"WWD#12 of Calcasieu (Ward 3)",1019126,2000000,8,34,2210,"The proposed project includes extending the distribution system along Ham Reid Road, Lake Street, and Nelson Road to loop the system.",March-22
"City of Gonzales",1005030,2400000,7,35,11094,"The proposed project consists of relocating existing 16"" water main to newly acquired right-of-way approximately 15 to 20 feet from current location to accommodate new roadway widening project on Roddy Road.",November-21
"Hilly-Greenwood Water System, Inc.",1061027,1050000,5,36,1380,"The proposed project consist of the construction of a new water well and ancillary improvements associated with new water well are proposed as well.",June-22
"City of Bossier City",1015004,30000000,2,37,68094,"Construction involves the addition of 20 MGD nanofiltration (NF) system including equipment, building, piping, wet well, pilings, site work, and miscellaneous items needed for a complete and operable NF system.",May-23
