Loan Applicant,L17#,Project Description,"Facility No,","Est.
Construction
Start",Estimated Loan Amount
SAVANNA,TBD,WATER DISTRIBUTION SYSTEM & WELL HOUSE IMPROVEMENTS,IL01S0250,2024-01-01 0:00:00,5000000
SLM WATER COMMISSION,2963,NEW TRANSMISSION MAIN - NORTH SERVICE AREA (SUMMERFIELD-LEBANON-MASCOUTAH),IL1635090,2022-11-01 0:00:00,4100000
SOUTH LAWRENCE WATER CORP,4538,"INSTALLATION OF 3MI OF WATERMAIN, INSTALLATION BOOSTER PUMP STATION WITH MASTER METER, AND REPLACEMENT OF BOOSTER PUMP STATION #1",ll1010020,2022-07-18 0:00:00,979000
SPARLAND,TBD,"BLAST & RECOAT-2 HYORO-PNEUMATIC TANKS,ALL EXPOSED PIPING, ELEVATED WATER STORAGE TANK (INTERIOR & EXTERIOR)",!L1230200,2023-07-01 0:00:00,"$424,000"
SPIN LAKE HOMEOWNERS ASSOCIATTION,TBD,"CONSTRUCTION OF A BUILDING TO REPLACE HYDRO-PNEUMATIC TANKS, A SECOND WELL, ANO
REPLACE REMAINING AGING EQUIPEMENT",IL113S140,1./28/2023,1400000
STEWARD,6082,PHASE 1- WATERMETER REPLACEMENT,1L10304SO,10/1/2022,887110
SYCAMORE,TBD,WATERMAIN IMPROVEMENTS,IL0370550,4/1/2023,"$1,481,089"
TABLE GROVE,6122,"INSTALLATION OF NEW MIXER, VENTILATION BLOWER, AND LARGER DIAMETER VENT IN EXISTING ELEVATED STORAGE TANK",!L0570900,4/3/2023,45169
VALLEY VIEW WATER WORKS ASSOC.,6091,WATERMAIN CONNECTION WITH CTPWD,IL2030010,6/1/2022,492600
VILLA PARK,TBD,COLLEGE STREETS IMPROVEMENT PROJECT (VARIOUS STREETS),IL0430800,5/1/2023,2176350
VILLA PARK,TBD,MYRTLE AVENUE IMPROVEMENT PROJECT (TERRY TO MADISON),lL0430800,2023-05-01 0:00:00,473000
VILLA PARK,TBD,PLYMOUTH STREET WATER MAIN PROJECT(ADDISON TO ARDMORE},IL0430800,2023-05-01 0:00:00,2352000
VILLA PARK,TBD,BIERMANN AVENUE IMPROVEMENT PROJECT (SUNSET TO NORTH AVENUE),IL0430800,2022-05-01 0:00:00,874000
WATERLOO,3864,NEW WATER TREATMENT PLANT,!L1330300,2023-01-15 0:00:00,24000000
WESTMONT,5128,NEW 1 MILLION GALLON ELEVATED STORAGE TANK,IL0430950,10/1/2023,6260000
WOODLAND,TBD,"NEW ELEVATED WATER TANK, NEW WELL, REPLACEMENT OF 6 HYDRANTS, & NEW AERATOR EQUIPMENT AT THE EXISITING WTP",!L0751000,2023-02-01 0:00:00,1260000
YATES CITY,6114,NEW WELLAND TRANSMISSION MAIN TO WTP,IL0950700,2023-04-03 0:00:00,1200000
EVANSTON,5393,WATERMAIN REPLACEMENT & LINING,IL0310810,2023-05-16 0:00:00,860000
CENTRAL LAKE COUNTY JAWA,5186,54-INCH RAW WATER INTAKE FROM LAKE MICHIGAN,IL0971070,2024-06-30 0:00:00,15000000
GODLEY PUBLIC WATER DISTRICT,5401,NEW TRANSMISSION MAIN TO CONNECT WITH COAL CITY,IL1970130,10/1/2022,3500000
HILLCREST,6034,IRON REMOVAL AT TREATMENT PLANT & WELL PUMPING AND ELECTRICAL UPGRADES,1Ll410250,2024-02-01 0:00:00,3121000
HILLCREST,6035,"NEW 250,000-GALLON WATER STORAGE TANK",IL1410250,2025-01-01 0:00:00,1655500
LITCHFIELD,4051,"WATERMAIN REPLACEMENT, LINING & EXTENTION",!L1350400,11/15/2022,1695276
