APPLICANT NAME,REGION,DEP PROJECT RATING,STREET ADDRESS,CITY,COUNTY,PWSID,PROJRANK,FUND SOURCE,PROJECT COST,MTGDATE,PROJECT TYPE,PROJ. DESCRIPTION,PROB. DESCRIPTION,POPULATION,PV RATING,GREEN PROJECT,GREEN CATEGORY,BUSINESS CASE,GREEN AMOUNT
ERIE CITY WATER AUTHORITY - CUSTOMER SIDE GALVANIZED SERVICE LINE REPLACEMENT - PHASE 4,VI,68,340 WEST BAYFRONT PARKWAY,ERIE,ERIE,6250028,11,DWSRF,"$10,000,000",10/15/2025,LSL,"The project will replace galvanized, or wrought iron, lines on the customer (private) side that are currently or were previously downstream of a lead line, from the curb valve to the location where the service line enters the structure, as well as where the public side of the service line was historically replaced over prior decades. The project is Phase 4 of a 5 Phase effort. The project aims to replace approximately 1,250 total galvanized customer side service lines within the City of Erie over a period of three years.","Erie Water Works (EWW) is on track to remove the majority of all lead goosenecks throughout the system. However, many galvanized requiring replacement customer side service lines remain where the public side of the service line was historically replaced over prior decades, most often due to leaks or ahead of street paving projects. In addition to being downstream of a gooseneck that was previously removed in prior years, many of these service lines when excavated, are found to be deteriorated, corroded, and often leaking.","180,000",103,No,N/A,N/A,$0
PENNSYLVANIA-AMERICAN WATER COMPANY - NEW CUMBERLAND LSLR PHASE 1,III,68,852 WESLEY DRIVE,MECHANICSBURG,CUMBERLAND,7210029,12,DWSRF,"$3,750,000",1/21/2026,LSL,"PAWC is proposing replacement of the customer-owned sides of each of the 382 service lines, which will result in a change in status from lead or GRR to non-lead. Line replacements will be completed using copper pipe and trenchless excavation. After an LSL replacement is completed, PAWC will provide the customer with a pitcher filter certified to ANSI/NSF Standard 53 (basis of design is the Brita OB06 model), six (6) months of replacement cartridges, and a sampling kit to be used for collecting the first draw and 5th liter tap samples. The customer will use the instructions provided in the kit to collect the required follow-up samples. A prepaid shipping label will be included with the kit so the customer can mail the samples to PAWC’s certified laboratory.","The Pennsylvania-American Water Company (PAWC) has applied for PENNVEST funding to replace lead service lines (LSL’s) within their “West” (also known as “New Cumberland”) service area (PWSID: 7210029). A partial service line inventory was provided on November 6, 2025. This inventory included a total of 382 service lines which are non-lead on the supplier-owned side and either lead or galvanized requiring replacement (GRR) on the customer-owned side. The pipe materials were identified through records reviews, customer surveys, or field-verification.","93,368",83,No,N/A,N/A,$0
WATTSBURG BOROUGH - STANDPIPE REPL. AND WATER TREATMENT PLANT UPGRADE ADVANCE FUNDING,VI,68,P.O. BOX 136,WATTSBURG,ERIE,6250094,13,STATE BYPASS,"$540,000",7/16/2025,TREAT,"Current project application is for advanced funding to cover design and permitting. Final project scope may include drilling a second well, replacing aging arsenic treatment system & building, and cleaning/repairing existing water standpipe.","Drinking water system is struggling to meet requirements from state and federal agencies and receiving violations from the DEP. Entire system is aging, more than 90% needs to be replaced.",378,103,No,N/A,N/A,$0
WESTERN BERKS WATER AUTHORITY - WATER TREATMENT PLANT IMPROVEMENTS,III,66,91 WATER ROAD,SINKING SPRING,BERKS,3060066,14,DWSRF,"$41,060,000",10/15/2025,TREAT,"The project includes additions and modifications to the Authority's water treatment plant (WTP) which will enable the facility to provide a long-term, reliable quality and quantity of water. A new sulfuric acid chemical feed system will be added so that the pH of the water entering the WTP can be regulated. The coagulant, fluoride, chlorine, polyphosphate, and ammonium sulfate chemical feed systems will be upgraded with new chemical feed pumps, storage tanks, feed lines, and appurtenances. The existing, outdated Greenleaf filters will be demolished and replaced with four new dual-media rapid rate gravity filters, each with a capacity of 2.67 million gallons per day (MGD). This will allow the WTP to operate at its maximum capacity of 8 million gallons per day(MGD) with one filter out of service. The existing clearwell will be baffled and a new 400,000-gallon clearwell will be constructed to enhance the resiliency of the WTP's disinfection system. Four new 1,800 gallons per minute high service pumps are proposed. Improvements to the sludge handling and processing systems will include a new 54,000-gallon backwash receiving tank, new sludge mixers and pumps, and an additional 3,000-square feet of sludge drying area. WTP's electrical, instrumentation, and process control systems will be upgraded to support the plant improvements.","The Authority's water treatment plant (WTP) serves approximately 25,000 residents in Berks County, PA. The WTP is nearly 50 years old, and many treatment plant components have reached the end of their service life. The Authority has identified deteriorating chemical feed equipment, suboptimal filter backwashing, lack of operational flexibility in the clearwell, and insufficient sludge handling capacity as problems that need to be addressed in a complete WTP rehabilitation. Additionally, the emerging presence of harmful algal blooms (HABs) and cyanotoxins in Blue Marsh Lake present treatment challenges that the current WTP is not equipped to handle.","25,000",81,No,N/A,N/A,$0
CITY OF LANCASTER - LEAD SERVICE LINE REPLACEMENTS 2025,III,66,150 PITNEY ROAD,LANCASTER,LANCASTER,7360058,15,DWSRF,"$1,709,338",7/16/2025,LSL,"The City of Lancaster (City) is applying for PENNVEST funding to replace 108 lead service lines (LSL's), most of which are located in the northwest and west-central regions of the city. All of these lines are lead on the system-owned side according to the City’s records and/or visual observations during the course of other utility work in the street. On the customer-owned side, eight (8) of these lines are lead, 10 are galvanized requiring replacement (GRR), and the remaining 90 are non-lead. All materials on the customer-owned sides of the service lines were field verified within the residences.","The LSL Replacement Plan states that only the lead or GRR segments of the LSL’s will be replaced with copper pipe (the existing copper segments will not be replaced), which is in accordance with DEP’s “Service Line Inventory Form” (3930-FM-BSDW0042a) revised October 2024. After an LSL replacement is completed, the City will provide the customer with a pitcher filter certified to ANSI/NSF Standard 53, six (6) months of replacement cartridges, and a sampling kit to be used for collecting the first draw and 5th liter tap samples. The customer will use the instructions provided in the kit to collect the required samples. The City will then pick up the samples and deliver them to the lab for analysis. This is the same procedure that the City currently uses for regular distribution system lead monitoring, and it has been approved by the Department’s Operations and Monitoring Section.","120,000",101,No,N/A,N/A,$0
CITY OF PHILADELPHIA EAST PARK BOOSTER PUMPING STATION,I,63,1101 MARKET STREET,PHILADELPHIA,PHILADELPHIA,1510001,16,DWSRF,"$68,775,000",1/22/2025,PS,"A new East Park Booster Pump Station will be constructed to replace the aging station and to provide upgrades to existing operations. The proposed project includes constructing a new building in the vicinity of the existing booster pump station. The new station will improve emergency resiliency by providing four pumps with 24 million gallon per day (MGD) capacity each, which provides an additional pump to allow for maintenance and repairs along with on-site emergency backup.","The existing East Park Booster Pump Station, built in 1937 near the intersection of Girard Avenue and 33rd Street, is a critical station in Philadelphia Water Department’s distribution system feeding the sole water transmission main that moves water from the east to the west side of the Schuylkill River. The station’s two main functions are to provide approximately seven (7) MGD of water into the Belmont gravity district during typical operation, and to act as the only emergency backup to the Belmont Water Treatment Plant during events, such as treatment plant upsets and large transmission main breaks. The existing station has three (3) pumps with a rated capacity of 25 MGD.","1,600,000",78,Yes,Energy Efficiency,N/A,"$8,150,000"
CITY OF PHILADELPHIA GEORGE'S HILL PUMP STATION,I,61,1101 MARKET STREET,PHILADELPHIA,PHILADELPHIA,1510001,17,DWSRF,"$47,650,000",10/15/2025,PS,"This project includes a new pump station at George's Hill Reservoir that will have the capacity to meet the typical peak daily demand of the Belmont High Pressure District at 21 million gallon per day (MGD) with six (6) pumps, redundant feed systems, standby generator, and on-site stormwater management. The upgrades to the existing Belmont station will include replacement of the pumps and interior modifications.",The new George's Hill Pump Station is required to provide redundancy to the Belmont High Service Pressure District and will draw water from the lower regions of West Philadelphia and pump it up to the northern section of this region. The existing Belmont High Pump Station must be upgraded to allow it to work in tandem with the new station. This critical infrastructure will improve functionality and increase resilience during emergency operations.,"1,600,000",76,Yes,Energy Efficiency,Not Required,"$1,760,000"
BOROUGH OF BRACKENRIDGE - WATER FILTRATION PLANT CONSENT ORDER IMPROVEMENTS,V,61,1000 BRACKENRIDGE AVENUE,BRACKENRIDGE,ALLEGHENY,5020006,18,DWSRF,"$5,950,000",4/23/2025,TREAT,"The Borough proposes to upgrade its existing water treatment plant to remedy structural and operational deficiencies. The project includes site piping improvements for the Clearwell and on-site distribution storage tanks to provide automatic shutdown capability isolating the Clearwell from distribution storage, construction of a new flocculation tank with flash mixing, installation of new Lamella plate clarifier equipment inside the existing clarifier tank, repairs and improvements to backwash equalization chamber and piping, improvement in general electrical control systems, and demolition of exterior circular clarifier in accordance with consent order and agreement (COA) with the Pennsylvania Department of Environmental Protection (PADEP).","Brackenridge Borough entered into a COA with the PADEP on June 27, 2024, to improve the water treatment plant. Improvements to the Clearwell and on-site distribution storage tanks are necessary to provide automatic shutdown capability isolating the Clearwell from distribution storage. As part of this project other improvements are proposed to remedy structural repairs needed which include clarifier improvements.","3,700",80,No,N/A,N/A,$0
CLEARFIELD MUNICIPAL AUTHORITY - MONTGOMERY RUN WATER TREATMENT FACILITY UPGRADES,IV,61,107 EAST MARKET STREET,CLEARFIELD,CLEARFIELD,6170008,19,DWSRF,"$25,900,000",4/23/2025,TREAT,"The project will construct a new treatment building which will house the membrane filtration system and associated equipment, as well as a new below grade baffled concrete Clearwell with new high service pumps. Several pieces of process equipment, chemical feed systems, pumps, valves, instrumentation, SCADA, and electrical equipment will also be replaced.",The Montgomery Run Water Treatment Facility is currently under a CO&A with the department and was constructed in 1990. Specific equipment no longer meets DEP regulations and is no longer reliable to produce drinking water to its customers. This project is step one in allowing CMA to move forward to rehabilitate the reservoir.,"14,000",84,No,N/A,N/A,$0
SCHUYLKILL COUNTY MUNICIPAL AUTHORITY MOREA SYSTEM IMPROVEMENTS,II,61,77 MAIN STREET,MOREA COLLIERY,SCHUYLKILL,3540021,20,DWSRF,"$8,450,000",1/22/2025,"SRC, TREAT, DS","The project consists of constructing a new treatment facility including iron and manganese removal, chemical supplication, and disinfection. The system will produce 144,000 gallons per day (GPD) of drinking water. A new 100 gallon per minute (gpm) submersible well pump and two 100 gpm high service booster pumps will be installed as well as 830 linear feet of 8-inch diameter ductile iron transmission main from the treatment plant to the distribution system. Additionally, 120 service lines will be equipped with new meters and any private service lines found to be lead will be replaced and all public service lines will be replaced.","Catastrophic failure hit the Morea Citizens Water Company (MCWC) on December 25, 2022, with a system tank completely failing. With failure of the tank, there was no water storage for operational, emergency, or fire purposes. An emergency interconnection was made to Schuylkill County Municipal Authority (SCMA) and the use of Well No. 2 was discontinued. SCMA has taken over the MCWC system and plans to complete the needed upgrades for source reliability in the event of emergencies or fire service needs.",225,86,No,N/A,N/A,$0
BUCKINGHAM TOWNSHIP HEARTHSTONE PFAS TREATMENT,I,60,3103 PHILMONT AVENUE,HUNTINGDON VALLEY,BUCKS,1090137,21,DWSRF,"$2,672,152",7/16/2025,PFAS,"The proposed treatment system will include a new building to house the proposed treatment system, air stripper, transfer pumps, granular activated carbon (GAC) filtration, and a backwash holding tank. The project will require an air stripper to reduce the radon that will be absorbed. SCADA controls will be installed to tie the PFAS system into the main control system. The project will be located at the Hearthstone Treatment Facility, which serves as a combined treatment facility for wells CS-3 and CS-4.","The Buckingham Township Cold Spring System serves residents in the northern portion of the Township. Samples of water collected at Entry Point (EP) 102 for wells CS-3 and CS-4 have been analyzed for PFOA and PFOS. Analytical results indicate PFOS levels of 12.56 ppt and PFOA level o 13.31 ppt at EP 102. It was also determined that an air stripper will be required to reduce the radon level in the water which impact the carbon disposal. The radon level, while not excessive, would cause a higher level of radioactive carbon for disposal which could cause higher disposal or reconditioning costs for the carbon.","4,760",65,No,N/A,N/A,$0
2025 NORTHAMPTON BUCKS COUNTY MUNICIPAL AUTHORITY CHURCHVILLE PUBLIC WATER PROJECT,I,58,111 TOWNSHIP ROAD,RICHBORO,BUCKS,1090089,22,DWSRF,"$19,919,605",4/23/2025,"DS, PFAS, TREAT","The scope of work currently proposed includes extension of the Northampton Bucks County Municipal Authority public water system to residences without water main access in the Churchville Manor and Hillside Manor subdivisions of Northampton Township, in addition to the connections to homes in the Churchville area that currently have water main access (for a total of 334 connections). The proposed work includes the construction of 8-inch water main, water service connections, fire hydrant and flushing station installations, and trench restoration. Project also includes PFAS treatment upgrades to all the NBCMA public wells that supply the PWS.","The Northampton, Bucks County Municipal Authority (NBCMA), is planning the connection of numerous parcels identified by NBCMA and Northampton Township to the public water system (PWS), in addition to treatment upgrades to all the NBCMA public wells that supply the PWS. NBCMA is currently participating in an Environmental Services Cooperative Agreement (ESCA) with the United States (US) Department of the Navy related to past activities which occurred at the former Naval Air Warfare Center (NAWC) Warminster facility neighboring Northampton Township to address groundwater contamination issues resulting from perfluorooctanesulfonic acid (PFOS) and perfluorooctanoic acid (PFOA). As per current ESCA modification No. 000004 “it is anticipated that future connections to the PWS will be required in addition to the construction/installation of new treatment systems to the public well number 7.” NBCMA is committed to fulfilling the ESCA with the Navy. NBCMA also will be required to install additional treatment systems to each of its public wells that supply the PWS as the new EPA MCLs of per- and polyfluoroalkyl substances (PFAS) will be enforced in approximately five years. Well source has PFOA level of 12.9 ppt and PFOS level of 6.8 ppt. Recurring exceedances of the proposed EPA PFAS MCLs, there have been exceedances of the Pennsylvania PFAS MCLs at Wells 2 and 4 in 2024. Furthermore, inquiries from residents about public water connection and access has spiked in recent times as residents have become more aware about the potential contamination issues.","36,750",63,No,N/A,N/A,$0
PITTSBURGH WSA - 2023 SMALL DIAMETER WATER MAIN REPLACEMENT (NON-LEAD),V,53,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY,5020038,23,DWSRF,"$62,672,221",10/16/2024,DS,"This project will replace an estimated 52,880 feet of 8-inch and 12-inch water lines thus replacing older and undersized mains. 2023 Small Diameter Water Main Replacement – Contract A1, 2023 Small Diameter Water Main Replacement – Contract B1, and 2023 Small Diameter Water Main Replacement – Contract B2 include the replacement of aging 8” to 12” diameter pipes with new zinc coated ductile iron pipe ranging from 8” to 12”. This work includes the replacement of water mains, valves, fire hydrants, and water service lines. Water mains were selected for replacement based on a number of risk-factors, including the prioritization of undersized mains, and mains with a history of break.","Due to the advanced age of the pipes, replacement of these mains will reduce the frequency of water main breaks, which will minimize the risk to public health caused by the resulting potential exposure to infectious diseases and will reduce the impact of unplanned water outages and street closures required due to emergency repairs. The replacement of older, leak prone mains will also provide for more efficient management of water resources by reducing the amount of treated water that is lost from the system. Furthermore, the additional volume of water that will be able to be delivered to areas with inadequate flow will reduce restrictions on development within the affected areas","520,000",84,Yes,Water Efficiency,N/A,"$68,646,695"
PITTSBURGH WATER & SEWER AUTH. - 2024 AND 2023 A2 SMALL DIA. MAIN REPL. (NON-LEAD),V,53,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY,5020038,24,DWSRF,"$70,350,208",10/15/2025,DS,"This project will replace an estimated 49,710 feet of 4-inch and 16-inch water lines thus replacing older and undersized mains. 2023 Small Diameter Water Main Replacement – Contract A2, 2024 Small Diameter Water Main Replacement – Contract B, and 2024 Small Diameter Water Main Replacement – Contract C include the replacement of aging 4” to 16” diameter pipes with new zinc coated ductile iron pipe ranging from 4” to 16”. This work includes the replacement of water mains, valves, fire hydrants, and water service lines. Water mains were selected for replacement based on a number of risk-factors, including the prioritization of undersized mains, and mains with a history of break.","Due to the advanced age of the pipes, replacement of these mains will reduce the frequency of water main breaks, which will minimize the risk to public health caused by the resulting potential exposure to infectious diseases and will reduce the impact of unplanned water outages and street closures required due to emergency repairs. The replacement of older, leak prone mains will also provide for more efficient management of water resources by reducing the amount of treated water that is lost from the system. Furthermore, the additional volume of water that will be able to be delivered to areas with inadequate flow will reduce restrictions on development within the affected areas.","520,000",80,Yes,Water Efficiency,Not Required,"$86,181,584"
PA AMERICAN WATER COMPANY - BERWICK PFAS WTP,IV,51,P O BOX 267,BERWICK,COLUMBIA,4190013,25,DWSRF,"$25,450,000",10/15/2025,"TREAT, PFAS","This project includes constructing a new water treatment plant (WTP). Raw water from the four wells will be conveyed from the Canal Street well site via a new pipeline to the new WTP. The WTP will have a buried clearwell, wetwell, and granular activated carbon (GAC) pressure filters. Disinfection and corrosion control will be included at the new facility. Sodium hypochlorite will replace the existing gas chlorine system. A corrosion inhibitor will be used, consistent with the current chemical used at the existing treatment site. The finished water will be conveyed from the new WTP to the existing distribution system via a new finished water transmission main.",The project aims to add the perfluoroalkyl and polyfluoroalkyl substances (PFAS) removal capabilities at the Pennsylvania American Water Company (PAWC) Berwick facilities. Current well source has identified PFOA level of 11.5 ppt. The project will reduce the PFOA levels in the finished drinking water to the customers.,"16,000",70,No,N/A,N/A,$0
ALTOONA WATER AUTHORITY - HORSESHOE CURVE AND KETTLE WATER TP OZONE SYS. UPGRADE,III,51,20 GREENWOOD ROAD,ALTOONA,BLAIR,4070023,26,DWSRF,"$9,750,000",7/16/2025,TREAT,"The existing ozonation systems at the Kettle WTP (one treatment train) and the Horseshoe Curve WTP (two treatment trains) will be replaced with new equipment including systems for liquid oxygen storage and preparation, nitrogen generation, ozone generation, gas injection, ozone destruction, and ambient gas monitoring. Additionally, the aluminum sulfate and sodium hydroxide bulk chemical storage tanks will be replaced at the Horseshoe Curve WTP.","The Altoona Water Authority (Authority) operates six (6) water treatment plants (WTPs), all of which use ozone for the dual purposes of taste/odor control and oxidation of iron/manganese. Ozonation systems were first installed in each of the WTPs in the 1990s, and those systems started reaching the end of their design life after almost 30 years of use. The old systems are no longer manufactured and the Authority has found it difficult to acquire spare parts. The Authority has upgraded the ozone systems at the Mill Run, Plane Nine, and Tipton WTPs and upgrades at the Bellwood WTP are currently under construction. Similar upgrades are now planned for the Kettle WTP and the Horseshoe Curve WTP.","62,500",66,No,N/A,N/A,$0
LIVERPOOL MUNICIPAL AUTHORITY- 2025 WATER SYSTEM IMPROVEMENTS,III,50,P O BOX 241,LIVERPOOL,PERRY,7500014,27,STATE BYPASS,"$930,000",7/16/2025,DS,"The Borough has identified a section of watermain pipe located within Front Street between State Route 17 and Perry Street as a high priority for replacement. This project includes the replacement of approximately 3,640 linear feet of existing 6-inch cast iron pipe with new 6-inch diameter ductile iron (DI) pipe. The project will also include the replacement of 65 water service lines and curb stops, the installation of four (4) fire hydrants, and the installation of 13 gate valves. The new water main will allow for the safe distribution of finished water to the Borough’s existing and future customers.","Liverpool Borough's water distribution system includes aged cast iron watermains which are 60 years old. Despite leak detection and repair efforts, the distribution system has been experiencing an increasing number of main breaks resulting in service disruptions to customers and unaccounted water loss.",934,65,Yes,Water Efficiency,Not Required,"$1,913,100"
MASONTOWN BOROUGH WATER METER REPLACEMENT PROJECT,V,49,2 COURT AVENUE,MASONTOWN,FAYETTE,5260013,28,DWSRF,"$4,498,972",10/15/2025,METERS,The proposed Project is to install exterior meter pits and replace meters at all service connections in order to reduce Borough water losses from the service connection to the customer water meter (currently located in the home).,Water meters are currently located within the customer's house and therefore all water losses from the water main to the customer are borne by Masontown Borough. The intent of the Project is to relocate the water meter to the legal line of ownership.,"3,700",72,Yes,Water Efficiency,N/A,"$4,498,986"
