"System Name","PWSID","Est. Loan Amount","Points","Rank","Population","Project Description","Est. Date to Close Loan"
"Magnolia Plantation Water System,Inc.","1113032","7520000","13","40","8325","The proposed project will provide additional capacity and storage to the distribution system in order to meet current demand and address issues and violations. BIL BS funding","March-25"
"Village of Forest Hill","1125010","919000","13","41","10946","The proposed project consist of installing drive-by-meters throughout the parish to reduce water loss and accurately measure usage. The WS will also upgrade chemical feed equipment at each well site thoughout the parish.","September-24"
"Mire Branch Water Corporation, Inc.","1001024","6130000","12","42","9063","Replace Well #1 with a new 750 gpm well; piping modifications so new well and well #3 can supply both Plants #1 and #2; new filter and softener, new 500K grd storage tank and replace existing high service pumps and generator. BIL BS funding","October-24"
"Village of Forest Hill","1079009","919000","11","43","2700","Proposed project involves the construction of a new 300 gpm water well located at the Town Hall elevated tank site. The project shall include all electrical and controls, piping and chlorination equipment.","September-24"
"Town of St Francisville","1125006","800000","11","44","2800","Replacement of existing water meters to automatic read water meters. BIL GS funding","September-24"
"Buckeye Water District No. 50, Inc Loan 3","1079004","3630000","11","45","11955","The proposed project includes a new production well in higher plane, adding a new entry point to the system and installing 6"" wter main to complete the loop of the two sides.","July-24"
"Sewage and Water Board of New Orleans - Carrollton Water Works","1071009","85806446","10","46","369749","BIL Lead Service Line Replacement. As the work identifying and quantifying LSLs throughout the City of New Orleans is underway, all estimates of cost in this loan application are preliminary and subject to revision. Still, SWBNO estimates removal of LSL to be a multi-decade program. Taking costs from current public bids for both LSL removal and street paving costs, SWBNO estimates an average cost of $12,569.42 per LSL replaced, for approximately 1,671 LSL replaced per year.","October-24"
"City of Bossier City","1031030","550000","10","47","6822","To add an additonal 1.3 MGD MIEX system, increase treatment requirements to accommodate 2.3 MGD capacity (Filtration & Sedimentation). Distribution system improvements (GST, pumps, booster station) to have the capacity to tie into water systems with an emergency connection.","August-24"
"Northwest Allen Parish Water District","1003003","2125000","9","48","1692","Install 2 greens sand type filters, filter housing buildings, backwash lagoons at the water district's 2 well sites for manganese removal. BIL EC funding","August-24"
"Town of Basile","1039001","750000","9","49","2400","Recoat failing coatings onexisting 250,000 gallon elevated storage tank. Bring the Town's facilities into compliance with Section 225(S) of the LA Water Standards, which requires that proper protectionshall be given to metal surfaces by paints or other protective coatings. BIL GS funding","October-24"
"Calcasieu Parish WW District No. 1","1019051","7000000","9","50","20000","New treatment plant (two wells;pre-treatment aeration;six greensand filters;chlorin, KMnO4, and caustic feed systems; control building;backwash decant waste collector; and associated piping and electrical systems) BIL GS Funding","April-25"
"Calcasieu Parish WW District No. 1","1019051","2900000","9","51","20000","New Manganese Green Sand Filters for treatment Plant. BIL EC Funding","April-25"
"Tangipahoa Water District, Inc.","1105008","6000000","9","52","59529","New water well and elevated tank within current system and/or to assist with acquisition of nearby systems. BIL BS funding","October-25"
"Hilly-Greenwood Water System, Inc.","1055046","1050000","7","53","11123","The proposed project consists of the construction of a new 1.8 MGD water treatment plant and administrative office building for Milton Water System. Upon completion of the WTP Milton WS will merge with Milton Purchase WS as one water system. The new WTP will include three 1,000 GPM wells, six filters, two 500,000 gallon GST, a generator and a new 2,100 square foot office building.","October-24"
"Town of Walker","1063017","2301125","5","54","1380","The proposed project consist of the construction of a new water well and ancillary improvements associated with new water well are proposed as well. August-24","August-24"
"City of Bossier City","1015004","30000000","5","55","13530","The proposed project is for manganese filtration system to be installed at Well #4 that has elevated manganese levels. September-25","September-25"
"French Settlement Water Company, Inc.","1063028","2750000","4","56","2676","Installation of greensand filter banks at the Firestation and Simoneaux well sites to remove manganese. The project is submitted for BIL Emerging Contaminants funds to address manganese treatment. December-24","December-24"
"City of Natchitoches","106007","2270000","N/A","57","2711","BIL Conduct a Lead Service Line (LSL) Inventory. The goal is to 'define and execute a plan to comply with the revised Lead and Copper Rule, including developing an inventory, categorized by customer address, for the City of Natchitoches with fully known SL material information. Available in Subconsutant 120Water Platform and ArcGIS-compatible format (via 120 Water Esri Connector), provide SLI Verfication, and water quality lead and copper sampling services.' The Scope of Work (SOW) provided with the application describes 7 phases inventory development and each phase has a deliverable.","August-24"
"City of Mansfield","1031009","1135000","N/A","58","6450","BIL Conduct a Lead Service Line (LSL) Inventory. The goal is to 'define and execute a plan to comply with the revised Lead and Copper Rule, including developing an inventory, categorized by customer address, for the City of Mansfield with fully known SL material information. Available in Subconsutant 120Water Platform and ArcGIS-compatible format (via 120 Water Esri Connector), provide SLI Verfication, and water quality lead and copper sampling services.' The Scope of Work (SOW) provided with the application describes 7 phases inventory development and each phase has a deliverable.","August-24"
