RANK,SYSTEM,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
75,Saint Paul Regional Water Services,Other - LSL Replacement Phase 3,1620026-25,20.0,"305,877","$15,000,000.00"
76,Sauk Rapids,Other - LSL Repl Along 2nd Ave. South,1050004-6,20.0,"13,830","$1,167,595.00"
77,Sauk Rapids,Treatment - PFAS TP Upgrade & New Wells,1050004-7,20.0,"13,830","$6,182,000.00"
78,Bird Island,Other - LSL Replacement,1650001-8,20.0,960,"$89,400.00"
79,Nashwauk,Other - LSL Replacement,1310024-6,20.0,"1,144","$544,000.00"
80,New Ulm,Other - LSL Replacement,1080003-5,20.0,"14,052","$183,600.00"
81,Moorhead,Other - LSL Replacement Phase 2,1140008-12,20.0,"43,409","$575,000.00"
82,Moorhead,Other - LSL Replacement Phase 3,1140008-15,20.0,"43,409","$790,625.00"
83,Moorhead,Other - LSL Replacement Phase 4,1140008-18,20.0,"43,409","$431,250.00"
84,Moorhead,Other - LSL Replacement No Watermain,1140008-21,20.0,"43,409","$937,500.00"
85,Moorhead,Other - LSL Replacement Phase 1,1140008-9,20.0,"43,409","$1,365,000.00"
86,Howard Lake,Other - LSL Replacement,1860010-11,20.0,"1,897","$121,500.00"
87,Howard Lake,Treatment - Manganese Treatment Plant,1860010-8,20.0,"1,897","$11,610,000.00"
88,Altura,Other - LSL Replacement,1850018-4,20.0,373,"$184,000.00"
89,Rose Creek,Other - LSL Replacement,1500014-3,20.0,454,"$243,000.00"
90,South Saint Paul,Other - LSL Replacement,1190020-4,20.0,"20,132","$3,115,000.00"
91,Saint Paul Regional Water Services,Other - LSL Replacement Phase 4,1620026-26,20.0,"309,751","$35,000,000.00"
92,Wood Lake,Other - LSL Replacement,1870008-6,20.0,426,"$84,000.00"
93,Alden,Other - LSL Replacement,1240004-8,20.0,680,"$200,000.00"
94,Minneapolis,Other - LSL Replacement Streets Year 1,1270024-14,20.0,"424,536","$360,000.00"
95,Minneapolis,Other - LSL Replacement Streets Year 2,1270024-15,20.0,"424,536","$8,064,900.00"
96,Minneapolis,Other - LSL Replacement Streets Year 3,1270024-16,20.0,"424,536","$8,306,847.00"
97,Minneapolis,Other - LSL Replacement Streets Year 4,1270024-17,20.0,"424,536","$8,556,052.00"
98,Minneapolis,Other - LSL Repl Green Zones Year 1,1270024-18,20.0,"424,536","$5,166,000.00"
99,Minneapolis,Other - LSL Repl Green Zones Year 2,1270024-19,20.0,"424,536","$5,840,100.00"
100,Minneapolis,Other - LSL Repl Green Zones Year 3,1270024-20,20.0,"424,536","$6,015,303.00"
101,Minneapolis,Other - LSL Repl Green Zones Year 4,1270024-21,20.0,"424,536","$6,195,762.00"
102,Anoka,Other - LSL Replacement (2024 St Area),1020001-1,20.0,"17,749","$250,000.00"
103,Anoka,Other - LSL Replacement (2000-14 Street),1020001-3,20.0,"17,749","$1,000,000.00"
104,Fridley,Treatment - PFAS Treatment Locke Park TP,1020031-3,20.0,"29,422","$6,375,000.00"
105,Minneapolis,Other - LSL Repl (Leaking LSL),1270024-22,20.0,"425,091","$1,590,000.00"
106,Montrose,Treatment - Manganese Plant,1860016-5,20.0,"3,505","$13,850,000.00"
107,Maple Plain,Other - LSL Replacement,1270021-6,20.0,"1,650","$55,000.00"
108,Norwood-Young America,Other - LSL Replacement-Railroad St.,1100019-3,20.0,"3,838","$110,000.00"
109,Norwood-Young America,Other - LSL Replacement-SW 4th Ave.,1100019-5,20.0,"3,162","$110,000.00"
110,Easton,Consolidation - Connection to Wells,1220005-5,18.0,199,"$3,873,000.00"
111,Coates,Other - New System Supplied by Rosemount,1190035-1,17.5,25,"$16,800,000.00"
112,Cuyuna,Source - Repl with Wells #2 & #3/Treat,1180011-4,15.0,231,"$459,300.00"
113,Belview,Source - New Wells & Raw Watermain,1640001-1,15.0,360,"$549,000.00"
114,Middle River,"Source - New Well, Pumphouse & Sealing",1450006-2,15.0,309,"$325,000.00"
115,Aurora,Consolidation - E Mesabi Joint Water Sys,1690002-6,15.0,"2,225","$27,166,202.00"
116,LaSalle,Source - Connect to Red Rock RWS,1830009-2,15.0,90,"$701,000.00"
117,Granada,Source - Replacement Well,1460004-4,15.0,247,"$325,000.00"
118,Balaton,Source - New Well & Sealing,1420001-3,15.0,601,"$568,100.00"
119,Brooten,Source - Replace Wells #1 & #2,1730005-5,15.0,550,"$415,000.00"
120,Foley,Other - LSL Replacement,1050001-11,15.0,"2,712","$968,200.00"
121,Foley,Treatment - Manganese Treatment Plant,1050001-4,15.0,"2,712","$5,245,500.00"
122,Utica,Other - LSL Replacement,1850011-6,15.0,184,"$130,000.00"
123,Cottonwood,Other - LSL Replacement,1420002-4,15.0,"1,160","$275,000.00"
124,North Mankato,Other - LSL Replacement,1520005-2,15.0,"14,356","$780,000.00"
125,Eagle Lake,Treatment - Manganese TP & New Well,1070002-3,15.0,"3,064","$12,550,000.00"
126,Wyoming,Treatment - New Ra/Fe/Mn Plant,1130018-4,15.0,"3,850","$8,057,500.00"
127,Mazeppa,Other - LSL Replacement,1790009-4,15.0,956,"$153,000.00"
128,Lafayette,Treatment - Plant Addition,1520002-1,15.0,545,"$2,606,337.00"
129,South Haven,Source - New Well & Pump House,1860021-2,15.0,174,"$1,700,000.00"
130,Okabena,Treatment - Manganese Well & TP,1320005-3,15.0,238,"$3,200,000.00"
131,Buckman,Treatment - Manganese Treatment Plant,1490001-1,15.0,318,"$2,811,000.00"
132,Inver Grove Heights,Treatment - Radium Treatment Plant Rehab,1190014-2,15.0,"35,539","$4,900,000.00"
133,Mound,Treatment - Manganese Plant,1270038-1,15.0,"9,480","$36,487,000.00"
134,Shafer,Treatment - Manganese Treatment Plant,1130014-4,15.0,"1,140","$4,325,600.00"
135,Waconia,Other - LSL Replacement,1100010-3,15.0,"12,773","$495,000.00"
136,Watertown,Other - LSL Replacement,1100012-6,15.0,"4,659","$72,150.00"
137,Lino Lakes,Treatment - Manganese Treatment Plant,1020023-3,15.0,"21,180","$34,500,000.00"
138,Otsego,Treatment - Manganese Pumphouse 3,1860026-2,15.0,"19,565","$4,800,000.00"
139,Otsego,Treatment - Manganese Pumphouse 4,1860026-3,15.0,"19,565","$4,800,000.00"
140,Nielsville,Other - Connect to North Dakota ECRWD,1600012-6,13.0,82,"$1,675,173.00"
141,Clinton,Source - New Well,1060003-1,13.0,450,"$196,250.00"
142,Aitkin,Source - Well Installation,1010001-9,13.0,"2,126","$456,250.00"
143,Morgan,"Source - New Wells, Seal Old Wells",1640006-4,13.0,896,"$225,000.00"
144,Kilkenny,Source - New Well & Wellhouse,1400007-1,13.0,119,"$2,206,000.00"
145,Perham,"Source - Well #10, Seal #3 & 4",1560023-10,13.0,"3,421","$505,000.00"
146,Danube,Source - New Well,1650004-1,13.0,493,"$313,000.00"
147,Swanville,"Source - New Well, Seal #1",1490007-10,13.0,311,"$486,000.00"
148,Beardsley,Source - New Well & Sealing,1060002-4,13.0,195,"$230,100.00"
149,Maple Plain,Source - New Well #4 & Test Well,1270021-4,13.0,"1,768","$585,000.00"
150,Prinsburg,Source - New Well,1340007-5,13.0,523,"$224,000.00"
151,Gem Lake,Watermain - Localized Water Distribution,1620038-1,12.5,500,"$6,860,000.00"
152,Onamia,Treatment - New Plant,1480003-4,12.0,871,"$6,296,514.00"
153,Floodwood,Watermain - Looping,1690048-4,12.0,501,"$727,300.00"
154,Clinton,Watermain - Looping,1060003-4,12.0,450,"$376,180.00"
155,Gonvick,Treatment - Plant Rehab,1150005-1,12.0,284,"$275,000.00"
156,Gonvick,Watermain - Repl Various Areas,1150005-2,12.0,284,"$3,243,000.00"
157,Hackensack,Watermain - Looping Project,1110008-5,12.0,277,"$662,600.00"
158,Bigfork,Source - New Well & Plant Rehab,1310001-6,12.0,443,"$129,489.00"
159,New Auburn,Watermain - Replace & Loop,1720007-3,12.0,485,"$675,000.00"
160,Vesta,Watermain - Repl & Loop South Street,1640012-5,12.0,319,"$236,000.00"
161,Sebeka,Watermain - Repl & Loop - Phase 1,1800002-10,12.0,777,"$1,450,280.00"
162,Dawson,Treatment - Plant Rehab,1370003-6,12.0,"1,540","$1,232,500.00"
163,Wells,Treatment - Lime Softening Plant,1220010-2,12.0,"2,307","$6,405,000.00"
164,Browns Valley,Watermain - Replace & Loop,1780001-1,12.0,595,"$1,888,230.00"
165,Browns Valley,Source - Two New Wells,1780001-2,12.0,595,"$197,150.00"
166,Elbow Lake,Watermain - Replace & Loop 2nd,1260003-7,12.0,"1,200","$1,200,000.00"
167,Pine City,Watermain - Second River Crossing,1580008-3,12.0,"3,127","$306,800.00"
168,Pine City,Watermain - Northwest Looping,1580008-4,12.0,"3,113","$505,000.00"
169,Two Harbors,Treatment - Repl Chlorine Contact Tank,1380005-4,12.0,"3,613","$8,742,361.00"
170,Nielsville,Treatment - Wellhouse Rehab,1600012-3,12.0,89,"$271,310.00"
171,Saint James,Watermain - Ring Road Loop,1830006-8,12.0,"4,611","$296,465.00"
172,Amboy,Treatment - RO for Chlorides,1070001-2,12.0,507,"$1,749,665.00"
173,Madison,Watermain - NW Area Loop,1370004-5,12.0,"1,647","$1,025,018.00"
174,Madelia,Watermain - Looping,1830004-5,12.0,"2,319","$576,000.00"
175,LaSalle,Watermain - Looping,1830009-3,12.0,90,"$332,000.00"
176,Ruthton,"Treatment - Fe, Mn",1590007-1,12.0,282,"$2,805,000.00"
177,Ruthton,Watermain - Looping,1590007-3,12.0,282,"$334,000.00"
178,Mankato,Source - New Well #17,1070009-7,12.0,"42,803","$4,760,000.00"
179,Annandale,Watermain - Repl Elm St. & Loop Poplar.,1860002-7,12.0,"3,334","$1,724,315.00"
180,Kinney,Treatment - New Facility,1690031-2,12.0,176,"$2,439,600.00"
181,Buffalo Lake,Treatment - Plant Rehab & New Well,1650003-5,12.0,653,"$1,738,000.00"
182,International Falls,Treatment - Plant Rehab,1360002-1,12.0,"5,816","$11,660,000.00"
183,Ellsworth,Watermain - Replace & Loop,1530005-1,12.0,171,"$893,400.00"
184,Danube,Watermain - Looping,1650004-4,12.0,493,"$304,000.00"
185,Bowlus,Source - Backup Well & Wellhouse,1490009-2,12.0,300,"$125,000.00"
186,Bowlus,Source - New Well & Wellhouse,1490009-3,12.0,300,"$600,000.00"
187,Fertile,Watermain - Replace & Loop,1600008-6,12.0,931,"$1,050,000.00"
188,Pelican Rapids,Watermain - Replace & Loop - Phase 2,1560019-4,12.0,"2,374","$1,904,263.00"
189,Stewart,Watermain - Looping Improvements,1430009-7,12.0,610,"$1,316,700.00"
190,Worthington,Treatment - Plant Rehab,1530011-1,12.0,"13,093","$2,395,000.00"
191,Balaton,Treatment - Rehab Plant,1420001-5,12.0,601,"$5,437,100.00"
192,Amboy,"Watermain - Repl North St.,Loop Radke St",1070001-1,12.0,651,"$1,150,875.00"
193,Warren,Watermain - Repl 7th Ave & Loop,1450012-7,12.0,"1,606","$490,000.00"
194,Bellingham,Treatment - New Plant,1370001-1,12.0,168,"$3,000,000.00"
195,Rushmore,Treatment - New IE & RO Plant,1530009-6,12.0,342,"$2,282,000.00"
196,Blue Earth Light and Water,Watermain - Looping,1220001-6,12.0,"3,252","$4,668,058.00"
197,Garfield,Treatment - New Fe/Mn Plant & Well,1210021-1,12.0,362,"$4,536,000.00"
198,Verdi,Watermain - Replace & Looping,1410005-1,12.0,32,"$1,567,000.00"
199,Gilbert,Treatment - New Treatment Plant,1690020-8,12.0,"1,829","$12,759,000.00"
200,Hokah,Treatment - New Plant or Blend,1280004-5,12.0,572,"$3,000,000.00"
201,Comfrey,Watermain - Looping,1080001-6,12.0,360,"$349,000.00"
202,Winsted,Source - New Well #5,1430010-6,12.0,"2,296","$750,000.00"
203,Winsted,Watermain - CSAH 9 Looping w/Baker Ave,1430010-7,12.0,"2,296","$980,000.00"
204,Hector,Watermain - looping,1650009-5,12.0,972,"$477,000.00"
205,Atwater,Source - Well & Wellhouse Improvements,1340001-8,12.0,"1,014","$1,330,000.00"
206,Underwood,Treatment - Replace Plant,1560026-6,12.0,389,"$3,000,000.00"
207,Franklin,Watermain - Looping,1650006-6,12.0,508,"$195,880.00"
208,Silver Bay,Treatment - Plant Improvements,1380003-11,12.0,"1,610","$7,950,000.00"
209,Beardsley,Watermain - Replace & Loop,1060002-2,12.0,195,"$3,472,240.00"
210,Luverne,Watermain - Lewis & Clark 2nd Connection,1670004-2,12.0,"4,564","$3,000,000.00"
211,Arlington,Treatment - Rehab Plant & Well 2,1720001-2,12.0,"2,230","$3,500,000.00"
212,Raymond,Treatment - New Plant,1340008-2,12.0,722,"$4,742,000.00"
213,Upsala,Watermain - Repl & Loop,1490008-4,12.0,497,"$520,000.00"
214,Felton,Source - New Wells,1140012-2,12.0,135,"$189,000.00"
215,Kandiyohi,Treatment - New Fe/Mn Plant & Wells,1340003-3,12.0,554,"$3,620,000.00"
216,Kandiyohi,Watermain - Looping,1340003-5,12.0,554,"$433,000.00"
217,Browerville,Watermain - Replace & Loop,1770002-6,12.0,689,"$6,569,018.00"
218,Bird Island,Watermain - Looping Improvements,1650001-6,12.0,960,"$327,600.00"
219,LeSueur,Treatment - Plant Rehab,1400010-6,12.0,"4,174","$4,000,000.00"
220,LeSueur,Watermain - New Booster Station & Wtrmn,1400010-9,12.0,"4,174","$2,200,000.00"
221,Vesta,Watermain - Replace & Looping,1640012-7,12.0,315,"$8,121,000.00"
222,Perley,Watermain - Replace & Loop,1540006-1,12.0,101,"$3,662,000.00"
223,Clearwater,Source - New Wells & Wellhouse,1860025-5,12.0,"1,859","$2,895,000.00"
224,Randolph,"Source  New Well, Rehab Wellhouse",1190025-1,12.0,355,"$888,000.00"
225,Northfield,Treatment - Gravity Filters and RO,1660010-2,12.0,"19,449","$33,450,000.00"
226,Monticello,Treatment - New Water Treatment Plant,1860012-1,12.0,"13,583","$31,000,000.00"
227,South Saint Paul,Treatment - New Radium/Mn/Fe Plant,1190020-3,12.0,"20,637","$9,612,412.00"
228,Zimmerman,Treatment - New Pressure Filter Plant,1710006-8,12.0,"5,657","$6,750,000.00"
229,Excelsior,Treatment - Plant Rehab,1270012-2,12.0,"2,414","$3,020,000.00"
230,Harris,Watermain - Looping,1130005-5,12.0,890,"$541,600.00"
231,Harris,Source - New Well,1130005-6,12.0,890,"$600,000.00"
232,Mendota,Watermain - Area 1 Loop,1190030-2,12.0,140,"$1,795,000.00"
233,Mendota,Watermain - Area 3 Loop,1190030-4,12.0,140,"$2,066,000.00"
234,Myrtle,Storage - New Hydropneumatic Tank,1240015-2,11.0,48,"$9,800.00"
235,Deerwood,"Storage - Replace w/100,000 Gal Tower",1180012-6,11.0,532,"$923,000.00"
236,Madelia,"Storage - New 200,000 Gal Tower",1830004-4,11.0,"2,319","$1,170,000.00"
237,Waseca,Storage - New 1MG West Side Tower,1810004-4,11.0,"9,124","$4,750,000.00"
238,Balaton,Storage - Tower Replacement,1420001-2,11.0,601,"$2,599,900.00"
239,Raymond,"Storage - New 100,000 Gal Tower",1340008-3,11.0,722,"$2,495,000.00"
240,Kandiyohi,"Storage - Repl Tower w/75,000 Gal Tower",1340003-4,11.0,554,"$1,449,000.00"
241,Ghent,"Storage - New 50,000 Gal Tower",1420004-1,11.0,497,"$1,782,100.00"
242,North Saint Paul,Storage - 0.75 Composite Water Tower,1620011-1,11.0,"12,406","$4,400,000.00"
243,Zimmerman,Storage - New 0.4 MG Tower,1710006-9,11.0,"5,657","$2,100,000.00"
244,Rich Prairie Sewer and Water District,Watermain - Replace Watermain,1490004-5,10.0,"1,500","$638,400.00"
245,Cromwell,Watermain - Repl TH 210/TH 73,1090007-7,10.0,229,"$232,000.00"
246,Myrtle,Source - New Pump & Generator,1240015-1,10.0,48,"$58,500.00"
247,Myrtle,Watermain - Replace Mains,1240015-3,10.0,48,"$224,640.00"
248,Onamia,Storage - Tower Rehab,1480003-6,10.0,871,"$365,298.00"
249,Ogilvie,Watermain - Repl E.Rutherford/Hill Ave,1330004-3,10.0,359,"$765,000.00"
250,Floodwood,Watermain - 5th Ave Repl,1690048-2,10.0,501,"$338,375.00"
251,Floodwood,Watermain - Repl 4 Inch Mains,1690048-3,10.0,501,"$2,369,900.00"
252,Isle,Watermain - Replacement,1480001-5,10.0,745,"$2,469,800.00"
253,Isle,Source - Improvements,1480001-6,10.0,745,"$307,700.00"
254,Isle,Storage - Tower Rehab,1480001-7,10.0,745,"$294,500.00"
255,Northome,Watermain - Repl Northeast Watermain,1360005-6,10.0,202,"$1,483,250.00"
256,Northome,"Storage - Replace w/50,000 Gallon Tower",1360005-7,10.0,202,"$942,500.00"
257,Northome,"Conservation-Repl Meters, Service Lines",1360005-8,10.0,202,"$341,250.00"
258,Ironton,Treatment - Replace Plant,1180017-6,10.0,572,"$6,400,000.00"
259,Deerwood,"Watermain - Repl 4 inch Mains, Phase 3",1180012-4,10.0,590,"$1,242,000.00"
260,Brainerd,Treatment - Backwash Recovery,1180002-1,10.0,"13,590","$4,170,000.00"
261,Brainerd,Storage - 2MG Ground Reservoir,1180002-3,10.0,"13,590","$5,992,000.00"
262,Clinton,Storage - Tower Rehab,1060003-3,10.0,450,"$235,600.00"
263,Cuyuna,Storage - Replace with New Tower,1180011-5,10.0,231,"$616,800.00"
264,Cuyuna,Watermain - Replace for City,1180011-6,10.0,231,"$1,273,155.00"
265,Cuyuna,Conservation - Replace Meters,1180011-7,10.0,231,"$55,650.00"
266,Dalton,"Storage - New 50,000 Gal Tower",1560008-5,10.0,256,"$830,000.00"
267,Cosmos,Watermain - Repl - Phase 2,1470011-7,10.0,473,"$2,100,000.00"
268,Aurora,Watermain - W 1st Ave. N. Reconstruction,1690002-7,10.0,"1,709","$2,611,000.00"
269,Aurora,Watermain - W3rd Ave/Main St Replacement,1690002-9,10.0,"1,709","$2,431,000.00"
270,Walnut Grove,Watermain - Replace Old Water Main,1640014-1,10.0,685,"$833,500.00"
271,Cass Lake,Watermain - Repl Various Areas,1110006-5,10.0,750,"$590,000.00"
272,Elmore,Watermain - Repl TH169,1220004-3,10.0,663,"$722,645.00"
273,Wadena,Watermain - Replace SW Portion of City,1800004-4,10.0,"4,293","$4,925,000.00"
274,Brainerd,Storage - Ground Reservoir @ WTP,1180002-4,10.0,"13,373","$5,992,000.00"
275,Brainerd,Conservation -Bckwsh Collection & System,1180002-5,10.0,"13,373","$4,170,000.00"
276,Moose Lake,"Source - Well #1 Rehab, New Well House",1090009-3,10.0,"1,259","$1,100,000.00"
277,Bigfork,Watermain - Replacement,1310001-10,10.0,420,"$1,111,900.00"
278,Bigfork,Storage - Tower Rehab,1310001-8,10.0,446,"$489,600.00"
279,Bigfork,Conservation - Replace Meters,1310001-9,10.0,446,"$88,280.00"
280,New Auburn,Storage - Recoating,1720007-4,10.0,485,"$297,000.00"
281,New Auburn,Other - Meter Repl,1720007-5,10.0,485,"$101,250.00"
282,Marble,Watermain - Downtown Area,1310023-4,10.0,534,"$2,865,000.00"
283,Belview,Storage - Tower Rehab,1640001-3,10.0,360,"$420,000.00"
284,Belview,Conservation - Replace Meters,1640001-5,10.0,360,"$100,000.00"
285,Appleton,Watermain - Water Distribution Imprvmnts,1760001-2,10.0,"1,339","$8,950,000.00"
286,Appleton,Watermain - Replace 20 Blocks,1760001-3,10.0,"1,339","$6,250,000.00"
287,Erskine,Storage - Remove Original Tower,1600005-6,10.0,431,"$58,000.00"
288,Erskine,Watermain - Replace 1947 Lines,1600005-7,10.0,431,"$1,179,150.00"
289,Middle River,Conservation - Repl Meters,1450006-4,10.0,309,"$119,400.00"
290,Aitkin,Storage - Water Tower Installation,1010001-10,10.0,"2,126","$1,875,000.00"
291,Bricelyn,Watermain - CSAH 56 Street Improvements,1220002-1,10.0,292,"$540,000.00"
292,Akeley,Other - Emergency Generator,1290001-5,10.0,386,"$130,000.00"
293,Akeley,Storage - Tower Rehab,1290001-6,10.0,386,"$271,000.00"
294,Akeley,Watermain - CIP Replacement,1290001-7,10.0,386,"$675,000.00"
295,Akeley,Conservation - Meter Replacement,1290001-8,10.0,386,"$198,000.00"
296,Eagle Bend,Watermain -Phase 5,1770004-8,10.0,519,"$899,800.00"
297,Marble,Storage - Tower Replacement,1310023-3,10.0,550,"$1,731,006.00"
298,Marble,Conservation - Meter Replacement,1310023-6,10.0,550,"$4,805,465.00"
299,Middle River,"Storage - Replace 50,000 Gal Tower",1450006-3,10.0,309,"$910,000.00"
300,McKinley,Storage - Tower Improvements,1690033-2,10.0,96,"$438,562.00"
301,Palisade,Watermain - System Improvements,1010013-1,10.0,165,"$2,500,000.00"
302,Palisade,Storage - Tower Improvements,1010013-3,10.0,165,"$300,000.00"
303,Palisade,Source - Well #2 Replacement,1010013-4,10.0,165,"$200,000.00"
304,Ada,Watermain - Repl Various Areas,1540001-3,10.0,"1,709","$1,800,000.00"
305,Heron Lake,"Storage - Replace 100,000 Gal Tower",1320002-3,10.0,691,"$800,000.00"
306,Sebeka,Watermain - Rep. CIP - Phase 2,1800002-11,10.0,676,"$1,080,000.00"
307,Sebeka,Watermain - Repl CIP - Phase 3,1800002-12,10.0,676,"$718,000.00"
