System Name,MDH 2024 PL Rank,MDH 2024 PPL Points,Project Description,Project Number,Population,Est. Const Start,Estimated total project Cost,Estimated project cost PUBLIC,Estimated project cost PRIVATE,Estimated DWRF LSL PF Grant,Estimated DWRF LSL Loan,Estimated State LSL Grant,IUP Status
Chisholm,37,20,Other - LSL Replacement,1690007-4,"4,784",May-24,"300,000","150,000","150,000","150,000","75,000","75,000",Part B
Browerville,38,20,Other - LSL Replacement,1770002-8,920,May-24,"275,000","137,500","137,500","137,500","68,750","68,750",Part B
Wells,40,20,Other - LSL Replacement,1220010-5,"2,283",Jun-24,"50,000","25,000","25,000","25,000","12,500","12,500",Part B
Pipestone,42,20,Other - LSL Replacement Main St. Area,1590005-13,"4,185",Jun-24,"62,500","31,250","31,250","31,250","15,625","15,625",Part B
Hibbing,46,20,Other - LSL Replacement Phase 2,1690022-13,"16,224",Jun-24,"1,512,000","756,000","756,000","756,000","378,000","378,000",Part B
Hibbing,47,20,Other - LSL Replacement  Phase 1,1690022-9,"16,224",Jun-23,"500,000","199,650","199,650","199,650","200,525","99,825",Part B
Albert Lea,49,20,Other - LSL Replacement,1240001-4,"18,433",May-24,"1,500,000","1,000,000","500,000","500,000","500,000","500,000",Part B
Lewisville,50,20,Other - LSL Replacement,1830003-8,333,May-24,"65,250",-,"150,000","150,000",-,-,Part B
International Falls,51,20,Other - LSL Replacement,1360002-4,"5,859",May-24,"3,629,980","1,669,791","1,960,189","1,960,189","834,895","834,895",Part B
Winnebago,52,20,Other - LSL Replacement - Cleveland Ave.,1220011-7,#N/A,Mar-24,"23,250","20,000","3,250","3,250","10,000","10,000",Part B
Willmar,55,20,Other - LSL Replacement,1340016-2,"20,823",May-24,"400,700","320,500","80,200","80,200","160,250","160,250",Part B
Two Harbors,56,20,Other - LSL Replacement,1380005-10,"3,616",Jun-24,"400,000","270,000","300,000","300,000",-,"135,000",Part B
Saint Cloud,57,20,Other - LSL Repl (Pantown Neighborhood),1730027-27,"54,937",Apr-24,"1,183,000",-,"1,183,000","1,183,000",-,-,Part B
Royalton,58,20,Other - LSL Replacement,1490006-8,"1,236",Jun-24,"300,000","75,000","225,000","225,000","37,500","37,500",Part B
Wabasha,66,20,Other - LSL Replacement,1790013-6,"2,477",Aug-23,"69,750","34,950","34,950","34,950","17,325","17,475",Part B
Atwater,70,20,Other - LSL Replacement,1340001-11,"1,136",Jun-24,"232,400","243,200","60,900","60,900","49,900","121,600",Part B
Duluth,71,20,Other - LSL Repl Phase 5,1690011-17,"86,711",Apr-24,"3,876,000","1,550,400","2,325,600","2,325,600","775,200","775,200",Part B
Duluth,72,20,Other - LSL Repl Phase 6,1690011-18,"86,711",May-24,"300,000",-,"300,000","300,000",-,-,Part B
Duluth,73,20,Other - LSL Repl Phase 7,1690011-19,"86,711",Oct-24,"3,360,000","1,344,000","2,016,000","2,016,000","672,000","672,000",Part B
Duluth,74,20,Other - LSL Repl Phase 8,1690011-20,"86,711",Oct-24,"3,360,000","1,344,000","2,016,000","2,016,000","672,000","672,000",Part B
Sauk Rapids,77,20,Other - LSL Repl Along 2nd Ave. South,1050004-6,"13,830",May-24,"544,186",-,"269,724","269,724","274,462",-,Part B
Bird Island,79,20,Other - LSL Replacement,1650001-8,960,Jul-24,"89,400","44,700","44,700","44,700","22,350","22,350",Part B
Nashwauk,80,20,Other - LSL Replacement,1310024-6,"1,144",May-24,"544,000","222,000","216,000","216,000","217,000","111,000",Part B
Moorhead,82,20,Other - LSL Replacement Phase 2,1140008-12,"43,409",Jun-24,"575,000","287,500","287,500","287,500","143,750","143,750",Part B
Moorhead,83,20,Other - LSL Replacement Phase 3,1140008-15,"43,409",Jun-24,"790,625","395,313","395,313","395,313","197,656","197,657",Part B
Moorhead,84,20,Other - LSL Replacement Phase 4,1140008-18,"43,409",Jun-24,"431,250","215,625","215,625","215,625","107,813","107,813",Part B
Moorhead,85,20,Other - LSL Replacement No Watermain,1140008-21,"43,409",Jun-24,"937,500","437,500","500,000","500,000","218,750","218,750",Part B
Moorhead,86,20,Other - LSL Replacement Phase 1,1140008-9,"43,409",Jun-24,"1,365,000","539,063","825,938","825,938","269,531","269,532",Part B
Altura,89,20,Other - LSL Replacement,1850018-4,373,May-24,"184,000","126,500","57,500","57,500","63,250","63,250",Part B
Saint Paul Reg Water Servi,92,20,Other - LSL Replacement Phase 4,1620026-26,"309,751",Apr-24,"35,000,000","10,630,000","24,370,000","24,370,000","5,315,000","5,315,000",Part B
Minneapolis,95,20,Other - LSL Replacement Streets Year 1,1270024-14,"424,536",Apr-24,"360,000",-,"360,000","360,000",-,-,Part B
Minneapolis,99,20,Other - LSL Repl Green Zones Year 1,1270024-18,"424,536",Apr-24,"5,166,000",-,"5,166,000","5,166,000",-,-,Part B
Anoka,103,20,Other - LSL Repl (2024 project),1020001-1,"17,749",Feb-24,"250,000",-,"250,000","250,000",-,-,Part B
Anoka,104,20,Other - LSL Repl (2000-2014 project area),1020001-3,"17,749",Feb-24,"1,000,000",-,"1,000,000","1,000,000",-,-,Part B
Minneapolis,106,20,Other - LSL Repl (Leaking LSL),1270024-22,"425,091",Apr-24,"1,590,000",-,"1,590,000","1,590,000",-,-,Part B
Maple Plain,108,20,"Other - LSL Replacement, Independence",1270021-6,"1,650",May-24,"55,000","30,000","20,000","20,000","20,000","15,000",Part B
Norwood Young America,109,20,Other - LSL Replacement-Railroad St.,1100019-3,"3,838",May-24,"110,000","55,000","55,000","55,000","27,500","27,500",Part B
Norwood Young America,110,20,Other - LSL Replacement-SW 4th Ave.,1100019-5,"3,162",May-24,"110,000","55,000","55,000","55,000","27,500","27,500",Part B
Utica,123,15,Other - LSL Replacement,1850011-6,184,May-24,"130,000","72,000","60,000","60,000","34,000","36,000",Part B
Cottonwood,124,15,Other - LSL Replacement,1420002-4,"1,160",May-24,"275,000","137,500","137,500","137,500","68,750","68,750",Part B
North Mankato,125,15,Other - LSL Replacement,1520005-2,"14,356",May-24,"780,000",-,"780,000","780,000",-,-,Part B
Northfield,126,15,Other - LSL Replacements,1660010-3,"20,313",May-24,"188,686","93,343","93,343","93,343","48,672","46,672",Part B
Mazeppa,129,15,Other - LSL Replacement,1790009-4,956,May-24,"153,000","100,000","60,000","60,000","43,000","50,000",Part B
Waconia,137,15,Other - LSL Replacement,1100010-3,"12,773",May-24,"495,000","247,500","247,500","247,500","123,750","123,750",Part B
Watertown,138,15,Other - LSL Replacement,1100012-6,"4,659",Jul-24,"72,150","36,075","36,075","36,075","18,038","18,038",Part B
