System Name,MDH 2024 PPL Rank,MDH 2024 PPL Points,Project Description,Project Number,Population,Est. Const Start,Estimated Total Project Cost,Estimated Project Cost PUBLIC (1),Estimated Project Cost PRIVATE (2),Estimated DWRF LSL PF Grant (3),Estimated DWRF LSL Loan (4),Estimated State LSL Grant (5),IUP Status
Nashwauk,79,20,Other - LSL Replacement,1310024-6,"1,144",May-24,"544,000","222,000","216,000","216,000","217,000","111,000",Part B
Moorhead,81,20,Other - LSL Replacement Phase 2,1140008-12,"43,409",Jun-24,"575,000","287,500","287,500","287,500","143,750","143,750",Part B
Moorhead,82,20,Other - LSL Replacement Phase 3,1140008-15,"43,409",Jun-24,"790,625","395,313","395,313","395,313","197,656","197,657",Part B
Moorhead,83,20,Other - LSL Replacement Phase 4,1140008-18,"43,409",Jun-24,"431,250","215,625","215,625","215,625","107,813","107,813",Part B
Moorhead,84,20,Other - LSL Replacement No Watermain,1140008-21,"43,409",Jun-24,"937,500","437,500","500,000","500,000","218,750","218,750",Part B
Moorhead,85,20,Other - LSL Replacement Phase 1,1140008-9,"43,409",Jun-24,"1,365,000","539,063","825,938","825,938","269,531","269,532",Part B
Saint Paul Regional Water S,91,20,Other - LSL Replacement Phase 4,1620026-26,"309,751",Apr-24,"35,000,000","10,630,000","24,370,000","24,370,000","5,315,000","5,315,000",Part B
Minneapolis,94,20,Other - LSL Replacement Streets Year 1,1270024-14,"424,536",Apr-24,"360,000",-,"360,000","360,000",-,-,Part B
Minneapolis,98,20,Other - LSL Repl Green Zones Year 1,1270024-18,"424,536",Apr-24,"5,166,000",-,"5,166,000","5,166,000",-,-,Part B
Anoka,102,20,Other - LSL Replacement (2024 St Area),1020001-1,"17,749",Feb-24,"250,000","125,000","125,000","125,000","62,500","62,500",Part B
Anoka,103,20,Other - LSL Replacement (2000-14 Street),1020001-3,"17,749",Feb-24,"1,000,000",-,"1,000,000","1,000,000",-,-,Part B
Minneapolis,105,20,Other - LSL Repl (Leaking LSL),1270024-22,"425,091",Apr-24,"1,590,000",-,"1,590,000","1,590,000",-,-,Part B
Maple Plain,107,20,Other - LSL Replacement,1270021-6,"1,650",May-24,"55,000","27,500","27,500","27,500","13,750","13,750",Part B
Norwood Young America,108,20,Other - LSL Replacement-Railroad St.,1100019-3,"3,838",May-24,"110,000","55,000","55,000","55,000","27,500","27,500",Part B
Norwood Young America,109,20,Other - LSL Replacement-SW 4th Ave.,1100019-5,"3,162",May-24,"110,000","55,000","55,000","55,000","27,500","27,500",Part B
Utica,122,15,Other - LSL Replacement,1850011-6,184,May-24,"130,000","72,000","60,000","60,000","34,000","36,000",Part B
Cottonwood,123,15,Other - LSL Replacement,1420002-4,"1,160",May-24,"275,000","137,500","137,500","137,500","68,750","68,750",Part B
North Mankato,124,15,Other - LSL Replacement,1520005-2,"14,356",May-24,"780,000",-,"780,000","780,000",-,-,Part B
Mazeppa,127,15,Other - LSL Replacement,1790009-4,956,May-24,"153,000","100,000","53,000","53,000","50,000","50,000",Part B
Waconia,135,15,Other - LSL Replacement,1100010-3,"12,773",May-24,"495,000","247,500","247,500","247,500","123,750","123,750",Part B
Watertown,136,15,Other - LSL Replacement,1100012-6,"4,659",Jul-24,"72,150","36,075","36,075","36,075","18,038","18,038",Part B
